"","Table 3#4# Personal Current Tax Receipts                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Income taxes","B231RC1","1,179.0","1,045.0","532.0","285.0","355.0","440.0","568.0","732.0","1,305.0","1,231.0","855.0","1,014.0","1,601.0","4,043.0","15,910.0","16,802.0","18,532.0","16,350.0","18,793.0","18,065.0","15,376.0","17,432.0","25,375.0","30,167.0","31,306.0","28,068.0","30,470.0","33,913.0","35,994.0","35,485.0","38,466.0","41,838.0","42,694.0","46,529.0","49,138.0","45,985.0","51,068.0","58,602.0","64,386.0","76,435.0","91,700.0"
"22","4","    Withheld","PTN0181",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","9,251.0","11,119.0","10,639.0","9,888.0","11,724.0","16,772.0","20,492.0","22,699.0","20,437.0","22,735.0","25,404.0","27,301.0","27,834.0","30,624.0","32,759.0","34,337.0","37,043.0","40,290.0","36,529.0","38,972.0","46,070.0","53,335.0","63,706.0","74,574.0"
"23","5","    Declarations and settlements","PTN1001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,742.0","9,336.0","9,197.0","7,842.0","7,401.0","10,383.0","11,798.0","11,212.0","10,518.0","10,821.0","11,746.0","12,193.0","11,548.0","11,925.0","13,378.0","13,138.0","14,557.0","14,413.0","15,392.0","16,991.0","18,461.0","19,024.0","22,209.0","27,355.0"
"24","6","    Less: Refunds","PTN2001",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,643.0","1,662.0","1,771.0","2,354.0","1,693.0","1,780.0","2,123.0","2,605.0","2,887.0","3,086.0","3,237.0","3,500.0","3,897.0","4,083.0","4,299.0","4,781.0","5,071.0","5,565.0","5,936.0","4,895.0","5,929.0","7,973.0","9,480.0","10,229.0"
"25","7","  Other taxes \2\","B035RC1","0.0","0.0","0.0","0.0","35.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","121.0","77.0","74.0","81.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","State and local","W071RC1","550.0","526.0","471.0","443.0","422.0","445.0","499.0","563.0","617.0","627.0","632.0","672.0","709.0","724.0","750.0","787.0","829.0","859.0","997.0","1,140.0","1,357.0","1,480.0","1,680.0","1,838.0","1,936.0","2,092.0","2,389.0","2,678.0","2,892.0","3,063.0","3,823.0","4,230.0","4,556.0","5,026.0","5,414.0","6,084.0","6,596.0","7,776.0","8,575.0","10,552.0","12,806.0"
"27","9","  Income taxes","B245RC1","139.0","110.0","74.0","64.0","67.0","87.0","121.0","167.0","204.0","208.0","201.0","232.0","258.0","291.0","330.0","366.0","402.0","409.0","488.0","570.0","718.0","776.0","905.0","1,002.0","1,042.0","1,135.0","1,345.0","1,574.0","1,723.0","1,829.0","2,229.0","2,536.0","2,800.0","3,180.0","3,432.0","4,018.0","4,417.0","5,422.0","6,112.0","7,841.0","9,769.0"
"28","10","  Motor vehicle licenses","S210301","216.0","213.0","201.0","187.0","179.0","180.0","189.0","202.0","210.0","207.0","216.0","235.0","245.0","224.0","208.0","203.0","206.0","226.0","256.0","288.0","326.0","370.0","422.0","453.0","487.0","533.0","585.0","654.0","722.0","768.0","921.0","969.0","983.0","1,026.0","1,065.0","1,129.0","1,201.0","1,359.0","1,416.0","1,607.0","1,879.0"
"29","11","  Property taxes","S210401","148.0","154.0","149.0","144.0","129.0","126.0","129.0","130.0","134.0","137.0","137.0","140.0","142.0","142.0","145.0","147.0","149.0","155.0","171.0","189.0","211.0","227.0","245.0","266.0","287.0","306.0","316.0","302.0","281.0","303.0","506.0","552.0","592.0","635.0","659.0","663.0","689.0","689.0","722.0","763.0","793.0"
"30","12","  Other taxes \3\","S210501","47.0","49.0","47.0","48.0","47.0","52.0","60.0","64.0","69.0","75.0","78.0","65.0","64.0","67.0","67.0","71.0","72.0","69.0","82.0","93.0","102.0","107.0","108.0","117.0","120.0","118.0","143.0","148.0","166.0","164.0","167.0","173.0","181.0","185.0","258.0","274.0","289.0","306.0","325.0","341.0","365.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Excludes estate and gift taxes, which are classified in the NIPAs as capital transfers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2. Consists of the dividends tax in 1933-34 and of the automobile use tax in 1942-46.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","3. Consists largely of hunting, fishing, and other personal licenses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
