"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"58","51","    Rental value of farm dwellings (26)","BFARRX1",9.6,9.6,9.6,9.6,9.6,9.6,9.7,10,10.2,10.5,10.7,10.8,10.9,11,10.9,10.9
"59","52","    Other (27)","AOHORX1",40.9,41.2,43.8,43.3,45,45.5,47.7,51.4,52.2,53.2,56,52,53.5,55.9,58.7,61.5
"60","53","  Household operation","A186RX1",266.4,269.9,277.4,291.1,303.3,312.9,327.3,340.4,357.1,371.9,390.1,391,393.2,398.8,409.3,418
"61","54","    Electricity (37)","BELCRX1",81.1,83.5,82,86.9,88.8,90.2,91.8,91.7,98,98.8,102.3,100,104.6,105.7,108.7,113.5
"62","55","    Gas (38)","BNGSRX1",36.6,38.1,39.1,40.6,40.5,40.4,43.8,42.8,38.7,39.3,41,40.8,40.3,41.8,41.3,40.9
"63","56","    Water and other sanitary services (39)","BWATRX1",41.1,40.5,39.7,41.6,43.5,45.2,46.6,47.7,48.4,50,50.8,51.3,51.9,52.5,52,52.2
"64","57","    Telephone and telegraph (41)","BTELRX1",58.3,61,67.5,71.1,75.5,79.5,86.5,96.4,104,114.3,125.1,131,131.2,133.5,139.6,144.1
"65","58","    Domestic service (42)","BDMSRX1",14.3,13.3,14.3,14.9,15.4,16,15.7,16.2,18.3,16.8,17.4,16.2,15.5,16.7,17.4,17.1
"66","59","    Other (43)","AOPORX1",39.7,37.2,37.6,38.7,42.3,44.3,45.4,47.4,50.6,52.8,53.6,51.7,49.9,48.9,51.1,51.8
"67","60","  Transportation","A177RX1",195.7,186.3,194.2,202.5,218.4,231.8,247.5,263.2,272,283.4,291.3,288,280.2,280.6,284,284.4
"68","61","    User-operated transportation","A487RX1",152.1,143.3,151.4,159.2,171.5,183.4,195.7,209.7,216,225.3,231.6,231.6,223.8,221.7,222.4,222.6
"69","62","      Repair, greasing, washing, parking, storage, rental, and leasing (74)","BREPRX1",109.4,101.7,108.8,116.3,127.7,138.8,150.5,163.5,169,177.4,183.5,182.9,175.2,173,173,173.3
"70","63","      Other user-operated transportation (76+77)","A2631X1",43.3,42.6,43.3,43.4,44.1,44.6,45.2,46.2,47,47.9,48.1,48.7,48.6,48.7,49.4,49.4
"71","64","    Purchased local transportation","A477RX1",10.9,10.8,10.7,10.8,11.2,11.2,11,11,11.8,12.1,12.2,12.1,11.7,11.5,11.6,11.8
"72","65","      Mass transit systems (79)","BSTRRX1",7.5,7.6,7.6,7.6,8,7.9,7.7,7.8,8.3,8.7,9.1,9,8.5,8.4,8.5,8.7
"73","66","      Taxicab (80)","BTAXRX1",3.4,3.2,3.1,3.2,3.2,3.4,3.2,3.2,3.5,3.4,3.1,3.1,3.2,3.1,3.1,3.1
"74","67","    Purchased intercity transportation","A480RX1",32.5,31.9,32,32.4,35.5,37.1,40.8,42.5,44.2,46,47.4,44.1,44.8,48.1,51.3,51.2
"75","68","      Railway (82)","BIRRRX1",0.8,0.8,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6
"76","69","      Bus (83)","BIBURX1",1.5,1.7,1.7,1.9,2,2.1,2.2,2.5,2.4,2.3,2.4,2.3,2.2,2.1,2,1.8
"77","70","      Airline (84)","BIAIRX1",24.8,23.9,23.4,23.7,26.1,27.2,30.3,31.7,33.3,34.9,36.7,34,34.2,36.8,39.7,39.9
"78","71","      Other (85)","BTRORX1",5.3,5.4,6.2,6.3,6.9,7.4,7.9,7.8,8,8.3,7.8,7.2,7.9,8.6,9.2,9.1
"79","72","  Medical care","A494RX1",797.6,824.5,863.6,877.2,887.1,906.4,922.5,942.8,970.7,989,1026.8,1075.2,1136.6,1180.8,1217.3,1260.9
"80","73","    Physicians (47)","BPHYRX1",194.7,198.1,204.3,198.4,196.5,200.1,204.9,210.6,218.7,224.6,236.8,249.7,269.8,288.1,302.6,315.9
"81","74","    Dentists (48)","BDENRX1",53.5,52.4,54.2,54.2,55.3,56.7,57.1,58.1,59.2,60,61.8,64.2,66.4,65.9,67.5,68.2
"82","75","    Other professional services (49)","BOPSRX1",94.8,104.2,115.6,125.9,132.7,142.3,148.6,151.1,155.5,157.2,161.6,169.9,178.1,187.2,196.6,205.3
"83","76","    Hospitals and nursing homes (50)","BPHORX1",386.4,399.4,414.4,421.9,426.5,434.1,441.6,453.6,462.6,469.4,482.6,504,529.3,541.5,549.2,565.1
"84","77","    Health insurance (56)","AHINRX1",70.1,71.8,76.2,78,77.1,73.7,70.6,69.6,74.7,77.8,84,87.4,93.3,98.8,102.9,108.2
"85","78","  Recreation","A490RX1",170.6,171.6,184,195.4,204.8,219.2,228.6,235.7,245,257.8,268.3,274.9,281.2,290.8,304.8,313.1
"86","79","    Admissions to specified spectator amusements (96)","A481RX1",21.7,21.6,22.3,24.5,25.2,26.2,27.8,28.7,29.5,30.2,30.4,30.9,32.1,32.1,32.1,31.5
"87","80","    Other (94+100+101+102+103)","A491RX1",149,150.1,161.7,171,179.6,193.1,200.9,207,215.5,227.6,237.9,244,249,258.8,272.8,281.8
"88","81","  Other","A178RX1",621.9,631.3,653.2,680.9,696.2,704.5,730.7,764.7,821.9,877.6,945.9,960.3,966.6,975.3,1016,1036.2
"89","82","    Personal care","A488RX1",61.6,57.3,62.4,63.3,65.4,69.3,71.3,75,79.5,83.5,87,86.9,88.8,91.2,97.1,98.4
"90","83","      Cleaning, storage, and repair of clothing and shoes (17)","A478RX1",14.2,13.3,13.4,13.1,13.1,13.6,13.6,14.5,15,15.5,15.7,15.2,14.8,13.9,14,13.5
"91","84","      Barbershops, beauty parlors, and health clubs (22)","BBBBRX1",27.4,27.5,30.1,29.4,29.7,31.3,31.8,34.2,36,37,38.4,38.8,40,41,43.6,44.1
"92","85","      Other (19)","ACOTRX1",20,16.6,19,20.8,22.6,24.4,25.9,26.4,28.6,31.1,32.9,32.9,34,36.4,39.5,40.7
"93","86","    Personal business","A479RX1",330,349,358.9,381,382.6,387,402.3,426.3,453.9,495.3,539.1,532.9,526.6,528.4,560.6,579.7
"94","87","      Brokerage charges and investment counseling (61)","BBRORX1",12.3,14.3,16.8,21.4,24.1,28.1,34.2,41.3,53.1,73.9,100.6,86.4,87.9,85.9,94.3,97.1
"95","88","      Bank service charges, trust services, and safe deposit box rental (62)","BBNKRX1",45.9,47.7,49.3,50.3,48.9,48.7,49.2,49.6,54.4,61.6,64.2,67.3,72.4,76.5,80.3,87.2
"96","89","      Services furnished without payment by financial intermediaries except life insurance carriers (63)","AIMPRX1",115.7,122.6,127.3,131.1,133.2,129.7,136.1,143.2,150.4,158.9,167.2,176.2,174.5,170.5,183.7,187.6
"97","90","      Expense of handling life insurance and pension plans (64)","BLIFRX1",86.2,96.1,91.4,100.3,95.1,97,93.2,97.3,93.1,91.4,96.1,90.1,79.5,77.8,84.7,89
"98","91","      Legal services (65)","BGALRX1",62.2,60.2,61.6,61,60.2,58.8,60.6,62,63.4,64.2,63.9,64.5,63.9,67.1,67.2,67.4
"99","92","      Funeral and burial expenses (66)","BFUNRX1",15,15,15.5,15.5,15,15.1,14.8,14.3,14.7,14.4,14,14.1,13.6,14.1,13.2,13.1
"100","93","      Other (67)","APBORX1",24.2,24.6,25.1,26.3,27.3,27.8,28.5,29.9,31.5,32.9,33.1,33.4,34.4,35.6,37.2,38.1
"101","94","    Education and research","A482RX1",125.6,127.1,130.5,132.6,134.8,138.5,142.7,145.7,151.9,157.3,163.8,170,173.5,176,174.8,176.1
"102","95","      Higher education (105)","BHEDRX1",69.6,71,72.8,73.6,74.5,76,77.3,77.8,80.5,83.3,86.4,90.6,93.2,96.2,95.9,96.4
"103","96","      Nursery, elementary, and secondary schools (106)","BEEDRX1",29,29.1,29.7,30.3,30.9,31.9,32.5,32.6,33.3,34.1,34.6,35,35.7,36.4,37,37.9
"104","97","      Other (107)","BOEDRX1",26.8,26.9,27.9,28.5,29.2,30.4,32.8,35.2,38.1,39.9,42.8,44.4,44.7,43.4,41.9,41.9
"105","98","    Religious and welfare activities (108)","BRAWRX1",121.2,122.8,131.3,133.4,140.7,142.4,149.9,149.4,157.8,162.1,172.3,181.2,189,189.5,194.4,193.2
"106","99","    Net foreign travel","A492RX1",-15.5,-23.5,-28.3,-28.5,-26.1,-31.4,-34.3,-31.2,-20.6,-20.4,-16.2,-10.9,-11.7,-10,-10.4,-10.4
"107","100","      Foreign travel by U.S. residents (110)","BFTRRX1",53.3,48.9,51.4,54.4,57.7,57.5,59.9,65.5,73.7,76.1,84.4,79.7,74.5,72.1,78.4,81.7
"108","101","      Less: Expenditures in the United States by nonresidents (112)","BEXFRX1",68.8,72.4,79.7,82.8,83.8,88.9,94.2,96.7,94.3,96.5,100.7,90.5,86.2,82.1,88.8,92.1
"109","102","  Residual","A965RX1",-128.9,-127.5,-122,-106.7,-91.6,-77.7,-58.9,-40.2,-21.1,-5.5,0,0.1,-9.7,-24.8,-47.2,-77
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","1. The quantity index for computers can be used to accurately measure the real growth rate of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","this component. However, because computers exhibit rapid changes in prices relative to other prices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","in the economy, the chained-dollar estimates should not be used to measure the component's relative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","importance or its contribution to the growth rate of more aggregate series.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Note.  The figures in parentheses are the line numbers of the corresponding items in table 2.5.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","index and the 2000 current-dollar value of the corresponding series, divided by 100. Because the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","formula for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","chained-dollar estimates are usually not additive. The residual line is the difference between the first",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
