"","Table 2#5#3# Real Personal Consumption Expenditures by Type of E","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"11","4","  Purchased meals and beverages (n.d.) \1\","BPMBRA3",9.973,10.229,10.864,10.709,9.509,10.844,11.659,13.341,15.238,15.417,16.886,17.835,19.561,20.786,23.32,25.47,28.901,28.771,25.577,24.948,25.318,25.593,27.515,28.776,29.982,29.952,30.849,31.821,32.125,31.678,32.453,32.749,32.727,33.817,34.58,36.436,38.987,40.667,39.834,42.559,43.546,45.32,45.596,48.763,51.213,50.339,52.351,55.371,57.015,59.548,61.337,61.421,61.779,62.46,64.771,66.406,67.247,69.549,73.27,77.855,79.996,83.011,82.96,84.585,87.249,88.688,89.097,89.521,91.086,93.98,96.124,100,100.861,102.681,105.715,109.406,113.473
"12","5","  Food furnished to employees (including military) (n.d.)","AFOORA3",25.69,25.762,24.991,24.087,24.08,25.898,27.443,29.968,33.164,32.612,34.253,37.906,55.88,95.098,161.737,227.339,250.464,115.045,71.632,65.692,66.544,67.04,94.224,102.573,101.994,97.813,94.167,92.889,92.928,90.712,85.467,83.459,86.555,88.139,86.827,86.908,91.864,104.554,109.347,105.515,103.429,96.839,88.672,86.195,86.335,95.938,102.152,108.998,105.379,110.522,114.879,117.593,120.471,121.511,114.468,109.259,102.715,95.034,87.933,89.508,91.065,91.345,90.577,90.948,92.278,93.491,94.686,94.982,95.083,96.275,98.038,100,101.76,103.113,106.803,108.221,114.319
"13","6","  Food produced and consumed on farms (n.d.)","BFFDRA3",1350.072,1346.561,1433.939,1427.113,1542.187,1472.752,1363.139,1391.225,1385.179,1402.342,1438.62,1408.584,1344.025,1321.986,1406.048,1331.543,1370.161,1407.608,1264.059,1213.738,1134.357,1109.196,1070.578,1043.858,976.179,945.947,912.79,880.609,797.911,757.538,691.208,621.483,612.464,541.632,519.43,489.37,432.025,398.943,371.233,342.919,318.429,333.812,315.834,321.764,305.812,361.163,334.428,338.587,330.646,269.64,249.549,236.31,233.045,206.13,202.896,190.474,186.764,181.563,139.276,134.786,117.273,111.237,107.981,108.278,102.672,103.297,95.509,91.079,95.406,100.27,102.398,100,94.145,90.787,79.046,72.245,69.249
"14","7","  Tobacco products (n.d.)","BTOBRA3",50.887,46.169,46.56,41.338,43.473,46.636,49.402,53.232,56.523,56.965,58.385,60.089,65.242,71.178,74.871,73.08,76.179,86.141,89.41,92.175,92.45,93.835,97.093,100.651,99.629,95.882,97.103,99.992,103.891,107.218,112.852,114.497,118.046,118.428,119.376,117.615,120.702,120.702,121.788,120.922,119.318,121.328,122.297,124.699,131.765,133.792,133.47,142.647,137.662,140.453,139.324,140.759,142.85,137.006,129.972,129.817,129.362,126.536,127.143,117.423,115.858,111.664,103.602,108.143,105.908,107.233,108.798,110.336,110.411,107.342,101.274,100,99.386,97.154,94.376,92.069,90.049
"15","8","  Addenda: Food excluding alcoholic beverages (n.d.)","BFXARA3",23.191,22.796,22.906,21.483,20.552,20.286,20.642,23.015,23.948,24.85,25.511,26.778,27.919,28.296,28.99,31.351,33.652,35.019,33.477,33.407,33.759,34.21,35.244,36.637,38,38.974,40.686,42.008,42.998,42.969,44.494,44.923,45.517,45.889,46.322,48.201,51.011,53.067,53.997,56.535,57.748,59.24,59.463,61.058,60.717,59.415,60.951,64.237,65.142,65.652,66.699,67.061,67.066,68.233,70.345,72.142,73.929,75.71,76.979,80.178,81.593,83.49,83.981,84.796,86.59,88.818,89.412,90.198,91.308,93.481,96.641,100,101.763,103.426,105.921,109.302,114.849
"16","9","           Alcoholic beverages purchased for off-premise consumption (n.d.)","BAOPRA3",NA,NA,NA,NA,1.332,11.881,16.259,20.844,21.591,19.635,19.904,20.422,22.279,23.74,23.747,24.827,26.348,28.209,28.74,25.399,24.939,26.236,25.315,25.139,26.027,25.264,25.973,26.567,26.154,26.229,27.732,27.885,28.105,29.834,30.748,31.972,33.13,34.968,35.954,39.192,42.829,46.398,50.465,53.631,56.693,58.897,59.966,62.451,66.245,67.725,70.706,72.994,74.13,76.049,77.8,77.448,80.505,82.16,80.898,81.487,83.049,86.857,80.236,75.647,77.506,81.899,84.296,87.811,90.844,93.391,95.656,100,101.333,101.524,104.085,111.404,123.328
"17","10","           Other alcoholic beverages (n.d.)","BAPMRA3",NA,NA,NA,NA,15.359,18.015,20.473,24.287,29.92,30.229,32.966,33.974,37.535,39.929,44.682,44.631,50.478,55.018,53.319,54.953,54.773,57.317,62.967,62.315,65.421,64.945,67.639,70.205,71.814,72.131,71.978,70.189,69.151,70.332,71.134,72.953,75.905,79.057,71.791,72.497,71.76,74.281,72.08,77.143,82.342,81.638,83.071,85.686,89.568,93.182,97.857,100.135,99.665,96.694,96.186,95.686,94.249,94.098,94.511,99.4,102.238,109.762,108.87,112.917,107.861,102.984,99.211,95.508,93.556,95.542,97.134,100,99.301,101.092,103.346,104.75,107.685
"18","11","Clothing, accessories, and jewelry","A496RA3",12.17,10.996,10.446,9.135,8.126,8.645,9.401,10.262,10.351,10.455,11.21,11.664,12.673,13.274,14.704,14.289,14.938,15.634,14.977,15.1,15.063,15.402,15.324,16.148,16.328,16.455,17.236,17.654,17.564,17.691,18.517,18.639,18.918,19.709,20.075,21.555,22.595,24.248,24.512,25.548,25.907,25.551,26.54,28.217,30.299,29.997,30.993,32.733,34.536,37.595,38.964,39.218,41.163,41.543,44.843,48.578,51.059,55.453,57.299,59.553,62.519,62.407,61.501,64.935,67.946,71.645,74.976,79.06,81.654,87.75,94.72,100,101.016,105.698,110.95,116.86,123.306
"19","12","  Shoes (n.d.)","BSHURA3",19.496,16.961,17.303,17.486,15.757,17.533,17.244,18.979,20.207,20.03,19.792,20.158,21.734,22.955,21.651,20.949,22.955,25.621,23.393,22.679,23.198,24.51,21.815,21.87,22.17,21.762,23.461,23.351,22.938,24.168,24.568,24.592,24.634,25.331,25.331,27.277,27.827,29.178,29.462,31.118,32.318,30.643,31.061,32.883,34.977,33.119,33.248,34.186,36.063,40.162,42.474,43.035,45.801,44.555,47.238,49.707,52.412,56.504,58.597,59.79,63.543,64.606,62.834,64.498,66.921,71.757,75.22,79.653,82.27,87.783,95.033,100,102.313,107.443,110.836,114.688,116.47
"20","13","  Clothing and accessories except shoes \2\","A497RA3",11.503,10.417,10.194,8.786,7.878,8.221,9.082,9.857,9.605,9.793,10.776,11.136,11.661,11.589,12.604,12.158,12.458,13.303,12.956,13.218,13.21,13.413,13.57,14.568,14.779,14.92,15.6,16.098,16.024,16.05,16.994,17.176,17.552,18.396,18.795,20.29,21.201,22.648,22.743,23.639,23.994,23.898,25.24,27.01,28.928,28.729,29.856,31.371,33.071,36.292,38.145,39.133,41.515,42.511,45.767,49.942,52.214,56.413,58.428,60.28,63.667,62.974,63.519,67.345,70.14,73.675,76.574,80.259,82.662,88.472,94.938,100,101.969,106.783,112.47,118.505,126.953
"21","14","    Women's and children's (n.d.)","BWCLRA3",10.114,9.313,9.141,7.784,6.748,7.04,7.888,8.288,8.013,8.413,9.327,9.734,10.006,10.234,11.666,11.191,11.281,11.846,11.547,11.85,11.747,11.757,11.91,13.062,13.404,13.489,14.124,14.595,14.699,14.904,15.757,16.001,16.425,17.355,17.832,19.222,20.012,21.298,21.048,21.879,22.24,22.291,23.699,25.022,26.78,26.748,27.899,29.438,30.978,34.238,36.172,37.4,40.193,41.709,45.38,50,52.577,57.524,59.19,60.81,64.436,63.151,63.707,67.761,70.238,72.903,75.746,79.381,81.071,87.186,94.44,100,101.659,106.333,111.696,117.789,126.657
"22","15","    Men's and boys' (n.d.)","AMCLRA3",14.411,12.711,12.381,10.879,10.271,10.723,11.584,13.217,13.031,12.716,13.83,14.069,15.17,14.392,14.378,14.022,14.858,16.386,15.933,16.085,16.31,16.973,17.137,17.751,17.655,17.923,18.692,19.243,18.76,18.375,19.511,19.547,19.808,20.444,20.665,22.369,23.537,25.318,26.169,27.195,27.535,27.117,28.299,31.029,33.276,32.713,33.773,35.218,37.248,40.354,42.018,42.495,44.029,43.991,46.437,49.75,51.437,54.218,56.884,59.176,62.108,62.521,63.047,66.441,69.817,74.949,77.943,81.713,85.354,90.638,95.773,100,102.49,107.542,113.782,119.717,127.446
"23","16","  Standard clothing issued to military personnel (n.d.)","BMICRA3",15.834,15.08,14.326,18.473,19.227,10.179,14.326,18.473,18.473,19.981,25.635,45.616,292.922,751.719,1173.572,1173.195,1193.93,358.141,194.527,158.336,187.741,237.127,328.736,214.508,136.848,67.858,44.485,51.648,49.386,48.632,43.134,40.266,46.241,57.739,53.331,52.839,62.151,132.708,152.625,156.844,128.825,115.598,83.176,48.463,58.144,59.451,67.998,67.621,65.351,61.099,71.995,73.078,59.868,63.825,71.689,64.797,54.544,58.874,58.498,58.965,61.097,52.575,59.803,89.345,94.964,94.772,94.511,93.84,102.716,98.352,91.576,100,105.657,116.922,177.964,111.947,114.216
"24","17","  Cleaning, storage, and repair of clothing and shoes (s.)","B478RA3",81.75,75.425,64.495,51.375,46.786,51.167,56.152,63.67,67.89,66.085,66.883,72.448,82.501,88.307,103.847,106.879,115.937,136.183,137.453,137.324,133.181,132.009,129.93,133.438,135.436,136.712,137.18,137.018,134.958,131.087,131.99,129.889,129.142,129.762,129.278,133.749,137.662,138.146,136.937,138.281,137.229,131.415,122.684,124.465,117.372,106.347,100.213,96.554,95.365,91.927,85.471,78.68,72.164,66.647,68.637,71.513,71.99,73.402,76.843,84.655,88.919,90.349,84.344,85.211,83.322,83.278,86.308,86.434,91.987,95.138,98.188,100,96.48,93.873,88.12,88.699,85.86
"25","18","  Jewelry and watches (d.)","BJRYRA3",3.68,3.397,2.181,1.787,1.219,1.449,1.775,1.901,2.457,2.549,2.709,2.941,3.485,3.752,4.728,4.462,5.142,6.413,5.882,5.983,5.684,5.951,5.983,6.527,6.651,7.217,7.943,8.201,8.352,8.61,8.927,8.848,8.715,9.355,9.825,10.392,11.904,14.806,15.831,16.968,16.851,16.895,17.859,18.9,22.94,25.241,27.26,32.084,35.299,37.58,36.444,33.515,34.493,34.426,37.692,42.526,45.776,52.41,52.567,53.765,53.439,52.335,50.605,52.413,56.764,60.308,64.417,70.799,74.081,82.517,92.585,100,97.249,104.166,111.246,118.176,125.098
"26","19","  Other (s.) \3\","BCOTRA3",6.547,6.18,5.217,4.272,3.586,4.15,4.272,4.503,4.836,4.493,4.874,5.367,5.804,6.223,6.867,6.744,7.327,6.016,5.649,5.25,5.09,5.25,5.09,5.522,5.649,5.913,6.321,6.693,7.191,7.417,8.254,9.059,9.646,9.541,10.253,11.322,12.977,14.239,15.787,17.06,17.356,17.139,17.104,18.533,21.552,21.003,21.949,23.889,24.749,26.82,27.394,27.499,28.021,28.011,33.986,33.128,37.046,40.949,43.339,51.799,55.318,60.659,50.466,57.626,63.253,68.608,74.188,78.593,80.016,86.833,94.302,100,99.985,103.37,110.407,119.834,123.671
"27","20","Personal care","A532RA3",10.877,10.207,9.869,8.711,7.225,8.641,9.182,9.835,10.383,10.078,10.67,11.066,12.01,12.716,14.008,14.72,15.414,15.072,14.386,14.316,14.655,15.688,15.714,16.932,18.108,19.432,20.806,22.557,23.917,24.782,25.718,27.291,29.785,32.293,33.31,35.455,37.781,41.696,43.613,44.955,44.535,45.663,44.791,46.166,48.38,47.621,46.161,46.444,49.025,50.535,51.349,50.697,49.717,47.824,52.336,55.756,58.908,62.384,67.026,69.935,72.08,73.384,73.101,75.848,77.434,80.428,84.892,88.678,94.242,96.414,98.085,100,99.237,100.7,103.962,109.238,113.202
"28","21","  Toilet articles and preparations (n.d.)","BTLGRA3",5.8,5.153,5.223,4.452,3.398,4.389,4.417,4.657,4.962,5.112,5.657,5.964,6.907,7.602,8.974,9.736,10.485,9.978,9.333,9.381,9.734,10.799,10.677,11.797,12.592,13.045,14.332,15.635,16.671,17.462,17.75,19.64,21.789,23.839,25.269,27.182,29.734,33.283,35.183,37.091,37.862,39.265,39.644,41.462,45.311,45.449,44.233,45.88,48.493,51.346,53.506,53.744,53.726,52.312,54.767,59.057,62.041,65.056,69.017,70.894,72.892,74.751,74.188,74.459,78.118,82.589,87.128,92.539,97.699,98.217,99.284,100,97.883,98.084,101.947,105.956,112.006
"29","22","  Barbershops, beauty parlors, and health clubs (s.)","BBBBRA3",23.946,23.802,21.933,20.088,18.103,20.104,22.468,24.393,25.559,23.602,24.014,24.521,24.9,25.236,25.639,25.947,26.274,26.514,25.903,25.467,25.647,26.282,26.761,27.939,29.952,33.471,34.828,37.496,39.505,40.435,42.946,43.499,46.584,49.975,49.892,52.422,54.059,58.609,60.505,60.638,57.766,58.323,54.931,55.403,54.405,51.924,49.984,47.623,50.154,49.337,47.899,45.759,43.16,40.437,48.549,50.49,53.951,58.236,64.061,68.727,71.128,71.522,71.7,78.559,76.729,77.329,81.692,82.924,89.117,93.775,96.342,100,101.154,104.365,106.823,113.765,115.088
"30","23","Housing","B174RA3",7.778,7.681,7.599,7.454,7.315,7.723,7.797,7.931,8.066,8.189,8.381,8.639,9.134,9.583,9.969,10.363,10.606,11.516,12.502,13.179,13.993,14.951,16.039,17.072,17.984,18.854,19.799,20.781,21.844,22.866,24.104,25.368,26.596,28.102,29.404,30.817,32.527,34.015,35.556,37.358,39.367,40.815,42.621,45.08,47.354,49.827,51.282,52.841,54.153,56.787,59.086,60.905,62.496,62.758,64.075,66.834,69.467,71.301,73.513,75.815,77.778,79.703,81.48,82.74,83.637,86.375,88.185,89.533,91.656,94.276,97.228,100,102.71,103.54,104.515,108.459,111.54
"31","24","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","BOWNRA3",5.192,5.047,4.897,4.722,4.769,4.828,4.843,4.878,4.901,4.93,5.019,5.155,5.535,5.969,6.425,6.953,7.424,8.355,9.305,10.043,10.844,11.836,12.933,14.026,14.97,15.953,17.069,18.192,19.256,20.343,21.629,22.933,24.11,25.572,26.76,28.049,29.642,31.06,32.511,34.07,36.045,37.46,39.341,41.603,43.811,46.752,48.286,49.808,51.242,54.577,57.51,59.838,61.128,61.15,62.363,64.876,66.659,68.231,70.558,73.244,75.684,77.447,79.66,80.796,81.982,84.911,86.47,87.994,90.196,93.182,96.629,100,103.92,105.153,107.39,112.912,116.806
"32","25","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","BTENRA3",12.521,12.615,12.803,12.852,12.183,13.562,13.752,14.111,14.546,14.98,15.462,16.017,16.783,17.327,17.327,17.218,16.627,17.404,18.137,18.955,20.036,21.005,22.149,23.1,23.992,24.585,25.076,25.65,26.721,27.799,29.069,30.352,31.93,33.691,35.369,37.222,39.27,41.028,42.746,45.356,47.672,49.405,51.679,54.147,56.764,58.186,59.358,60.758,61.852,62.938,63.605,64.639,67.203,68.745,70.415,73.727,79.143,82.046,83.458,84.616,85.245,87.845,88.646,89.546,90.039,92.254,95.125,95.39,96.143,97.93,99.606,100,101.396,100.546,96.837,95.834,96.075
"33","26","  Rental value of farm dwellings (s.)","BFARRA3",70.924,70.646,70.335,69.854,69.419,68.953,68.917,68.962,69.2,69.151,69.397,70.027,70.842,71.204,71.293,71.238,71.022,72.696,73.958,75.645,77.132,78.325,79.369,80.092,80.755,81.256,81.403,81.769,82.042,82.221,82.65,82.852,83.412,83.805,84.223,84.765,85.094,85.632,86.267,86.813,87.249,87.449,87.655,88.024,88.074,89.149,89.633,90.06,91.019,91.739,91.637,91.966,91.736,91.212,90.777,90.423,90.046,89.841,90.02,89.63,89.849,90.241,90.271,90.146,89.829,90.233,90.332,90.78,93.788,95.761,98.127,100,101.414,102.429,103.106,102.71,102.623
"34","27","  Other (s.) \6\","BOHORA3",7.547,7.279,6.899,6.229,6.111,6.998,7.547,8.202,8.592,8.534,8.785,9.337,9.958,9.745,11.159,12.092,13.266,14.337,17.868,16.127,15.276,15.357,15.934,16.45,16.969,17.485,18.113,19.021,20.186,19.785,20.118,20.883,21.205,22.402,23.97,25.458,27.973,29.63,32.266,34.43,36.066,37.155,35.92,42.891,45.559,46.653,48.827,52.397,53.051,53.171,54.644,53.152,55.138,53.118,54.719,59.165,61.699,62.706,67.352,69.937,71.595,73.039,73.498,78.28,77.292,80.268,81.269,85.077,91.693,93.116,95.015,100,92.828,95.426,99.703,104.739,109.829
"35","28","Household operation","A534RA3",9.915,9.192,8.831,7.88,7.669,8.218,8.816,9.984,10.37,9.85,10.761,11.563,12.524,12.009,11.245,10.996,11.554,14.513,15.842,16.53,16.572,18.459,18.446,18.598,19.2,19.53,21.507,22.6,22.866,23.197,24.313,24.786,25.424,26.806,28.22,30.344,32.101,34.315,35.4,36.894,38.047,38.452,38.988,41.776,44.911,44.044,43.595,45.658,48.097,50.686,52.397,51.794,50.943,50.313,52.51,55.174,57.421,59.715,62.091,64.741,67.31,67.423,67.528,69.698,73.237,76.899,79.631,83.067,86.374,90.439,95.422,100,100.631,102.949,106.481,111.493,115.371
"36","29","  Furniture, including mattresses and bedsprings (d.)","BFNRRA3",11.446,9.203,8.873,6.974,6.13,6.27,8.285,10.198,10.147,9.316,10.881,11.982,13.509,11.164,9.075,7.993,8.416,12.115,13.203,13.583,13.586,15.307,14.412,15.547,16.631,17.074,19.672,20.393,19.368,19.288,20.565,20.393,20.207,21.523,23.078,25.774,27.161,28.64,28.536,29.559,29.904,29.164,30.348,33.833,36.999,36.185,34.281,36.316,40.582,42.622,44.881,42.372,41.699,38.716,42.829,47.958,50.369,54.488,56.875,57.988,64.039,61.823,60.653,61.172,64.803,68.625,72.101,76.569,82.86,87.635,93.533,100,101.111,105.851,109.263,117.853,124.796
"37","30","  Kitchen and other household appliances (d.) \7\","BAPPRA3",3.91,3.577,3.256,2.288,2.88,3.623,4.369,5.137,5.717,4.792,5.282,6.241,7.804,4.733,1.536,0.848,1.693,8.414,13.44,13.909,12.95,16.567,15.232,15.053,15.867,16.354,18.67,20.779,20.991,20.665,22.07,21.721,22.138,22.867,24.322,26.571,27.361,30.348,31.419,34.593,37.019,38.51,41.306,46.539,51.132,50.802,46.835,48.252,51.492,52.377,54.057,52.525,51.007,47.003,50.542,55.189,60.868,65.56,66.702,69.378,73.013,72.925,72.439,76.112,78.694,79.636,82.55,83.351,82.85,87.374,95.087,100,102.088,107.369,113.641,125.284,130.34
"38","31","  China, glassware, tableware, and utensils (d.)","BCHNRA3",16.528,11.979,12.813,12.981,11.915,11.938,11.03,13.143,14.637,13.415,13.499,14.495,17.342,16.272,13.466,12.561,15.054,23.796,24.778,26.171,24.378,25.33,24.603,23.466,23.715,23.584,24.613,23.479,21.467,20.518,21.066,20.401,20.348,21.001,20.769,22.808,25.458,28.787,30.106,30.843,31.102,30.621,31.191,32.641,35.664,34.904,32.799,35.031,37.801,41.231,42.425,42.497,43.268,45.036,46.088,48.539,49.434,50.623,49.283,52.647,55.815,57.448,56.718,60.181,63.879,68.096,72.724,77.119,80.691,84.699,93.36,100,102.884,111.208,118.734,125.459,131.772
"39","32","  Other durable house furnishings (d.) \8\","BODHRA3",8.299,7.062,6.697,5.469,4.478,4.918,5.321,7.012,6.816,6.304,7.064,7.397,8.426,7.853,7.587,6.875,6.959,9.981,10.521,11.597,11.499,12.809,12.677,11.881,11.617,10.921,12.368,12.97,13.207,13.089,14.155,14.017,14.26,15.387,16.944,19.251,20.889,22.698,23.335,24.839,24.665,24.229,24.766,27.026,30.504,31.645,30.794,33.329,36.526,39.062,41.292,39.856,39.027,37.855,41.76,46.275,48.109,53.164,57.982,60.039,59.707,58.261,55.406,57.042,61.198,67.087,71.211,75.724,80.655,85.644,93.768,100,101.919,107.104,115.505,126.891,136.061
"40","33","  Semidurable house furnishings (n.d.) \9\","BSDHRA3",8.612,7.476,7.944,7.277,7.146,7.292,7.765,9.703,10.159,9.983,12.598,13.402,14.213,13.309,13.719,13.51,13.079,16.209,13.525,14.425,16.504,18.534,18.192,18.522,18.416,17.781,19.008,19.494,19.444,18.877,19.875,20.197,21.135,23.063,23.893,26.279,28.03,30.419,31.136,32.328,31.432,30.731,30.401,31.763,34.514,32.585,31.937,33.279,34.683,36.085,37.245,37.497,38.923,37.572,39.104,42.309,43.967,48.038,49.193,51.444,53.568,55.024,57.029,62.152,65.227,69.235,72.637,77.037,81.028,86.68,93.658,100,102.503,109.36,121.919,134.604,145.943
"41","34","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","BCLPRA3",5.484,5.346,5.262,4.604,4.755,5.539,5.805,6.487,6.968,6.949,7.38,7.97,8.676,9.262,9.614,9.436,8.598,10.242,12.975,13.233,14.481,16.102,16.063,16.252,17.827,18.423,19.994,21.146,22.373,23.035,25.413,27.267,30.594,33.616,35.693,38.832,41.939,45.678,46.897,49.067,51.295,52.68,51.716,54.369,59.496,56.947,50.171,50.012,49.882,54.187,58.815,60.454,61.097,61.598,63.255,66.968,68.198,70.094,70.655,73.252,73.67,75.001,74.464,76.848,81.385,86.757,88.5,90.949,94.412,96.491,100.313,100,101.005,103.027,108.945,114.709,119.854
