"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66"
"33","24","      Paper manufacturing","I3220",1623,26,5,-14,-935,-232,93,444,1097,869,597,-299,-1362,-1223,-577,-22,-260,408,632,-98,1360,1295,541,-172,-261,-560,-235,-128,269,-821,-1003,-1125,-1607,-1043,-122,757,-1289,-746,-249,96,-187,401,-33,-685,-1738,-1740,-1424,122,1230,1313,728,-538,-582,-1190,-909,-408,-1252,-1088,-582,-206,64,-128,-95
"34","25","      Printing and related support activities","I3230",1116,-452,-363,-313,-391,-142,-193,22,917,660,248,-56,-753,-552,-340,112,-467,-125,409,578,1580,512,-200,-442,-365,-304,-17,142,36,-275,-194,-527,-364,-328,-429,17,-639,-273,-63,158,528,545,95,55,-766,-1028,-778,25,597,956,582,-255,324,-250,-584,-250,-559,-359,-45,220,-12,-76,-71
"35","26","      Petroleum and coal product manufacturing","I3240",1654,2061,1022,1142,4316,2143,1078,213,-177,-2255,-2416,-3860,-3148,-861,-1157,-954,906,685,822,1778,30,-1403,-2320,-4920,-3850,1147,-1150,-4055,-2728,-2752,-4684,-1451,-7959,-6656,-8817,-3540,-2696,-4024,1922,1346,-3565,-3694,-6762,-13303,3837,-10718,-2334,44774,2379,-3283,-7248,-7837,-8010,650,-1917,-13020,-12725,-5438,-2280,-8009,-3152,5412,476
"36","27","      Chemical manufacturing","I3250",847,752,-144,-124,-596,119,1060,2111,1031,219,-491,-1099,-1962,-2115,-2514,-1922,-1069,208,612,-87,1744,480,-463,-635,-3445,-1970,313,-373,-3147,-2878,-3754,-2165,-800,-1613,-2717,-9233,-3739,-3514,-1595,1706,-2143,-1817,-2397,-6327,-12987,-13378,-8515,4997,1924,1752,-103,-2448,48,-1240,-970,-4529,-10666,-6145,-1527,1056,-704,-1184,747
"37","28","      Plastics and rubber product manufacturing","I3260",158,-95,176,318,495,653,641,331,903,-38,-702,-775,-1354,-1520,-420,219,17,495,1348,535,3655,611,-1728,-2583,-1360,-758,320,-435,-563,-1253,-1587,-1934,-2131,-995,-622,-2112,-754,659,-1492,997,453,-600,-469,-757,-2218,-2300,-3272,2094,2451,937,-295,-547,-1885,-1389,-280,-170,-1846,-2618,-1111,181,-644,-652,668
"38",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","    Materials and supplies","I30M0",3406,1954,2325,3820,-1169,1557,5556,10288,9145,3908,-1963,-8642,-1082,-4236,-4229,-3014,-1715,207,4646,6336,5909,1888,-3150,-3886,-3605,-1054,-2285,-6349,-8682,-10470,-10658,-11303,-8590,-3419,-5479,-11141,-6400,-10631,-7662,-3497,-8107,-10411,-5962,-6387,-20174,-28641,-14831,33260,19671,14395,-3045,-17508,-6947,-6705,-4580,-18653,-23954,-16452,-8454,-708,-2728,2736,793
"40","30","      Durable goods industries","I30DM0",1122,1525,1942,2947,-1386,657,4025,7553,4714,2474,-411,-4316,2776,-1286,-3076,-1756,-243,-57,2855,3910,1730,354,-175,-264,586,901,-116,-3444,-4013,-6139,-7560,-7748,-5253,-1227,-803,-3680,-2762,-7853,-7381,-2641,-2175,-5524,-472,-1364,-11085,-17435,-9696,13881,12009,12739,-1843,-9512,-4710,-7000,-1055,-4896,-8876,-7637,-2858,190,-1476,872,3908
"41","31","      Nondurable goods industries","I30NM0",2284,429,382,873,217,900,1532,2735,4431,1434,-1552,-4326,-3858,-2950,-1153,-1258,-1472,264,1790,2426,4179,1534,-2975,-3622,-4191,-1955,-2169,-2906,-4669,-4330,-3098,-3555,-3337,-2191,-4675,-7461,-3638,-2778,-282,-857,-5932,-4887,-5490,-5024,-9089,-11205,-5134,19379,7661,1656,-1202,-7996,-2236,296,-3525,-13757,-15078,-8814,-5596,-899,-1252,1864,-3115
"42","32","    Work-in-process","I30W0",3281,2999,1454,2787,2328,2207,3133,4580,1475,-1151,-90,-1001,-1042,-4851,-1830,-3930,1949,3400,461,-874,3861,-638,-720,-1744,-4008,1138,-1739,939,-4558,-6377,-7176,-5222,-4022,-1822,-4073,-5899,-2166,-8820,-9129,-2486,-4086,-4951,-4025,-7899,-11417,-16470,-5519,19428,4305,1368,-732,-5383,-2296,-5000,-1967,-12064,-13702,-8684,-3867,-1002,-2580,1544,2179
"43","33","      Durable goods industries","I30DW0",2455,2325,1427,2932,1449,1907,2168,3618,1751,-514,25,-915,-218,-3716,-648,-2796,1216,2198,174,-499,5903,785,-710,-3618,-1225,1180,-1123,633,-2702,-4735,-5380,-3972,-1938,308,-1443,-3175,-2561,-5994,-5258,-3879,-1608,-2657,-831,-477,-8621,-10443,-4014,5047,5096,1723,239,-2924,-758,-4338,-312,-4861,-8250,-4984,-2189,1707,-1344,552,2640
"44","34","      Nondurable goods industries","I30NW0",826,674,27,-145,879,301,965,962,-276,-637,-115,-86,-824,-1135,-1182,-1134,733,1202,287,-375,-2042,-1423,-10,1874,-2783,-42,-616,306,-1857,-1642,-1795,-1250,-2084,-2130,-2630,-2724,395,-2826,-3871,1393,-2478,-2294,-3194,-7422,-2796,-6027,-1504,14381,-791,-355,-971,-2459,-1538,-662,-1655,-7203,-5451,-3700,-1677,-2709,-1236,992,-461
"45","35","    Finished goods","I30F0",1704,1827,3742,1513,4707,3194,2524,1155,4336,-1237,-2181,-2967,-7492,-4889,-2819,-2252,-8479,2399,6353,5610,7650,4489,-1922,-7880,-5872,-2347,-1460,-5056,-6059,-12468,-9613,-7309,-12400,-7610,-3250,-2700,-10425,-8832,-6278,-706,-6510,-5371,-6486,-16865,-17088,-28758,-20426,31008,13698,3238,-461,-8683,-9552,-7406,-5650,-10023,-26931,-13598,-6010,75,-3952,2316,-547
"46","36","      Durable goods industries","I30DF0",-1663,199,3379,2483,2309,1478,2037,705,740,-1267,-2,311,-1147,-872,-619,-1293,-4989,1812,2460,2657,2598,2284,1065,-1484,-845,572,118,-1500,-2429,-5019,-5909,-3588,-5028,-2485,990,796,-4905,-5778,-5515,-426,-2796,-1697,-860,-1600,-3560,-11348,-9838,4588,6164,2922,497,-3103,-1231,-3749,-1344,-2007,-8083,-4271,-2613,1679,-1868,692,2776
"47","37","      Nondurable goods industries","I30NF0",3367,1628,363,-971,2399,1717,487,449,3596,30,-2179,-3278,-6345,-4017,-2199,-959,-3490,586,3893,2953,5052,2205,-2987,-6396,-5027,-2919,-1578,-3556,-3629,-7449,-3704,-3722,-7372,-5125,-4240,-3496,-5519,-3054,-764,-280,-3714,-3673,-5625,-15266,-13528,-17410,-10588,26420,7533,316,-958,-5580,-8321,-3657,-4306,-8016,-18848,-9326,-3397,-1604,-2084,1624,-3323
"48","38","Wholesale trade industries","IWT0",5099,8961,7815,4057,10106,12576,10024,302,7842,2511,-3104,-9168,-16002,-4989,-245,2411,-6619,-2274,4565,21950,13639,2601,-15417,-15297,-11358,1769,-492,-15654,-14504,-15045,-10029,-16814,-9875,-7067,-7889,-20233,-11871,-16915,-22065,-23523,-24487,-13572,-13591,-44458,-55013,-54478,-20523,77157,36857,-5527,-9274,-24909,-8479,560,-14442,-53896,-60650,-32912,-15309,-11789,-8108,15460,-18456
"49",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","39","    Durable goods industries","IWTD0",5773,3757,6083,5333,5864,9609,8216,676,8116,4105,-1561,-4608,-6610,-1727,2162,6587,-3694,-985,3083,14003,11709,4649,-3339,-8522,-571,4487,2641,-9919,-9362,-10880,-7543,-7803,-4060,-290,3044,-13793,-8081,-9925,-14046,-7034,-5158,-5945,-4415,-8012,-16100,-27026,-12915,28135,21239,7231,-2997,-7577,-3661,-4384,-1725,-9197,-9093,-10965,-8618,-2684,-3048,592,2764
"51","40","    Nondurable goods industries","IWTN0",-675,5203,1732,-1277,4242,2967,1808,-373,-274,-1593,-1544,-4560,-9392,-3261,-2406,-4176,-2925,-1289,1482,7947,1930,-2048,-12079,-6775,-10788,-2717,-3133,-5735,-5142,-4165,-2486,-9010,-5815,-6777,-10933,-6439,-3790,-6989,-8019,-16489,-19329,-7627,-9176,-36446,-38913,-27451,-7608,49022,15618,-12758,-6277,-17332,-4818,4943,-12717,-44699,-51557,-21946,-6691,-9105,-5060,14868,-21220
"52",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","41","    Merchant wholesale industries","I42W0",3287,7369,6603,3341,8222,12032,8936,-1226,7034,2347,-2184,-8036,-12258,-5041,1479,3075,-5907,-2226,3537,20274,10711,2177,-13225,-9153,-9738,2621,-1380,-11574,-9640,-8653,-6549,-14650,-3555,-2759,-5945,-18369,-6047,-10455,-15073,-17859,-20307,-10568,-9571,-35686,-51317,-43210,-15879,55805,35877,-2367,-5758,-17329,-7511,1212,-14534,-49944,-47162,-23372,-10145,-9705,-5440,12984,-19016
"54","42","      Durable goods industries","I42WD0",4429,2477,4807,4521,4812,9517,7488,-404,7504,3569,-1297,-4404,-4670,-2651,2826,6031,-3542,-1045,2899,13623,10081,4085,-3663,-7130,-1075,3811,1293,-7611,-6290,-7396,-6419,-7891,-1456,926,2324,-14393,-5829,-7097,-11218,-5382,-3650,-5009,-3675,-7240,-16356,-22530,-11251,20787,18935,5999,-3861,-6949,-3325,-2964,-2289,-8057,-5653,-8481,-7566,-3240,-2004,-132,1328
"55","43","        Motor vehicles, parts, and supplies wholesalers","I42110",-550,346,1281,1799,-423,3269,862,-3965,154,-170,-103,-733,-86,-645,-407,-122,-952,132,-1836,3892,2917,1601,-1204,-1514,-812,3187,1341,-3932,-3437,-983,411,3564,1007,384,692,-1143,580,1586,-3013,43,2524,1645,-2597,-4068,-3249,-2005,5,2906,5170,853,-1699,-588,-105,-119,333,-1932,4525,-720,-3546,-2678,-392,-576,-816
"56","44","        Furniture and home furnishings wholesalers","I42120",69,103,5,-1,-210,65,-185,98,352,109,-164,-424,-454,-234,49,311,-59,12,56,-5,211,233,-265,-442,-226,-123,-35,101,-188,-174,-174,96,-140,-215,-149,-263,-40,109,-183,-554,-566,-296,-91,108,-654,-563,-268,22,105,-196,-145,-324,162,90,-213,-174,-472,-493,-194,99,-180,-160,-88
"57","45","        Lumber and other construction materials wholesalers","I42130",-371,-922,67,1002,25,285,330,387,-607,-648,-621,372,-552,199,869,436,622,-905,-399,581,347,-159,-84,-122,559,363,-609,-1240,-1311,-1733,-629,373,499,444,662,-2853,-1884,-752,900,1310,1074,-755,274,-869,-306,-505,-1052,7,549,352,-149,-433,-340,-1060,205,210,-633,-232,36,225,268,-184,-812
"58","46","        Professional and commercial equipment wholesalers","I42140",4245,2416,3117,1526,2553,3365,4231,4895,4919,2851,1487,311,467,664,1717,2443,1694,545,2826,3730,0,459,1636,1902,-325,-14,888,2399,1246,824,591,-413,1267,1117,1110,1027,1663,1286,735,187,-48,697,1244,1498,-1647,-354,1518,2524,2364,433,7,-378,339,1050,-565,-5,-2589,-276,1758,2519,-172,288,448
"59","47","          Computers and software wholesalers","I421430",2985,2926,2985,2804,2156,3583,4610,4820,4854,2983,1646,405,2407,1547,920,987,2374,943,2699,3240,-161,271,1945,2753,611,574,1072,1503,1336,1025,765,95,2075,1540,940,529,1808,1448,1004,412,717,1106,1382,1184,-387,200,1362,1994,1677,1058,487,223,-483,44,487,1032,-1653,245,1794,1942,180,336,356
"60","48","          Other professional and commercial equipment wholesalers","I4214X0",1260,-509,132,-1278,397,-218,-379,75,65,-132,-159,-93,-1939,-883,797,1457,-680,-398,127,490,161,188,-309,-851,-937,-588,-184,897,-90,-201,-173,-508,-808,-423,170,498,-145,-162,-269,-224,-765,-408,-138,315,-1261,-554,155,530,687,-625,-481,-601,823,1005,-1051,-1037,-937,-520,-36,577,-352,-48,92
"61","49","        Metal and mineral (except petroleum) wholesalers","I42150",-566,16,315,311,621,582,646,720,1738,1149,-67,-2260,-1219,-1035,-513,1319,465,489,412,386,1219,-202,-1216,-1288,-113,140,-96,-1865,-2819,-4830,-3389,-3738,-2708,1057,2288,-3409,-1005,-2218,-3232,-3165,-398,-2190,228,832,-1125,-9673,-7544,11900,12177,6765,-283,-5229,-4616,-2808,-519,1436,-4504,-2513,338,487,744,1260,2380
"62","50","        Electrical goods wholesalers","I42160",-582,-100,428,2218,-123,208,809,486,1522,812,-49,-960,1548,825,-86,-1323,-1691,136,1482,2095,2513,876,-186,-1520,1658,1144,-23,-1824,-633,-40,982,408,-95,356,43,-691,-323,-1002,-598,-346,-832,674,109,-914,-3177,-1422,706,1589,352,219,-123,-425,808,390,127,67,-2204,-860,400,1424,-624,-160,-276
