"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"12","4","Equals: Gross domestic purchases","A712RX1",1889.2,1890,1888.2,1939.7,1983.2,2031,2043.6,2048.5,2005.1,1998.2,2027.5,2024.1,2108.9,2176,2276.2,2313.1,2340,2366.9,2404.2,2408.3,2438.4,2457,2489.8,2580,2626.9,2652.2,2632.8,2590.9,2577.5,2575.2,2601.5,2648.4,2726.2,2779.4,2811.4,2831.9,2820.2,2834.4,2828.7,2863.4,2881.8,2880.9,2911,2885.7,2825.9,2849,2912.7,2987.5,3038.1,3113.9,3104.9,3117.4,3175,3154.2,3162.2,3114.1,3136,3198.7,3261.8,3326.7,3391.7,3416,3460.5,3479.3,3511,3541.2,3624.5,3641.4,3709.6,3754.4,3811.6,3823.7,3935,3973.5,4068.1,4158.6,4270.6,4283.6,4333.5,4365.9,4405.1,4409.4,4455.7,4496.2,4593.7,4670.3,4703.7,4725.8,4806.2,4815.8
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",149.3,156.5,153.8,136.8,129.6,115.3,114.4,108.6,119.9,117.3,106.6,91.2,88.4,89.3,90.5,97.9,105.2,119,125.1,124.4,127.7,113,103.2,103.4,102,102.3,105.7,101.4,96,109.1,105.5,110.1,114.2,111.4,118.5,119.1,124.4,133,137.5,144.4,154.3,149.9,145.1,139.8,123.7,123.3,123.3,123,129.7,133.8,138.6,135.8,152.8,161.6,157.6,159.6,159.1,158.7,157.2,163,162.1,175.4,165.1,161.4,164.5,183.3,172.9,180.5,191.3,193.7,192.9,200,181.8,214.3,201.2,213.5,212,221.1,213.5,222.6,230.1,226.4,218.7,223.7,229.4,236.3,244.6,239.8,212.1,256.7
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",61,65.9,60.7,64.7,73.7,75.9,77.7,75.2,71.6,70.2,67.5,68.6,71.8,76.9,95.9,99,104,105.5,99.2,95.7,102.3,99.7,103.2,110.3,106.5,110.7,109.4,103.7,98.3,107.4,101.6,102.5,106.9,112.4,113.8,117.5,121.6,120.8,121.3,116.1,124.5,124.7,120.7,119.2,117.2,120.5,118.2,124.5,127.3,133.7,135.1,132.4,136.8,137.3,133.3,126.1,125.5,126.7,134.7,137.5,139.5,142.2,143.2,145.4,142.5,146.4,150.8,150.1,150.7,154.4,157.5,161.7,156.5,173.4,174.5,183.6,188.2,193.2,201.8,203.7,206.2,202.9,203.7,212.3,223.9,226.6,238.2,234.6,211.3,250.8
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",1972.7,1977.2,1980,2018.5,2038.6,2064,2076.1,2085,2052.3,2036.5,2063,2043.9,2125,2186.1,2270.3,2317.8,2352.7,2394.1,2437.7,2440.3,2463,2463,2491.3,2572.8,2620.2,2640.5,2627.1,2584,2567.6,2567.1,2601,2655.2,2735.2,2776.1,2814.3,2840.7,2830.8,2844.6,2847,2887.8,2914.3,2908.5,2932.8,2888.7,2822.1,2837.5,2913.9,2992.2,3039.9,3109.3,3102.5,3115,3191.9,3176.2,3181.3,3138.1,3163.2,3225.2,3280.4,3350.9,3413.5,3444.6,3476.7,3488.4,3524.3,3572.4,3641.6,3672.5,3748.6,3789.8,3839.3,3855.5,3956.2,4009.8,4087.4,4182.2,4289.4,4302.7,4340,4380.7,4424.7,4424.6,4464.9,4502.1,4594.3,4672,4703.2,4724.9,4802.3,4814.9
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",11.7,12.5,12.6,13.9,14.7,15.3,15.8,15.2,15.3,14.8,14.6,13.6,14.6,15.4,17.4,17.3,16.8,19.2,19.8,20.6,19.2,19.7,19.4,19.3,19.1,20,18.5,18.9,19.7,19.6,19.7,21.8,22.5,22.8,23.1,23.5,25.5,25.1,25.8,23.4,26.5,28.1,27.2,22.9,23.4,23.2,23,23.2,23.6,24.1,25.9,27.5,28,28,28.7,29.3,30.7,29.7,30.7,31.5,31,33.3,33.7,37.6,36.3,35.9,36.9,38.2,40.7,39.9,40.7,39.4,43.6,44.8,43,40.7,42,42.3,42.7,44.5,44.2,43.3,46,46,48,49.8,51.3,51.2,53.5,54.9
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",3.8,3.7,3.6,4.3,4.1,4.1,4.8,4.3,5,4.9,5,5.1,5.4,5.5,5.6,5.7,6,6.1,6,5.8,5.6,5.9,6,6.2,6.2,6.2,6.4,6.7,6.4,6.3,6.2,6.2,6.4,7,7.1,7.1,7.2,7,7.3,7.4,7.4,7.3,7.5,7.5,7.6,7,7.4,7.8,8.2,8.6,9.2,9.7,10.8,10.5,10.3,9.9,10,10.1,10.5,10.8,10.3,10.5,10.6,10.7,10.8,11.4,11.9,12.3,12.5,12.8,12.8,13.5,13.7,14,14.4,14.8,15.1,15.4,16.4,16.9,16.9,16.8,16.7,17.5,18.7,19.9,20.4,20.7,22.9,25.6
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",1980.7,1986,1988.9,2028,2049.3,2075.2,2087.2,2095.9,2062.6,2046.5,2072.6,2052.4,2134.3,2196,2282.2,2329.5,2363.5,2407.2,2451.5,2455,2476.7,2476.7,2504.7,2585.9,2633.1,2654.3,2639.2,2596.2,2580.9,2580.4,2614.5,2670.8,2751.3,2791.9,2830.2,2857.1,2849.1,2862.6,2865.5,2903.8,2933.4,2929.2,2952.5,2904.1,2837.9,2853.7,2929.5,3007.7,3055.3,3124.7,3119.2,3132.9,3209.1,3193.8,3199.8,3157.6,3184,3244.9,3300.6,3371.6,3434.2,3467.4,3499.8,3515.3,3549.8,3596.9,3666.6,3698.4,3776.8,3817,3867.3,3881.4,3986.1,4040.7,4116,4208.1,4316.3,4329.6,4366.3,4408.3,4452,4451,4494.2,4530.5,4623.7,4701.9,4734.1,4755.4,4832.9,4844.3
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",1802.5,1805.4,1807.2,1847.2,1868.6,1895.1,1907.5,1916.2,1881.3,1864.1,1890.5,1869.9,1953,2015,2100.8,2147.9,2181.6,2221.9,2264.3,2263.6,2283.9,2280.1,2305.7,2386.4,2431.3,2448.2,2430.1,2381.2,2359.9,2355.7,2387.2,2440.2,2519.9,2558.7,2594.9,2618.9,2604.5,2615.1,2613.8,2652.7,2676.5,2666.4,2687.4,2636.6,2562.1,2573.9,2649.6,2728.1,2775.1,2844.6,2834.7,2844.6,2921.8,2902.3,2904.1,2855.1,2877.2,2937.7,2991,3060.2,3120.7,3148.6,3177.1,3184.1,3216.1,3261,3327.5,3354.1,3427.9,3465.2,3510.7,3521.5,3619.7,3668.5,3742.1,3833.2,3936.7,3942.8,3973.8,4008.2,4046.1,4038.2,4072.4,4103.3,4191.7,4264.5,4289.2,4304,4376.2,4381.9
"21","12","  Net domestic product","A362RX1",1762.7,1758.6,1755.3,1786.8,1817.1,1850.7,1862.2,1864,1834.2,1826.4,1848.1,1828.6,1910.2,1974,2058.1,2100.5,2130.3,2169,2216.2,2218.4,2241.4,2243,2257.4,2336.8,2381.3,2397.9,2378.8,2334.2,2317.8,2316.9,2343.1,2391.5,2465.3,2506.9,2541.5,2555.3,2540.3,2560.2,2554,2598,2613.2,2602.7,2627.4,2592,2510.3,2525.1,2588.4,2654.7,2708.5,2781.1,2772.2,2781.6,2849.4,2834,2838.6,2795.6,2813.4,2869.3,2920,2983.4,3040.1,3073,3101.5,3110.2,3144.5,3186.1,3251.7,3272.8,3348.2,3388.1,3434.5,3442.5,3532.8,3580.9,3656.6,3747.3,3844.5,3854.8,3878.3,3908.3,3941.6,3937.8,3969,3997.9,4083.1,4154,4180.4,4194.1,4260.4,4268.7
"22","13","  Command-basis net national product \4\","C027RX1",1810.7,1814.5,1816.5,1857.2,1879.7,1906.7,1918.9,1927.5,1892,1874.4,1900.5,1878.8,1962.7,2025.3,2113.1,2160,2192.8,2235.5,2278.7,2279,2298.1,2294.4,2319.7,2400.1,2444.7,2462.6,2442.8,2393.9,2373.7,2369.5,2401.3,2456.4,2536.6,2575.2,2611.5,2636,2623.7,2633.9,2633.1,2669.5,2696.5,2688.1,2708.1,2652.7,2578.7,2590.7,2665.9,2744.3,2791.1,2860.7,2852.1,2863.3,2939.8,2920.6,2923.3,2875.4,2898.8,2958.2,3012.1,3081.8,3142.2,3172.3,3201.2,3212.1,3242.6,3286.5,3353.6,3381,3457.3,3493.4,3539.8,3548.4,3650.7,3700.6,3771.8,3860.1,3964.6,3970.8,4001,4036.8,4074.4,4065.6,4102.8,4132.8,4222.1,4295.6,4321.2,4335.7,4407.8,4412.3
"23","14","  Net national product","A027RX1",1775.4,1771.8,1768.5,1800.6,1832.1,1866.4,1878,1879.7,1849.3,1841.2,1862.5,1841.9,1924.3,1989,2075.4,2117.8,2147.1,2188.2,2236.1,2239.3,2261.3,2263,2277.2,2356.3,2400.7,2418.3,2397.4,2352.7,2337.5,2336.5,2362.9,2413.4,2487.7,2529.1,2563.9,2578.2,2565.1,2584.9,2579.2,2620.7,2639.2,2630.3,2654,2614.1,2532.7,2547.8,2610.6,2676.8,2730.6,2803.2,2795.6,2806.3,2873.5,2858.4,2863.9,2822,2841.1,2895.9,2947.2,3011.2,3067.9,3103.1,3131.9,3144.3,3177.2,3217.9,3284.2,3306.1,3384.2,3422.9,3470.3,3476.2,3570.4,3619.7,3693.2,3781.3,3879.6,3889.9,3912.8,3944.2,3977.1,3972.6,4006.7,4034.8,4120.9,4192.6,4220,4233.4,4299.9,4307.1
"24",NA,"  Trade indexes (seasonally adjusted):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Trading gains index \5\","W368RG3",102.318,102.602,102.747,102.708,102.596,102.496,102.418,102.391,102.389,102.333,102.274,102.203,102.062,101.991,101.902,101.788,101.695,101.637,101.666,101.726,101.769,101.821,101.885,101.951,102.004,102.039,102.046,102.028,101.962,101.928,101.894,101.89,101.952,101.968,101.981,101.996,102.016,102.027,102.049,102.062,102.104,102.135,102.169,102.201,102.254,102.281,102.283,102.279,102.246,102.23,102.246,102.25,102.271,102.263,102.262,102.253,102.272,102.341,102.335,102.371,102.425,102.367,102.377,102.36,102.326,102.3,102.262,102.238,102.209,102.183,102.226,102.266,102.343,102.34,102.311,102.241,102.3,102.289,102.357,102.413,102.502,102.504,102.493,102.515,102.518,102.584,102.509,102.508,102.562,102.548
"26","16","    Terms of trade index \6\","W369RG3",147.541,148.038,147.671,146.322,143.887,142.633,142.353,142.429,143.135,141.949,140.311,138.271,133.525,131.005,128.085,124.651,121.916,119.91,119.928,121.403,123.406,125.051,127.032,128.97,130.623,131.685,131.86,131.285,129.189,128.138,127.075,126.951,128.931,129.407,129.821,130.32,130.962,131.304,131.989,132.265,133.502,134.419,135.622,136.839,138.833,139.727,139.827,139.68,138.653,138.153,138.631,138.73,139.332,139.154,139.112,139.045,139.55,141.551,141.446,142.556,144.446,142.85,143.262,142.711,141.62,140.804,139.652,139.032,138.141,137.407,138.698,139.773,141.778,141.906,141.066,139.088,140.725,140.413,142.436,144.03,146.553,146.733,146.539,147.261,147.353,149.257,147.151,147.157,148.773,148.38
"27","17","      Terms of trade, goods \7\","W370RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.962,165.839,165.139,165.725,165.378,168.283,165.34,165.013,166.873,165.751
"28","18","      Terms of trade, nonpetroleum goods \8\","W371RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.736,115.836,115.621,115.896,115.325,117.413,115.24,115.204,116.31,115.494
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Uses gross domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Uses net domestic purchases price index as deflator.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","5. Ratio (multiplied by 100) of price index for gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","to the price index for gross domestic purchases.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","6. Ratio (multiplied by 100) of the price index for exports of goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","and services to the price index for imports of goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
