"","Table 7#4#4# Price Indexes for Housing Sector Output, Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Tenant-occupied","DTENRG3",11.877,11.56,10.945,9.828,9.178,7.911,7.911,8.097,8.47,8.749,8.75,8.786,8.935,9.121,9.14,9.158,9.196,9.252,9.549,10.183,10.63,11.002,11.449,11.914,12.547,12.993,13.179,13.421,13.664,13.924,14.115,14.325,14.51,14.689,14.853,14.983,15.138,15.352,15.618,16.003,16.512
"12","5","  Farm housing","DFARRG3",7.118,6.77,6.092,5.256,4.89,5.132,5.48,5.556,5.857,5.957,5.904,5.874,5.986,6.375,6.817,7.412,8.19,9.91,10.818,11,10.093,10.335,11.195,11.984,12.085,11.643,11.825,11.725,12.043,12.515,13.587,14.003,14.596,14.897,15.493,15.935,16.121,16.781,17.606,18.075,19.303
"13","6","Less: Intermediate goods and services consumed","B1027G3",15.541,15.326,14.698,13.558,11.886,10.34,10.228,10.246,10.71,11.326,11.205,11.222,11.301,11.866,12.196,12.317,12.394,12.054,12.376,13.125,13.585,14.009,14.526,15.131,15.917,16.513,16.79,17.106,17.533,17.97,18.52,18.989,19.412,19.798,20.158,20.328,20.531,20.871,21.47,21.623,22.168
"14","7","Equals: Gross housing value added","A2009G3",11.159,10.818,10.18,9.079,8.172,7.5,7.553,7.751,8.115,8.336,8.344,8.375,8.533,8.712,8.737,8.81,8.923,9.209,9.579,10.172,10.503,10.87,11.361,11.848,12.452,12.81,12.988,13.204,13.432,13.688,13.888,14.089,14.268,14.427,14.594,14.746,14.892,15.114,15.388,15.8,16.338
"15","8","  Nonfarm housing","B499RG3",11.655,11.319,10.695,9.565,8.585,7.778,7.785,8.001,8.37,8.606,8.624,8.663,8.827,8.977,8.949,8.961,9,9.127,9.438,10.073,10.528,10.907,11.364,11.825,12.468,12.886,13.064,13.3,13.523,13.767,13.918,14.108,14.267,14.42,14.568,14.708,14.852,15.058,15.312,15.722,16.237
"16","9","    Owner-occupied","B1300G3",11.769,11.446,10.836,9.721,8.386,7.867,7.854,8.05,8.421,8.684,8.692,8.734,8.885,9.081,9.058,9.068,9.104,9.246,9.573,10.214,10.655,11.023,11.459,11.903,12.537,12.939,13.114,13.345,13.569,13.815,13.984,14.18,14.339,14.492,14.646,14.785,14.922,15.119,15.392,15.796,16.304
"17","10","    Tenant-occupied","B1301G3",11.351,11.005,10.371,9.244,8.678,7.561,7.589,7.822,8.183,8.388,8.415,8.451,8.624,8.725,8.693,8.707,8.749,8.854,9.139,9.759,10.23,10.621,11.109,11.597,12.252,12.699,12.884,13.131,13.349,13.586,13.692,13.87,14.026,14.177,14.311,14.454,14.614,14.841,15.044,15.469,15.997
"18","11","  Farm housing","B1302G3",7.118,6.77,6.092,5.256,4.89,5.132,5.48,5.556,5.857,5.957,5.904,5.874,5.986,6.375,6.817,7.412,8.19,9.91,10.818,11,10.093,10.335,11.195,11.984,12.085,11.643,11.825,11.725,12.043,12.515,13.587,14.003,14.596,14.897,15.493,15.935,16.121,16.781,17.606,18.075,19.303
"19","12","Less: Consumption of fixed capital","B1028G3",5.303,5.205,4.725,3.838,3.784,4.203,4.15,4.341,4.805,4.957,4.987,5.165,5.636,6.028,6.488,7.061,7.566,8.245,9.925,10.764,10.894,11.153,11.95,12.269,12.352,12.393,12.633,12.963,13,12.968,13.02,13.105,13.118,13.137,13.047,13.142,13.463,13.939,14.407,15.165,16.295
"20","13","Equals: Net housing value added","B952RG3",14.152,13.679,12.983,11.821,10.426,9.094,9.212,9.402,9.674,9.924,9.919,9.861,9.83,9.886,9.69,9.527,9.464,9.575,9.364,9.845,10.26,10.67,11.033,11.581,12.375,12.847,13.002,13.174,13.468,13.821,14.069,14.306,14.537,14.739,14.984,15.153,15.243,15.387,15.6,15.905,16.261
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals personal consumption expenditures for housing excluding expenditures for group housing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","as shown in table 2.5.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
