"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"50","42","  Travel","B768RL1",NA,102.1,38.2,-56.3,1.7,-15.7,17,-20.5,43.3,6.5
"51","43","  Passenger fares","B769RL1",NA,-6.9,-6.8,20,-16.6,17.3,27.2,2.5,42.9,14.7
"52","44","  Other transportation","B770RL1",NA,-9.3,-26.7,35.9,40.6,-8.7,20.7,-9.4,-36.2,98.7
"53","45","  Royalties and license fees","B908RL1",NA,-2.8,-3.5,26.8,44.9,-31.6,-5,13.1,79.9,-17.8
"54","46","  Other private services","B909RL1",NA,32.4,47.2,-7.8,-10.2,51.3,8.8,21.2,10.8,9.2
"55","47","  Other","B910RL1",NA,10.9,11.9,12.7,-16.2,-3.1,5.9,164.3,-60.4,3.6
"56",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","48","  Exports of durable goods","A332RL1",NA,3.2,-10.2,4.3,17,16.6,25.4,-5.2,-27.8,92.5
"58","49","  Exports of nondurable goods","A339RL1",NA,-5.9,0.3,10.8,10.5,-7.7,38.9,-15.5,-63.2,316.1
"59","50","  Exports of agricultural goods \2\","B181RL1",NA,-5.4,-12.5,21.3,18.6,-35.5,25.9,-13.6,-81.3,796.9
"60","51","  Exports of nonagricultural goods","A182RL1",NA,0.8,-4,3.6,14.9,21.2,35.3,-11.1,-36.5,114.7
"61","52","  Imports of durable goods","A333RL1",NA,-6.4,13.1,40.8,65.8,7.1,22.5,3.8,-41.7,160.3
"62","53","  Imports of nondurable goods","A340RL1",NA,-15.9,-6.5,44.8,7.6,14.1,41.2,-17.7,-43.2,153.1
"63","54","  Imports of nonpetroleum goods","A187RL1",NA,-12.5,10.4,39.5,36.5,11.1,28.9,-6.2,-44.9,169.9
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
