"","Table 2#8#4# Price Indexes for Personal Consumption Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","3","  Durable goods","DDURRG3",54.478,54.51,54.578,54.633,54.724,54.833,54.86,54.605,54.698,54.659,54.703,54.728,54.611,54.7,54.54,54.606,54.6,54.451,54.456,54.468,54.23,54.185,54.54,54.146,54.276,54.295,54.327,54.443,54.572,54.653,54.695,54.784,54.933,54.883,54.626,54.7,54.653,54.734,54.844,54.749,54.762,54.934,54.975,54.982,55.029,54.772,54.792,54.772,54.692,54.811,54.887,54.896,54.932,55.065,55.022,54.994,55.341,55.347,55.26,55.272,55.323,55.435,55.359,55.383,55.322,55.316,55.348,55.267,55.227,55.093,55.186,55.233,55.206,55.175,55.158,55.113,55.166,54.742,54.701,54.754,54.745,54.307,54.32,54.668,54.234,54.429,54.415,54.569,54.578,54.631,54.794,54.839,54.871,54.958,55.009,55.288,55.019,54.933,54.959,55.106,55.234,55.297,55.612,55.83,56.021,56.31,56.481,56.363,56.624,56.743,56.884,56.982,57.103,57.204,57.372,57.552,57.79,57.987,58.214,58.09,58.191,58.417,58.701,58.809,58.833,58.979,59.08,59.184,59.202,59.455,59.558,59.547
"12","4","  Nondurable goods","DNDGRG3",19.874,19.882,19.868,19.88,19.858,19.903,19.923,19.962,20.013,20.062,20.028,20.032,20,20.001,20.037,20.163,20.154,20.15,20.182,20.227,20.238,20.272,20.343,20.373,20.368,20.378,20.334,20.241,20.223,20.189,20.253,20.265,20.248,20.224,20.226,20.202,20.235,20.323,20.331,20.38,20.353,20.317,20.255,20.309,20.545,20.494,20.49,20.443,20.516,20.533,20.467,20.441,20.467,20.548,20.632,20.684,20.591,20.628,20.675,20.73,20.799,20.805,20.8,20.805,20.772,20.814,20.848,20.834,20.897,20.91,20.945,20.978,21.001,20.987,21.036,21.092,21.161,21.366,21.37,21.317,21.281,21.321,21.348,21.444,21.525,21.674,21.774,21.846,21.825,21.852,21.867,22.02,22.096,22.124,22.13,22.142,22.124,22.135,22.119,22.109,22.143,22.229,22.321,22.405,22.454,22.482,22.566,22.583,22.701,22.791,22.84,22.914,23.008,23.059,23.123,23.228,23.289,23.404,23.47,23.494,23.586,23.602,23.703,23.837,23.93,24.113,24.221,24.273,24.39,24.412,24.549,24.698
"13","5","Services","DSERRG3",12.133,12.149,12.169,12.211,12.23,12.274,12.317,12.353,12.389,12.43,12.463,12.49,12.502,12.522,12.529,12.555,12.589,12.614,12.646,12.668,12.695,12.711,12.741,12.757,12.754,12.774,12.779,12.806,12.822,12.848,12.87,12.881,12.911,12.925,12.943,12.959,12.997,13.019,13.042,13.054,13.084,13.108,13.121,13.13,13.139,13.153,13.174,13.189,13.226,13.235,13.24,13.25,13.278,13.287,13.301,13.314,13.331,13.365,13.387,13.402,13.421,13.452,13.477,13.495,13.52,13.54,13.557,13.593,13.608,13.63,13.645,13.665,13.686,13.707,13.72,13.74,13.766,13.779,13.802,13.831,13.861,13.887,13.92,13.95,13.979,14.01,14.032,14.087,14.134,14.189,14.227,14.259,14.314,14.372,14.409,14.442,14.475,14.511,14.533,14.575,14.606,14.654,14.684,14.72,14.771,14.818,14.863,14.912,14.973,15.044,15.108,15.16,15.22,15.285,15.336,15.398,15.459,15.525,15.582,15.648,15.722,15.776,15.856,15.924,16.009,16.066,16.148,16.207,16.285,16.366,16.434,16.515
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRG3",17.597,17.609,17.626,17.67,17.69,17.741,17.782,17.81,17.856,17.887,17.92,17.947,17.953,17.986,17.988,18.021,18.05,18.062,18.095,18.122,18.136,18.147,18.196,18.191,18.194,18.212,18.219,18.244,18.268,18.295,18.325,18.344,18.381,18.387,18.391,18.408,18.431,18.461,18.503,18.507,18.532,18.567,18.581,18.583,18.618,18.616,18.629,18.635,18.672,18.691,18.701,18.722,18.755,18.786,18.803,18.819,18.853,18.895,18.913,18.94,18.968,19.005,19.023,19.042,19.059,19.073,19.093,19.119,19.128,19.136,19.164,19.191,19.216,19.239,19.249,19.272,19.307,19.302,19.321,19.358,19.381,19.374,19.41,19.469,19.476,19.524,19.55,19.619,19.672,19.736,19.795,19.831,19.893,19.959,20.009,20.07,20.09,20.125,20.155,20.211,20.256,20.307,20.375,20.438,20.509,20.585,20.65,20.701,20.791,20.88,20.963,21.039,21.119,21.201,21.272,21.355,21.442,21.529,21.611,21.677,21.761,21.836,21.939,22.024,22.113,22.19,22.293,22.357,22.447,22.543,22.63,22.714
"16","7","  Food \1\","DFXARG3",17.622,17.556,17.522,17.473,17.434,17.492,17.523,17.458,17.538,17.543,17.467,17.461,17.434,17.414,17.504,17.682,17.683,17.653,17.651,17.657,17.667,17.766,17.833,17.903,17.879,17.895,17.869,17.828,17.746,17.678,17.723,17.697,17.657,17.659,17.626,17.656,17.737,17.831,17.875,17.884,17.85,17.831,17.772,17.83,18.042,17.985,18.002,17.886,18.042,18.071,17.993,17.909,17.905,18.076,18.144,18.15,18.082,18.06,18.154,18.193,18.324,18.328,18.329,18.342,18.303,18.39,18.446,18.437,18.544,18.558,18.574,18.584,18.547,18.496,18.562,18.626,18.721,19.046,19.052,18.918,18.85,18.872,18.907,19.028,19.138,19.411,19.569,19.658,19.545,19.548,19.48,19.753,19.806,19.804,19.737,19.692,19.586,19.554,19.498,19.398,19.427,19.568,19.65,19.732,19.71,19.744,19.778,19.797,19.9,19.979,20.01,20.075,20.141,20.134,20.193,20.27,20.345,20.486,20.52,20.524,20.595,20.561,20.624,20.748,20.874,21.121,21.245,21.311,21.448,21.442,21.643,21.834
"17","8","  Energy goods and services \2\","DNRGRG3",10.999,11.153,11.163,11.221,11.195,11.177,11.166,11.305,11.268,11.432,11.452,11.475,11.424,11.416,11.352,11.419,11.401,11.451,11.541,11.631,11.619,11.564,11.676,11.621,11.653,11.661,11.57,11.388,11.458,11.473,11.552,11.607,11.62,11.559,11.605,11.491,11.522,11.606,11.459,11.609,11.596,11.503,11.404,11.527,11.745,11.674,11.682,11.761,11.677,11.665,11.585,11.56,11.606,11.481,11.589,11.694,11.537,11.615,11.582,11.598,11.56,11.553,11.531,11.524,11.489,11.499,11.499,11.48,11.513,11.549,11.571,11.617,11.686,11.679,11.725,11.738,11.737,11.774,11.761,11.759,11.783,11.859,11.847,11.89,11.882,11.859,11.87,11.871,11.906,11.904,11.95,11.964,12.033,12.056,12.08,12.1,12.144,12.154,12.13,12.199,12.189,12.206,12.217,12.235,12.324,12.255,12.358,12.277,12.345,12.368,12.355,12.311,12.355,12.396,12.398,12.485,12.439,12.463,12.503,12.441,12.521,12.545,12.66,12.749,12.744,12.802,12.771,12.79,12.793,12.82,12.789,12.848
"18","9","  Market-based PCE \3\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
