"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210"
"102","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",68901,69221,69012,69103,69124,68868,69093,69396,70052,69362,70044,71980,67989,68571,69341,69741,69376,70126,69460,69622,69945,70847,69864,71286,70445,70364,70306,71197,71412,70937,71080,70450,71155,71096,70495,71473,71028,71179,71176,70366,71316,71713,71927,71769,70236,70866,71878,71420,71997,72839,73618,73157,72637,73837,75859,75890,76509,75970,77400,76695,77533,76291,77394,77743,77999,77634,77563,78029,78903,79671,80139,80119,81054,81167,80655,80360,80459,81725,81280,81395,82136,82903,82529,82980,83070,83905,83740,83994,84414,84351,85153,85334,84764,85179,84693,86080,85639,85395,84210,84709,84658,84717,85460,84465,84362,84657,85261,86229,84600,83945,84999,84375,85580,86265,85654,85266,83821,82142,81728,80753,81177,80947,79528,80368,80378,79968,80048,79992,80445,80242,80639,81527,81037,82449,81829,81566,81733,81536,81342,81647,82217,82494,83029,84554,83207,83236,83263,83250,82898,83248,82410,83044,82935,82962,82998,82264,83215,83135,83422,83418,83620,83072,83793,83681,82369,83216,82110,82223,83090,82769,82691,81249,82328,81930,82356,82165,82783,82422,82685,82643,82550,82928,83385,83648,83485,83602,83510,83454,83804,83577,83447,83389,83974,82621,83787,83295,83949,84062,84278,84011,84048,83659,84203,84147,84604,83615,84133
"103","95","          Coffee, tea, and other beverage materials","DCTMRX0",8183,8230,8228,8267,8252,8250,8252,8285,8359,8213,8333,8613,8067,8149,8261,8252,8245,8307,8298,8307,8341,8397,8380,8500,8429,8419,8373,8504,8540,8546,8481,8493,8487,8488,8440,8510,8452,8436,8486,8411,8425,8448,8439,8416,8337,8407,8474,8454,8555,8608,8610,8642,8587,8642,8823,8854,8910,8869,8903,8837,8990,8886,8991,9026,9094,9050,9035,9087,9126,9147,9215,9160,9126,9110,9110,9006,9002,8983,8989,9077,9110,9148,9138,9219,9251,9270,9238,9354,9366,9450,9490,9526,9452,9616,9444,9490,9528,9480,9467,9437,9424,9446,9502,9421,9464,9485,9635,9608,9545,9718,9643,9665,9685,9780,9739,9727,9775,9636,9696,9641,9685,9674,9667,9783,9806,9832,9810,9689,9689,9720,9731,9792,9757,9852,9734,9677,9700,9648,9562,9695,9521,9584,9646,9782,9687,9720,9533,9482,9323,9264,9217,9219,9205,9283,9212,9111,9237,9285,9331,9328,9421,9377,9491,9499,9564,9652,9678,9623,9700,9814,9912,9866,9971,10044,10068,10129,10197,10084,10170,10298,10274,10285,10255,10222,10131,10159,10062,10040,10043,10028,10057,10049,10006,9893,10040,9936,10106,10135,10064,10128,10194,10156,10255,10162,10239,10185,10302
"104","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",60727,60998,60790,60840,60876,60621,60845,61115,61697,61156,61715,63370,59928,60427,61084,61496,61137,61826,61167,61320,61609,62457,61488,62792,62020,61949,61938,62698,62877,62395,62604,61961,62673,62613,62060,62968,62580,62748,62696,61961,62895,63270,63493,63358,61904,62464,63409,62971,63446,64235,65014,64520,64054,65200,67042,67042,67604,67106,68502,67864,68548,67411,68408,68722,68910,68589,68533,68948,69782,70530,70930,70966,71937,72066,71554,71364,71467,72758,72306,72330,73040,73771,73406,73775,73832,74651,74517,74653,75063,74912,75675,75821,75325,75573,75261,76605,76124,75928,74755,75285,75248,75284,75972,75057,74909,75183,75636,76635,75064,74233,75365,74717,75905,76494,75923,75547,74047,72507,72032,71112,71491,71273,69861,70585,70573,70137,70238,70304,70755,70522,70908,71735,71280,72598,72095,71891,72035,71889,71782,71953,72702,72915,73389,74779,73525,73519,73742,73782,73599,74016,73221,73859,73764,73706,73820,73189,74013,73879,74119,74119,74223,73716,74322,74200,72808,73567,72426,72599,73390,72945,72763,71362,72336,71860,72262,72008,72558,72312,72488,72314,72246,72613,73102,73401,73332,73420,73430,73396,73745,73533,73372,73322,73956,72713,73732,73346,73825,73908,74200,73865,73833,73483,73926,73966,74345,73408,73807
"105","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",84832,84727,85103,86712,86567,85958,86604,87155,88152,88512,88548,91879,88939,90338,91886,90934,92087,93200,93388,93628,94356,95308,95785,94695,96228,95469,95014,96084,97407,96822,96136,96113,96296,95916,96216,96475,96328,96898,97732,97889,97967,98093,98268,97308,97675,97157,98090,99433,98185,97890,97728,97566,96034,96610,97531,98431,98341,98705,97990,98350,98869,98552,99017,99092,99964,99374,99839,99748,99811,100640,100113,99733,99410,101642,100660,101157,100935,101602,101434,102169,102891,103656,103859,104647,104997,106770,105082,106218,106491,106207,106624,106939,107155,107546,108273,108917,108437,108906,108726,107931,109345,109444,109427,107690,108163,107357,107809,109008,107367,106904,107527,107374,107845,109743,109514,108846,108290,107650,106783,105428,105974,105621,105666,105675,105794,104879,104849,105564,106365,106815,106900,109555,109841,111679,111769,111953,111532,111894,110139,113146,112761,113378,114039,113351,114007,115260,114630,114598,114980,115733,116242,116668,117028,117331,118060,115835,118477,118639,119752,120376,120739,120008,119529,119060,119684,120588,120198,120212,119953,120411,119562,117962,119177,118085,118661,118793,119892,119010,119453,120261,119486,120047,120166,120861,120287,122945,122049,121203,121768,121435,121147,121462,122219,122577,123729,123017,123769,124556,124751,124768,124687,123671,124511,124205,123247,123419,124126
"106","98","        Spirits","DLIQRX0",16310,16261,16171,16651,16590,16380,16513,16538,16677,16791,16732,17126,16787,16983,17224,17105,17368,17529,17626,17736,17780,17993,18115,17567,18157,17862,17817,17809,17882,17966,17834,17809,17886,17903,18173,18276,18107,18325,18288,18194,18198,18215,18186,18049,18000,17852,18010,18475,18260,18304,18459,18576,18424,18603,18898,19190,19368,19466,19286,19504,19447,19673,19791,19808,20120,20053,20082,20105,20247,20469,20379,20327,20182,20907,20587,20824,20776,21071,21099,21218,21435,21617,21804,21934,22164,22528,22258,22523,22709,22706,22889,23012,23080,23171,23467,23678,23707,23911,24028,23894,24408,24519,24466,24204,24484,24064,24214,24499,24041,24019,24256,24065,24115,24794,24768,24539,24426,24572,24333,24113,24166,24108,24030,23884,23976,23793,23880,23996,24072,23965,24193,24870,24853,25232,25146,25363,25248,25343,24926,25649,25501,25819,26063,25644,25869,26136,26033,26010,25979,26199,26254,26438,26540,26634,26873,26268,27104,27223,27559,27733,27976,27699,27572,27345,27652,27941,27961,28011,27955,28075,27690,27522,27915,27604,27828,27864,28103,27819,27889,28099,27981,28077,28138,28351,27984,28886,28485,28448,28511,28375,28349,28377,28543,28604,28955,28779,28925,29358,29376,29365,29449,29336,29430,29318,29166,29042,29163
"107","99","        Wine","DWINRX0",18067,18117,18182,18591,18647,18616,18748,18825,19200,19348,19457,20267,19678,20124,20522,20590,20914,21295,21510,21739,21796,22059,22338,22244,22849,22728,22892,23109,23499,23644,23869,24029,24250,24541,24930,25214,25301,25560,25705,25776,25914,26049,26088,25861,25950,25840,25955,26255,25943,25994,26009,26054,25578,25770,25990,26433,26519,26825,26765,26837,27015,26925,27088,27243,27577,27422,27595,27740,27958,28013,27847,27982,27820,28503,28337,28455,28277,28498,28431,28601,28765,29137,29262,29521,29643,30031,29615,29971,30080,29750,29910,30130,30415,30374,30583,30646,30616,30852,30681,30479,31179,31383,31275,30778,30776,30585,30642,30908,30571,30652,30840,30729,30792,31300,31261,31009,30878,30750,30589,30299,30436,30262,30313,30384,30518,30269,30380,30643,30578,30920,31075,31870,32036,32553,32556,32612,32557,32748,32237,33202,33147,33243,33494,33415,33527,33889,33850,34064,34207,34527,34780,34907,35268,35420,35504,34833,35594,35832,36159,36334,36380,35991,35712,36014,36215,36410,36436,36419,36425,36525,36382,35792,36233,36094,36252,36151,36541,36606,36887,36986,36845,37089,37067,37363,37248,37967,37675,37293,37610,37548,37299,37463,37759,37710,38000,37945,38338,38748,38800,38835,38872,38571,38831,38841,38387,38320,38829
"108","100","        Beer","DMLTRX0",51057,50942,51360,52072,51921,51543,51929,52393,52865,52953,52932,55089,53035,53790,54707,53763,54325,54891,54744,54623,55273,55746,55804,55359,55656,55316,54711,55598,56473,55615,54802,54634,54503,53778,53381,53233,53173,53251,54002,54192,54122,54092,54262,53659,53997,53737,54407,54975,54245,53838,53488,53150,52234,52433,52834,52981,52609,52562,52085,52147,52558,52087,52270,52170,52390,52020,52286,52023,51720,52272,51999,51532,51518,52333,51840,51975,51980,52123,51991,52440,52779,52986,52869,53268,53258,54285,53274,53788,53759,53813,53881,53846,53701,54048,54264,54632,54146,54167,54039,53577,53766,53547,53693,52714,52907,52715,52960,53610,52763,52236,52433,52585,52947,53652,53487,53303,52992,52329,51860,51015,51371,51251,51322,51408,51300,50816,50590,50926,51714,51930,51633,52816,52954,53896,54067,53980,53729,53809,52982,54304,54123,54327,54498,54305,54622,55246,54765,54551,54819,55039,55243,55362,55275,55338,55739,54785,55838,55660,56114,56391,56468,56385,56303,55783,55909,56329,55909,55892,55689,55924,55601,54760,55155,54523,54722,54908,55383,54743,54847,55334,54831,55058,55134,55331,55230,56279,56061,55633,55827,55691,55665,55792,56094,56424,56936,56468,56695,56674,56798,56793,56606,56013,56492,56296,55930,56268,56375
"109","101","      Food produced and consumed on farms (6)","DFFDRX0",458,457,454,458,451,440,443,420,412,403,395,401,398,390,386,370,374,370,368,375,370,363,357,346,348,337,319,310,306,295,294,292,295,311,324,333,326,323,330,350,355,355,342,355,370,354,342,349,329,318,315,312,301,291,289,286,282,273,268,290,323,321,318,321,316,314,325,333,344,334,328,346,356,349,343,345,360,367,380,387,386,384,381,364,398,416,441,470,467,458,463,453,452,469,469,450,409,376,354,354,349,343,339,336,344,337,360,377,393,391,402,401,376,365,356,353,355,362,381,393,379,396,405,396,406,402,406,410,415,390,367,361,386,379,359,361,355,365,354,342,336,333,318,307,302,285,285,283,289,288,283,283,291,293,290,288,278,265,256,256,260,263,271,278,293,312,334,365,391,428,464,496,505,525,545,563,566,570,572,561,540,516,504,488,490,488,482,489,484,485,488,501,514,541,534,532,520,512,523,511,522,533,516,517,495,491,482
"110","102","    Clothing and footwear","DCLORX0",237755,240614,243634,241208,243109,243916,243026,245013,245036,244413,244674,245880,244484,248795,253664,253136,255975,254011,253887,256919,260648,258456,260097,259424,259798,256077,249619,257881,257483,255125,257512,261336,250736,258854,260804,263201,264369,263780,263549,264818,261382,265728,264213,262565,260483,271440,268473,271941,270940,265452,272683,273358,277646,279733,282133,283138,283737,280233,283813,286945,287675,289960,294751,286671,289661,285797,288246,290208,292533,295264,294370,298812,297695,304950,297867,306428,304021,309019,305650,307609,303745,315245,314149,314864,317081,318468,314338,316862,312314,314076,317807,314417,320886,321302,317041,324751,324601,318200,326462,319296,324782,324602,325962,325686,324653,323791,326140,322643,322305,321032,321512,328143,330675,334520,332111,326549,314070,311483,314508,310830,313699,311764,300030,302383,304992,300803,304808,308008,304977,309684,308141,308694,312822,314492,320263,322555,320802,319770,318257,323693,323454,327814,335328,332722,331807,335936,336777,338703,337034,338406,334402,328153,336008,334429,335914,335951,335916,344130,342865,334348,334795,337548,339017,342257,341817,336921,338353,338435,345533,338890,343266,345158,345057,344147,344743,340570,342774,347611,341803,341985,338258,341227,344334,349716,345624,346120,347934,351157,349297,350878,359340,357040,355325,353679,355433,355686,364085,361750,362020,361173,361863,360859,361668,362684,362675,357519,358822
"111","103","      Garments","DGARRX0",189782,192065,194857,193000,193741,193983,193843,195268,194849,194413,194824,195121,194119,197920,202020,201996,204384,202623,202035,204300,208172,206068,207626,207366,207203,204696,199034,205182,205084,203289,205365,208789,200259,207367,208198,210675,210634,210474,211192,211950,209571,212876,211980,209973,208499,217915,215252,218275,218222,212699,218115,218864,222362,224102,226166,225937,226628,223894,226628,229343,229645,231560,235759,228847,231560,228257,229597,232330,234437,236440,235948,239575,238816,243818,238977,245319,243000,247742,244745,246974,243471,252385,250493,251147,252999,254383,251641,252624,249196,250164,253240,249724,253576,254617,251464,258238,257549,252863,258423,252342,256986,256790,257953,257975,257432,256937,258864,255293,255037,254974,255997,260475,262464,265950,264125,258659,249614,247505,250411,247765,250178,248038,238514,240935,243252,239361,243060,245490,242993,247652,246546,246174,249988,251274,255656,258419,256718,255523,254313,258563,259044,262753,268690,266180,265337,268918,270229,271157,269279,269541,266362,260221,267285,265475,266335,266648,266129,272043,271888,265316,265312,269011,269441,272230,271277,267824,268866,269228,275304,269164,273273,273680,274598,274050,273466,270159,271865,274673,270896,269066,266631,268660,271946,276287,273550,273621,275740,279265,278421,279704,287206,285766,283733,281894,283444,284320,290724,288871,289154,288696,288418,287746,288334,288584,289647,284729,286127
"112","104","        Women's and girls' clothing (10)","DWGCRX0",107921,109974,111696,110412,110833,110901,111334,111459,111663,111448,111479,112244,111738,114581,117468,117253,119116,118424,117668,119283,121350,119054,120339,120302,119559,118365,114393,118777,119656,118511,119898,122387,116977,122228,122710,123775,124134,123531,124328,124320,122672,124651,124351,122442,121682,127151,125752,128045,127403,124373,128459,128491,130330,130824,132468,131896,133575,131861,133697,135851,135522,137337,139299,134754,136478,135174,135682,137073,139137,139060,138462,142304,142045,144702,141228,146202,144816,147554,145216,146937,145048,150239,148363,149682,150975,151863,149727,149861,147626,147881,151410,148233,149845,150352,149123,153602,151982,149115,152288,148630,152061,152806,153875,154685,154573,154322,155359,152313,151183,153194,153855,157003,157885,159188,157527,153123,148318,147805,148959,147458,149640,148810,143691,144308,146150,142819,143949,146566,144143,147174,146983,145608,148333,149017,152059,154401,153444,153561,152240,154856,155287,157543,160461,159145,158212,160371,161460,161443,160494,160879,159678,154387,159644,158669,159747,160578,160410,163865,164665,159307,159080,161217,162429,165294,163966,161686,162296,161362,165257,161313,164586,165803,166366,166337,164154,163058,163544,165585,162744,160962,159905,161470,163608,165847,164161,163796,166094,167736,166786,167462,172941,173869,170903,171004,172129,171366,175883,174703,173697,174426,175229,175347,175969,176292,175938,172255,171255
"113","105","        Men's and boys' clothing (11)","DMBCRX0",72721,72671,73446,73069,73291,73451,73127,74355,73653,73424,73743,73292,73013,73911,74905,74966,75405,74489,74614,74898,76451,76683,76708,76500,77070,75986,74550,76041,75084,74405,74906,75809,72986,74614,74919,76014,75528,75876,75976,76629,75971,77149,76624,76443,75934,79467,78449,79127,79578,77013,77926,78474,79993,81024,81134,81575,80582,79515,80023,80343,80752,80970,82985,80855,81397,79614,80459,81622,81763,83549,83566,83346,82688,84460,83082,84530,83543,85114,84431,84757,83102,86079,85977,85670,85700,86571,85984,86470,85498,85993,85737,85368,87059,87601,85743,87425,88267,86594,88892,86466,87320,86343,85930,84985,84874,84824,85512,84934,85848,84030,83999,85493,86453,88232,88133,86930,83730,82345,83746,82858,83307,81810,77903,79728,80092,79920,82102,81993,81954,83131,82482,83236,83810,84725,85836,86394,85726,84344,84839,86055,85923,87052,89898,89096,88602,89634,89905,90619,89815,89707,88264,87929,88998,88359,88226,88166,87820,90196,89142,87992,88363,89782,88944,88932,89284,88563,88231,89436,91493,89548,90166,89415,89683,89212,90564,88507,89769,90438,89846,89566,88492,89029,90124,91887,90965,91360,91109,92804,92982,93673,95352,93311,94233,92271,92713,94395,95961,95709,97039,96451,95422,94663,94688,93840,94710,93913,95840
"114","106","        Children's and infants' clothing (12)","DCICRX0",9163,9458,9765,9561,9663,9676,9426,9493,9575,9583,9642,9629,9409,9485,9715,9839,9935,9788,9821,10194,10443,10399,10646,10630,10641,10410,10167,10430,10410,10435,10623,10662,10356,10602,10646,10952,11039,11128,10957,11067,10990,11140,11071,11147,10945,11365,11122,11176,11314,11371,11784,11951,12095,12312,12610,12524,12513,12554,12939,13180,13401,13284,13508,13273,13720,13497,13488,13670,13560,13872,13967,13949,14109,14683,14699,14617,14668,15102,15126,15307,15347,16096,16190,15818,16346,15973,15956,16323,16105,16329,16103,16145,16709,16707,16623,17222,17349,17203,17304,17304,17631,17632,18134,18279,17961,17772,17973,18037,18010,17737,18133,17984,18133,18529,18461,18621,17570,17356,17706,17445,17227,17421,16940,16895,17010,16614,17012,16921,16900,17343,17073,17339,17844,17539,17762,17624,17547,17618,17236,17652,17833,18160,18333,17940,18527,18918,18866,19102,18976,18958,18413,17913,18642,18445,18359,17898,17894,17981,18081,18014,17865,18008,18064,18028,18029,17576,18339,18416,18539,18290,18518,18480,18571,18536,18748,18614,18554,18655,18292,18535,18230,18153,18203,18542,18413,18457,18530,18714,18641,18551,18892,18580,18572,18624,18609,18530,18866,18442,18386,17805,17769,17752,17705,18482,18994,18532,18982
"115","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",47966,48541,48715,48134,49403,50029,49195,49779,50291,50095,49911,50930,50517,50969,51704,51140,51574,51399,51938,52730,52447,52412,52458,52005,52610,51327,50605,52785,52452,51876,52163,52517,50456,51390,52595,52442,53777,53304,52244,52786,51691,52749,52095,52532,51903,53369,53100,53519,52501,52644,54498,54404,55186,55528,55851,57185,57072,56297,57154,57548,58004,58364,58915,57796,58040,57501,58678,57779,57977,58725,58305,59117,58752,61063,58763,61017,60957,61167,60814,60515,60174,62770,63613,63669,64030,64025,62617,64197,63069,63879,64528,64693,67377,66714,65593,66498,67062,65325,68079,67016,67840,67858,68050,67743,67242,66868,67288,67390,67305,66061,65506,67676,68222,68578,67992,67910,64457,63981,64098,63063,63517,63727,61519,61446,61737,61442,61745,62516,61983,62038,61605,62516,62839,63222,64607,64154,64095,64251,63948,65131,64425,65081,66655,66549,66472,67026,66571,67551,67749,68849,68024,67924,68711,68946,69576,69296,69787,72096,70973,69024,69480,68525,69569,70022,70535,69093,69484,69208,70235,69724,70001,71463,70467,70111,71269,70403,70900,72917,70892,72908,71610,72552,72370,73409,72053,72474,72171,71884,70881,71182,72167,71322,71615,71792,72001,71403,73387,72904,72893,72513,73450,73122,73340,74083,73060,72783,72705
"116","108","        Clothing materials","DCSMRX0",3380,3441,3472,3354,3482,3546,3503,3546,3619,3566,3585,3716,3689,3740,3820,3860,3954,3923,3890,3772,3788,3758,3767,3821,3961,3832,3829,3856,3900,3932,3896,4014,4018,4137,4295,4204,4284,4267,4249,4346,4260,4259,4296,4361,4393,4439,4586,4648,4444,4269,4294,4284,4515,4430,4391,4527,4323,4286,4235,4274,4423,4391,4456,4257,4298,4289,4450,4252,4312,4237,4271,4270,4230,4293,4216,4259,4152,4150,4114,4288,4149,4257,4183,4209,4400,4207,4140,4112,3992,3992,4102,4017,4064,3945,3857,3834,3895,3914,4034,4140,4110,3871,3773,3760,3795,3753,3621,3904,3777,3632,3652,3871,3813,3871,3787,3759,3699,3721,3840,3819,3771,3712,3664,3662,3619,3598,3548,3485,3485,3651,3688,3616,3691,3657,3608,3551,3580,3688,3743,3688,3624,3615,3704,3681,3604,3621,3563,3605,3716,3741,3591,3712,3719,3679,3541,3537,3632,3618,3738,3706,3804,3449,3501,3404,3647,3718,3716,3747,3819,3848,3731,3729,3652,3695,3907,3568,3511,3377,3573,3611,3491,3546,3515,3583,3569,3637,3778,3719,3673,3756,3861,3878,3892,3914,4015,3964,4089,4151,4022,4120,4087,3907,3986,3847,4003,4110,4074
"117","109","        Standard clothing issued to military personnel","DMICRX0",298,295,294,293,293,292,294,294,296,298,301,303,310,315,317,321,324,326,329,332,333,336,339,340,342,343,345,346,347,349,350,350,351,358,356,352,350,354,359,364,370,378,389,401,412,416,436,461,481,487,489,492,493,493,491,487,483,487,475,458,429,412,393,371,352,337,323,311,301,291,292,299,317,327,337,347,355,362,371,376,380,388,392,393,390,388,387,388,390,394,399,404,412,420,429,442,438,437,436,434,433,433,433,434,436,438,439,442,436,431,427,423,422,422,423,426,428,433,438,446,450,452,455,456,457,457,456,453,450,445,441,435,429,424,418,412,408,403,398,394,391,387,383,380,376,370,367,363,357,354,350,347,343,341,338,336,332,329,328,327,327,329,331,333,335,337,341,347,352,357,359,363,365,362,362,357,353,346,338,329,320,311,305,300,299,297,298,302,307,314,324,336,344,356,366,374,381,387,393,397,400,397,392,386,377,370,363
"118","110","        Shoes and other footwear","DSHURX0",44262,44777,44918,44462,45600,46161,45367,45909,46341,46200,45992,46873,46480,46874,47524,46910,47242,47096,47669,48596,48291,48285,48318,47804,48259,47106,46383,48543,48159,47545,47871,48098,46019,46820,47861,47811,49071,48609,47557,47990,46976,48035,47324,47681,47001,48424,47970,48300,47478,47807,49643,49556,50090,50528,50896,52095,52208,51464,52395,52767,53091,53508,54011,53127,53346,52828,53851,53176,53320,54165,53704,54515,54173,56416,54178,56386,56431,56637,56311,55824,55623,58105,59024,59053,59221,59417,58077,59686,58678,59486,60017,60266,62899,62352,61310,62229,62733,60973,63611,62441,63295,63555,63844,63547,63011,62677,63224,63045,63092,61997,61427,63383,63987,64286,63783,63727,60329,59827,59819,58799,59296,59562,57400,57328,57660,57386,57741,58579,58050,57942,57476,58464,58717,59140,60583,60193,60109,60160,59805,61049,60411,61081,62570,62491,62497,63040,62648,63591,63679,64760,64093,63870,64655,64934,65714,65440,65836,68170,66918,64999,65354,64765,65756,66312,66566,65046,65436,65122,66073,65527,65921,67384,66464,66066,67007,66494,67056,69222,66998,68986,67820,68715,68572,69547,68203,68556,68107,67876,66914,67124,67994,67121,67392,67536,67635,67080,68932,68382,68493,68013,68978,68832,68975,69864,68694,68321,68283
"119","111","    Gasoline and other energy goods","DGOERX0",297710,301041,299714,303302,305922,308048,307492,299528,297676,305293,294302,307826,292542,290444,289963,294887,299539,293424,294862,298394,296524,293097,288833,300717,296489,294258,294153,296155,291954,283775,300399,291493,294301,293424,299538,293882,290658,297435,293731,292241,297109,299841,295267,299877,297427,293286,299132,301312,295699,295478,293354,293442,292749,295727,290603,302670,298861,300524,302429,299557,301391,296779,301194,299590,302467,298756,296326,301205,297561,300643,299216,296354,312803,301598,298206,301403,297696,291188,294675,297087,285227,295789,301189,299099,298357,297476,292922,295068,294375,292725,296021,291914,300369,302260,305342,302319,300758,305828,298308,305201,295875,291901,297412,291243,297733,291380,289321,297098,291801,280367,298324,293356,285969,277952,274228,280406,272949,284556,281179,279747,288198,292121,295267,288885,286904,278436,278546,286282,282063,280387,278278,278629,280527,278555,278895,280181,283668,283780,282215,284444,285914,284568,282077,281821,281976,280997,277492,274083,271985,273142,275232,270651,272194,275437,269309,269644,268191,266880,266083,272259,272879,273443,271404,274253,271456,271918,265289,266090,270926,272428,273230,274477,273039,275527,276309,270621,280319,274025,279134,276686,268515,282630,277678,276650,273756,274282,274709,278233,272439,279058,281428,281813,282618,285303,286499,281733,286741,284972,284662,289952,289783,286185,286642,286212,288263,285626,292751
"120","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",266652,269516,265262,270245,272003,274853,274703,267967,266351,274096,264337,277379,262548,262897,263680,266217,269896,263570,265713,269029,268585,265792,261263,270301,266899,264724,265284,266519,263634,256155,272558,262933,265885,265153,271719,266528,262685,269339,265343,262902,267211,270461,265772,270153,268036,263747,268464,270943,266604,266708,267793,265599,264503,266754,260550,271840,267912,268363,271953,267430,270578,265915,274394,270122,274055,270341,267106,271875,270063,273496,272437,270065,284797,274377,271870,275363,272129,265262,270602,272388,262094,273869,278372,274890,278491,274880,269725,272051,270548,268387,271730,267753,276342,276697,280352,280794,277715,277605,275355,279528,272609,269210,274389,267783,273859,268406,266406,275062,270270,258781,277295,272133,265767,259451,255318,261048,252283,262218,257534,256819,263002,267438,269509,263889,262714,254012,254722,263049,259213,256414,254734,254046,257059,254778,257140,259168,261595,261135,259815,262161,263439,262937,260094,258907,259348,260176,257886,255295,253202,253949,256245,250790,252504,255018,250166,252143,252088,251252,250967,255583,255289,254550,251713,255202,252738,253641,246856,249589,253510,255044,254781,255794,254839,257799,258348,253060,262528,255330,258881,255378,246919,262413,256283,257313,254725,256272,256775,260316,254793,261150,261877,263005,262075,262269,266827,262083,267754,265770,265261,269482,269916,266037,267681,267033,267138,265136,273332
"121","113","        Gasoline and other motor fuel","DGASRX0",259205,262210,258248,263234,265072,267904,267792,261241,259633,267117,257532,270143,255573,255809,256520,258900,262455,256230,258330,261579,261124,258431,254052,262902,259646,257599,258229,259492,256788,249490,265627,256259,259133,258488,265103,259952,256156,262619,258718,256356,260603,263752,259150,263402,261291,257026,261564,263935,259605,259605,260611,258424,257267,259347,253302,264265,260446,260891,264404,260037,263100,258598,266864,262719,266509,262862,259668,264245,262415,265654,264529,262134,276390,266072,263567,266916,263550,256784,261909,263655,253663,265115,269576,266131,269610,266164,261172,263394,261980,259892,263072,259284,267728,268073,271814,272193,269103,268921,266712,270763,263980,260595,265664,259305,265208,259992,258138,266703,262102,250972,268979,264061,257866,251698,247782,253475,245068,254841,250220,249818,256299,260956,263267,257996,256886,248257,249069,257285,253498,250635,248760,248023,250837,248503,250678,252513,254707,254138,252721,254856,255946,255317,252418,251144,251218,251748,249288,246592,244383,244973,247102,241770,243419,245877,241228,243208,242967,242013,241592,245904,245550,244772,242005,245376,243028,243983,237526,240247,244184,245795,245616,246688,245872,248783,249388,244302,253471,246522,249934,246548,238345,253277,247302,248277,245771,247231,247686,251086,245737,251850,252543,253627,252695,253012,257358,252802,258374,256405,255948,260047,260426,256650,258212,257630,257749,255803,263717
"122","114","        Lubricants and fluids","DLUBRX0",7597,7455,7156,7142,7041,7046,6995,6797,6786,7056,6890,7342,7108,7248,7335,7521,7652,7571,7608,7668,7685,7574,7411,7586,7419,7267,7173,7127,6909,6734,6961,6704,6786,6689,6629,6594,6552,6748,6656,6578,6637,6741,6656,6786,6785,6772,6959,7071,7081,7215,7308,7311,7386,7571,7414,7750,7639,7640,7714,7547,7634,7460,7671,7537,7695,7641,7620,7838,7882,8124,8240,8311,8833,8808,8834,9000,9234,9172,9433,9480,9180,9489,9480,9477,9616,9416,9240,9368,9252,9170,9379,9134,9227,9234,9096,9173,9209,9305,9269,9400,9292,9329,9431,9159,9350,9078,8897,8917,8718,8345,8864,8551,8369,8221,7895,7822,7378,7481,7382,7047,6759,6522,6278,5941,5860,5763,5639,5726,5663,5725,5944,5994,6212,6281,6484,6692,6938,7054,7160,7385,7591,7738,7820,7938,8384,8751,8991,9164,9344,9546,9739,9620,9686,9734,9508,9486,9731,9896,10078,10429,10507,10560,10491,10620,10496,10421,10051,10046,9996,9883,9777,9699,9540,9585,9512,9294,9607,9343,9493,9370,9106,9707,9550,9611,9525,9623,9680,9832,9648,9908,9945,9991,9981,9883,10095,9898,10026,10001,9951,10085,10136,10019,10101,10042,10033,9969,10272
