"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"12","4","    Motor vehicles and parts","DMOTRC0",18789,19582,17722,21386,24246,25802,29645,29927,29601,35414,37448,34538,43233,49365,54358,48166,52643,68172,79796,89173,90175,84430,93017,100014,122945,147192,170065,187519,188181,202213,207771,205119,185748,204798,224715,249843,255709,273486,293083,320205,350730,363227,383289,401347,401518,409312,409954,394950,400573,339630,317058,341955,363458,395763,416673,440185,456607
"13","5","    Furnishings and durable household equipment","DFDHRC0",15517,15424,15572,16423,17510,19517,20661,22643,23679,26089,27588,28152,29944,33522,37961,40891,42612,47172,53355,59004,65254,67843,71461,71811,79770,88832,94619,103455,109536,115154,121387,120941,118786,124288,131367,140510,146742,153535,160491,173579,191185,208106,214940,225868,235161,254311,271273,283597,283458,268714,244311,250417,260672,271383,280200,287938,298924
"14","6","    Recreational goods and vehicles","DREQRC0",6369,6365,6581,6943,7565,8772,10086,12278,13578,15333,16732,17924,19197,22591,25346,26585,30363,34172,37730,41702,45835,46490,49879,51287,58655,67844,74074,83016,91802,99877,103905,105558,107716,110995,123473,140340,153723,164929,174632,191360,210922,230858,234934,244772,259193,284088,305023,324101,335780,329331,303775,312735,320981,336605,346845,354614,371269
"15","7","    Other durable goods","DODGRC0",4212,4255,4331,4712,4907,5466,5999,6897,7123,7991,8714,9374,10073,10966,12862,14535,16547,19108,21082,23470,25076,27627,29583,29920,33659,38288,41605,47450,52502,57808,61265,65462,64935,68001,71977,76478,79564,84347,87324,94151,102733,110380,108352,113380,121654,132112,140981,153467,164822,164608,158175,165585,180216,188109,194092,197478,201883
"16","8","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1329424,1431199,1540283,1583722,1613214,1704030,1820432,1953050,2079682,2176940,2273419,2175125,2292119,2471134,2547218,2598942,2668215,2650126
"17","9","    Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,848789,865985,886536,896786
"18","10","    Clothing and footwear","DCLORC0",25367,25939,26571,27859,28618,31085,32659,35812,37547,41260,44331,45450,49046,53491,59243,62423,66867,72191,79305,89317,96371,103002,113178,116745,126445,137621,146845,157201,167726,178213,190397,195245,199098,211234,219054,227435,231245,239542,247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338946,354287,362506,368863,376397
"19","11","    Gasoline and other energy goods","DGOERC0",15290,15809,15723,16316,16922,17659,19132,20656,21876,23217,24968,26286,27647,29393,34325,43849,48020,53013,57817,61453,80388,101898,113443,108350,106456,108200,110532,91191,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,409558,416885,412991,401139,306637
"20","12","    Other nondurable goods","DONGRC0",25466,27085,28562,30674,32516,34462,37052,40797,43028,46480,49525,53564,55851,60015,65826,72052,77716,85180,91528,103336,116469,129335,143473,154024,168814,184621,196913,209382,225868,241386,263251,283602,297070,314481,331407,350608,371397,395210,421300,451827,498027,534356,563866,591426,622690,657610,690404,739559,770371,791881,814169,849247,893484,927257,957461,1011677,1070307
"21","13","Services","DSERRC0",144901,154563,163157,174139,184328,198939,213906,230977,248421,272834,299809,328894,358874,395616,434507,480460,541421,603867,676290,762606,851558,954824,1068139,1174621,1312739,1434455,1585068,1702782,1835754,2009581,2169011,2334328,2462716,2652385,2828655,2994464,3168646,3350398,3553956,3794314,4020253,4339542,4577867,4785472,5043973,5359763,5713831,6068195,6388932,6637946,6648524,6839380,7092838,7311548,7555536,7917511,8293060
"22","14","  Household consumption expenditures (for services)","DHCERC0",140037,149504,157911,168660,178559,192506,206944,223522,240372,264041,290366,318420,347170,382802,420752,464963,524408,584885,655655,739588,825438,924791,1033999,1136657,1271983,1389072,1537161,1650172,1780057,1946288,2100974,2258467,2382589,2564451,2738590,2896702,3066318,3240354,3448368,3670507,3882024,4181501,4398785,4587130,4838461,5153391,5503563,5829010,6140152,6355802,6372507,6564030,6817839,7018678,7251623,7595165,7955343
"23","15","    Housing and utilities","DHUTRC0",52849,56720,60301,64476,68208,72148,76618,81226,86344,92748,100982,109421,119981,131185,143486,158579,176527,194663,217806,244279,273403,312453,352071,387499,421227,457510,500609,536976,571559,614437,655168,696539,735247,771112,814940,863343,913679,962439,1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1959856,1995376,2057402,2142565,2214776
"24","16","    Health care","DHLCRC0",14831,16030,17120,19135,20978,24150,26038,28678,31929,36576,42059,47663,53725,59842,67175,76083,89000,101849,115691,131202,148840,171661,201914,225182,253125,276478,302195,330160,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1764711,1835856,1880713,1953980,2059768
"25","17","    Transportation services","DTRSRC0",8696,9180,9562,10133,10621,11350,12133,13067,14275,15872,17977,20043,22359,24544,26078,28472,32045,36155,41395,45200,50705,55366,59790,61729,68899,80016,90145,95009,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308124,319486,333852,354543,375254
"26","18","    Recreation services","DRCARC0",5921,6480,6945,7455,7926,8480,8976,9768,10452,11703,12925,14001,15118,16329,18348,20948,23653,26535,29562,32850,36725,40837,47125,52473,59430,66117,73958,80369,87276,99233,110665,121766,127181,139799,153375,164661,181092,195583,208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,400558,419776,434672,455499,473886
"27","19","    Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298407,308298,316137,326558,343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,685129,710233,750880,807080
"28","20","    Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19395,21273,22843,25797,28502,31073,34139,38339,41501,45906,54018,59262,67792,80634,87631,95609,102006,116335,145888,156571,188094,199804,205301,219809,238375,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303,837741,882745,921178
"29","21","    Other services","DOTSRC0",25518,27058,28254,29853,31611,33760,36603,39875,43572,46751,50460,54595,58051,63677,69332,74361,80344,88620,97744,108319,117213,127144,137178,150931,169864,187464,207860,221167,242433,262761,281112,297463,300546,325730,344374,371168,391199,416403,452299,496040,523700,571514,615250,642215,684683,723757,759098,807949,847995,880088,879151,905415,939287,973752,997011,1054953,1103401
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4864,5059,5246,5479,5769,6433,6962,7455,8049,8793,9443,10474,11704,12814,13755,15497,17013,18982,20635,23018,26120,30033,34140,37964,40756,45383,47907,52610,55697,63293,68037,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870,303913,322346,337717
"31","23","    Gross output of nonprofit institutions \2\","DNPERC0",13908,14834,15783,16932,18339,20250,22079,24339,26978,30348,34009,38091,42770,47353,51832,58803,67193,76310,85160,96659,109356,126100,145650,163805,179216,194432,209278,227298,246863,275519,301238,334437,362892,396390,418746,440076,458544,483135,502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1192997,1233214,1278344,1336535
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342314,356216,373091,397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,900127,929301,955998,998818
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRC0",232940,244844,253628,272656,289772,313588,339079,367777,390724,432385,470130,502677,549521,607122,670045,721498,799522,897238,1001302,1126355,1243770,1357047,1505084,1625591,1822135,2013963,2220181,2403426,2582385,2810006,3018116,3211486,3331136,3579821,3815591,4062528,4288756,4536504,4811714,5158150,5519133,5929672,6211512,6495462,6809168,7226581,7652257,8083371,8457448,8628101,8577377,8858521,9231790,9577397,9893389,10347118,10842305
"35","26","  Energy goods and services \5\","DNRGRC0",22971,24178,24591,25796,26840,28114,30061,32210,34129,36233,38985,41505,44344,47837,54383,67463,76667,85637,95601,103706,127356,158402,177089,181181,187348,193090,199540,178570,185353,194076,209310,222968,226062,231368,241939,246381,251675,269688,274230,257446,272359,322145,327589,313539,356780,400833,473638,520361,555726,612663,499633,554771,628363,624441,632915,632287,532779
"36","27","  Market-based PCE \6\","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783238,3012242,3237584,3453841,3572086,3793960,4004335,4233716,4449832,4697714,4951672,5234606,5594970,6003347,6276582,6518598,6853181,7281961,7747822,8181197,8576655,8815402,8705503,9012969,9463699,9804622,10082276,10474127,10808172
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274315,2476091,2663558,2840337,2943678,3158702,3349467,3555737,3754888,3966593,4203080,4490106,4807431,5140943,5385274,5630289,5897096,6248865,6606353,6961042,7284000,7430276,7436306,7669693,8006562,8331778,8584102,8956072,9379326
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.x):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERC0",317508,331578,341966,363108,382482,411193,443582,480597,507412,557449,604486,647688,700990,769431,851143,931999,1032755,1150172,1276673,1426173,1589496,1754616,1937512,2073913,2286519,2498155,2722674,2898411,3092050,3346889,3592814,3825630,3960151,4215654,4471002,4741018,4984178,5268071,5560720,5903033,6307022,6792396,7103104,7384053,7765529,8260018,8794112,9303992,9750505,10013648,9846968,10202191,10689299,11050627,11392289,11865941,12271870
"40","30","Household consumption expenditures \7\","DPHCRC0",312644,326520,336720,357629,376714,404759,436621,473141,499360,548656,595043,637213,689284,756617,837390,916502,1015741,1131192,1256038,1403157,1563371,1724582,1903368,2035948,2245764,2452771,2674768,2845800,3036353,3283598,3524777,3749767,3880026,4127720,4380937,4643255,4881853,5158024,5455131,5779224,6168793,6634354,6924025,7185713,7560019,8053649,8583844,9064812,9501722,9731501,9570953,9926845,10414302,10757757,11088376,11543595,11934153
"41","31","  Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,848789,865985,886536,896786
"42","32","  Clothing, footwear, and related services","DCAFRC0",28608,29262,29915,31272,32086,34724,36483,39802,41676,45583,48810,49944,53385,57972,63667,66877,71433,76914,84296,94638,101939,108834,119142,122670,132909,144695,154309,165110,176369,188078,201188,206534,210118,223025,231122,240072,244705,253502,262011,273082,287191,297541,294642,295169,301463,313500,326573,336346,339726,335351,321608,335798,354578,370080,378610,385705,393917
"43","33","  Housing, utilities, and fuels","DHUFRC0",56858,60525,64015,68195,72178,76235,80999,85850,91120,97405,105490,113786,124478,136172,149680,166298,184844,204630,228689,255630,287548,327662,367595,401724,434602,471142,513936,548115,582573,625892,666891,709298,747524,783255,827304,876082,926674,976690,1023056,1077040,1135488,1214463,1302992,1347873,1411556,1488440,1605961,1706098,1783811,1869894,1905264,1935142,1989006,2021768,2084831,2170949,2235860
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",25640,26179,26792,28317,29828,32702,34706,37837,39692,43191,45381,46617,48764,53519,59945,64605,67804,75042,84020,93595,104324,110736,118283,121040,132337,147102,155992,168658,176892,186561,197475,200559,199110,209399,221891,238615,251693,263722,277270,297117,320243,343425,352401,365296,380369,407131,431154,449922,453747,442035,409813,417317,435205,452360,466995,481563,498224
"45","35","  Health","DHLTRC0",18836,20362,21826,24319,26406,29802,31978,34966,38408,43786,50019,56849,63384,70422,78680,88653,102718,116758,131576,149369,169876,195473,228860,254921,287133,315155,345323,378377,419876,470722,518984,583725,638374,700443,741682,779896,826008,868313,919881,979652,1033335,1109594,1209403,1317081,1411307,1516185,1614016,1717339,1826827,1914173,2000918,2080439,2176926,2266212,2332390,2446906,2591192
"46","36","  Transportation","DTRNRC0",38766,40766,39293,44116,47819,50724,56529,59026,60976,69846,75885,76502,88742,98315,108567,112768,124391,147373,168125,184475,207123,226485,250726,255868,284925,321776,357415,362580,376634,404758,428335,442931,418274,451284,485332,528231,554065,598935,641819,668623,729011,795384,810478,813117,845959,899250,960769,992932,1032708,1009672,866981,942142,1051990,1105743,1136087,1167482,1117413
"47","37","  Communication","DCMCRC0",4834,5206,5557,5907,6429,6938,7536,8120,8873,9678,10729,11606,12763,14352,16131,17688,19956,22425,24304,27014,29426,31797,35963,41056,44838,48421,53104,56856,59985,63139,67276,70093,73870,81142,85767,93263,98943,108317,120106,129495,142299,158256,164927,168929,174388,181117,186987,201197,216417,230691,230567,239590,253714,264630,271015,287209,291589
"48","38","  Recreation","DRRLRC0",18763,19712,20470,22086,23854,26297,28891,33365,35823,39932,43699,47016,50113,56198,63016,68939,77053,86193,94916,106281,118861,127439,141635,151436,169328,189971,207163,225398,247013,273377,295741,314744,326271,346840,378423,413997,449769,481537,509503,544345,589944,633685,646980,669336,704292,758713,804574,854113,893840,899642,861781,888288,922796,968157,1001442,1040669,1086664
"49","39","  Education","DEDURC0",3107,3361,3608,3952,4347,4827,5465,6212,6877,7720,8652,9913,10853,11748,13004,14202,15886,17433,18809,20877,22869,25444,28258,30968,34349,37699,41171,44485,48789,54435,60571,65957,70561,76442,81087,86364,92304,99626,107120,115245,123931,134290,143615,149528,159516,168997,180507,193073,205998,218374,229051,244931,256286,262459,268936,277018,289597
"50","40","  Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298407,308298,316137,326558,343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,685129,710233,750880,807080
"51","41","  Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19395,21273,22843,25797,28502,31073,34139,38339,41501,45906,54018,59262,67792,80634,87631,95609,102006,116335,145888,156571,188094,199804,205301,219809,238375,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,789303,837741,882745,921178
"52","42","  Other goods and services","DOISRC0",21394,22434,23721,24859,26165,27833,30158,33313,35768,38609,41000,44263,46963,50985,56931,62206,67806,76274,83765,93178,100408,110675,121230,127772,143434,157656,173267,190019,208167,225392,245652,262298,268009,290056,304538,316870,332720,350832,368397,393720,429351,458495,477903,496803,526522,559062,589541,624535,657602,672974,672712,700647,733077,754903,773945,799320,833241
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC0",2019,2121,2047,2342,2517,2568,2858,3132,3788,3684,4044,4514,4778,5237,4721,4708,4445,3790,4311,4250,4075,3540,416,2509,5435,6565,7741,3296,6063,2781,-3696,-7673,-15220,-20034,-20674,-17417,-21291,-24236,-21480,-15645,-26984,-26424,-15804,-11366,-5303,-3121,-4730,-1463,-10410,-18138,-16990,-27297,-33725,-31775,-39834,-33387,-28589
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4864,5059,5246,5479,5769,6433,6962,7455,8049,8793,9443,10474,11704,12814,13755,15497,17013,18982,20635,23018,26120,30033,34140,37964,40756,45383,47907,52610,55697,63293,68037,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,292870,303913,322346,337717
"55","45","  Gross output of nonprofit institutions \2\","DNPERC0",13908,14834,15783,16932,18339,20250,22079,24339,26978,30348,34009,38091,42770,47353,51832,58803,67193,76310,85160,96659,109356,126100,145650,163805,179216,194432,209278,227298,246863,275519,301238,334437,362892,396390,418746,440076,458544,483135,502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1192997,1233214,1278344,1336535
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342314,356216,373091,397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,900127,929301,955998,998818
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","to the rest of the world; excludes own-account investment (construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","4. Food consists of food and beverages purchased for off-premises consumption; food services, which",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","6. Market-based PCE is a supplemental measure that is based on household expenditures for which there",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
