"","Table 7U# Chain-Type Price Indexes for BEA Retail and Food Servi","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"28","21","S2     Shoe stores","T070213",106.546,106.762,105.73,104.244,103.482,103.339,102.271,99.831,98.354,97.555,96.228,94.76,94.596,96.989,97.626,96.812,98.062,100,100.693,101.248,104.038,106.382,106.655,107.542
"29","22","S3     Jewelry, luggage, and leather goods stores","T070223",107.393,106.945,107.749,107.189,104.174,100.706,97.245,94.791,92.413,92.415,90.054,87.277,87.574,86.413,88.343,92.415,98.216,100,101.843,109.425,110.488,110.406,107.089,104.651
"30","23","S1   General merchandise stores","T070233",94.722,94.927,95.066,94.933,95.656,95.918,95.49,95.499,95.685,95.732,95.077,94.425,95.249,95.971,96.958,98.11,100.139,100,98.957,99.97,100.35,99.048,97.81,95.453
"31","24","S1     Department stores","T070243",106.124,106.14,106.224,105.525,105.777,105.771,104.829,104.213,103.769,102.943,101.564,100.074,100.039,99.981,100.259,100.109,100.04,100,98.01,97.96,98.497,97.061,95.416,93.079
"32","25","S2     Other general merchandise stores","T070253",83.684,84.281,84.539,85.414,87.015,87.746,88.082,88.958,89.935,90.936,90.951,90.979,92.445,93.703,95.137,97.043,100.188,100,99.396,100.883,101.199,99.947,98.855,96.487
"33","26","S1   Other retail stores","T070263",68.96,69.529,70.297,71.214,73.612,74.095,71.646,74.076,80.664,80.442,79.321,82.82,87.532,93.835,98.617,102.227,108.865,100,106.107,115.43,117.468,116.382,115.256,105.514
"34","27","S1     Health and personal care stores","T070273",65.7,67.529,69.155,70.041,71.671,72.817,74.414,77.087,79.734,82.685,85.269,86.871,88.826,90.924,93.806,95.16,97.263,100,102.501,105.251,107.929,108.311,110.678,113.455
"35","28","S1     Gasoline stations","T070283",50.744,50.575,50.77,51.615,54.599,54.978,49.553,53.88,66.396,64.863,62.008,69.793,79.532,92.793,102.67,111.009,125.289,100,115.947,140.525,144.904,142.403,138.631,108.305
"36","29","S1     Sporting goods, hobby, book, and music stores","T070293",110.056,110.588,111.601,111.829,112.55,111.974,110.962,108.922,107.791,107.289,105.891,103.938,103.154,101.936,101.119,99.852,100.022,100,99.031,99.037,99.466,99.209,97.882,96.414
"37","30","S4       Sporting goods, hobby, and musical instrument stores","T070303",124.705,124.779,125.765,125.684,125.842,124.809,122.333,118.926,116.506,114.572,111.66,108.08,106.45,104.521,103.221,100.989,100.51,100,98.819,98.95,99.517,99.08,97.609,95.855
"38","31","S4       Book, periodical, and music Stores","T070313",83.071,84.234,85.232,85.881,87.345,87.443,88.586,88.667,89.591,91.459,92.73,93.844,94.749,95.039,95.338,96.551,98.542,100,99.724,99.281,99.143,99.729,99.144,99.298
"39","32","S1     Miscellaneous store retailers","T070323",92.334,93.416,95.057,97.449,98.95,99.806,100.222,101.556,102.694,102.699,101.896,99.196,98.265,97.628,96.79,96.352,98.03,100,99.619,99.866,99.782,99.231,97.916,96.706
"40","33","S3       Florists","T070333",100.442,98.825,99.271,101.994,99.606,97.173,98.346,96.593,100.289,103.171,103.073,101.697,100.375,100.323,100.187,100.238,99.237,100,97.529,97.034,96.879,96.561,95.598,95.364
"41","34","S3       Office supplies, stationery, and gift stores","T070343",126.378,128.888,131.367,135.152,138.278,140.835,141.513,140.219,138.791,136.094,131.354,123.373,117.612,112.302,107.143,103.151,101.958,100,97.393,95.257,93.128,90.616,88.047,85.158
"42","35","S4       Used merchandise stores","T070353",117.373,117.863,118.442,118.154,118.451,117.976,116.557,115.77,115.678,114.504,111.597,107.692,105.631,103.128,101.48,99.839,99.945,100,98.179,98.477,98.832,97.743,95.822,93.904
"43","36","S4       Other miscellaneous store retailers","T070363",67.056,67.96,69.465,71.347,72.714,73.383,73.787,76.994,79.212,80.416,81.971,82.245,84.309,86.705,88.619,90.629,94.809,100,101.733,103.714,104.948,105.855,105.505,105.478
"44","37","S1     Nonstore retailers","T070373",79.648,80.381,80.982,81.367,84.002,84.18,82.463,82.54,86.816,85.995,84.505,86.903,90.107,94.52,97.509,99.585,103.698,100,101.094,103.661,103.905,102.908,102.118,98.727
"45","38","S2       Electronic shopping and mail-order houses","T070383",91.564,92.711,93.815,94.099,94.688,94.522,93.989,93.356,92.797,91.663,91.227,91.973,93.934,95.592,97.467,98.937,99.269,100,99.39,99.164,99.145,98.091,97.223,96.186
"46","39","S4       Vending machine operators","T070393",66.728,67.962,69.061,70.513,73.011,74.697,76.216,78.091,79.9,82.515,83.824,85.216,87.752,88.905,89.9,93.014,99.124,100,100.426,104.948,107.62,108.791,111.144,112.329
"47","40","S4       Direct selling establishments","T070403",62.15,62.411,62.491,62.75,66.774,67.045,63.722,64.415,75.701,74.95,71.479,76.689,82.255,93.053,99.12,102.818,118.441,100,107.106,120.748,121.98,121.122,120.531,102.712
"48","41","S1 Food services and drinking places","T070413",63.051,64.206,65.246,66.68,68.332,70.223,71.967,73.781,75.718,78.142,80.228,81.828,84.223,86.821,89.476,92.675,96.712,100,101.127,103.459,106.403,108.63,111.351,114.522
"49","42","S4   Full-service restaurants","T070423",63.477,64.679,65.746,67.209,68.911,70.834,72.71,74.666,76.581,79.104,81.139,82.8,85.042,87.556,90.331,93.525,97.262,100,101.329,103.716,106.418,108.804,111.551,114.495
"50","43","S4   Limited-service eating places","T070433",62.682,63.731,64.716,66.093,67.654,69.48,71.047,72.654,74.6,76.876,79.014,80.53,83.132,85.838,88.335,91.54,95.988,100,100.863,103.126,106.389,108.407,111.093,114.539
"51","44","S4   Special food Services","T070443",64.064,65.18,66.205,67.634,69.267,71.138,72.992,74.913,76.769,79.175,81.139,82.806,85.051,87.57,90.34,93.535,97.239,100,101.334,103.725,106.408,108.805,111.554,114.518
"52","45","S4   Drinking places (alcoholic beverages)","T070453",60.884,62.535,63.816,65.483,67.506,69.69,71.614,73.772,75.969,78.818,81.137,82.797,85.028,87.56,90.321,93.523,97.283,100,101.331,103.695,106.418,108.792,111.538,114.495
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","  S1   Retail and food services except motor vehicle and parts dealers","T070463",79.752,81.018,81.945,82.666,84.354,85.233,84.333,85.431,88.02,88.312,87.897,89.003,91.579,94.328,96.526,98.671,102.447,100,101.82,106.055,107.744,107.548,107.46,103.987
"55","47","  S1   Retail trade except motor vehicle and parts dealers","T070473",82.541,83.822,84.722,85.306,86.995,87.688,86.321,87.295,89.991,89.927,89.104,90.129,92.734,95.507,97.632,99.611,103.345,100,101.928,106.458,107.951,107.378,106.855,102.345
"56","48","  S2   GAFO-Department store merchandise stores \1\","T070483",111.636,112.032,112.577,112.259,112.47,112.159,110.71,109.108,107.972,106.476,104.41,102.123,101.581,100.883,100.553,100.215,100.659,100,98.288,98.526,98.563,97.143,95.623,93.198
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes Furniture and home furnishings stores (line 8), Electronics and appliance stores (line 11),",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Clothing and accessories stores (line 19), General merchandise stores (line 23), Sporting goods, hobby,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","book, and music stores (line 29), and Office supplies, stationary, and gift stores (line 34) industries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
