"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9"
"43","36","      Durable goods","N4038C0",182224,197935,207849,208644,202875,208407
"44","37","      Nondurable goods","N4039C0",108818,116010,120734,125431,130865,137278
"45","38","    Retail trade","N4040C0",342302,368225,396611,410526,422020,432828
"46","39","      Motor vehicle and parts dealers","N4041C0",66927,73062,77655,81821,85113,87184
"47","40","      Food and beverage stores","N4042C0",57458,60232,63207,65444,66947,68598
"48","41","      General merchandise stores","N4043C0",47376,50274,55088,57618,61379,64727
"49","42","      Other retail \2\","N4044C0",170541,184657,200661,205644,208581,212319
"50","43","    Transportation and warehousing","N4045C0",174859,186120,199338,203486,201123,204040
"51","44","      Air transportation","N4046C0",31824,34109,37339,40116,38205,36045
"52","45","      Rail transportation","N4047C0",17043,17115,16941,16664,16638,16396
"53","46","      Water transportation","N4048C0",3077,3359,3455,3571,3631,3859
"54","47","      Truck transportation","N4049C0",53663,56780,60281,60867,59866,60789
"55","48","      Transit and ground passenger transportation","N4050C0",9033,9688,10019,10458,10719,11045
"56","49","      Pipeline transportation","N4051C0",3887,4224,5140,5029,3998,3916
"57","50","      Other transportation and support activities \3\","N4052C0",40088,43398,46927,47235,47832,50527
"58","51","      Warehousing and storage","N4053C0",16245,17448,19234,19546,20234,21464
"59","52","    Information","N4054C0",185591,217519,248037,244368,227315,224719
"60","53","      Publishing industries (includes software)","N4055C0",59537,69536,78090,75996,71001,70713
"61","54","      Motion picture and sound recording industries","N4056C0",17937,18289,20007,20205,21115,21659
"62","55","      Broadcasting and telecommunications","N4057C0",84503,98755,109581,109191,102656,100512
"63","56","      Information and data processing services","N4058C0",23613,30940,40359,38976,32542,31835
"64","57","    Finance and insurance","N4059C0",344499,370657,409270,436988,445778,470071
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",122190,128437,130959,145933,162892,180185
"66","59","      Securities, commodity contracts, and investments","N4061C0",98399,112031,140232,144847,131601,127624
"67","60","      Insurance carriers and related activities","N4062C0",116959,122153,128877,137003,142322,153276
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",6951,8036,9201,9204,8964,8985
"69","62","    Real estate and rental and leasing","N4064C0",66230,70705,77401,81264,83856,87328
"70","63","      Real estate","N4065C0",45782,49103,53475,56707,59515,62667
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20448,21601,23926,24557,24342,24662
"72","65","    Professional, scientific, and technical services","N4067C0",378347,421972,486853,499604,492936,501159
"73","66","      Legal services","N4068C0",72491,77968,85396,91445,95356,100815
"74","67","      Computer systems design and related services","N4069C0",73316,90745,114860,111787,103510,98841
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",232540,253259,286596,296373,294071,301504
"76","69","    Management of companies and enterprises \6\","N4071C0",127482,136054,147400,139885,140140,144142
"77","70","    Administrative and waste management services","N4072C0",193921,213076,211741,217033,221326,228475
"78","71","      Administrative and support services","N4073C0",181541,199175,197720,202179,205904,212464
"79","72","      Waste management and remediation services","N4074C0",12380,13901,14021,14854,15422,16011
"80","73","    Educational services","N4075C0",61248,65903,71987,78103,84008,89826
"81","74","    Health care and social assistance","N4076C0",425881,447132,478784,516242,555098,590495
"82","75","      Ambulatory health care services","N4077C0",194581,202869,217827,234879,251855,264658
"83","76","      Hospitals","N4078C0",142938,149098,156646,168613,182387,198220
"84","77","      Nursing and residential care facilities","N4079C0",52495,55381,59947,64893,69451,72917
"85","78","      Social assistance","N4080C0",35867,39784,44364,47857,51405,54701
"86","79","    Arts, entertainment, and recreation","N4081C0",44475,48364,53596,56948,59465,62530
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",20966,23221,25606,27304,28790,30560
"88","81","      Amusements, gambling, and recreation industries","N4083C0",23509,25143,27990,29644,30674,31969
"89","82","    Accommodation and food services","N4084C0",143720,152818,164689,170604,177136,184913
"90","83","      Accommodation","N4085C0",39821,43363,47228,47556,47359,49358
"91","84","      Food services and drinking places","N4086C0",103898,109455,117462,123048,129777,135555
"92","85","    Other services, except government","N4087C0",141510,148531,157150,165563,176058,184144
"93","86","  Government","A4076C0",916240,955307,1010811,1064825,1132145,1186231
"94","87","    Federal","B4077C0",270047,277379,293875,302949,327352,351068
"95","88","      General government","B568RC0",215079,221292,233761,242905,266776,293513
"96","89","        Civilian","B4079C0",129739,134187,142298,145369,156393,165701
"97","90","        Military \7\","W4080C0",85341,87105,91463,97537,110386,127813
"98","91","      Government enterprises","A4081C0",54968,56087,60114,60043,60573,57554
"99","92","    State and local","B4082C0",646194,677927,716937,761876,804793,835163
"100","93","      General government","B251RC0",603303,633051,669441,710834,749985,778171
"101","94","        Education","B4084C0",322869,339494,360115,381149,401952,417592
"102","95","        Other \8\","B4085C0",280434,293557,309326,329685,348033,360579
"103","96","      Government enterprises \8\","B4086C0",42891,44876,47496,51042,54808,56992
"104","97","Rest of the world","A4187C0",-4563,-5213,-4592,-5163,-5447,-5508
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2933,2931,2938,3031
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8385,8539
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA
