"","Table 5#4#6B# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"29","22","    Mining","C320RX1",1.6,1.2,1,1.3,1.2,1.1,1.4
"30","23","  Other structures","W004RX1",63.9,67.4,67.9,69.9,66.6,56.4,54.9
"31","24","    Religious","C309RX1",6.3,7,7.5,7.8,7.8,7.6,7.5
"32","25","    Educational and vocational","W044RX1",11.1,11.9,11.3,13,13.8,13.7,13.4
"33","26","    Lodging","W045RX1",18,20,20.6,20.2,17.2,12.2,11.3
"34","27","    Amusement and recreation","W046RX1",11.5,11.2,12,10.5,9,8.4,8.7
"35","28","    Transportation","W047RX1",6.6,7.5,6.5,6.6,6.6,6.2,5.7
"36","29","      Air","W048RX1",1.1,1.3,1.4,1.9,2,1.3,1
"37","30","      Land \3\","W049RX1",5.4,6.3,5.1,4.7,4.5,4.8,4.7
"38","31","    Farm","C316RX1",4.3,4.7,5.3,6,4.9,5.4,4.8
"39","32","    Other \4\","W050RX1",4.1,4.2,3.8,4.6,3.5,2.5,3.1
"40","33","    Brokers' commissions on sale of structures","C321RX1",2.1,2.3,2.3,2.4,2.3,2,1.8
"41","34","    Net purchases of used structures","E322RX1",-0.2,-1.3,-1.4,-1.4,1.5,-1.6,-1.5
"42","35","Residential","A012RX1",382.4,411.9,436.6,439.5,441.1,462.5,503
"43","36","  Permanent site","A943RX1",223.5,244.7,262.9,265,266.6,277.3,306.3
"44","37","    Single-family structures","A944RX1",196.6,218.1,234.2,236.8,237.1,246.3,274.2
"45","38","    Multifamily structures","C292RX1",26.9,26.6,28.7,28.3,29.5,31,32.1
"46","39","  Other structures","A863RX1",158.8,167.1,173.6,174.5,174.5,185.1,196.6
"47","40","    Manufactured homes","A945RX1",14.7,16,15.2,11.5,9.2,8.2,6.7
"48","41","    Dormitories","C295RX1",0.9,1,1.3,1.4,1.5,1.4,1.6
"49","42","    Improvements","A946RX1",100.1,100.7,104.3,107.1,108.6,114.7,119.6
"50","43","    Brokers' commissions on sale of structures","A758RX1",45.7,52.6,56.4,56.1,56.9,63.3,70.8
"51","44","    Net purchases of used structures","A759RX1",-2.6,-3.4,-3.6,-1.5,-1.7,-2.7,-2.5
"52","45","Residual","A971RX1",0.3,-0.2,0,0,0.7,-0.1,1.6
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
"54","46","  Private fixed investment in new structures \5\","W040RX1",617.7,656.2,676,697.1,688.2,652.7,671.4
"55","47","    Nonresidential structures","A771RX1",278.2,293.5,292.3,312.1,302.3,251.2,237.1
"56","48","    Residential structures","A756RX1",339.4,362.6,383.7,385,385.9,401.8,434.6
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Includes all financial buildings.  Medical buildings are included in health care.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Note. Chained (2000) dollar series are calculated as the product of the chain-type quantity index and the 2000 current-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line is the difference between",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA
