"","Table 3#11#6# Real National Defense Consumption Expenditures and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65"
"44","25","        Transportation of material","B786RX1","6,520.0","5,998.0","5,710.0","5,898.0","5,936.0","5,802.0","5,715.0","5,298.0","5,453.0","5,751.0","6,048.0","7,219.0","7,317.0","6,888.0","6,061.0","4,427.0","10,487.0","16,720.0","10,194.0","9,052.0","10,309.0","10,672.0","9,792.0","9,046.0","10,816.0","10,224.0","7,853.0","4,013.0","8,622.0","5,292.0","9,987.0","7,343.0","9,701.0","11,150.0","13,352.0","13,192.0","12,665.0","11,679.0","10,628.0","10,141.0","11,418.0","13,052.0","13,879.0","14,191.0","14,272.0","13,964.0","14,036.0","14,343.0","14,143.0","13,526.0","13,301.0","12,584.0","11,108.0","9,552.0","8,878.0","8,264.0","7,866.0","7,594.0","7,684.0","7,679.0","7,853.0","7,298.0"
"45","26","        Travel of persons","B785RX1","6,612.0","6,687.0","6,687.0","6,792.0","6,644.0","6,625.0","6,622.0","6,294.0","6,276.0","6,381.0","6,670.0","7,235.0","6,845.0","6,675.0","6,397.0","5,847.0","6,809.0","8,415.0","8,273.0","7,978.0","8,559.0","9,084.0","9,092.0","9,567.0","12,525.0","9,900.0","9,094.0","6,550.0","9,233.0","6,021.0","8,991.0","7,432.0","8,633.0","8,891.0","9,567.0","8,287.0","8,437.0","8,524.0","8,280.0","8,044.0","8,855.0","9,498.0","9,711.0","9,584.0","10,129.0","9,834.0","9,846.0","9,819.0","9,218.0","8,935.0","8,748.0","8,805.0","8,746.0","8,227.0","8,063.0","7,437.0","6,621.0","6,024.0","5,988.0","5,988.0","6,370.0","5,982.0"
"46","27","  Less: Own-account investment \4\","W088RX1","11,246.0","12,139.0","12,098.0","12,082.0","11,940.0","12,240.0","12,586.0","13,023.0","13,807.0","14,046.0","14,413.0","14,986.0","15,438.0","15,696.0","15,913.0","16,187.0","16,264.0","16,400.0","16,332.0","16,423.0","16,036.0","16,128.0","16,231.0","16,433.0","16,485.0","16,746.0","16,983.0","17,211.0","17,298.0","17,589.0","17,955.0","18,428.0","18,845.0","19,172.0","19,398.0","19,490.0","19,569.0","19,551.0","19,496.0","19,470.0","19,370.0","19,405.0","19,462.0","19,595.0","19,571.0","19,300.0","19,409.0","19,561.0","20,100.0","20,651.0","21,204.0","21,826.0","22,456.0","22,840.0","22,936.0","22,756.0","22,255.0","21,748.0","21,232.0","20,713.0","20,336.0","19,928.0"
"47","28","  Less: Sales to other sectors","W089RX1","1,245.0","2,341.0","4,035.0","2,514.0","4,588.0","1,967.0","3,106.0","1,511.0","4,204.0","2,005.0","2,354.0","2,577.0","2,239.0","1,765.0","5,053.0","2,442.0","3,376.0","3,130.0","3,015.0","2,962.0","2,912.0","3,007.0","3,150.0","3,421.0","3,445.0","3,730.0","4,080.0","4,464.0","4,825.0","4,963.0","4,869.0","4,554.0","3,829.0","3,479.0","3,289.0","3,440.0","3,694.0","3,855.0","3,926.0","3,974.0","3,926.0","3,773.0","3,830.0","3,660.0","3,546.0","3,506.0","3,548.0","3,656.0","3,700.0","3,743.0","3,786.0","3,778.0","3,698.0","3,697.0","3,689.0","3,650.0","3,611.0","3,448.0","3,518.0","3,504.0","3,409.0","3,340.0"
"48","29","Gross investment \5\","A788RX1","86,676.0","90,613.0","93,435.0","91,389.0","90,812.0","90,855.0","92,098.0","92,025.0","92,002.0","96,102.0","98,496.0","100,167.0","101,735.0","108,349.0","113,411.0","114,240.0","116,300.0","121,140.0","123,264.0","125,718.0","127,648.0","131,031.0","137,596.0","136,469.0","136,024.0","140,208.0","143,027.0","140,834.0","143,289.0","149,669.0","146,742.0","151,932.0","150,589.0","157,513.0","158,152.0","158,372.0","160,621.0","171,580.0","175,890.0","177,496.0","170,056.0","176,335.0","178,295.0","175,265.0","173,215.0","177,309.0","178,760.0","180,693.0","167,640.0","170,491.0","168,258.0","168,264.0","160,014.0","162,921.0","161,444.0","155,575.0","147,753.0","145,891.0","145,948.0","143,368.0","131,130.0","135,480.0"
"49","30","  Structures","A808RX1","9,116.0","8,884.0","8,401.0","7,723.0","7,824.0","7,993.0","8,818.0","8,129.0","7,451.0","8,191.0","7,589.0","7,894.0","8,191.0","8,534.0","9,101.0","9,065.0","9,737.0","9,867.0","10,025.0","9,468.0","9,623.0","9,044.0","9,350.0","8,181.0","8,807.0","8,471.0","8,744.0","8,113.0","8,145.0","8,552.0","8,197.0","9,143.0","9,165.0","11,685.0","10,532.0","9,643.0","10,517.0","13,073.0","14,434.0","15,816.0","16,270.0","16,891.0","17,878.0","17,473.0","16,078.0","16,872.0","17,335.0","16,662.0","15,215.0","14,121.0","12,256.0","10,503.0","9,072.0","7,944.0","6,681.0","7,022.0","6,276.0","6,293.0","6,219.0","5,137.0","4,912.0","4,765.0"
"50","31","  Equipment","Y050RX1","33,548.0","36,641.0","39,424.0","38,446.0","38,282.0","38,033.0","38,505.0","38,459.0","38,461.0","41,163.0","42,833.0","43,037.0","43,365.0","47,984.0","50,908.0","49,936.0","49,725.0","52,729.0","53,325.0","54,735.0","55,225.0","57,549.0","62,170.0","61,188.0","59,426.0","63,072.0","64,950.0","63,315.0","65,683.0","70,833.0","67,366.0","70,599.0","68,480.0","72,399.0","73,847.0","74,561.0","75,871.0","84,594.0","88,134.0","88,819.0","81,387.0","87,398.0","88,615.0","86,716.0","85,679.0","89,496.0","90,118.0","93,393.0","82,194.0","86,264.0","85,715.0","86,958.0","80,285.0","84,616.0","85,452.0","80,178.0","74,942.0","75,212.0","77,074.0","77,273.0","66,200.0","71,696.0"
"51","32","    Aircraft","B874RX1","4,949.0","5,565.0","7,272.0","5,542.0","7,917.0","6,037.0","7,194.0","6,041.0","6,218.0","6,331.0","9,843.0","9,379.0","7,197.0","9,315.0","9,902.0","10,214.0","9,476.0","9,421.0","8,263.0","9,709.0","8,526.0","9,927.0","11,946.0","13,839.0","12,636.0","13,821.0","14,480.0","14,560.0","13,516.0","15,797.0","12,165.0","15,009.0","12,737.0","14,681.0","13,641.0","12,780.0","9,030.0","14,697.0","14,689.0","16,706.0","12,438.0","15,159.0","12,782.0","13,580.0","15,086.0","17,052.0","15,910.0","18,985.0","18,088.0","20,459.0","20,953.0","20,450.0","18,983.0","19,824.0","22,189.0","18,801.0","22,487.0","19,129.0","21,804.0","24,605.0","18,267.0","22,197.0"
"52","33","    Missiles","B875RX1","3,039.0","3,023.0","3,099.0","3,487.0","2,645.0","2,679.0","2,312.0","4,278.0","3,981.0","3,945.0","3,440.0","3,587.0","3,956.0","3,736.0","3,462.0","3,783.0","3,145.0","3,182.0","3,927.0","5,131.0","4,243.0","3,844.0","4,714.0","4,678.0","3,355.0","4,760.0","3,675.0","5,154.0","5,035.0","5,014.0","3,564.0","5,212.0","5,696.0","4,662.0","3,825.0","3,763.0","4,431.0","4,699.0","4,505.0","3,786.0","4,237.0","4,708.0","6,466.0","4,840.0","5,580.0","5,666.0","5,355.0","5,293.0","4,998.0","5,311.0","4,770.0","4,269.0","6,130.0","6,590.0","6,262.0","6,506.0","4,982.0","6,041.0","7,516.0","6,088.0","5,622.0","5,893.0"
"53","34","    Ships","B876RX1","8,807.0","8,557.0","8,334.0","9,060.0","7,658.0","8,504.0","8,351.0","8,571.0","9,016.0","9,336.0","8,637.0","9,262.0","10,269.0","10,713.0","11,123.0","11,240.0","10,532.0","12,422.0","12,339.0","11,389.0","11,873.0","10,761.0","13,496.0","11,219.0","11,480.0","11,020.0","12,180.0","10,420.0","10,968.0","12,480.0","11,779.0","11,656.0","10,503.0","10,876.0","10,760.0","11,672.0","10,157.0","11,272.0","11,814.0","11,848.0","10,519.0","10,865.0","10,899.0","12,284.0","10,573.0","11,005.0","11,618.0","12,882.0","10,014.0","10,798.0","10,563.0","12,155.0","9,873.0","11,534.0","10,643.0","11,947.0","9,572.0","11,678.0","11,757.0","12,689.0","10,353.0","12,446.0"
"54","35","    Vehicles","B877RX1","1,566.0","1,902.0","1,606.0","2,064.0","1,925.0","2,166.0","2,123.0","1,729.0","2,066.0","2,276.0","1,846.0","2,311.0","2,425.0","2,847.0","3,431.0","2,822.0","3,941.0","3,605.0","3,263.0","2,850.0","3,061.0","3,395.0","2,768.0","2,881.0","3,025.0","4,623.0","5,036.0","3,974.0","4,990.0","5,301.0","5,902.0","5,183.0","5,283.0","6,942.0","7,276.0","6,419.0","8,979.0","8,844.0","10,089.0","10,239.0","8,870.0","9,153.0","9,434.0","9,351.0","9,149.0","9,692.0","9,576.0","9,656.0","7,386.0","7,041.0","6,864.0","6,782.0","5,209.0","5,741.0","5,622.0","5,282.0","3,431.0","4,023.0","3,648.0","3,356.0","2,958.0","2,685.0"
"55","36","    Electronics","Y051RX1","2,179.0","2,633.0","2,782.0","2,478.0","2,719.0","2,883.0","2,662.0","2,935.0","2,831.0","3,022.0","2,936.0","3,005.0","3,241.0","3,393.0","3,629.0","3,449.0","4,051.0","3,930.0","4,574.0","4,154.0","4,332.0","5,373.0","4,894.0","5,031.0","5,044.0","5,606.0","6,492.0","6,185.0","6,662.0","7,053.0","7,905.0","7,855.0","8,652.0","9,316.0","10,374.0","10,224.0","11,943.0","12,850.0","13,730.0","13,572.0","12,299.0","13,367.0","13,886.0","13,383.0","12,286.0","12,674.0","13,232.0","12,783.0","10,080.0","10,578.0","10,607.0","10,984.0","9,216.0","9,652.0","9,540.0","9,009.0","7,581.0","7,945.0","7,033.0","6,769.0","6,159.0","5,967.0"
"56","37","    Other equipment","B879RX1","14,438.0","16,117.0","17,075.0","17,309.0","15,862.0","16,712.0","16,669.0","15,887.0","15,360.0","17,342.0","16,586.0","16,114.0","17,235.0","18,905.0","20,298.0","19,387.0","19,298.0","21,252.0","21,992.0","22,454.0","24,241.0","24,859.0","25,322.0","24,128.0","24,521.0","23,796.0","23,597.0","23,394.0","24,896.0","25,686.0","26,382.0","26,032.0","25,761.0","26,096.0","28,021.0","29,796.0","31,336.0","32,222.0","33,313.0","32,685.0","33,038.0","34,146.0","35,142.0","33,266.0","32,987.0","33,399.0","34,424.0","33,753.0","31,538.0","31,925.0","31,857.0","32,188.0","30,664.0","30,997.0","31,018.0","28,275.0","26,899.0","26,060.0","24,969.0","23,584.0","22,566.0","22,256.0"
"57","38","  Intellectual property products","Y052RX1","45,521.0","46,222.0","46,312.0","45,807.0","45,331.0","45,541.0","45,686.0","46,177.0","46,656.0","47,337.0","48,431.0","49,679.0","50,694.0","52,213.0","53,788.0","55,702.0","57,485.0","59,100.0","60,494.0","61,939.0","63,250.0","64,705.0","66,252.0","67,146.0","67,995.0","68,726.0","69,388.0","69,437.0","69,459.0","70,239.0","71,177.0","72,181.0","72,956.0","73,443.0","73,784.0","74,178.0","74,236.0","73,936.0","73,355.0","72,878.0","72,400.0","72,044.0","71,804.0","71,076.0","71,437.0","70,951.0","71,325.0","70,667.0","70,173.0","70,057.0","70,213.0","70,734.0","70,506.0","70,281.0","69,276.0","68,258.0","66,372.0","64,280.0","62,637.0","61,032.0","59,848.0","59,030.0"
"58","39","    Software","Y053RX1","5,622.0","6,544.0","6,567.0","6,521.0","6,147.0","6,291.0","6,210.0","6,303.0","6,061.0","5,819.0","5,823.0","5,913.0","5,757.0","5,791.0","5,816.0","5,739.0","5,521.0","5,588.0","5,660.0","5,804.0","5,722.0","5,802.0","6,016.0","6,094.0","5,934.0","6,107.0","6,212.0","6,217.0","6,177.0","6,234.0","6,334.0","6,531.0","6,608.0","6,586.0","6,589.0","6,569.0","6,881.0","6,924.0","6,919.0","6,797.0","6,715.0","6,760.0","6,868.0","7,000.0","7,233.0","7,214.0","7,413.0","7,506.0","7,576.0","7,662.0","7,728.0","7,799.0","7,713.0","7,783.0","7,755.0","7,734.0","7,829.0","7,610.0","7,688.0","7,667.0","7,694.0","7,704.0"
"59","40","    Research and development","Y076RX1","39,747.0","39,432.0","39,497.0","39,038.0","38,972.0","39,024.0","39,261.0","39,654.0","40,407.0","41,365.0","42,466.0","43,627.0","44,826.0","46,323.0","47,885.0","49,901.0","51,939.0","53,493.0","54,819.0","56,119.0","57,525.0","58,903.0","60,232.0","61,049.0","62,069.0","62,622.0","63,176.0","63,221.0","63,284.0","64,008.0","64,845.0","65,650.0","66,348.0","66,858.0","67,197.0","67,611.0","67,355.0","67,012.0","66,435.0","66,081.0","65,684.0","65,284.0","64,935.0","64,077.0","64,208.0","63,743.0","63,922.0","63,176.0","62,618.0","62,421.0","62,513.0","62,965.0","62,818.0","62,530.0","61,559.0","60,568.0","58,610.0","56,737.0","55,035.0","53,464.0","52,266.0","51,447.0"
"60","41","Residual","A975RX1","-8,500.0","-6,800.0","-6,000.0","-5,100.0","-5,200.0","-5,200.0","-5,700.0","-5,900.0","-6,500.0","-5,200.0","-3,800.0","-5,000.0","-5,300.0","-4,600.0","-3,100.0","-3,900.0","-4,400.0","-3,600.0","-1,600.0","-2,300.0","-2,800.0","-1,500.0","-1,700.0","-600.0","-1,400.0","-800.0","-500.0","-800.0","-700.0","-400.0","200.0","200.0","0.0","200.0","200.0","500.0","500.0","600.0","-200.0","200.0","300.0","-300.0","0.0","-200.0","100.0","0.0","0.0","-100.0","700.0","400.0","200.0","600.0","1,200.0","600.0","-600.0","-200.0","-500.0","-800.0","-1,000.0","-1,800.0","-1,000.0","-1,000.0"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. National defense consumption expenditures are defense services produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","(construction, software, and research and development).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","structures, software, and research and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","5. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","and the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","estimates are usually not additive. The residual line is the difference between the first line and the sum of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
