"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32"
"26","8","    National defense","A808RC1","1,491.0","1,321.0","1,827.0","1,789.0","2,112.0","2,177.0","2,320.0","2,145.0","2,378.0","2,509.0","2,521.0","3,177.0","3,210.0","3,954.0","4,763.0","4,934.0","6,219.0","6,774.0","7,657.0","7,357.0","6,358.0","6,090.0","4,633.0","5,220.0","5,347.0","5,763.0","6,696.0","6,287.0","6,117.0"
"27","9","      New","A814RC1","1,585.0","1,311.0","1,593.0","1,466.0","1,780.0","2,000.0","2,606.0","2,419.0","2,404.0","2,516.0","2,523.0","3,212.0","3,212.0","3,955.0","4,765.0","4,937.0","6,223.0","6,778.0","7,661.0","7,365.0","6,377.0","6,102.0","4,639.0","5,225.0","5,351.0","5,767.0","6,700.0","6,291.0","6,121.0"
"28","10","        Buildings","A815RC1","405.0","325.0","446.0","467.0","507.0","646.0","791.0","724.0","678.0","738.0","768.0","1,056.0","1,250.0","1,609.0","1,976.0","1,969.0","2,617.0","2,524.0","2,659.0","2,504.0","2,408.0","2,617.0","2,280.0","2,044.0","1,940.0","2,044.0","2,056.0","1,987.0","1,896.0"
"29","11","          Residential","B816RC1","161.0","110.0","139.0","344.0","368.0","489.0","626.0","567.0","494.0","519.0","463.0","674.0","734.0","944.0","1,194.0","1,158.0","1,512.0","1,557.0","1,852.0","1,731.0","1,691.0","1,803.0","1,190.0","1,110.0","1,224.0","1,426.0","1,485.0","1,373.0","1,439.0"
"30","12","          Industrial","B817RC1","244.0","215.0","307.0","123.0","139.0","157.0","165.0","157.0","184.0","219.0","305.0","382.0","516.0","665.0","782.0","811.0","1,105.0","967.0","807.0","773.0","717.0","814.0","1,090.0","934.0","716.0","618.0","571.0","614.0","457.0"
"31","13","        Military facilities \3\","B818RC1","1,180.0","986.0","1,147.0","999.0","1,273.0","1,354.0","1,815.0","1,695.0","1,726.0","1,778.0","1,755.0","2,156.0","1,962.0","2,346.0","2,789.0","2,968.0","3,606.0","4,254.0","5,002.0","4,861.0","3,969.0","3,485.0","2,359.0","3,181.0","3,411.0","3,723.0","4,644.0","4,304.0","4,225.0"
"32","14","      Net purchases of used structures","B819RC1","-94.0","10.0","234.0","323.0","332.0","177.0","-286.0","-274.0","-26.0","-7.0","-2.0","-35.0","-2.0","-1.0","-2.0","-3.0","-4.0","-4.0","-4.0","-8.0","-19.0","-12.0","-6.0","-5.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"33","15","    Nondefense","A830RC1","1,889.0","2,057.0","2,459.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","4,998.0","6,136.0","6,253.0","7,074.0","7,726.0","6,784.0","6,734.0","7,034.0","7,344.0","8,005.0","9,031.0","6,848.0","6,883.0","7,992.0","9,168.0","10,292.0","11,241.0","10,212.0","10,796.0","11,256.0","9,909.0"
"34","16","      New","A831RC1","1,885.0","2,049.0","2,454.0","2,710.0","3,107.0","3,400.0","4,073.0","4,584.0","5,051.0","6,073.0","6,375.0","7,055.0","7,641.0","6,751.0","6,793.0","6,957.0","7,083.0","6,917.0","8,083.0","7,379.0","7,260.0","8,184.0","9,545.0","10,576.0","10,905.0","10,918.0","11,373.0","11,330.0","10,200.0"
"35","17","        Buildings","A832RC1","424.0","361.0","435.0","511.0","724.0","776.0","1,001.0","1,265.0","1,432.0","1,626.0","1,784.0","2,079.0","2,307.0","1,912.0","2,126.0","2,410.0","2,479.0","2,436.0","3,061.0","2,720.0","2,563.0","3,395.0","4,395.0","4,644.0","4,534.0","3,840.0","4,582.0","4,721.0","4,675.0"
"36","18","          Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","19","          Industrial","B834RC1","115.0","100.0","93.0","122.0","181.0","277.0","395.0","458.0","607.0","666.0","764.0","997.0","1,076.0","901.0","955.0","940.0","776.0","550.0","497.0","540.0","488.0","547.0","674.0","881.0","935.0","782.0","852.0","683.0","443.0"
"38","20","          Educational \4\","B835RC1","11.0","14.0","19.0","25.0","58.0","47.0","16.0","6.0","10.0","22.0","40.0","39.0","30.0","22.0","18.0","11.0","10.0","14.0","4.0","4.0","8.0","11.0","20.0","29.0","21.0","21.0","26.0","12.0","18.0"
"39","21","          Hospital","B836RC1","52.0","72.0","100.0","90.0","75.0","90.0","169.0","206.0","259.0","296.0","287.0","340.0","442.0","409.0","391.0","461.0","496.0","541.0","642.0","619.0","568.0","645.0","564.0","576.0","717.0","661.0","766.0","896.0","1,043.0"
"40","22","          Other \5\","B837RC1","246.0","175.0","223.0","274.0","410.0","362.0","421.0","595.0","556.0","642.0","693.0","703.0","759.0","580.0","762.0","998.0","1,197.0","1,331.0","1,918.0","1,557.0","1,499.0","2,192.0","3,137.0","3,158.0","2,861.0","2,376.0","2,938.0","3,130.0","3,171.0"
"41","23","        Highways and streets \6\","B838RC1","213.0","253.0","288.0","299.0","268.0","257.0","307.0","339.0","396.0","421.0","528.0","456.0","752.0","518.0","468.0","516.0","469.0","402.0","405.0","431.0","234.0","233.0","238.0","219.0","326.0","428.0","308.0","368.0","255.0"
"42","24","        Conservation and development","B839RC1","1,185.0","1,366.0","1,644.0","1,761.0","1,953.0","2,244.0","2,636.0","2,840.0","3,086.0","3,859.0","3,914.0","4,271.0","4,404.0","4,119.0","3,999.0","3,822.0","3,845.0","3,674.0","3,962.0","3,605.0","3,698.0","3,653.0","3,599.0","4,527.0","4,217.0","4,354.0","4,167.0","3,845.0","3,369.0"
"43","25","        Other \7\","B840RC1","63.0","69.0","87.0","139.0","162.0","123.0","129.0","140.0","137.0","167.0","149.0","249.0","178.0","202.0","200.0","209.0","290.0","405.0","655.0","623.0","765.0","903.0","1,313.0","1,186.0","1,828.0","2,296.0","2,316.0","2,396.0","1,901.0"
"44","26","      Net purchases of used structures","B841RC1","4.0","8.0","5.0","0.0","0.0","0.0","0.0","0.0","-53.0","63.0","-122.0","19.0","85.0","33.0","-59.0","77.0","261.0","1,088.0","948.0","-531.0","-377.0","-192.0","-377.0","-284.0","336.0","-706.0","-577.0","-74.0","-291.0"
"45","27","  State and local","A842RC1","25,579.0","25,789.0","26,953.0","27,106.0","29,137.0","34,740.0","38,136.0","38,148.0","36,911.0","42,846.0","49,040.0","55,058.0","55,421.0","54,245.0","54,222.0","60,536.0","67,553.0","74,207.0","78,821.0","84,793.0","88,727.0","98,539.0","103,180.0","104,232.0","104,487.0","108,710.0","117,256.0","126,838.0","139,530.0"
"46","28","    New","A843RC1","24,651.0","24,806.0","25,888.0","26,092.0","28,129.0","33,745.0","37,204.0","37,197.0","35,994.0","42,001.0","48,081.0","54,004.0","54,278.0","53,055.0","52,893.0","58,998.0","65,811.0","72,171.0","76,596.0","82,472.0","86,019.0","95,379.0","99,904.0","101,060.0","101,536.0","105,755.0","114,185.0","123,938.0","136,608.0"
"47","29","      Buildings","A844RC1","10,227.0","9,755.0","10,320.0","10,368.0","11,666.0","13,486.0","15,094.0","14,612.0","13,340.0","14,706.0","16,288.0","18,444.0","18,490.0","18,737.0","19,010.0","20,638.0","23,782.0","27,083.0","28,172.0","31,290.0","34,775.0","38,779.0","42,600.0","43,591.0","43,099.0","44,728.0","52,412.0","57,881.0","64,498.0"
"48","30","        Residential","B845RC1","907.0","1,014.0","1,012.0","732.0","811.0","816.0","1,074.0","994.0","1,222.0","1,205.0","1,553.0","1,835.0","2,247.0","2,091.0","2,419.0","2,394.0","2,595.0","2,675.0","2,808.0","2,873.0","2,941.0","3,370.0","3,615.0","4,033.0","3,775.0","3,389.0","4,123.0","4,367.0","4,622.0"
"49","31","        Industrial","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"50","32","        Educational \8\","B847RC1","5,857.0","5,604.0","5,545.0","5,692.0","6,590.0","7,263.0","7,448.0","6,952.0","5,991.0","6,515.0","7,141.0","7,860.0","7,335.0","7,027.0","6,864.0","7,823.0","9,074.0","10,441.0","10,623.0","12,820.0","14,688.0","16,044.0","19,087.0","20,251.0","19,108.0","20,335.0","25,757.0","28,578.0","33,533.0"
"51","33","        Hospital","B848RC1","709.0","708.0","831.0","850.0","846.0","1,069.0","1,483.0","1,699.0","1,556.0","1,514.0","1,695.0","1,956.0","1,867.0","1,914.0","1,728.0","1,710.0","1,757.0","1,859.0","2,035.0","2,049.0","2,132.0","2,443.0","2,688.0","3,048.0","3,179.0","2,967.0","3,077.0","3,043.0","3,263.0"
"52","34","        Other \5\","B849RC1","2,754.0","2,429.0","2,932.0","3,094.0","3,419.0","4,338.0","5,089.0","4,967.0","4,571.0","5,472.0","5,899.0","6,793.0","7,041.0","7,705.0","7,999.0","8,711.0","10,356.0","12,108.0","12,706.0","13,548.0","15,014.0","16,922.0","17,210.0","16,259.0","17,037.0","18,037.0","19,455.0","21,893.0","23,080.0"
"53","35","      Highways and streets \9\","B851RC1","9,039.0","9,728.0","10,370.0","10,131.0","10,236.0","11,808.0","12,840.0","12,032.0","12,064.0","13,748.0","16,560.0","17,753.0","17,654.0","16,756.0","17,436.0","21,040.0","23,272.0","24,916.0","26,668.0","28,695.0","28,513.0","31,877.0","32,150.0","32,237.0","33,961.0","36,991.0","37,308.0","39,096.0","42,347.0"
"54","36","      Conservation and development","B857RC1","593.0","541.0","450.0","410.0","358.0","495.0","692.0","677.0","580.0","547.0","835.0","1,150.0","1,029.0","1,079.0","1,264.0","1,411.0","1,608.0","1,736.0","1,716.0","1,666.0","1,953.0","2,003.0","1,831.0","1,689.0","1,707.0","1,887.0","2,209.0","2,350.0","2,245.0"
"55","37","      Sewer systems","B858RC1","1,344.0","1,544.0","1,829.0","2,002.0","2,429.0","3,384.0","3,748.0","4,243.0","4,033.0","5,136.0","5,561.0","6,644.0","5,886.0","5,574.0","5,007.0","5,903.0","6,049.0","6,815.0","8,107.0","8,519.0","8,497.0","9,059.0","9,172.0","9,588.0","8,958.0","8,141.0","8,160.0","9,177.0","9,453.0"
"56","38","      Water systems","B859RC1","1,336.0","1,094.0","996.0","1,076.0","1,068.0","1,382.0","1,962.0","1,904.0","1,677.0","2,213.0","2,522.0","3,213.0","3,074.0","3,221.0","2,813.0","3,421.0","3,946.0","4,650.0","5,295.0","5,321.0","5,496.0","6,126.0","6,333.0","5,592.0","4,990.0","5,206.0","4,969.0","6,238.0","7,556.0"
"57","39","      Other \7\","B860RC1","2,112.0","2,144.0","1,923.0","2,105.0","2,372.0","3,190.0","2,868.0","3,729.0","4,300.0","5,651.0","6,315.0","6,800.0","8,145.0","7,688.0","7,363.0","6,585.0","7,154.0","6,971.0","6,638.0","6,981.0","6,785.0","7,535.0","7,818.0","8,363.0","8,821.0","8,802.0","9,127.0","9,196.0","10,509.0"
"58","40","    Net purchases of used structures","B870RC1","928.0","983.0","1,065.0","1,014.0","1,008.0","995.0","932.0","951.0","917.0","845.0","959.0","1,054.0","1,143.0","1,190.0","1,329.0","1,538.0","1,742.0","2,036.0","2,225.0","2,321.0","2,708.0","3,160.0","3,276.0","3,172.0","2,951.0","2,955.0","3,071.0","2,900.0","2,922.0"
"59","41","Equipment","Y054RC1","12,858.0","13,042.0","9,216.0","9,780.0","10,940.0","14,356.0","16,589.0","19,241.0","20,979.0","23,052.0","27,275.0","31,082.0","35,967.0","42,313.0","50,229.0","58,446.0","67,762.0","73,891.0","77,415.0","74,273.0","80,677.0","86,622.0","85,692.0","84,767.0","79,413.0","77,453.0","78,888.0","80,078.0","75,638.0"
"60","42","  Federal","Y058RC1","10,277.0","10,257.0","6,283.0","6,448.0","7,101.0","9,752.0","11,502.0","13,963.0","15,538.0","16,951.0","20,174.0","23,007.0","27,432.0","32,930.0","39,437.0","45,772.0","53,003.0","57,523.0","60,197.0","55,700.0","58,754.0","62,690.0","62,227.0","60,721.0","54,557.0","49,392.0","48,429.0","49,590.0","43,592.0"
"61","43","    National defense","Y050RC1","9,716.0","9,546.0","5,452.0","5,314.0","5,954.0","8,215.0","9,856.0","12,138.0","13,250.0","14,279.0","17,448.0","19,790.0","24,123.0","29,069.0","35,179.0","41,091.0","47,862.0","52,722.0","54,970.0","49,578.0","51,521.0","54,636.0","53,350.0","50,701.0","44,706.0","41,894.0","39,835.0","39,855.0","33,628.0"
"62","44","      Aircraft","B874RC1",".....",".....",".....","2,641.0","2,321.0","2,310.0","3,602.0","3,419.0","3,740.0","3,693.0","4,847.0","6,131.0","7,463.0","8,411.0","10,066.0","10,883.0","13,384.0","17,902.0","17,579.0","13,526.0","12,179.0","11,983.0","9,214.0","8,327.0","9,341.0","10,457.0","9,007.0","9,163.0","5,798.0"
"63","45","      Missiles","B875RC1",".....",".....",".....","1,532.0","1,517.0","1,678.0","1,260.0","1,393.0","1,209.0","1,070.0","1,765.0","2,261.0","2,752.0","3,440.0","4,577.0","5,733.0","6,609.0","7,894.0","8,738.0","7,846.0","8,836.0","11,151.0","10,832.0","10,554.0","7,907.0","5,733.0","4,699.0","4,066.0","2,856.0"
"64","46","      Ships","B876RC1",".....",".....",".....","1,799.0","1,615.0","2,191.0","2,169.0","2,362.0","3,070.0","3,867.0","4,274.0","4,140.0","5,121.0","6,217.0","7,135.0","8,044.0","8,986.0","8,880.0","8,805.0","8,617.0","9,980.0","10,803.0","10,202.0","10,083.0","8,665.0","8,054.0","8,001.0","6,776.0","6,109.0"
"65","47","      Vehicles","B877RC1",".....",".....",".....","413.0","315.0","313.0","275.0","480.0","642.0","842.0","915.0","1,168.0","1,076.0","2,069.0","3,449.0","4,161.0","3,747.0","3,818.0","4,308.0","3,704.0","3,144.0","3,185.0","3,440.0","2,789.0","1,850.0","1,032.0","1,089.0","1,195.0","1,383.0"
"66","48","      Electronics","Y051RC1",".....",".....",".....","559.0","601.0","589.0","709.0","756.0","907.0","1,134.0","1,238.0","1,604.0","1,985.0","2,365.0","2,899.0","3,382.0","4,295.0","4,552.0","5,079.0","4,908.0","4,735.0","4,666.0","4,243.0","4,186.0","4,428.0","3,951.0","3,475.0","3,487.0","3,445.0"
"67","49","      Other equipment","B879RC1",".....",".....",".....","-1,630.0","-415.0","1,134.0","1,841.0","3,728.0","3,682.0","3,673.0","4,409.0","4,486.0","5,726.0","6,567.0","7,053.0","8,888.0","10,841.0","9,676.0","10,461.0","10,977.0","12,647.0","12,848.0","15,419.0","14,762.0","12,515.0","12,667.0","13,564.0","15,168.0","14,037.0"
"68","50","    Nondefense","Y066RC1","561.0","711.0","831.0","1,134.0","1,147.0","1,537.0","1,646.0","1,825.0","2,288.0","2,672.0","2,726.0","3,217.0","3,309.0","3,861.0","4,258.0","4,681.0","5,141.0","4,801.0","5,227.0","6,122.0","7,233.0","8,054.0","8,877.0","10,020.0","9,851.0","7,498.0","8,594.0","9,735.0","9,964.0"
"69","51","  State and local","Y070RC1","2,581.0","2,785.0","2,933.0","3,332.0","3,839.0","4,604.0","5,087.0","5,278.0","5,441.0","6,101.0","7,101.0","8,075.0","8,535.0","9,383.0","10,792.0","12,674.0","14,759.0","16,368.0","17,218.0","18,573.0","21,923.0","23,932.0","23,465.0","24,046.0","24,856.0","28,061.0","30,459.0","30,488.0","32,046.0"
"70","52","Intellectual property products \2\","Y055RC1","17,724.0","17,584.0","18,054.0","19,305.0","20,344.0","21,489.0","23,279.0","25,522.0","27,892.0","31,023.0","35,010.0","39,561.0","45,021.0","49,653.0","55,217.0","62,229.0","70,994.0","75,207.0","81,717.0","85,124.0","87,786.0","91,124.0","91,418.0","91,607.0","91,397.0","92,034.0","94,044.0","95,492.0","98,339.0"
"71","53","  Federal","Y059RC1","17,066.0","16,822.0","17,229.0","18,402.0","19,332.0","20,333.0","21,952.0","24,057.0","26,284.0","29,146.0","32,796.0","36,995.0","42,061.0","46,288.0","51,404.0","57,850.0","65,959.0","69,582.0","75,562.0","78,078.0","79,222.0","81,432.0","80,769.0","80,161.0","79,538.0","79,992.0","81,780.0","82,659.0","84,087.0"
"72","54","    National defense","Y052RC1","8,243.0","8,057.0","8,374.0","9,173.0","9,698.0","9,972.0","10,461.0","11,331.0","12,294.0","13,252.0","14,876.0","17,207.0","20,911.0","25,163.0","29,827.0","35,033.0","41,335.0","43,910.0","48,136.0","48,513.0","47,287.0","46,601.0","43,327.0","41,251.0","39,170.0","38,117.0","38,429.0","38,861.0","39,221.0"
"73","55","      Software","Y053RC1","140.0","206.0","225.0","257.0","321.0","394.0","491.0","526.0","565.0","661.0","832.0","1,003.0","1,262.0","1,443.0","1,687.0","2,247.0","2,745.0","3,224.0","3,627.0","4,262.0","4,818.0","5,189.0","5,428.0","5,635.0","5,439.0","5,305.0","5,291.0","5,507.0","5,584.0"
"74","56","      Research and development","Y076RC1","8,103.0","7,851.0","8,149.0","8,916.0","9,377.0","9,578.0","9,970.0","10,805.0","11,729.0","12,591.0","14,044.0","16,204.0","19,649.0","23,720.0","28,140.0","32,786.0","38,590.0","40,686.0","44,509.0","44,251.0","42,469.0","41,412.0","37,899.0","35,616.0","33,731.0","32,812.0","33,138.0","33,354.0","33,637.0"
"75","57","    Nondefense","Y067RC1","8,823.0","8,765.0","8,855.0","9,229.0","9,634.0","10,361.0","11,491.0","12,726.0","13,990.0","15,894.0","17,920.0","19,788.0","21,150.0","21,125.0","21,577.0","22,817.0","24,624.0","25,672.0","27,426.0","29,565.0","31,935.0","34,831.0","37,442.0","38,910.0","40,368.0","41,875.0","43,351.0","43,798.0","44,866.0"
"76","58","      Software","Y068RC1","260.0","371.0","424.0","483.0","606.0","777.0","957.0","1,035.0","1,119.0","1,317.0","1,642.0","2,059.0","2,503.0","2,803.0","3,265.0","3,659.0","4,109.0","4,291.0","4,758.0","5,227.0","5,834.0","6,195.0","6,562.0","6,672.0","6,831.0","6,814.0","7,013.0","7,254.0","7,731.0"
"77","59","      Research and development","Y069RC1","8,563.0","8,394.0","8,431.0","8,746.0","9,028.0","9,584.0","10,534.0","11,691.0","12,871.0","14,577.0","16,278.0","17,729.0","18,647.0","18,322.0","18,312.0","19,158.0","20,515.0","21,381.0","22,668.0","24,338.0","26,101.0","28,636.0","30,880.0","32,238.0","33,537.0","35,061.0","36,338.0","36,544.0","37,135.0"
"78","60","  State and local","Y071RC1","658.0","762.0","825.0","903.0","1,012.0","1,156.0","1,327.0","1,465.0","1,608.0","1,877.0","2,214.0","2,566.0","2,960.0","3,365.0","3,813.0","4,379.0","5,035.0","5,625.0","6,155.0","7,046.0","8,564.0","9,692.0","10,649.0","11,446.0","11,859.0","12,042.0","12,264.0","12,833.0","14,252.0"
"79","61","    Software","Y072RC1","141.0","175.0","177.0","204.0","241.0","292.0","366.0","412.0","437.0","532.0","693.0","839.0","1,000.0","1,199.0","1,434.0","1,766.0","2,072.0","2,235.0","2,410.0","2,938.0","4,059.0","4,766.0","5,406.0","6,063.0","6,328.0","6,274.0","6,254.0","6,452.0","7,360.0"
"80","62","    Research and development","Y073RC1","517.0","587.0","648.0","699.0","771.0","864.0","961.0","1,053.0","1,171.0","1,345.0","1,521.0","1,727.0","1,960.0","2,166.0","2,379.0","2,613.0","2,963.0","3,390.0","3,745.0","4,108.0","4,505.0","4,926.0","5,243.0","5,383.0","5,531.0","5,768.0","6,010.0","6,381.0","6,892.0"
"81",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","63","  Government enterprise gross fixed investment","A882RC1","7,722.0","8,055.0","8,274.0","9,048.0","10,001.0","12,425.0","13,700.0","15,071.0","15,186.0","19,164.0","21,372.0","25,294.0","26,642.0","26,529.0","26,058.0","28,123.0","31,544.0","33,948.0","35,649.0","35,530.0","36,677.0","40,451.0","42,497.0","45,113.0","45,063.0","41,785.0","44,168.0","46,464.0","49,020.0"
"83","64","    Federal","A883RC1","863.0","1,029.0","1,136.0","1,383.0","1,455.0","1,784.0","2,019.0","2,329.0","2,295.0","2,997.0","2,880.0","3,286.0","3,658.0","3,644.0","3,393.0","3,947.0","4,633.0","4,923.0","5,085.0","4,252.0","4,781.0","5,251.0","5,864.0","7,366.0","7,392.0","4,833.0","5,798.0","5,966.0","6,156.0"
"84","65","      Structures","B884RC1","511.0","583.0","649.0","707.0","766.0","856.0","1,072.0","1,341.0","1,294.0","1,838.0","1,757.0","2,087.0","2,384.0","2,076.0","2,114.0","2,432.0","2,857.0","3,322.0","3,615.0","2,031.0","2,130.0","2,529.0","2,646.0","2,988.0","3,067.0","2,232.0","2,613.0","2,211.0","2,548.0"
