"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Personal current taxes","W071RC1","550.0","526.0","471.0","443.0","422.0","445.0","499.0","563.0","617.0","627.0","632.0","672.0","709.0","724.0","750.0","787.0","829.0","859.0","997.0","1,140.0","1,357.0","1,480.0","1,680.0","1,838.0","1,936.0","2,092.0","2,389.0","2,678.0","2,892.0","3,063.0","3,823.0","4,230.0","4,556.0","5,026.0","5,414.0","6,084.0","6,596.0","7,776.0","8,575.0","10,552.0","12,806.0"
"22","4","    Income taxes","B245RC1","139.0","110.0","74.0","64.0","67.0","87.0","121.0","167.0","204.0","208.0","201.0","232.0","258.0","291.0","330.0","366.0","402.0","409.0","488.0","570.0","718.0","776.0","905.0","1,002.0","1,042.0","1,135.0","1,345.0","1,574.0","1,723.0","1,829.0","2,229.0","2,536.0","2,800.0","3,180.0","3,432.0","4,018.0","4,417.0","5,422.0","6,112.0","7,841.0","9,769.0"
"23","5","    Other","B247RC1","411.0","416.0","397.0","379.0","355.0","358.0","378.0","396.0","413.0","419.0","431.0","440.0","451.0","433.0","420.0","421.0","427.0","450.0","509.0","570.0","639.0","704.0","775.0","836.0","894.0","957.0","1,044.0","1,104.0","1,169.0","1,234.0","1,594.0","1,694.0","1,756.0","1,846.0","1,982.0","2,066.0","2,179.0","2,354.0","2,463.0","2,711.0","3,037.0"
"24","6","  Taxes on production and imports","W072RC1","5,687.0","5,982.0","5,824.0","5,689.0","5,281.0","5,481.0","5,848.0","6,249.0","6,577.0","6,761.0","6,868.0","7,214.0","7,542.0","7,530.0","7,599.0","7,759.0","8,183.0","9,141.0","10,442.0","11,898.0","13,034.0","14,216.0","15,555.0","17,000.0","18,394.0","19,382.0","21,039.0","23,271.0","25,116.0","26,522.0","28,841.0","31,475.0","33,807.0","36,251.0","38,700.0","41,845.0","45,282.0","48,762.0","52,773.0","59,535.0","66,044.0"
"25","7","    Sales taxes","B248RC1","439.0","525.0","571.0","578.0","669.0","934.0","1,156.0","1,396.0","1,518.0","1,583.0","1,653.0","1,835.0","2,073.0","2,033.0","1,965.0","2,002.0","2,266.0","2,899.0","3,508.0","4,115.0","4,333.0","4,801.0","5,366.0","5,847.0","6,264.0","6,469.0","7,103.0","7,989.0","8,590.0","9,979.0","11,132.0","12,156.0","13,020.0","14,013.0","14,975.0","16,454.0","18,185.0","19,953.0","21,370.0","25,057.0","28,562.0"
"26","8","    Property taxes","B249RC1","4,543.0","4,727.0","4,539.0","4,424.0","3,962.0","3,907.0","4,023.0","4,058.0","4,162.0","4,277.0","4,285.0","4,407.0","4,449.0","4,397.0","4,494.0","4,565.0","4,642.0","4,836.0","5,346.0","5,938.0","6,642.0","7,143.0","7,696.0","8,385.0","9,096.0","9,673.0","10,448.0","11,453.0","12,609.0","13,764.0","14,812.0","16,238.0","17,580.0","18,958.0","20,245.0","21,687.0","23,187.0","24,535.0","26,964.0","29,896.0","32,763.0"
"27","9","    Other","W073RC1","705.0","730.0","714.0","687.0","650.0","640.0","669.0","795.0","897.0","901.0","930.0","972.0","1,020.0","1,100.0","1,140.0","1,192.0","1,275.0","1,406.0","1,588.0","1,845.0","2,059.0","2,272.0","2,493.0","2,768.0","3,034.0","3,240.0","3,488.0","3,829.0","3,917.0","2,779.0","2,897.0","3,081.0","3,207.0","3,280.0","3,480.0","3,704.0","3,910.0","4,274.0","4,439.0","4,582.0","4,719.0"
"28","10","  Taxes on corporate income","B102RC1","145.0","98.0","75.0","57.0","59.0","100.0","131.0","157.0","165.0","134.0","156.0","199.0","277.0","350.0","458.0","465.0","455.0","462.0","604.0","671.0","605.0","770.0","883.0","826.0","809.0","773.0","968.0","1,044.0","1,019.0","1,004.0","1,162.0","1,249.0","1,290.0","1,502.0","1,653.0","1,844.0","1,977.0","2,230.0","2,625.0","3,310.0","3,610.0"
"29","11","Contributions for government social insurance","B104RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","5.0","5.0","4.0","155.0","175.0","201.0","194.0","223.0","242.0","278.0","306.0","324.0","337.0","370.0","397.0","395.0","413.0","461.0","492.0","548.0","629.0","682.0","758.0","821.0","877.0","942.0","1,026.0"
"30","12","Income receipts on assets","W074RC1","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","388.0","439.0","458.0","484.0","538.0","612.0","657.0","725.0","804.0","859.0","979.0","1,085.0","1,141.0","1,132.0","1,323.0","1,417.0","1,538.0","1,637.0","1,911.0","2,199.0","2,620.0","3,007.0","3,482.0","4,337.0"
"31","13","  Interest receipts \1\","B112RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","276.0","316.0","308.0","318.0","335.0","393.0","418.0","467.0","499.0","559.0","655.0","744.0","763.0","854.0","1,047.0","1,061.0","1,113.0","1,245.0","1,485.0","1,752.0","2,093.0","2,371.0","2,765.0","3,570.0"
"32","14","  Dividends","B081RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","15","  Rents and royalties","S230541","100.0","102.0","106.0","111.0","106.0","105.0","110.0","111.0","117.0","120.0","118.0","123.0","123.0","134.0","128.0","135.0","140.0","112.0","123.0","150.0","166.0","203.0","219.0","239.0","258.0","305.0","300.0","324.0","341.0","378.0","278.0","276.0","356.0","425.0","392.0","426.0","447.0","527.0","636.0","717.0","767.0"
"34","16","Current transfer receipts","W075RC1","482.0","452.0","578.0","376.0","707.0","1,835.0","1,908.0","924.0","903.0","858.0","1,070.0","920.0","836.0","961.0","1,031.0","1,058.0","998.0","1,094.0","1,191.0","1,692.0","2,170.0","2,235.0","2,403.0","2,535.0","2,687.0","2,795.0","2,866.0","3,049.0","3,514.0","3,957.0","4,013.0","4,290.0","4,941.0","5,453.0","5,973.0","6,755.0","7,421.0","10,404.0","12,314.0","13,319.0","15,257.0"
"35","17","  Federal grants-in-aid","B089RC1","114.0","121.0","308.0","129.0","497.0","1,628.0","1,701.0","719.0","695.0","646.0","867.0","717.0","633.0","748.0","825.0","844.0","772.0","888.0","951.0","1,371.0","1,798.0","1,839.0","1,978.0","2,083.0","2,197.0","2,249.0","2,316.0","2,432.0","2,799.0","3,209.0","3,630.0","3,820.0","4,282.0","4,736.0","5,245.0","5,953.0","6,560.0","9,366.0","10,934.0","11,838.0","13,660.0"
"36","18","  From business (net)","W076RC1","57.0","59.0","62.0","65.0","62.0","60.0","63.0","63.0","67.0","68.0","67.0","69.0","68.0","75.0","69.0","74.0","75.0","56.0","61.0","79.0","89.0","114.0","122.0","136.0","144.0","172.0","170.0","184.0","193.0","221.0","107.0","169.0","228.0","226.0","255.0","258.0","335.0","308.0","457.0","484.0","530.0"
"37","19","  From persons","B246RC1","311.0","272.0","208.0","182.0","148.0","147.0","144.0","142.0","141.0","144.0","136.0","134.0","135.0","138.0","137.0","140.0","151.0","150.0","179.0","242.0","283.0","282.0","303.0","316.0","346.0","374.0","380.0","433.0","522.0","527.0","276.0","301.0","431.0","491.0","473.0","544.0","526.0","730.0","923.0","997.0","1,067.0"
"38","20","Current surplus of government enterprises","B115RC1","97.0","99.0","82.0","81.0","96.0","122.0","159.0","183.0","188.0","168.0","202.0","239.0","280.0","314.0","374.0","399.0","436.0","366.0","340.0","278.0","327.0","358.0","404.0","407.0","457.0","576.0","744.0","770.0","771.0","762.0","1,045.0","1,159.0","1,227.0","1,280.0","1,515.0","1,525.0","1,555.0","1,467.0","1,432.0","1,333.0","1,268.0"
"39","21","    Current expenditures","W024RC1","5,733.0","6,119.0","6,374.0","6,278.0","6,454.0","7,009.0","7,677.0","6,104.0","6,795.0","7,006.0","7,337.0","7,752.0","8,213.0","8,883.0","9,291.0","9,474.0","9,952.0","11,679.0","14,118.0","16,283.0","17,685.0","19,506.0","20,233.0","21,674.0","23,011.0","24,716.0","27,004.0","29,186.0","32,146.0","35,703.0","38,246.0","41,617.0","45,488.0","48,187.0","51,804.0","56,340.0","61,706.0","68,905.0","76,877.0","88,212.0","100,242.0"
"40","22","Consumption expenditures","A991RC1","5,076.0","5,354.0","5,458.0","5,179.0","5,097.0","5,499.0","5,985.0","4,726.0","5,272.0","5,298.0","5,571.0","5,981.0","6,505.0","7,226.0","7,691.0","7,888.0","8,403.0","9,508.0","11,326.0","12,794.0","14,157.0","15,356.0","16,528.0","17,606.0","18,752.0","20,200.0","22,103.0","24,022.0","26,433.0","29,353.0","31,247.0","34,076.0","37,238.0","39,342.0","42,276.0","46,029.0","50,571.0","56,370.0","62,385.0","70,713.0","80,438.0"
"41","23","Government social benefit payments to persons","B109RC1","146.0","186.0","263.0","407.0","649.0","834.0","1,045.0","725.0","879.0","1,058.0","1,115.0","1,099.0","1,067.0","1,035.0","1,010.0","1,023.0","1,088.0","1,468.0","2,045.0","2,695.0","2,657.0","3,190.0","2,644.0","2,913.0","2,972.0","3,067.0","3,252.0","3,292.0","3,601.0","4,035.0","4,339.0","4,561.0","4,982.0","5,340.0","5,697.0","6,154.0","6,651.0","7,621.0","9,232.0","11,446.0","13,217.0"
"42","24","Interest payments \1\","B111RC1","511.0","579.0","653.0","692.0","708.0","676.0","647.0","653.0","644.0","650.0","651.0","672.0","641.0","622.0","590.0","563.0","461.0","703.0","747.0","794.0","871.0","960.0","1,061.0","1,155.0","1,287.0","1,449.0","1,649.0","1,872.0","2,112.0","2,315.0","2,660.0","2,980.0","3,268.0","3,505.0","3,819.0","4,147.0","4,466.0","4,890.0","5,234.0","6,026.0","6,562.0"
"43","25","  To persons and business \1\","Y705RC1","511.0","579.0","653.0","692.0","708.0","676.0","647.0","653.0","644.0","650.0","651.0","672.0","641.0","622.0","590.0","563.0","461.0","703.0","747.0","794.0","871.0","960.0","1,061.0","1,155.0","1,287.0","1,449.0","1,649.0","1,872.0","2,112.0","2,315.0","2,660.0","2,980.0","3,268.0","3,505.0","3,819.0","4,147.0","4,466.0","4,890.0","5,234.0","6,026.0","6,562.0"
"44","26","  To the rest of the world","Y706RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"45","27","Subsidies","B114RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"46","28","    Net state and local government saving","A924RC1","1,328.0","1,140.0","762.0","479.0","217.0","1,079.0","978.0","2,083.0","1,772.0","1,662.0","1,709.0","1,615.0","1,554.0","1,132.0","1,054.0","1,134.0","1,093.0","786.0","70.0","55.0","486.0","314.0","1,546.0","1,867.0","2,303.0","2,030.0","2,198.0","2,975.0","2,648.0","1,141.0","2,183.0","2,570.0","2,242.0","3,411.0","3,717.0","4,306.0","4,082.0","5,175.0","4,726.0","4,261.0","4,106.0"
"47","29","Social insurance funds","B118RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","-1.0","-3.0","77.0","68.0","80.0","58.0","66.0","70.0","87.0","98.0","93.0","94.0","103.0","105.0","41.0","25.0","28.0","12.0","14.0","30.0","44.0","90.0","119.0","130.0","144.0","159.0"
"48","30","Other","B119RC1","1,328.0","1,140.0","763.0","479.0","218.0","1,079.0","978.0","2,082.0","1,772.0","1,662.0","1,709.0","1,616.0","1,554.0","1,131.0","1,052.0","1,135.0","1,096.0","709.0","2.0","-25.0","429.0","248.0","1,476.0","1,781.0","2,206.0","1,937.0","2,104.0","2,873.0","2,543.0","1,100.0","2,159.0","2,542.0","2,230.0","3,397.0","3,687.0","4,262.0","3,992.0","5,055.0","4,595.0","4,117.0","3,947.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","31","  Total receipts","W077RC1","7,226.0","7,441.0","7,304.0","6,894.0","6,781.0","8,185.0","8,764.0","8,303.0","8,759.0","8,930.0","9,281.0","9,612.0","10,045.0","10,248.0","10,547.0","10,804.0","11,251.0","12,701.0","14,508.0","16,787.0","18,718.0","20,444.0","22,430.0","24,249.0","26,112.0","27,586.0","30,200.0","33,288.0","36,439.0","39,513.0","43,903.0","47,193.0","51,020.0","55,123.0","59,663.0","65,367.0","70,535.0","79,224.0","86,691.0","99,314.0","111,191.0"
"51","32","    Current receipts","W023RC1","7,061.0","7,259.0","7,136.0","6,757.0","6,671.0","8,088.0","8,655.0","8,187.0","8,567.0","8,668.0","9,046.0","9,367.0","9,767.0","10,015.0","10,345.0","10,608.0","11,045.0","12,465.0","14,188.0","16,338.0","18,171.0","19,820.0","21,779.0","23,541.0","25,314.0","26,746.0","29,202.0","32,161.0","34,794.0","36,844.0","40,429.0","44,187.0","47,730.0","51,598.0","55,521.0","60,646.0","65,788.0","74,080.0","81,603.0","92,473.0","104,348.0"
"52","33","    Capital transfer receipts","AD06RC1","165.0","182.0","168.0","137.0","110.0","97.0","109.0","116.0","192.0","262.0","235.0","245.0","278.0","233.0","202.0","196.0","206.0","236.0","320.0","449.0","547.0","624.0","651.0","708.0","798.0","840.0","998.0","1,127.0","1,645.0","2,669.0","3,474.0","3,006.0","3,290.0","3,525.0","4,142.0","4,721.0","4,747.0","5,144.0","5,088.0","6,841.0","6,843.0"
"53","34","  Total expenditures","W079RC1","7,805.0","8,419.0","8,432.0","7,521.0","7,154.0","8,018.0","8,538.0","8,183.0","8,488.0","9,081.0","9,843.0","9,655.0","9,393.0","9,085.0","8,730.0","8,797.0","9,442.0","11,807.0","15,224.0","18,330.0","21,105.0","23,522.0","24,922.0","26,528.0","28,444.0","31,419.0","34,608.0","37,625.0","41,563.0","46,051.0","48,786.0","52,042.0","56,918.0","60,180.0","65,195.0","70,942.0","77,721.0","86,650.0","96,205.0","109,145.0","120,387.0"
"54","35","    Current expenditures","W024RC1","5,733.0","6,119.0","6,374.0","6,278.0","6,454.0","7,009.0","7,677.0","6,104.0","6,795.0","7,006.0","7,337.0","7,752.0","8,213.0","8,883.0","9,291.0","9,474.0","9,952.0","11,679.0","14,118.0","16,283.0","17,685.0","19,506.0","20,233.0","21,674.0","23,011.0","24,716.0","27,004.0","29,186.0","32,146.0","35,703.0","38,246.0","41,617.0","45,488.0","48,187.0","51,804.0","56,340.0","61,706.0","68,905.0","76,877.0","88,212.0","100,242.0"
"55","36","    Gross government investment","A799RC1","2,672.0","2,938.0","2,681.0","1,797.0","1,354.0","1,800.0","1,635.0","2,937.0","2,602.0","3,008.0","3,410.0","2,798.0","2,279.0","1,576.0","908.0","740.0","851.0","1,629.0","2,890.0","4,069.0","5,397.0","5,925.0","7,038.0","7,398.0","7,996.0","9,294.0","10,145.0","11,384.0","12,656.0","13,684.0","14,086.0","14,107.0","15,252.0","16,097.0","17,769.0","19,274.0","21,165.0","23,479.0","25,722.0","28,128.0","28,818.0"
"56","37","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"57","38","    Net purchases of nonproduced assets","AD09RC1","154.0","124.0","111.0","96.0","83.0","73.0","75.0","79.0","86.0","96.0","152.0","207.0","139.0","68.0","54.0","47.0","75.0","70.0","90.0","116.0","199.0","269.0","272.0","252.0","329.0","366.0","616.0","682.0","705.0","776.0","805.0","865.0","992.0","1,057.0","1,151.0","1,258.0","1,294.0","1,371.0","1,381.0","1,414.0","981.0"
"58","39","    Less: Consumption of fixed capital","A919RC1","754.0","762.0","734.0","650.0","737.0","864.0","849.0","937.0","995.0","1,029.0","1,056.0","1,102.0","1,238.0","1,442.0","1,523.0","1,464.0","1,436.0","1,571.0","1,874.0","2,138.0","2,176.0","2,178.0","2,621.0","2,796.0","2,892.0","2,957.0","3,157.0","3,627.0","3,944.0","4,112.0","4,351.0","4,547.0","4,814.0","5,161.0","5,529.0","5,930.0","6,444.0","7,105.0","7,775.0","8,609.0","9,654.0"
"59","40","  Net lending or net borrowing (-)","AD03RC1","-579.0","-978.0","-1,128.0","-627.0","-373.0","167.0","226.0","120.0","271.0","-151.0","-562.0","-43.0","652.0","1,163.0","1,817.0","2,007.0","1,809.0","894.0","-716.0","-1,543.0","-2,387.0","-3,078.0","-2,492.0","-2,279.0","-2,332.0","-3,833.0","-4,408.0","-4,337.0","-5,124.0","-6,538.0","-4,883.0","-4,849.0","-5,898.0","-5,057.0","-5,532.0","-5,575.0","-7,186.0","-7,426.0","-9,514.0","-9,831.0","-9,196.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","net of interest payments.  Interest payments includes interest accrued on the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","actuarial liabilities of defined benefit pension plans for state and local government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","employees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
