"","Table 5#9#5A# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"73","55","      Software","Y053RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","17.0","12.0","18.0","30.0","36.0","44.0","73.0","87.0","106.0","140.0"
"74","56","      Research and development","Y076RC1","17.0","26.0","24.0","33.0","30.0","24.0","23.0","27.0","27.0","30.0","33.0","36.0","210.0","360.0","721.0","1,318.0","1,322.0","1,226.0","1,188.0","1,301.0","1,336.0","1,303.0","1,503.0","1,823.0","2,228.0","2,591.0","3,037.0","4,115.0","4,883.0","5,154.0","5,702.0","5,923.0","6,508.0","6,683.0","6,905.0","6,889.0","6,622.0","6,950.0","7,794.0","7,766.0","8,103.0"
"75","57","    Nondefense","Y067RC1","16.0","24.0","38.0","50.0","46.0","38.0","35.0","40.0","42.0","48.0","52.0","60.0","70.0","105.0","172.0","195.0","163.0","132.0","152.0","243.0","331.0","517.0","529.0","476.0","370.0","351.0","439.0","609.0","861.0","1,123.0","1,137.0","1,695.0","2,069.0","2,920.0","4,478.0","5,664.0","6,762.0","7,935.0","7,789.0","8,606.0","8,823.0"
"76","58","      Software","Y068RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","25.0","29.0","46.0","54.0","69.0","99.0","133.0","168.0","260.0"
"77","59","      Research and development","Y069RC1","16.0","24.0","38.0","50.0","46.0","38.0","35.0","40.0","42.0","48.0","52.0","60.0","70.0","105.0","172.0","195.0","163.0","132.0","152.0","243.0","331.0","517.0","529.0","476.0","370.0","351.0","439.0","609.0","861.0","1,123.0","1,137.0","1,687.0","2,044.0","2,891.0","4,432.0","5,610.0","6,693.0","7,836.0","7,656.0","8,438.0","8,563.0"
"78","60","  State and local","Y071RC1","29.0","30.0","32.0","32.0","29.0","30.0","33.0","36.0","38.0","40.0","41.0","41.0","44.0","43.0","40.0","40.0","45.0","49.0","49.0","50.0","56.0","63.0","71.0","77.0","86.0","100.0","110.0","122.0","136.0","150.0","166.0","193.0","218.0","246.0","292.0","331.0","376.0","446.0","509.0","566.0","658.0"
"79","61","    Software","Y072RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1.0","10.0","14.0","18.0","36.0","46.0","58.0","85.0","97.0","106.0","141.0"
"80","62","    Research and development","Y073RC1","29.0","30.0","32.0","32.0","29.0","30.0","33.0","36.0","38.0","40.0","41.0","41.0","44.0","43.0","40.0","40.0","45.0","49.0","49.0","50.0","56.0","63.0","71.0","77.0","86.0","100.0","110.0","122.0","136.0","150.0","165.0","183.0","204.0","228.0","256.0","285.0","318.0","361.0","412.0","460.0","517.0"
"81",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","63","  Government enterprise gross fixed investment","A882RC1","534.0","638.0","626.0","427.0","274.0","381.0","409.0","852.0","726.0","829.0","930.0","917.0","824.0","1,526.0","1,993.0","1,505.0","213.0","517.0","929.0","1,158.0","1,563.0","1,687.0","2,087.0","2,233.0","2,192.0","2,130.0","2,186.0","2,633.0","2,939.0","3,289.0","3,641.0","3,762.0","4,244.0","4,457.0","4,572.0","5,361.0","5,676.0","5,808.0","6,473.0","7,589.0","7,722.0"
"83","64","    Federal","A883RC1","9.0","16.0","27.0","49.0","39.0","27.0","37.0","47.0","49.0","42.0","46.0","46.0","82.0","1,017.0","1,759.0","1,345.0","32.0","49.0","67.0","100.0","176.0","253.0","249.0","347.0","241.0","171.0","127.0","173.0","247.0","297.0","347.0","453.0","512.0","502.0","546.0","674.0","681.0","755.0","776.0","797.0","863.0"
"84","65","      Structures","B884RC1","9.0","16.0","23.0","47.0","37.0","27.0","37.0","47.0","49.0","42.0","46.0","44.0","46.0","43.0","34.0","25.0","22.0","35.0","43.0","71.0","126.0","140.0","113.0","99.0","108.0","101.0","75.0","107.0","150.0","182.0","217.0","257.0","292.0","368.0","422.0","530.0","556.0","567.0","532.0","498.0","511.0"
"85","66","      Equipment","Y074RC1","0.0","0.0","4.0","2.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","36.0","974.0","1,725.0","1,320.0","10.0","14.0","24.0","29.0","50.0","113.0","136.0","248.0","133.0","70.0","52.0","66.0","97.0","115.0","130.0","196.0","212.0","126.0","114.0","134.0","113.0","171.0","221.0","271.0","311.0"
"86","67","      Intellectual property products","Y075RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","8.0","10.0","10.0","12.0","17.0","23.0","28.0","41.0"
"87","68","    State and local","A886RC1","525.0","622.0","599.0","378.0","235.0","354.0","372.0","805.0","677.0","787.0","884.0","871.0","742.0","509.0","234.0","160.0","181.0","468.0","862.0","1,058.0","1,387.0","1,434.0","1,838.0","1,886.0","1,951.0","1,959.0","2,059.0","2,460.0","2,692.0","2,992.0","3,294.0","3,309.0","3,732.0","3,955.0","4,026.0","4,687.0","4,995.0","5,053.0","5,697.0","6,792.0","6,859.0"
"88","69","      Structures","B887RC1","493.0","595.0","570.0","352.0","213.0","334.0","352.0","785.0","649.0","757.0","850.0","843.0","719.0","490.0","220.0","147.0","167.0","443.0","818.0","998.0","1,323.0","1,367.0","1,761.0","1,802.0","1,862.0","1,859.0","1,952.0","2,335.0","2,543.0","2,845.0","3,141.0","3,122.0","3,542.0","3,769.0","3,768.0","4,489.0","4,781.0","4,803.0","5,441.0","6,481.0","6,498.0"
"89","70","      Equipment","Y077RC1","32.0","27.0","29.0","26.0","22.0","20.0","20.0","20.0","28.0","30.0","34.0","28.0","23.0","19.0","14.0","13.0","14.0","25.0","44.0","60.0","64.0","67.0","77.0","84.0","89.0","100.0","107.0","125.0","149.0","147.0","152.0","178.0","177.0","186.0","258.0","198.0","200.0","250.0","256.0","304.0","351.0"
"90","71","      Intellectual property products","Y078RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","9.0","13.0","0.0","0.0","0.0","14.0","0.0","0.0","7.0","10.0"
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Structures, software, and research and development include compensation of government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","employees engaged in new own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Excludes educational structures associated with hospitals, nondefense industrial, other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","buildings, conservation and development, and other nondefense structures, which are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","5. Consists primarily of general office buildings, police and fire stations, courthouses,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","auditoriums, garages, and passenger terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Excludes highways and streets associated with hospitals, other buildings, and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","nondefense structures, which are included in those categories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","7. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","8. Excludes the value of construction for educational facilities built at hospital sites.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","9. Excludes highways and streets associated with other nonbuilding structures, which are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","included in that category.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
