"","Table 3#12# Government Social Benefits","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Government social benefits","W063RC1","59,558.0","72,458.0","86,223.0","95,773.0","109,786.0","129,878.0","165,121.0","179,770.0","191,701.0","205,917.0","230,136.0","274,384.0","311,482.0","346,549.0","373,570.0","384,078.0","406,666.0","432,416.0","451,664.0","480,443.0","524,563.0","578,878.0","654,503.0","735,704.0","782,912.0","819,966.0","867,012.0","908,772.0","937,600.0","960,130.0","996,140.0","1,049,247.0","1,150,776.0","1,255,805.0","1,326,691.0","1,410,565.0","1,497,529.0","1,600,596.0","1,705,482.0","1,862,824.0","2,117,528.0","2,250,475.0","2,274,756.0","2,325,684.0","2,391,079.0"
"20","2","To persons","A063RC1","58,973.0","71,737.0","85,412.0","94,808.0","108,628.0","128,556.0","163,134.0","177,280.0","189,122.0","203,175.0","227,087.0","270,841.0","307,194.0","342,446.0","369,945.0","380,405.0","402,638.0","428,018.0","447,384.0","475,863.0","519,431.0","572,714.0","648,231.0","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,579.0","1,141,338.0","1,246,152.0","1,316,601.0","1,399,913.0","1,486,294.0","1,588,169.0","1,692,166.0","1,847,348.0","2,101,512.0","2,233,958.0","2,257,678.0","2,307,612.0","2,372,187.0"
"21","3","  Federal","B087RC1","45,756.0","55,636.0","66,080.0","72,855.0","84,544.0","103,280.0","132,332.0","143,142.0","152,083.0","162,408.0","182,771.0","219,640.0","250,104.0","281,249.0","303,039.0","309,236.0","325,378.0","343,674.0","356,658.0","377,362.0","410,083.0","445,059.0","491,714.0","549,483.0","581,503.0","606,433.0","642,583.0","676,943.0","702,192.0","716,143.0","735,263.0","769,145.0","836,268.0","913,117.0","963,035.0","1,014,894.0","1,079,675.0","1,184,246.0","1,258,895.0","1,391,949.0","1,608,883.0","1,710,132.0","1,727,310.0","1,767,021.0","1,806,750.0"
"22","4","    Benefits from social insurance funds","A1588C1","37,983.0","45,711.0","54,031.0","59,237.0","69,385.0","81,594.0","104,495.0","114,937.0","124,071.0","132,306.0","148,692.0","178,139.0","205,985.0","238,507.0","257,674.0","263,027.0","278,637.0","295,618.0","307,820.0","324,872.0","351,720.0","382,324.0","421,418.0","467,507.0","493,172.0","514,055.0","543,965.0","572,754.0","597,000.0","607,949.0","622,871.0","654,866.0","713,660.0","774,951.0","810,421.0","844,295.0","895,712.0","993,749.0","1,057,776.0","1,140,345.0","1,312,093.0","1,365,177.0","1,379,440.0","1,424,622.0","1,456,397.0"
"23","5","      Social security \1\","W823RC1","26,382.0","31,380.0","36,617.0","40,948.0","50,665.0","57,607.0","65,895.0","74,501.0","83,239.0","91,380.0","102,581.0","118,586.0","138,644.0","153,708.0","164,426.0","173,027.0","183,275.0","193,631.0","200,995.0","213,916.0","227,380.0","244,135.0","264,204.0","281,776.0","297,935.0","312,161.0","327,675.0","342,005.0","356,592.0","369,182.0","379,864.0","401,393.0","425,084.0","446,909.0","463,531.0","485,512.0","512,728.0","544,096.0","575,653.0","605,542.0","664,470.0","690,174.0","713,261.0","762,139.0","799,044.0"
"24","6","      Medicare \2\","W824RC1","6,695.0","7,254.0","8,049.0","8,836.0","10,244.0","12,726.0","15,633.0","18,795.0","22,101.0","25,543.0","29,936.0","36,201.0","43,499.0","50,927.0","57,797.0","64,748.0","69,720.0","75,269.0","81,585.0","86,289.0","98,175.0","107,638.0","117,487.0","132,596.0","146,785.0","164,423.0","181,220.0","194,868.0","206,917.0","205,558.0","208,736.0","219,117.0","242,580.0","259,189.0","276,735.0","304,397.0","332,161.0","399,183.0","429,044.0","462,929.0","494,614.0","513,820.0","536,007.0","555,216.0","572,362.0"
"25","7","      Unemployment insurance","A1589C1","2,327.0","4,186.0","6,160.0","6,033.0","4,570.0","7,021.0","18,140.0","16,386.0","13,129.0","9,417.0","9,692.0","16,097.0","15,885.0","25,227.0","26,411.0","15,991.0","15,861.0","16,467.0","14,625.0","13,328.0","14,410.0","18,162.0","26,787.0","39,617.0","34,848.0","23,942.0","21,734.0","22,274.0","20,103.0","19,693.0","20,509.0","20,741.0","31,899.0","53,481.0","53,174.0","36,424.0","31,774.0","30,367.0","32,739.0","51,147.0","131,210.0","138,854.0","107,161.0","83,610.0","62,184.0"
"26","8","        State","L311071","2,100.0","3,811.0","5,582.0","5,454.0","4,188.0","6,570.0","16,548.0","14,280.0","11,533.0","8,612.0","9,100.0","15,331.0","15,087.0","23,376.0","20,135.0","13,165.0","14,612.0","15,956.0","14,169.0","12,915.0","14,019.0","17,714.0","25,416.0","24,825.0","21,589.0","21,432.0","21,013.0","21,604.0","19,504.0","19,186.0","20,036.0","20,253.0","31,369.0","42,091.0","41,484.0","34,276.0","31,031.0","29,622.0","32,034.0","42,515.0","85,741.0","67,157.0","56,870.0","45,247.0","38,422.0"
"27","9","        Railroad employees","TRP2001","94.0","95.0","120.0","87.0","58.0","52.0","137.0","219.0","174.0","191.0","143.0","238.0","266.0","394.0","379.0","188.0","181.0","180.0","149.0","101.0","91.0","89.0","88.0","81.0","72.0","63.0","62.0","65.0","72.0","61.0","65.0","81.0","98.0","96.0","94.0","79.0","72.0","78.0","83.0","84.0","179.0","114.0","85.0","83.0","82.0"
"28","10","        Federal employees","W874RC1","133.0","280.0","458.0","492.0","324.0","399.0","791.0","912.0","742.0","451.0","449.0","528.0","532.0","340.0","427.0","334.0","312.0","331.0","307.0","312.0","300.0","359.0","518.0","1,243.0","1,255.0","776.0","659.0","605.0","527.0","446.0","408.0","407.0","432.0","614.0","697.0","711.0","670.0","667.0","622.0","722.0","1,280.0","1,690.0","1,916.0","1,647.0","1,266.0"
"29","11","        Emergency unemployment compensation","B1590C1",".....",".....",".....",".....",".....",".....","664.0","975.0","680.0","163.0","0.0","0.0","0.0","1,117.0","5,470.0","2,304.0","756.0","0.0","0.0","0.0","0.0","0.0","765.0","13,468.0","11,932.0","1,671.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,680.0","10,899.0","1,358.0","1.0","0.0","0.0","7,826.0","44,010.0","69,893.0","48,290.0","36,633.0","22,414.0"
"30","12","      Railroad retirement","TRP2501","1,541.0","1,745.0","1,995.0","2,154.0","2,566.0","2,797.0","3,265.0","3,550.0","3,783.0","3,985.0","4,313.0","4,812.0","5,314.0","5,771.0","6,011.0","6,065.0","6,211.0","6,351.0","6,478.0","6,708.0","6,958.0","7,221.0","7,513.0","7,744.0","7,825.0","7,961.0","8,025.0","8,087.0","8,198.0","8,229.0","8,206.0","8,267.0","8,412.0","8,700.0","8,854.0","9,009.0","9,194.0","9,519.0","9,813.0","10,068.0","10,630.0","10,779.0","10,961.0","11,410.0","11,676.0"
"31","13","      Pension benefit guaranty","B1044C1",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","14.0","26.0","25.0","26.0","44.0","71.0","79.0","103.0","160.0","224.0","402.0","228.0","274.0","256.0","377.0","436.0","431.0","447.0","583.0","400.0","448.0","674.0","322.0","342.0","1,126.0","1,926.0","2,212.0","2,722.0","2,797.0","2,499.0","2,191.0","2,058.0","2,370.0","2,407.0","2,377.0","1,777.0"
"32","14","      Veterans' life insurance","TRP3501","739.0","788.0","797.0","800.0","817.0","854.0","886.0","936.0","980.0","1,031.0","1,080.0","1,222.0","1,316.0","1,368.0","1,392.0","1,439.0","1,587.0","1,695.0","1,688.0","1,712.0","1,845.0","1,868.0","1,873.0","1,911.0","1,885.0","1,904.0","1,898.0","2,002.0","1,930.0","1,891.0","1,816.0","1,706.0","1,692.0","1,724.0","1,708.0","1,681.0","1,595.0","1,553.0","1,516.0","1,522.0","1,493.0","1,442.0","1,411.0","1,340.0","1,280.0"
"33","15","      Workers' compensation","TRP3751","121.0","147.0","176.0","203.0","237.0","309.0","415.0","517.0","571.0","636.0","717.0","838.0","870.0","917.0","933.0","989.0","1,089.0","1,124.0","1,173.0","1,253.0","1,379.0","1,492.0","1,645.0","1,788.0","1,836.0","1,871.0","1,919.0","1,976.0","1,918.0","1,973.0","2,035.0","2,161.0","2,334.0","2,342.0","2,371.0","2,448.0","2,462.0","2,436.0","2,496.0","2,567.0","2,711.0","2,728.0","2,995.0","3,010.0","2,971.0"
"34","16","      Military medical insurance \3\","B1606C1","178.0","211.0","237.0","263.0","286.0","280.0","261.0","251.0","265.0","300.0","347.0","358.0","431.0","545.0","633.0","689.0","791.0","921.0","1,052.0","1,264.0","1,345.0","1,534.0","1,653.0","1,698.0","1,622.0","1,362.0","1,047.0","959.0","942.0","975.0","1,031.0","1,159.0","1,317.0","1,480.0","2,122.0","2,612.0","3,076.0","3,798.0","4,016.0","4,379.0","4,907.0","5,010.0","5,237.0","5,520.0","5,103.0"
"35","17","    Veterans' benefits","A1594C1","5,798.0","6,587.0","7,540.0","8,504.0","9,284.0","10,462.0","12,895.0","12,797.0","12,334.0","12,536.0","13,047.0","13,414.0","14,444.0","14,902.0","15,033.0","14,826.0","14,952.0","14,882.0","14,763.0","15,011.0","15,357.0","15,807.0","16,245.0","16,695.0","17,409.0","17,787.0","18,634.0","19,413.0","20,367.0","21,367.0","22,314.0","23,288.0","24,895.0","27,806.0","30,110.0","32,355.0","34,761.0","37,282.0","40,138.0","43,464.0","49,980.0","56,431.0","61,753.0","68,679.0","77,653.0"
"36","18","      Pension and disability","TRP4501","5,090.0","5,433.0","5,884.0","6,312.0","6,461.0","7,107.0","7,795.0","8,452.0","9,189.0","9,713.0","10,636.0","11,372.0","12,520.0","13,310.0","13,682.0","13,735.0","14,048.0","14,187.0","14,199.0","14,584.0","14,975.0","15,550.0","15,891.0","16,184.0","16,707.0","16,934.0","17,548.0","18,274.0","19,137.0","20,147.0","20,991.0","21,966.0","23,386.0","26,142.0","28,177.0","30,194.0","32,505.0","35,018.0","37,721.0","40,715.0","45,545.0","48,455.0","52,101.0","58,352.0","65,764.0"
"37","19","      Readjustment","TRP5001","708.0","1,154.0","1,656.0","2,192.0","2,823.0","3,355.0","5,100.0","4,345.0","3,145.0","2,823.0","2,411.0","2,042.0","1,924.0","1,592.0","1,351.0","1,091.0","904.0","695.0","564.0","427.0","382.0","257.0","354.0","511.0","702.0","853.0","1,086.0","1,139.0","1,230.0","1,220.0","1,323.0","1,322.0","1,509.0","1,664.0","1,933.0","2,161.0","2,256.0","2,264.0","2,417.0","2,749.0","4,435.0","7,976.0","9,652.0","10,327.0","11,889.0"
"38","20","      Other \4\","TRP5701",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","21","    Supplemental Nutrition Assistance Program (SNAP) \5\","TRP6001","264.0","1,103.0","1,698.0","1,980.0","2,209.0","3,433.0","4,597.0","4,598.0","4,394.0","4,585.0","6,332.0","8,214.0","10,065.0","9,896.0","11,066.0","10,669.0","10,690.0","10,553.0","10,607.0","11,213.0","12,325.0","14,741.0","18,264.0","21,295.0","22,211.0","22,842.0","22,447.0","21,953.0","18,732.0","16,465.0","15,473.0","14,565.0","15,967.0","18,612.0","22,125.0","25,946.0","29,492.0","29,390.0","30,921.0","37,034.0","54,762.0","66,515.0","72,730.0","74,861.0","74,660.0"
"40","22","    Black lung benefits","TRP6501",".....","110.0","379.0","554.0","1,057.0","957.0","957.0","981.0","972.0","1,038.0","1,724.0","1,751.0","1,724.0","1,651.0","1,688.0","1,636.0","1,599.0","1,579.0","1,541.0","1,499.0","1,477.0","1,435.0","1,413.0","1,396.0","1,354.0","1,300.0","1,216.0","1,151.0","1,089.0","994.0","985.0","931.0","866.0","839.0","778.0","714.0","661.0","612.0","566.0","522.0","480.0","444.0","404.0","366.0","334.0"
"41","23","    Supplemental security income","TRP7001",".....",".....",".....",".....",".....","3,959.0","4,437.0","4,631.0","4,743.0","4,920.0","5,321.0","5,905.0","6,551.0","6,923.0","7,433.0","8,284.0","8,775.0","9,496.0","10,027.0","10,733.0","11,605.0","12,892.0","14,764.0","18,245.0","20,719.0","22,469.0","23,917.0","25,262.0","25,455.0","26,402.0","26,802.0","27,287.0","28,702.0","29,895.0","30,684.0","31,883.0","33,054.0","34,732.0","36,879.0","38,650.0","42,623.0","44,600.0","45,993.0","48,762.0","50,446.0"
"42","24","    Direct relief","TRP7301",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"43","25","    Refundable tax credits \6\","W811RC1",".....",".....",".....",".....",".....",".....",".....","908.0","902.0","880.0","822.0","1,326.0","1,318.0","1,201.0","1,215.0","1,190.0","1,103.0","1,420.0","1,407.0","2,710.0","4,007.0","4,353.0","4,899.0","8,278.0","9,427.0","11,417.0","15,395.0","19,209.0","21,745.0","23,199.0","26,151.0","26,981.0","26,697.0","32,933.0","38,480.0","42,033.0","49,327.0","51,723.0","54,808.0","57,458.0","67,936.0","96,478.0","99,148.0","83,383.0","83,446.0"
"44","26","    Other \7\","W812RC1","1,711.0","2,125.0","2,432.0","2,580.0","2,609.0","2,875.0","4,951.0","4,290.0","4,667.0","6,143.0","6,833.0","10,891.0","10,017.0","8,169.0","8,930.0","9,604.0","9,622.0","10,126.0","10,493.0","11,324.0","13,592.0","13,507.0","14,711.0","16,067.0","17,211.0","16,563.0","17,009.0","17,201.0","17,804.0","19,767.0","20,667.0","21,227.0","25,481.0","28,081.0","30,437.0","37,668.0","36,668.0","36,758.0","37,807.0","74,476.0","81,009.0","80,487.0","67,842.0","66,348.0","63,814.0"
"45","27","  State and local","B109RC1","13,217.0","16,101.0","19,332.0","21,953.0","24,084.0","25,276.0","30,802.0","34,138.0","37,039.0","40,767.0","44,316.0","51,201.0","57,090.0","61,197.0","66,906.0","71,169.0","77,260.0","84,344.0","90,726.0","98,501.0","109,348.0","127,655.0","156,517.0","179,996.0","195,210.0","206,707.0","217,636.0","224,255.0","227,558.0","235,779.0","252,349.0","271,434.0","305,070.0","333,035.0","353,566.0","385,019.0","406,619.0","403,923.0","433,271.0","455,399.0","492,629.0","523,826.0","530,368.0","540,591.0","565,437.0"
"46","28","    Benefits from social insurance funds","A1595C1","886.0","938.0","985.0","1,107.0","1,246.0","1,371.0","1,483.0","1,711.0","1,945.0","2,184.0","2,534.0","2,790.0","3,178.0","3,658.0","3,977.0","4,424.0","4,902.0","5,452.0","6,384.0","7,210.0","7,912.0","9,248.0","10,530.0","11,480.0","11,370.0","10,974.0","10,736.0","10,954.0","10,729.0","10,384.0","10,626.0","11,384.0","12,698.0","14,190.0","15,685.0","16,830.0","16,987.0","16,906.0","16,699.0","17,003.0","17,165.0","17,225.0","16,563.0","16,205.0","16,316.0"
"47","29","      Temporary disability insurance","S122001","357.0","398.0","399.0","417.0","463.0","495.0","517.0","511.0","570.0","622.0","695.0","780.0","894.0","962.0","996.0","1,146.0","1,402.0","1,533.0","1,638.0","1,749.0","1,865.0","2,205.0","2,759.0","2,937.0","2,318.0","2,185.0","2,099.0","2,045.0","2,038.0","2,065.0","2,223.0","2,650.0","3,079.0","3,410.0","3,646.0","4,030.0","4,316.0","4,573.0","4,780.0","5,179.0","5,503.0","5,623.0","5,512.0","5,518.0","5,679.0"
"48","30","      Workers' compensation","S123001","529.0","540.0","586.0","690.0","783.0","876.0","966.0","1,200.0","1,375.0","1,562.0","1,839.0","2,010.0","2,284.0","2,696.0","2,981.0","3,278.0","3,500.0","3,919.0","4,746.0","5,461.0","6,047.0","7,043.0","7,771.0","8,543.0","9,052.0","8,789.0","8,637.0","8,909.0","8,691.0","8,319.0","8,403.0","8,734.0","9,619.0","10,780.0","12,039.0","12,800.0","12,671.0","12,333.0","11,919.0","11,824.0","11,662.0","11,602.0","11,051.0","10,687.0","10,637.0"
"49","31","    Public assistance","A1596C1","11,591.0","14,273.0","17,289.0","19,642.0","21,459.0","22,101.0","26,884.0","29,596.0","32,025.0","34,324.0","37,574.0","43,952.0","49,564.0","53,081.0","58,410.0","62,299.0","67,194.0","73,287.0","78,549.0","85,265.0","94,855.0","111,085.0","138,243.0","160,212.0","174,889.0","185,783.0","195,781.0","201,919.0","205,182.0","212,850.0","228,330.0","245,433.0","275,878.0","301,208.0","319,440.0","348,330.0","368,176.0","364,146.0","392,618.0","411,827.0","447,932.0","477,276.0","483,748.0","493,821.0","517,588.0"
"50","32","      Medical care","B1597C1","4,616.0","5,530.0","6,829.0","8,304.0","9,719.0","11,482.0","14,240.0","15,854.0","17,335.0","19,308.0","21,764.0","24,913.0","29,202.0","32,055.0","35,935.0","38,804.0","42,425.0","46,856.0","51,388.0","56,769.0","64,976.0","78,176.0","102,116.0","121,786.0","135,145.0","144,886.0","155,007.0","163,602.0","168,291.0","175,278.0","189,252.0","205,021.0","234,643.0","258,543.0","274,017.0","300,148.0","315,197.0","311,170.0","336,841.0","351,719.0","383,455.0","410,834.0","419,541.0","431,161.0","454,427.0"
"51","33","        Medicaid","W729RC1","4,551.0","5,455.0","6,744.0","8,211.0","9,611.0","11,176.0","13,863.0","15,457.0","16,737.0","18,619.0","21,067.0","23,855.0","27,746.0","30,159.0","33,871.0","36,572.0","39,673.0","43,645.0","47,836.0","53,027.0","60,838.0","73,144.0","96,911.0","116,248.0","130,104.0","139,429.0","149,570.0","158,188.0","163,124.0","170,195.0","184,555.0","199,493.0","227,259.0","250,009.0","264,526.0","289,813.0","304,413.0","299,104.0","324,178.0","338,322.0","369,248.0","396,633.0","405,674.0","417,243.0","441,089.0"
"52","34","        Other medical care \8\","TRP8101","65.0","75.0","85.0","93.0","108.0","306.0","377.0","397.0","598.0","689.0","697.0","1,058.0","1,456.0","1,896.0","2,064.0","2,232.0","2,752.0","3,211.0","3,552.0","3,742.0","4,138.0","5,032.0","5,205.0","5,538.0","5,041.0","5,457.0","5,437.0","5,414.0","5,167.0","5,083.0","4,697.0","5,528.0","7,384.0","8,534.0","9,491.0","10,335.0","10,784.0","12,066.0","12,663.0","13,397.0","14,207.0","14,201.0","13,867.0","13,918.0","13,338.0"
"53","35","      Family assistance \9\","B1598C1","3,545.0","4,836.0","6,195.0","6,923.0","7,218.0","7,955.0","9,305.0","10,105.0","10,639.0","10,776.0","11,078.0","12,516.0","13,144.0","12,889.0","13,847.0","14,480.0","15,185.0","16,138.0","16,415.0","16,890.0","17,485.0","19,187.0","21,132.0","22,242.0","22,826.0","23,163.0","22,637.0","20,325.0","17,877.0","17,429.0","17,920.0","18,440.0","18,106.0","17,684.0","18,367.0","18,418.0","18,355.0","18,226.0","18,406.0","19,126.0","21,264.0","22,421.0","20,795.0","20,171.0","20,981.0"
"54","36","      Supplemental security income \10\","B1599C1","2,627.0","2,953.0","3,172.0","3,365.0","3,449.0","1,322.0","1,476.0","1,506.0","1,563.0","1,636.0","1,760.0","2,036.0","2,044.0","2,056.0","1,972.0","2,088.0","2,283.0","2,583.0","2,921.0","3,052.0","3,375.0","3,778.0","3,848.0","4,083.0","3,934.0","3,800.0","3,809.0","3,641.0","3,699.0","3,920.0","4,221.0","4,388.0","4,460.0","4,769.0","5,035.0","5,212.0","5,207.0","5,171.0","5,322.0","5,367.0","4,958.0","4,559.0","4,491.0","4,276.0","4,234.0"
"55","37","      General assistance","B1600C1","472.0","618.0","761.0","740.0","689.0","825.0","1,138.0","1,229.0","1,238.0","1,205.0","1,230.0","1,442.0","1,590.0","1,738.0","1,886.0","2,034.0","2,182.0","2,330.0","2,478.0","2,627.0","2,888.0","2,936.0","3,211.0","3,524.0","3,584.0","3,539.0","3,561.0","3,409.0","3,322.0","3,536.0","3,641.0","3,630.0","2,944.0","4,762.0","6,056.0","8,040.0","12,490.0","12,119.0","14,316.0","16,334.0","16,731.0","18,247.0","18,033.0","18,259.0","18,563.0"
"56","38","      Energy assistance","B1601C1",".....",".....",".....",".....",".....",".....",".....",".....","163.0","140.0","282.0","1,325.0","1,635.0","1,647.0","1,703.0","1,864.0","2,114.0","2,034.0","1,725.0","1,753.0","1,422.0","1,608.0","1,648.0","1,621.0","1,576.0","1,840.0","1,406.0","1,233.0","1,372.0","1,244.0","1,398.0","1,657.0","2,535.0","1,920.0","2,262.0","2,123.0","2,413.0","2,995.0","2,730.0","3,418.0","5,064.0","4,873.0","4,797.0","4,145.0","3,801.0"
"57","39","      Other \11\","B1602C1","331.0","336.0","332.0","310.0","384.0","517.0","725.0","902.0","1,087.0","1,259.0","1,460.0","1,720.0","1,949.0","2,696.0","3,067.0","3,029.0","3,005.0","3,346.0","3,622.0","4,174.0","4,709.0","5,400.0","6,288.0","6,956.0","7,824.0","8,555.0","9,361.0","9,709.0","10,621.0","11,443.0","11,898.0","12,297.0","13,190.0","13,530.0","13,703.0","14,389.0","14,514.0","14,465.0","15,003.0","15,863.0","16,460.0","16,342.0","16,091.0","15,809.0","15,582.0"
"58","40","    Education","B1603C1","629.0","772.0","955.0","1,083.0","1,169.0","1,307.0","1,562.0","1,739.0","1,882.0","2,082.0","2,234.0","2,428.0","2,608.0","2,749.0","2,890.0","3,147.0","3,545.0","3,879.0","4,045.0","4,177.0","4,623.0","5,274.0","5,675.0","6,017.0","6,649.0","7,584.0","8,714.0","9,051.0","9,148.0","9,826.0","10,482.0","11,502.0","12,988.0","14,127.0","15,378.0","17,083.0","18,777.0","19,835.0","20,793.0","22,270.0","24,047.0","25,802.0","26,870.0","27,725.0","28,668.0"
