"","Table 5#2#5# Gross and Net Domestic Investment by Major Type    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"62","44","        National defense","Y088RC1","-79.0","-60.0","-47.0","-54.0","-32.0","-40.0","-43.0","-7.0","-3.0","14.0","45.0","85.0","3,257.0","14,318.0","27,683.0","26,510.0","13,356.0","-6,805.0","-6,531.0","-4,427.0","-2,469.0","-2,417.0","2,729.0","5,105.0","5,614.0","2,915.0","1,105.0","663.0","697.0","956.0","2,871.0","1,951.0","3,072.0","3,522.0","1,511.0","665.0","-714.0","657.0","1,965.0","25.0","-1,430.0"
"63","45","        Nondefense","Y089RC1","14.0","14.0","14.0","0.0","16.0","108.0","241.0","125.0","104.0","124.0","88.0","63.0","286.0","295.0","142.0","38.0","-53.0","16.0","-42.0","38.0","21.0","27.0","61.0","186.0","75.0","-3.0","-44.0","-15.0","1.0","-51.0","-18.0","8.0","87.0","53.0","115.0","268.0","184.0","255.0","236.0","64.0","111.0"
"64","46","      State and local","Y090RC1","102.0","55.0","64.0","41.0","4.0","-3.0","-3.0","-6.0","34.0","45.0","64.0","15.0","-35.0","-69.0","-89.0","-77.0","-68.0","-2.0","94.0","167.0","163.0","149.0","160.0","177.0","184.0","224.0","187.0","258.0","393.0","330.0","333.0","400.0","372.0","391.0","497.0","603.0","618.0","692.0","676.0","684.0","757.0"
"65","47","  Intellectual property products","Y055RC1","62.0","80.0","94.0","115.0","105.0","92.0","91.0","103.0","107.0","118.0","126.0","137.0","324.0","508.0","933.0","1,553.0","1,530.0","1,407.0","1,389.0","1,594.0","1,723.0","1,883.0","2,103.0","2,376.0","2,684.0","3,042.0","3,586.0","4,846.0","5,880.0","6,427.0","7,005.0","7,828.0","8,807.0","9,867.0","11,705.0","12,920.0","13,804.0","15,404.0","16,179.0","17,044.0","17,724.0"
"66","48","  Less: Consumption of fixed capital","Y091RC1","21.0","28.0","38.0","45.0","52.0","60.0","60.0","67.0","76.0","83.0","85.0","91.0","112.0","178.0","294.0","515.0","687.0","831.0","995.0","1,089.0","1,202.0","1,320.0","1,531.0","1,673.0","1,847.0","2,027.0","2,310.0","2,740.0","3,281.0","3,876.0","4,438.0","4,970.0","5,537.0","6,117.0","6,742.0","7,469.0","8,093.0","8,832.0","9,635.0","10,686.0","11,812.0"
"67","49","  Equals: Net intellectual property products","Y092RC1","41.0","52.0","56.0","70.0","53.0","32.0","31.0","36.0","31.0","35.0","41.0","46.0","212.0","330.0","639.0","1,038.0","843.0","576.0","394.0","505.0","521.0","563.0","572.0","703.0","837.0","1,015.0","1,276.0","2,106.0","2,599.0","2,551.0","2,567.0","2,858.0","3,270.0","3,750.0","4,963.0","5,451.0","5,711.0","6,572.0","6,544.0","6,358.0","5,912.0"
"68","50","      Federal","Y093RC1","31.0","43.0","46.0","61.0","46.0","25.0","22.0","26.0","21.0","25.0","31.0","38.0","203.0","326.0","641.0","1,042.0","843.0","575.0","400.0","510.0","519.0","556.0","563.0","690.0","818.0","986.0","1,244.0","2,072.0","2,559.0","2,506.0","2,518.0","2,795.0","3,197.0","3,665.0","4,854.0","5,331.0","5,575.0","6,404.0","6,357.0","6,167.0","5,694.0"
"69","51","        National defense","Y094RC1","16.0","21.0","16.0","22.0","15.0","7.0","6.0","8.0","6.0","7.0","9.0","11.0","168.0","265.0","530.0","938.0","779.0","547.0","367.0","389.0","331.0","220.0","273.0","488.0","741.0","933.0","1,120.0","1,812.0","2,096.0","1,861.0","1,946.0","1,759.0","1,919.0","1,695.0","1,579.0","1,208.0","742.0","879.0","1,454.0","985.0","930.0"
"70","52","        Nondefense","Y095RC1","15.0","22.0","30.0","39.0","31.0","18.0","16.0","18.0","15.0","18.0","22.0","27.0","35.0","61.0","111.0","104.0","64.0","28.0","33.0","121.0","188.0","336.0","290.0","202.0","77.0","53.0","124.0","260.0","463.0","645.0","572.0","1,036.0","1,278.0","1,970.0","3,275.0","4,123.0","4,833.0","5,525.0","4,903.0","5,182.0","4,764.0"
"71","53","      State and local","Y096RC1","10.0","9.0","10.0","9.0","7.0","7.0","9.0","10.0","10.0","10.0","10.0","8.0","9.0","4.0","-2.0","-4.0","0.0","1.0","-6.0","-5.0","2.0","7.0","9.0","13.0","19.0","29.0","32.0","34.0","40.0","45.0","49.0","63.0","73.0","85.0","109.0","120.0","136.0","168.0","187.0","191.0","218.0"
"72",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","54","  Gross domestic fixed investment","W172RC1","18,530.0","14,904.0","10,746.0","6,429.0","5,705.0","7,546.0","9,081.0","12,456.0","14,237.0","12,811.0","14,615.0","16,621.0","25,836.0","38,842.0","48,038.0","48,253.0","39,184.0","31,826.0","43,363.0","53,175.0","53,096.0","62,214.0","72,415.0","78,372.0","85,122.0","85,396.0","93,128.0","100,868.0","105,959.0","103,936.0","117,605.0","119,244.0","123,504.0","133,474.0","142,099.0","153,721.0","168,259.0","184,117.0","190,494.0","207,103.0","223,928.0"
"74","55","  Less: Consumption of fixed capital","A262RC1","10,378.0","10,186.0","9,492.0","8,314.0","7,991.0","8,406.0","8,462.0","8,783.0","9,748.0","10,030.0","10,091.0","10,567.0","12,054.0","14,893.0","18,013.0","21,380.0","23,194.0","25,771.0","29,200.0","31,393.0","32,337.0","33,430.0","37,758.0","40,618.0","43,480.0","45,981.0","48,885.0","54,125.0","58,913.0","62,425.0","65,438.0","67,893.0","70,607.0","74,101.0","78,003.0","82,379.0","87,980.0","95,293.0","103,519.0","113,324.0","124,863.0"
"75","56","  Equals: Net domestic fixed investment","W173RC1","8,152.0","4,718.0","1,254.0","-1,885.0","-2,286.0","-860.0","619.0","3,673.0","4,489.0","2,781.0","4,524.0","6,054.0","13,782.0","23,949.0","30,025.0","26,873.0","15,990.0","6,055.0","14,163.0","21,782.0","20,759.0","28,784.0","34,657.0","37,754.0","41,642.0","39,415.0","44,243.0","46,743.0","47,046.0","41,511.0","52,167.0","51,351.0","52,897.0","59,373.0","64,096.0","71,342.0","80,279.0","88,824.0","86,975.0","93,779.0","99,065.0"
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","1. Gross government investment consists of general government and government enterprise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","expenditures for fixed assets; change in inventories is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
