"","Table 6#7B# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"16","9","  Nondurable goods","J4509C0",192,176,168,167,168,158,148,140,134,128,120,120,119,117,117,116,113,109,95,95,94,102,99,81,81,99,91,102,110,111,124,133,142,145,143,155,147,137,161,155
"17","10","Transportation and public utilities","B4510C0",197,196,200,207,208,210,201,196,194,195,191,186,186,185,182,181,181,182,177,185,185,185,189,202,207,195,220,227,221,222,248,278,282,298,308,325,321,318,319,336
"18","11","Wholesale trade","J4511C0",253,255,259,265,272,273,271,273,276,277,278,282,289,289,287,287,287,276,281,264,252,259,259,263,247,262,275,261,282,258,248,280,294,297,284,320,326,308,297,315
"19","12","Retail trade","J4512C0",1999,2034,2029,2027,2025,2001,1974,2023,2039,2056,2077,2011,1975,1894,1787,1655,1651,1624,1532,1432,1392,1416,1437,1480,1472,1436,1483,1478,1432,1527,1545,1597,1628,1612,1610,1634,1614,1499,1512,1549
"20","13","Finance, insurance, and real estate","B4513C0",220,205,199,219,239,261,289,270,257,255,251,242,243,243,244,243,240,238,242,258,260,266,258,272,267,306,314,341,329,347,408,451,463,456,496,539,550,563,557,598
"21","14","Services","J4514C0",1530,1531,1539,1550,1572,1584,1582,1581,1623,1683,1706,1736,1812,1872,1912,1958,1997,1989,2052,2074,2080,2177,2133,2149,2197,2199,2268,2299,2346,2494,2549,2639,2732,2854,3025,3223,3378,3461,3416,3609
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists of active proprietors or partners who devote a majority of their working hours to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
