"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Personal income","A065RC1","190,154.0","189,887.0","197,762.0","200,645.0","206,621.0","212,139.0","217,606.0","218,284.0","212,214.0","211,165.0","210,577.0","211,018.0","226,488.0","227,825.0","236,224.0","245,079.0","254,360.0","263,331.0","267,774.0","272,344.0","274,479.0","278,447.0","285,518.0","292,173.0","296,697.0","300,570.0","300,499.0","300,503.0","300,492.0","300,169.0","302,162.0","307,552.0","313,932.0","321,480.0","328,893.0","334,036.0","339,502.0","345,338.0","350,602.0","358,205.0","362,757.0","367,506.0","372,180.0","371,507.0","372,422.0","374,785.0","383,085.0","387,609.0","394,392.0","402,692.0","405,030.0","410,666.0","417,101.0","422,125.0","424,740.0","426,167.0","430,650.0","436,899.0","443,970.0","452,813.0","459,729.0","467,035.0","471,683.0","477,903.0","483,273.0","488,106.0","495,256.0","504,721.0","514,305.0","523,727.0","533,323.0","542,072.0","553,143.0","562,738.0","577,068.0","590,429.0","603,136.0","613,049.0","626,259.0","639,841.0","650,648.0","657,684.0","671,563.0","683,087.0","702,638.0","722,601.0","741,004.0","756,701.0","771,323.0","790,426.0","811,989.0","827,298.0"
"21","2","  Compensation of employees","A033RC1","129,118.0","130,916.0","132,911.0","137,007.0","140,563.0","142,228.0","147,005.0","148,087.0","146,445.0","144,858.0","143,786.0","142,958.0","147,200.0","153,813.0","162,499.0","170,347.0","178,789.0","185,123.0","188,077.0","191,717.0","196,350.0","197,679.0","201,756.0","209,579.0","213,399.0","216,485.0","216,799.0","215,405.0","213,416.0","212,988.0","213,528.0","217,840.0","222,224.0","228,412.0","234,239.0","238,720.0","243,192.0","247,855.0","250,784.0","256,727.0","260,626.0","262,461.0","265,128.0","263,705.0","260,215.0","259,874.0","267,676.0","272,711.0","280,224.0","286,936.0","287,404.0","290,670.0","299,276.0","302,279.0","303,155.0","302,693.0","303,740.0","307,960.0","313,005.0","319,650.0","326,196.0","332,140.0","334,944.0","338,367.0","343,401.0","348,316.0","353,418.0","359,576.0","365,997.0","373,464.0","380,860.0","386,965.0","393,830.0","400,847.0","409,292.0","421,414.0","434,086.0","445,416.0","456,722.0","464,917.0","471,121.0","476,779.0","486,444.0","497,431.0","512,150.0","525,315.0","539,195.0","551,742.0","564,226.0","578,237.0","595,033.0","606,565.0"
"22","3","    Wages and salaries","A034RC1","118,864.0","121,260.0","123,988.0","128,267.0","131,665.0","133,378.0","138,057.0","139,101.0","136,742.0","135,005.0","133,983.0","133,202.0","136,870.0","143,042.0","151,025.0","158,074.0","165,333.0","170,993.0","173,494.0","176,605.0","181,006.0","182,120.0","185,952.0","193,466.0","197,069.0","200,027.0","200,146.0","198,715.0","196,401.0","195,957.0","196,334.0","200,360.0","204,056.0","209,851.0","215,246.0","219,451.0","223,282.0","227,501.0","229,953.0","235,367.0","238,266.0","239,617.0","241,829.0","240,092.0","236,724.0","236,276.0","243,837.0","248,432.0","254,011.0","260,556.0","260,899.0","263,902.0","270,749.0","273,398.0","273,964.0","273,308.0","273,789.0","277,633.0","282,252.0","288,403.0","293,276.0","298,747.0","301,175.0","304,234.0","307,962.0","312,356.0","316,845.0","322,240.0","328,222.0","334,833.0","341,409.0","346,687.0","352,814.0","358,877.0","366,215.0","377,121.0","385,763.0","395,903.0","406,132.0","413,485.0","418,841.0","423,604.0","432,009.0","441,583.0","454,210.0","465,923.0","478,330.0","489,423.0","499,068.0","511,382.0","526,431.0","536,451.0"
"23","4","      Private industries","A132RC1","101,738.0","103,914.0","106,390.0","110,294.0","113,371.0","114,747.0","118,803.0","119,199.0","116,392.0","114,316.0","112,904.0","112,012.0","115,645.0","121,238.0","128,067.0","133,529.0","138,627.0","142,484.0","143,310.0","145,089.0","148,567.0","148,985.0","152,191.0","159,289.0","162,748.0","165,672.0","165,859.0","164,326.0","162,004.0","161,240.0","161,205.0","164,983.0","168,574.0","173,617.0","177,848.0","182,181.0","185,446.0","188,969.0","190,769.0","195,711.0","198,037.0","198,884.0","200,328.0","198,503.0","194,689.0","193,185.0","197,730.0","203,177.0","208,555.0","214,712.0","214,663.0","217,222.0","223,037.0","224,762.0","224,092.0","222,800.0","222,685.0","225,833.0","229,460.0","234,215.0","237,976.0","242,771.0","244,687.0","246,610.0","249,342.0","252,976.0","256,665.0","260,316.0","265,098.0","270,673.0","275,749.0","279,931.0","285,362.0","290,329.0","295,727.0","303,969.0","310,835.0","319,027.0","326,332.0","331,533.0","335,389.0","338,608.0","344,941.0","351,167.0","361,450.0","370,719.0","379,590.0","389,371.0","397,784.0","408,270.0","418,267.0","426,611.0"
"24","5","      Government","B202RC1","17,126.0","17,346.0","17,598.0","17,973.0","18,294.0","18,631.0","19,254.0","19,902.0","20,350.0","20,689.0","21,079.0","21,190.0","21,225.0","21,804.0","22,958.0","24,545.0","26,706.0","28,509.0","30,184.0","31,516.0","32,439.0","33,135.0","33,761.0","34,177.0","34,321.0","34,355.0","34,287.0","34,389.0","34,397.0","34,717.0","35,129.0","35,377.0","35,482.0","36,234.0","37,398.0","37,270.0","37,836.0","38,532.0","39,184.0","39,656.0","40,229.0","40,733.0","41,501.0","41,589.0","42,035.0","43,091.0","46,107.0","45,255.0","45,456.0","45,844.0","46,236.0","46,680.0","47,712.0","48,636.0","49,872.0","50,508.0","51,104.0","51,800.0","52,792.0","54,188.0","55,300.0","55,976.0","56,488.0","57,624.0","58,620.0","59,380.0","60,180.0","61,924.0","63,124.0","64,160.0","65,660.0","66,756.0","67,452.0","68,548.0","70,488.0","73,152.0","74,928.0","76,876.0","79,800.0","81,952.0","83,452.0","84,996.0","87,068.0","90,416.0","92,760.0","95,204.0","98,740.0","100,052.0","101,284.0","103,112.0","108,164.0","109,840.0"
"25","6","    Supplements to wages and salaries","A038RC1","10,254.0","9,656.0","8,923.0","8,740.0","8,898.0","8,850.0","8,948.0","8,986.0","9,703.0","9,853.0","9,803.0","9,756.0","10,330.0","10,771.0","11,474.0","12,273.0","13,456.0","14,130.0","14,583.0","15,112.0","15,344.0","15,559.0","15,804.0","16,113.0","16,330.0","16,458.0","16,653.0","16,690.0","17,015.0","17,031.0","17,194.0","17,480.0","18,168.0","18,561.0","18,993.0","19,269.0","19,910.0","20,354.0","20,831.0","21,360.0","22,360.0","22,844.0","23,299.0","23,613.0","23,491.0","23,598.0","23,839.0","24,279.0","26,213.0","26,380.0","26,505.0","26,768.0","28,527.0","28,881.0","29,191.0","29,385.0","29,951.0","30,327.0","30,753.0","31,247.0","32,920.0","33,393.0","33,769.0","34,133.0","35,439.0","35,960.0","36,573.0","37,336.0","37,775.0","38,631.0","39,451.0","40,278.0","41,016.0","41,970.0","43,077.0","44,293.0","48,323.0","49,513.0","50,590.0","51,432.0","52,280.0","53,175.0","54,435.0","55,848.0","57,940.0","59,392.0","60,865.0","62,319.0","65,158.0","66,855.0","68,602.0","70,114.0"
"26","7","      Employer contributions for employee pension and insurance funds \1\","B040RC1","5,582.0","5,368.0","5,379.0","5,520.0","5,690.0","5,862.0","6,004.0","6,110.0","6,163.0","6,321.0","6,519.0","6,716.0","7,062.0","7,515.0","8,074.0","8,705.0","9,424.0","10,002.0","10,515.0","10,964.0","11,220.0","11,463.0","11,700.0","11,865.0","12,142.0","12,254.0","12,385.0","12,510.0","12,407.0","12,419.0","12,606.0","12,840.0","13,120.0","13,417.0","13,749.0","14,009.0","14,334.0","14,702.0","15,155.0","15,592.0","16,000.0","16,448.0","16,895.0","17,301.0","17,191.0","17,310.0","17,479.0","17,831.0","18,461.0","18,492.0","18,629.0","18,864.0","19,275.0","19,617.0","19,911.0","20,181.0","20,499.0","20,771.0","21,109.0","21,459.0","21,876.0","22,217.0","22,541.0","22,853.0","23,235.0","23,628.0","24,117.0","24,708.0","25,347.0","26,059.0","26,743.0","27,458.0","28,212.0","28,994.0","29,917.0","30,861.0","31,851.0","32,773.0","33,590.0","34,260.0","34,724.0","35,383.0","36,279.0","37,276.0","38,500.0","39,624.0","40,741.0","41,851.0","43,070.0","44,343.0","45,586.0","46,714.0"
"27","8","      Employer contributions for government social insurance","B039RC1","4,672.0","4,288.0","3,544.0","3,220.0","3,208.0","2,988.0","2,944.0","2,876.0","3,540.0","3,532.0","3,284.0","3,040.0","3,268.0","3,256.0","3,400.0","3,568.0","4,032.0","4,128.0","4,068.0","4,148.0","4,124.0","4,096.0","4,104.0","4,248.0","4,188.0","4,204.0","4,268.0","4,180.0","4,608.0","4,612.0","4,588.0","4,640.0","5,048.0","5,144.0","5,244.0","5,260.0","5,576.0","5,652.0","5,676.0","5,768.0","6,360.0","6,396.0","6,404.0","6,312.0","6,300.0","6,288.0","6,360.0","6,448.0","7,752.0","7,888.0","7,876.0","7,904.0","9,252.0","9,264.0","9,280.0","9,204.0","9,452.0","9,556.0","9,644.0","9,788.0","11,044.0","11,176.0","11,228.0","11,280.0","12,204.0","12,332.0","12,456.0","12,628.0","12,428.0","12,572.0","12,708.0","12,820.0","12,804.0","12,976.0","13,160.0","13,432.0","16,472.0","16,740.0","17,000.0","17,172.0","17,556.0","17,792.0","18,156.0","18,572.0","19,440.0","19,768.0","20,124.0","20,468.0","22,088.0","22,512.0","23,016.0","23,400.0"
"28","9","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","36,188.0","33,263.0","33,893.0","34,972.0","36,382.0","40,231.0","40,605.0","39,898.0","35,414.0","34,937.0","34,239.0","34,171.0","36,247.0","36,812.0","38,456.0","38,542.0","40,901.0","42,537.0","43,241.0","43,698.0","41,691.0","42,957.0","44,745.0","42,762.0","42,951.0","42,347.0","41,216.0","41,557.0","42,680.0","42,099.0","42,249.0","41,993.0","43,665.0","44,272.0","44,635.0","44,519.0","44,863.0","45,251.0","46,410.0","46,753.0","46,927.0","47,712.0","48,804.0","47,701.0","50,266.0","50,326.0","50,123.0","49,917.0","50,082.0","50,339.0","50,355.0","50,607.0","49,747.0","50,715.0","50,871.0","51,020.0","52,327.0","52,646.0","53,326.0","54,494.0","55,324.0","54,967.0","54,888.0","55,761.0","55,973.0","55,800.0","56,228.0","57,589.0","57,915.0","58,821.0","59,286.0","60,504.0","61,947.0","63,177.0","63,967.0","65,558.0","69,226.0","67,204.0","67,162.0","68,144.0","68,901.0","68,497.0","70,526.0","69,972.0","71,681.0","73,177.0","74,951.0","75,506.0","75,631.0","77,111.0","77,967.0","77,313.0"
"29","10","    Farm","B042RC1","15,980.0","12,355.0","14,098.0","14,935.0","14,486.0","17,972.0","17,924.0","16,436.0","12,707.0","12,132.0","11,615.0","11,502.0","12,228.0","12,227.0","13,104.0","13,932.0","15,015.0","15,397.0","15,148.0","15,654.0","13,714.0","14,516.0","15,974.0","13,045.0","13,010.0","12,398.0","11,732.0","11,537.0","12,860.0","11,663.0","11,788.0","10,685.0","10,922.0","11,279.0","10,692.0","9,971.0","10,193.0","10,364.0","10,879.0","10,917.0","9,949.0","10,517.0","11,049.0","10,688.0","13,326.0","12,977.0","12,142.0","11,244.0","10,869.0","9,861.0","9,360.0","10,084.0","9,643.0","10,618.0","11,009.0","11,326.0","11,548.0","10,870.0","11,044.0","11,532.0","11,861.0","11,079.0","10,668.0","11,264.0","11,403.0","10,829.0","10,679.0","11,127.0","9,873.0","9,514.0","9,295.0","10,439.0","11,431.0","11,962.0","12,207.0","12,518.0","14,857.0","12,675.0","12,304.0","12,238.0","11,927.0","11,144.0","11,959.0","11,535.0","11,605.0","11,237.0","11,786.0","12,000.0","11,565.0","12,549.0","13,142.0","14,078.0"
"30","11","    Nonfarm","A045RC1","20,208.0","20,908.0","19,795.0","20,037.0","21,896.0","22,259.0","22,681.0","23,462.0","22,707.0","22,805.0","22,624.0","22,669.0","24,019.0","24,585.0","25,352.0","24,610.0","25,886.0","27,140.0","28,093.0","28,044.0","27,977.0","28,441.0","28,771.0","29,717.0","29,941.0","29,949.0","29,484.0","30,020.0","29,820.0","30,436.0","30,461.0","31,308.0","32,743.0","32,993.0","33,943.0","34,548.0","34,670.0","34,887.0","35,531.0","35,836.0","36,978.0","37,195.0","37,755.0","37,013.0","36,940.0","37,349.0","37,981.0","38,673.0","39,213.0","40,478.0","40,995.0","40,523.0","40,104.0","40,097.0","39,862.0","39,694.0","40,779.0","41,776.0","42,282.0","42,962.0","43,463.0","43,888.0","44,220.0","44,497.0","44,570.0","44,971.0","45,549.0","46,462.0","48,042.0","49,307.0","49,991.0","50,065.0","50,516.0","51,215.0","51,760.0","53,040.0","54,369.0","54,529.0","54,858.0","55,906.0","56,974.0","57,353.0","58,567.0","58,437.0","60,076.0","61,940.0","63,165.0","63,506.0","64,066.0","64,562.0","64,825.0","63,235.0"
"31","12","  Rental income of persons with capital consumption adjustment","A048RC1","6,657.0","6,768.0","6,973.0","7,157.0","7,318.0","7,465.0","7,535.0","7,616.0","7,542.0","7,653.0","7,887.0","8,107.0","8,458.0","8,669.0","8,841.0","9,148.0","9,319.0","9,576.0","9,858.0","10,123.0","10,400.0","10,665.0","10,931.0","11,266.0","11,584.0","11,894.0","12,161.0","12,473.0","12,797.0","13,015.0","13,145.0","13,288.0","13,334.0","13,387.0","13,442.0","13,527.0","13,595.0","13,605.0","13,682.0","13,790.0","13,872.0","13,971.0","14,081.0","14,292.0","14,572.0","14,751.0","14,890.0","14,976.0","14,972.0","15,433.0","15,785.0","16,044.0","16,226.0","16,379.0","16,543.0","16,703.0","16,918.0","17,083.0","17,286.0","17,511.0","17,740.0","17,950.0","18,150.0","18,343.0","18,543.0","18,688.0","18,843.0","18,837.0","18,840.0","18,779.0","18,863.0","18,841.0","19,082.0","19,271.0","19,503.0","19,491.0","19,835.0","19,757.0","20,022.0","20,029.0","20,254.0","20,372.0","20,428.0","20,326.0","20,091.0","20,087.0","20,226.0","20,039.0","20,247.0","20,314.0","20,474.0","20,465.0"
"32","13","  Personal income receipts on assets","W210RC1","14,819.0","15,316.0","15,689.0","15,777.0","16,514.0","16,331.0","16,929.0","17,399.0","17,517.0","17,745.0","17,921.0","18,506.0","19,683.0","20,055.0","21,116.0","21,770.0","20,875.0","21,371.0","21,570.0","21,926.0","21,590.0","22,446.0","22,686.0","23,278.0","23,475.0","24,668.0","24,983.0","25,232.0","26,167.0","25,999.0","26,816.0","27,395.0","28,297.0","28,837.0","29,905.0","30,554.0","31,372.0","32,019.0","32,650.0","33,739.0","34,516.0","35,354.0","36,031.0","36,313.0","36,581.0","37,178.0","37,628.0","37,889.0","38,762.0","39,956.0","41,162.0","42,429.0","43,640.0","43,932.0","44,639.0","45,131.0","45,573.0","46,426.0","47,545.0","49,062.0","49,357.0","51,094.0","52,469.0","53,560.0","54,044.0","55,162.0","56,563.0","58,215.0","60,021.0","61,727.0","63,326.0","64,750.0","66,140.0","67,999.0","69,718.0","71,094.0","72,521.0","73,632.0","74,677.0","75,811.0","77,920.0","79,392.0","80,701.0","81,330.0","83,880.0","86,530.0","88,364.0","90,414.0","93,683.0","96,920.0","100,243.0","103,899.0"
