"","Table 7#23# Transactions of Federal Government Defined Benefit P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Contributions","Y269RC1","370.0","396.0","408.0","408.0","408.0","445.0","516.0","571.0","605.0","632.0","697.0","917.0","1,757.0","3,350.0","4,044.0","4,221.0","4,409.0","4,367.0","3,886.0","4,083.0","4,506.0","5,337.0","6,931.0","7,875.0","8,183.0","8,373.0","8,769.0","9,463.0","10,652.0","11,296.0","11,899.0","12,558.0","13,379.0","14,292.0","15,224.0","16,345.0","17,579.0","19,405.0","21,109.0","22,924.0","25,652.0"
"22","4","    Claims to benefits accrued through service to employers","Y285RC1","285.0","291.0","288.0","273.0","259.0","285.0","334.0","375.0","384.0","395.0","434.0","625.0","1,417.0","2,882.0","3,386.0","3,388.0","3,400.0","3,187.0","2,546.0","2,581.0","2,833.0","3,472.0","4,831.0","5,489.0","5,463.0","5,328.0","5,392.0","5,641.0","6,193.0","6,419.0","6,567.0","6,768.0","7,094.0","7,491.0","7,873.0","8,415.0","9,033.0","10,194.0","11,176.0","12,221.0","13,122.0"
"23","5","      Actual employer contributions","Y270RC1","50.0","52.0","53.0","54.0","52.0","56.0","69.0","86.0","110.0","126.0","137.0","152.0","155.0","151.0","191.0","242.0","295.0","352.0","395.0","456.0","561.0","636.0","650.0","676.0","567.0","453.0","602.0","904.0","1,148.0","1,341.0","1,437.0","1,591.0","1,735.0","1,908.0","2,152.0","2,469.0","2,653.0","2,969.0","3,334.0","3,798.0","4,284.0"
"24","6","        Civilian \2\","Y271RC1","12.0","12.0","12.0","12.0","12.0","12.0","20.0","32.0","52.0","65.0","72.0","81.0","92.0","99.0","134.0","180.0","216.0","228.0","228.0","228.0","261.0","304.0","304.0","314.0","176.0","30.0","132.0","381.0","587.0","714.0","743.0","826.0","863.0","931.0","1,022.0","1,126.0","1,134.0","1,232.0","1,327.0","1,489.0","1,599.0"
"25","7","        Military \3\","Y272RC1","38.0","40.0","41.0","42.0","40.0","44.0","49.0","54.0","58.0","61.0","65.0","71.0","63.0","52.0","57.0","62.0","79.0","124.0","167.0","228.0","300.0","332.0","346.0","362.0","391.0","423.0","470.0","523.0","561.0","627.0","694.0","765.0","872.0","977.0","1,130.0","1,343.0","1,519.0","1,737.0","2,007.0","2,309.0","2,685.0"
"26","8","      Imputed employer contributions","Y273RC1","206.0","209.0","204.0","187.0","177.0","199.0","233.0","255.0","237.0","230.0","255.0","423.0","1,196.0","2,572.0","2,939.0","2,865.0","2,811.0","2,574.0","1,906.0","1,851.0","1,923.0","2,466.0","3,791.0","4,387.0","4,466.0","4,446.0","4,279.0","4,139.0","4,373.0","4,354.0","4,372.0","4,386.0","4,479.0","4,686.0","4,752.0","4,897.0","5,302.0","6,057.0","6,569.0","7,003.0","7,308.0"
"27","9","        Civilian \2\","Y274RC1","133.0","137.0","135.0","125.0","120.0","143.0","169.0","185.0","165.0","154.0","161.0","189.0","281.0","549.0","921.0","852.0","815.0","793.0","682.0","669.0","664.0","733.0","999.0","1,170.0","1,333.0","1,442.0","1,345.0","1,258.0","1,510.0","1,521.0","1,595.0","1,654.0","1,756.0","1,878.0","1,959.0","2,047.0","2,288.0","2,498.0","2,719.0","2,912.0","3,246.0"
"28","10","        Military \3\","Y275RC1","73.0","72.0","69.0","62.0","57.0","56.0","64.0","70.0","72.0","76.0","94.0","234.0","915.0","2,023.0","2,018.0","2,013.0","1,996.0","1,781.0","1,224.0","1,182.0","1,259.0","1,733.0","2,792.0","3,217.0","3,133.0","3,004.0","2,934.0","2,881.0","2,863.0","2,833.0","2,777.0","2,732.0","2,723.0","2,808.0","2,793.0","2,850.0","3,014.0","3,559.0","3,850.0","4,091.0","4,062.0"
"29","11","      Actual household contributions","Y276RC1","29.0","30.0","31.0","32.0","30.0","30.0","32.0","34.0","37.0","39.0","42.0","50.0","66.0","159.0","257.0","282.0","295.0","262.0","246.0","275.0","350.0","371.0","391.0","427.0","431.0","430.0","513.0","600.0","674.0","726.0","760.0","794.0","883.0","900.0","972.0","1,052.0","1,082.0","1,172.0","1,277.0","1,424.0","1,535.0"
"30","12","        Civilian \2\","Y277RC1","29.0","30.0","31.0","32.0","30.0","30.0","32.0","34.0","37.0","39.0","42.0","50.0","66.0","159.0","257.0","282.0","295.0","262.0","246.0","275.0","350.0","371.0","391.0","427.0","431.0","430.0","513.0","600.0","674.0","726.0","760.0","794.0","883.0","900.0","972.0","1,052.0","1,082.0","1,172.0","1,277.0","1,424.0","1,535.0"
"31","13","        Military \3\","Y278RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"32","14","      Less: Pension service charges \1\","Y296RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0"
"33","15","    Household pension contribution supplements \4\","Y279RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"34","16","  Income receipts on assets (including plans' claims on employers)","Y279RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"35","17","    Interest","Y280RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"36","18","      Monetary interest","Y281RC1","5.0","6.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","19.0","24.0","24.0","24.0","33.0","42.0","56.0","73.0","87.0","97.0","112.0","127.0","149.0","171.0","195.0","218.0","228.0","227.0","216.0","214.0","200.0","236.0","266.0","297.0","338.0","392.0","452.0","515.0","586.0","666.0","751.0","889.0"
"37","19","      Imputed interest on plans' claims on employers \5\","Y282RC1","80.0","99.0","108.0","123.0","137.0","148.0","170.0","184.0","209.0","218.0","239.0","268.0","316.0","435.0","616.0","777.0","936.0","1,093.0","1,243.0","1,390.0","1,546.0","1,716.0","1,929.0","2,191.0","2,502.0","2,817.0","3,150.0","3,606.0","4,245.0","4,677.0","5,096.0","5,524.0","5,988.0","6,463.0","6,959.0","7,478.0","8,031.0","8,625.0","9,267.0","9,952.0","11,641.0"
"38","20","    Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","21","Current expenditures, accrual basis","Y284RC1","455.0","501.0","528.0","543.0","557.0","605.0","698.0","767.0","826.0","869.0","960.0","1,209.0","2,097.0","3,818.0","4,703.0","5,055.0","5,419.0","5,548.0","5,227.0","5,586.0","6,180.0","7,203.0","9,032.0","10,262.0","10,904.0","11,419.0","12,148.0","13,287.0","15,113.0","16,175.0","17,233.0","18,351.0","19,667.0","21,096.0","22,578.0","24,278.0","26,129.0","28,620.0","31,046.0","33,631.0","38,187.0"
"40","22","  Administrative expenses","Y296RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0"
"41","23","  Imputed income payments on assets to persons","Y279RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"42","24","    Interest","Y280RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"43","25","    Dividends","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"44","26","  Benefit payments and withdrawals","Y293RC1","56.0","62.0","68.0","74.0","82.0","97.0","107.0","115.0","122.0","127.0","134.0","145.0","142.0","136.0","151.0","193.0","264.0","475.0","451.0","450.0","544.0","608.0","640.0","701.0","799.0","848.0","937.0","1,094.0","1,226.0","1,383.0","1,563.0","1,713.0","1,894.0","2,105.0","2,404.0","2,737.0","3,051.0","3,629.0","4,091.0","4,593.0","5,258.0"
"45","27","    Civilian \2\","Y294RC1","18.0","22.0","27.0","32.0","42.0","53.0","58.0","61.0","64.0","66.0","69.0","74.0","79.0","84.0","94.0","131.0","185.0","351.0","284.0","222.0","244.0","276.0","294.0","339.0","408.0","425.0","467.0","571.0","665.0","756.0","869.0","948.0","1,022.0","1,128.0","1,274.0","1,394.0","1,532.0","1,892.0","2,084.0","2,284.0","2,573.0"
"46","28","    Military \3\","Y295RC1","38.0","40.0","41.0","42.0","40.0","44.0","49.0","54.0","58.0","61.0","65.0","71.0","63.0","52.0","57.0","62.0","79.0","124.0","167.0","228.0","300.0","332.0","346.0","362.0","391.0","423.0","470.0","523.0","561.0","627.0","694.0","765.0","872.0","977.0","1,130.0","1,343.0","1,519.0","1,737.0","2,007.0","2,309.0","2,685.0"
"47","29","  Net change in benefit entitlements \6\","Y289RC1","314.0","334.0","340.0","334.0","326.0","348.0","409.0","456.0","483.0","505.0","563.0","772.0","1,615.0","3,214.0","3,893.0","4,028.0","4,145.0","3,892.0","3,435.0","3,633.0","3,962.0","4,729.0","6,291.0","7,174.0","7,384.0","7,525.0","7,832.0","8,369.0","9,426.0","9,913.0","10,336.0","10,845.0","11,485.0","12,187.0","12,820.0","13,608.0","14,528.0","15,776.0","17,018.0","18,331.0","20,394.0"
"48","30","Cash flow","Y290RC1","28.0","26.0","28.0","24.0","12.0","1.0","6.0","17.0","37.0","57.0","69.0","81.0","103.0","207.0","338.0","386.0","398.0","225.0","286.0","392.0","493.0","547.0","571.0","596.0","416.0","262.0","403.0","624.0","808.0","882.0","868.0","935.0","1,018.0","1,038.0","1,109.0","1,233.0","1,195.0","1,094.0","1,182.0","1,376.0","1,445.0"
"49","31","  Actual employer and household contributions (5+11)","Y291RC1","79.0","82.0","84.0","86.0","82.0","86.0","101.0","120.0","147.0","165.0","179.0","202.0","221.0","310.0","448.0","524.0","590.0","614.0","641.0","731.0","911.0","1,007.0","1,041.0","1,103.0","998.0","883.0","1,115.0","1,504.0","1,822.0","2,067.0","2,197.0","2,385.0","2,618.0","2,808.0","3,124.0","3,521.0","3,735.0","4,141.0","4,611.0","5,222.0","5,819.0"
"50","32","  Monetary income receipts on assets (18+20)","Y292RC1","5.0","6.0","12.0","12.0","12.0","12.0","12.0","12.0","12.0","19.0","24.0","24.0","24.0","33.0","42.0","56.0","73.0","87.0","97.0","112.0","127.0","149.0","171.0","195.0","218.0","228.0","227.0","216.0","214.0","200.0","236.0","266.0","297.0","338.0","392.0","452.0","515.0","586.0","666.0","751.0","889.0"
"51","33","  Less: Benefit payments and withdrawals","Y293RC1","56.0","62.0","68.0","74.0","82.0","97.0","107.0","115.0","122.0","127.0","134.0","145.0","142.0","136.0","151.0","193.0","264.0","475.0","451.0","450.0","544.0","608.0","640.0","701.0","799.0","848.0","937.0","1,094.0","1,226.0","1,383.0","1,563.0","1,713.0","1,894.0","2,105.0","2,404.0","2,737.0","3,051.0","3,629.0","4,091.0","4,593.0","5,258.0"
"52","34","    Civilian \2\","Y294RC1","18.0","22.0","27.0","32.0","42.0","53.0","58.0","61.0","64.0","66.0","69.0","74.0","79.0","84.0","94.0","131.0","185.0","351.0","284.0","222.0","244.0","276.0","294.0","339.0","408.0","425.0","467.0","571.0","665.0","756.0","869.0","948.0","1,022.0","1,128.0","1,274.0","1,394.0","1,532.0","1,892.0","2,084.0","2,284.0","2,573.0"
"53","35","    Military \3\","Y295RC1","38.0","40.0","41.0","42.0","40.0","44.0","49.0","54.0","58.0","61.0","65.0","71.0","63.0","52.0","57.0","62.0","79.0","124.0","167.0","228.0","300.0","332.0","346.0","362.0","391.0","423.0","470.0","523.0","561.0","627.0","694.0","765.0","872.0","977.0","1,130.0","1,343.0","1,519.0","1,737.0","2,007.0","2,309.0","2,685.0"
"54","36","  Less: Administrative expenses","Y296RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0"
"55",NA,"Effect of participation in defined benefit plans on personal income, saving, and wealth:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","Effect on personal income (1-11-15 or 21-11-15)","Y297RC1","341.0","366.0","377.0","376.0","378.0","415.0","484.0","537.0","568.0","593.0","655.0","867.0","1,691.0","3,191.0","3,788.0","3,940.0","4,115.0","4,106.0","3,641.0","3,809.0","4,157.0","4,967.0","6,541.0","7,449.0","7,753.0","7,944.0","8,258.0","8,865.0","9,980.0","10,572.0","11,141.0","11,767.0","12,499.0","13,395.0","14,255.0","15,296.0","16,501.0","18,237.0","19,836.0","21,504.0","24,122.0"
"57","38","Less: Effect on personal consumption expenditures (2)","Y296RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0"
"58","39","Equals: Effect on personal saving","Y299RC1","341.0","366.0","377.0","376.0","378.0","415.0","484.0","537.0","568.0","593.0","655.0","867.0","1,691.0","3,191.0","3,787.0","3,939.0","4,114.0","4,105.0","3,640.0","3,808.0","4,156.0","4,966.0","6,540.0","7,448.0","7,752.0","7,943.0","8,256.0","8,863.0","9,978.0","10,570.0","11,139.0","11,764.0","12,496.0","13,392.0","14,252.0","15,293.0","16,497.0","18,233.0","19,832.0","21,500.0","24,117.0"
"59","40","Plus: Implied funding of benefits from holding gains on assets","Y300RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"60","41","  Interest accrued on benefit entitlements","Y301RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"61","42","  Less: Interest and dividend income received by plans (16)","Y279RC1","85.0","105.0","120.0","135.0","149.0","160.0","182.0","196.0","221.0","237.0","263.0","292.0","340.0","468.0","658.0","833.0","1,009.0","1,180.0","1,340.0","1,502.0","1,673.0","1,865.0","2,100.0","2,386.0","2,720.0","3,045.0","3,377.0","3,822.0","4,459.0","4,877.0","5,332.0","5,790.0","6,285.0","6,801.0","7,351.0","7,930.0","8,546.0","9,211.0","9,933.0","10,703.0","12,530.0"
"62","43","Equals: Change in personal wealth \7\","Y303RC1","341.0","366.0","377.0","376.0","378.0","415.0","484.0","537.0","568.0","593.0","655.0","867.0","1,691.0","3,191.0","3,787.0","3,939.0","4,114.0","4,105.0","3,640.0","3,808.0","4,156.0","4,966.0","6,540.0","7,448.0","7,752.0","7,943.0","8,256.0","8,863.0","9,978.0","10,570.0","11,139.0","11,764.0","12,496.0","13,392.0","14,252.0","15,293.0","16,497.0","18,233.0","19,832.0","21,500.0","24,117.0"
"63","44","Less: Benefit payments and withdrawals (26)","Y293RC1","56.0","62.0","68.0","74.0","82.0","97.0","107.0","115.0","122.0","127.0","134.0","145.0","142.0","136.0","151.0","193.0","264.0","475.0","451.0","450.0","544.0","608.0","640.0","701.0","799.0","848.0","937.0","1,094.0","1,226.0","1,383.0","1,563.0","1,713.0","1,894.0","2,105.0","2,404.0","2,737.0","3,051.0","3,629.0","4,091.0","4,593.0","5,258.0"
"64","45","Plus: Household actual contributions (11)","Y276RC1","29.0","30.0","31.0","32.0","30.0","30.0","32.0","34.0","37.0","39.0","42.0","50.0","66.0","159.0","257.0","282.0","295.0","262.0","246.0","275.0","350.0","371.0","391.0","427.0","431.0","430.0","513.0","600.0","674.0","726.0","760.0","794.0","883.0","900.0","972.0","1,052.0","1,082.0","1,172.0","1,277.0","1,424.0","1,535.0"
"65","46","Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets \7\","Y306RC1","314.0","334.0","340.0","334.0","326.0","348.0","409.0","456.0","483.0","505.0","563.0","772.0","1,615.0","3,214.0","3,893.0","4,028.0","4,145.0","3,892.0","3,435.0","3,633.0","3,962.0","4,729.0","6,291.0","7,174.0","7,384.0","7,525.0","7,832.0","8,369.0","9,426.0","9,913.0","10,336.0","10,845.0","11,485.0","12,187.0","12,820.0","13,608.0","14,528.0","15,776.0","17,018.0","18,331.0","20,394.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Included in personal consumption expenditures as part of financial services furnished without payment;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","the value is equal to administrative expenses (line 22).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2. Consists of civil service, foreign service, Public Health Service officers, Tennessee Valley Authority,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","and several small retirement programs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
