"","Table 7#8# Supplements to Wages and Salaries by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","      Supplements to wages and salaries","A038RC1","8,920.0","9,779.0","11,212.0","14,320.0","15,705.0","16,533.0","17,180.0","18,748.0","20,614.0","23,029.0","23,802.0","26,467.0","28,996.0","30,569.0","33,554.0","36,328.0","39,033.0","42,590.0","49,965.0","53,934.0","60,129.0","67,683.0"
"20","2","Employer contributions for government social insurance","B039RC1","3,004.0","3,349.0","3,373.0","4,094.0","4,143.0","4,210.0","4,612.0","5,174.0","5,668.0","6,368.0","6,349.0","7,855.0","9,250.0","9,610.0","11,182.0","12,405.0","12,632.0","13,093.0","16,846.0","18,019.0","19,950.0","22,754.0"
"21","3","Employer contributions for employee pension and insurance funds","B040RC1","5,916.0","6,430.0","7,839.0","10,226.0","11,562.0","12,323.0","12,568.0","13,574.0","14,946.0","16,661.0","17,453.0","18,612.0","19,746.0","20,959.0","22,372.0","23,923.0","26,401.0","29,497.0","33,119.0","35,915.0","40,179.0","44,929.0"
"22",NA,"              By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","4","Pension and other employee benefit plans \1\","A2209C1","5,594.0","5,934.0","7,580.0","9,948.0","11,148.0","11,659.0","12,276.0","13,241.0","14,209.0","15,927.0","16,282.0","17,922.0","19,590.0","20,350.0","21,583.0","23,789.0","25,752.0","28,300.0","33,623.0","36,401.0","39,707.0","45,094.0"
"24","5","  Old-age, survivors, and disability insurance","L306051","839.0","816.0","1,308.0","1,660.0","1,776.0","1,882.0","2,458.0","2,825.0","3,043.0","3,673.0","3,657.0","4,556.0","5,632.0","5,700.0","6,226.0","7,464.0","7,846.0","8,330.0","11,033.0","11,866.0","13,138.0","15,621.0"
"25","6","  Federal civilian pension plans","B4945C1","897.0","925.0","1,037.0","1,303.0","1,484.0","1,509.0","1,472.0","1,477.0","1,639.0","2,097.0","2,235.0","2,338.0","2,480.0","2,619.0","2,809.0","2,981.0","3,173.0","3,422.0","3,730.0","4,046.0","4,401.0","4,845.0"
"26","7","  Federal military pension plans","B1583C1","1,410.0","1,559.0","2,065.0","3,138.0","3,579.0","3,524.0","3,427.0","3,404.0","3,404.0","3,424.0","3,460.0","3,471.0","3,497.0","3,595.0","3,785.0","3,923.0","4,193.0","4,533.0","5,296.0","5,857.0","6,400.0","6,747.0"
"27","8","  Railroad retirement","CON1701","283.0","277.0","282.0","307.0","319.0","312.0","294.0","308.0","316.0","304.0","265.0","287.0","297.0","275.0","289.0","287.0","305.0","326.0","363.0","402.0","438.0","464.0"
"28","9","  Pension benefit guaranty","B1043C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","  State and local employee retirement","Y239RC1","969.0","1,095.0","1,175.0","1,278.0","1,447.0","1,571.0","1,722.0","1,850.0","2,050.0","2,276.0","2,531.0","2,500.0","2,822.0","3,202.0","3,045.0","3,394.0","3,668.0","4,073.0","4,563.0","4,819.0","5,825.0","6,812.0"
"30","11","  Private pension plans","B4921C1","1,196.0","1,262.0","1,713.0","2,262.0","2,543.0","2,861.0","2,903.0","3,377.0","3,757.0","4,153.0","4,134.0","4,770.0","4,862.0","4,959.0","5,429.0","5,740.0","6,567.0","7,616.0","8,638.0","9,411.0","9,505.0","10,605.0"
"31","12","Health insurance","A2210C1","509.0","618.0","817.0","1,059.0","1,188.0","1,384.0","1,522.0","1,775.0","2,140.0","2,517.0","2,791.0","3,056.0","3,398.0","3,773.0","4,220.0","4,585.0","5,216.0","5,921.0","7,464.0","8,559.0","10,626.0","12,389.0"
"32","13","  Federal hospital insurance","L306061",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,020.0","1,545.0","2,105.0","2,263.0"
"33","14","  Military medical insurance","B1606C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","112.0","148.0","178.0"
"34","15","  Temporary disability insurance","S252101","0.0","2.0","7.0","2.0","4.0","4.0","4.0","5.0","4.0","6.0","6.0","6.0","7.0","7.0","8.0","8.0","8.0","9.0","10.0","10.0","15.0","19.0"
"35","16","  Publicly administered government employee insurance funds \2\","Y390RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"36","17","  Private group health insurance \3\","B4923C1","509.0","616.0","810.0","1,057.0","1,184.0","1,380.0","1,518.0","1,770.0","2,136.0","2,511.0","2,785.0","3,050.0","3,391.0","3,766.0","4,212.0","4,577.0","5,208.0","5,912.0","6,434.0","6,892.0","8,358.0","9,929.0"
"37","18","Life insurance","A2211C1","268.0","670.0","365.0","473.0","499.0","492.0","515.0","643.0","691.0","784.0","880.0","983.0","1,090.0","1,143.0","1,227.0","1,342.0","1,491.0","1,660.0","1,841.0","2,045.0","2,393.0","2,414.0"
"38","19","  Veterans life insurance","CON2101","98.0","459.0","80.0","144.0","138.0","71.0","50.0","82.0","23.0","18.0","13.0","12.0","10.0","10.0","8.0","8.0","10.0","9.0","7.0","9.0","9.0","9.0"
"39","20","  Private group life insurance \3\","B4924C1","170.0","211.0","285.0","329.0","361.0","421.0","465.0","561.0","668.0","766.0","867.0","971.0","1,080.0","1,133.0","1,219.0","1,334.0","1,481.0","1,651.0","1,834.0","2,036.0","2,384.0","2,405.0"
"40","21","Workers' compensation","A2212C1","911.0","920.0","943.0","1,084.0","1,225.0","1,347.0","1,366.0","1,402.0","1,512.0","1,643.0","1,668.0","1,761.0","1,907.0","2,018.0","2,184.0","2,333.0","2,535.0","2,739.0","3,106.0","3,407.0","3,901.0","4,258.0"
"41","22","  Federal","CON2201","14.0","14.0","23.0","33.0","39.0","43.0","44.0","48.0","52.0","56.0","63.0","64.0","60.0","62.0","66.0","69.0","72.0","74.0","82.0","93.0","104.0","121.0"
"42","23","  State and local","S253001","132.0","144.0","165.0","192.0","222.0","247.0","261.0","269.0","298.0","321.0","312.0","319.0","353.0","377.0","403.0","442.0","472.0","496.0","536.0","580.0","619.0","664.0"
"43","24","  Private insurance \3\","B4925C1","765.0","762.0","755.0","859.0","964.0","1,057.0","1,061.0","1,085.0","1,162.0","1,266.0","1,293.0","1,378.0","1,494.0","1,579.0","1,715.0","1,822.0","1,991.0","2,169.0","2,488.0","2,734.0","3,178.0","3,473.0"
"44","25","Unemployment insurance","A2213C1","1,638.0","1,638.0","1,505.0","1,756.0","1,645.0","1,649.0","1,498.0","1,683.0","2,062.0","2,158.0","2,181.0","2,745.0","3,011.0","3,286.0","4,340.0","4,280.0","4,038.0","3,970.0","3,931.0","3,522.0","3,503.0","3,527.0"
"45","26","  State unemployment insurance","CON1201","965.0","1,010.0","1,217.0","1,465.0","1,350.0","1,288.0","1,081.0","1,193.0","1,448.0","1,476.0","1,435.0","1,967.0","2,245.0","2,405.0","2,944.0","2,974.0","3,001.0","3,027.0","2,973.0","2,572.0","2,486.0","2,482.0"
"46","27","  Federal unemployment tax","CON1501","228.0","223.0","232.0","263.0","263.0","298.0","289.0","304.0","326.0","337.0","326.0","337.0","343.0","456.0","947.0","847.0","619.0","558.0","597.0","601.0","634.0","669.0"
"47","28","  Railroad employees unemployment insurance","CON1601","25.0","23.0","24.0","26.0","25.0","25.0","24.0","25.0","76.0","97.0","106.0","151.0","165.0","153.0","160.0","156.0","153.0","149.0","146.0","141.0","136.0","131.0"
"48","29","  Federal employees unemployment insurance","CONBFE1","420.0","382.0","32.0","2.0","7.0","38.0","104.0","110.0","82.0","80.0","166.0","156.0","138.0","165.0","131.0","150.0","146.0","115.0","79.0","88.0","118.0","133.0"
"49","30","  Private supplemental unemployment","B4926C1",".....",".....",".....",".....",".....",".....",".....","51.0","130.0","168.0","148.0","134.0","120.0","107.0","158.0","153.0","119.0","121.0","136.0","120.0","129.0","112.0"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","1. Employer contributions to privately administered programs and government employee pension plans are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","classified as employer contributions for employee pension and insurance funds. Employer contributions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","to other publicly administered programs are classified as employer contributions for government social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","insurance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Includes the Medicare-eligible Retiree Health Care Fund.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Government contributions to privately administered health, life, and workers' compensation insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","for government employees are classified as employer contributions for employee pension and insurance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","funds.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
