"","Table 2#1# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192"
"52","33","    To the rest of the world (net)","B070RC1","992.0","1,180.0","1,120.0","1,168.0","1,260.0","1,340.0","1,284.0","1,260.0","1,268.0","1,296.0","1,408.0","1,432.0","1,352.0","1,388.0","1,360.0","1,420.0","1,184.0","1,248.0","1,272.0","2,512.0","1,372.0","1,368.0","1,364.0","1,348.0","1,348.0","1,196.0","1,460.0","1,348.0","1,444.0","1,304.0","1,340.0","1,416.0","1,404.0","1,412.0","1,356.0","1,328.0","1,384.0","1,600.0","1,560.0","1,756.0","1,548.0","1,516.0","1,704.0","2,088.0","1,888.0","1,860.0","1,960.0","2,100.0","5,229.0","5,381.0","5,669.0","6,033.0","6,404.0","6,757.0","6,874.0","6,918.0","6,436.0","6,868.0","7,284.0","7,403.0","7,636.0","7,905.0","7,814.0","8,241.0","8,411.0","8,164.0","8,537.0","8,195.0","8,881.0","8,869.0","9,166.0","9,658.0","9,470.0","9,955.0","10,395.0","10,290.0","10,722.0","10,712.0","10,527.0","11,197.0","11,147.0","11,429.0","11,397.0","12,234.0","12,050.0","11,802.0","12,540.0","12,487.0","13,756.0","13,835.0","14,054.0","14,683.0","11,535.0","12,603.0","19,302.0","14,526.0","16,269.0","16,697.0","17,314.0","17,998.0","18,493.0","18,866.0","19,086.0","19,276.0","18,908.0","18,941.0","20,163.0","23,007.0","21,425.0","22,657.0","22,940.0","23,520.0","25,103.0","25,128.0","25,584.0","26,837.0","26,879.0","28,743.0","30,381.0","32,661.0","31,305.0","32,095.0","32,563.0","31,055.0","32,397.0","34,047.0","34,721.0","35,409.0","37,370.0","37,350.0","38,963.0","37,798.0","40,006.0","39,818.0","40,683.0","41,450.0","40,565.0","39,126.0","38,274.0","43,362.0","45,770.0","44,158.0","44,018.0","42,766.0","29,341.0","47,340.0","47,170.0","48,865.0","41,028.0","50,904.0","53,339.0","53,650.0","58,673.0","58,537.0","60,012.0","62,116.0","75,478.0","71,845.0","72,159.0","67,280.0","69,669.0","74,521.0","68,967.0","69,502.0","71,335.0","69,300.0","70,543.0","72,981.0","72,773.0","75,669.0","74,758.0","77,146.0","76,010.0","76,250.0","70,383.0","76,061.0","78,628.0","77,160.0","74,336.0","76,365.0","76,526.0","76,489.0","77,864.0","82,153.0","78,464.0","79,590.0","80,000.0","79,651.0","80,052.0"
"53","34","Equals: Personal saving","A071RC1","65,516.0","69,495.0","81,877.0","83,231.0","87,274.0","93,939.0","100,978.0","102,029.0","105,844.0","112,362.0","111,934.0","110,193.0","105,456.0","100,295.0","106,270.0","124,761.0","118,279.0","128,654.0","132,341.0","147,882.0","144,206.0","135,042.0","135,693.0","151,972.0","143,924.0","183,518.0","153,782.0","154,824.0","150,344.0","148,141.0","147,951.0","142,790.0","130,273.0","142,678.0","154,456.0","165,225.0","170,062.0","158,884.0","166,651.0","170,656.0","184,529.0","174,982.0","171,763.0","178,906.0","189,694.0","206,038.0","218,101.0","238,952.0","225,756.0","227,800.0","267,313.0","289,031.0","279,534.0","285,712.0","285,804.0","259,733.0","260,575.0","235,413.0","235,921.0","256,099.0","294,188.0","307,361.0","328,050.0","318,800.0","264,443.0","297,589.0","235,063.0","263,396.0","279,321.0","288,614.0","260,921.0","248,597.0","281,643.0","209,552.0","237,103.0","280,027.0","277,283.0","293,450.0","304,397.0","303,847.0","335,828.0","309,531.0","301,883.0","318,803.0","328,061.0","345,328.0","334,453.0","333,948.0","356,343.0","355,193.0","354,701.0","397,303.0","427,064.0","451,146.0","425,141.0","400,760.0","411,533.0","384,017.0","340,624.0","334,378.0","317,513.0","334,266.0","326,341.0","347,552.0","384,639.0","345,943.0","345,470.0","335,640.0","344,262.0","341,664.0","353,274.0","341,652.0","343,751.0","365,665.0","340,183.0","359,157.0","435,937.0","415,396.0","402,581.0","367,368.0","374,366.0","295,963.0","268,202.0","274,629.0","310,483.0","314,521.0","322,740.0","282,934.0","322,932.0","301,374.0","457,204.0","259,184.0","430,587.0","434,402.0","375,011.0","381,042.0","382,864.0","410,718.0","436,905.0","407,802.0","395,886.0","430,167.0","393,197.0","418,466.0","274,184.0","228,398.0","211,095.0","258,769.0","376,179.0","332,456.0","299,169.0","317,774.0","339,517.0","315,762.0","288,550.0","295,391.0","398,146.0","633,354.0","457,524.0","657,822.0","663,860.0","779,807.0","610,438.0","615,572.0","582,392.0","654,371.0","652,129.0","631,134.0","728,400.0","699,331.0","718,611.0","694,191.0","827,980.0","905,726.0","878,530.0","1,174,553.0","566,995.0","609,699.0","632,679.0","550,327.0","637,227.0","623,520.0","605,741.0","614,317.0","687,558.0","663,853.0","680,210.0","711,314.0","782,579.0"
"54","35","  Personal saving as a percentage of disposable personal income","A072RC1","9.8","10.1","11.6","11.5","11.8","12.5","13.1","13.1","13.2","13.6","13.4","12.9","12.2","11.4","11.7","13.2","12.2","13.0","13.0","14.1","13.6","12.5","12.2","13.3","12.4","15.0","12.5","12.3","11.7","11.3","11.1","10.4","9.4","10.0","10.5","10.8","10.9","9.9","10.1","10.1","10.6","9.8","9.4","9.5","9.7","10.5","10.7","11.2","10.4","10.3","11.7","12.4","11.8","11.9","11.7","10.4","10.3","9.2","8.9","9.4","10.5","10.7","11.1","10.7","8.8","9.6","7.6","8.3","8.6","8.8","7.9","7.4","8.3","6.2","6.8","7.8","7.6","7.9","8.0","7.8","8.4","7.7","7.4","7.7","7.8","8.0","7.7","7.6","8.1","8.0","7.9","8.7","9.1","9.4","8.8","8.2","8.3","7.7","6.8","6.6","6.2","6.4","6.2","6.5","7.1","6.3","6.2","6.0","6.0","5.9","6.0","5.8","5.7","6.0","5.5","5.7","6.8","6.4","6.1","5.5","5.5","4.3","3.9","3.9","4.3","4.3","4.3","3.8","4.2","3.9","5.8","3.3","5.4","5.4","4.6","4.6","4.6","4.9","5.1","4.7","4.5","4.8","4.3","4.5","3.0","2.5","2.2","2.7","3.8","3.3","3.0","3.1","3.3","3.0","2.7","2.8","3.7","5.7","4.1","6.0","6.1","7.1","5.6","5.6","5.3","5.8","5.8","5.5","6.3","6.0","6.1","5.8","6.8","7.4","7.1","9.2","4.6","4.9","5.1","4.4","5.0","4.8","4.7","4.7","5.2","5.0","5.0","5.2","5.7"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","36","  Personal income excluding current transfer receipts, millions of chained (2009) dollars \5\","W875RX1","3,398,571.0","3,440,432.0","3,492,926.0","3,516,746.0","3,534,232.0","3,531,154.0","3,560,154.0","3,537,311.0","3,583,161.0","3,611,259.0","3,636,634.0","3,684,319.0","3,747,541.0","3,796,753.0","3,865,461.0","3,982,427.0","3,995,312.0","4,026,830.0","4,054,723.0","4,107,090.0","4,028,705.0","3,982,784.0","3,980,445.0","3,958,591.0","3,913,556.0","3,919,611.0","3,956,488.0","3,997,776.0","4,045,548.0","4,094,430.0","4,125,622.0","4,164,673.0","4,175,554.0","4,246,811.0","4,304,746.0","4,408,287.0","4,437,464.0","4,506,324.0","4,549,727.0","4,604,264.0","4,653,186.0","4,621,042.0","4,633,455.0","4,661,912.0","4,649,738.0","4,586,704.0","4,590,976.0","4,709,568.0","4,707,948.0","4,723,509.0","4,808,691.0","4,803,261.0","4,797,537.0","4,820,677.0","4,794,400.0","4,798,216.0","4,823,664.0","4,863,614.0","4,920,155.0","5,038,805.0","5,141,138.0","5,237,181.0","5,330,036.0","5,380,593.0","5,413,916.0","5,435,323.0","5,466,080.0","5,536,870.0","5,579,981.0","5,649,723.0","5,695,393.0","5,731,288.0","5,760,541.0","5,798,932.0","5,862,607.0","5,965,092.0","6,013,587.0","6,062,168.0","6,124,855.0","6,189,168.0","6,282,490.0","6,273,553.0","6,309,359.0","6,355,271.0","6,381,012.0","6,420,791.0","6,418,102.0","6,341,923.0","6,291,529.0","6,315,152.0","6,331,900.0","6,360,014.0","6,446,696.0","6,517,041.0","6,543,381.0","6,593,713.0","6,574,829.0","6,618,870.0","6,626,066.0","6,688,068.0","6,715,670.0","6,816,098.0","6,850,159.0","6,934,018.0","6,993,735.0","7,027,871.0","7,091,071.0","7,163,047.0","7,235,761.0","7,329,824.0","7,400,824.0","7,465,112.0","7,567,791.0","7,651,231.0","7,766,491.0","7,903,108.0","8,092,222.0","8,229,739.0","8,334,714.0","8,418,995.0","8,482,086.0","8,519,755.0","8,590,876.0","8,742,985.0","8,959,172.0","9,042,644.0","9,149,001.0","9,176,255.0","9,249,793.0","9,211,622.0","9,190,514.0","9,164,274.0","9,166,986.0","9,167,411.0","9,149,505.0","9,172,447.0","9,152,279.0","9,267,243.0","9,330,307.0","9,448,367.0","9,470,247.0","9,567,887.0","9,657,967.0","9,792,616.0","9,734,838.0","9,818,540.0","9,889,992.0","9,997,917.0","10,247,736.0","10,279,945.0","10,296,343.0","10,470,342.0","10,534,420.0","10,581,795.0","10,598,703.0","10,600,452.0","10,654,606.0","10,553,705.0","10,466,917.0","10,481,765.0","10,104,579.0","9,977,441.0","9,863,541.0","9,846,318.0","9,808,287.0","9,965,886.0","10,037,780.0","10,137,191.0","10,401,657.0","10,412,233.0","10,510,771.0","10,515,190.0","10,722,667.0","10,813,455.0","10,824,216.0","11,168,057.0","10,717,405.0","10,821,296.0","10,859,116.0","10,891,563.0","11,017,016.0","11,089,033.0","11,164,553.0","11,328,961.0","11,447,626.0","11,542,156.0","11,635,126.0","11,749,015.0","11,842,585.0"
"57",NA,"  Disposable personal income:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","37","    Total, millions of chained (2009) dollars \5\","A067RX1","3,197,022.0","3,232,163.0","3,300,615.0","3,326,458.0","3,358,951.0","3,398,517.0","3,451,660.0","3,442,941.0","3,511,986.0","3,563,227.0","3,582,192.0","3,623,955.0","3,640,627.0","3,677,764.0","3,748,494.0","3,897,247.0","3,924,912.0","3,956,225.0","3,973,401.0","4,017,065.0","3,950,863.0","3,913,970.0","3,917,747.0","3,912,896.0","3,906,525.0","4,087,848.0","4,028,445.0","4,059,234.0","4,106,855.0","4,128,179.0","4,158,585.0","4,183,351.0","4,182,065.0","4,234,187.0","4,298,960.0","4,382,061.0","4,413,034.0","4,456,647.0","4,488,809.0","4,524,156.0","4,572,250.0","4,532,798.0","4,554,249.0","4,574,296.0","4,589,782.0","4,523,112.0","4,578,310.0","4,668,149.0","4,655,623.0","4,654,522.0","4,749,775.0","4,759,131.0","4,764,829.0","4,792,296.0","4,817,994.0","4,839,681.0","4,881,255.0","4,915,894.0","4,990,052.0","5,097,616.0","5,201,785.0","5,288,251.0","5,360,803.0","5,404,946.0","5,392,014.0","5,495,811.0","5,477,363.0","5,540,314.0","5,609,368.0","5,683,877.0","5,724,107.0","5,734,376.0","5,781,630.0","5,725,536.0","5,829,572.0","5,907,511.0","5,993,682.0","6,055,212.0","6,113,536.0","6,172,581.0","6,248,817.0","6,230,363.0","6,272,845.0","6,323,241.0","6,376,468.0","6,414,640.0","6,417,037.0","6,366,168.0","6,379,730.0","6,423,863.0","6,447,210.0","6,502,332.0","6,641,922.0","6,711,357.0","6,740,671.0","6,763,811.0","6,801,742.0","6,813,697.0","6,817,701.0","6,862,515.0","6,910,602.0","6,983,806.0","7,025,314.0","7,122,963.0","7,190,901.0","7,207,255.0","7,271,651.0","7,313,742.0","7,383,717.0","7,454,301.0","7,513,727.0","7,552,887.0","7,628,691.0","7,693,917.0","7,785,460.0","7,897,061.0","8,065,328.0","8,178,007.0","8,261,362.0","8,328,480.0","8,403,080.0","8,423,895.0","8,480,303.0","8,605,081.0","8,774,569.0","8,865,621.0","8,969,157.0","8,999,501.0","9,076,223.0","9,068,234.0","9,282,636.0","9,167,785.0","9,390,812.0","9,438,448.0","9,426,253.0","9,471,610.0","9,498,000.0","9,635,544.0","9,793,433.0","9,833,026.0","9,904,677.0","10,002,264.0","10,054,941.0","10,180,633.0","10,082,492.0","10,162,278.0","10,214,447.0","10,298,739.0","10,533,962.0","10,549,798.0","10,579,888.0","10,718,365.0","10,788,663.0","10,809,538.0","10,837,871.0","10,846,991.0","10,925,264.0","11,155,661.0","10,899,245.0","10,969,231.0","10,948,502.0","11,026,432.0","10,905,429.0","10,891,014.0","10,902,018.0","11,043,804.0","11,098,757.0","11,176,156.0","11,312,927.0","11,295,233.0","11,355,094.0","11,362,033.0","11,547,786.0","11,636,654.0","11,630,759.0","11,936,122.0","11,431,233.0","11,506,525.0","11,569,323.0","11,585,623.0","11,698,769.0","11,784,710.0","11,863,115.0","11,998,744.0","12,114,693.0","12,193,639.0","12,289,761.0","12,390,288.0","12,512,658.0"
"59",NA,"    Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","38","      Current dollars","A229RC0","3,311","3,383","3,487","3,545","3,612","3,684","3,765","3,791","3,892","3,982","4,030","4,089","4,142","4,198","4,305","4,501","4,578","4,693","4,788","4,928","4,981","5,063","5,191","5,303","5,382","5,687","5,693","5,817","5,938","6,006","6,127","6,244","6,340","6,513","6,694","6,901","7,049","7,247","7,406","7,583","7,788","7,911","8,121","8,328","8,582","8,640","8,923","9,297","9,483","9,617","9,947","10,092","10,210","10,344","10,536","10,674","10,837","10,992","11,277","11,570","11,911","12,202","12,435","12,585","12,682","13,007","13,033","13,241","13,475","13,609","13,741","13,815","14,051","14,017","14,370","14,654","14,953","15,242","15,538","15,806","16,148","16,278","16,437","16,654","16,995","17,197","17,358","17,385","17,454","17,612","17,733","17,951","18,394","18,648","18,779","18,911","19,074","19,178","19,208","19,383","19,535","19,794","19,989","20,300","20,537","20,641","20,842","20,990","21,257","21,541","21,734","21,926","22,185","22,365","22,615","22,938","23,366","23,669","23,908","24,091","24,308","24,431","24,646","25,081","25,724","26,046","26,442","26,608","26,952","26,994","27,581","27,189","27,840","28,134","28,168","28,363","28,584","28,958","29,539","29,708","30,094","30,537","30,800","31,353","31,145","31,533","31,961","32,396","33,217","33,448","33,696","33,991","34,457","34,720","34,918","35,209","35,688","36,742","36,175","35,801","35,459","35,798","35,546","35,658","35,744","36,183","36,396","36,768","37,432","37,686","38,009","38,088","38,869","39,222","39,251","40,417","38,777","39,011","39,305","39,416","39,891","40,326","40,629","40,962","41,088","41,509","41,881","42,171","42,551"
"61","39","      Chained (2009) dollars","A229RX0","15,830","15,968","16,260","16,339","16,459","16,601","16,803","16,703","16,986","17,184","17,222","17,369","17,407","17,543","17,835","18,493","18,585","18,691","18,726","18,885","18,536","18,324","18,295","18,225","18,158","18,956","18,625","18,719","18,898","18,956","19,047","19,109","19,059","19,250","19,490","19,810","19,904","20,050","20,135","20,235","20,398","20,169","20,204","20,230","20,241","19,892","20,074","20,413","20,316","20,266","20,624","20,611","20,592","20,665","20,723","20,765","20,901","21,006","21,270","21,678","22,078","22,400","22,652","22,783","22,687","23,075","22,938","23,144","23,386","23,647","23,755","23,741","23,890","23,609","23,978","24,239","24,543","24,744","24,917","25,095","25,354","25,222","25,325","25,459","25,615","25,688","25,607","25,315","25,290","25,384","25,386","25,516","25,987","26,171","26,189","26,188","26,258","26,224","26,150","26,238","26,351","26,552","26,624","26,912","27,096","27,080","27,235","27,308","27,501","27,685","27,815","27,871","28,077","28,236","28,477","28,796","29,334","29,662","29,871","30,023","30,216","30,208","30,314","30,668","31,192","31,438","31,719","31,742","31,940","31,836","32,504","32,020","32,728","32,821","32,696","32,773","32,796","33,197","33,657","33,713","33,893","34,152","34,247","34,589","34,183","34,380","34,469","34,666","35,380","35,354","35,363","35,734","35,889","35,878","35,880","35,819","35,998","36,677","35,747","35,892","35,752","35,932","35,456","35,328","35,293","35,686","35,790","35,965","36,342","36,223","36,340","36,290","36,821","37,042","36,949","37,842","36,185","36,363","36,486","36,461","36,754","36,958","37,125","37,470","37,767","37,947","38,165","38,397","38,710"
"62","40","  Population (midperiod, thousands)","B230RC0","201,955","202,419","202,986","203,584","204,086","204,721","205,419","206,130","206,763","207,362","208,000","208,642","209,142","209,637","210,181","210,737","211,192","211,663","212,191","212,708","213,144","213,602","214,147","214,700","215,135","215,652","216,289","216,848","217,314","217,776","218,338","218,917","219,427","219,956","220,573","221,201","221,719","222,281","222,933","223,583","224,152","224,737","225,418","226,117","226,754","227,389","228,070","228,689","229,155","229,674","230,301","230,903","231,395","231,906","232,498","233,074","233,546","234,028","234,603","235,153","235,605","236,082","236,657","237,232","237,673","238,176","238,789","239,387","239,861","240,368","240,962","241,539","242,009","242,520","243,120","243,721","244,208","244,716","245,354","245,966","246,460","247,017","247,698","248,374","248,936","249,711","250,595","251,482","252,258","253,063","253,965","254,835","255,585","256,439","257,386","258,277","259,039","259,826","260,714","261,547","262,250","263,020","263,870","264,678","265,388","266,142","267,000","267,820","268,487","269,251","270,128","270,991","271,709","272,487","273,391","274,246","274,950","275,703","276,564","277,400","278,103","278,864","279,751","280,592","281,304","282,002","282,769","283,518","284,169","284,838","285,584","286,311","286,935","287,574","288,303","289,007","289,609","290,253","290,974","291,669","292,237","292,875","293,603","294,334","294,957","295,588","296,340","297,086","297,736","298,408","299,180","299,946","300,609","301,284","302,062","302,829","303,494","304,160","304,902","305,616","306,237","306,866","307,573","308,285","308,901","309,472","310,105","310,751","311,287","311,829","312,468","313,090","313,616","314,146","314,780","315,418","315,912","316,433","317,085","317,755","318,301","318,866","319,544","320,222","320,771","321,337","322,015","322,693","323,242"
"63",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","41","    Disposable personal income, current dollars","A067RP1","4.9","9.9","14.2","8.0","8.9","9.5","10.6","4.2","12.4","10.9","6.2","7.4","6.2","6.6","11.8","20.7","8.0","11.4","9.4","13.3","5.2","7.7","11.7","10.0","7.0","25.9","1.6","10.2","9.5","5.6","9.4","9.0","7.3","12.5","12.8","14.3","9.9","12.9","10.4","11.2","12.4","7.6","12.4","12.0","14.1","3.9","15.1","19.2","9.1","6.7","15.7","7.1","5.7","6.3","8.7","6.4","7.1","6.7","11.9","11.8","13.2","11.0","8.9","5.9","3.9","11.6","1.8","7.6","8.1","4.9","5.0","3.2","7.8","-0.1","11.6","9.2","9.3","8.8","9.1","8.1","9.8","4.2","5.1","6.5","9.4","6.2","5.3","2.0","2.9","5.0","4.2","6.5","11.6","7.0","4.4","4.3","4.7","3.4","2.0","5.0","4.3","6.6","5.4","7.7","5.9","3.2","5.3","4.1","6.2","6.6","5.0","4.9","5.9","4.5","5.9","7.2","8.8","6.5","5.4","4.3","4.7","3.2","4.9","8.6","11.8","6.1","7.4","3.6","6.3","1.6","10.1","-4.6","10.9","5.2","1.5","3.8","4.0","6.3","9.3","3.3","6.1","7.0","4.5","8.5","-1.8","6.0","6.6","6.6","11.5","3.7","4.1","4.6","6.5","4.0","3.4","4.4","6.5","13.3","-5.1","-3.2","-3.0","4.7","-1.9","2.2","1.8","5.8","3.2","5.0","8.2","3.5","4.3","1.6","9.2","4.4","1.1","13.3","-14.7","3.1","3.9","2.0","5.6","5.2","3.9","4.2","1.9","4.9","4.5","3.7","4.4"
"65","42","    Disposable personal income, chained (2009) dollars","A067RL1","0.8","4.5","8.7","3.2","4.0","4.8","6.4","-1.0","8.3","6.0","2.1","4.7","1.9","4.1","7.9","16.8","2.9","3.2","1.7","4.5","-6.4","-3.7","0.4","-0.5","-0.6","19.9","-5.7","3.1","4.8","2.1","3.0","2.4","-0.1","5.1","6.3","8.0","2.9","4.0","2.9","3.2","4.3","-3.4","1.9","1.8","1.4","-5.7","5.0","8.1","-1.1","-0.1","8.4","0.8","0.5","2.3","2.2","1.8","3.5","2.9","6.2","8.9","8.4","6.8","5.6","3.3","-1.0","7.9","-1.3","4.7","5.1","5.4","2.9","0.7","3.3","-3.8","7.5","5.5","6.0","4.2","3.9","3.9","5.0","-1.2","2.8","3.3","3.4","2.4","0.1","-3.1","0.9","2.8","1.5","3.5","8.9","4.2","1.8","1.4","2.3","0.7","0.2","2.7","2.8","4.3","2.4","5.7","3.9","0.9","3.6","2.3","3.9","3.9","3.2","2.1","4.1","3.5","4.8","5.9","8.8","5.7","4.1","3.3","3.6","1.0","2.7","6.0","8.1","4.2","4.8","1.4","3.5","-0.4","9.8","-4.9","10.1","2.0","-0.5","1.9","1.1","5.9","6.7","1.6","2.9","4.0","2.1","5.1","-3.8","3.2","2.1","3.3","9.5","0.6","1.1","5.3","2.6","0.8","1.1","0.3","2.9","8.7","-8.9","2.6","-0.8","2.9","-4.3","-0.5","0.4","5.3","2.0","2.8","5.0","-0.6","2.1","0.2","6.7","3.1","-0.2","10.9","-15.9","2.7","2.2","0.6","4.0","3.0","2.7","4.7","3.9","2.6","3.2","3.3","4.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
