"","Table 1#5#5# Gross Domestic Product, Expanded Detail","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"36","18","      Transportation services","DTRSRC1","17,977.0","20,043.0","22,359.0","24,544.0","26,078.0","28,472.0","32,045.0","36,155.0","41,395.0","45,200.0","50,705.0","55,366.0","59,790.0","61,729.0","68,899.0","80,016.0","90,145.0","95,009.0","103,098.0","114,150.0","121,848.0","126,372.0","123,674.0","133,622.0","146,099.0","161,896.0","177,946.0","194,955.0","214,308.0","227,631.0","244,091.0","263,548.0","264,704.0","258,159.0","265,464.0","276,562.0","289,385.0","302,056.0","312,216.0","311,715.0","289,694.0","292,922.0","308,124.0","319,486.0","333,852.0","354,543.0","375,254.0"
"37","19","      Recreation services","DRCARC1","12,925.0","14,001.0","15,118.0","16,329.0","18,348.0","20,948.0","23,653.0","26,535.0","29,562.0","32,850.0","36,725.0","40,837.0","47,125.0","52,473.0","59,430.0","66,117.0","73,958.0","80,369.0","87,276.0","99,233.0","110,665.0","121,766.0","127,181.0","139,799.0","153,375.0","164,661.0","181,092.0","195,583.0","208,318.0","220,205.0","238,056.0","254,392.0","262,290.0","271,404.0","289,178.0","312,103.0","328,899.0","351,945.0","375,845.0","384,491.0","375,999.0","385,051.0","400,558.0","419,776.0","434,672.0","455,499.0","473,886.0"
"38","20","      Food services and accommodations","DFSARC1","37,461.0","41,624.0","43,797.0","48,886.0","54,832.0","60,614.0","68,821.0","77,801.0","85,665.0","97,104.0","110,921.0","121,721.0","133,915.0","142,508.0","153,550.0","164,916.0","174,300.0","186,687.0","204,379.0","225,847.0","242,597.0","262,735.0","273,394.0","286,313.0","298,407.0","308,298.0","316,137.0","326,558.0","343,428.0","361,836.0","380,330.0","408,782.0","419,663.0","436,311.0","461,897.0","496,424.0","530,642.0","566,252.0","595,634.0","612,466.0","600,334.0","617,711.0","649,504.0","685,129.0","710,233.0","750,880.0","807,080.0"
"39","21","      Financial services and insurance","DIFSRC1","28,502.0","31,073.0","34,139.0","38,339.0","41,501.0","45,906.0","54,018.0","59,262.0","67,792.0","80,634.0","87,631.0","95,609.0","102,006.0","116,335.0","145,888.0","156,571.0","188,094.0","199,804.0","205,301.0","219,809.0","238,375.0","247,390.0","266,788.0","295,090.0","332,586.0","346,875.0","366,379.0","392,349.0","429,244.0","467,277.0","509,124.0","566,284.0","552,822.0","562,584.0","588,472.0","635,347.0","689,633.0","724,208.0","768,491.0","771,483.0","718,956.0","763,238.0","795,799.0","789,303.0","837,741.0","882,745.0","921,178.0"
"40","22","      Other services","DOTSRC1","50,460.0","54,595.0","58,051.0","63,677.0","69,332.0","74,361.0","80,344.0","88,620.0","97,744.0","108,319.0","117,213.0","127,144.0","137,178.0","150,931.0","169,864.0","187,464.0","207,860.0","221,167.0","242,433.0","262,761.0","281,112.0","297,463.0","300,546.0","325,730.0","344,374.0","371,168.0","391,199.0","416,403.0","452,299.0","496,040.0","523,700.0","571,514.0","615,250.0","642,215.0","684,683.0","723,757.0","759,098.0","807,949.0","847,995.0","880,088.0","879,151.0","905,415.0","939,287.0","973,752.0","997,011.0","1,054,953.0","1,103,401.0"
"41","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1","9,443.0","10,474.0","11,704.0","12,814.0","13,755.0","15,497.0","17,013.0","18,982.0","20,635.0","23,018.0","26,120.0","30,033.0","34,140.0","37,964.0","40,756.0","45,383.0","47,907.0","52,610.0","55,697.0","63,293.0","68,037.0","75,861.0","80,127.0","87,934.0","90,065.0","97,762.0","102,328.0","110,044.0","105,588.0","123,807.0","138,229.0","158,041.0","179,082.0","198,342.0","205,512.0","206,372.0","210,268.0","239,185.0","248,780.0","282,144.0","276,017.0","275,350.0","274,999.0","292,870.0","303,913.0","322,346.0","337,717.0"
"42","24","      Gross output of nonprofit institutions \2\","DNPERC1","34,009.0","38,091.0","42,770.0","47,353.0","51,832.0","58,803.0","67,193.0","76,310.0","85,160.0","96,659.0","109,356.0","126,100.0","145,650.0","163,805.0","179,216.0","194,432.0","209,278.0","227,298.0","246,863.0","275,519.0","301,238.0","334,437.0","362,892.0","396,390.0","418,746.0","440,076.0","458,544.0","483,135.0","502,624.0","542,521.0","576,319.0","621,641.0","676,441.0","737,060.0","774,643.0","818,994.0","868,456.0","932,226.0","983,141.0","1,040,912.0","1,072,564.0","1,105,893.0","1,139,563.0","1,192,997.0","1,233,214.0","1,278,344.0","1,336,535.0"
"43","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1","24,566.0","27,617.0","31,066.0","34,539.0","38,077.0","43,306.0","50,180.0","57,328.0","64,525.0","73,641.0","83,236.0","96,067.0","111,510.0","125,841.0","138,460.0","149,049.0","161,371.0","174,688.0","191,166.0","212,226.0","233,201.0","258,576.0","282,765.0","308,456.0","328,681.0","342,314.0","356,216.0","373,091.0","397,036.0","418,714.0","438,090.0","463,600.0","497,359.0","538,718.0","569,131.0","612,622.0","658,188.0","693,041.0","734,361.0","758,768.0","796,547.0","830,543.0","864,564.0","900,127.0","929,301.0","955,998.0","998,818.0"
"44","26","Gross private domestic investment","A006RC1","173,560.0","170,050.0","196,827.0","228,145.0","266,930.0","274,527.0","257,253.0","323,222.0","396,612.0","478,377.0","539,656.0","530,098.0","631,230.0","581,031.0","637,516.0","820,093.0","829,649.0","849,144.0","892,177.0","936,964.0","999,701.0","993,453.0","944,344.0","1,013,014.0","1,106,829.0","1,256,483.0","1,317,478.0","1,432,057.0","1,595,606.0","1,735,330.0","1,884,195.0","2,033,750.0","1,928,638.0","1,924,988.0","2,027,947.0","2,276,678.0","2,527,109.0","2,680,649.0","2,643,745.0","2,424,810.0","1,878,116.0","2,100,812.0","2,239,879.0","2,511,703.0","2,665,023.0","2,860,019.0","3,020,625.0"
"45","27","  Fixed investment","A007RC1","164,387.0","168,049.0","188,571.0","219,038.0","251,052.0","260,537.0","263,509.0","306,106.0","374,288.0","452,586.0","521,672.0","536,429.0","601,421.0","595,945.0","643,267.0","754,688.0","807,825.0","842,573.0","865,028.0","918,482.0","972,008.0","978,906.0","944,738.0","996,686.0","1,086,015.0","1,192,699.0","1,286,305.0","1,401,257.0","1,524,666.0","1,671,611.0","1,823,379.0","1,979,205.0","1,966,921.0","1,906,487.0","2,008,661.0","2,212,818.0","2,467,530.0","2,613,677.0","2,609,293.0","2,456,806.0","2,025,686.0","2,039,284.0","2,198,116.0","2,449,910.0","2,593,231.0","2,782,892.0","2,911,387.0"
"46","28","    Nonresidential","A008RC1","120,012.0","124,638.0","130,418.0","146,639.0","172,730.0","191,069.0","196,776.0","219,344.0","259,059.0","314,576.0","373,831.0","406,909.0","472,939.0","485,097.0","482,154.0","564,324.0","607,748.0","607,761.0","615,238.0","662,282.0","715,993.0","739,237.0","723,585.0","741,945.0","799,206.0","868,852.0","962,237.0","1,043,196.0","1,149,081.0","1,252,804.0","1,361,613.0","1,493,773.0","1,453,876.0","1,348,893.0","1,371,717.0","1,463,147.0","1,611,470.0","1,776,288.0","1,920,615.0","1,940,954.0","1,633,443.0","1,658,221.0","1,812,077.0","2,007,661.0","2,084,309.0","2,233,692.0","2,301,866.0"
"47","29","      Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,768.0","207,271.0","224,582.0","250,265.0","275,129.0","283,945.0","318,140.0","329,747.0","282,903.0","281,830.0","301,805.0","345,645.0","415,586.0","496,929.0","552,387.0","438,211.0","362,041.0","381,644.0","447,986.0","462,079.0","506,992.0","497,150.0"
"48","30","      Equipment","Y033RC1","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","838,236.0","937,939.0","972,317.0","1,036,747.0","1,076,095.0"
"49","31","        Information processing equipment","Y034RC1","12,821.0","14,316.0","14,925.0","16,674.0","19,860.0","23,069.0","23,756.0","27,512.0","33,690.0","42,342.0","50,350.0","58,934.0","69,619.0","74,219.0","83,684.0","101,179.0","106,587.0","111,147.0","112,194.0","120,756.0","130,718.0","129,566.0","129,204.0","142,068.0","153,329.0","166,960.0","188,367.0","204,668.0","222,795.0","240,106.0","259,758.0","293,794.0","265,930.0","236,736.0","241,024.0","253,102.0","262,767.0","282,339.0","303,238.0","291,245.0","256,081.0","276,716.0","277,667.0","288,614.0","296,618.0","307,972.0","322,655.0"
"50","32","          Computers and peripheral equipment","B935RC1","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","78,269.0","81,472.0","79,999.0","86,402.0","87,725.0","83,792.0","76,777.0","81,283.0","76,367.0","79,697.0","82,114.0","79,266.0","77,827.0"
