"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"36","17","  Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","98,416.0","86,244.0","100,647.0","117,212.0","133,390.0","125,705.0","138,859.0","174,338.0","205,783.0","238,569.0","248,980.0","223,560.0","247,494.0","229,857.0","279,767.0","337,881.0","354,488.0","324,374.0","365,983.0","414,879.0","414,241.0","417,152.0","451,329.0","475,271.0","521,998.0","621,914.0","703,016.0","786,053.0","865,769.0","804,110.0","830,229.0","781,202.0","754,043.0","907,169.0","1,056,364.0","1,283,344.0","1,477,728.0","1,646,506.0","1,528,991.0","1,285,063.0","1,396,972.0","1,746,421.0","1,816,629.0","1,998,165.0","2,037,389.0","2,072,944.0","2,008,930.0"
"37","18","  Taxes on production and imports less subsidies \1\","W254RC1","79,322.0","86,636.0","95,818.0","101,292.0","111,990.0","121,595.0","130,798.0","141,263.0","152,564.0","161,962.0","171,570.0","190,530.0","224,171.0","225,916.0","241,977.0","268,708.0","286,773.0","298,478.0","317,263.0","344,962.0","371,439.0","397,997.0","429,603.0","453,288.0","466,444.0","512,725.0","523,091.0","545,520.0","577,805.0","603,105.0","628,376.0","662,716.0","668,968.0","721,212.0","758,947.0","817,554.0","873,620.0","940,478.0","979,978.0","989,359.0","967,798.0","1,001,249.0","1,042,561.0","1,074,019.0","1,118,635.0","1,155,808.0","1,177,331.0"
"38","19","  Contributions for government social insurance, domestic","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,575.0","1,106,809.0","1,158,959.0","1,204,007.0"
"39","20","  Net interest and miscellaneous payments on assets","W255RC1","33,584.0","40,467.0","45,228.0","49,288.0","57,247.0","73,493.0","85,867.0","89,907.0","105,888.0","118,771.0","141,022.0","186,184.0","238,362.0","277,469.0","291,756.0","336,078.0","348,039.0","365,200.0","369,505.0","394,738.0","442,661.0","450,058.0","408,505.0","383,721.0","371,362.0","365,948.0","376,494.0","381,850.0","414,687.0","477,843.0","487,959.0","564,984.0","566,442.0","490,536.0","466,176.0","403,490.0","496,762.0","580,945.0","663,444.0","693,400.0","563,393.0","489,398.0","488,061.0","527,730.0","513,547.0","532,281.0","523,807.0"
"40","21","  Business current transfer payments (net)","B029RC1","4,798.0","4,357.0","4,157.0","4,779.0","5,740.0","6,788.0","9,036.0","9,136.0","8,081.0","10,374.0","12,752.0","13,997.0","16,913.0","19,316.0","21,681.0","29,158.0","34,060.0","35,961.0","33,294.0","32,755.0","38,266.0","39,179.0","38,889.0","39,719.0","39,389.0","40,714.0","44,965.0","52,649.0","50,061.0","64,079.0","67,813.0","85,315.0","99,145.0","80,663.0","76,259.0","81,350.0","93,908.0","82,591.0","98,560.0","114,370.0","124,876.0","128,464.0","131,524.0","104,659.0","119,386.0","127,295.0","141,192.0"
"41","22","  Current surplus of government enterprises \1\","A108RC1","5.0","-1,199.0","-1,698.0","-1,156.0","-2,204.0","-2,683.0","-4,354.0","-2,706.0","-3,334.0","-2,847.0","-3,212.0","-5,051.0","-5,171.0","-3,794.0","-2,312.0","-1,375.0","1,307.0","1,963.0","2,167.0","5,040.0","6,672.0","3,233.0","7,839.0","9,929.0","10,771.0","11,829.0","15,618.0","16,890.0","17,454.0","16,262.0","16,170.0","10,728.0","5,162.0","6,993.0","3,889.0","-1,797.0","-6,397.0","-9,312.0","-16,441.0","-21,207.0","-20,630.0","-22,886.0","-24,512.0","-19,288.0","-18,787.0","-18,260.0","-16,524.0"
"42","23","Plus: Personal income receipts on assets","W210RC1","98,686.0","112,650.0","122,341.0","133,297.0","150,636.0","175,357.0","195,274.0","212,617.0","243,420.0","277,982.0","318,344.0","385,990.0","472,859.0","541,250.0","584,287.0","665,067.0","712,807.0","755,344.0","779,851.0","839,369.0","951,948.0","991,186.0","985,467.0","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,053.0","1,817,994.0","1,739,645.0","1,913,866.0","2,123,762.0","2,060,393.0","2,117,531.0","2,180,479.0"
"43","24","Plus: Personal current transfer receipts","A577RC1","62,304.0","74,663.0","88,108.0","97,920.0","112,568.0","133,294.0","169,978.0","184,337.0","194,572.0","209,890.0","235,559.0","280,128.0","318,984.0","355,465.0","384,295.0","400,636.0","425,372.0","451,555.0","468,141.0","497,460.0","544,241.0","596,867.0","668,143.0","748,037.0","792,989.0","828,963.0","883,455.0","929,203.0","954,864.0","983,910.0","1,026,174.0","1,087,310.0","1,192,598.0","1,284,680.0","1,347,323.0","1,421,329.0","1,516,731.0","1,614,590.0","1,728,087.0","1,956,576.0","2,147,534.0","2,324,690.0","2,360,461.0","2,366,338.0","2,426,637.0","2,529,172.0","2,662,705.0"
"44","25","Equals: Personal income","A065RC1","800,258.0","864,598.0","932,137.0","1,023,574.0","1,138,525.0","1,249,341.0","1,366,884.0","1,498,451.0","1,654,571.0","1,859,721.0","2,078,195.0","2,317,464.0","2,596,506.0","2,779,472.0","2,970,275.0","3,281,770.0","3,516,329.0","3,725,688.0","3,955,860.0","4,276,349.0","4,619,874.0","4,906,423.0","5,073,390.0","5,413,049.0","5,648,990.0","5,937,283.0","6,280,973.0","6,667,027.0","7,080,668.0","7,593,685.0","7,988,413.0","8,637,061.0","8,991,584.0","9,153,855.0","9,491,109.0","10,052,896.0","10,614,037.0","11,393,944.0","12,000,178.0","12,502,228.0","12,094,789.0","12,477,120.0","13,254,522.0","13,915,118.0","14,068,385.0","14,694,185.0","15,350,667.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Gross domestic income (GDI)","A261RC1","1,018,268.0","1,070,539.0","1,158,287.0","1,275,315.0","1,422,441.0","1,541,417.0","1,675,681.0","1,857,129.0","2,066,695.0","2,333,421.0","2,587,355.0","2,818,574.0","3,174,243.0","3,338,218.0","3,583,975.0","4,002,031.0","4,295,477.0","4,513,409.0","4,829,662.0","5,253,102.0","5,593,515.0","5,888,232.0","6,085,664.0","6,428,396.0","6,726,384.0","7,171,936.0","7,573,501.0","8,043,632.0","8,596,223.0","9,149,317.0","9,698,129.0","10,384,252.0","10,736,809.0","11,050,292.0","11,524,294.0","12,283,513.0","13,129,207.0","14,073,170.0","14,460,142.0","14,619,183.0","14,343,412.0","14,915,164.0","15,556,259.0","16,358,511.0","16,840,801.0","17,560,109.0","18,153,938.0"
"47","27","  Average of GDP and GDI \2\","LA0000091","1,019,073.0","1,073,212.0","1,163,029.0","1,278,882.0","1,425,495.0","1,545,121.0","1,682,302.0","1,867,358.0","2,076,323.0","2,344,996.0","2,609,749.0","2,840,540.0","3,192,600.0","3,341,605.0","3,611,056.0","4,021,362.0","4,321,106.0","4,551,782.0","4,849,940.0","5,252,866.0","5,625,604.0","5,933,911.0","6,129,854.0","6,483,848.0","6,802,551.0","7,240,346.0","7,618,781.0","8,071,917.0","8,602,369.0","9,119,243.0","9,679,377.0","10,334,516.0","10,679,317.0","11,013,903.0","11,517,482.0","12,279,221.0","13,111,467.0","13,964,529.0","14,468,889.0","14,668,883.0","14,381,076.0","14,939,768.0","15,537,093.0","16,256,883.0","16,751,980.0","17,454,090.0","18,050,459.0"
"48","28","  Gross national income","A023RC1","1,024,383.0","1,076,932.0","1,165,881.0","1,283,873.0","1,435,060.0","1,556,937.0","1,688,685.0","1,873,976.0","2,086,987.0","2,355,002.0","2,619,286.0","2,852,759.0","3,207,178.0","3,374,728.0","3,621,060.0","4,038,321.0","4,320,842.0","4,530,366.0","4,847,150.0","5,275,759.0","5,618,304.0","5,922,924.0","6,117,250.0","6,459,473.0","6,758,382.0","7,195,801.0","7,602,259.0","8,075,414.0","8,620,325.0","9,167,551.0","9,725,260.0","10,421,259.0","10,788,612.0","11,098,891.0","11,591,408.0","12,372,645.0","13,221,776.0","14,140,770.0","14,585,723.0","14,791,194.0","14,494,460.0","15,121,133.0","15,802,898.0","16,596,084.0","17,091,162.0","17,823,218.0","18,367,538.0"
"49","29","  Gross national factor income \3\","X023RC1","940,258.0","987,138.0","1,067,604.0","1,178,958.0","1,319,534.0","1,431,237.0","1,553,205.0","1,726,283.0","1,929,676.0","2,185,513.0","2,438,176.0","2,653,283.0","2,971,265.0","3,133,290.0","3,359,714.0","3,741,830.0","3,998,702.0","4,193,964.0","4,494,426.0","4,893,002.0","5,201,927.0","5,482,515.0","5,640,919.0","5,956,537.0","6,241,778.0","6,630,533.0","7,018,585.0","7,460,355.0","7,975,005.0","8,484,105.0","9,012,901.0","9,662,500.0","10,015,337.0","10,290,023.0","10,752,313.0","11,475,538.0","12,260,645.0","13,127,013.0","13,523,626.0","13,708,672.0","13,422,416.0","14,014,306.0","14,653,325.0","15,436,694.0","15,871,928.0","16,558,374.0","17,065,539.0"
