"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"35","17","      Recreational books (part of 90)","DRBKRX1","24,034.0","25,901.0","25,946.0","26,379.0","27,218.0","27,526.0","27,746.0","28,120.0","27,796.0","27,424.0","26,424.0","27,400.0","28,042.0","28,655.0","28,915.0","29,632.0"
"36","18","      Musical instruments (part of 80)","DMSCRX1","3,847.0","4,660.0","4,795.0","5,039.0","4,970.0","5,295.0","5,294.0","5,503.0","5,514.0","5,188.0","4,572.0","4,571.0","4,771.0","4,988.0","4,933.0","5,119.0"
"37","19","    Other durable goods","DODGRX1","105,980.0","115,397.0","112,918.0","119,881.0","131,131.0","142,773.0","153,326.0","164,427.0","172,196.0","166,497.0","158,174.0","164,876.0","173,942.0","180,457.0","186,576.0","192,934.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRX1","49,385.0","53,599.0","51,908.0","55,065.0","60,298.0","65,339.0","70,039.0","73,484.0","73,189.0","66,517.0","60,257.0","61,215.0","62,525.0","64,419.0","65,748.0","68,858.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERX1","33,992.0","36,053.0","34,994.0","37,338.0","39,893.0","42,766.0","45,739.0","48,566.0","52,654.0","53,036.0","52,671.0","55,966.0","58,878.0","60,217.0","61,613.0","63,192.0"
"40","22","      Educational books (96)","DEBKRX1","15,772.0","15,571.0","15,031.0","14,729.0","14,159.0","13,562.0","12,886.0","11,986.0","10,804.0","10,124.0","9,192.0","8,988.0","8,573.0","8,075.0","7,682.0","7,533.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRX1","11,156.0","13,091.0","12,648.0","13,456.0","15,269.0","17,492.0","19,654.0","22,021.0","23,885.0","24,061.0","23,343.0","25,516.0","29,607.0","31,928.0","34,350.0","33,801.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERX1","2,018.0","2,564.0","3,025.0","3,548.0","4,817.0","6,139.0","7,098.0","9,540.0","12,010.0","12,803.0","12,712.0","13,234.0","14,692.0","16,480.0","18,351.0","21,113.0"
"43","25","  Nondurable goods","DNDGRX1","1,805,974.0","1,863,598.0","1,896,024.0","1,931,107.0","1,998,542.0","2,063,650.0","2,132,331.0","2,202,167.0","2,239,326.0","2,214,659.0","2,175,126.0","2,223,535.0","2,263,186.0","2,277,548.0","2,319,834.0","2,367,796.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARX1","668,124.0","684,549.0","693,975.0","697,031.0","713,257.0","729,766.0","757,613.0","780,821.0","791,281.0","781,866.0","769,958.0","786,471.0","795,145.0","795,662.0","803,439.0","807,533.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX1","580,868.0","591,339.0","597,417.0","598,825.0","615,173.0","629,887.0","655,296.0","673,595.0","682,409.0","673,718.0","663,426.0","673,999.0","679,049.0","675,830.0","683,737.0","686,121.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX1","87,062.0","92,879.0","96,181.0","97,737.0","97,780.0","99,563.0","102,005.0","106,768.0","108,520.0","107,773.0","106,138.0","112,123.0","115,864.0","119,772.0","119,268.0","121,071.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRX1","433.0","372.0","314.0","346.0","296.0","327.0","367.0","450.0","356.0","378.0","394.0","350.0","288.0","286.0","515.0","496.0"
"48","30","    Clothing and footwear","DCLORX1","243,190.0","254,958.0","257,369.0","265,228.0","278,318.0","291,162.0","306,770.0","317,445.0","323,901.0","322,312.0","306,499.0","322,664.0","335,293.0","338,867.0","343,461.0","348,411.0"
"49","31","      Garments","DGARRX1","193,812.0","203,219.0","205,428.0","212,383.0","222,747.0","232,830.0","245,574.0","252,655.0","256,617.0","256,081.0","244,349.0","258,093.0","267,232.0","269,047.0","272,516.0","276,400.0"
"50","32","        Women's and girls' clothing (10)","DWGCRX1","110,947.0","118,048.0","119,770.0","124,422.0","130,769.0","137,524.0","146,003.0","150,041.0","152,667.0","152,958.0","145,820.0","154,196.0","159,630.0","162,131.0","164,142.0","166,139.0"
"51","33","        Men's and boys' clothing (11)","DMBCRX1","73,354.0","75,212.0","75,199.0","76,931.0","79,765.0","81,740.0","84,453.0","86,262.0","86,245.0","85,150.0","81,471.0","86,141.0","89,019.0","88,890.0","89,851.0","91,757.0"
"52","34","        Children's and infants' clothing (12)","DCICRX1","9,553.0","10,025.0","10,528.0","11,095.0","12,262.0","13,599.0","15,147.0","16,378.0","17,715.0","17,974.0","17,058.0","17,757.0","18,585.0","18,025.0","18,528.0","18,492.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRX1","49,416.0","51,775.0","51,935.0","52,756.0","55,489.0","58,267.0","61,106.0","64,768.0","67,313.0","66,237.0","62,149.0","64,580.0","68,058.0","69,816.0","70,941.0","72,006.0"
"54","36","    Gasoline and other energy goods","DGOERX1","302,321.0","294,435.0","294,152.0","296,443.0","296,758.0","299,290.0","297,997.0","297,429.0","296,838.0","283,403.0","284,500.0","282,220.0","274,345.0","270,012.0","274,727.0","276,766.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX1","270,280.0","265,791.0","265,666.0","267,088.0","267,168.0","270,871.0","273,001.0","273,979.0","273,161.0","262,410.0","260,229.0","259,852.0","254,727.0","252,456.0","256,274.0","257,653.0"
"56","38","      Fuel oil and other fuels (29)","DFULRX1","33,472.0","29,394.0","29,213.0","30,207.0","30,482.0","29,068.0","25,214.0","23,553.0","23,803.0","21,107.0","24,271.0","22,359.0","19,594.0","17,507.0","18,413.0","19,068.0"
"57","39","    Other nondurable goods","DONGRX1","605,825.0","636,117.0","656,047.0","675,748.0","709,548.0","740,594.0","765,910.0","803,343.0","825,151.0","828,317.0","814,169.0","832,974.0","863,208.0","880,669.0","906,253.0","944,987.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRX1","192,569.0","210,711.0","229,041.0","242,646.0","259,517.0","270,842.0","276,699.0","295,762.0","309,714.0","315,001.0","320,866.0","322,427.0","329,398.0","333,766.0","349,732.0","373,741.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRX1","78,047.0","84,277.0","87,654.0","93,126.0","98,421.0","103,828.0","113,618.0","120,665.0","127,022.0","127,747.0","123,833.0","131,994.0","140,346.0","148,253.0","156,465.0","168,602.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURX1","87,800.0","88,591.0","89,128.0","91,210.0","97,589.0","102,187.0","106,075.0","109,234.0","110,985.0","110,150.0","105,169.0","109,494.0","114,360.0","116,799.0","121,293.0","125,210.0"
"61","43","      Personal care products (part of 118)","DOPCRX1","68,657.0","72,030.0","73,976.0","76,309.0","81,642.0","87,090.0","92,379.0","97,640.0","101,432.0","103,198.0","100,088.0","105,751.0","112,025.0","115,108.0","118,986.0","122,264.0"
"62","44","      Tobacco (127)","DTOBRX1","121,383.0","118,491.0","116,334.0","110,693.0","109,366.0","112,189.0","111,021.0","113,426.0","110,689.0","106,849.0","99,520.0","95,836.0","94,429.0","92,746.0","87,963.0","83,785.0"
"63","45","      Magazines, newspapers, and stationery (part of 90)","DNEWRX1","62,752.0","65,066.0","62,541.0","61,518.0","61,603.0","63,123.0","63,368.0","63,602.0","61,326.0","60,724.0","58,174.0","62,283.0","67,071.0","69,522.0","69,809.0","71,010.0"
"64","46","      Net expenditures abroad by U.S. residents (131)","DNFRRX1","6,252.0","7,233.0","7,726.0","8,330.0","7,519.0","6,653.0","5,964.0","5,631.0","5,247.0","5,124.0","6,519.0","5,743.0","7,084.0","7,027.0","5,808.0","5,600.0"
"65","47","Services","DSERRX1","5,331,616.0","5,599,291.0","5,730,960.0","5,838,171.0","5,966,894.0","6,156,565.0","6,353,416.0","6,526,598.0","6,656,427.0","6,708,594.0","6,648,525.0","6,727,642.0","6,851,401.0","6,908,120.0","6,977,030.0","7,144,607.0"
"66","48","  Household consumption expenditures (for services)","DHCERX1","5,192,523.0","5,446,959.0","5,562,791.0","5,648,037.0","5,762,973.0","5,949,126.0","6,147,337.0","6,291,789.0","6,415,226.0","6,435,098.0","6,372,509.0","6,449,344.0","6,575,943.0","6,614,321.0","6,677,914.0","6,839,494.0"
"67","49","    Housing and utilities","DHUTRX1","1,550,457.0","1,600,525.0","1,643,038.0","1,653,822.0","1,675,982.0","1,717,906.0","1,788,366.0","1,823,187.0","1,840,778.0","1,860,103.0","1,880,993.0","1,904,255.0","1,927,997.0","1,929,149.0","1,938,832.0","1,961,175.0"
"68","50","      Housing","DHSGRX1","1,278,014.0","1,320,482.0","1,364,684.0","1,369,915.0","1,387,685.0","1,428,441.0","1,493,593.0","1,533,637.0","1,547,242.0","1,571,134.0","1,591,571.0","1,608,746.0","1,637,251.0","1,646,563.0","1,651,646.0","1,674,080.0"
"69","51","        Rental of tenant-occupied nonfarm housing (20)","DTENRX1","303,605.0","306,394.0","312,150.0","309,860.0","300,298.0","301,553.0","306,832.0","316,593.0","334,643.0","343,922.0","359,679.0","372,122.0","395,065.0","399,645.0","395,159.0","405,742.0"
"70","52","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX1","956,125.0","993,032.0","1,031,359.0","1,038,855.0","1,065,493.0","1,104,749.0","1,164,320.0","1,194,594.0","1,190,394.0","1,205,093.0","1,209,860.0","1,214,643.0","1,220,087.0","1,226,259.0","1,235,963.0","1,247,779.0"
"71","53","        Rental value of farm dwellings (22)","DFARRX1","17,936.0","20,962.0","20,821.0","20,809.0","20,963.0","20,861.0","20,877.0","20,869.0","20,845.0","20,792.0","20,713.0","20,638.0","20,623.0","19,048.0","18,974.0","18,893.0"
"72","54","        Group housing (23)","DGRHRX1","1,265.0","1,256.0","1,204.0","1,094.0","1,138.0","1,141.0","1,143.0","1,191.0","1,280.0","1,296.0","1,319.0","1,341.0","1,430.0","1,609.0","1,646.0","1,706.0"
"73","55","      Household utilities","DUTLRX1","274,311.0","281,783.0","279,025.0","285,101.0","289,597.0","290,059.0","294,878.0","289,380.0","293,372.0","288,923.0","289,422.0","295,494.0","290,850.0","282,728.0","287,339.0","287,275.0"
"74","56","        Water supply and sanitation (25)","DWRSRX1","75,937.0","76,702.0","77,418.0","78,187.0","78,179.0","76,563.0","75,882.0","77,307.0","76,407.0","76,260.0","74,289.0","73,361.0","72,386.0","70,454.0","68,928.0","67,734.0"
"75","57","        Electricity and gas","DELGRX1","198,479.0","205,185.0","201,789.0","207,059.0","211,532.0","213,550.0","218,958.0","212,281.0","216,994.0","212,784.0","215,133.0","222,216.0","218,530.0","212,324.0","219,044.0","220,437.0"
"76","58","          Electricity (27)","DELCRX1","142,644.0","147,544.0","144,794.0","151,501.0","154,041.0","157,036.0","164,161.0","160,257.0","162,590.0","160,175.0","157,008.0","166,504.0","163,705.0","160,368.0","162,678.0","162,879.0"
"77","59","          Natural gas (28)","DGHERX1","55,171.0","56,952.0","56,291.0","55,024.0","56,888.0","56,184.0","55,258.0","52,760.0","54,899.0","53,255.0","58,125.0","55,666.0","54,781.0","51,746.0","56,629.0","57,939.0"
"78","60","    Health care","DHLCRX1","1,178,313.0","1,218,812.0","1,279,578.0","1,355,577.0","1,392,522.0","1,442,266.0","1,490,444.0","1,525,245.0","1,563,233.0","1,598,825.0","1,627,380.0","1,649,189.0","1,690,339.0","1,726,972.0","1,743,871.0","1,791,602.0"
"79","61","      Outpatient services","DOUTRX1","516,506.0","540,882.0","571,505.0","609,847.0","638,902.0","668,251.0","691,311.0","708,073.0","721,317.0","742,214.0","744,742.0","751,418.0","770,049.0","788,171.0","798,379.0","819,308.0"
"80","62","        Physician services (44)","DPHYRX1","254,139.0","269,993.0","285,491.0","308,785.0","329,038.0","347,750.0","363,008.0","375,442.0","378,474.0","392,989.0","392,838.0","393,180.0","402,223.0","410,599.0","414,374.0","425,340.0"
"81","63","        Dental services (45)","DDENRX1","91,796.0","95,422.0","100,000.0","104,353.0","103,233.0","105,288.0","105,256.0","104,181.0","105,020.0","105,006.0","102,080.0","101,693.0","101,542.0","100,868.0","99,063.0","100,375.0"
"82","64","        Paramedical services (46)","DPMSRX1","173,145.0","177,824.0","188,352.0","198,687.0","207,725.0","215,972.0","223,435.0","228,581.0","237,921.0","244,243.0","249,824.0","256,565.0","266,363.0","276,905.0","285,336.0","294,090.0"
"83","65","      Hospital and nursing home services","DHPNRX1","664,975.0","680,253.0","710,010.0","747,243.0","754,019.0","774,010.0","799,093.0","817,113.0","841,930.0","856,569.0","882,638.0","897,762.0","920,280.0","938,817.0","945,581.0","972,351.0"
"84","66","        Hospitals (51)","DHSPRX1","539,707.0","554,870.0","584,340.0","619,857.0","621,823.0","639,792.0","661,363.0","677,462.0","698,216.0","711,025.0","736,583.0","748,414.0","768,502.0","786,208.0","792,167.0","814,468.0"
"85","67","        Nursing homes (52)","DNRSRX1","125,307.0","125,350.0","125,654.0","127,468.0","132,247.0","134,260.0","137,764.0","139,665.0","143,725.0","145,551.0","146,055.0","149,353.0","151,771.0","152,574.0","153,372.0","157,844.0"
"86","68","    Transportation services","DTRSRX1","317,464.0","332,782.0","330,532.0","320,820.0","322,948.0","331,523.0","334,702.0","335,529.0","339,008.0","321,283.0","289,695.0","287,109.0","294,129.0","299,196.0","308,699.0","323,852.0"
"87","69","      Motor vehicle services","DMVSRX1","240,544.0","249,329.0","248,381.0","238,213.0","238,040.0","242,377.0","247,594.0","249,174.0","251,243.0","238,550.0","210,421.0","210,581.0","218,477.0","222,068.0","229,434.0","241,545.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRX1","169,713.0","174,815.0","177,456.0","175,021.0","178,457.0","180,482.0","182,370.0","177,528.0","177,204.0","165,401.0","149,221.0","149,497.0","155,477.0","156,039.0","157,317.0","162,245.0"
"89","71","        Other motor vehicle services (61)","DOVSRX1","69,802.0","73,292.0","70,152.0","63,019.0","59,718.0","61,967.0","65,237.0","71,600.0","74,017.0","73,217.0","61,200.0","61,081.0","62,975.0","66,166.0","72,660.0","80,285.0"
"90","72","      Public transportation","DPUBRX1","77,436.0","83,592.0","82,374.0","82,710.0","85,005.0","89,224.0","87,260.0","86,554.0","87,940.0","82,925.0","79,274.0","76,579.0","75,900.0","77,362.0","79,543.0","82,703.0"
"91","73","        Ground transportation (63)","DGRDRX1","31,014.0","32,461.0","34,061.0","32,946.0","32,154.0","33,775.0","34,443.0","36,040.0","36,480.0","36,234.0","34,538.0","34,123.0","34,882.0","35,698.0","36,151.0","37,383.0"
"92","74","        Air transportation (64)","DAITRX1","45,281.0","49,385.0","46,756.0","47,914.0","50,559.0","52,965.0","50,367.0","48,054.0","48,847.0","44,153.0","42,196.0","39,774.0","38,247.0","38,597.0","40,137.0","41,864.0"
"93","75","        Water transportation (65)","DWATRX1","1,309.0","1,557.0","1,786.0","1,858.0","2,087.0","2,249.0","2,255.0","2,349.0","2,477.0","2,545.0","2,539.0","2,699.0","2,849.0","3,206.0","3,387.0","3,600.0"
"94","76","    Recreation services","DRCARX1","316,826.0","325,956.0","325,423.0","327,300.0","338,353.0","355,787.0","364,675.0","377,427.0","392,074.0","388,972.0","376,000.0","380,956.0","389,590.0","397,399.0","404,537.0","416,154.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1","117,708.0","118,420.0","117,023.0","117,767.0","120,896.0","125,477.0","130,734.0","136,102.0","142,413.0","142,010.0","137,924.0","141,255.0","147,856.0","150,651.0","153,778.0","158,959.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1","84,528.0","88,012.0","88,858.0","86,240.0","86,970.0","90,626.0","89,072.0","89,440.0","93,169.0","94,460.0","93,555.0","95,122.0","96,274.0","97,828.0","98,627.0","99,290.0"
"97","79","      Gambling (91)","DGAMRX1","80,261.0","84,166.0","84,813.0","88,323.0","94,728.0","102,331.0","106,005.0","111,388.0","113,783.0","109,796.0","105,010.0","103,847.0","104,789.0","106,773.0","108,761.0","111,741.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1","34,330.0","35,249.0","34,516.0","34,772.0","35,554.0","37,135.0","38,743.0","40,411.0","42,660.0","42,711.0","39,511.0","40,740.0","40,769.0","42,231.0","43,468.0","46,281.0"
"99","81","    Food services and accommodations","DFSARX1","511,361.0","534,650.0","533,653.0","541,717.0","561,600.0","584,207.0","605,102.0","624,667.0","632,592.0","626,109.0","600,334.0","609,606.0","625,260.0","641,459.0","651,467.0","671,078.0"
"100","82","      Food services","DFSERX1","450,339.0","470,196.0","473,866.0","480,673.0","496,728.0","514,894.0","529,470.0","544,539.0","550,410.0","541,889.0","517,914.0","525,172.0","538,031.0","549,433.0","556,728.0","573,831.0"
"101","83","        Purchased meals and beverages (102)","DPMBRX1","438,747.0","458,455.0","461,973.0","468,652.0","484,231.0","501,960.0","515,414.0","528,952.0","534,455.0","526,250.0","502,315.0","510,269.0","522,214.0","533,768.0","541,367.0","558,326.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORX1","11,584.0","11,739.0","11,890.0","12,018.0","12,494.0","12,931.0","14,053.0","15,586.0","15,953.0","15,637.0","15,599.0","14,909.0","15,814.0","15,673.0","15,383.0","15,539.0"
"103","85","      Accommodations (104)","DACCRX1","61,706.0","65,105.0","60,896.0","62,140.0","65,902.0","70,249.0","76,266.0","80,587.0","82,537.0","84,291.0","82,420.0","84,434.0","87,229.0","92,028.0","94,754.0","97,260.0"
"104","86","    Financial services and insurance","DIFSRX1","598,668.0","659,236.0","645,974.0","641,679.0","643,080.0","668,733.0","704,086.0","720,065.0","742,536.0","737,423.0","718,955.0","733,929.0","747,155.0","706,390.0","713,940.0","722,857.0"
"105","87","      Financial services","DFNLRX1","340,772.0","385,568.0","371,757.0","372,551.0","371,807.0","389,890.0","408,537.0","424,953.0","442,788.0","445,544.0","452,240.0","453,241.0","457,143.0","437,586.0","438,748.0","442,796.0"
"106","88","        Financial services furnished without payment (107)","DIMPRX1","187,549.0","195,259.0","188,372.0","184,941.0","182,584.0","193,978.0","201,831.0","199,625.0","207,447.0","211,659.0","229,379.0","235,482.0","241,169.0","226,429.0","232,578.0","242,332.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRX1","153,092.0","189,723.0","182,820.0","187,313.0","189,096.0","195,554.0","206,461.0","226,199.0","236,312.0","234,579.0","222,861.0","217,688.0","215,841.0","211,073.0","206,073.0","200,474.0"
"108","90","      Insurance","DINSRX1","262,581.0","275,917.0","277,792.0","272,060.0","274,459.0","281,717.0","298,821.0","297,580.0","301,699.0","293,063.0","266,715.0","280,737.0","290,092.0","268,750.0","275,372.0","280,397.0"
"109","91","        Life insurance (110)","DLIFRX1","79,908.0","84,993.0","80,742.0","71,233.0","70,461.0","80,457.0","84,958.0","88,011.0","88,831.0","88,805.0","80,020.0","85,773.0","90,225.0","80,741.0","85,189.0","83,097.0"
"110","92","        Net household insurance (111)","DFINRX1","6,197.0","6,174.0","6,146.0","5,877.0","6,103.0","6,617.0","6,730.0","6,487.0","7,744.0","8,293.0","7,340.0","7,395.0","7,957.0","7,842.0","8,295.0","8,787.0"
"111","93","        Net health insurance (112)","DHINRX1","122,740.0","130,993.0","136,393.0","141,809.0","145,111.0","138,122.0","147,341.0","143,645.0","140,456.0","132,048.0","119,390.0","130,227.0","135,954.0","126,171.0","128,054.0","133,669.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1","53,741.0","53,989.0","54,912.0","54,019.0","53,869.0","56,906.0","60,246.0","59,730.0","64,787.0","63,912.0","59,966.0","57,317.0","55,951.0","53,866.0","53,804.0","54,751.0"
"113","95","    Other services","DOTSRX1","719,665.0","770,591.0","804,408.0","808,726.0","831,251.0","850,815.0","860,530.0","886,194.0","904,678.0","902,244.0","879,152.0","884,257.0","901,168.0","914,831.0","917,406.0","954,074.0"
"114","96","      Communication","DCOMRX1","130,000.0","148,854.0","156,788.0","159,277.0","163,635.0","171,940.0","178,902.0","191,338.0","210,646.0","221,555.0","217,855.0","227,029.0","243,200.0","253,013.0","258,091.0","273,149.0"
"115","97","        Telecommunication services (71)","DTCSRX1","113,688.0","126,381.0","133,719.0","133,444.0","133,582.0","138,388.0","144,783.0","151,505.0","153,350.0","156,101.0","149,587.0","153,243.0","161,058.0","161,753.0","161,202.0","170,254.0"
"116","98","        Postal and delivery services (68)","DPSSRX1","14,107.0","14,012.0","13,094.0","12,161.0","11,963.0","12,162.0","12,315.0","13,003.0","12,919.0","13,289.0","12,008.0","11,218.0","9,847.0","9,101.0","8,618.0","8,529.0"
"117","99","        Internet access (72)","DINTRX1","7,739.0","13,061.0","14,231.0","16,959.0","20,402.0","23,183.0","23,749.0","28,131.0","44,245.0","52,118.0","56,260.0","62,576.0","72,402.0","82,298.0","88,437.0","94,654.0"
