"","Table 7#20# Chain-Type Quantity and Price Indexes for Personal C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","Clothing, accessories, and jewelry","11","A496RA",15.04,13.58,12.9,11.28,10.03,10.67,11.61,12.68,12.79,12.92,13.85,14.41,15.66,16.41,18.19,17.68,18.49,19.38,18.57,18.71,18.66,19.08,18.99,20.02,20.26,20.42,21.4,21.92,21.81,21.96,22.97,23.12,23.47,24.45,24.9,26.74,28.03,30.08,30.41,31.69,32.14,31.7,32.92,35.01,37.59,37.21,38.45,40.61,42.84,46.64,48.34,48.65,51.07,51.54,55.63,60.27,63.34,68.8,71.08,73.88,77.57,77.48,76.35,80.56,84.47,89.16,93.88,100,104.64,112.5,121.47,128.53,130.77
"20","  Shoes (n.d.)","12","BSHURA",24.9,21.67,22.1,22.34,20.13,22.4,22.03,24.24,25.81,25.59,25.28,25.75,27.76,29.32,27.66,26.76,29.32,32.73,29.88,28.97,29.63,31.31,27.87,27.94,28.32,27.8,29.97,29.83,29.3,30.87,31.38,31.41,31.47,32.36,32.36,34.84,35.55,37.27,37.63,39.75,41.28,39.14,39.68,42,44.68,42.31,42.47,43.67,46.07,51.3,54.25,54.97,58.5,56.91,60.34,63.49,66.95,72.18,74.85,76.37,81.17,82.53,80.26,82.39,84.94,90.34,94.73,100,103.41,110.57,119.42,125.68,128.46
"21","  Clothing and accessories except shoes \2\","13","A497RA",13.66,12.37,12.1,10.43,9.34,9.75,10.77,11.7,11.41,11.63,12.79,13.22,13.85,13.78,15,14.47,14.83,15.87,15.47,15.77,15.74,15.99,16.18,17.39,17.66,17.84,18.66,19.25,19.16,19.19,20.3,20.52,20.97,21.98,22.45,24.24,25.33,27.06,27.17,28.24,28.67,28.55,30.15,32.27,34.56,34.32,35.67,37.48,39.51,43.36,45.57,46.75,49.6,50.79,54.68,59.66,62.38,67.4,69.8,72.01,76.06,75.24,75.89,80.46,84.41,89.4,94.42,100,105.32,112.63,120.94,127.71,131.01
"22","    Women's and children's (n.d.)","14","BWCLRA",11.91,10.96,10.75,9.15,7.93,8.27,9.27,9.75,9.43,9.9,10.97,11.45,11.78,12.06,13.76,13.2,13.32,14.02,13.68,14.02,13.89,13.91,14.09,15.47,15.89,16,16.77,17.32,17.44,17.67,18.67,18.96,19.46,20.57,21.13,22.78,23.71,25.24,24.94,25.93,26.35,26.41,28.08,29.65,31.73,31.69,33.06,34.88,36.71,40.57,42.86,44.32,47.63,49.42,53.77,59.25,62.3,68.16,70.13,72.05,76.35,74.83,75.49,80.3,84.19,88.55,93.94,100,105.36,113.19,122.53,129.99,132.86
"23","    Men's and boys' (n.d.)","15","AMCLRA",17.43,15.38,14.97,13.16,12.42,12.96,14.01,15.99,15.77,15.38,16.73,17.02,18.35,17.42,17.42,16.99,18,19.87,19.33,19.51,19.76,20.57,20.77,21.54,21.44,21.77,22.72,23.39,22.8,22.34,23.71,23.75,24.07,24.84,25.11,27.18,28.6,30.76,31.79,33.04,33.45,32.95,34.38,37.7,40.43,39.74,41.03,42.79,45.25,49.03,51.05,51.63,53.49,53.45,56.42,60.44,62.49,65.87,69.11,71.9,75.46,75.96,76.6,80.72,84.78,90.97,95.29,100,105.26,111.64,118.17,123.77,127.77
"24","  Standard clothing issued to military personnel (n.d)","16","BMICRA",17.48,16.65,15.82,20.39,21.23,11.24,15.82,20.39,20.39,22.06,28.3,50.36,323.4,829.92,1295.66,1295.24,1318.14,395.4,214.76,174.81,207.27,261.8,362.94,236.82,151.08,74.92,49.11,57.02,54.52,53.69,47.62,44.46,51.05,63.75,58.88,58.34,68.62,146.51,168.5,173.16,142.23,127.62,91.83,53.51,64.19,65.64,75.07,74.66,72.15,67.46,79.48,80.68,66.1,70.46,79.15,71.54,60.22,65,64.58,65.1,67.45,58.05,66.03,98.64,105.21,103.9,105.44,100,113.57,111.98,103.24,113.6,120.93
"25","  Cleaning, storage, and repair of clothing and shoes (s.)","17","B478RA",93.23,86.01,73.55,58.6,53.37,58.37,64.05,72.62,77.43,75.37,76.28,82.63,94.09,100.7,118.44,121.88,132.2,155.27,156.7,156.55,151.82,150.49,148.12,152.11,154.39,155.84,156.38,156.19,153.84,149.43,150.46,148.07,147.22,147.92,147.37,152.47,156.93,157.48,156.1,157.63,156.43,149.81,139.85,141.88,133.8,121.23,114.24,110.07,108.71,104.79,97.43,89.69,82.26,75.97,78.24,81.52,82.07,83.68,87.6,96.48,101.76,104.75,97.84,97.14,95.02,94.14,97.65,100,101.14,104.56,108.58,112.29,108.21
"26","  Jewelry and watches (d.)","18","BJRYRA",5.25,4.85,3.11,2.55,1.74,2.07,2.53,2.71,3.51,3.64,3.87,4.2,4.97,5.35,6.75,6.37,7.34,9.15,8.39,8.54,8.11,8.49,8.54,9.31,9.49,10.3,11.33,11.7,11.91,12.28,12.74,12.62,12.43,13.35,14.02,14.83,16.98,21.12,22.58,24.21,24.04,24.1,25.48,26.96,32.73,36.01,38.89,45.77,50.36,53.61,51.99,47.81,49.21,49.11,53.77,60.67,65.31,74.77,74.99,76.7,76.24,74.66,72.19,74.77,81.08,85.6,91.1,100,106.49,118.71,133.27,144.12,143.91
"27","  Other (s.) \3\","19","BCOTRA",9.1,8.59,7.25,5.94,4.98,5.77,5.94,6.26,6.72,6.24,6.77,7.46,8.07,8.65,9.54,9.37,10.18,8.36,7.85,7.3,7.07,7.3,7.07,7.67,7.85,8.22,8.78,9.3,9.99,10.31,11.47,12.59,13.41,13.26,14.25,15.73,18.03,19.79,21.94,23.71,24.12,23.82,23.77,25.75,29.95,29.19,30.5,33.2,34.39,37.27,38.07,38.21,38.94,38.92,47.23,46.04,51.48,56.9,60.23,71.98,76.87,84.29,70.13,80.08,84.77,88.35,89.84,100,98.65,108.3,117.7,124.6,124.29
"28","Personal care","20","A532RA",13.17,12.35,11.95,10.54,8.74,10.46,11.11,11.9,12.57,12.2,12.91,13.39,14.54,15.39,16.95,17.82,18.66,18.24,17.41,17.33,17.74,18.99,19.02,20.49,21.92,23.52,25.18,27.3,28.95,30,31.13,33.03,36.05,39.09,40.32,42.91,45.73,50.47,52.79,54.41,53.9,55.27,54.21,55.88,58.56,57.64,55.87,56.21,59.34,61.16,62.15,61.36,60.17,57.88,62.56,65.97,69.11,72.67,77.68,80.64,82.78,83.95,83.14,85.96,87.49,90.57,95.42,100,105.11,108.46,111.78,114.22,113.84
"29","  Toilet articles and preparations (n.d.)","21","BTLGRA",6.39,5.67,5.75,4.9,3.74,4.83,4.86,5.13,5.46,5.63,6.23,6.57,7.61,8.37,9.88,10.72,11.55,10.99,10.28,10.33,10.72,11.89,11.76,12.99,13.87,14.36,15.78,17.22,18.36,19.23,19.55,21.63,23.99,26.25,27.82,29.93,32.74,36.65,38.74,40.84,41.69,43.24,43.65,45.65,49.89,50.04,48.71,50.52,53.4,56.54,58.92,59.18,59.16,57.6,60.31,65.03,68.31,71.63,76,78.06,80.26,82.31,81.69,81.99,85.27,89.41,94.04,100,105.23,107.81,111.2,112.61,111.55
"30","  Barbershops, beauty parlors, and health clubs (s.)","22","BBBBRA",34.52,34.31,31.62,28.96,26.1,28.98,32.39,35.16,36.85,34.02,34.62,35.35,35.9,36.38,36.96,37.4,37.88,38.22,37.34,36.71,36.97,37.89,38.58,40.28,43.18,48.25,50.21,54.05,56.95,58.29,61.91,62.71,67.16,72.04,71.92,75.57,77.93,84.49,87.22,87.41,83.27,84.08,79.19,79.87,78.43,74.85,72.06,68.65,72.3,71.12,69.05,65.97,62.22,58.29,67.42,67.85,70.65,74.71,81.15,86.09,88.1,87.36,86.15,94.41,92.16,92.96,98.29,100,104.87,109.73,112.92,117.33,118.22
"31","Housing","23","B174RA",9.06,8.94,8.84,8.67,8.5,8.96,9.04,9.2,9.36,9.51,9.74,10.04,10.61,11.12,11.56,12,12.27,13.31,14.47,15.27,16.24,17.37,18.66,19.89,20.97,22,23.13,24.28,25.53,26.73,28.16,29.62,31.03,32.77,34.27,35.89,37.85,39.56,41.33,43.34,45.65,47.44,49.49,52.08,54.67,57.5,59.16,60.93,62.43,65.47,68.09,70.09,71.65,71.89,73.39,76.22,78.97,81.03,83.47,85.87,88.01,90.12,91.87,93.11,94.25,96.97,98.86,100,101.9,104.68,108.08,110.19,112.09
"32","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","24","BOWNRA",5.92,5.76,5.59,5.39,5.44,5.51,5.53,5.57,5.59,5.63,5.73,5.88,6.32,6.81,7.33,7.93,8.47,9.53,10.62,11.46,12.37,13.51,14.76,16.01,17.08,18.2,19.48,20.76,21.97,23.21,24.68,26.17,27.51,29.18,30.53,32.01,33.82,35.44,37.1,38.88,41.13,42.74,44.89,47.47,49.99,53.35,55.1,56.83,58.47,62.28,65.62,68.28,69.71,69.7,71.04,73.76,75.67,77.49,80.2,83.22,85.96,87.92,90.31,91.63,93.76,96.45,98.32,100,102.45,105.91,109.94,112.93,115.86
"33","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","25","BTENRA",13.95,14.06,14.27,14.32,13.58,15.11,15.32,15.72,16.21,16.69,17.23,17.85,18.7,19.31,19.31,19.18,18.53,19.39,20.21,21.12,22.33,23.41,24.68,25.74,26.73,27.39,27.94,28.58,29.77,30.98,32.39,33.82,35.58,37.54,39.41,41.48,43.76,45.72,47.63,50.54,53.12,55.05,57.59,60.34,63.25,64.83,66.14,67.7,68.92,70.13,70.87,72.03,74.88,76.6,78.46,81.96,87.83,91.14,92.84,93.32,93.89,96.63,96.81,97.21,95.45,98.44,100.52,100,100.2,101.26,102.81,101.8,101.94
"34","  Rental value of farm dwellings (s.)","26","BFARRA",153.35,153.05,151.68,148.85,146.18,143.5,141.47,141.6,142.86,143.96,145.63,148.12,148.85,148.12,146.04,144.14,141.65,142.63,148.16,153.44,159.38,164.94,169.83,175.06,179.58,183.35,186.55,187.99,189.73,191.44,189.88,188.34,186.64,185.21,183.03,180.85,177.82,176.88,175.99,173.88,171.95,183.13,177.15,171,168.04,165.46,163.67,160.21,156.65,153.62,148.67,142.86,136.28,125.97,124,124.63,121.97,118.58,115.33,115.18,112.57,111.85,112.18,109.19,105.69,103,101.99,100,97.04,97.05,98.2,97.29,94.62
"35","  Other (s.) \6\","27","BOHORA",11.93,11.5,10.9,9.84,9.66,11.06,11.93,12.96,13.58,13.49,13.88,14.76,15.74,15.4,17.64,19.11,20.96,22.66,28.24,25.49,24.14,24.27,25.18,26,26.82,27.63,28.62,30.06,31.9,31.27,31.79,32.99,33.5,35.4,37.87,40.22,44.2,46.82,50.98,52.42,55.16,57.03,55.16,59.65,63.49,65.36,68.99,74.51,76.6,77.97,80.55,77.02,74.74,73.07,76.22,77.3,77.61,77.44,80.36,83.77,85.38,86.71,86.57,92.2,93.7,96.55,98.15,100,102.92,103.97,107.42,112.7,107.55
"36","Household operation","28","A534RA",11.91,11.04,10.61,9.47,9.21,9.87,10.59,11.99,12.46,11.83,12.93,13.89,15.05,14.43,13.51,13.21,13.88,17.43,19.03,19.86,19.91,22.18,22.16,22.34,23.07,23.46,25.84,27.15,27.47,27.87,29.2,29.77,30.54,32.2,33.9,36.46,38.57,41.27,42.57,44.35,45.73,46.22,46.88,50.23,54.02,52.96,52.47,55.03,58.05,61.14,63.11,62.31,61.3,60.51,63.15,66.3,68.99,71.88,74.79,77.88,80.78,80.93,81.01,83.16,87.77,91.97,95.75,100,103.8,108.72,115.01,120.86,122.5
"37","  Furniture, including mattresses and bedsprings (d.)","29","BFNRRA",15.33,12.32,11.88,9.34,8.21,8.4,11.09,13.66,13.59,12.47,14.57,16.04,18.09,14.95,12.15,10.7,11.27,16.22,17.68,18.19,18.19,20.5,19.3,20.82,22.27,22.86,26.34,27.31,25.93,25.83,27.54,27.3,27.06,28.82,30.9,34.51,36.37,38.35,38.21,39.58,40.04,39.05,40.63,45.3,49.54,48.45,45.9,48.63,54.34,57.07,60.09,56.73,55.83,51.84,57.35,64.21,67.44,72.96,76.15,77.64,85.74,82.78,81.21,81.91,86.45,90.8,94.5,100,105.62,111.63,119.01,127.59,128.93
"38","  Kitchen and other household appliances (d.) \7\","30","BAPPRA",4.18,3.82,3.48,2.44,3.08,3.87,4.67,5.49,6.11,5.12,5.65,6.67,8.34,5.06,1.64,0.91,1.81,8.99,14.37,14.87,13.84,17.71,16.28,16.09,16.96,17.48,19.95,22.21,22.44,22.09,23.59,23.22,23.66,24.44,26,28.4,29.24,32.44,33.58,36.97,39.57,41.16,44.15,49.74,54.65,54.3,50.06,51.57,55.03,55.98,57.78,56.14,54.52,50.24,54.02,58.99,65.05,70.07,71.29,74.15,78.04,77.94,77.42,81.35,86.71,90.66,96.87,100,102.98,108.73,118.36,125.06,127.46
"39","  China, glassware, tableware, and utensils (d.)","31","BCHNRA",20.69,15,16.04,16.25,14.92,14.95,13.81,16.45,18.32,16.79,16.9,18.15,21.71,20.37,16.86,15.72,18.85,29.79,31.02,32.76,30.52,31.71,30.8,29.38,29.69,29.52,30.81,29.39,26.87,25.69,26.37,25.54,25.47,26.29,26,28.55,31.87,36.04,37.69,38.61,38.94,38.33,39.05,40.86,44.65,43.69,41.06,43.85,47.32,51.61,53.11,53.2,54.16,56.38,57.69,60.76,61.88,63.37,61.69,65.91,69.87,71.92,71,75.34,80.3,85.87,92.77,100,107.73,113.35,125.22,134.68,141.43
"40","  Other durable house furnishings (d.) \8\","32","BODHRA",11.3,9.62,9.12,7.45,6.1,6.7,7.25,9.55,9.28,8.58,9.62,10.07,11.47,10.69,10.33,9.36,9.48,13.59,14.33,15.79,15.66,17.44,17.26,16.18,15.82,14.87,16.84,17.66,17.98,17.82,19.27,19.08,19.42,20.95,23.07,26.21,28.44,30.9,31.77,33.82,33.58,32.99,33.72,36.8,41.53,43.09,41.93,45.38,49.73,53.18,56.22,54.27,53.14,51.54,56.86,63.01,65.5,72.39,78.94,81.75,81.29,79.33,75.44,77.67,82.52,89.62,94.62,100,105.51,112.02,122.55,130.38,134.49
"41","  Semidurable house furnishings (n.d.) \9\","33","BSDHRA",11.01,9.56,10.16,9.3,9.14,9.32,9.93,12.41,12.99,12.77,16.11,17.14,18.17,17.02,17.54,17.27,16.72,20.73,17.29,18.44,21.1,23.7,23.26,23.68,23.55,22.74,24.31,24.93,24.86,24.14,25.41,25.83,27.02,29.49,30.55,33.6,35.84,38.9,39.81,41.34,40.19,39.29,38.87,40.61,44.13,41.67,40.84,42.55,44.35,46.14,47.62,47.95,49.77,48.04,50,54.1,56.22,61.42,62.9,65.78,68.49,70.36,72.92,79.47,83.39,88.41,93.74,100,109.1,116.29,125.73,134.48,138.85
"42","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","34","BCLPRA",6.22,6.07,5.97,5.22,5.39,6.28,6.59,7.36,7.91,7.88,8.37,9.04,9.84,10.51,10.91,10.71,9.76,11.62,14.72,15.01,16.43,18.27,18.22,18.44,20.22,20.9,22.68,23.99,25.38,26.13,28.83,30.93,34.71,38.14,40.49,44.05,47.58,51.82,53.2,55.67,58.19,59.77,58.67,61.68,67.5,64.61,56.92,56.74,56.59,61.47,66.72,68.58,69.31,69.88,71.76,75.97,77.37,79.52,80.16,83.1,83.58,85.09,84.48,87.18,91.54,96.31,97.34,100,102.24,104.58,109.25,109.14,109.54
"43","  Stationery and writing supplies (n.d.)","35","BSTYRA",6.13,5.85,5.31,3.81,4.3,5.24,6.29,6.87,7.09,6.9,7.99,8.4,9.99,10.29,12.37,13.9,16.57,16.93,15.63,15.29,16.32,16.08,15.82,17,18.59,19.51,20.07,20.1,20.84,22.17,24.72,25.58,25.07,26.74,28.46,30.18,31.27,36.03,35,37.47,42.37,41.7,37.9,41.51,43.43,38.65,37.82,38.85,41.16,47.76,50.4,52.17,54.08,54.19,55.92,60.95,63.57,66.55,72.77,78.77,84.94,87.43,89.15,90.72,93.7,97.45,98.36,100,102.18,105.75,113.07,118.93,119.66
"44","  Household utilities","36","A535RA",14.23,14.58,14.14,13.83,14,14.62,15.15,16.18,16.52,16.18,17.23,18.46,19.17,20.05,20.58,21.03,22.34,24.53,26.52,27.75,27.08,29.73,31.41,32.37,33.22,35.19,37.48,39.43,40.64,42.3,43.42,44.67,45.68,47.95,50.51,52.98,55.47,57.87,59.96,61.59,63.75,65.3,66.39,71.01,74.03,71.45,73.92,77.37,79.43,81.8,81.66,79.54,76.09,75.82,77.82,78.79,81.23,81.62,84.21,87.99,89.75,87.97,89.62,89.1,93.87,95.39,97.72,100,99.5,101.05,102.72,105.36,103.39
