"","Table 7#12# Chain-Type Quantity and Price Indexes for National D","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33"
"11","  Durable goods \2\","3","B998RA",79.48,68.89,56.56,71.82,62.33,78.5,89.88,95.14,96.98,110.4,121.26,145.89,148.45,160.67,170.76,180.3,180.5,170.1,159.36,157,142.35,131.34,111.78,100.43,100,101.02,101.79,108.19,108.05,116.02
"12","    Aircraft","4","B999RA",102.15,88.4,67.54,62.84,53.36,77.97,81.64,99.53,105.78,131.03,156.19,188.7,181.2,198.02,214.93,232.07,231.47,208.56,181.1,163.81,144.18,128.57,107.01,100.07,100,108.63,113.26,119.65,113.96,124.96
"13","    Missiles","5","B277RA",139.83,140.23,140.2,149.66,121.52,129.9,166.44,143.31,145.37,160.98,172.2,177.54,170.97,158.51,187.96,187.22,201.81,201.31,210.59,206.57,177.21,153.67,130.66,106.65,100,89.2,88,83.48,89.78,96.24
"14","    Ships","6","B278RA",57.59,64.55,57.14,57.7,59.24,112.3,143.95,164.39,115.68,94.86,57.11,168.72,143.82,106.59,100.99,126.15,132.86,125.39,196.48,221.43,244.07,257.25,175.71,128.79,100,104.73,96.37,133.85,147.47,135.5
"15","    Vehicles","7","B288RA",156.63,136.22,161.5,252.74,190.34,227.55,304.39,257.06,265.99,257.95,242.54,313.02,383.88,439.46,443.81,401,343.13,260.49,235.51,239.03,186.67,155.6,109.96,117.99,100,109.62,92.42,74.26,65.42,81.12
"16","    Electronics","8","B388RA",65.38,61.17,55.55,53.58,40.62,45.41,54.09,52.68,62.78,74.54,83.06,97.24,109.2,131.71,137.71,150.99,148.31,151.48,147.69,133.52,128.84,137.57,118.12,95.89,100,101.11,100.16,116.97,130.41,137.41
"17","    Other durable goods","9","B389RA",21.02,8.52,25.71,28.41,37.35,37.51,36.75,44.58,41.35,44.32,45.56,47.71,61.09,75.04,66.89,72.77,76.73,86.77,77.97,104.13,100.67,93.46,95.39,91.7,100,91.2,92.33,99.34,99.11,104.54
"18","  Nondurable goods","10","B725RA",290.31,216.64,186.6,152.95,125.34,116.86,117.48,121.92,134.17,142.87,141.42,146.1,138.34,136.75,172.65,169.87,163.34,157.93,140.14,141.72,132.24,120.97,110.47,89.44,100,100.48,103.99,115.78,122.09,129
"19","    Petroleum products","11","B780RA",372.28,235.7,214.17,180.35,149.4,126.98,126.35,128.59,142.29,139.71,131.55,140.92,140.51,142.98,142.81,146.65,123.61,135.56,134.52,132.77,111.22,106.69,109.81,99.81,100,90.89,89.23,96.67,89.84,100.55
"20","    Ammunition","12","B781RA",453.18,353.44,241.73,167.97,84.37,115.49,133.36,148.44,148.57,168,206.98,242.73,205.18,122.26,329.66,250.11,288.6,241.66,217.9,205.6,195.41,188.3,132.41,80.71,100,117.84,134.36,137.12,130.08,154.67
"21","    Other nondurable goods","13","B783RA",96.18,89.93,96.87,88.52,96.38,87.09,81.07,82.9,96.59,128.31,125.04,105.52,97.81,126.45,129.79,155.94,146.56,141.18,105.08,117.29,122.58,102.23,99.37,82.58,100,103.19,105.54,125.55,153.32,146.38
"22","  Services","14","B489RA",93.15,88.4,87.16,84.1,83.84,83.28,83.15,83.51,86.46,90.34,96.49,99.56,103.34,109.53,113.16,117.25,118.53,118.23,118.74,118.79,113.35,109.26,105.41,102.56,100,98.49,95.49,96.45,95.86,100.5
"23","    Compensation of general government employees, except own-account investment \3\","15","B395RA",131.82,125,123.09,121.32,118.87,117.83,118.61,117.6,118.31,121.95,124.7,126.6,128.31,130.65,131.24,132.43,130.82,130.73,129.92,129.48,121.86,116.46,110.46,104.42,100,96.38,93.37,90.89,90.55,91.09
"24","      Military","16","B421RA",139.33,131.43,126.77,124.04,121,119.98,118.81,116.94,118.14,121.95,124.12,126.24,127.8,129.67,130.88,132.5,131.5,130.84,131.14,132.6,121.27,115.03,109.49,103.81,100,97.31,95.11,93.41,94.22,95.79
"25","      Civilian","17","B425RA",118.93,113.97,116.91,116.82,115.42,114.34,118.38,118.84,118.7,122.02,125.86,127.33,129.36,132.72,131.93,132.22,129.35,130.39,127.43,123.38,122.75,118.94,112.1,105.46,100,94.79,90.44,86.64,84.42,83.28
"26","    Consumption of general government fixed capital \4\","18","B432RA",65.95,63.46,61.26,60.04,59.5,58.87,58.59,58.77,59.46,60.71,62.38,64.89,68.48,73.53,79.43,85.38,90.04,93.75,97.17,99.76,101.29,101.82,101.43,100.61,100,99.53,99.08,99.11,99.21,99.03
"27","    Other services","19","B726RA",59.97,56.2,56.83,50.89,53.59,53.74,52.65,54.79,62.1,68.17,82.09,86.89,93.38,106.04,112.11,118.87,121.69,117.78,117.94,116.7,109.14,103.48,100.32,101.04,100,101.32,96.32,104.02,102.45,118.09
"28","      Research and development","20","B784RA",49.23,49.19,48.88,46.84,48.55,50.22,49.5,51.19,63.19,73.17,78.88,77.89,84.06,111.02,119.15,134.07,157.93,140.84,126.03,103.93,109.57,105.85,100.73,91.22,100,101.57,86.47,97.26,93.24,120.48
"29","      Installation support","21","B911RA",59.23,53.69,54.07,50.95,52.37,54.9,51.06,54.25,58.5,59.81,82.11,88.9,94.46,92.1,94.38,93.62,89.82,88.44,98.66,104.08,99.47,105,104.89,100.58,100,95.69,91.34,91.01,90.24,95.62
"30","      Weapons support","22","B912RA",75.36,70.47,75.35,64.64,67.6,67.43,73.09,80.6,108.19,115.7,125.92,146.47,166.69,184.45,193.48,200.42,174.89,176.7,193.66,161.34,128.87,105.68,122.6,128.13,100,111.28,113.05,119.67,123.08,146.91
"31","      Personnel support","23","B913RA",53.95,43.7,48.52,45.73,45.78,40.43,41.88,41.13,41.82,50.34,66.86,70.09,71.76,86.98,92.47,100.5,93.87,95.87,93.29,86.13,93.37,90.81,96.06,102.76,100,104.3,104.96,119.52,118.53,135.43
"32","      Transportation of material","24","B786RA",92.74,81.65,73.74,66.22,64.94,65.03,60.41,62.18,61.02,61.98,67.46,77.22,77.3,77.03,87.49,83.16,91,101.14,113.97,196.06,135.95,102.68,84.26,93.21,100,95.39,94.21,98.29,94.73,93.56
"33","      Travel of persons","25","B785RA",82.14,87.13,93.25,78.15,72.16,74.39,80.53,75.84,70.92,76.84,96.1,86.26,102.98,110.09,114.58,123.5,119.06,127.16,122.02,199.16,158.19,132.32,118.99,108.9,100,93.27,92.99,102.02,105.02,105.61
"34","      Other","26","B789RA",30.1,19.46,22.78,95.28,25.06,46.28,57.39,52.49,61.64,64.27,53.83,37.43,44.08,47.75,47.62,49.53,65.13,53.38,54.5,81.53,102.68,110.37,189.99,95.77,100,75.1,61.07,60.03,66.32,66.36
"35","Gross investment","27","B788RA",42.1,40.87,42.11,46.49,45.7,46.43,46.24,52.91,56.46,62.08,69.85,81.79,92.91,111.67,127.84,139.74,129.24,129.56,133.92,126.02,121.5,107.33,101.43,97.45,100,89.96,93.3,98.27,100.36,104.87
"36","  Structures","28","B808RA",116.04,114.73,105.21,101.76,90.31,91.38,92.64,78.28,90.59,86.15,101.51,120.71,116.8,142.87,155.31,167.47,154.62,124.21,115.48,85.25,94.06,85.41,92.15,96.5,100,82.63,76.1,72.18,69.33,68.01
"37","  Equipment and software","29","B873RA",36.05,34.87,36.87,41.81,41.85,42.55,42.25,50.54,53.33,59.81,66.91,78.19,90.55,108.61,125.1,136.97,126.71,130.57,136.5,131.28,125.12,110.23,102.68,97.58,100,91.01,95.85,102.2,105.09,110.58
"38","    Aircraft","30","B874RA",43.61,38.35,38.99,59.29,55.47,57.89,54.67,68.46,81.4,94.03,94.56,106.26,111.24,150.95,229.81,263.94,216.81,196.24,180.75,130.05,113.69,122.73,123.14,100.9,100,68.01,68,77.12,90.43,104.86
"39","    Missiles","31","B875RA",35.52,37.25,41.09,30.16,25.54,19.5,16,32.58,46.8,54.32,70.08,88.57,106.47,121.56,154.21,175.85,159.97,181.61,239.92,240.87,240.04,174.91,131.09,112.06,100,74.08,84.19,71.99,63.93,86.17
"40","    Ships","32","B876RA",94.45,79.68,98.31,87.96,90.12,105.16,118.39,121.87,107.17,122.08,142.4,158.23,167.66,184.28,177.97,173.11,164.07,182.05,192.05,172.3,166.45,140.23,126.93,118.14,100,88.6,95.07,100.87,95.93,105.26
"41","    Vehicles","33","B877RA",109.14,83.57,84.21,68.96,99.97,123.07,151.3,158.72,176,119.33,187.28,317.99,423.15,383.21,418.94,436.7,373,311.25,312.01,328.39,257.12,163.4,88.1,92.15,100,115.01,125.81,140.19,156.94,160.62
"42","    Electronics and software","34","B878RA",7.68,8.53,8.76,9.88,10.12,11.13,13.99,15.46,19,22.45,25.98,31.73,39.88,51.11,58.19,66.55,70.18,73.43,76.3,74.82,79.24,84.56,85.5,87.35,100,112.12,126.11,136.97,143.57,132.69
"43","    Other equipment","35","B879RA",41.05,45.51,44.03,57.09,61.86,58.78,50.95,59,51.49,58.47,60.89,63.58,79.2,96.77,81.78,86.69,87.23,95.89,94.9,111.65,104.44,86.57,86.51,90.8,100,92.29,90.73,96.66,96.1,101.96
"44","Addendum:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","  Compensation of general government employees \3\","36","B237RA",131.46,124.67,122.78,121.04,118.62,117.56,118.35,117.37,118.07,121.71,124.5,126.41,128.16,130.55,131.14,132.36,130.75,130.71,129.9,129.45,121.85,116.47,110.45,104.43,100,96.38,93.35,90.83,90.49,91.04
"46","Chain-type price indexes",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","    National defense consumption expenditures and gross investment \1\","37","B824RG",30.61,32.91,35.82,39.24,42.02,45.15,48.29,52.19,57.93,63.71,68.44,70.86,75.95,77.24,77.27,78.01,79.65,81.91,84.57,87.7,90.75,92.45,94.48,96.88,100,101.41,102.22,104.45,107.53,109.27
"48","Consumption expenditures","38","B997RG",28.03,30.25,33.08,36.37,38.93,41.82,44.71,48.54,54.27,59.84,64.35,66.72,72.18,73.96,74.8,76.31,78.32,80.69,83.55,86.9,90.41,91.99,93.95,96.36,100,101.91,103.13,105.65,109.28,111.5
"49","  Durable goods \2\","39","B998RG",35.05,36.55,39.03,42.79,45.09,47.66,51.05,57.38,62.84,69.39,75.31,81.79,86.46,86.84,88.98,89.02,88.39,89.81,92.32,94.72,97,98.54,99.26,99.67,100,99.7,98.83,98.75,99.36,99.37
"50","    Aircraft","40","B999RG",32.47,34.6,36.2,41.49,44.98,47.38,48.71,54.28,59.32,66,72.98,80.4,86.07,86.4,89.11,87.1,85.97,87.54,90.94,93.78,96.8,97.42,99.14,99.42,100,98.97,98.31,98.28,99.14,99.59
"51","    Missiles","41","B277RG",32.94,33.73,37.26,41.08,42.27,44.95,51.94,58.07,60.75,64.16,67.31,78.85,89.47,95.19,92.52,96.55,94.98,94.34,94.83,98.41,101.19,105.85,103.42,100.62,100,99.95,98.87,99.52,99.3,98.96
"52","    Ships","42","B278RG",37.25,40.48,46.58,48.24,50.91,51.88,55.87,59.21,65.74,71.89,81.17,76.79,77.79,82.74,84.3,84.45,87.37,91.38,94.73,95.77,96.98,97.65,98.5,99.75,100,99.64,98.89,98.99,99.06,99.3
"53","    Vehicles","43","B288RG",27.88,28.26,32.6,32.96,34.03,35.98,38.16,48.43,58.4,69.98,76.42,78.33,76.59,69.38,77.17,81.83,78.54,77.07,79.04,82.65,85.06,89.25,90.83,96.54,100,110.59,111.13,119.63,130.36,130.05
"54","    Electronics","44","B388RG",50.66,51.6,58.54,62.96,64.61,67.99,72.26,80.16,86.32,92.85,95.47,97.24,97.45,97.48,96.89,97.36,98.11,100.66,102.42,103.11,102.8,102.52,102.66,102.44,100,96.97,93.38,90.42,89.31,87.35
"55","    Other durable goods","45","B389RG",20.54,23.61,38.04,42.85,45.47,49.09,53.34,58.17,63.54,69.15,75.19,77.96,79.8,80.93,82.16,82.7,86.22,89.64,91.72,92.34,94.15,96.06,97.17,98.83,100,100.21,100.19,99.87,100.18,100.69
"56","  Nondurable goods","46","B725RG",21.55,26.24,36.99,43.55,47.04,50.97,54.19,67.53,98.21,109.12,106.62,101.3,98.65,95.69,77.47,79.12,84.48,89.54,102.83,98.5,93.6,91.01,89.37,91.38,100,97.7,87,91.22,110.73,106.08
"57","    Petroleum products","47","B780RG",14.58,21.56,38.22,47.2,49.83,55.14,58.54,81.77,141.31,161.55,151.26,133.34,124.13,118.69,74.73,77.92,84.03,90.1,116.46,103.14,92.32,87.61,81.33,81.43,100,94.78,67.94,78.63,132.58,116.91
"58","    Ammunition","48","B781RG",32.16,34.52,41.14,46.23,50.21,52.74,55.56,60.8,66.84,70.29,72.54,74.87,77.52,79.21,78.63,81.64,87.01,91.97,93.2,94.12,94.75,94.14,97.03,101.42,100,99.58,97.58,96.96,97.23,96.97
"59","    Other nondurable goods","49","B783RG",33.9,36.49,40.63,44.64,50.47,53.52,57.42,62.35,67.95,71.49,75.43,80.43,82.82,80.15,81.44,80.01,84.72,88.9,96.26,99.72,97.32,95.45,96.22,99.53,100,99.97,100.63,101.5,103.24,104.72
"60","  Services","50","B489RG",28.08,30.14,32.48,35.56,38.09,40.94,43.77,47.01,51.72,56.98,61.66,63.93,69.81,71.93,73.35,75.03,77.23,79.61,82.15,85.86,89.77,91.48,93.66,96.24,100,102.2,103.94,106.63,109.95,112.61
"61","    Compensation of general government employees, except own-account investment \3\","51","B395RG",23.08,24.86,26.88,29.64,31.71,34.15,36.37,39.33,43.46,48.46,52.58,54.74,62.82,66.16,67.8,69.88,72.66,75.43,77.53,82,87.86,89.12,91.32,93.83,100,103.34,105.6,110.04,114.75,118.58
"62","      Military","52","B421RG",23.03,24.97,27.23,29.76,31.8,33.59,36.12,39.33,43.68,49.2,54.18,56.22,67.58,71.58,73.13,74.99,76.94,79.28,80.67,83.98,91.22,90.8,91.45,93.17,100,102.52,104.24,108.25,112.57,116.64
"63","      Civilian","53","B425RG",23.18,24.63,26.18,29.36,31.49,35.08,36.75,39.29,43.05,47.16,49.78,52.16,54.64,56.85,58.64,61.1,65.32,68.84,72.19,78.81,82.23,86.31,91.11,94.96,100,104.78,108,113.22,118.66,122
"64","    Consumption of general government fixed capital \4\","54","B432RG",37.88,40.8,43.16,46.17,49.99,53.45,57.35,60.2,65.01,71.1,79,81.66,84.88,83.37,82.9,82.01,82.76,84.78,86.83,89.53,90.71,93.79,96.7,99.44,100,100.14,99.76,100.13,101.74,101.84
"65","    Other services","55","B726RG",33,34.98,38.09,41.85,44.5,47.84,51.52,55.55,61.42,66.22,69.94,72.07,73.9,75.3,77.31,79.68,81.61,83.48,87.16,90.06,92.21,93.74,95.26,97.85,100,101.96,104.55,106.35,108.92,111.79
"66","      Research and development","56","B784RG",46.16,48.18,52.05,56.08,58.62,60.99,64.23,67.57,71.98,75.82,79.93,83.19,86.14,87.46,89.34,90.12,89.36,90.86,92.95,94.39,97.1,97.8,99.41,99.73,100,102.54,104.43,105.88,108.3,110.14
"67","      Installation support","57","B911RG",29.85,32.36,35.05,38.4,41.23,45.21,49.29,53.26,58.37,62.47,66.79,69.24,71.22,73.2,76.85,79.97,82.54,83.38,87.53,89.11,91,92.49,94.98,98.66,100,100.85,102.98,104.72,105.93,108.82
"68","      Weapons support","58","B912RG",28.8,30.57,33.16,36.49,38.67,41.79,45.66,49.89,55.63,61.26,65.64,68.37,70.71,72.74,73.72,74.74,76.27,79.48,82.71,86.78,90.56,93.34,95.07,96.56,100,102.83,105.19,107.68,110.63,113.49
"69","      Personnel support","59","B913RG",19.92,22.42,23.57,27,29.43,32.34,36.34,40.33,44.53,49.29,52.01,53.37,54.87,56.34,59.09,62.96,70.45,74.78,81.05,85.97,90.65,92.12,91.25,95.47,100,103.56,108.07,111.16,115.39,119.96
"70","      Transportation of material","60","B786RG",39.36,40.23,48.11,54.34,57.54,60.98,64.86,73.71,87.91,91.65,94.44,90.63,87.76,83.54,78.92,86.21,82.18,81.82,85.95,91.8,89.6,90.57,92.22,92.29,100,99.22,100.52,100.28,104.25,107.14
"71","      Travel of persons","61","B785RG",29.03,28.94,30.85,33.83,36.65,41.4,43.6,45.11,56.66,69.63,70.9,72.11,71.68,73.67,74.33,76.59,80.44,80.8,84.97,89.12,89.09,93.98,94.69,99.88,100,100.9,103.89,102.36,102.74,103.53
"72","      Other","62","B789RG",24.65,26.3,28.5,31.6,34.02,34.99,37.87,40.67,44.8,49.53,54.21,56.77,59.3,62.53,64.44,65.62,66.79,71.04,77.23,83.07,90.79,93.87,91.82,93.68,100,104.09,108.08,110.12,113.44,118.74
"73","Gross investment","63","B788RG",48.13,50.36,53.13,56.68,60.9,65.58,70.33,74.03,78.76,85.25,91.07,93.71,95.93,94.31,90.11,87.01,86.77,88.46,90.08,92.1,92.73,95.08,97.53,99.8,100,98.51,96.91,97.49,97.62,96.77
"74","  Structures","64","B808RG",23.03,27.5,30.91,34.04,35.46,38.87,40.45,48.09,52.4,55.66,58.18,58.95,63.1,65.03,65.16,68.28,71.06,76.43,78.77,81.16,82.86,88.73,93.1,97.22,100,103.34,106.16,110.17,114.8,118.8
"75","  Equipment and software","65","B873RG",53.69,54.64,56.85,60.25,65.11,69.91,75.35,77.91,82.61,89.65,96.02,99.01,100.81,98.56,93.65,89.51,88.76,89.88,91.41,93.41,93.92,95.9,98.13,100.15,100,97.86,95.75,95.96,95.67,94.4
"76","    Aircraft","66","B874RG",65.96,65.99,64.69,66.29,67.27,70.44,73.65,77.2,82.15,86.53,97.06,103.28,106.63,96.75,84.99,72.67,68.06,67.71,72.32,77.33,79.9,83.05,92.71,97.36,100,94.16,90.66,98.34,93.11,86.73
"77","    Missiles","67","B875RG",106.1,100.48,100.35,103.27,133.86,152.19,163.19,133.53,118.73,124.78,120.96,127.15,132.47,133.93,126.01,122.28,120.53,118.69,114.16,110.62,108.15,111.21,107.58,103.08,100,95.11,95.8,93.92,95.48,93.45
"78","    Ships","68","B876RG",28.1,29.9,32.89,36.39,38.67,43.08,48.22,51.78,57.01,61.89,64.43,66.55,70.82,71.97,73.63,75.07,77.52,80.91,83.02,87.39,89.41,91.21,93.66,99.96,100,101.74,99.79,98.75,101.25,101.01
"79","    Vehicles","69","B877RG",31.58,31.43,31,33.31,40.05,43.53,46.46,48.16,55.4,75.22,92.17,90.52,82.09,81.58,76.06,82.38,82.87,84.22,85.21,87.45,90.5,94.4,97.73,98.66,100,100.41,98.44,99.22,97.35,95.72
"80","    Electronics and software","70","B878RG",82.72,86.27,94,99.64,102.25,106.89,109.59,115.62,118.99,124.41,126.76,125.05,122.23,119.41,115.68,113.2,112.97,112.4,111.72,111.71,107.16,106.27,104.6,103.87,100,95.92,91.52,89.71,89.71,89.12
"81","    Other equipment","71","B879RG",34.78,36.39,38.99,41.86,44.92,47.41,52.09,55.94,61.54,68.39,74.12,75.69,77.49,78.51,79.64,80.78,83.57,86.95,89.27,91.07,93.19,95.34,96.56,98.49,100,100.25,100.3,100.18,100.78,101.56
"82","Addendum:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","  Compensation of general government employees \3\","72","B237RG",23.08,24.86,26.87,29.63,31.7,34.14,36.36,39.32,43.45,48.45,52.56,54.72,62.79,66.12,67.76,69.84,72.63,75.4,77.5,81.99,87.83,89.1,91.31,93.84,100,103.34,105.61,110.05,114.77,118.59
"84"," 1. Gross government investment consists of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," and government enterprise expenditures for fixed assets;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86"," inventory investment is included in government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87"," expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88"," 2. Consumption expenditures for durable goods excludes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," expenditures classified as investment, except for goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90"," transferred to foreign countries.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91"," 3. Compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92"," own-account investment and related expenditures for goods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93"," and services is classified as investment in structures and in software.  The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94"," compensation of all general government employees is shown in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95"," the addendum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 4. Consumption of fixed capital, or depreciation, is included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97"," in government consumption expenditures as a partial measure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," of the value of the services of general government fixed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99"," assets; use of depreciation assumes a zero net return on these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100"," assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
