"","Table 2#5# Real Personal Consumption Expenditures by Type of Exp","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"14","  Tobacco products (n.d.)","7","BTOBRX",59.2,54.7,54,52,48.3,50.4,45.5,48,48.1,48.2,47.6,46.1,43.4,42.8,42.1
"15","  Addenda: Food excluding alcoholic beverages (n.d.)","8","BFXARX",579.2,603.2,614.2,628.2,631.8,637.9,655.7,672.5,681.9,689.1,695.5,716,741,768.8,775.2
"16","          Alcoholic beverages purchased for off-premise consumption (n.d.)","9","BAOPRX",53.6,54,55.1,57.6,53.2,50.2,51.4,53.8,55.4,56.1,57.2,60.7,62.5,65.4,66.5
"17","          Other alcoholic beverages (n.d.)","10","BAPMRX",31.4,33.1,34,36.5,36.2,37.6,38.1,38.6,39.6,40.7,41.8,42.7,43.3,44.8,45.3
"18","Clothing, accessories, and jewelry","11","A496RX",236.9,246.2,258.5,258.2,254.5,268.5,281.6,297.2,312.9,333.3,348.8,375,404.9,428.4,435.9
"19","  Shoes (n.d.)","12","BSHURX",29.1,29.7,31.5,32,31.2,32,33,35.1,36.8,38.8,40.1,42.9,46.4,48.8,49.9
"20","  Clothing and accessories except shoes \2\","13","A497RX",153.2,158,166.9,165.1,166.5,176.6,185.3,196.2,207.2,219.5,231.2,247.2,265.4,280.3,287.5
"21","    Women's and children's (n.d.)","14","AWCLRX",98.8,101.5,107.5,105.4,106.3,113.1,118.6,124.7,132.3,140.8,148.4,159.4,172.6,183.1,187.1
"22","    Men's and boys' (n.d.)","15","AMCLRX",54.3,56.5,59.3,59.7,60.2,63.5,66.7,71.5,74.9,78.6,82.8,87.8,92.9,97.3,100.5
"23","  Standard clothing issued to military personnel (n.d)","16","BMICRX",0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"24","  Cleaning, storage, and repair of clothing and shoes (s.)","17","A478RX",11.1,12.3,12.9,13.3,12.4,12.3,12.1,12,12.4,12.7,12.8,13.3,13.8,14.3,13.7
"25","  Jewelry and watches (d.)","18","BJRYRX",30.2,30.9,30.7,30.1,29.1,30.1,32.7,34.5,36.7,40.3,42.9,47.8,53.7,58.1,58
"26","  Other (s.) \3\","19","ACOTRX",13.1,15.6,16.7,18.3,15.2,17.4,18.4,19.2,19.5,21.7,21.4,23.5,25.6,27.1,27
"27","Personal care","20","A532RX",55.6,57.7,59.2,60.1,59.5,61.5,62.6,64.8,68.3,71.6,75.2,77.6,80,81.7,81.5
"28","  Toilet articles and preparations (n.d.)","21","BTLGRX",36.5,37.5,38.5,39.5,39.2,39.4,40.9,42.9,45.2,48,50.5,51.8,53.4,54.1,53.6
"29","  Barbershops, beauty parlors, and health clubs (s.)","22","BBBBRX",19.1,20.3,20.7,20.6,20.3,22.2,21.7,21.9,23.1,23.5,24.7,25.8,26.6,27.6,27.8
"30","Housing","23","A174RX",644.8,663.4,679.9,696.2,709.8,719.3,728.1,749.1,763.7,772.6,787.2,808.7,835,851.3,866
"31","  Owner-occupied nonfarm dwellings--space rent (s.) \4\","24","AOWNRX",445.5,462.3,477.4,488.3,501.6,509,520.8,535.7,546.1,555.4,569,588.3,610.7,627.3,643.5
"32","  Tenant-occupied nonfarm dwellings--rent (s.) \5\","25","ATENRX",167.7,168.6,169.6,174.6,174.9,175.6,172.4,177.8,181.6,180.6,181,182.9,185.8,184,184.3
"33","  Rental value of farm dwellings (s.)","26","BFARRX",7.2,7.2,7,6.9,7,6.8,6.6,6.4,6.3,6.2,6,6,6.1,6,5.9
"34","  Other (s.) \6\","27","AOHORX",24.3,25.3,25.8,26.2,26.2,27.9,28.3,29.2,29.7,30.2,31.1,31.4,32.5,34.1,32.5
"35","Household operation","28","A534RX",440.7,458.9,476,476.8,477.3,490,517.2,541.9,564.2,589.2,611.6,640.6,677.7,712.2,721.8
"36","  Furniture, including mattresses and bedsprings (d.)","29","BFNRRX",38.8,39.6,43.7,42.2,41.4,41.7,44,46.3,48.1,50.9,53.8,56.9,60.6,65,65.7
"37","  Kitchen and other household appliances (d.) \7\","30","BAPPRX",21.4,22.3,23.4,23.4,23.2,24.4,26,27.2,29.1,30,30.9,32.6,35.5,37.5,38.3
"38","  China, glassware, tableware, and utensils (d.)","31","BCHNRX",15.7,16.7,17.7,18.2,18,19.1,20.4,21.8,23.5,25.4,27.3,28.8,31.8,34.2,35.9
"39","  Other durable house furnishings (d.) \8\","32","AODHRX",39.9,41.3,41.1,40.1,38.1,39.2,41.7,45.3,47.8,50.5,53.3,56.6,61.9,65.9,68
"40","  Semidurable house furnishings (n.d.) \9\","33","BSDHRX",19.5,20.4,21.2,21.8,22.6,24.6,25.8,27.4,29,31,33.8,36,38.9,41.6,43
"41","  Cleaning and polishing preparations, and miscellaneous household supplies and paper products (n.d)","34","ACLPRX",39.9,41.4,41.6,42.4,42.1,43.4,45.6,48,48.5,49.8,50.9,52.1,54.4,54.4,54.6
"42","  Stationery and writing supplies (n.d.)","35","BSTYRX",13.6,14.8,15.9,16.4,16.7,17,17.6,18.3,18.4,18.8,19.2,19.8,21.2,22.3,22.4
"43","  Household utilities","36","A535RX",155.8,162.8,166.1,162.8,165.8,164.9,173.7,176.5,180.8,185,184.1,187,190.1,195,191.3
"44","    Electricity (s.)","37","BELCRX",78.1,81.5,82.6,83.2,85.6,84.1,89.3,90.6,92.5,93.3,93.5,99.8,101,104.4,101.2
"45","    Gas (s.)","38","BNGSRX",28.7,30.8,32,29.5,30.7,31.5,32.8,32.2,32.8,35.5,34.1,31.4,31.6,32.9,33.3
"46","    Water and other sanitary services (s.)","39","BWATRX",34.8,35.6,37,37.1,36.6,35.9,37.4,38.7,39.8,40.7,41.6,41.7,43,43.9,44.4
"47","    Fuel oil and coal (n.d.)","40","A171RX",14.2,14.7,14.4,13.1,12.9,13.2,14,15,15.7,15.6,15,14.3,14.7,14,12.6
"48","  Telephone and telegraph (s.)","41","BTELRX",52.8,56,59.8,62.6,65.4,72.5,76.2,82.6,88.1,97.1,104.7,114.2,127.1,141.1,151.2
"49","  Domestic service (s.)","42","BDMSRX",10.9,11.5,12.2,12.6,11.7,12.6,12.9,13.2,13.7,13.6,13.5,15.1,13.7,14.1,12.4
"50","  Other (s.) \10\","43","AOPORX",34.8,34.5,35.1,36.1,33.6,31,33.8,35.7,37.2,37.1,40.1,41.6,43,42.9,42.9
"51","Medical care","44","A536RX",711.3,745.6,768.9,807.6,830.3,861.6,874.3,887.2,907.8,932.3,963.2,995.2,1025.5,1062,1110.2
"52","  Drug preparations and sundries (n.d.) \11\","45","BDRGRX",69.5,72.6,76.3,80.3,81.7,82.2,84.7,88.4,94.1,100.3,109,117.7,129.4,140.6,152.3
"53","  Ophthalmic products and orthopedic appliances (d.)","46","BOPTRX",11.2,13.1,14,16.1,14.3,14.2,14.4,15.7,16,17.6,18.9,19.9,20.6,21.3,19.4
"54","  Physicians (s.)","47","BPHYRX",162.2,172.8,175.9,183.3,187.4,194.1,190.1,189.4,193.8,199.1,206,213,218.7,228,242.1
"55","  Dentists (s.)","48","BDENRX",44.6,44.4,44.6,44.8,43.9,45.4,45.8,47.1,48.7,48.4,49.6,50.5,51.1,52.5,54.4
"56","  Other professional services (s.) \12\","49","BOPSRX",57.3,63,68,78.8,85.8,94.6,102.4,107.5,114.9,119.7,121.1,124.1,126.5,128.5,133.9
"57","  Hospitals and nursing homes \13\","50","BPHORX",309.4,319.6,328.3,340.5,352.5,364.4,371.4,375.6,381.5,390.8,401.1,410.2,418.1,427.4,443.9
"58","    Hospitals","51","A2601X",264.8,272.4,277.9,285.7,295.5,305.5,312.1,316.4,320,327.6,334.2,341.7,350.7,359.8,376.8
"59","      Nonprofit (s.)","52","B2602X",168.3,174.9,180.9,189.1,197.2,205.9,210.6,211.4,211.1,213.5,217.3,222.4,229.8,234.8,244.1
"60","      Proprietary (s.)","53","B2603X",36.4,37.1,36.9,36.6,36.2,35.4,34,34.3,36.1,38.7,41.2,41.2,41,42.2,46.6
"61","      Government (s.)","54","B2604X",61.8,61.6,60.9,60.3,62.1,64.2,67.4,70.7,72.8,75.4,75.7,78.1,79.9,82.8,86.2
"62","    Nursing homes (s.)","55","B2605X",44.7,47.3,50.4,54.9,57.1,58.8,59.3,59.2,61.6,63.2,66.8,68.4,67.5,67.7,67.5
"63","  Health insurance","56","AHINRX",62.4,64.6,65.5,66,66.7,68.3,66.3,63.8,58.9,56.6,57.8,60,61.3,63.8,64.5
"64","    Medical care and hospitalization (s.) \14\","57","BMINRX",45.3,46.8,47.5,47.9,48.6,50.1,49.7,49.7,47.1,45.3,46.7,47.9,49.5,51.4,51.6
"65","    Income loss (s.) \15\","58","BIINRX",0.8,0.8,0.8,0.8,0.7,0.9,0.9,0.9,0.9,1,0.9,0.9,0.9,1,1
"66","    Workers' compensation (s.) \16\","59","BPWCRX",21,22.6,23,23.5,24.2,21.3,17.2,13.5,10.9,10.3,10.2,11.4,10.8,11.4,12.1
"67","Personal business","60","A479RX",336.1,345.6,355.3,363.2,378.7,383.8,404.9,414.6,424.4,435.1,462.1,484.4,514.2,550,550.1
"68","  Brokerage charges and investment counseling (s.)","61","BBRORX",20.7,17.4,19.2,19.1,21.5,24.9,30.2,32.6,36.1,43.2,50.5,60.4,80,98.9,86.2
"69","  Bank service charges, trust services, and safe deposit box rental (s.)","62","BBNKRX",33.8,34.4,36,36.5,37.3,38.8,40.4,39.7,40.5,42.9,45.6,51.6,56.8,58.8,60.7
"70","  Services furnished without payment by financial intermediaries except life insurance carriers (s.)","63","AIMPRX",144.3,146.4,147.5,154.2,157.2,156.8,163.2,172.3,173.9,177,188.4,195.6,201.4,220,227.4
"71","  Expense of handling life insurance and pension plans (s.) \17\","64","BLIFRX",63.3,70.1,72.2,71.2,81.3,78.8,84.9,83,87,81.3,84.6,81.7,82.3,82,80.3
"72","  Legal services (s.)","65","BGALRX",46,49.8,51.1,51.9,50.1,51.3,51,50.6,49.7,51.5,52.8,54,54.7,54.4,55.7
"73","  Funeral and burial expenses (s.)","66","BFUNRX",11.7,12.5,12.6,12.9,12.9,13.4,13.7,13.5,14,14.5,14.4,14.9,14.6,14.1,14.6
"74","  Other (s.) \18\","67","APBORX",17.3,18.7,19.9,20.9,21.2,21.6,22.4,23.3,23.6,24.8,25.7,27.1,28.1,28.9,29.4
"75","Transportation","68","A537RX",519.6,542.4,544.5,532.2,486,509.3,534.1,561.5,574.7,594.6,619.3,658.5,704.8,726.8,750.4
"76","  User-operated transportation","69","A538RX",481.4,503.4,505.9,493.5,448,471.7,496.1,521.2,532.3,550.2,573.5,609.4,653.1,673.9,699.8
"77","    New autos (d.)","70","A136RX",111.3,115.8,109.2,104,81,85.5,87.8,89.7,83.5,81.9,82.4,88.5,99.9,107,108
"78","    Net purchases of used autos (d.)","71","A137RX",41.1,41.6,41.5,42,40.8,41.7,46.9,48.5,51.2,51.4,54.4,57.5,59.8,60.4,60.4
"79","    Other motor vehicles (d.)","72","AOAURX",63.2,68.2,74.2,69.7,60.7,68.4,75.3,81.7,81.9,84.3,88.1,103.7,116.8,123.9,147.3
"80","    Tires, tubes, accessories, and other parts (d.)","73","ATBARX",26.1,28.3,28.5,29.7,29.1,29.9,32.2,35.2,36.8,38.7,39.9,42.1,45.3,46.7,45.4
"81","    Repair, greasing, washing, parking, storage, rental, and leasing (s.)","74","BREPRX",92.9,99.6,101.7,100.8,93.7,100.2,105.1,115,124.5,134.2,144.2,148.6,156.7,162.1,162.2
"82","    Gasoline and oil (n.d.)","75","C170RX",112.8,114.9,116.4,113.1,109.4,112.5,115.4,117.4,120.2,124.2,128.1,131.8,136.4,135.7,138.8
"83","    Bridge, tunnel, ferry, and road tolls (s.)","76","BTOLRX",2.8,2.5,2.9,2.8,2.9,3.3,3.3,3.4,3.5,3.7,3.9,3.6,3.8,3.9,3.9
"84","    Insurance (s.) \19\","77","BAINRX",31,31.9,31.2,31,30.3,30.1,30.1,30.2,30.6,31.8,32.5,33.6,34.1,34.3,34.3
"85","  Purchased local transportation","78","A477RX",10,10.1,10.2,10.8,10.7,10.6,10.8,11.3,11.4,11.2,11.3,12.2,12.5,12.6,12.7
"86","    Mass transit systems (s.)","79","BSTRRX",6.5,7,7,7.4,7.5,7.5,7.6,8,7.8,7.7,7.7,8.2,8.7,9,9.1
"87","    Taxicab (s.)","80","BTAXRX",3.5,3.2,3.1,3.4,3.2,3,3.2,3.3,3.6,3.5,3.6,4,3.8,3.5,3.5
"88","  Purchased intercity transportation","81","A480RX",28.1,28.8,28.5,28.1,27.2,27.1,27.5,29.2,31,33.3,34.5,36.9,39.3,40.3,38
"89","    Railway (s.)","82","BIRRRX",0.8,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8
"90","    Bus (s.)","83","BIBURX",1.5,1.9,1.6,1.3,1.5,1.5,1.6,1.5,1.6,1.8,1.8,1.8,1.8,1.3,1.3
"91","    Airline (s.)","84","BIAIRX",22.8,22.6,22.4,22,21.2,20.8,21.4,22.9,24.3,26.2,27.3,29.5,31.7,33.4,31.6
"92","    Other (s.) \20\","85","BTRORX",2.8,3.4,3.7,3.9,3.8,4.1,3.8,4.2,4.4,4.7,4.6,4.8,5,4.7,4.3
"93","Recreation","86","A539RX",247.6,268.3,282.7,292.6,296.4,313,338.3,365.2,398.7,429.6,463.7,506.3,558.3,604.9,644.6
"94","  Books and maps (d.)","87","BBKSRX",17.1,18.2,18.5,18.9,18.6,18.9,20.3,22,23.9,24.9,26,27.1,30.2,32.5,34.1
"95","  Magazines, newspapers, and sheet music (n.d.)","88","BMAGRX",24.9,26.3,26.4,27.2,26.2,25.2,25.7,26.8,27.2,27.6,28.8,30.1,30.8,31.8,32.1
"96","  Nondurable toys and sport supplies (n.d.)","89","BTOYRX",28.5,29.9,32.1,33.7,35.2,36.7,39.5,43.1,47.4,50.6,53.7,59.7,67.8,74.5,82.6
"97","  Wheel goods, sports and photographic equipment, boats, and pleasure aircraft (d.)","90","AWHGRX",30,31.4,32.4,31.8,30.7,30.9,33.4,35.5,38.5,40.5,43.1,47,52.3,58.1,64.5
"98","  Video and audio goods, including musical instruments, and computer goods (d.)","91","BRADRX",25.7,29.4,31.2,33,36.2,40.3,47.7,57.1,67.3,80,97,121.3,152.7,185.5,211.5
"99","    Video and audio goods, including musical instruments (d.)","92","BVAMRX",31.6,34.7,36.6,37.3,37.5,39.8,43.4,49.2,53.6,56.4,60.4,67.4,78.3,90.7,99
"100","    Computers, peripherals, and software (d.) \*\","93","BCPTRX",1,1.5,1.7,2.1,3.4,4.5,7,10,14.6,23.6,38.1,60.9,91,122,152.6
"101","  Radio and television repair (s.)","94","BRTVRX",4.7,4.9,4.8,4.6,4.1,3.9,3.6,3.5,3.7,3.7,3.9,4,3.9,4,4.1
"102","  Flowers, seeds, and potted plants (n.d.)","95","BFLORX",10.5,10.9,11.5,11.5,11.1,11.7,12.5,13.2,13.4,14.9,15.8,16.2,17.4,17.5,17.9
"103","  Admissions to specified spectator amusements","96","A481RX",15.6,16.4,17.1,18,17.9,18.3,19.7,19.8,20.2,20.7,21.5,22.3,22.6,23.1,23.9
"104","    Motion picture theaters (s.)","97","BMOVRX",4.9,5.3,5.9,6.2,6,5.6,5.6,5.7,5.8,5.8,6.1,6.6,6.9,6.6,7.1
"105","    Legitimate theaters and opera, and entertainments of nonprofit institutions (except athletics)(s.)","98","BLEGRX",5.8,6,5.7,6.3,6.2,6.9,7.7,7.8,8,8,8.4,8.3,8.1,8.4,8.7
"106","    Spectator sports (s.) \21\","99","BSPERX",4.8,5,5.5,5.5,5.6,5.8,6.3,6.3,6.4,6.9,6.9,7.4,7.7,8.1,8.1
"107","  Clubs and fraternal organizations (s.) \22\","100","BCLURX",8.8,9,9.7,10.3,10.9,11.4,12.1,12.5,13.1,14,14.3,14.2,14.7,14.9,14.9
"108","  Commercial participant amusements (s.) \23\","101","ACOMRX",23.1,25.6,27.1,29.2,29.3,33.1,36.7,40.6,45.1,48.3,51.5,54.9,58.8,61.6,63.9
"109","  Pari-mutuel net receipts (s.)","102","BPARRX",4.4,4.4,4.3,4.2,4,3.7,3.5,3.5,3.6,3.5,3.5,4.1,4.2,4.3,4.3
"110","  Other (s.) \24\","103","AREORX",63.7,70.5,76.3,78.7,78.5,84.1,87.5,89.3,96.2,100.8,105.3,109.6,114.2,118.7,122.2
"111","Education and research","104","A482RX",95.2,100,104.9,107.6,108.9,111.8,113.5,115.8,119.2,122.3,126,130.7,136.8,141.3,144.9
"112","  Higher education (s.) \25\","105","BHEDRX",55.6,56.7,58.6,60.1,61.4,62.8,63.5,64.3,65.6,66.1,66.9,68.7,71.5,72.2,73.6
"113","  Nursery, elementary, and secondary schools (s.) \26\","106","BEEDRX",22.4,22.8,24.2,25,25.1,25.6,25.9,26.7,27.4,27.4,28.1,28,29.2,29.8,29.9
"114","  Other (s.) \27\","107","BOEDRX",17.6,20.6,22.1,22.4,22.5,23.3,24.1,24.8,26.2,28.8,31,34,36.1,39.2,41.3
"115","Religious and welfare activities (s.) \28\","108","BRAWRX",96.8,104.1,108,115.3,116.6,125.1,126.8,136.5,138.7,146.8,145.5,155.3,157.5,164.9,166.4
"116","Foreign travel and other, net","109","A540RX",10.9,5.2,-0.8,-5.3,-13.1,-18.5,-18.6,-16.1,-21.4,-24.1,-20.6,-11.4,-11.7,-7.5,-5
"117","  Foreign travel by U.S. residents (s.) \29\","110","BFTRRX",46.4,48.2,49.4,51.7,47.3,49.7,52.7,55.8,55.3,57.6,62.4,69.1,70.9,78.7,73.3
"118","  Expenditures abroad by U.S. residents (n.d.)","111","AABDRX",5.5,4.7,4.9,4.3,4,2.8,2.8,2.6,2.3,2.2,3.3,3.5,3.6,4,4.4
"119","  Less: Expenditures in the United States by nonresidents (s.) \30\","112","BEXFRX",40.1,46.6,54.1,60.1,63.2,69.2,72.3,72.9,77.4,82.4,84.7,82.4,84.2,88.2,80.6
"120","  Less: Personal remittances in kind to nonresidents (n.d.)","113","BREMRX",1,1.2,1,1.1,1.2,1.7,1.8,1.7,1.7,1.5,1.6,1.6,1.9,1.9,2.1
"121","Residual","114","A964RX",-36.7,-35.8,-31.9,-34,-32,-23.8,-14.9,-7.8,-2.9,0.1,-2.1,-15.2,-41.6,-72.6,-100.5
"122"," * Because of rapid changes in relative prices, the chained-dollar estimates for computers are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","especially misleading as a measure of the contribution or relative importance of this component.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","  See notes and footnotes to table 2.4.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
