"","Table 8#26# Relation of Monetary Interest Paid and Received in t","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"21","      Interest passed through to partners","12","B2652C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.5,0.6,0.8,0.9,1.2,1.8,2.6,3.5,4.7,5.7,8.4,10.6,13.5,5.2,6.6,7.4,6.7,7,6.1,8.2,10.1,10,11.8,16.4,21.4,20.1,28.8,NA
"22","      Interest capitalized on tax returns","13","B2653C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.2,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,2.4,2.2,3,3,2.1,1.3,1.1,2,1.5,1.2,1,0.9,0.8,0.9,NA
"23","Less: Adjustment for misreporting on income tax returns","14","B2654C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.5,0.7,0.9,1.1,1.4,1.5,2.1,3.1,4.2,5.5,6,7.9,9.4,9.2,8.7,7.9,7.9,8.6,9.3,10,11.3,13.1,13.5,16.3,NA
"24","Equals: Monetary interest paid, NIPA's","15","B1102C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,1,1.1,1.2,1.3,1.4,1.5,1.7,1.9,2.1,2.4,2.7,3,3.4,3.9,4.9,5.9,7.1,8.6,11,13.9,15.1,16,17.6,20.8,27.7,35.9,46.2,53.4,57,70.5,80.9,88.9,83.6,96,113.7,111.3,105.4,95.3,94.6,103.8,112.1,119.7,135.7,157.7,161.5,196.3,199.2
"25","      Corporations",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Interest received, IRS","16","B2655C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5,5.4,5.9,6.5,7.2,9.5,10.8,11.6,13.2,15.1,16.9,17.9,20.9,23.6,24.9,27.7,30.9,33.9,37.2,41.9,45.4,52.3,62.2,71.6,76.1,86.3,113.3,143,143.3,156,176.7,220.9,289.3,366.9,493.4,529.8,511.3,580.4,634.7,658.7,705.7,804.6,967.2,977.4,919.7,829.3,807.9,881.6,1039.5,1082.1,1186.9,1276.8,1353.6,NA,NA
"27","Less: Interest received by foreign branches of commercial banks","17","B2656C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,4.8,8.1,11.9,16.6,22.5,19.7,14.3,18.6,16.2,13.1,12.8,15.1,17.9,16.6,12.7,12,12.2,11.1,11.5,12,11.3,12.8,11.5,NA,NA
"28","Plus: Interest received by organizations not filing corporation income tax returns","18","B2657C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.4,0.4,0.4,0.6,0.7,0.8,0.7,0.8,1,1.3,1.3,1.6,1.9,1.8,2,2.3,2.7,3.1,3.7,4.2,5,6.2,7.4,7.4,7.8,10.3,13.7,14.6,15.8,17,20.9,26.8,33.6,45.4,52,47.9,51.6,52.1,53,50.6,56.7,64,64.1,60.4,53.8,50,54.9,68.3,70.1,76.2,82.5,89.3,NA,NA
"29","        Federal Reserve banks","19","B2658C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.6,0.8,0.7,0.9,1.1,0.9,1,1.2,1.3,1.6,1.9,2.2,2.8,3.4,3.9,3.7,3.8,5,6.3,6.3,6.6,6.9,8.5,10.3,12.8,15.5,16.5,16.1,18.1,18.1,17.5,17.6,19.5,22.2,23.5,22.6,20.2,18.9,20.9,25.4,25.2,26.9,28.2,29.3,NA,NA
"30","        Federally sponsored credit agencies","20","B2659C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.9,1,1,1.3,1.8,1.6,1.6,2.4,3.7,4.3,4.4,4.5,5.7,8.4,11.8,16.8,19.9,17,18.4,17.9,16.7,16,17.9,21.6,18.8,15.3,12.8,11.2,13.7,19.8,20.2,22.7,26.3,30.7,NA,NA
"31","        Other \3\","21","B2660C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1.3,1.5,1.7,2,2.4,2.9,3.8,4,4.8,5.7,6.7,8.1,9.1,13.1,15.6,14.9,15.1,16.1,18.8,16.9,19.3,20.2,21.8,22.5,20.7,19.8,20.3,23.1,24.7,26.6,28.1,29.2,NA,NA
"32","      Adjustment for mutual savings banks and savings and loan associations","22","B2661C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.2,0.2,0,0,0.3,0.3,0.4,0,0.7,0.8,1,0.7,0.9,1.2,1.2,1.3,1.5,1.2,2.3,2.5,3.2,4,3.6,6.1,5.8,12.8,10.2,2.5,10.2,19.8,24.2,20.2,14.7,6.4,3.5,3.7,5.4,6.2,4.4,3.3,11,NA,NA
"33","      Other \4\","23","B2662C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.6,0.7,0.4,0.5,0.5,1.1,0.7,0.7,0.9,0.9,0.8,0.8,1.7,2.6,2.8,3.3,3.9,4.9,6.4,7.4,8.1,8.9,8.2,9.4,9.9,12.2,14,14.7,15.2,14.3,13.1,9.1,4.9,4.8,9.4,11.5,12.7,13.4,14.2,NA,NA
"34","Equals: Monetary interest received by corporations, NIPA's","24","A2070C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,6.3,7.1,7.7,8.5,9.5,10.7,11.9,12.7,14.3,16.5,18.7,19.8,22.9,26,27.3,30.4,33.8,37.4,41.2,46.7,50.9,58.8,70.2,80.6,85.2,96.1,126.5,160.6,162.2,174.2,195.1,241.1,313.8,395.4,528.1,577,558.8,635.6,690.8,713.3,767.6,880.8,1052.8,1059.4,995.1,886.6,854.1,934,1111.1,1157.8,1268.9,1363.2,1456.5,1713.3,1613.2
"35"," 1. Consists of interest paid by nonprofit organizations serving business and by credit unions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," 2. Consists of construction interest capitalized on tax returns, interest reported on tax returns in cost of goods sold, and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","interest passed through to shareholders by small",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","business corporations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," 3. Consists of nonprofit organizations serving business, of credit unions, and of other tax-exempt interest received by ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","commercial banks and nonlife insurance carriers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41"," 4. Consists of interest received by credit agencies and finance companies reported as business receipts on tax returns and of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","interest passed through to shareholders by small business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","corporations.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","  Note.  Total interest received by financial proprietorships and partnerships is not separately identified by the IRS.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
