"","Table 8#15# Capital Consumption Adjustment by Legal Form of Orga","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"18","    For consistent accounting at historical cost","11","B1406C",0.2,0.1,0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.2,-0.2,0.1,0.8,1.2,2,2.1,-0.2,0.4,0.7,0.7,0.7,1.3,1.7,2.5,3.1,4.6,4.9,5.5,5.6,6.2,6.6,6.9,9.6,10.2,10.8,11.7,12.4,13.3,14.4,15.8,16.3,17.3,20,21.2,23.3,25.4,26.4,31.8,35.1,40,47.6,72.8,90.1,100.1,114.1,131.5,115.8,114.9,118.2,114,105.7,98.8,92.8,92.1,103.8,109.2,112.8,116.5,110.7,117.6,97.4,142.4
"19","    For current-cost valuation","12","B1407C",-0.6,-0.4,-0.1,0.2,0.3,0,-0.1,-0.2,-0.5,-0.5,-0.4,-0.6,-0.9,-1.5,-1.4,-1.5,-1.4,-2,-2.9,-3.5,-3.5,-3.5,-4.4,-4.4,-4.4,-4.2,-4.1,-5.2,-6,-5.8,-5.9,-5.6,-5.2,-4.9,-4.6,-4.6,-4.6,-4.8,-5.5,-6.5,-7.5,-8.9,-10.2,-11.3,-12.4,-18,-26.9,-30.3,-34,-39.3,-46.9,-56.3,-68,-73.3,-67.1,-62.4,-60.1,-60,-59.9,-64.8,-69,-71.5,-72.6,-69.1,-68.5,-70.2,-70.6,-66.9,-65.4,-58.7,-55,-58.6,-68.8
"20","Sole proprietorships and partnerships","13","A2204C",-0.5,-0.5,-0.4,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.2,-0.2,-0.4,-0.3,-0.2,-0.1,-0.2,-0.1,-0.2,-0.4,-0.3,-0.4,-0.6,-0.5,-0.4,-0.3,-0.6,-0.9,-1.1,-1.4,-1.6,-1.9,-2.4,-2,-2,-2.8,-3.9,-4.1,-3.9,-4,-4.1,-5,-1.9,-1.4,7.8,18,26.9,31.8,28.5,29.3,30.2,20.4,17.6,21.2,23.3,16.3,21.9,27.7,36.5,42.5,54.5,65.6,79.2
"21","  Farm \1\","14","B044RC",-0.1,-0.1,-0.1,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.5,-0.6,-0.6,-0.6,-0.8,-0.8,-0.8,-0.7,-0.7,-0.8,-0.9,-0.9,-0.9,-0.9,-0.8,-0.8,-0.8,-0.8,-0.8,-0.9,-1,-1.1,-1.2,-1.4,-1.6,-1.7,-1.9,-2.5,-3.4,-3.9,-4.2,-4.7,-5.7,-7.1,-8.3,-9,-8.8,-8.6,-8.2,-8.1,-7.9,-7.9,-7.9,-8,-8,-8.2,-8.1,-8,-8,-7.9,-7.8,-7.5,-8,-7.6,-7.7
"22","  Nonfarm","15","A2205C",-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0,0,0,0,0.1,0.1,0.4,0.4,0.3,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.6,0.4,0.3,0.3,0.4,0.5,0.2,0,-0.1,-0.3,-0.3,-0.5,-0.8,-0.2,-0.1,-0.2,-0.5,-0.2,0.3,0.8,1.6,2.1,6.3,7.6,16.6,26.6,35,39.9,36.4,37.1,38,28.5,25.6,29.4,31.4,24.3,29.9,35.5,44.2,50,62.6,73.2,86.8
"23","    For consistent accounting at historical cost","16","B1409C",-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,0.1,0.2,0.3,0.3,0.4,0.9,1,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.8,1.9,1.8,1.8,1.5,1.3,1.3,1.3,1.3,1.1,1,1,1,1.3,1.4,1.5,2.2,2.7,3.6,4.7,5.5,6.7,8.4,10.8,13.1,19.4,22.1,30.1,39.4,47.7,53,49.9,51.9,53.6,44.5,41.7,45,47.1,44.1,46.5,52,61.1,66.7,79.2,91.1,105.5
"24","    For current-cost valuation","17","B1410C",0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0,0,0,0,-0.1,-0.2,-0.2,-0.2,-0.3,-0.4,-0.7,-0.9,-0.8,-0.8,-1.1,-1,-1,-0.9,-0.9,-1.1,-1.3,-1.2,-1.2,-1.1,-1,-1,-0.9,-0.9,-0.9,-1,-1.1,-1.3,-1.6,-1.9,-2.3,-2.5,-2.8,-3.8,-5.2,-5.7,-6.5,-7.6,-9.2,-11.1,-13.1,-14.5,-13.5,-12.7,-12.7,-13.2,-13.5,-14.8,-15.6,-16,-16.1,-15.5,-15.7,-19.8,-16.6,-16.4,-16.9,-16.7,-16.6,-17.9,-18.7
"25","Other private business \1\","18","A2206C",-0.4,-0.4,-0.3,0,0,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.6,-0.7,-0.9,-1,-1.2,-1.7,-1.9,-1.9,-2,-2.3,-2.3,-2.3,-2.3,-2.4,-2.6,-2.6,-2.5,-2.4,-2.4,-2.4,-2.3,-2.3,-2.3,-2.5,-2.8,-3.2,-3.7,-4.5,-4.9,-5.8,-7,-8.2,-10.3,-12.4,-13.8,-16.2,-19.6,-23.7,-28.2,-31.8,-34.2,-34.7,-35.2,-37,-37.5,-39.4,-41.5,-46.5,-45.1,-46.6,-54.9,-49.7,-54.5,-54.8,-54.8,-57.3,-59.2,-64.1,-67.2,-74.1
"26","  Rental income of persons","19","B050RC",-0.4,-0.4,-0.3,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.5,-0.6,-0.8,-0.9,-1,-1.4,-1.6,-1.6,-1.7,-1.9,-2,-2,-2,-2,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2,-2,-2.2,-2.5,-2.8,-3.3,-3.9,-4.3,-5,-6.1,-7,-8.7,-10.3,-11.5,-13.6,-16.5,-20,-23.6,-26.5,-28.5,-28.9,-29.4,-31.2,-31.5,-33.1,-35,-39.7,-38.1,-39.6,-48.1,-42.8,-47.5,-47.5,-47.6,-50,-51.7,-57.6,-60,-66.5
"27","    Nonfarm housing","20","B2611C",-0.4,-0.4,-0.3,-0.1,-0.1,-0.2,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.4,-0.5,-0.6,-0.8,-0.9,-1,-1.4,-1.6,-1.6,-1.7,-1.9,-1.9,-1.9,-1.9,-2,-2.1,-2.1,-2.1,-2.1,-2.1,-2.1,-2,-2,-2,-2.2,-2.5,-2.8,-3.2,-3.9,-4.3,-5,-6,-7,-8.6,-10.2,-11.4,-13.5,-16.4,-19.9,-23.5,-26.3,-28.3,-28.8,-29.2,-31,-31.3,-32.9,-34.7,-39.5,-37.9,-39.3,-47.9,-42.5,-47.2,-47.2,-47.3,-49.6,-51.3,-57.2,-59.6,-66.1
"28","      Owner-occupied","21","B2612C",-0.3,-0.3,-0.2,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.4,-0.4,-0.5,-0.6,-0.7,-1,-1.1,-1.1,-1.2,-1.3,-1.4,-1.4,-1.4,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.7,-1.9,-2.1,-2.5,-3,-3.3,-3.9,-4.8,-5.4,-6.8,-8,-9,-10.7,-13,-15.9,-18.8,-21,-22.7,-23,-23.3,-25,-25,-26.4,-27.9,-32.4,-30.5,-32,-40.5,-34.8,-38.5,-38.8,-38.8,-40.7,-42.2,-47.6,-49.4,-55.3
"29","      Tenant-occupied","22","B2613C",-0.1,-0.1,-0.1,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.6,-0.6,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.6,-0.7,-0.8,-0.9,-1,-1.1,-1.3,-1.5,-1.8,-2.2,-2.4,-2.8,-3.4,-4,-4.7,-5.3,-5.7,-5.7,-5.9,-6,-6.3,-6.6,-6.9,-7.1,-7.3,-7.4,-7.4,-7.8,-8.7,-8.4,-8.6,-8.9,-9.1,-9.6,-10.2,-10.7
"30","    Farms owned by nonoperator landlords","23","B2614C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"31","    Nonfarm nonresidential properties","24","B2615C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3
"32","  Fixed assets owned and used by nonprofit institutions serving individuals","25","B183RC",0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.4,-0.3,-0.3,-0.3,-0.4,-0.4,-0.4,-0.3,-0.3,-0.3,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.4,-0.5,-0.6,-0.8,-0.9,-1.1,-1.5,-1.9,-2.1,-2.3,-2.8,-3.3,-4.1,-4.7,-5.1,-5.1,-5.2,-5.2,-5.4,-5.7,-5.9,-6.2,-6.4,-6.4,-6.1,-6.2,-6.4,-6.7,-6.5,-6.7,-6.9,-5.9,-6.6,-7
"33","  Proprietors' income","26","B1411C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.3,-0.3,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.6,-0.6,-0.7,-0.7,-0.6,-0.6,-0.6,-0.6,-0.6
"34","Addendum:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","  Capital consumption adjustment for national income (4+13+19+26)","27","A2207C",-1.4,-1.2,-0.7,-0.3,-0.2,-0.6,-0.6,-0.6,-1.2,-1.5,-1.3,-1.4,-1.7,-1.7,-1.1,-0.5,-0.4,-3.6,-4.3,-5,-4.8,-4.7,-5.5,-5.2,-4.3,-3.2,-1.9,-2.7,-3,-2.8,-2.1,-1.6,-0.9,2.1,3.3,4,4.4,4.2,4,3.3,3,1.4,-0.1,1,0.2,-5.7,-15.7,-19.8,-20.2,-24.8,-31.9,-39.9,-26.3,-17.2,8.4,35.8,62.3,50,43.1,39,25.2,1.6,-12.5,-23.3,-16,-19.6,-7.7,4,18.8,28.2,44.2,25.8,68.6
"36"," 1. Except for farm proprietorships and partnerships (line 14) and other private business (line 18), the capital consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","adjustment is calculated in two parts.  The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","based on the service lives and depreciation schedules employed by firms when filing their income tax returns, to consistent ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","lives and empirically based depreciation schedules.  The adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","for current-cost valuation converts the historical-cost series with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","consistent accounting to a series valued at current cost.  For farm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","proprietorships and partnerships and for other private business, the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","historical-cost series is based on consistent service lives and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","empirically based depreciation schedules, so the adjustment reflects",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
