"","Table 3#15# Government Consumption Expenditures and Gross Invest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","  Tax collection and financial management","4","G15004",0.9,0.9,1,1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.7,1.9,2,2.2,2.4,4,4.5,5.3,5.9,6.3,7,7.9,8.5,8.9,10.2,11.5,12.3,13.3,14.1,15.2,17.3,18.5,21.4,23.6,25.3,27.1,28.8,30.6,33.2,35.5,36.2,38.6,39.7,40.1,43.5,43.7,47.1,48.8,53.4
"12","  Other","5","G15005",0.7,0.5,0.7,0.9,0.8,1,1.2,1.5,1.6,1.9,2,2.2,2.4,2.9,3.2,3.8,4.6,5.3,5.6,6.5,7.6,9.3,11.4,13.9,15.1,16.5,18,19.5,22,23.6,24.3,26.3,28.7,30.7,33.7,35.3,37,40.6,44,46,48.2,50.6,53.7,55.9,57.8,66.4,71.8,78.9,86.6,90.7
"13","National defense","6","A824RC",52.4,56,49.3,47,49.3,53.7,55.5,56,55.2,58.1,62.8,62.7,61.8,62.4,73.8,85.8,92.2,92.6,90.9,89,93.5,93.9,99.7,107.9,113.2,122.6,132,146.7,169.6,197.8,228.3,252.5,283.5,312.4,332.2,351.2,355.9,363.2,374.9,384.5,378.5,364.9,355.1,350.6,357,352.6,349.1,364.3,374.9,399.9
"14","Public order and safety","7","G15007",2.6,2.7,3,3.2,3.5,3.8,4.1,4.4,4.7,5.1,5.3,5.7,6.1,6.6,7.2,7.9,9.2,10.2,11.7,13.3,15,16.8,19.2,22.1,24.4,26.8,30.4,33.8,37.9,42.4,47.3,51.8,56.5,62.9,69,75.6,83.1,92,101.8,110.3,118.2,124.3,132.9,142.1,152.8,162.3,173,187.1,203.2,218.7
"15","  Police","8","G15008",1.1,1.2,1.4,1.5,1.6,1.8,1.9,2,2.2,2.3,2.5,2.7,2.9,3.1,3.4,3.8,4.6,5,5.7,6.5,7.4,8.3,9.3,10.7,11.7,12.8,13.9,15.2,16.8,18.7,20.5,22.3,23.9,26.3,28.3,30.5,33,35.7,38.8,41.7,45,47.3,50.1,53.6,58.9,63.4,68.4,75.3,82.2,89.4
"16","  Fire","9","G15009",0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.4,2.7,2.9,3.2,3.6,4.1,4.5,4.8,5.3,5.8,6.4,7.2,7.9,8.5,9.1,9.9,10.9,11.8,12.3,13.4,14.4,15.2,16.5,17.1,17.9,18.6,19.4,20.5,22,23.1,24.8,26.6
"17","  Law courts","10","G15010",0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.8,3.2,3.6,3.9,5.2,6.1,7,7.8,8.6,9.4,10.1,11.2,12.1,13.2,15.1,17,19,20.9,22.4,23.6,25,26.7,28.6,30.5,32.7,34.3,36.9,39.6
"18","  Prisons","11","G15011",0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.5,1.6,1.9,2.2,2.5,2.8,3.5,4.1,4.6,5.2,5.9,6.7,7.7,8.8,10.3,11.7,13.3,15.5,17.7,20.1,22.7,25.9,29.6,32.5,34.3,36.4,39.9,43.1,45.9,47.9,50,54.4,59.3,63.2
"19","Economic affairs","12","G15012",10.4,12.7,13.4,14.1,13.9,15.4,16.9,20.6,19.6,20.6,23.4,26.3,29.1,31.5,33.3,35,37.7,39.6,41.6,44.6,46.9,49,56.2,63.7,66,70.8,81.1,90.4,102.7,114.6,116.7,124.5,127.2,139.8,149,150.8,150.1,161.8,178.3,184.1,194,201.2,207.9,213.1,220.7,234.8,241,259.6,278.7,289.3
"20","  General economic and labor affairs","13","G15013",0.6,0.6,0.7,0.6,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.5,1.7,1.8,2,2.5,2.8,2.9,3.4,4.2,4.8,5.2,4.5,5.1,5.7,6.5,7.3,8.3,9.9,9.8,9.9,9.7,9.9,10.6,11.1,11.7,12.9,15.1,19.2,15.8,16.9,17.5,17.4,18.6,19.4,21.4,21.9,23.9,28.1,25.1
"21","  Agriculture","14","G15014",0.9,3,3,3.3,1.7,1.7,1.7,4,2.2,1.4,2.3,1.7,1.8,1.5,0.5,0.9,2.4,3.4,2.5,2.6,2.5,2.6,2.8,3.8,3.8,4.1,4.7,5.2,7.4,7.6,10,12,8.5,12.6,17.5,12.4,5.1,9.4,9.1,11.1,12.3,11.5,11.1,10.6,10.9,12.8,11.9,13.6,14.9,16
"22","  Energy","15","G15015",0.6,0.6,0.6,0.6,0.8,0.9,1.1,1.2,1.4,1.7,1.6,1.7,2.2,2.2,2.1,2.5,2.5,2.7,2.9,3,3.3,3.4,4.7,5.8,7,8.9,12.5,12.1,12.4,18.3,14.7,14.4,13.9,14.5,13.1,12.5,12,11.3,11.8,12,15.2,16.9,15.1,16.4,13.5,14.1,12.5,15.3,17.6,15.8
"23","  Natural resources","16","G15016",1.4,1.5,1.4,1.2,1.4,1.6,1.8,1.8,1.7,2,2.1,2.3,2.4,2.8,3.1,3.4,2.9,3,3.4,3.7,4,4.1,4.8,5.7,5.8,6.3,7,8.5,9.6,10.8,11.1,12.3,12.4,13.5,13.7,14.5,15.1,15.7,16.6,17.8,18.6,18.9,21.5,21.8,23,23,24.3,24.8,27.5,28.7
"24","  Transportation","17","G15017",6.7,6.9,7.6,8.2,9.1,10.2,11.2,12.2,12.2,13.1,14,15.2,15.7,16.8,18.6,19.8,21.5,22.5,24.6,26.3,27.5,29.2,34.3,37.7,37.9,39.3,43.6,49.8,55.8,59.7,62.3,66.2,72,77.5,82.5,86.9,91.4,94.4,102.9,107.7,110.9,116.6,123.7,126.1,132.5,141.2,148.3,159.4,167.8,180.3
"25","    Highways","18","G15018",5.9,6.2,6.9,7.5,8.2,9.2,10,10.8,10.6,11.3,12.2,13.2,13.6,14.6,16,16.8,18.2,19,20.7,22.3,22.8,24.2,28.5,31.4,31.1,32,35.5,40.4,44.7,47.7,49.7,51.7,56.7,61.5,66,69.5,73,74.4,80.6,83.3,85.4,89.4,95.2,98.2,103.3,110.4,116.4,125.3,131.9,141.5
"26","    Air","19","G15019",0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.6,1.9,2,2.1,2.3,2.6,2.7,2.8,2.9,3.3,3.7,4.3,4.3,4.3,5.3,5.7,6.4,7.1,7.6,8.1,9,10,11.2,12.4,13.5,13.1,12.4,13,14.1,15.2,16.5,16.7,18.3
"27","    Water","20","G15020",0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3,1.3,1.3,1.4,1.5,1.6,2,2.2,2.2,2.5,2.9,3.5,4.1,4.3,4.6,5.2,5.4,5.5,5.3,5.6,6,6.1,6.6,7.2,7.2,7.3,7.6,7.5,7.8,8,8.5,9.1,9.8,10.4
"28","    Transit and railroad","21","G15021",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.5,0.6,0.7,0.6,0.6,1,1.2,1.3,1.5,1.7,1.8,2,2.2,2.8,3.3,3.8,4,4.2,4,4.1,4.2,4.3,5,5.6,5.9,5.9,6.4,7.9,8,8.4,8.7,8.2,8.5,9.4,10.1
"29","  Postal service","22","G15022",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.6,2.7,2.9,3.7,4.4,4.8,5.7,5.4,5.3
"30","  Space","23","G15023",0,0,0,0,0,0,0,0.3,0.6,0.9,1.9,3.5,4.9,5.9,6.4,5.5,5.3,4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,17,16.2,16.4,17.6,17.8,16.9,16.5,16.9,17.5
"31","  Other","24","G15024",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.1,0.3,0.3,0.2,0.3,0.4,0.4,0.4
"32","Housing and community services","25","G15025",1.9,1.9,1.8,1.6,2.1,2.3,2.6,2.7,2.8,3.1,3.5,3.3,3.8,4,4.2,4.5,5.2,5.1,5.5,6.2,6.2,7,8.3,9.1,9.6,9.5,11.3,12.5,15.1,15.2,14.7,14,15.9,17.7,20,22,22.7,23.6,25.5,26.9,27.6,27.4,26,27.8,29.4,30.7,29.6,30.3,28.1,29.5
"33","Health","26","G15026",3.2,3.2,3.1,3.3,3.5,3.9,4.1,4.3,4.6,5,5.2,5.6,6.1,6.4,7,7.8,8.7,9.8,11.4,12.8,14.4,16,18.4,21.1,22.3,24.3,26.9,28.5,33,35.4,36.4,38.2,41.4,44.1,46.2,50,53.8,57.5,62.9,66.2,67.9,69.8,72.8,72.6,74.9,74.6,76.9,82,92.7,99.3
"34","Recreation and culture","27","G15027",0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1,1,1.1,1.2,1.2,1.3,1.5,1.8,2.2,2.4,2.6,2.8,3.2,3.9,4.7,5,5.2,5.9,6.4,6.9,7.4,7.9,8.2,8.8,9.8,10.6,11.2,12,13.2,14.7,15.5,16.1,16.4,17.3,18.5,19.3,21.4,22.1,23.5,25.2,26.2
"35","Education","28","G15028",8.8,9.9,11.1,12.5,13.7,14.8,16.6,17.3,19.2,21,22.7,25,27.8,30.8,35.8,40.2,44,48.7,54.9,60.8,66.3,73.3,81.6,92.9,101,107.8,116,127.7,139.9,150.6,160.7,169.8,184.6,200.9,217.9,232.7,250.3,270.8,293,308.8,320,334.3,352.3,376.1,395.2,420,443.6,474.6,511.8,544
"36","  Elementary and secondary","29","G15029",7.3,8.3,9.4,10.6,11.6,12.4,13.9,14.2,15.8,17.2,18.3,20,22.1,24.2,27.6,30.6,33.5,37,41.2,45.6,49.6,54.5,60.8,69.6,75.5,80.8,87.1,96,104.7,111.7,119.2,126.7,138.2,150.1,163.5,175.8,189.1,204.7,222.3,235.4,245.4,255.4,268.5,288.8,305.3,325.5,343.7,369.2,397.3,421.2
"37","  Higher","30","G15030",1.1,1.1,1.2,1.4,1.5,1.8,2,2.4,2.7,3,3.4,4,4.5,5.1,6.2,7.5,8.1,9.1,10.6,11.6,12.8,14.7,16.3,18.1,20,21.3,22.9,25.2,28.1,31.3,33.6,34.8,37.3,41.3,44.2,45.9,49.3,53.2,56.9,59.1,59.9,63.7,67.4,69.8,70.9,74.6,78.7,83.7,90.7,97
"38","  Libraries","31","G15031",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.8,2,2.2,2.3,2.6,2.8,3.1,3.4,3.7,3.9,4.3,4.6,4.7,4.8,5.1,5.4,5.8,6.4,6.7,7.1,7.7,8
"39","  Other","32","G15032",0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.8,1,1.5,1.6,1.7,2,2.4,2.7,3,3.1,3.4,4,4.2,4.4,4.6,4.8,5.3,5.7,5.7,5.9,6.5,6.8,7.2,7.6,8.2,9,9.5,9.6,10,10.4,11.3,12.1,13.2,13.4,14.5,14.6,16.2,17.8
"40","Income security","33","G15033",0.5,0.6,0.6,0.6,1,1,1,1.1,1.1,1.4,1.6,1.6,1.7,2.1,2.5,2.9,2.9,3.4,4,4.7,5.8,6.6,8.4,9.2,10.5,12.2,13.1,14.3,16,16.9,17.7,19.5,21,22.4,23.3,24.8,26.4,29.1,32.4,35.3,39.5,42.7,44.8,45.9,47.4,50.6,55.1,58.6,63.9,67.4
"41","  Disability","34","G15034",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,0.9,1.2,1.1,1.3,1.5,1.6,2,2,2.3,2.7,2.8,3.1,3.5,3.3,3.4,3.5
"42","  Retirement \1\","35","G15035",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1,1,1.2,1.1,1.1,1,1,1.1,1.1,1.1,1,1.1,1.2,1.2,1.2,1.3,1.2,1.3,1.6,1,1.5,1.4
"43","  Welfare and social services","36","G15036",0.4,0.5,0.5,0.4,0.8,0.8,0.9,0.8,0.7,0.9,1.2,1.2,1.2,1.6,2,2.3,2.2,2.7,3.2,3.8,4.6,5.4,6.8,7.6,8.9,10.1,11.1,12.1,13.4,14.3,14.9,16.6,18,19.4,20.5,21.8,23.4,25.8,29,31.5,34.1,37,39.5,40.8,42.2,44.7,48.3,52.6,57.1,60.3
"44","  Unemployment","37","G15037",0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
"45","  Other","38","G15038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1,0.2,0.1,0.1,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.9,1.9,2.2,1.7,0.9,1,1.5,1.7,1.7,1.7,1.8
"46","      Federal","39","A823RC",59.2,64.4,57.3,54.9,56.7,61.3,63.9,67.4,65.9,69.5,76.9,78.5,79.8,82.1,94.4,106.8,114,116.1,116.4,117.6,125.6,127.8,138.2,152.1,160.6,176,191.9,211.6,245.3,281.8,312.8,344.4,376.4,413.4,438.7,460.4,462.6,482.6,508.4,527.4,534.5,527.3,521.1,521.5,531.6,538.2,539.2,565,589.2,628.1
"47","General public service","40","G15040",1.9,1.7,1.5,1.6,1.7,1.5,1.6,1.8,2,2,2.3,2.4,2.5,2.8,2.8,2.5,2.5,3.1,4,5,5.6,6,7.5,7.8,8.1,9,9.5,11.1,12.7,12.9,13.9,13.7,14.2,15.8,16.4,18.5,18.5,19.4,22.9,24.5,25.6,25,25.9,28.6,25.6,29.2,29.1,31.1,30.3,36.3
"48","  Executive and legislative","41","G15041",1.9,1.7,1.5,1.6,1.7,1.5,1.6,1.8,2,2,2.3,2.4,2.5,2.8,2.8,2.5,1.2,1.8,2.2,2.9,3.2,3.4,4.6,4.8,5,5.5,5.7,7.2,8.5,8.3,9.2,7.9,8.5,9.2,9.4,10.8,9.8,10.1,12.8,13.4,13.3,13.1,13.5,16.1,13.1,15.6,15.8,16.7,17.3,18.5
"49","  Tax collection and financial management","42","G15042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.4,1.8,2.1,2.4,2.6,2.9,3,3.1,3.5,3.8,3.8,4.2,4.5,4.7,5.8,5.7,6.6,7,7.7,8.7,9.3,10.1,11.1,12.3,12,12.4,12.5,12.4,13.6,13.3,14.4,13,17.8
"50","  Other \2\","43","G15043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"51","National defense","44","A824RC",52.4,56,49.3,47,49.3,53.7,55.5,56,55.2,58.1,62.8,62.7,61.8,62.4,73.8,85.8,92.2,92.6,90.9,89,93.5,93.9,99.7,107.9,113.2,122.6,132,146.7,169.6,197.8,228.3,252.5,283.5,312.4,332.2,351.2,355.9,363.2,374.9,384.5,378.5,364.9,355.1,350.6,357,352.6,349.1,364.3,374.9,399.9
"52","Public order and safety","45","G15045",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,1,1.2,1.4,1.6,1.9,2.2,2.5,2.7,3.1,3.4,3.5,3.7,4.4,5,5.4,5.9,6.7,8.2,9.1,9.8,11.5,12.9,13.5,14.1,15.2,17,18.1,19.4,22.5,24.4,26.3
"53","  Police","46","G15046",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.9,0.9,1.1,1.2,1.4,1.4,1.6,1.7,1.8,1.9,2.4,2.8,3,3.2,3.6,4.4,4.8,5.1,5.4,6.3,6.5,6.6,6.9,8.2,9.3,10.4,12.9,13.8,14.3
"54","  Fire","47","G15047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0.1,0.1,0,0.1,0,0.1,0.2
"55","  Law courts","48","G15048",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.7,0.7,0.8,1,1.2,1.3,1.3,1.4,1.6,1.8,1.9,2.2,2.6,2.9,3.3,4,4.3,4.5,4.7,5.1,5.5,5.6,6,5.8,6.1,6.9
"56","  Prisons","49","G15049",0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.8,0.8,1.1,1.3,1.4,2.1,2.3,2.4,2.7,3.1,3.3,3.2,2.9,3.7,4.4,4.9
"57","Economic affairs","50","G15050",3.2,5.1,4.9,4.9,3.7,3.9,4.4,7.3,6.1,6.2,8.2,9.5,11.6,12.5,12.6,12.6,13.6,14.2,14.1,15.3,16.4,16.4,17.7,21.5,22.9,26,30.4,32.6,38,44.5,43.7,48.5,45.5,50.4,53.8,51.9,46.6,54.7,62.2,64,70.2,71.5,71.6,72.5,74.6,77.7,77.3,82.2,89,90.3
"58","  General economic and labor affairs","51","G15051",0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.6,0.7,0.7,0.9,1.2,1.4,1.3,1.5,2.1,2.5,2.7,1.6,1.9,2.2,2.6,2.9,3.5,4.4,4,3.8,3.6,3.6,3.9,3.9,4.1,4.7,6.1,9.6,5.7,6.2,6.3,6,7,7.6,8,8.3,9.6,13,9.5
"59","  Agriculture","52","G15052",0.6,2.7,2.7,3,1.3,1.2,1.3,3.7,1.8,1,1.8,1.2,1.3,1,-0.1,0.3,1.7,2.6,1.6,1.7,1.5,1.5,1.6,2.4,2.4,2.6,3.1,3.4,5.4,5.4,7.6,9.3,5.7,9.5,14.3,9.1,1.6,5.7,5.1,6.9,8.1,7.2,6.7,6.2,6.3,8,7.1,8.2,8.8,9.9
"60","  Energy","53","G15053",0.5,0.4,0.3,0.3,0.4,0.5,0.7,0.7,0.8,1,1.1,1.1,1.3,1.3,1.4,1.6,1.5,1.7,1.8,1.8,2,1.9,2.9,4.2,4.8,6.2,8.5,7.7,7.8,12.6,9.3,9.1,9,8.3,7.3,7.8,7.4,7.3,7.7,7.8,10.7,12.3,11,12.3,10,9.8,8.6,10.5,10.5,11.8
"61","  Natural resources","54","G15054",1.1,1.2,1,0.8,1,1.1,1.2,1.1,1,1.2,1.3,1.4,1.4,1.5,1.8,1.9,1.4,1.5,1.9,2.2,2.5,2.4,2.8,3.4,3.4,3.9,4.4,5.4,5.9,6.9,6.8,7.7,7.3,7.9,7.6,8,8.3,8.3,8.8,9.6,10.1,10.1,11.8,11.4,12.2,12.1,13.3,13.1,15.1,15.4
"62","  Transportation","55","G15055",0.8,0.7,0.6,0.6,0.7,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.6,1.6,1.8,1.9,2,2.2,2.6,2.8,3.2,3.4,3.9,4.3,4.5,5.1,5.6,6.3,7,7.5,7.8,9.1,9.6,10,10,10.5,11.2,11.8,12.9,14.5,15.3,15.9,17.1,16.3,17.2,17.6,18.3,18.7,19.4,20.9
"63","    Highways","56","G15056",0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.5,0.5,0.8,0.9,0.5,0.4,0.5,0.4,0.3,0.4,0.4
"64","    Air","57","G15057",0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1,1.3,1.4,1.5,1.7,1.8,2,2.1,2.3,2.5,2.6,2.9,3,3,3.8,4,4.6,4.9,5.1,5.5,6.1,6.6,7.4,7.9,8.6,9.1,9,9.5,9.6,10,10.5,10.6,11.8
"65","    Water","58","G15058",0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1,1.1,1.2,1.3,1.4,1.7,1.8,1.9,2.2,2.5,2.9,3.3,3.6,3.9,4.6,4.8,4.8,4.6,4.9,5.2,5.3,5.8,6.4,6.5,6.4,6.6,6.5,6.6,6.8,7.3,7.6,8.2,8.6
"66","    Transit and railroad","59","G15059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.4,0.2,0.6,0.3,0.6,0.8,0.6,0.2,0.2,0.2
"67","  Postal service","60","G15060",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.6,0.6,0.8,0.6,0.7,0.7,0.8,0.9,1,1.1,1.5,1.5,1.5,2.4,2,2,2.5,3,3.1,2.6,2.7,2.9,3.7,4.4,4.8,5.7,5.4,5.3
"68","  Space","61","G15061",0,0,0,0,0,0,0,0.3,0.6,0.9,1.9,3.5,4.9,5.9,6.4,5.5,5.3,4.7,4.4,4.3,4.2,3.9,4.3,4.8,4.8,5,5.2,5.6,6.6,7.3,7.6,8.5,8.8,9.3,9.1,10,11.4,13.6,15.7,16.4,16.6,17,16.2,16.4,17.6,17.8,16.9,16.5,16.9,17.5
