"","Table 1#2C# Real Gross Domestic Product, Chained (1972) Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"15","    Nonresidential","8","A008CX1C",68.8,72.6,81.3,95.4,107.3,105.8,110.4,118.8,118.2,118.1,128.8,147.5,148.7,134,140.5,156.4,178.4,196.3,196.2,207.3,199.5
"16","      Structures","9","B009CX1C",32.2,32.6,35.9,41.7,44.5,43.4,44,46.4,46.5,45.8,47.2,51,50,44.7,45.8,47.7,53.3,60.1,64,69.1,68
"17","      Equipment and software","10","B010CX1C",37.7,40.9,46.1,54.5,63.2,62.8,66.6,72.5,71.8,72.4,81.7,96.6,99,89.5,95,109.3,126,137,132.1,137.7,130.5
"18","    Residential","11","A011CX1C",41.7,46.6,49.3,47.9,43.6,42.2,48,49.4,46.4,59.2,69.7,69.2,54.9,47.8,59.1,71.7,76.3,73.5,57.9,53.3,43.6
"19","  Change in private inventories","12","A014CX1C",7.5,7.1,5.8,11.8,16.4,12.2,10.9,10.5,1.7,9.2,9.1,13.7,9.6,-3.6,12.5,15.7,17,10,-4,14.6,-6
"20","Net exports of goods and services","13","A019CX1C",1.8,3.6,6.9,3.9,0.8,-1.5,-5.5,-5.9,-2.5,-5.5,-8,3.1,12.5,20.4,12.3,5.9,8.1,16.6,35.6,34.6,26.6
"21","  Exports","14","A020CX1C",35.8,38.5,43.6,44.5,47.4,48.5,52,54.9,60.8,61.2,66.2,80.7,88.4,87.8,93,95.3,105.3,115.4,127.8,129.3,120.1
"22","    Goods","15","A253CX1C",28,30.2,34.4,34.5,36.9,37.1,40,42.1,47,46.8,51.8,63.7,68.7,67.2,70.3,71.3,79.2,88.6,99.1,98.1,89.2
"23","    Services","16","A646CX1C",7.7,8.2,9.2,9.9,10.5,11.4,12,12.7,13.8,14.5,14.4,17,19.8,21.1,23.4,25,27,27.4,29,32.1,32
"24","  Imports","17","A021CX1C",33.9,34.8,36.7,40.6,46.6,50,57.5,60.8,63.4,66.7,74.2,77.7,75.9,67.5,80.7,89.5,97.2,98.8,92.3,94.7,93.5
"25","    Goods","18","A255CX1C",22.7,23.6,25.1,28.7,33.2,35,42.2,44.5,46.2,50.1,56.9,61,59.3,51.8,63.5,71.2,77.6,78.9,73.1,74.6,72.7
"26","    Services","19","B656CX1C",11.2,11.2,11.5,11.9,13.4,15,15.3,16.2,17.1,16.6,17.3,16.7,16.7,16,17.1,17.9,19.2,19.4,19,20.1,21.2
"27","Government consumption expenditures and gross investment","20","A822CX1C",217,222.1,226.5,233.5,254.5,273.7,282.4,281.2,274.9,269.7,270.1,268.1,273,278.2,278.5,281.2,289.9,295.5,301.4,304.1,308.8
"28","  Federal","21","A823CX1C",127,126.6,124.5,124.8,138.9,152.4,153.8,148.7,138.2,128.4,125.6,119.5,118.9,118.9,117.6,119.6,122.8,125.8,131.8,138,143
"29","    National defense","22","A824CX1C",104.3,101.7,97.2,95.5,109.3,123.3,125.5,119.6,109.5,98.3,93.5,87.4,85.3,84.2,82.5,83.1,83.7,86.1,89.7,95.2,102.3
"30","    Nondefense","23","A825CX1C",23.1,25.3,27.5,29.4,29.8,29.5,28.7,29.5,29,30.1,32.2,32.1,33.7,34.8,35.2,36.7,39.2,39.8,42.3,42.9,40.6
"31","  State and local","24","A829CX1C",90.6,96.1,102.6,109.5,116.4,122.2,129.4,133.2,137,141.4,144.4,148.6,154,159.1,160.7,161.4,167,169.6,169.5,166.1,165.9
"32","Residual","25","A960CX1C",-8.3,-7.6,-5.7,-4,-3.1,-5.8,-4.5,-3,-1.4,-1.3,-0.1,1.6,3.2,3.1,0.3,-2.9,-3.2,-0.1,6.9,5.3,3.6
"33","  Note.  Chained (1972) dollar series are calculated as the product of the chain-type quantity index and the 1972 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","The residual line is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","  Percent changes from preceding period for selected items in this table are shown in table 8.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","contributions to the percent change in real gross domestic product are shown in table 8.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","  Chain-type quantity indexes for the series in this table are shown in table 7.1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
