"","Table 8#25# Relation of Corporate Profits, Taxes, and Dividends ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","      Bad debt expense","12","B1182C",0.9,1,1.2,1.3,1.2,1.2,1,0.9,0.8,0.7,0.7,0.6,0.7,0.5,0.4,0.3,0.3,0.3,0.7,0.7,0.8,0.8,0.8,0.9,1.1,1.4,1.7,1.9,1.9,2.1,2.3,2.8,3.1,3.5,3.5,3.9,4.2,4.3,4.4,4.9,5.9,6.5,7.8,8.3,10.5,12.8,13.8,13.8,14.2,15.7,17.4,18.8,22.3,26.7,30.5,33.8,43.3,53.4,54.6,58.6,68.8,83.7,100.9,89.6,80.7,67.9,67.8,74.7,83.6,86.4,100.2,".....","....."
"20","Less: Tax-return measures of:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","        Gains, net of losses, from sale of property","13","B1183C",0.7,-0.2,-1.3,-1.6,-1.4,-0.1,0.2,0.4,0.1,0,0,-0.7,-1,-0.2,-0.2,0,0.6,1.1,0.7,0.7,0.6,1,1.1,1.1,0.8,1.8,1.7,1.7,1.6,2.8,1.8,2.6,4,3.4,3.6,3.9,5.2,5.4,7.5,8.9,7.8,5.2,7.4,10.1,9.5,7.7,8.9,10.6,14,16.7,21,27.1,28.8,29.1,42,46.7,75.2,124,82.9,80.1,82.9,62.8,62.2,70.9,90.8,71,115.5,132.9,201.1,201.4,269.2,".....","....."
"22","        Dividends received from domestic corporations","14","B1184C",2.6,2.6,2,1.3,1,2.2,3,2.7,2.7,1.8,1.9,2,2.2,1.3,1.3,1.4,1.4,1.7,1.9,2.2,2.2,2.5,2.4,2.4,2.4,2.3,2.6,2.7,2.7,2.8,2.9,3.1,3.3,3.6,3.6,4,4.5,4.4,4.4,4.9,5,5.2,5.5,6.5,9.4,13.8,8.8,12,13,13.3,16.8,18.7,17.4,18.2,19.7,21.2,17,15.2,13.9,22.3,24.8,23.4,23.5,25.3,28.8,33,38.7,47.2,57.7,64.2,67.3,".....","....."
"23","        Income on equities in foreign corporations and branches (to U.S. corporations)","15","B1185C",0.4,0.3,0.2,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.6,1,1.1,1.2,1.5,1.9,1.8,1.9,1.8,2.4,2.5,2.7,2.7,2.8,2.9,3.5,3.6,4.3,5.2,5.2,5.7,6.5,7.1,7.8,8.5,10.7,13.3,20.6,43.6,41.9,49.8,52.3,53.6,77.8,52.2,44.1,44.8,41.6,44.8,45.7,41.7,48.4,64.9,55,61.9,54.2,67.2,77.1,79.2,92.3,107.1,113.8,107.3,123.4,".....","....."
"24","      Costs of trading or issuing corporate securities \4\","16","B1186C",0.3,0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.6,0.7,1,1.3,1.4,1.7,2.1,2,1.5,1.7,2,2.5,2.1,1.5,1.8,3.2,3.8,5.3,7,5.6,8,12.9,8.3,9.6,9.4,10.2,16.3,15.5,20.8,11.1,20.5,25.3,24.1,22.3,41.7,".....","....."
"25","      Taxes paid by domestic corporations to foreign governments on income earned abroad","17","B1199C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,7.1,7.7,8,8.9,9.2,10.2,".....","....."
"26","Plus: Income received from equities in foreign corporations and branches by all U.S. residents, net of corresponding payments","18","B1187C",0.2,0.1,0,0,0,0.1,0.2,0.1,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.7,1,1.3,1.1,1.3,1.7,1.9,1.8,2,2.4,2.8,3.1,2.5,2.7,3.1,3.3,3.8,4.1,4.5,4.7,4.5,4.8,5.6,6.6,7.1,7.9,9.5,14.9,17.5,14.6,16.5,19.1,22.9,34.6,35.5,29.7,32.7,35.5,37,38.4,39.8,48,56.7,64.2,72.7,74.3,68.7,76.7,77.2,92,100.9,110.7,102.3,120.2,".....","....."
"27","Equals: Profits before taxes, NIPA's","19","A053RC",10.6,4.3,0.4,-1.5,1.7,3.1,4.2,6.9,7.5,4.4,7.6,10.4,18.3,22,25.6,24.5,20,24.9,31.9,35.9,29.6,43.2,44.8,40.2,41.7,39.3,49.9,50.5,49.1,43,53.7,51.5,51.5,56.9,61.9,68.9,80,86.5,83.3,92.2,91.1,80.6,92.4,107.3,134.2,146.8,144.8,178.6,209,244.9,270.1,251.4,240.9,195.5,231.4,266,255.2,243.4,314.6,381.9,376.7,401.5,416.1,451.6,510.4,573.4,668.5,726.3,792.4,721.1,762.1,"782.3","670.2"
"28","Federal income and excess profits taxes, IRS","20","B1188C",1.2,0.7,0.4,0.3,0.4,0.6,0.8,1.2,1.3,0.9,1.2,2.5,7.2,12.3,15.9,14.9,10.8,8.9,11,11.9,9.8,17.3,22.1,19.1,19.9,16.9,21.7,21.4,20.6,18.8,22.5,21.9,22.2,23.9,26.3,27.9,31.7,34.4,33.3,39.7,39.4,33.3,37.5,42.9,52.4,66.1,66.1,83,96.3,107.9,120,105.1,102.3,86.8,92.2,108,111.3,111.1,118.5,131.5,127.9,128.3,121.3,131.4,154.6,172.8,198.8,223.7,239.4,231.4,242,".....","....."
"29","Plus: Posttabulation amendments and revisions, including results of audit and renegotiation and carryback refunds","21","B1189C",0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,-1.1,-2.2,-2.3,-0.5,-0.1,-0.2,-0.1,-0.1,0.1,0,-0.3,-0.1,0.4,0,0.2,0.3,-0.3,0.2,-0.1,0.1,0.1,0.4,0.3,0.3,0.2,0.1,-0.1,-0.4,-0.8,-0.1,-0.2,-0.1,-1.6,-1.5,-1,-1.1,0,-0.7,-4.4,-6.8,-13.2,-4.7,-4.8,-4.9,-7.9,-1.5,-2.3,-0.7,-2,-3.6,0.3,2.4,0.7,-0.5,-0.1,-1.8,-3.9,-5.5,".....","....."
"30","      Amounts paid to U.S. Treasury by Federal Reserve banks","22","B1190C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,".....","....."
"31","      State and local corporate profits tax accruals","23","B1179C",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.8,1,1,1,1,1.2,1.2,1.3,1.5,1.7,1.8,2,2.2,2.6,3.3,3.6,3.7,4.3,5.3,6,6.7,7.3,9.6,11.4,12.1,13.6,14.5,15.4,14,15.9,18.8,20.2,22.7,23.9,26,24.2,22.5,23.6,24.4,26.9,30,31.7,33,34.2,34.6,34.8,".....","....."
"32","Less: U.S. tax credits claimed for foreign taxes paid","24","B1191C",0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,1,1,1.1,1.1,1.2,1.2,1.5,1.6,1.9,2.3,2.6,2.9,3.2,3.7,4,4.5,5.7,6.3,9.6,20.8,20,24.3,26.8,27.5,38.2,26.4,23.8,21.2,21.5,23.1,26.7,24.4,23.5,29.4,26.8,28.2,24.6,25.3,27.6,29.2,33.5,43.3,44.9,39.8,39.9,".....","....."
"33","      Investment tax credit \5\","25","B1192C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1.1,1.3,1.7,2,2.1,2.4,1.9,0.9,1.6,3,3.8,4.2,6.5,9.1,11,12.9,14.6,15.1,18.9,17.3,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,".....","....."
"34","      Other tax credits \5\","26","B1193C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.7,3.1,1.3,0.6,1.2,1.2,2.7,20.9,21.3,12.9,8,6.1,4.8,3.6,4,4.5,6.9,8.1,8.9,9.8,10.3,10.1,9.1,".....","....."
"35","Equals: Profits tax liability, NIPA's","27","A054RC",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.6,22.7,22.8,24,26.2,28,30.9,33.7,32.7,39.4,39.7,34.4,37.7,41.9,49.3,51.8,50.9,64.2,73,83.5,88,84.8,81.1,63.1,77.2,94,96.5,106.5,127.1,137.2,141.5,140.6,133.6,143.1,165.4,186.7,211,223.6,237.2,238.8,247.8,"259.4","199.3"
"36","Profits after tax, NIPA's (19-27)","28","A055RC",9.2,3.4,-0.1,-1.9,1.2,2.3,3.3,5.5,5.9,3.4,6.2,7.6,10.7,10.6,11.5,11.5,9.3,15.8,20.7,23.5,19.4,25.3,22.2,20.8,21.4,21.7,27.8,28.5,27.7,24,30,28.8,28.7,32.9,35.7,40.9,49.1,52.8,50.6,52.8,51.4,46.2,54.7,65.5,84.9,95,93.9,114.4,136,161.4,182.1,166.6,159.8,132.4,154.1,172,158.7,136.9,187.5,244.8,235.3,260.9,282.6,308.4,345,386.7,457.5,502.7,555.2,482.3,514.3,"522.9","470.9"
"37","Dividends paid in cash or assets, IRS","29","B1194C",8.5,8.2,6.2,3.9,3.1,4.9,5.9,7.4,7.5,5,5.7,6.1,6.7,5.6,5.7,6.1,6.1,7.5,8.4,9.4,9.6,11.6,11.3,11.3,11.6,11.9,13.6,14.5,14.9,15,16.2,17.2,18,19.6,21.1,23.3,26,27,28.2,31.6,33,32,32.6,36,41.8,49.3,44.6,53.4,61.5,68.6,82.6,97.4,120.3,131.2,128.3,144.9,161.5,190.7,197.5,224,263.2,283.2,290.7,304.1,341.7,380.9,445.1,530.8,655.1,718.3,769.8,".....","....."
"38","Plus: Posttabulation amendments and revisions \6\","30","B1195C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.3,-0.6,-0.6,-0.5,-0.7,-0.5,-0.1,-0.7,-1.6,-1.8,-2.7,-2.7,-1.1,-0.5,-0.7,0,0.8,0.3,1.1,-0.1,0.6,1,-0.7,-4.5,-7.9,-2,-5.4,-9.7,-31.4,-13.9,-3,-10.3,-14,-21.2,-24.9,-41.2,-40,-68.2,-91.8,-164.6,-176.6,-233.6,".....","....."
"39","      Dividends paid by Federal Reserve banks and certain federally sponsored credit agencies \2\","31","B1196C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.7,0.6,0.7,0.9,0.7,0.5,0.6,0.7,0.6,0.5,0.8,1,1.1,1.3,1.4,1.6,1.9,1.5,".....","....."
"40","      U.S. receipts of dividends from abroad, net of payments to abroad","32","B1197C",0.2,0.1,0,0,0,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.7,0.8,0.8,1,1.2,1.1,1.1,1.4,1.6,1.8,1.9,1.7,1.9,2,2.4,2.7,2.7,3.2,3.3,2.8,3.2,3.4,3.8,3.9,4.7,4.9,6.8,9.8,6.6,9,11.1,11.2,16,16.7,15.4,16.4,12.4,12.6,12,18,16.6,31.4,28.5,21.4,22,24,20.8,37.9,32.6,40.4,51.4,39.5,28.8,".....","....."
"41","      Earnings remitted to foreign residents from their unincorporated U.S. affiliates","33","B1634C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.1,0.2,0.7,0.3,0.5,0.8,1,1,1,1.2,1,1.1,1.4,1.5,1.3,1.7,1.4,1.8,2,2.7,2.8,2.8,3.7,3.4,3.5,5.3,".....","....."
"42","      Interest payments of regulated investment companies","34","B1635C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,-0.2,-0.4,-0.3,-0.4,-0.8,-1.1,-1,-1,-1.5,-1.8,-4.4,-8.7,-18.3,-23.2,-17.5,-21.7,-24.4,-28.5,-45.1,-53.5,-67.5,-68,-60.3,-57.1,-59.6,-77.3,-79.2,-86.4,-96.1,-119,-118.2,".....","....."
"43","Less: Dividends received by U.S. corporations","35","B1198C",2.8,2.8,2.1,1.3,1.1,2.3,3.2,2.9,2.9,2.1,2.2,2.3,2.4,1.5,1.5,1.6,1.6,2,2.2,2.6,2.6,3.1,3,2.9,3,2.9,3.3,3.4,3.5,3.8,4,4.2,4.8,5.1,5.5,6.5,6.7,6.3,6.6,6.9,7.9,8.7,9.7,11.1,14.9,21.2,14.3,19.5,21.3,22.6,29.5,33.2,31.2,32.1,33.6,36.6,37.7,37.9,39,64.6,58.3,56.6,52.3,54.1,54.7,63.3,74.1,93.5,108.7,113.4,118.8,".....","....."
"44","      Earnings of U.S. residents remitted by their unincorporated foreign affiliates","36","B1636C",0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.6,0.6,0.6,0.8,0.9,0.9,1,1.1,1.3,1.3,1.1,1.1,1.1,1.3,1.6,1.7,1.8,1.8,1.5,1.7,1.9,1.9,1.7,2.1,2.2,3.5,4.6,3.5,4.9,5.5,6,9.3,8.8,9.3,9.7,5.7,4.6,5.9,6.8,5.7,6.6,2.9,2.3,2.9,9.3,7.6,7.1,6,7,6.9,5.6,6.4,".....","....."
"45","Equals: Net corporate dividend payments, NIPA's","37","B056RC",5.8,5.5,4.1,2.5,2,2.6,2.8,4.5,4.7,3.2,3.8,4,4.4,4.3,4.4,4.6,4.6,5.6,6.3,7,7.2,8.8,8.6,8.6,8.9,9.3,10.5,11.3,11.7,11.6,12.6,13.4,13.9,15,16.2,18.2,20.2,20.7,21.5,23.5,24.2,24.3,25,26.8,29.9,33.2,33,39,44.8,50.8,57.5,64.1,73.8,76.2,83.6,91,97.7,106.3,112.2,129.6,155,165.6,178.4,185.5,203.1,234.9,254.2,297.7,335.2,348.7,328.4,"376.1","409.6"
"46"," 1. Consists largely of an adjustment to expense all meals and entertainment, of oilwell bonus payments written off, of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
