"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"18","11","  Automotive vehicles, engines, and parts","B641RL1",23.3,8.1,-2.3,13.4,12.2,17.4,11.5,5.3,4.6,0.7,2.7,0.6,-15.8,-1.1,-18.1,3.5,18,8.8,-1.7,7.8,18.7,2.5,0.1,7.1,15.4,9,10.6,5.5,3.7,13.2,-1.3,3.3,5.9,-6.4,4.1,1.4,9.8,9.3,7.4
"19","12","  Consumer goods, except automotive","A642RL1",8.6,7.1,6,0.3,16.9,21.9,24.4,-7.9,12.8,8.2,15.5,5.1,21.2,-4.1,-10,-8.5,-0.5,-2.9,10.6,17.6,27.7,28.7,17.1,3.6,7.7,5.1,9.3,6,7.6,10.4,3,1.1,10,-0.8,-4,6,13.8,11.2,10.5
"20","13","    Durable goods","B690RL1",10.6,16.8,-3.2,-4.1,28.2,22.2,30.3,-13,17,4.1,23.4,1,19.7,-12.7,-15.8,-14.6,0.3,-3.8,13.6,22,35.7,42,16.7,0.7,7.1,6.6,7.3,6.3,8.2,11.8,3.1,1.3,10.8,-0.8,-5,4.4,16.6,15.5,13.2
"21","14","    Nondurable goods","B691RL1",7.2,0,13.8,3.8,8.2,21.7,18.7,-2.5,8.9,12.1,8.2,9.8,22.9,6.5,-4,-2.9,-1.2,-2.2,8.3,14,20.8,15.7,17.6,6.9,8.3,3.5,11.6,5.7,7,8.9,2.8,1,9.2,-0.8,-2.9,7.7,10.7,6.6,7.4
"22","15","  Other","A643RL1",6,13.5,15,3.3,11.5,2.6,-2.1,-1,-5.7,16.9,-19.5,-0.7,10.1,19.1,-15.1,15.3,26,17,-1.8,23.7,8.1,1.8,-11.2,4.5,-2.5,-2.5,2.6,2.3,6.2,10.2,9.7,6.6,2.2,-4.5,-0.6,-11.8,-0.3,9,2
"23","16","Exports of services \1\","A646RL1",7.7,3.7,8.9,7.7,-0.6,7.1,7.8,6.1,3,6.5,8.4,3.1,6.2,10.6,-2.8,-1.7,8.9,1.2,14.6,10.1,9,10.3,10.5,6,5.5,3.2,6.3,6.3,7.2,5.9,2.9,5.6,2.9,-3.7,1.9,0,11.5,5.4,4.8
"24","17","  Transfers under U.S. military agency sales contracts","B267RL1",18.5,-1.8,6.4,19.6,-18.4,-11.9,-8,13.3,-13.6,22.2,2.5,-20,18.9,9.4,8.9,-3,-22.4,-11.1,4.5,36.8,-14.4,-9.2,12.1,4.6,9.2,3.6,-7.5,11.1,12.6,4.9,6,-12.8,-14.9,-6.4,-4.2,7,19.1,18.5,-14.7
"25","18","  Travel","B493RL1",3.3,9.2,7.8,4.4,7.4,14.9,8.8,8.1,13.9,0.2,7.4,7.2,11.7,10.4,-10.9,-15.6,49.1,-1,11.6,10.4,20.6,19.5,12.8,6,10.9,4.9,0.5,7.2,7.5,2.9,-3.9,2.2,5.1,-13.1,-6.6,-5.2,12.2,5.5,0.5
"26","19","  Passenger fares","B533RL1",10.4,8,20.3,3.3,7.9,38,-0.5,-15.5,11.4,8.6,17.4,37.5,6.9,9.3,-2.6,13.7,15.5,12.6,21.9,17.8,20.7,16,34.2,-5.9,1.9,-2.4,0.4,5.4,8,7.3,-2,-8.7,1.8,-14.1,-7.5,-17.5,8.8,3.2,5.3
"27","20","  Other transportation","B683RL1",2.4,7.7,13.4,-1.6,12.5,18.1,4.6,-1.3,8,1.1,6.2,12.7,-0.6,0.5,-4,-3.6,20.8,1.9,-1.9,11.6,13.9,1.3,0.3,0.6,-5.3,0.5,8.7,7.9,-2.7,3.3,-1.8,4.3,0.4,-3.5,2.3,2.3,12.2,-1.8,5.1
"28","21","  Royalties and license fees","B684RL1",2,3.2,9.7,3.2,4.4,9.5,10.9,3,-4.9,4.8,10.7,-3.8,3.4,-5.8,-28.8,-1.2,2.5,4.3,18.1,21,14.9,9,15,3.2,13.7,1.6,20.4,10.7,4.9,0.5,6.3,9.7,6.3,-7.8,7.7,3.4,12.6,5.4,1.8
"29","22","  Other private services","B720RL1",3.6,9.8,7.2,15.9,11.5,9.1,63.2,16.1,15.7,3,18.4,11.4,6.9,43,20.6,-1.2,1.4,-0.2,42,0.1,4.6,15.4,5.1,13.7,1.9,4.2,12.2,4.7,10.4,13.2,9.7,15.4,3.2,6.3,7.9,2.9,10.6,7.3,10.8
"30","23","  Other","B980RL1",5.4,1.4,5.6,1.8,7.5,16.8,8,7.6,3.8,6.4,6.4,7,-4.1,6.7,-22.1,28.6,1.7,17.2,-9.3,-2,-5.5,-4.8,10.5,11.5,7.6,6.1,-0.1,-6.3,8.2,-1,1.9,-6.8,4.4,3.6,-5.4,0.5,8.4,-4.8,-2.5
"31","24","    Imports of goods and services","B021RL1",14.9,5.7,4.3,5.3,11.3,4.6,-2.3,-11.1,19.5,10.9,8.7,1.7,-6.6,2.6,-1.3,12.6,24.3,6.5,8.6,5.9,3.9,4.4,3.6,-0.6,7,8.8,11.9,8,8.7,13.6,11.6,11.5,13.1,-2.7,3.4,4.1,11.3,5.9,5.9
"32","25","Imports of goods \1\","A255RL1",20.7,5.5,3.9,8.4,13.6,7.1,-2.8,-12.6,22.6,12.2,9,1.7,-7.4,2.1,-2.5,13.6,24.2,6.3,10.2,4.6,4,4.3,3,-0.1,9.3,10.1,13.3,9,9.3,14.4,11.7,12.4,13.5,-3.2,3.7,4.9,11.3,6.6,6
"33","26","  Foods, feeds, and beverages","B647RL1",13.5,-5.2,6.8,3.2,6.5,2.5,-7.5,-11.5,13.8,-1,12.3,2.6,-13,4,1.9,8.5,13.3,4.3,2.4,2.5,-4,2.3,3.8,-4.5,5.6,1.2,2.3,2.5,10,10.2,7.3,9.3,7.1,4.6,5.3,7.8,5.7,3.6,6.1
"34","27","  Industrial supplies and materials, except petroleum and products","A649RL1",19,-5.4,1,9,9.7,0.6,-2.6,-15.8,21.8,7.6,9.5,-3.9,-12.7,8.6,-9.3,18.8,24,0.6,5.3,-1,1.1,-2.2,1.5,-1.8,9.9,8.5,14.9,5,5.9,8.2,10.8,4.3,6.8,-3.6,2.9,1.7,15.7,6.8,4.3
"35","28","    Durable goods","A820RL1",25.3,-8.8,0.6,9.5,10.7,2.2,-3,-20.5,16.9,12.1,10.5,-5.4,-17.8,5.7,-18.3,24.6,26.1,-1.9,6.4,-6,-1.7,-4,-0.1,-4.6,9.9,9.8,19.9,3.6,7.1,7.7,15,3.7,6.6,-6.2,5.2,1.2,20.7,7.3,9.7
"36","29","    Nondurable goods","B696RL1",9.5,0.7,1.7,8.3,8.2,-1.9,-1.8,-7.7,29,1.6,8.1,-1.8,-5.3,12.2,1.4,13.1,21.8,3.3,4.1,4.8,4.2,-0.4,3.1,0.8,10,7.3,10.2,6.4,4.7,8.8,6.4,5,6.9,-1,0.6,2.2,10.8,6.3,-1.6
"37","30","  Petroleum and products","B648RL1",15.2,11.6,8,14.4,22.1,42.1,-3.7,-1.7,20.6,20.3,-5.5,1.2,-19.2,-12.4,-14,-1,5.6,-6.1,23.6,4.4,10.6,7.9,1.3,-5,3.6,10.4,6.2,-1.8,7.9,4.5,6.5,0.6,5.9,3.7,-2.5,6.5,6.5,2.3,-2
"38","31","  Capital goods, except automotive","A650RL1",14.4,17,4.1,-0.9,27.8,23.4,6.6,-5,21.1,6.7,29.1,22.4,17.8,17.8,8.8,21,49.4,12.7,13.5,14.2,15.3,13.3,7.8,7.5,15.8,16.6,22.9,23.1,17.5,25.4,14.9,14.8,20.2,-11.4,-1.6,6,17.4,11.1,11.2
"39","32","    Civilian aircraft, engines, and parts","B932RL1",40.1,-9.5,2.2,13.5,107.1,24.3,-7.5,-19.1,-34,32.7,33.3,46.1,102.1,12.7,-16.7,-13.2,11.9,39.8,12.9,11,15.9,14.3,5.7,0.8,4.6,-12.8,-2.9,-7.5,13.3,26.2,29.2,7.1,7.7,14.6,-19.8,-5.9,-2,2.3,6.1
"40","33","    Computers, peripherals, and parts","B852RL1",NA,NA,NA,NA,60,37.5,45.5,12.5,61.1,34.5,71.8,49.3,48,43.2,50.5,146.1,82.7,13.3,55.4,60.4,31,26.1,12.7,28.3,38.5,33.3,33.1,33,27.3,32,24.6,28.9,17,-8.7,10.3,9,23.8,14.3,17.3
"41","34","    Other","B853RL1",12.5,18.1,2,-3.4,22.7,22.2,6.3,-4.7,22.9,4.5,26.9,19.9,10.9,17.1,9.7,15,48.1,10.4,7.1,6.4,11.7,10.1,6.8,2.9,10.8,15.2,22.1,22.4,14.3,22.7,9.7,10.3,23.1,-15.4,-3,6.4,17.5,10.9,9.6
"42","35","  Automotive vehicles, engines, and parts","B651RL1",55.5,22.1,2.3,22,8.4,3.2,6.2,-20.6,32.5,5.9,8.2,-3.3,-0.9,-3.2,7,22.4,28.5,12,8.3,2.6,-2.5,-2.7,0.5,-6.7,5.2,9.9,11.8,1.7,3.4,8.2,6.4,19.5,8.7,-3,7,2.6,6.8,3.9,6.8
"43","36","  Consumer goods, except automotive","A652RL1",26.2,18,7.5,5.2,21.9,2.6,-10,-22.5,29,20.8,22.9,0.8,0.7,9.5,4.5,20.4,26.2,9.2,10.8,3.2,1.5,4.6,-1.8,1.7,10.4,8.3,8.3,7.7,7.5,14.3,13.4,12.3,17.5,1.7,9.4,8.7,12.2,8.2,8
"44","37","    Durable goods","B697RL1",26.5,15.4,6.7,7.6,23.9,5.8,-5.6,-24.5,20.4,34.4,21.7,-0.5,5.4,8.8,2.1,18,26,11,8.3,-0.1,1.1,5.5,-5.2,0.9,9.7,8.6,9.2,7.1,8.6,12.9,15.4,13.4,19.6,-0.8,11.4,7.3,18.1,10.9,8.2
"45","38","    Nondurable goods","B698RL1",25.8,22.4,8.8,1.9,18.8,-2.4,-17,-19.2,41.5,3.7,24.7,2.9,-6.2,10.7,8.3,23.7,26.6,6.7,14.3,7.7,1.9,3.6,2.5,2.6,11.2,8,7.4,8.3,6.3,15.9,11.2,11,15.3,4.5,7.2,10.1,6.1,5.1,7.8
"46","39","  Other","A653RL1",3.7,8.6,0.3,3.8,4.7,-7.7,-8.6,-21.2,13.9,22.4,7.6,3,19.7,32,9.6,3.5,16,19.1,1.8,4.5,3.7,7.7,15.8,2.3,3.7,2.1,10.6,2.1,3.7,16,15.6,17.5,13.1,1.8,3.5,-4.6,-0.5,1.4,3.2
"47","40","Imports of services \1\","B656RL1",1.8,6.3,5.2,-2.8,4.2,-3.4,-0.1,-4.3,6.9,5,7.1,1.4,-2.2,5.8,5.3,8.1,25.1,7.6,1.2,11.7,3.4,4.9,6.5,-2.6,-2.6,2.9,5.7,3.3,5.5,9.4,11.4,6.9,11.1,-0.3,2.1,0,11.5,2.3,5.2
"48","41","  Direct defense expenditures","B752RL1",3.2,5.8,-2.4,-12.8,-3.9,-19.8,-6.6,-16.5,-5.7,4.1,8.7,-3.3,9.4,6.2,7.4,8.9,-1.1,4.3,-10.4,-6.9,-6.7,-1.1,-3.1,-7.1,-18.7,-10.5,-17.9,-11.3,10.6,15.3,7.1,7.6,4.6,9.2,23.4,11.3,5.3,-6,-3
"49","42","  Travel","B768RL1",-9.4,8.5,15.4,-0.1,8.2,-5.7,-10.2,-3.5,6.4,3,3.3,-2.4,-0.1,5.8,18.5,13.3,82.8,10.4,-7,18.6,2.8,3,6.8,-9.4,3,4.9,3.6,0.8,3.9,8.6,13,1.9,11.3,-4.7,-5.3,-9.7,6.7,-1.7,5.1
"50","43","  Passenger fares","B769RL1",3.9,20.9,12.2,-1.8,18.3,14,-2.8,0.4,8.7,0.4,11,2.8,-2.3,15,2.9,25.5,-2.1,16.4,-2.7,10.2,1.7,7.3,16.4,-14.7,3.1,9.1,13.9,6.7,6.4,8.2,8.7,4,7.7,-14.7,-15.8,2.6,19.9,1.5,-0.3
"51","44","  Other transportation","B770RL1",10.2,2,6.8,7.6,6.5,8.7,1.5,-4.4,13.2,11.3,4.2,2.7,-12,0.1,-11.5,3.8,19.4,1.8,2,14.8,7.8,3.6,7.6,-1.4,-4.2,2.2,6,-0.2,-1.4,8,6.8,0.5,11,-5.2,2.5,3,10.9,5.3,5.4
"52","45","  Royalties and license fees","B908RL1",6.4,14.3,-4.1,1.2,16.6,23.6,8,17.2,-4.4,-3.2,18.8,11.1,-19.9,-13.5,-6.7,13.7,18.9,-3.3,16.1,27.9,35,-7,18.4,24.1,24.4,-4.9,13.8,15.3,10.9,14.8,21.7,14.9,22.5,-1.6,15.3,-3.7,18.7,2.3,4.1
"53","46","  Other private services","B909RL1",13.2,11.2,4.9,10.5,3,12,101,13,20.2,4.7,16.9,13.3,2.1,17.8,13.4,-6.3,12.1,11.4,43.7,13.7,6.7,16.4,8.3,11,-5.5,7.2,14,11,10.5,10.1,13.7,17,11.7,10.9,6.8,3.4,14.1,6.5,9.9
"54","47","  Other","B910RL1",6.9,-3.3,-0.5,-3.5,-0.6,-0.7,-4.3,-1.1,7.5,0.7,4.7,0.6,-6.2,-0.4,11.5,7.6,3.3,7.1,-5.5,13.3,1.3,0.4,0.2,3.6,2.1,0.5,4.5,1.5,1.9,3.9,3.9,0,5.5,3.6,-0.5,-0.4,7.8,-0.6,-0.7
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","A332RL1",9.4,8.1,9.4,-0.7,10.4,24.6,15.4,-2.1,1.4,-0.2,11.5,13.8,11.5,-3.6,-13.1,-2.1,10.8,8,5.8,14.2,24.1,14.1,10.7,7.4,8,5.2,12.1,14.2,11.7,18.1,3.2,4.7,13,-8.3,-5.9,1.8,11.8,9.6,11.5
"57","49","  Exports of nondurable goods","A339RL1",5.8,0.9,14.7,0.1,11.2,20.7,-0.9,-2.7,9.6,3.5,10.7,9,12.5,2.6,-3,-4,3.9,-2.6,4,6,10.2,8.1,4.2,5.9,6.5,-0.7,4.7,6.5,3.1,6.4,-0.1,1.6,6.6,-0.4,0.9,1.9,3.1,3.2,6.5
"58","50","  Exports of agricultural goods \2\","B181RL1",-0.3,-4.3,16.6,-0.2,14.9,26.9,-8.3,1.5,12,2.4,18.4,4.4,12.6,-0.1,-4.5,-4.5,-0.8,-13.2,0.8,5,9.9,4.2,2.2,0,12.1,-2.7,3.4,11.6,-2.3,1.8,0,0.8,8.2,3.2,-2.5,1.4,-5.4,5.2,8.5
"59","51","  Exports of nonagricultural goods","A182RL1",10.5,6.3,8.5,-0.7,9.1,21.4,12.9,-3.3,1.7,-0.4,9.2,12.4,9.5,-2.6,-13.2,-6.3,4.8,4.3,5.8,11.9,20.1,13,9.2,7.7,7,3.9,10.4,11.7,10.1,15.7,2.4,4,11.5,-6.8,-4.1,1.8,10.3,7.7,10.1
"60","52","  Imports of durable goods","A333RL1",27.4,6.9,2.8,10.1,15,6.5,0.4,-18.3,22.5,13.2,15.6,2.3,0.8,8.3,1.1,20.5,33.1,10,9.3,4.4,4.2,4.5,2.7,0.6,10.5,11.8,16.5,11.5,10.7,16.4,13,14.5,15.3,-6.2,4.1,4.3,14.3,8.4,8.9
"61","53","  Imports of nondurable goods","A340RL1",13.3,3.7,5.4,6.2,11.7,7.9,-6.2,-7.2,22.7,11.4,3.3,1.2,-13.9,-3,-5.8,6.5,13.9,1.2,11.8,5,3.8,3.9,3.4,-1.1,7.4,6.9,7.3,4.1,6.6,10.6,9,8,10,2.9,2.8,6,6.5,4,1.8
"62","54","  Imports of nonpetroleum goods","A187RL1",21.1,5,3.6,7.9,12.9,3.8,-2.6,-16.2,23.4,9.1,14.7,1.9,-1.8,9.2,2.1,18.2,28.9,8.8,8.5,4.7,3.4,3.9,3.2,0.6,10,10.1,14,9.9,9.4,15.4,12.1,13.2,14.2,-3.8,4.3,4.7,11.9,7.3,7.5
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
