"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"23","16","Finance, insurance, and real estate","A1715C0",721,775,852,951,988,1125,1162,1244,1294,1433,1517,1567,1716,2030,2400,2586,2876,3103,3453,3681,4341,5091
"24","17","  Finance and insurance","B1716C0",24,32,39,48,54,61,66,86,84,100,98,97,94,102,95,102,106,113,118,121,125,142
"25","18","  Real estate \1\","A1717C0",697,743,813,903,934,1064,1096,1158,1210,1333,1419,1470,1622,1928,2305,2484,2770,2990,3335,3560,4216,4949
"26","19","Services","B1720C0",830,962,1030,1118,1166,1139,1406,1343,1593,1707,1763,1851,1843,1925,1976,2052,2121,2161,2239,2420,2498,2716
"27","20","  Hotels and other lodging places","B2616C0",113,139,153,170,177,168,216,199,228,281,280,257,254,277,280,294,302,299,308,344,344,373
"28","21","  Personal services","B2617C0",136,157,166,178,183,178,228,206,226,227,250,268,263,303,312,316,325,316,322,342,341,336
"29","22","  Business services","B2618C0",64,77,85,99,107,110,141,144,164,166,151,200,199,184,187,185,211,230,265,317,320,409
"30","23","  Auto repair, services, and parking","B2619C0",0,0,0,0,0,0,0,0,95,129,94,92,90,116,107,123,121,127,129,173,163,201
"31","24","  Miscellaneous repair services","B2620C0",43,50,52,59,62,60,71,64,73,73,74,54,55,62,60,70,67,69,71,71,83,84
"32","25","  Motion pictures","B2621C0",163,176,190,198,203,207,218,219,227,222,230,221,218,212,229,249,242,236,244,238,254,225
"33","26","  Amusement and recreation services","B2622C0",90,106,111,115,120,115,153,150,171,163,167,164,161,176,173,188,188,206,177,184,208,232
"34","27","  Health services","B2623C0",152,175,178,194,206,195,251,234,269,288,341,350,348,332,337,327,350,360,381,391,409,435
"35","28","  Legal services","B2624C0",25,30,34,37,39,37,49,46,50,57,67,71,71,73,80,83,90,92,106,112,118,130
"36","29","  Other \2\","B2625C0",44,52,61,68,69,69,79,81,90,101,109,174,184,190,211,217,225,226,236,248,258,291
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2. Consists of educational services; social services; museums, botanical and zoological",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","gardens; membership organizations; and miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
