"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Motor vehicles and parts","DMOTRA3",8.558,5.955,4.646,2.971,3.54,4.405,6.103,7.536,7.658,4.954,6.749,8.505,9.667,1.55,1.59,1.471,1.821,6.138,8.898,10.054,12.889,16.665,14.062,12.662,15.743,15.014,20.556,17.496,18.314,15.163,18.07,19.191,17.271,20.508,23.068,24.35,28.207,28.67,27.976,32.355,33.538
"12","5","    Furnishings and durable household equipment","DFDHRA3",6.122,5.064,4.934,4.076,3.824,4.153,4.709,5.814,6.015,5.439,6.088,6.673,7.738,6.414,5.073,4.493,4.874,8.241,9.581,10.139,9.915,11.428,10.867,10.822,11.151,11.151,12.566,13.179,12.928,12.767,13.597,13.397,13.479,14.234,15.168,16.888,17.993,19.558,20.003,21.206,21.651
"13","6","    Recreational goods and vehicles","DREQRA3",0.195,0.206,0.17,0.125,0.11,0.124,0.139,0.177,0.201,0.186,0.217,0.241,0.285,0.256,0.212,0.201,0.23,0.462,0.468,0.462,0.465,0.595,0.582,0.634,0.698,0.751,0.847,0.892,0.872,0.868,0.967,0.96,0.998,1.064,1.162,1.364,1.59,1.957,2.151,2.383,2.542
"14","7","    Other durable goods","DODGRA3",3.864,3.564,2.806,2.314,1.897,2.179,2.477,2.707,3.134,3.15,3.364,3.58,4.116,4.438,5.33,5.227,5.737,6.78,6.383,6.512,6.357,6.655,6.873,7.379,7.585,7.878,8.399,8.789,8.862,8.958,9.245,9.312,9.5,10.378,10.75,11.678,12.878,14.813,14.944,16.403,17.043
"15","8","  Nondurable goods","DNDGRA3",13.89,13.166,13.025,11.877,11.835,12.8,13.533,15.078,15.449,15.673,16.388,17.089,18.114,18.163,18.276,18.659,19.816,21.605,21.478,21.639,21.96,22.693,23.038,23.904,24.646,25.037,26.337,27.263,27.809,28.179,29.447,29.936,30.54,31.481,32.159,33.668,35.365,37.33,38.132,39.745,40.845
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",20.833,20.32,20.217,18.757,19.603,21.512,22.611,25.702,26.413,26.986,27.341,28.486,29.419,29.276,28.511,29.745,31.35,35.133,35.14,34.858,35.043,35.789,35.979,36.963,38.371,39.406,41.308,42.681,43.698,43.879,45.695,46.022,46.663,46.973,47.357,48.97,51.421,53.428,54.65,57.073,58.647
"17","10","    Clothing and footwear","DCLORA3",10.575,9.514,9.396,8.356,7.521,7.944,8.586,9.334,9.236,9.364,10.112,10.439,11.225,11.703,12.74,12.33,12.741,12.993,12.396,12.518,12.593,12.911,12.845,13.515,13.636,13.648,14.313,14.688,14.585,14.732,15.492,15.632,15.921,16.642,16.947,18.236,18.995,20.268,20.409,21.228,21.637
"18","11","    Gasoline and other energy goods","DGOERA3",18.543,18.437,18.015,16.884,17.278,18.168,19.088,20.633,21.463,21.219,22.756,24.269,26.242,22.572,18.424,18.545,21.678,30.55,32.367,33.617,33.697,35.407,37.29,38.876,39.869,40.984,44.244,46.136,47.279,49.397,50.6,51.407,51.067,52.725,54.549,57.458,60.194,63.48,65.108,67.858,70.806
"19","12","    Other nondurable goods","DONGRA3",6.34,5.81,5.715,5.068,5.001,5.473,5.738,6.334,6.671,6.747,7.305,7.618,8.43,8.984,9.742,10.205,11.129,11.066,11.093,11.491,12.228,13.063,13.67,14.291,14.884,14.836,15.556,16.264,16.865,17.208,18.246,19.109,20.102,21.517,22.498,23.496,24.916,26.897,27.689,28.809,29.601
"20","13","Services","DSERRA3",6.988,6.842,6.668,6.265,6.033,6.329,6.55,6.953,7.279,7.221,7.502,7.791,8.254,8.708,9.403,9.928,10.46,10.936,10.981,11.271,11.542,12.047,12.758,13.33,13.891,14.376,15.098,15.822,16.366,16.896,17.729,18.422,19.101,20.005,20.856,22.097,23.322,24.473,25.474,26.818,28.011
"21","14","  Household consumption expenditures (for services)","DHCERA3",7.305,7.133,6.937,6.523,6.296,6.634,6.879,7.314,7.678,7.601,7.905,8.202,8.704,9.187,9.917,10.463,11.043,11.55,11.633,11.947,12.242,12.794,13.582,14.163,14.765,15.277,16.06,16.817,17.406,17.959,18.814,19.502,20.228,21.197,22.103,23.381,24.68,25.913,26.968,28.391,29.686
"22","15","    Housing and utilities","DHUTRA3",5.927,5.91,5.877,5.776,5.665,5.968,6.042,6.173,6.304,6.416,6.595,6.831,7.203,7.583,7.86,8.177,8.391,9.149,9.933,10.595,11.328,12.209,13.169,14.065,14.876,15.699,16.564,17.485,18.395,19.327,20.435,21.527,22.585,23.892,25.008,26.221,27.609,28.871,30.171,31.684,33.425
"23","16","    Health care","DHLCRA3",5.3,5.183,5.085,4.806,4.455,4.577,4.6,4.9,5.02,4.917,5.174,5.314,5.485,5.735,5.725,6.106,6.236,7.311,7.645,8.332,8.518,8.922,9.18,9.68,10.156,10.906,11.236,11.919,12.586,13.572,14.598,14.785,15.442,16.832,17.946,19.978,20.889,22.027,23.055,24.844,26.686
"24","17","    Transportation services","DTRSRA3",10.705,9.441,8.341,7.299,7.314,7.76,7.942,8.89,9.366,8.928,9.62,10.27,11.452,12.617,15.655,17.01,18.285,21.57,21.103,21.019,20.006,19.42,20.105,20.347,20.864,20.208,20.867,21.444,21.833,21.516,22.362,23.089,23.371,24.245,25.301,26.686,28.043,29.662,31.239,33.234,35.459
"25","18","    Recreation services","DRCARA3",6.092,5.996,5.834,4.745,4.548,4.991,5.307,5.873,6.275,5.943,6.129,6.611,7.002,7.614,8.21,8.092,8.578,9.909,9.387,9.106,8.905,8.921,9.023,9.174,9.281,9.469,9.905,10.387,10.043,9.962,10.673,11.263,11.745,12.314,12.815,13.337,13.835,14.67,15.166,16.119,17.077
"26","19","    Food services and accommodations","DFSARA3",9.016,9.189,9.615,9.404,8.48,9.636,10.354,11.769,13.351,13.463,14.655,15.508,17.238,18.972,22.478,25.667,28.874,26.019,22.903,22.153,22.387,22.605,24.693,25.875,26.831,26.752,27.423,28.227,28.553,28.128,28.715,29.017,29.111,30.156,30.91,32.491,34.813,36.544,36.168,38.414,39.247
"27","20","    Financial services and insurance","DIFSRA3",5.524,5.048,4.715,4.514,4.842,4.444,4.825,5.012,5.093,4.932,5.066,5.083,5.188,5.023,5.32,5.347,5.521,5.917,6.38,6.691,6.872,7.684,8.584,8.605,8.944,9.564,10.34,10.869,11.183,11.529,11.762,12.233,12.894,12.874,13.327,14.265,15.208,15.732,16.514,17.365,17.611
"28","21","    Other services","DOTSRA3",13.177,12.836,12.01,10.537,9.739,10.436,10.999,11.878,12.653,12.177,12.422,12.717,13.297,13.748,14.196,14.278,14.683,15.196,15.724,16.1,16.274,16.858,17.183,17.548,18.093,18.523,19.86,20.716,21.454,22.164,23.131,23.861,24.635,25.61,26.545,27.731,29.314,31.038,32.865,33.77,34.764
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",1.88,1.971,2.018,1.864,1.704,1.607,1.587,1.613,1.562,1.64,1.66,1.77,1.78,1.856,2.024,2.179,2.191,2.261,2.083,2.106,2.114,2.128,2.092,2.323,2.388,2.487,2.536,2.722,2.763,2.898,3.195,3.562,3.656,3.765,3.902,4.334,4.563,4.713,4.93,5.188,5.24
"30","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.176,13.708,14.315,15.072,15.939,17.184,18.206,19.396,20.555,21.963,23.098
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.068,20.135,21.214,22.579,24.106,25.631,27.235,29.425,31.359,33.721,36.036
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  PCE excluding food and energy \4\","DPCCRA3",6.54,6.1,5.853,5.279,5.057,5.393,5.744,6.277,6.525,6.326,6.765,7.124,7.716,7.532,7.987,8.177,8.666,9.642,9.847,10.147,10.507,11.315,11.473,11.824,12.427,12.633,13.647,13.992,14.323,14.399,15.3,15.8,16.164,17.143,17.985,19.171,20.47,21.712,22.381,23.749,24.664
"34","26","  Energy goods and services \5\","DNRGRA3",11.235,11.391,11.294,10.767,10.792,11.308,11.871,12.747,13.308,13.336,14.221,15.208,16.282,14.889,13.104,13.425,15.201,20.044,21.606,22.864,23.462,25.184,26.968,28.51,29.744,31.246,33.86,35.854,37.233,39.296,40.864,42.044,42.601,44.544,46.313,48.793,51.119,53.919,55.881,58.46,61.265
"35","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","6. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
