"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"20","12","  Consumer goods, except food and automotive","B642RG3",28.082,28.08,28.08,28.077,28.213,27.926,29.281,28.897,29.352,28.645
"21","13","    Durable goods","B690RG3",24.034,24.027,24.013,23.994,24.677,23.18,23.419,25.332,25.296,24.51
"22","14","    Nondurable goods","B691RG3",32.719,32.72,32.733,32.741,32.336,33.263,35.808,33.013,33.976,33.321
"23","15","  Other \2\","B643RG3",25.128,24.94,24.836,25.014,25.098,25.497,25.03,25.139,25.291,25.621
"24","16","Exports of services \1\","B646RG3",20.326,20.493,20.663,20.879,21.179,21.337,21.46,21.66,21.848,22.158
"25","17","  Transport","Y800RG3",22.194,22.338,22.485,22.617,23.128,23,22.844,22.684,21.941,22.184
"26","18","  Travel (for all purposes including education)","Y801RG3",13.535,13.595,13.717,13.839,13.962,14.206,14.388,14.509,14.69,14.932
"27","19","  Charges for the use of intellectual property n.e.c.","B684RG3",16.621,16.738,16.889,17.079,17.337,17.507,17.733,17.959,18.146,18.363
"28","20","  Other business services \3\","Y802RG3",32.311,32.487,32.774,33.132,33.649,33.979,34.397,34.873,35.254,35.721
"29","21","  Government goods and services n.e.c.","Y803RG3",14.554,14.748,14.884,15.105,15.257,15.397,15.462,15.713,16.199,16.454
"30","22","  Other","B980RG3",44.147,44.408,44.741,45.179,45.684,46.432,47.367,48.525,50.023,51.097
"31","23","    Imports of goods and services","B021RG3",20.158,20.106,20.111,20.123,20.258,20.411,20.453,20.599,20.685,20.775
"32","24","Imports of goods \1\","B255RG3",20.506,20.424,20.423,20.429,20.569,20.725,20.707,20.878,21.004,21.085
"33","25","  Foods, feeds, and beverages","B647RG3",20.587,20.455,20.587,20.652,20.585,20.718,20.919,21.123,21.461,21.596
"34","26","  Industrial supplies and materials, except petroleum and products","B649RG3",18.322,18.321,18.319,18.317,18.578,18.62,18.612,18.614,18.926,18.927
"35","27","    Durable goods","B820RG3",16.927,16.927,16.925,16.921,17.156,17.216,17.204,17.207,17.517,17.518
"36","28","    Nondurable goods","B696RG3",20.166,20.165,20.164,20.166,20.467,20.467,20.467,20.467,20.77,20.77
"37","29","  Petroleum and products","B648RG3",4.113,4.174,4.298,4.236,4.113,4.174,4.113,4.236,4.174,4.174
"38","30","  Capital goods, except automotive","B650RG3",103.427,103.536,103.723,103.718,104.58,104.747,104.697,104.859,108.211,107.985
"39","31","    Civilian aircraft, engines, and parts","B932RG3",13.12,13.205,13.288,13.381,13.511,13.641,13.733,13.847,13.971,14.116
"40","32","    Computers, peripherals, and parts","B852RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","33","    Other","B853RG3",61.448,61.606,61.598,61.571,62.369,62.333,62.316,62.292,64.194,64.141
"42","34","  Automotive vehicles, engines, and parts","B651RG3",13.622,13.767,13.405,13.622,14.348,14.132,13.771,14.426,14.428,14.503
"43","35","  Consumer goods, except food and automotive","B652RG3",24.817,24.283,24.346,24.264,23.894,24.829,25.112,24.924,24.426,24.752
"44","36","    Durable goods","B697RG3",31.769,30.689,30.419,31.33,29.71,31.532,31.54,31.73,30.56,32.196
"45","37","    Nondurable goods","B698RG3",17.319,17.324,17.709,16.735,17.504,17.586,18.117,17.578,17.717,16.876
"46","38","  Other","B653RG3",20.784,20.629,20.416,20.419,20.517,20.536,20.473,20.425,20.461,20.548
"47","39","Imports of services \1\","B656RG3",18.349,18.362,18.382,18.406,18.518,18.656,18.842,18.916,18.905,19.011
"48","40","  Transport","Y804RG3",16.503,16.522,16.541,16.558,16.493,16.559,16.633,16.714,16.443,16.735
"49","41","  Travel (for all purposes including education)","Y805RG3",19.898,19.898,19.897,19.896,20.267,20.54,21.087,21.087,21.269,21.271
"50","42","  Charges for the use of intellectual property n.e.c.","B908RG3",16.624,16.74,16.891,17.082,17.34,17.51,17.735,17.962,18.149,18.366
"51","43","  Other business services \3\","Y806RG3",36.851,36.933,37.248,37.668,38.342,38.747,39.19,39.761,40.156,40.719
"52","44","  Government goods and services n.e.c.","Y807RG3",8.754,8.754,8.755,8.756,8.776,8.823,8.849,8.881,8.89,8.889
"53","45","  Other","B910RG3",15.494,15.602,15.742,15.92,16.16,16.318,16.528,16.739,16.913,17.115
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Exports of durable goods","B332RG3",41.704,41.463,41.433,42.026,42.198,44.074,43.142,43.876,44.606,44.431
"56","47","  Exports of nondurable goods","B339RG3",23.023,22.946,22.738,22.513,22.64,22.6,22.277,22.058,22.451,22.433
"57","48","  Exports of agricultural goods \4\","B181RG3",24.89,24.89,24.557,24.001,24.339,24.45,23.776,23.712,24.428,24.369
"58","49","  Exports of nonagricultural goods","B182RG3",27.027,26.844,26.782,27.075,27.032,27.711,27.069,27.469,28.348,27.955
"59","50","  Imports of durable goods","B333RG3",34.314,34.067,33.801,34.067,34.364,34.693,34.5,34.906,35.055,35.44
"60","51","  Imports of nondurable goods","B340RG3",10.396,10.391,10.481,10.395,10.444,10.499,10.55,10.592,10.679,10.623
"61","52","  Imports of nonpetroleum goods","B187RG3",29.399,29.235,29.164,29.207,29.491,29.699,29.704,29.9,30.129,30.255
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes net exports of goods under merchanting, beginning in 1999, reclassified from services to goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","3. Includes maintenance and repair services, insurance services, financial services, telecommunication, computer and information ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","services and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","other other business services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","4. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
