"","Table 1#1#7# Percent Change From Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"28","21","    Services","A656RV1",-4.3,-11.2,-15.3,-15.4,11.6,1.8,5.5,11,3.2,16,6.4,0,11.8,6.6,2.9,3.2,9.2,11.7,3.5,-2.8,0.2,5.9,0.2,-4.3,-0.3,-1.1,1.4,1.6,-2.1,1.2,0.7,1.9,1.3,4.1,0.8,3.5,2.5,1,1.9,2
"29","22","Government consumption expenditures and gross investment","A822RV1",-3,-4.9,-9.2,2.7,7.6,0.9,3.5,2.1,0.5,-1.6,-0.9,6.3,1.2,-0.1,-1.3,1.1,26.6,8.9,3.8,2.6,0.8,6,2.1,1.2,2.1,3.9,5.4,4.4,3,1.3,1.2,1.8,1.9,2.4,2.6,2.7,4,3.4,5.4,5.9
"30","23","  Federal","A823RV1",-4.4,-0.5,-4.9,0.3,6.7,0.6,8.8,1.4,1.4,-1.7,-3.2,5.7,-0.7,-0.9,-1.7,0.8,30.7,7.2,-0.7,3.7,0.9,3.8,1.2,0.8,2.4,4.8,4.9,4.4,3.9,0.9,0.7,1.3,1.5,2.5,3.1,2.5,3.4,2.2,5,5.1
"31","24","    National defense","A824RV1",-3,-1.1,-2.5,-0.7,4.4,3.4,2.1,2.4,0.3,-0.1,-3.3,6.3,-2.2,-1.2,-1.9,0.7,32.9,9.1,-0.3,2.8,1.7,2.9,0.6,0.4,2.6,5.1,5.5,4.4,3.8,0.7,0.7,1,1.3,2.7,2.8,2.6,3.5,2.4,5,5
"32","25","    Nondefense","A825RV1",-6.1,0.1,-7.4,1.1,7.8,-0.5,11.5,1.1,1.8,-2.3,-3.3,4.3,12.2,4.1,3.8,3.6,13.5,-0.4,-2.4,6.5,-1.8,8.1,5.4,3.9,1.1,3.3,1,4.4,4.9,2.3,0.7,3,2.3,1.8,4.1,2,2.9,1.7,5.1,5.3
"33","26","  State and local","A829RV1",-2.7,-6,-10.3,3.5,8,1,0.5,2.6,-0.2,-1.5,0.9,6.6,10.1,6.6,3.8,3.6,9.6,12.5,11.9,1,0.7,9.9,4.4,2,1.5,2.1,6.3,4.3,1.5,1.9,1.9,2.7,2.6,2.3,1.9,3,4.8,5.1,5.8,6.8
"34",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","27","  Gross national product","A001RV1",-3.8,-9.9,-11.4,-2.7,4.9,2,1.2,3.7,-1.8,-1.3,0.9,6.6,8.3,4.7,2.4,2.5,12.6,11.2,5.6,-0.1,0.9,6.7,2.2,1.3,1,1.5,3.4,3.5,2.3,1.3,1.4,1.1,1.2,1.1,1.5,1.8,2.8,2.9,4.3,4.9
"36",NA,"  Implicit price deflators:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","    Gross domestic product \1\","A191RI1",-3.6,-10.3,-11.7,-2.8,5.5,2.1,1.2,4.3,-2.9,-0.9,1.2,6.8,7.9,4.5,2.4,2.6,12.9,10.9,5.6,-0.2,1.2,7.1,1.7,1.2,0.9,1.7,3.4,3.3,2.3,1.4,1.4,1.1,1.2,1.1,1.5,1.8,2.8,2.9,4.3,4.9
"38","29","    Gross national product \1\","A001RI1",-3.6,-10.3,-11.7,-2.7,5.5,2.1,1.2,4.3,-2.9,-1,1.2,6.8,7.9,4.5,2.4,2.6,13,10.9,5.6,-0.2,1.2,7,1.7,1.2,0.9,1.7,3.4,3.3,2.3,1.4,1.4,1.1,1.2,1.1,1.5,1.8,2.8,2.9,4.3,4.9
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. The percent change for this series is calculated from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","implicit price deflator in NIPA table 1.1.9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
