"","Table 6#4C# Full-Time and Part-Time Employees by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"44","37","    Transportation and public utilities","A4237C0",5412,5553,5659,5811,5785,5748,5861,6049,6177,6298,6470,6680,6895,7089
"45","38","      Transportation","A4238C0",3195,3330,3447,3536,3524,3521,3639,3817,3957,4064,4177,4343,4482,4570
"46","39","        Railroad transportation","B4239C0",287,278,273,260,251,243,233,228,234,220,216,220,220,209
"47","40","        Local and interurban passenger transit","B4240C0",308,323,338,346,354,361,381,406,422,445,465,481,496,490
"48","41","        Trucking and warehousing \2\","B4241C0",1495,1370,1403,1411,1401,1405,1472,1560,1617,1657,1706,1774,1844,1882
"49","42","        Water transportation","B4242C0",179,178,179,184,190,180,178,183,182,180,186,189,192,198
"50","43","        Transportation by air \2\","B4243C0",605,847,900,966,959,958,986,1025,1068,1120,1140,1199,1245,1297
"51","44","        Pipelines, except natural gas","B4244C0",18,18,18,18,19,19,19,17,15,15,14,13,13,13
"52","45","        Transportation services","B4245C0",304,317,336,352,350,354,370,398,418,426,449,465,470,481
"53","46","      Communications","A4246C0",1295,1294,1276,1325,1304,1275,1276,1300,1314,1353,1422,1477,1552,1663
"54","47","        Telephone and telegraph","B4247C0",963,947,920,954,940,911,906,919,918,938,1002,1044,1105,1193
"55","48","        Radio and television","B4248C0",332,347,356,371,364,365,369,381,396,415,420,433,447,470
"56","49","      Electric, gas, and sanitary services","B4249C0",922,929,936,950,956,952,946,932,906,881,871,860,862,856
"57","50","    Wholesale trade","B4250C0",5937,6085,6319,6251,6097,6090,6018,6197,6437,6522,6711,6876,6951,7058
"58","51","    Retail trade","B4251C0",18767,19345,19843,19912,19604,19710,20110,20811,21498,21869,22240,22595,23140,23643
"59","52","    Finance, insurance, and real estate","A4252C0",6719,6806,6846,6876,6835,6761,6851,6993,6899,7011,7212,7491,7649,7674
"60","53","      Depository institutions","B4253C0",2271,2263,2271,2251,2167,2105,2079,2068,2023,2017,2033,2047,2048,2035
"61","54","      Nondepository institutions","B4254C0",372,371,368,374,378,409,461,490,466,515,576,663,710,688
"62","55","      Security and commodity brokers","B4255C0",448,445,431,426,421,439,471,517,527,553,599,648,691,758
"63","56","      Insurance carriers","B4256C0",1435,1457,1479,1515,1541,1526,1518,1528,1509,1514,1535,1595,1614,1595
"64","57","      Insurance agents, brokers, and service","B4257C0",623,654,663,671,680,663,672,693,701,713,732,750,757,762
"65","58","      Real estate","B4258C0",1343,1377,1387,1389,1387,1367,1395,1439,1424,1448,1489,1537,1574,1578
"66","59","      Holding and other investment offices","B4259C0",227,238,246,250,261,252,254,257,248,249,249,252,254,259
"67","60","    Services","A4260C0",25875,27089,28456,29522,29705,30721,31993,32924,34365,35601,36983,38488,39850,41157
"68","61","      Hotels and other lodging places","B4261C0",1492,1565,1628,1665,1614,1594,1612,1642,1681,1711,1745,1781,1841,1883
"69","62","      Personal services","B4262C0",1171,1151,1173,1197,1195,1208,1232,1235,1257,1270,1275,1286,1308,1332
"70","63","      Business services","B4263C0",4414,4747,5069,5321,5185,5444,5920,6379,6951,7489,8136,8761,9407,10007
"71","64","      Auto repair, services, and parking","B4264C0",862,897,942,979,935,937,987,1020,1069,1133,1166,1187,1233,1267
"72","65","      Miscellaneous repair services","B4265C0",341,370,390,407,360,367,383,363,386,401,403,408,406,401
"73","66","      Motion pictures","B4266C0",354,371,401,421,419,418,430,467,510,539,567,587,605,600
"74","67","      Amusement and recreation services","B4267C0",1005,1029,1099,1148,1162,1214,1280,1362,1442,1504,1568,1613,1662,1728
"75","68","      Health services","B4268C0",6919,7207,7579,7932,8300,8643,8937,9149,9369,9580,9773,9949,10078,10197
"76","69","      Legal services","B4269C0",814,868,909,931,931,933,942,942,939,947,964,990,1013,1030
"77","70","      Educational services","B4270C0",1620,1676,1724,1754,1802,1889,1946,2004,2053,2092,2161,2249,2331,2417
"78","71","      Social services and membership organizations","A4271C0",3126,3349,3563,3758,3881,3969,4151,4291,4478,4595,4765,5000,5214,5403
"79","72","        Social services","B4272C0",1466,1567,1679,1785,1893,2002,2120,2235,2353,2424,2524,2658,2806,2935
"80","73","        Membership organizations","B4273C0",1660,1782,1884,1973,1988,1967,2030,2056,2125,2171,2241,2342,2407,2468
"81","74","      Other services \3\","B4274C0",2212,2375,2554,2677,2609,2670,2751,2785,2949,3094,3227,3397,3503,3686
"82","75","      Private households","B4275C0",1544,1483,1426,1332,1312,1434,1423,1285,1281,1246,1233,1280,1251,1208
"83","76","  Government","A4276C0",20550,20906,21284,21813,21844,21895,21924,22005,22077,22069,22090,22322,22611,23094
"84","77","    Federal","A4277C0",6475,6470,6483,6532,6349,6177,5929,5719,5556,5386,5266,5191,5136,5235
"85","78","      General government","A4278C0",5493,5465,5471,5520,5356,5211,4976,4749,4571,4398,4276,4200,4146,4260
"86","79","        Civilian","B4279C0",2190,2192,2207,2315,2211,2231,2176,2101,2027,1952,1900,1878,1855,1976
"87","80","        Military \4\","B4280C0",3303,3273,3264,3205,3145,2980,2800,2648,2544,2446,2376,2322,2291,2284
"88","81","      Government enterprises","B4281C0",982,1005,1012,1012,993,966,953,970,985,988,990,991,990,975
"89","82","    State and local","A4282C0",14075,14436,14801,15281,15495,15718,15995,16286,16521,16683,16824,17131,17475,17859
"90","83","      General government","A4283C0",13258,13608,13955,14402,14603,14853,15109,15346,15551,15711,15858,16149,16476,16835
"91","84","        Education","B4284C0",6992,7257,7458,7670,7787,7887,8070,8227,8392,8526,8740,8932,9152,9389
"92","85","        Other \1\","B4285C0",6266,6351,6497,6732,6816,6966,7039,7119,7159,7185,7118,7217,7324,7446
"93","86","      Government enterprises \1\","B4286C0",817,828,846,879,892,865,886,940,970,972,966,982,999,1024
"94","87","Rest of the world \5\","A4287C0",-66,-75,-83,-82,-82,-78,-426,-479,-477,-440,-472,-468,-514,-463
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","1. Beginning with 1990, reflects the reclassification of employees of Indian tribal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","governments from the private sector to state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2. Reflects the reclassification of air couriers from trucking and warehousing to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","3. Consists of museums, botanical and zoological gardens; engineering and management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","services; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","5. Beginning with 1993, includes estimates of foreign professional workers and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","undocumented Mexican migratory workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
