"","Table 6#19D# Corporate Profits After Tax by Industry            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"30","23","      Furniture and related products","N3223C0",2479,2764,2273,1167,1804,1713,1913,3190,3926,2989,1291,985,1849,1794,NA,NA
"31","24","      Miscellaneous manufacturing","N3224C0",6797,6693,5223,3089,7003,5834,5787,7013,9033,7210,3745,11727,15096,13960,NA,NA
"32","25","    Nondurable goods","N3225C0",44981,50385,58034,47169,44679,60424,87978,105574,136917,137877,116023,74714,115310,124657,133654,125610
"33","26","      Food and beverage and tobacco products","N3226C0",12619,17952,16134,18939,16506,18272,18020,15165,22186,22087,19718,31078,35798,32084,NA,NA
"34","27","      Textile mills and textile product mills","N3227C0",1871,1395,607,-652,-217,-820,318,630,910,889,532,456,1136,944,NA,NA
"35","28","      Apparel and leather and allied products","N3228C0",2006,1330,1968,1551,4128,2084,2692,3158,2926,2324,1120,1725,2297,2452,NA,NA
"36","29","      Paper products","N3229C0",1436,3211,4904,-1490,-537,-578,2831,3213,8692,5782,-668,4275,6131,5228,NA,NA
"37","30","      Printing and related support activities","N3230C0",3838,4121,3494,2514,2860,2919,3164,4606,5168,4392,2546,1974,4132,3429,NA,NA
"38","31","      Petroleum and coal products","N3231C0",-1398,-792,15247,17501,2045,16689,29276,53653,48217,49074,55219,6605,11831,31673,NA,NA
"39","32","      Chemical products","N3232C0",19788,18505,13692,7948,17900,19678,26804,20166,44371,47784,36641,23189,46440,41104,NA,NA
"40","33","      Plastics and rubber products","N3233C0",4820,4661,1988,860,1994,2180,4874,4984,4446,5546,915,5412,7544,7742,NA,NA
"41","34","  Wholesale trade","N3234C0",40172,43991,49511,39342,43766,49982,65611,80759,90128,90651,78167,73502,93559,91474,113602,109897
"42","35","    Durable goods","N3235C0",24357,26961,30244,20435,22778,23705,37623,50180,55329,53446,41138,31624,46988,50728,NA,NA
"43","36","    Nondurable goods","N3236C0",15816,17030,19267,18907,20988,26277,27988,30579,34799,37206,37029,41877,46571,40746,NA,NA
"44","37","  Retail trade","N3237C0",44685,43763,35322,51899,61065,66837,72341,93137,100424,93497,63064,82542,95630,93991,122084,119769
"45","38","  Transportation and warehousing","N3238C0",7031,2880,5355,-3291,-7922,1343,6482,19671,30816,17314,20523,18788,38523,24609,40820,52110
"46","39","    Air transportation","N3239C0",2559,1378,-980,-11223,-15582,-8155,-8555,-6540,2213,-1351,-2900,731,10214,5822,NA,NA
"47","40","    Rail transportation","N3240C0",90,-200,1566,825,962,1119,1897,4959,7241,7042,6832,4145,6578,5713,NA,NA
"48","41","    Water transportation","N3241C0",17,-345,184,232,95,152,90,931,1422,746,1366,72,550,-247,NA,NA
"49","42","    Truck transportation","N3242C0",2367,1545,2361,2347,1274,3509,5805,9092,8343,5098,5889,4445,8499,5511,NA,NA
"50","43","    Transit and ground passenger transportation","N3243C0",612,357,572,688,889,662,750,785,809,609,387,921,1446,1179,NA,NA
"51","44","    Pipeline transportation","N3244C0",693,286,-274,591,652,475,680,656,595,874,1167,1356,741,-5045,NA,NA
"52","45","    Other transportation and support activities \2\","N3245C0",90,-825,1415,2768,3175,3195,5222,8701,8894,3298,6782,5915,9201,10606,NA,NA
"53","46","    Warehousing and storage","N3246C0",603,685,512,482,614,387,593,1086,1300,999,1000,1201,1293,1069,NA,NA
"54","47","  Information","N3247C0",11455,-5795,-35744,-34809,-8037,4034,34745,65216,74245,74892,71262,61608,70769,62412,72208,63478
"55","48","    Publishing industries (includes software)","N3248C0",6087,7961,-5142,-1651,7144,7990,12452,17434,10194,7331,7996,7540,13203,13183,NA,NA
"56","49","    Motion picture and sound recording industries","N3249C0",105,1171,670,3381,7377,6275,9520,5642,7339,7956,11428,11404,17379,19030,NA,NA
"57","50","    Broadcasting and telecommunications","N3250C0",8930,-8946,-15132,-24512,-23036,-10711,6346,37601,47614,54385,45611,37569,36337,27968,NA,NA
"58","51","    Information and data processing services","N3251C0",-3667,-5981,-16140,-12027,478,481,6428,4539,9098,5220,6227,5095,3849,2231,NA,NA
"59","52","  Finance and insurance","N3291C0",15634,20468,-5587,32040,92612,109957,130513,158251,137019,54515,-105692,125865,88805,80437,166681,253977
"60","53","    Federal Reserve banks","N3253C0",-961,1266,5886,1789,-976,-1943,1963,5111,4786,1397,3390,-101,-7712,518,NA,NA
"61","54","    Credit intermediation and related activities","N3292C0",38367,45766,49499,52721,70607,67125,59601,69421,55107,41782,35400,82127,64910,89631,NA,NA
"62","55","    Securities, commodity contracts, and investments","N3293C0",-7840,-12670,-33592,-13506,2258,5479,10204,11165,10413,-28448,-99296,21979,9863,-5318,NA,NA
"63","56","    Insurance carriers and related activities","N3256C0",1847,2142,-4786,-4373,9972,26227,53355,64410,57686,38798,-34633,23561,27541,9275,NA,NA
"64","57","    Funds, trusts, and other financial vehicles","N3257C0",-15779,-16037,-22594,-4589,10752,13069,5390,8144,9026,986,-10553,-1702,-5797,-13669,NA,NA
"65","58","  Real estate and rental and leasing","N3258C0",6974,6892,6461,5010,7181,6737,8413,21364,15905,10984,3036,6600,10631,-118,18592,22396
"66","59","    Real estate","N3259C0",4025,5313,6210,3658,5901,6558,10011,14647,8358,3183,238,2339,6096,4799,NA,NA
"67","60","    Rental and leasing services and lessors of intangible assets \3\","N3260C0",2949,1579,251,1352,1280,179,-1598,6717,7547,7801,2798,4261,4535,-4917,NA,NA
"68","61","  Professional, scientific, and technical services","N3261C0",23225,23300,5231,11270,22551,28483,34821,41497,48991,51481,57652,62158,73636,68306,67360,64380
"69","62","    Legal services","N3262C0",2432,3880,5732,8216,8830,8688,9327,11819,11204,11167,13292,14575,14919,15872,NA,NA
"70","63","    Computer systems design and related services","N3263C0",5253,2294,-13273,-9234,-2003,1471,3042,2191,4589,6306,7748,12209,12378,10852,NA,NA
"71","64","    Miscellaneous professional, scientific, and technical services \4\","N3264C0",15540,17125,12773,12288,15724,18325,22451,27487,33198,34008,36612,35374,46340,41581,NA,NA
"72","65","  Management of companies and enterprises \5\","N3265C0",33580,46710,60396,70894,82850,85699,99793,110906,112468,95290,119464,145399,167541,145216,138767,134572
"73","66","  Administrative and waste management services","N3268C0",6135,7371,7205,8639,9173,12695,13768,19739,17450,22463,20040,20538,24883,24571,26853,27358
"74","67","    Administrative and support services","N3269C0",4775,6103,6084,7215,7330,9649,11200,15840,16990,17242,16161,15071,18125,19282,NA,NA
"75","68","    Waste management and remediation services","N3270C0",1360,1268,1121,1424,1843,3046,2568,3898,460,5221,3879,5467,6758,5289,NA,NA
"76","69","  Educational services","N3271C0",1707,1781,1673,1479,1993,2638,3695,4413,4522,4475,4933,7869,9302,7883,7215,6461
"77","70","  Health care and social assistance","N3272C0",10919,16814,20747,26867,35334,38481,40016,49313,52266,53493,56879,68319,73616,74403,81333,78697
"78","71","    Ambulatory health care services","N3273C0",9319,13212,15559,21455,25985,27913,29417,34853,37774,37259,40464,48745,50338,49614,NA,NA
"79","72","    Hospitals and nursing and residential care facilities","N3277C0",831,2224,2333,1736,5171,6346,6322,8610,8311,7347,8364,10061,12237,14546,NA,NA
"80","73","    Social assistance","N3278C0",769,1378,2855,3677,4177,4222,4278,5851,6180,8886,8051,9512,11041,10242,NA,NA
"81","74","  Arts, entertainment, and recreation","N3279C0",2313,2504,2078,3069,3928,4018,5426,7191,6760,6392,5731,6553,7221,9307,10458,10559
"82","75","    Performing arts, spectator sports, museums, and related activities","N3280C0",877,1155,953,1475,1793,2266,3034,3528,3654,3970,3757,3970,3808,5754,NA,NA
"83","76","    Amusements, gambling, and recreation industries","N3281C0",1436,1349,1126,1594,2135,1752,2392,3663,3106,2422,1975,2583,3413,3554,NA,NA
"84","77","  Accommodation and food services","N3282C0",6949,9101,11625,9605,11690,10302,13143,16809,18774,16052,11169,11468,14657,19205,22711,23748
"85","78","    Accommodation","N3283C0",1115,2169,2949,878,1878,870,2444,3618,4569,2166,941,-3739,-3152,2519,NA,NA
"86","79","    Food services and drinking places","N3284C0",5834,6932,8676,8727,9812,9432,10699,13191,14205,13886,10228,15207,17808,16686,NA,NA
"87","80","  Other services, except government","N3285C0",2921,2805,4992,6276,4324,5000,5696,10114,10817,10041,6146,9024,14312,14367,15457,14094
"88","81","Rest of the world \6\","A3274C0",102761,122003,146179,170400,158757,166628,205032,239077,256164,353383,406697,357190,395181,421908,401840,403054
"89","82","  Receipts from the rest of the world","B3275C0",146786,177293,203036,183286,205280,250043,328177,383690,433769,510428,581990,498086,584607,644332,644336,657061
"90","83","  Less: Payments to the rest of the world","B3276C0",44025,55290,56857,12886,46523,83415,123145,144613,177605,157045,175293,140896,189426,222424,242495,254007
"91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","6. Consists of receipts by all U.S. residents, including both corporations and persons, of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","dividends from foreign corporations, and, for U.S. corporations, their share of reinvested earnings of their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","foreign affiliates, and earnings of unincorporated foreign affiliates (line 82), net of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","corresponding payments (line 83).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
