"","Table 3#5# Taxes on Production and Imports                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","    Gasoline","B2000C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3,3.2,3.3
"12","5","    Alcoholic beverages","B2001C1",0,0,0,0,0.1,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1.2,1.5,2.1,2.3,2.6,2.3,2.1,2.2,2.4,2.4,2.7,2.7,2.6,2.7,3,2.8,2.9,3,3.1,3.2,3.3,3.3,3.6,3.6,3.8,4,4.2,4.5
"13","6","    Tobacco","B2002C1",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1,0.9,1,1.2,1.3,1.3,1.3,1.3,1.4,1.7,1.6,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2.1,2.1,2.1,2.1,2.1,2.1,2.1
"14","7","    Diesel fuel","B2003C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","8","    Air transport","B2004C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","9","    Health insurance","Y700RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10","    Medical devices","Y701RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","11","    Pharmaceutical","Y702RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","12","    Crude oil windfall profits tax","B2005C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","13","    Other \1\","B2006C1",0.1,0.1,0.1,0.2,0.7,0.9,0.8,0.6,0.6,0.6,0.6,0.7,1.1,1.3,1.6,2.2,2.8,3.3,3.7,4,4,4.5,4.8,5.2,5.8,4.8,5.4,5.6,6.2,5.7,4.4,4.6,4.5,5.1,5.4,5.8,5.3,3.8,4.1,5.1,5.5
"21","14","  Customs duties","B235RC1",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4
"22","15","  Other \2\","B036RC1",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","16","State and local","W072RC1",5.7,6,5.8,5.7,5.3,5.5,5.8,6.2,6.6,6.8,6.9,7.2,7.5,7.5,7.6,7.8,8.2,9.1,10.4,11.9,13,14.2,15.6,17,18.4,19.4,21,23.3,25.1,26.5,28.8,31.5,33.8,36.3,38.7,41.8,45.3,48.8,52.8,59.5,66
"24","17","  Sales taxes","B248RC1",0.4,0.5,0.6,0.6,0.7,0.9,1.2,1.4,1.5,1.6,1.7,1.8,2.1,2,2,2,2.3,2.9,3.5,4.1,4.3,4.8,5.4,5.8,6.3,6.5,7.1,8,8.6,10,11.1,12.2,13,14,15,16.5,18.2,20,21.4,25.1,28.6
"25","18","    State","A1666C1",0.4,0.5,0.5,0.6,0.6,0.9,1.1,1.3,1.4,1.5,1.5,1.7,1.9,1.9,1.8,1.9,2.1,2.7,3.2,3.7,3.9,4.3,4.8,5.2,5.5,5.8,6.3,7.1,7.6,8.9,10,10.8,11.6,12.6,13.4,14.5,16.1,18,19.4,22.8,25.7
"26","19","      General \3\","L305131",NA,NA,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.1,1.3,1.6,1.6,1.8,2.1,2.3,2.5,2.6,2.8,3.2,3.5,3.5,4.1,4.4,4.8,5.4,5.8,6.4,7.3,8.6,9.5,11.7,13.3
"27","20","      Gasoline","L305141",0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,0.9,0.7,0.7,0.8,1,1.2,1.3,1.5,1.6,1.8,2,2.1,2.3,2.5,2.8,2.9,3,3.2,3.4,3.6,3.8,4,4.2,4.5,4.8,5,5.5,6
"28","21","      Alcoholic beverages \3\","L305151",NA,NA,0,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.3
"29","22","      Tobacco \3\","L305161",NA,NA,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.8,1,1,1.1,1.2,1.2,1.4,1.6,1.7,2,2.1
"30","23","      Public utilities \4\","L305171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8
"31","24","      Insurance receipts \4\","L305181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.2
"32","25","      Other \4\","L305191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9
"33","26","    Local","A1667C1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.9,2.1,2,1.9,2.3,2.9
"34","27","      General","L305211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.9,0.9,1,1.1,1.2,1.3,1.3,1.2,1.4,1.8
"35","28","      Public utilities","L305221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6
"36","29","      Other","L305231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.3,0.4,0.4,0.4
"37","30","  Property taxes","B249RC1",4.5,4.7,4.5,4.4,4,3.9,4,4.1,4.2,4.3,4.3,4.4,4.4,4.4,4.5,4.6,4.6,4.8,5.3,5.9,6.6,7.1,7.7,8.4,9.1,9.7,10.4,11.5,12.6,13.8,14.8,16.2,17.6,19,20.2,21.7,23.2,24.5,27,29.9,32.8
"38","31","  Motor vehicle licenses","S230201",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1,1,1.1
"39","32","  Severance taxes \5\","S230431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7
"40","33","  Special assessments","S230551",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5
"41","34","  Other taxes \6\","S230401",0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.9,1,1.2,1.3,1.5,1.6,1.8,2,2.2,2.3,2.5,2.8,2.9,1.7,1.4,1.5,1.6,1.6,1.7,1.8,1.9,2.2,2.4,2.4,2.5
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists largely of taxes on telephone services, tires, coal, nuclear fuel,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","trucks, indoor tanning services, and of refunds other than those for alcoholic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","beverages and tobacco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Consists of the capital stock tax in 1933-45.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. For 1929-30, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","4. Prior to 1958, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","5. Prior to 1959, included in line 34.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","6. Consists largely of business licenses and of documentary and stamp taxes.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","See also footnotes 3, 4, and 5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
