"","Table 1BU# Real Manufacturing and Trade Inventories, Seasonally ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118"
"36","28","A Merchant wholesale industries","KS42W0",234576,235036,236476,237090,238588,243631,243586,245057,247480,248959,251362,254081,255126,258524,260527,260575,262932,263076,264091,267554,270179,271445,273222,274423,275115,277695,278872,279139,279792,280366,283327,284147,285756,288337,291457,291968,294144,295183,296511,298393,299886,302011,302913,304248,304819,306161,307681,307035,306825,306853,307179,308323,309925,308021,305903,305827,304936,303170,300554,298639,298187,295382,295519,294228,294715,295938,297816,298123,298506,297214,297679,300485,299861,300434,300974,301515,299984,299233,299213,298494,299748,301450,301453,301795,300646,303659,303808,302472,304803,306817,311391,314045,314043,316867,319790,319358,322612,323824,323677,325987,326441,328021,328079,329161,330988,331370,332315,334731,334407,337129,337886,340671,341859,342891,343898
"37","29","A   Durable goods merchant wholesale industries","KS42WD0",142658,143150,144620,145467,146881,150667,149647,150338,152528,152675,153683,156023,157284,159546,161417,161899,163125,162675,163260,165819,167288,168730,169089,170846,171527,172820,173656,172958,174504,175442,176806,176689,178158,179752,182277,182814,183634,184822,185770,187557,188981,191088,191331,192028,191864,192521,193398,192822,193750,193258,192772,192230,191894,188597,187035,185777,184458,184146,180640,178533,177476,175376,174956,174398,174204,174576,175857,176944,177325,176871,177528,178554,177980,179572,180005,180576,179427,178740,177735,176922,177242,177754,178008,180107,180339,182202,182997,182866,185289,186932,189377,192171,192867,194431,196079,196116,198400,199415,199150,200162,200787,202592,203592,203767,204411,206810,207924,209062,209405,210422,210787,213551,214439,214961,216046
"38","30","D     Motor vehicles, parts, and supplies wholesalers","KS42110",21558,21133,21534,21184,21707,22653,22599,22815,23001,22599,22408,22507,22783,23129,23695,22702,22283,21917,21641,22070,22195,22638,22220,22951,22862,23019,23384,23399,23853,23953,24355,24524,24855,24798,25263,25271,25473,25570,26030,26286,26438,26667,26282,26131,25699,25636,25728,25995,25794,25861,25700,25621,25294,25001,25100,25108,25166,25527,24933,24311,24224,23840,23793,23474,24278,24689,25151,25028,26010,26553,27394,27160,27094,27363,27611,27995,27517,27787,27122,26873,26664,27618,27409,28595,28663,29271,29918,29781,29999,29819,30603,31471,31330,30517,30780,30193,31145,30980,30187,30826,31096,32192,32202,31838,31767,32417,32644,33041,32853,33650,34225,35555,34850,34620,34738
"39","31","D     Furniture and home furnishings wholesalers","KS42120",4961,4850,4766,5001,5070,4962,4899,5013,5065,5020,5104,5124,5184,5156,5091,5213,5246,5245,5277,5292,5296,5383,5285,5271,5245,5303,5303,5227,5252,5350,5382,5340,5361,5540,5411,5549,5572,5616,5686,5772,5847,5949,6019,6094,5880,5974,6036,5972,6049,5974,5993,5901,5849,5704,5658,5574,5644,5597,5587,5477,5439,5462,5335,5399,5396,5436,5531,5569,5629,5618,5632,5737,5711,5793,5873,5945,5976,5989,5884,5922,5904,5946,5990,6083,6304,6214,6276,6240,6197,6290,6362,6352,6349,6329,6342,6326,6331,6326,6321,6362,6320,6199,6248,6338,6329,6491,6451,6459,6459,6398,6329,6265,6469,6527,6578
"40","32","D     Lumber and other construction materials wholesalers","KS42130",5156,5262,5269,5370,5414,5500,5518,5606,5604,5538,5647,5597,5640,5619,5548,5642,5568,5571,5640,5809,5526,5563,5597,5545,5568,5515,5575,5631,5705,5666,5751,5694,5774,5883,5854,5932,6040,6085,6128,6147,6185,6262,6243,6164,6186,6214,6267,6380,6269,6265,6240,6105,6074,5946,6037,6204,6293,6508,6422,6424,6390,6294,6290,6323,6318,6311,6376,6466,6584,6685,6755,6871,6980,7157,7061,7103,7028,7106,7096,7223,7297,7492,7891,8141,8416,8566,8543,8805,9272,9118,9323,9443,9665,9790,9741,10092,10395,10735,10652,10270,10354,10341,10431,10454,10149,10509,10651,11103,11032,10999,11016,11206,11231,11570,11729
"41","33","D     Professional and commercial equipment wholesalers","KS42140",15038,15323,15410,15971,16381,17173,17457,17276,18156,18559,18720,19029,19664,20037,20707,21018,21305,20754,20890,21119,21082,20888,21189,20970,20989,21849,21875,21162,21922,22342,22393,22473,22835,23482,24167,24404,24958,24724,24403,24405,24644,24576,24628,24649,25365,25643,25689,25293,25283,25554,25247,25628,25238,24916,24841,24721,23986,23793,23066,23375,23244,22833,23503,24318,24131,24543,24659,25380,25052,24487,24678,25041,25335,25650,25989,25509,25901,25815,26254,26369,26459,26385,26489,26337,26209,26658,26595,26324,26942,27590,27669,28438,28648,29438,30192,30026,30343,30253,30105,30818,30883,31214,31297,31442,31680,32238,32203,32478,33131,34062,33673,34056,35000,34789,35380
"42","34","D       Computers and software wholesalers","KS42430",6581,6778,6871,7121,7451,8020,8188,8125,8725,8950,8872,9147,9412,9616,10326,10430,10637,10455,10302,10617,10504,10473,10687,10907,10878,11633,11227,10691,11546,11804,11858,11988,12018,12537,12888,13100,13101,13194,12319,12229,12052,12095,12143,12149,12817,13487,13061,12680,12855,13006,12898,13085,12829,12293,12440,12229,11885,11951,11630,11574,11489,11662,12209,12896,12714,12975,12907,13414,13196,12599,12430,12642,13166,13636,13878,13750,14299,14224,14554,14460,14383,14608,14714,15144,15000,15000,15259,15211,15346,16269,16123,16848,16933,17449,18522,18173,18192,18412,18671,18621,18629,18991,18591,19352,20580,20735,20756,20913,21481,21792,21868,21820,22595,22306,22587
"43","35","D       Other professional and commercial equipment wholesalers","KS424X0",9412,9438,9381,9724,9673,9726,9820,9681,9826,9992,10366,10314,10721,10873,10597,10836,10884,10459,10854,10680,10793,10603,10667,10123,10183,10214,10742,10592,10413,10565,10557,10496,10845,10954,11286,11303,11873,11532,12114,12204,12621,12505,12504,12514,12565,12189,12640,12612,12444,12568,12377,12571,12430,12583,12396,12460,12075,11856,11463,11776,11728,11249,11435,11645,11619,11790,11939,12203,12077,12009,12282,12446,12350,12309,12433,12124,12101,12078,12229,12379,12497,12304,12323,11951,11933,12284,12087,11901,12305,12291,12432,12625,12739,13065,13067,13125,13352,13171,12930,13478,13520,13585,13832,13577,13176,13503,13468,13592,13800,14315,14010,14297,14621,14596,14884
"44","36","D     Metal and mineral (except petroleum) wholesalers","KS42150",12692,12991,13038,13150,13149,13300,13271,13304,13271,13215,13213,13319,13455,13549,13666,13714,13831,13783,13761,14205,14331,14465,14700,14737,14987,14690,14379,14479,14618,14640,14489,14354,14487,14657,14876,15029,15224,15422,15679,16085,15903,16026,16080,16064,16007,15842,15701,15375,15354,15230,15095,14993,15062,15055,15029,15103,14860,14836,14567,14484,14280,14260,14156,14075,14060,14060,14214,14267,14506,14253,14250,14215,13876,13942,13913,13943,13735,13760,13636,13509,13610,13557,13729,13987,14244,14471,14782,14563,14853,14879,15091,15502,15442,16030,16225,16174,16270,16153,16199,16229,16189,16049,15905,15781,15713,15636,15471,15322,15365,15367,15234,15671,15911,16100,16177
"45","37","D     Electrical goods wholesalers","KS42160",20054,20118,20528,20313,20325,20668,20566,20688,20644,20478,20282,20520,20443,20742,21220,21561,21774,21872,21808,22008,22223,22137,22199,22441,22442,22720,22559,22370,22739,22936,23638,23733,24037,24465,25075,25707,25651,25875,26044,26070,26412,26967,27497,27739,28034,28741,29076,29184,29491,29258,29308,29557,28938,28332,27314,26786,26427,26165,25290,24492,24026,23663,23344,23068,23171,22871,23182,23772,23537,23647,23477,23577,23489,23303,23347,23519,23171,23115,22872,22818,23052,22842,22470,23182,23025,23884,24374,24778,25222,25281,25429,25473,25561,25672,25820,25853,26040,26355,26395,26209,26154,26477,27096,26956,26913,26909,27110,27292,27148,27530,27741,28074,28349,28245,28994
"46","38","D     Hardware and plumbing and heating equipment wholesalers","KS42170",9563,9577,9378,9623,9632,9613,9507,9547,9667,9631,9678,9664,9835,10129,10066,10226,10256,10373,10349,10427,10388,10415,10442,10484,10575,10509,10556,10523,10557,10571,10679,10465,10548,10606,10768,10701,10698,10933,10919,11170,11239,11416,11461,11512,11428,11528,11549,11614,11528,11443,11391,11254,11142,11190,11141,11311,11273,11196,11105,11022,11043,10882,10864,10771,10897,10878,10940,10925,10980,10882,10872,10995,10951,11311,11412,11401,11243,11157,11190,11004,10982,10986,11012,10969,10876,10858,10856,10850,11039,11104,11257,11391,11520,11620,11659,11660,11650,11667,11607,11631,11693,11773,11765,11896,11984,12212,12328,12574,12876,12815,12896,12954,12991,13129,13239
"47","39","D     Machinery, equipment, and supplies wholesalers","KS42180",40171,40228,40679,41159,41797,42606,41295,41375,42082,42760,43407,44402,44318,44933,45163,45353,46091,46386,47009,47415,48198,48893,49089,50068,50393,50657,51037,51489,51055,51218,51553,51453,51450,51402,51678,51167,50892,51110,51377,51862,52163,52486,52010,52620,52645,52183,52468,51914,52432,52405,52464,51949,52724,52176,51631,50924,50753,50511,49518,48993,48988,48358,48053,47471,46793,46578,46958,46653,46342,45875,45804,46220,45927,46253,46168,46266,46181,45490,45249,45014,44907,44576,44649,44117,44390,44720,44081,44030,44391,45140,45438,45821,45966,46614,47006,47553,47658,48111,48599,48949,49066,49675,49902,50721,51107,51555,52242,52273,52626,52563,52816,53312,53824,54423,54645
"48","40","D     Miscellaneous durable goods wholesalers","KS42190",14814,14869,15238,14718,14336,14956,15065,15350,15444,15147,15499,16125,16071,16347,16220,16354,16626,16774,16889,17516,18152,18550,18539,18623,18730,18702,19155,18904,18961,18885,18658,18730,18876,18955,19201,19057,19113,19482,19509,19765,20154,20740,21111,21052,20620,20766,20889,21098,21557,21285,21335,21265,21600,20274,20294,20060,20009,19948,20080,19950,19815,19762,19677,19676,19321,19426,19044,19182,18938,19082,18904,18996,18947,19132,19018,19201,19058,18933,18928,18729,18925,18915,18903,19229,18705,18202,18223,18161,18087,18508,18939,19073,19209,19149,19173,19029,19422,19676,19803,19801,19988,19848,20032,19641,20104,20315,20328,20187,19747,19339,19179,18880,18438,18014,17404
"49","41","A   Nondurable goods merchant wholesale industries","KS42WN0",92212,92161,92081,91808,91853,93053,94115,94915,95088,96481,97913,98242,97981,99107,99197,98734,99882,100513,100947,101823,102992,102769,104238,103620,103617,104922,105257,106263,105314,104922,106540,107503,107624,108612,109188,109154,110526,110364,110743,110836,110905,110922,111583,112222,112958,113643,114287,114213,113112,113623,114417,116063,117961,119291,118732,119882,120291,118861,119709,119882,120464,119745,120285,119556,120219,121055,121652,120912,120920,120100,119925,121661,121597,120663,120775,120762,120362,120281,121196,121262,122161,123306,123071,121473,120172,121322,120734,119581,119573,119974,122081,122018,121363,122611,123874,123419,124405,124618,124721,125986,125837,125679,124824,125683,126818,125014,124896,126138,125525,127165,127547,127674,127990,128490,128460
"50","42","D     Paper and paper products wholesalers","KS42210",7645,7705,7726,7803,7941,7803,8130,8342,8233,8178,8207,8266,7963,8306,8353,8344,8332,8319,8303,8310,8285,8160,8355,8417,8395,8484,8548,8579,8569,8605,8662,8681,8678,8630,8679,8463,8695,8675,8798,8773,8762,8723,8759,8827,8824,8942,8938,8942,8818,8954,8853,8846,8868,8786,8703,8673,8692,8681,8605,8520,8514,8400,8364,8353,8421,8518,8379,8338,8348,8259,8322,8300,8277,8405,8364,8413,8336,8300,8306,8246,8211,8285,8292,8424,8449,8451,8599,8577,8478,8768,9002,8988,9047,9103,8999,9111,9246,9274,9178,9293,9371,9446,9401,9561,9569,9518,9633,9575,9463,9462,9425,9420,9353,9247,9286
"51","43","D     Drugs and druggists' sundries wholesalers","KS42220",14084,13849,14148,13885,14169,14456,14618,15184,15267,14957,15453,15568,15822,16260,16349,16304,16531,16054,16055,16130,16052,16187,16461,16528,16866,17159,17387,18149,18567,18830,19172,19391,19303,19840,19747,19706,20238,20417,20810,20959,20931,21528,22072,22164,22663,22967,23229,23951,23666,23460,24425,25148,26302,26974,26787,27861,29154,28844,29723,30373,30389,30015,30153,29728,29472,29751,29172,29005,29508,30255,30080,31198,31219,31780,32237,32784,32768,32188,32875,32970,32312,32089,32173,31257,30617,31831,31918,31197,31489,31746,32121,32254,31804,31531,31539,30918,30722,30059,29677,29704,29508,29168,27996,27973,28605,27762,27540,28505,27071,28091,28454,28720,28790,29509,29248
"52","44","D     Apparel, piece goods, and notions wholesalers","KS42230",11707,11854,11992,12048,12156,12384,12426,12402,12358,12943,12922,12860,12874,12601,12646,12701,12654,12769,12706,12894,12770,12852,12907,12873,12376,13020,12539,12254,12089,11848,11862,11828,11650,11743,11926,12084,12319,12279,12268,12428,12528,12222,12323,12198,12282,12158,12160,12049,12107,12479,12616,12836,13088,13143,12855,12825,12799,12777,12332,11938,12220,12040,11858,11509,11605,11916,12166,12476,12898,12517,12400,12506,12452,12237,12449,12508,12327,12501,12471,12191,11936,11562,11774,11806,11627,11724,11777,11614,11683,11273,11454,11727,12039,12232,12781,12180,12596,12655,12769,13090,13100,13246,13378,13455,13412,13505,13381,13111,12897,13030,12920,12774,12671,12755,12965
"53","45","D     Grocery and related products wholesalers","KS42240",16995,16878,16852,16614,16860,17043,17080,17005,16970,17568,17716,17816,18038,18267,17709,18085,18344,18213,18263,18250,18109,17883,17995,17795,17865,18235,18465,18968,18800,18289,18956,19102,19174,19332,19824,19800,19719,19824,19710,19678,19498,19307,19586,19695,20080,20185,20709,20249,19955,19773,19618,19598,19336,19442,19055,19268,19052,18606,18943,19048,19047,18867,19170,19412,20022,20554,20709,20946,20600,20801,20607,20710,21117,21015,20698,20271,19908,19892,20048,20026,20426,19741,19703,20078,19792,20024,20199,20231,20262,20332,20619,20547,20266,20596,20814,20230,20501,20630,20527,20674,20706,20593,20588,21032,21345,21202,21527,21708,21575,21841,21823,21877,21814,22229,22232
"54","46","D     Farm product raw material wholesalers","KS42250",9834,10041,9847,9830,9632,9839,10343,10163,10042,10782,11313,10736,10610,10531,10417,9977,10062,10762,11016,11491,12380,12674,12824,12645,12506,12501,12717,13120,12979,13005,13244,13947,14024,14171,13769,13588,13979,13713,13868,13846,13882,13724,13717,13932,14116,14309,14323,14209,13964,14070,13969,14197,14716,14791,15076,15030,14825,14068,14395,14558,14649,14740,14914,14779,14855,15010,15734,14902,14293,13471,13730,13752,13482,13103,12833,12780,12926,13127,13273,13464,13855,16017,15522,14811,14866,14800,14533,14080,13534,13200,12810,12828,12805,13066,13194,13622,13864,14322,14768,14863,14926,15120,15481,15486,15555,15475,15167,15561,15539,15661,15430,15378,15601,15729,16003
"55","47","D     Chemical and allied products wholesalers","KS42260",4662,4673,4731,4674,4546,4913,4952,4942,4923,4943,5011,4915,4963,4826,4821,5002,5161,4948,5147,5123,5259,5236,5342,5331,5446,5469,5373,5392,5356,5318,5400,5308,5332,5349,5346,5487,5427,5435,5488,5446,5366,5404,5337,5337,5195,5152,5103,5088,5004,4894,5048,5237,5154,5195,5197,5209,5305,5352,5288,5283,5285,5336,5363,5346,5393,5376,5245,5477,5520,5503,5578,5572,5649,5479,5343,5273,5288,5313,5324,5222,5238,5175,5102,5349,4883,4953,4897,4913,4929,4938,5040,5038,5049,5118,5137,5131,5214,5322,5331,5479,5368,5445,5385,5464,5376,5292,5198,5106,5230,5164,5254,5290,5259,5292,5181
"56","48","D     Petroleum and petroleum products wholesalers","KS42270",6343,6336,6291,6367,6543,6409,6383,6282,6391,6433,6421,6630,6735,6735,7001,7241,7529,7415,7403,7459,7928,7542,7349,7363,7636,7743,7461,7081,6812,6912,6824,6491,6540,6400,6317,5931,5834,5676,5581,5573,5534,5631,5439,5605,5420,5336,5523,5452,5311,5475,5533,5535,5598,5694,5945,5925,5817,6230,6560,6797,7264,7298,7168,7005,6790,6597,6619,6424,6452,6082,6058,6295,6066,5511,5321,5570,5934,6091,5810,6039,6216,6290,6244,6018,5830,5855,5671,5564,5547,5611,6215,6147,5984,6144,6130,6453,6565,6525,6745,6718,6819,6651,6836,6742,6729,6462,6557,6440,7010,7143,7000,6875,6946,6786,6743
"57","49","D     Beer, wine, and distilled alcoholic beverages wholesalers","KS42280",5103,4947,4790,4957,4773,5015,4933,4967,5117,5022,5101,5456,5339,5467,5794,5429,5444,5675,5590,5745,5798,5839,5989,5660,5754,5950,6285,6028,6234,6058,6158,6123,5981,5971,5944,6012,6105,6139,6100,6149,6213,6040,6043,6088,6085,6134,6173,6249,6189,6142,6050,6073,6036,6185,6076,6109,6118,6082,5967,6044,6160,6152,6323,6397,6359,6255,6276,6191,6349,6447,6513,6528,6624,6617,6709,6597,6662,6649,6695,6502,6747,6720,6900,6740,6678,6568,6471,6576,6668,6847,6917,6885,6787,6783,6931,7100,7199,7242,7211,7301,7253,7236,7150,7443,7480,7535,7605,7571,7528,7501,7782,7839,7942,7811,7845
"58","50","D     Miscellaneous nondurable goods wholesalers","KS42290",16529,16458,16360,16288,16034,15884,15796,16296,16537,16108,16095,16599,16279,16835,16966,16668,16931,17261,17299,17173,17274,17038,17539,17561,17475,17054,17030,17048,16185,16393,16524,16791,17111,17287,17698,18066,18177,18167,18076,17940,18143,18307,18267,18342,18270,18443,18104,18007,18075,18337,18272,18547,18824,19028,19002,18934,18484,18244,17974,17455,17193,17159,17161,17153,17367,17112,17311,17149,17020,16899,16722,16885,16812,16706,17062,16794,16410,16393,16544,16714,17258,17118,17126,16871,17251,16982,16631,16848,17129,17451,18067,17778,17783,18177,18527,18665,18496,18585,18418,18806,18697,18766,18486,18492,18749,18451,18391,18772,18892,18941,19200,19312,19360,19078,19007
"59","51","A Retail trade industries","KS440",325285,327629,325441,329308,330781,330810,333644,332827,335557,337463,339310,340561,342766,345937,350400,354401,352999,353173,354527,354161,355715,355902,357726,357859,361689,363272,366348,367453,367917,369513,370841,371709,373670,376949,380501,385517,384597,385354,387559,389743,393699,396651,398939,401909,402422,405252,406829,407133,406498,403530,402859,404204,405027,404331,404424,405972,405660,396546,391915,396311,399535,400875,401564,402420,405968,408690,409956,409011,413359,414884,419327,420589,422324,424309,426475,427872,427405,428862,431040,428576,433713,434623,437060,436447,437721,439718,442894,447502,448722,450557,450610,452997,452365,455447,457597,458362,458914,462137,462158,459400,459919,459323,451690,452929,457014,461308,463327,463612,463783,463365,466809,463751,467043,468763,469727
"60","52","A   Motor vehicle and parts dealers","KS4410",100910,101582,100539,102519,102361,101653,103340,103419,103460,105255,106727,106600,107319,108606,110379,113202,113258,110304,109867,108552,109359,109597,109935,108868,111140,112335,114186,113968,113974,114292,115258,115212,116219,118360,119814,121928,122312,121822,122981,125291,126833,129069,131284,132272,133067,134055,134247,134232,133024,130099,128961,130295,131286,131338,132708,132445,133080,123296,120537,125404,128151,129719,130881,131563,133626,135897,135467,134599,136906,139690,143772,143825,146027,147039,148572,150062,151127,152500,153232,151698,154563,154577,156511,156477,158320,159273,160641,163906,163978,164759,164481,165295,164003,165914,165805,164011,162838,165368,165166,162330,161555,159700,152385,152336,156371,161574,162891,161325,160676,160587,162712,160079,161946,162952,163747
"61","53","A   Furniture, furnishings, electronics, and appliance stores","KS44230",19632,19728,19623,19496,19912,19936,20224,19948,20096,20306,20296,20291,20339,20564,20901,21112,21088,21150,21481,21582,21684,21911,22161,22218,22449,22684,22560,22894,22913,23239,23508,23595,23755,23883,23992,24336,24182,24398,24927,24951,25148,25720,25682,26024,25590,26022,26746,26437,26479,26093,26428,26458,26189,25804,25604,25637,25464,25615,25751,25844,26471,26705,26820,26837,27272,27158,27525,27413,27865,27784,27741,27619,27591,27757,27583,27650,27582,28037,28081,28180,28449,29213,29268,29230,29020,29274,29843,30100,30428,30400,30667,31113,31146,31097,31457,32321,32098,32048,32129,32358,32734,33069,33018,32997,32939,32933,33033,33454,33751,33941,34009,34101,34131,34271,34336
"62","54","A   Building material and garden equipment and supplies dealers","KS4440",32563,32589,32690,32799,32901,33182,33126,33335,33800,33631,33626,34030,34230,34824,34795,34794,34182,34864,35117,35686,35642,35671,36130,36369,36579,36735,36896,36984,37001,37197,37458,37541,37591,37991,38191,38660,38711,38917,38880,39301,39455,39751,39940,40213,40309,40139,40414,40040,40230,40116,40084,40163,40380,40174,39776,40157,40102,40216,40035,40016,40234,40323,40735,40772,40593,40550,40451,40463,40959,41382,41233,41493,40925,41634,41753,41470,41385,41552,41563,41868,42654,42441,42520,42631,42448,42843,43075,43433,43740,43824,44098,44179,43887,44398,44418,44840,45644,45580,45298,44978,45207,45426,45625,45876,46157,46208,46628,46868,47041,46539,47148,47234,47155,47294,47576
"63","55","A   Food and beverage stores","KS4450",28417,28450,28530,28426,28523,28540,28586,28920,29014,28842,28969,28819,29103,29130,29394,29690,29669,29889,30108,30003,29891,29896,30161,30065,30398,30439,30507,30362,30623,30727,30883,31125,31430,31572,31655,31910,31880,31935,31962,31977,32108,31537,31461,31527,31721,31708,31538,31757,31963,32132,32143,32272,32216,32317,32297,32324,32201,32486,32591,32485,32345,32328,32181,32194,32233,32266,32133,32328,32603,32085,32251,32645,32504,32612,32681,32546,32391,32242,32428,32354,32588,32068,31816,31681,31749,31632,31675,31747,31920,31980,32062,32076,32154,32127,32219,32088,32183,32109,31971,31981,32029,32112,31978,32081,31737,32005,32092,32058,32127,32222,32307,32357,32509,32569,32603
"64","56","A   Clothing and clothing accessories stores","KS4480",26324,26542,25941,26716,26856,26806,26890,26763,27219,27262,27243,27573,27682,27582,28022,28204,28131,28507,28647,28750,29029,28751,28684,28723,29120,29405,29277,29453,29519,29703,29376,29251,28989,29158,29472,29996,29242,29648,30037,30212,30765,30606,31029,31450,31420,31978,32161,32527,32371,32535,32398,32235,32093,32227,32021,32027,32262,32563,31735,31460,31470,31040,30809,31144,31218,31612,32074,32128,32501,32536,32583,33056,33471,33559,33712,33452,33464,33238,33392,33406,33305,33200,33579,33478,33546,33690,33842,34293,34674,34567,34416,34788,34905,35152,35457,35671,36209,36615,36944,36790,36920,37186,37037,37102,37221,37265,37047,37201,37013,37393,37883,38084,38412,38468,38369
"65","57","A   General merchandise stores","KS4520",58260,58531,58151,58779,58856,58954,58800,58449,58649,58352,58418,59047,59368,59434,59534,59598,58791,59652,60061,60062,60324,60219,60064,59921,59867,59979,60449,60806,60784,60683,60821,61166,61289,61136,62172,62618,62939,63192,62794,62709,62937,63295,62937,63030,63038,63530,63496,63682,64096,64190,65236,64854,65255,65315,64517,65395,64851,64770,64118,63551,63173,63184,62689,62559,63162,62815,63682,63719,63833,63875,64729,64771,64587,64378,64563,65387,64547,64549,64864,64150,65092,65787,65365,65609,65902,66261,66697,66787,66829,67492,67355,67628,67869,68118,69165,69776,70255,70338,71147,71152,71320,71462,71276,72083,72231,72043,72156,72513,72139,71597,71348,70516,71103,71222,71771
"66","58","D     Department stores","KS45210",41803,41996,41861,42237,42245,42353,42121,41886,41991,41893,41945,42469,42602,42544,42527,42451,41730,42353,42711,42579,42559,42209,41943,41766,41880,41656,41923,42078,41959,41805,41815,41881,41805,41547,42302,42422,42450,42568,42098,41971,42075,42110,41651,41657,41552,42017,41938,41797,41933,41764,42183,41956,41997,41838,41032,41639,41485,40877,40258,39701,39006,38886,38447,38091,38043,37995,38272,38073,38017,37811,38267,38144,37878,37559,37602,38233,37475,37324,37131,36596,37019,37241,36623,36447,36640,36638,36646,36770,36710,36763,36713,36756,36636,36908,37105,37141,37340,37317,37903,37286,36963,37186,37244,37295,37387,37254,37171,37364,36779,36252,35929,35778,35607,35380,35498
"67","59","D     Other general merchandise stores","KS45290",16432,16509,16262,16515,16585,16575,16654,16539,16634,16433,16447,16550,16740,16866,16984,17126,17043,17280,17330,17465,17750,17998,18111,18145,17975,18315,18519,18721,18819,18873,19001,19282,19482,19588,19869,20196,20490,20626,20698,20740,20864,21187,21288,21375,21488,21516,21559,21885,22163,22424,23050,22896,23254,23471,23474,23747,23360,23878,23843,23830,24141,24269,24211,24433,25076,24780,25365,25597,25765,26009,26405,26568,26647,26755,26895,27090,27004,27153,27653,27472,27986,28454,28641,29051,29151,29506,29927,29896,29994,30593,30506,30733,31085,31066,31901,32464,32740,32845,33072,33667,34138,34064,33828,34564,34621,34565,34753,34917,35109,35082,35146,34483,35213,35542,35961
"68","60","A   Other retail stores","KS44X0",59147,60182,59954,60628,61350,61718,62632,62004,63334,63814,64063,64235,64774,65849,67428,67866,67950,68853,69261,69526,69778,69836,70575,71703,72138,71671,72480,72981,73100,73665,73523,73808,74393,74844,75194,76055,75318,75421,75956,75282,76435,76654,76588,77374,77256,77801,78219,78444,78327,78355,77608,77923,77593,77128,77468,77952,77664,77549,77093,77518,77695,77596,77489,77398,77939,78485,78726,78442,78802,77706,77260,77397,77499,77631,77927,77671,77327,77232,77967,77391,77592,77941,78699,78063,77540,77594,78033,78285,78195,78581,78558,78990,79407,79690,80111,80625,80511,81012,80475,80653,80941,81045,80660,80699,80815,80078,80315,80901,81655,81749,82130,81936,82428,82675,82096
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note.  Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
