"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"35","25","Q1FTB1 C Food and tobacco","Q1FTB10",867123,862114,869220,882650,903627,909860,918522,929423,948543,972984,1003707,1018271,1030697,1051132,1082167,1134701
"36","26","Q1FXA1 C   Food excluding alcoholic beverages","Q1FXA10",681686,685695,692349,706997,725188,730038,736456,745519,763261,789062,816488,830883,844461,864832,892438,937728
"37","27","Q1ALC1 C   Alcoholic beverages","Q1ALC10",102808,97568,95530,95152,96660,97056,98262,99738,102299,104509,108676,109358,110175,112840,118510,127965
"38","28","Q1TOB1 C   Tobacco products","Q1TOB10",87704,81372,84939,83183,84224,85453,86661,86719,84309,79543,78543,78060,76307,74126,72314,70727
"39","29","Q1CAJ1 C Clothing, accessories, and jewelry","Q1CAJ10",247726,244130,257761,269714,284397,297619,313831,324128,348326,375994,396953,400986,419571,440419,463879,489467
"40","30","Q1PCR1 C Personal care","Q1PCR10",68520,68256,70821,72302,75097,79265,82800,87996,90024,91584,93372,92660,94026,97071,101998,105699
"41","31","Q1HOS1 B Housing","Q1HOS10",802176,820060,832742,841770,869326,887543,901110,922477,948846,978557,1006456,1033731,1042085,1051897,1091592,1122601
"42","32","Q1HHO1 C Household operation","Q1HHO10",484959,485714,501322,526778,553118,572768,597483,621269,650508,686349,719278,723817,740490,765894,801945,829838
"43","33","Q1MED1 C Medical care","Q1MED10",905897,932055,971469,988026,1003121,1028852,1053658,1085737,1129743,1164710,1218341,1279624,1353236,1411009,1457745,1508282
"44","34","Q1PBU1 C Personal business","Q1PBU10",330009,349012,358899,381002,382630,386959,402329,426346,453921,495312,539098,532877,526634,528440,560603,579676
"45","35","Q1TRN1 C Transportation","Q1TRN10",590145,548976,581099,607632,643220,654605,687112,727445,779291,831555,853428,872041,890876,905316,919671,922274
"46","36","Q1USE1 C   User-operated transportation","Q1USE10",546578,506072,538347,564422,596348,606135,635267,673892,723233,773447,793776,815692,834203,845935,857429,859850
"47","37","Q1PLT1 C   Purchased local transportation","Q1PLT10",10909,10810,10665,10776,11229,11235,10959,10954,11819,12093,12227,12107,11717,11541,11565,11772
"48","38","Q1PIT1 C   Purchased intercity transportation","Q1PIT10",32539,31853,31965,32396,35523,37098,40812,42537,44182,46015,47425,44112,44831,48065,51311,51220
"49","39","Q1RCR1 C Recreation","Q1RCR10",276538,280890,296605,322926,350906,383571,415047,447806,488671,540940,585712,612221,647850,688991,744370,802695
"50","40","Q1TED1 C Education and research","Q1TED10",125594,127140,130509,132553,134784,138457,142730,145678,151899,157286,163771,170029,173507,176044,174758,176085
"51","41","Q1RAW1 C Religious and welfare activities","Q1RAW10",121229,122763,131339,133425,140703,142427,149909,149417,157771,162090,172284,181227,188963,189452,194424,193239
"52","42","Q1FTO1 C Foreign travel and other, net","Q1FTO10",-13133,-21452,-27770,-27714,-25202,-30483,-33131,-28618,-17740,-17654,-13023,-7424,-7972,-6508,-7211,-7487
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","A=Annual, quarterly, and monthly data published in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","  the Survey of Current Business monthly (NIPA table 2.8.5 and table B.2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","B=Annual and quarterly data published in the Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  of Current Business monthly (NIPA table 2.3.6)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C=Annual data published in the Survey of Current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Business annually (NIPA table 2.5.6 and table B.4)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","D=Detail underlying published data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
