"","Table 7U# Chain-Type Price Indexes for BEA Real Retail and Food ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"29","21","S2 PN4482ZZMG     Shoe stores","T070213",106.923,107.023,107.669,107.51,107.707,108.026,108.388,108.832,108.41,108.794,108.372,109.075,108.636,108.362,108.15,108.384,108.807,108.304,107.875,107.597,108.233,108.18,108.736,108.401,108.477,107.584,107.386,107.794,108.451,108.824,107.779,107.36,106.533,105.619,106.145,105.852,106.186,106.19,106.161,106.372,105.62,105.385,105.344,105.535,106.692,106.006,105.589,104.63,104.303,105.536,106.722,105.314,105.764,105.708,104.985,103.726,104.852,104.449,104.623,104.685,104.544,104.643,104.623,105.022,105.428,104.352,104.582,104.965,105.33,105.793,104.841,105.325,105.451,103.94,103.005,102.804,103.854,104.563,104.282,104.82,104.406,103.083,103.655,102.992,102.964,101.874,101.77,102.383,101.666,101.462,102.07,100.948,100.725,100.399,100.713,100.402,100.219,100.047,100.347,100.515,100.522,100.369,98.488,98.691,100.82,99.7,99.917,100.4,99.899,100.257,100.569,99.238,99.292,99.001,99.158,99.503,98.866,99.07,98.385,97.669,96.575,97.801,98.705,98.696,99.052,98.069,97.267,97.677,97.548,97.224,97.297,97.407,98.193,97.459,95.667,95.041,95.345,96.139,96.86,96.073,95.911,96.14,96.123,95.886,95.302,95.232,95.901,95.897,96.002,95.961,95.219,95.715,96.555,96.113,96.628,97.183,97.865,98.048,97.811,97.855,98.053,98.114,98.172,98.828,99.29,99.134,98.284,97.902,99.737,99.011,99.443,99.444,99.784,99.054,98.004,98.034
"30","22","S3 PN4483ZZMG     Jewelry, luggage, and leather goods stores","T070223",116.298,118.444,117.157,115.557,116.96,117.235,118.653,117.738,116.677,116.848,117.308,117.658,118.896,116.065,114.107,117.223,116.796,116.595,116.383,116.502,117.846,117.296,116.654,115.668,114.977,117.455,119.889,116.945,117.362,116.99,118.001,118.487,118.18,116.886,117.806,117.533,117.771,116.357,117.19,117.614,114.675,117.348,116.423,118.046,116.848,116.193,116.26,118.042,116.744,114.285,115.32,114.263,113.831,113.226,113.777,111.716,112.517,112.995,112.311,110.133,110.869,110.85,111.348,109.294,109.255,110.364,110.457,108.867,108.249,108.147,107.528,107.907,107.614,108.022,107.004,107.147,106.3,104.483,104.506,104.874,104.226,104.851,104.835,103.501,102.624,103.194,102.051,103.528,103.881,102.851,102.927,102.771,102.376,102.264,102.1,101.429,101.178,101.403,100.894,101.461,99.916,98.66,99.142,98.793,98.881,99.355,100.201,100.116,102.098,100.379,101.027,99.78,98.939,100.778,101.214,99.867,96.97,99.277,98.572,99.402,99.779,96.689,98.634,98.003,97.193,97.164,96.078,96.16,97.023,96.916,96.172,95.626,94.77,94.712,94.14,94.406,93.614,94.341,94.604,94.694,94.131,93.671,93.474,92.375,93.93,93.844,94.06,94.875,95.587,95.744,95.738,94.368,93.276,93.094,93.234,94.838,92.947,93.124,93.113,91.914,92.495,91.661,92.16,93.379,94.574,93.119,92.844,92.86,93.451,92.176,91.415,93.099,94.649,95.281,95.637,96.473
"31","23","S1 PN452ZZZMG   General merchandise stores","T070233",99.591,99.724,99.878,99.774,100.014,99.979,100.151,100.127,100.09,100.04,100.216,100.321,100.169,100.428,100.411,100.582,100.49,100.211,100.278,100.69,100.466,100.532,100.84,100.786,100.502,100.183,100.45,100.562,100.761,100.949,101.017,100.799,100.872,100.691,100.67,100.435,100.504,100.182,100.21,100.381,100.353,100.135,100.357,100.537,100.601,100.691,100.568,100.593,100.739,100.666,100.854,100.83,100.836,100.487,100.507,100.112,100.523,100.547,100.721,100.801,100.928,101.041,100.981,101.318,101.444,101.266,101.242,100.766,100.837,100.743,100.8,100.707,100.849,100.663,100.496,100.614,100.705,100.443,100.558,100.956,100.453,100.459,100.391,100.277,100.368,100.036,99.751,100.347,100.307,100.306,100.213,100.053,100.274,100.324,100.104,100.053,99.868,99.771,100.008,100.107,100.076,99.946,100.063,99.962,100.183,99.992,100.023,100.003,100.11,100.209,100.074,100.002,99.67,99.771,99.819,99.499,99.535,99.503,99.453,99.07,99.026,99.027,99.089,99.284,98.827,98.591,98.414,98.542,98.375,98.016,97.994,97.719,97.43,97.316,97.014,97.045,96.5,96.562,96.579,96.261,96.079,96.104,96.035,95.913,95.936,96.035,96.1,96.042,96.12,95.989,95.694,95.409,95.28,95.864,95.671,95.184,95.272,95.217,95.255,95.221,95.294,94.81,94.571,94.503,94.418,94.313,94.309,94.153,94.048,93.8,93.928,93.945,93.911,93.715,93.375,93.507
"32","24","S1 PN4521ZZMG     Department stores","T070243",104.597,104.663,104.811,104.667,104.929,104.812,105.038,104.9,104.829,104.797,104.97,104.986,104.791,105.085,105.07,105.174,104.936,104.635,104.719,105.297,105.043,104.98,105.374,105.229,104.869,104.434,104.731,104.869,105.087,105.246,105.221,104.841,104.926,104.683,104.605,104.22,104.294,103.836,103.826,103.92,103.921,103.584,103.786,103.96,103.974,104.089,103.889,103.848,103.952,103.766,103.911,103.823,103.785,103.248,103.192,102.656,103.127,103.025,103.25,103.342,103.519,103.543,103.472,103.934,104.104,103.863,103.731,103.095,103.162,102.943,103.047,102.928,102.984,102.703,102.487,102.526,102.585,102.222,102.32,102.835,102.098,102.047,101.938,101.531,101.483,101.098,100.819,101.448,101.397,101.416,101.138,100.923,101.045,101.132,100.81,100.728,100.411,100.131,100.287,100.31,100.136,99.887,99.931,99.797,99.959,99.789,99.728,99.634,99.702,99.737,99.505,99.239,98.599,98.653,98.553,98.086,98.081,98.051,97.971,97.546,97.405,97.319,97.351,97.4,96.982,96.657,96.31,96.501,96.17,95.83,95.692,95.257,94.893,94.648,94.226,94.252,93.682,93.736,93.787,93.4,93.209,93.21,93.047,92.751,92.798,92.825,92.899,92.819,92.85,92.703,92.303,91.916,91.791,92.438,92.244,91.619,91.795,91.763,91.882,91.601,91.682,91.115,90.71,90.741,90.584,90.4,90.424,90.258,90.078,89.668,89.962,90.068,90.025,89.779,89.239,89.482
"33","25","S2 PN4529ZZMG     Other general merchandise stores","T070253",90.511,90.791,90.963,90.948,91.14,91.291,91.343,91.572,91.611,91.518,91.705,91.998,91.938,92.126,92.107,92.424,92.641,92.404,92.435,92.5,92.336,92.676,92.81,92.945,92.816,92.738,92.948,93.007,93.168,93.418,93.68,93.795,93.845,93.79,93.883,93.95,94.008,93.957,94.065,94.391,94.306,94.32,94.588,94.782,94.945,94.989,95.018,95.172,95.405,95.552,95.823,95.925,96.015,96.025,96.193,96.063,96.363,96.63,96.708,96.764,96.799,97.079,97.039,97.142,97.187,97.125,97.301,97.122,97.2,97.337,97.305,97.263,97.563,97.544,97.462,97.718,97.863,97.77,97.911,98.115,97.997,98.095,98.092,98.453,98.761,98.509,98.212,98.757,98.733,98.703,98.892,98.815,99.183,99.178,99.106,99.102,99.105,99.271,99.623,99.829,99.998,100.035,100.249,100.192,100.491,100.275,100.427,100.505,100.664,100.846,100.834,101,101.04,101.197,101.418,101.269,101.351,101.314,101.297,100.956,101.016,101.109,101.201,101.549,101.051,100.905,100.901,100.967,100.963,100.584,100.676,100.556,100.334,100.343,100.149,100.184,99.658,99.726,99.714,99.455,99.28,99.328,99.339,99.368,99.369,99.531,99.589,99.549,99.667,99.549,99.337,99.134,99.001,99.539,99.346,98.965,98.984,98.91,98.886,99.042,99.111,98.684,98.565,98.424,98.39,98.342,98.318,98.166,98.113,97.977,97.99,97.946,97.917,97.754,97.544,97.603
"34","26","S1 PN44EZZZMG   Other retail stores","T070263",89.734,89.854,90.008,90.118,90.503,91.115,91.415,91.271,91.3,91.604,91.869,92.107,92.167,92.279,92.149,92.105,91.493,90.983,90.895,90.824,90.519,91.862,91.548,91.181,90.963,91.525,91.534,91.474,91.02,91.234,92.211,93.352,93.224,93.139,93.45,93.367,93.338,93.159,92.931,93.048,93.366,93.424,93.403,93.22,93.013,93.032,92.692,93.21,94.201,94.175,94.963,96.118,96.328,95.258,95.182,94.821,95,95.666,96.036,96.64,96.69,96.83,96.314,95.579,94.503,94.188,94.064,94.913,95.282,95.133,94.708,94.515,93.586,92.751,91.713,91.449,91.89,91.957,91.951,91.338,91.108,91.305,90.825,90.651,90.653,90.069,90.295,93.224,93.115,92.974,93.93,94.908,95.935,95.982,95.676,96.743,97.153,98.644,100.701,99.438,99.12,101.219,101.049,99.535,101.283,100.778,100.76,100.32,100.498,100.161,99.259,100.199,101.795,101.369,98.966,98.025,100.062,97.265,94.746,93.196,93.57,93.195,95.05,97.187,96.698,96.675,96.826,97.101,97.246,97.751,97.503,97.266,98.732,101.229,102.604,99.826,97.233,97.02,97.481,98.727,99.883,98.642,97.686,98.067,99.814,100.799,101.97,101.735,103.571,103.905,103.186,102.897,102.968,105.604,105.166,104.172,103.337,104.486,106.112,107.339,106.171,105.61,107.676,109.692,114.201,113.209,108.641,107.828,109.121,108.84,109.771,111.961,113.156,112.754,114.049,114.246
"35","27","S1 PN446ZZZMG     Health and personal care stores","T070273",84.307,84.958,85.34,85.785,85.582,85.662,85.894,86.011,86.141,86.181,86.332,86.639,86.617,86.874,87.089,86.997,87.207,87.353,87.704,87.637,87.667,87.715,87.819,88.039,88.034,87.959,88.122,88.488,88.635,88.685,88.77,88.978,88.987,89.139,89.283,89.323,89.242,89.168,89.037,89.054,89.08,89.184,89.44,89.672,89.695,89.967,90.241,90.24,90.322,90.561,90.72,90.816,90.924,90.823,91.174,91.297,91.34,91.656,91.405,91.435,91.562,91.838,92.091,92.094,92.193,92.226,92.16,91.888,91.982,92.004,92.28,92.463,92.674,92.825,92.836,93.332,93.749,93.723,93.832,94.062,94.457,94.648,94.547,94.908,95.258,95.441,95.67,96.206,96.475,96.893,97.147,97.56,97.858,98.091,98.474,98.611,98.797,98.792,99.214,99.483,99.535,99.733,100.076,100.475,100.631,100.733,101.048,101.484,101.9,102.435,102.857,103.214,103.309,103.869,104.381,104.614,105.18,105.257,105.649,106.004,106.08,106.559,106.667,107.007,107.306,107.752,108.071,108.199,108.406,108.758,109.167,109.483,109.575,109.619,109.94,110.005,109.784,110.118,110.357,110.644,110.794,110.842,110.978,111.462,111.894,112.068,112.507,113.216,113.647,113.469,113.816,113.847,114.356,114.699,114.696,114.769,114.742,115.239,115.095,115.433,115.821,116.159,116.398,116.731,117.045,117.519,117.986,118.452,118.465,118.816,119.331,119.822,119.967,120.026,120.282,120.833
"36","28","S1 PN447ZZZMG     Gasoline stations","T070283",74.763,74.565,74.736,74.665,75.264,76.521,76.951,76.725,76.679,77.433,77.692,78.114,78.228,78.387,77.851,77.533,76.26,75.382,74.988,74.619,73.797,76.698,75.89,75.156,74.693,75.597,75.287,75.123,73.887,74.373,76.443,79.121,78.801,78.698,79.219,79.241,78.839,78.705,78.188,78.301,78.893,79.19,78.71,78.069,77.375,77.548,76.432,77.524,79.375,79.478,81.215,83.999,84.588,82.596,82.35,81.814,81.847,82.969,84.017,85.526,85.972,86.046,84.805,83.363,80.949,80.276,80.222,83.065,84.185,84.027,82.732,82.165,79.831,77.912,75.279,74.063,75.318,76.112,76.179,74.84,74.599,75.183,74.411,73.852,73.834,72.78,73.617,80.815,80.539,80.197,82.975,85.816,88.527,88.532,87.834,91.043,91.861,94.986,101.552,97.838,97.13,104.023,103.513,99.042,103.754,102.683,102.45,101.169,101.529,100.933,98.954,101.778,107.32,105.98,98.344,96.3,102.64,94.618,87.037,83.213,85.187,84.342,90.511,96.757,95.272,95.347,96.013,96.918,97.72,99.698,99.229,98.968,103.276,110.738,114.871,106.842,100.794,100.517,102.033,107.343,111.928,107.41,103.935,105.077,109.962,113.062,116.975,115.803,121.74,123.402,121.188,120.375,120.25,127.193,126.296,124.25,121.782,125.536,131.104,135.344,131.26,129.956,137.243,144.512,159.143,155.752,140.327,138.062,143.7,142.934,146.252,153.877,158.186,157.467,162.233,162.695
"37","29","S1 PN451ZZZMG     Sporting goods, hobby, book, and music stores","T070293",106.492,106.442,106.725,106.829,107.109,106.908,106.885,106.895,107.048,107.221,107.671,107.209,107.196,107.212,107.343,107.297,106.792,106.716,106.855,107.236,107.497,108.084,107.824,107.669,107.442,107.431,107.887,107.956,108.069,108.132,108.43,108.313,108.159,107.916,108.296,107.466,108.12,107.872,107.579,107.791,107.732,107.207,107.289,107.611,107.751,107.478,107.589,107.768,107.828,108.323,108.428,108.238,108.149,108.169,108.041,107.611,107.597,107.816,107.938,107.679,107.571,107.674,107.718,106.767,106.654,106.975,106.689,107.133,107.029,106.764,106.796,106.697,106.466,106.297,106.45,106.319,106.014,105.703,105.509,105.398,104.973,104.73,104.422,104.161,104.115,103.614,103.259,103.521,103.455,102.685,102.22,101.899,101.333,101.341,101.157,100.525,100.5,100.347,100.409,100.348,100.369,100.111,99.901,99.707,99.721,99.546,99.57,99.471,99.181,98.82,98.486,98.8,98.705,98.766,98.746,98.517,98.352,98.343,98.125,97.766,97.485,97.704,97.317,97.156,97.036,96.405,96.11,96.259,96.123,95.75,95.6,95.286,95.19,94.967,94.615,94.46,93.949,93.859,93.925,93.573,93.471,93.468,93.434,93.183,92.955,93.016,93.22,92.909,92.552,92.436,91.996,91.668,91.544,92.093,91.96,91.225,91.139,91.172,90.905,90.62,90.845,90.55,90.214,90.099,90.2,89.966,89.547,89.123,88.976,88.842,88.675,88.706,88.72,88.294,88.071,87.886
"38","30","S4 PN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T070303",110.455,110.271,110.491,110.712,110.84,110.67,110.59,110.649,110.579,110.821,111.561,110.995,110.729,110.778,110.901,110.717,110.173,110.002,110.191,110.503,110.976,111.656,111.413,111.174,110.851,110.76,111.383,111.467,111.649,111.877,112.177,111.908,111.421,111.324,111.968,110.788,111.633,111.271,110.92,110.962,110.893,110.604,110.72,110.974,111.208,110.795,110.459,110.728,110.656,111.305,111.526,111.286,111.387,111.327,110.976,110.225,110.45,110.559,110.855,110.406,110.321,110.356,110.438,110.064,109.702,109.806,109.669,109.787,109.671,109.445,109.346,109.28,109.085,108.737,108.542,108.111,107.741,107.438,107.235,106.882,106.073,105.88,105.782,105.328,104.996,104.452,104.254,104.373,103.911,103.569,103.376,102.81,102.129,101.935,101.367,100.611,100.733,100.391,100.547,100.669,100.558,99.984,99.789,99.604,99.687,99.587,99.293,99.159,98.822,98.359,97.901,98.14,98.088,97.989,97.837,97.635,97.618,97.547,97.05,96.504,96.392,96.482,96.245,96.065,95.446,94.773,94.549,94.361,94.076,93.69,93.36,93.132,93.1,92.939,92.559,92.377,91.874,92.141,92.235,91.74,91.585,91.644,91.699,91.48,91.13,91.352,91.414,90.995,90.641,90.526,90.1,89.819,89.651,90.217,90.134,89.332,89.219,89.45,89.059,88.764,88.989,88.594,88.324,88.257,88.509,88.258,87.715,87.444,87.319,87.064,87.022,87.119,87.163,86.803,86.636,86.396
"39","31","S4 PN4512ZZMG       Book, periodical, and music Stores","T070313",98.626,98.85,99.259,99.127,99.727,99.46,99.556,99.469,100.069,100.102,99.988,99.729,100.212,100.167,100.313,100.535,100.11,100.223,100.266,100.791,100.619,101.017,100.722,100.739,100.709,100.861,100.972,101.012,100.99,100.734,101.03,101.205,101.703,101.175,101.044,100.889,101.186,101.148,100.965,101.503,101.466,100.491,100.513,100.96,100.923,100.913,101.888,101.89,102.208,102.402,102.28,102.188,101.75,101.913,102.211,102.391,101.914,102.344,102.129,102.251,102.095,102.323,102.291,100.246,100.612,101.348,100.775,101.842,101.761,101.419,101.696,101.535,101.229,101.396,102.214,102.672,102.499,102.176,102.001,102.368,102.69,102.351,101.633,101.746,102.274,101.862,101.196,101.749,102.481,100.837,99.831,99.999,99.674,100.099,100.693,100.318,99.987,100.245,100.112,99.663,99.958,100.375,100.142,99.93,99.797,99.463,100.174,100.155,99.967,99.827,99.756,100.234,100.049,100.463,100.735,100.443,99.949,100.064,100.488,100.553,99.889,100.392,99.659,99.55,100.552,100.023,99.565,100.496,100.712,100.372,100.666,100.146,99.904,99.534,99.251,99.161,98.634,97.701,97.7,97.687,97.713,97.565,97.316,96.985,97.053,96.722,97.264,97.218,96.853,96.736,96.265,95.82,95.807,96.31,96.052,95.495,95.482,95.007,95.059,94.804,95.028,95.003,94.492,94.252,93.949,93.762,93.678,92.846,92.631,92.854,92.316,92.155,92.082,91.468,91.082,91.063
"40","32","S1 PN453ZZZMG     Miscellaneous store retailers","T070323",96.144,96.72,96.725,96.616,97.172,97.137,97.082,96.684,96.833,96.453,97.012,97.538,97.483,97.366,97.5,98.198,97.972,97.241,97.221,97.639,97.697,97.685,97.718,97.592,97.825,98.153,98.594,98.251,98.608,98.454,98.628,98.594,98.771,98.928,99.279,99.186,99.852,99.725,100.085,100.167,100.446,100.49,101.006,101.063,101.584,101.393,101.921,101.98,102.078,101.415,101.498,101.362,101.558,100.776,100.773,100.205,100.797,100.516,100.39,100.454,100.24,100.862,101.102,101.395,101.147,100.898,101.087,100.503,100.233,100.363,100.675,100.921,101.325,101.297,101.138,101.979,101.708,101.093,101.21,100.877,100.725,100.872,100.755,101.35,101.56,100.969,100.771,101.376,101.04,100.988,100.813,100.453,100.842,100.81,100.369,99.979,100.324,100.42,100.544,101.138,100.717,100.245,100.006,99.534,99.623,99.081,99.457,98.911,98.969,99.033,98.739,99.111,98.821,98.407,98.742,98.272,98.187,97.907,98.183,97.54,96.972,96.737,96.396,96.762,96.481,96.631,96.473,96.321,96.519,96.015,95.82,95.06,95.262,95.111,94.521,94.881,93.305,92.938,92.832,91.505,91.354,91.619,91.69,91.488,91.896,92.082,91.848,91.724,91.819,91.452,91.246,90.942,91.135,93.138,92.388,91.554,91.604,91.686,91.671,91.23,91.342,90.794,90.275,89.956,89.805,89.613,89.683,89.361,88.635,88.486,88.161,88.086,88.557,88.137,87.84,87.513
"41","33","S3 PN4531ZZMG       Florists","T070333",99.071,99.542,101.314,103.932,101.186,103.538,102.902,101.522,100.735,98.327,97.919,102.556,100.908,100.246,100.106,101.558,100.324,97.365,96.929,97.292,98.622,99.057,99.348,98.934,97.255,99.227,98.515,96.785,98.564,99.618,99.332,100.258,100.799,101.7,101.659,101.523,101.399,102.037,101.682,101.352,102.27,102.05,102.72,102.838,103.94,102.79,102.946,101.771,98.557,99.514,102.31,102.47,101.899,99.081,99.059,98.704,100.59,97.155,97.327,100.997,98.746,98.052,99.755,101.057,99.912,98.307,97.073,95.596,93.946,95.304,94.955,94.963,100.074,100.94,98.342,100.46,98.906,98.303,99.007,98.746,97.102,96.766,97.207,96.462,96.5,98.39,98.521,98.593,98.348,98.523,95.097,95.121,94.492,95.273,94.039,95.947,95.174,96.146,100.021,101.988,102.249,101.86,101.485,100.95,99.977,99.666,100.641,100.23,101.052,104.62,103.953,102.877,103.49,103.418,102.5,102.584,101.442,101.885,102.869,102.325,102.601,103.989,103.786,103.161,103.98,103.725,102.804,101.545,101.468,102.071,102.866,101.393,102.524,102.385,101.642,102.135,101.487,101.351,101.654,101.52,101.597,101.036,101.515,103.095,103.211,103.875,104.435,105.355,104.754,103.427,103.396,103.571,104.031,105.673,104.589,103.721,103.034,102.243,102.92,102.416,102.976,104.328,104.164,104.171,104.546,104.742,104.476,104.786,104.277,104.307,104.122,104.179,104.543,104.497,103.541,102.486
"42","34","S3 PN4532ZZMG       Office supplies, stationery, and gift stores","T070343",105.091,105.875,105.578,104.914,106.069,105.703,105.787,105.356,105.681,105.351,106.221,105.891,105.856,105.55,105.634,106.403,106.232,105.651,105.455,106.139,106.214,106.354,106.167,106.05,106.188,106.66,106.958,106.504,106.536,106.087,106.267,106.153,106.38,106.557,106.583,106.841,107.711,107.681,108.786,109.111,109.529,109.636,110.313,110.712,111.187,110.869,111.214,111.461,111.841,110.492,109.778,109.57,109.753,108.893,108.917,108.169,108.628,108.647,108.247,107.719,107.478,108.505,108.558,108.547,108.311,108.17,108.556,107.713,107.427,107.23,107.691,108.135,107.865,107.354,107.621,108.3,107.676,106.868,106.641,105.984,105.76,105.912,105.331,105.087,104.62,103.703,103.652,103.812,103.345,103.3,102.996,102.671,102.735,102.495,101.925,101.496,101.767,101.641,101.236,101.291,100.871,100.202,99.651,99.132,99.033,98.56,98.534,98.083,97.748,97.332,96.841,96.869,96.367,95.621,95.709,95.081,94.556,94.296,94.169,93.536,92.702,91.848,91.471,91.397,91.124,91.004,90.781,90.273,90.076,89.693,89.247,88.489,88.466,88.22,87.666,87.846,86.015,85.361,84.92,83.153,82.808,82.931,82.813,82.37,82.651,82.669,82.031,81.772,81.715,81.287,80.899,80.673,80.601,82.274,81.309,80.387,80.418,80.271,80.197,79.788,79.597,78.842,78.18,77.525,77.049,76.787,76.871,76.373,75.45,75.395,74.951,74.428,74.42,73.896,73.622,73.502
"43","35","S4 PN4533ZZMG       Used merchandise stores","T070353",107.939,108.587,108.501,107.812,108.983,108.6,108.574,107.949,108.401,108.3,108.854,108.804,108.774,108.737,108.593,109.194,108.738,108.157,108.045,109.114,109.103,108.682,108.589,108.232,108.368,108.123,108.536,108.459,108.739,108.328,108.594,108.162,108.188,107.8,107.809,107.071,107.386,106.407,106.746,106.652,106.513,106.151,106.673,106.792,107.114,107.092,107.192,107.492,108.13,106.939,106.866,106.618,106.821,105.969,105.762,104.705,105.512,105.412,105.065,104.821,104.825,105.665,105.655,105.844,106.006,105.943,105.953,105.12,104.934,104.67,105.08,105.385,105.03,104.612,104.973,105.643,105.29,104.496,104.515,104.667,104.079,104.182,104.168,103.815,103.566,102.648,102.464,103.246,102.922,102.774,102.386,102.168,102.248,102.285,101.884,101.229,101.293,101.171,100.949,100.948,100.497,100.043,99.686,99.236,99.375,98.878,99.103,98.774,98.71,98.508,98.29,98.306,97.785,97.327,97.397,96.956,96.724,96.665,96.639,96.214,95.395,94.879,95.018,94.955,94.693,94.551,94.178,94.321,94.602,94.184,93.978,93.036,92.941,92.755,92.03,92.466,90.714,90.376,90.106,88.645,88.529,88.852,88.793,88.245,88.736,88.91,88.435,88.082,88.181,87.862,87.45,86.662,86.652,89.245,88.545,87.526,87.438,87.395,87.401,86.676,86.806,85.873,85.046,84.831,84.5,84.201,84.511,83.987,83.139,82.604,82.336,82.234,82.675,82.145,81.678,81.525
"44","36","S4 PN4539ZZMG       Other miscellaneous store retailers","T070363",86.325,86.74,86.577,86.393,87.113,86.857,86.81,86.724,86.902,86.979,87.587,87.719,88.081,88.237,88.542,89.055,89.059,88.67,88.889,88.959,88.734,88.593,88.762,88.736,89.483,89.437,90.261,90.254,90.571,90.437,90.687,90.589,90.684,90.777,91.493,91.25,91.958,91.764,91.726,91.736,91.867,91.987,92.353,92.137,92.624,92.657,93.466,93.565,94.003,93.618,93.788,93.679,94.018,93.662,93.675,93.29,93.71,93.747,93.802,93.715,93.849,94.356,94.523,94.875,94.709,94.588,94.912,94.709,94.674,94.887,95.186,95.324,95.557,95.8,95.631,96.41,96.628,96.191,96.491,96.293,96.53,96.758,96.89,98.549,99.441,98.748,98.369,99.388,99.134,99.051,99.6,99.108,100.012,99.985,99.773,99.093,99.74,99.91,99.932,100.888,100.345,100.028,100.132,99.709,100.163,99.505,100.179,99.469,99.785,99.721,99.659,100.692,100.493,100.338,101.186,100.762,101.324,100.858,101.446,100.724,100.333,100.488,100.047,101.11,100.63,101.171,101.251,101.552,102.162,101.35,101.25,100.639,100.976,100.919,100.35,100.85,99.442,99.329,99.54,98.524,98.53,99.045,99.275,99.133,99.697,100.001,100.155,100.079,100.425,100.25,100.27,99.941,100.434,102.672,102.196,101.514,101.721,102.196,102.145,101.759,102.128,101.635,101.304,101.287,101.469,101.331,101.37,101.204,100.709,100.536,100.309,100.707,101.705,101.383,101.195,100.693
"45","37","S1 PN454ZZZMG     Nonstore retailers","T070373",108.873,108.868,108.637,108.928,109.444,109.956,110.423,110.266,110.195,110.238,110.28,110.09,110.277,110.304,110.427,110.585,110.329,109.908,109.874,109.933,109.952,110.264,110.402,109.936,109.725,110.658,110.664,110.492,110.327,110.416,110.68,110.79,110.741,110.316,110.21,110.203,110.184,109.794,109.75,109.957,110.186,109.959,110.234,110.181,110.088,109.786,109.623,109.925,111.11,110.66,110.89,111.306,110.954,110.057,109.849,109.549,109.968,110.988,111.124,111.356,110.796,110.538,109.804,109.082,108.393,108.065,107.566,106.866,106.774,106.333,106.086,105.858,105.125,104.433,104.185,104.088,103.824,103.276,103.02,102.441,101.6,101.305,100.6,100.013,99.476,98.942,98.605,99.244,99.183,99.072,99.117,99.072,99.265,99.28,99.011,99.372,99.648,101.77,100.887,100.029,99.886,99.77,99.683,99.296,100.231,99.829,99.559,99.412,99.379,98.393,97.149,96.662,96.048,95.771,95.182,94.138,93.831,92.875,92.096,91.026,90.176,89.357,89.093,89.425,89.275,88.911,88.629,88.529,87.902,87.619,87.082,86.801,87.244,88.274,89.055,87.51,85.723,85.207,85.015,84.478,83.989,83.994,84.05,84.074,84.79,84.842,84.709,84.735,84.936,84.773,84.513,84.554,84.521,85.409,85.172,84.388,84.039,83.863,84.116,84.252,83.864,83.399,83.494,83.298,84.495,84.271,83.284,82.704,82.143,81.835,81.786,81.812,81.6,81.249,81.354,81.467
"46","38","S2 PN4541ZZMG       Electronic shopping and mail-order houses","T070383",131.764,131.691,131.003,131.914,133.025,133.306,134.037,133.335,133.019,132.899,133.062,132.761,133.023,133.167,132.698,132.796,132.51,131.765,132.024,132.574,132.826,132.833,133.29,132.932,132.769,132.77,133.262,133.339,133.245,133.128,133.027,132.786,132.776,132.332,132.026,131.937,131.983,131.063,131.118,131.296,131.401,130.564,131,130.823,130.682,130.21,130.171,130.172,130.022,129.054,128.47,127.707,127.257,126.581,126.232,125.341,125.354,125.153,124.556,123.551,122.727,122.845,122.533,122.052,121.165,120.745,120.103,118.742,118.539,117.66,117.209,116.959,116.223,115.408,115.183,115.084,114.413,113.519,112.919,112.034,110.993,110.499,109.515,108.907,108.024,107.372,106.744,106.829,106.478,106.004,105.572,104.906,104.435,104.039,103.402,103.281,102.858,102.203,101.848,101.3,101.084,100.284,99.739,99.232,99.04,98.395,97.862,97.25,96.235,95.606,94.662,94.085,92.912,92.404,92.147,90.799,89.849,89.392,89.058,88.475,87.4,86.445,85.708,85.464,85.31,84.702,84.17,83.95,82.771,82.08,81.211,80.641,80.392,79.792,79.597,79.313,78.03,77.436,76.988,76.139,75.516,75.685,75.555,75.35,75.232,74.848,74.74,74.954,74.691,74.254,73.808,73.388,73.244,73.068,72.184,71.423,71.435,70.875,70.604,70.279,69.975,69.291,68.743,68.032,67.869,67.478,66.993,66.433,65.814,65.542,65.42,64.997,64.311,63.823,63.524,63.553
