"","Table 6#2D# Compensation of Employees by Industry","F2","F3","F4","F5","F6","F7","F8"
"42","35","    Wholesale trade","N4037C0",291042,313945,328582,334075,333424
"43","36","      Durable goods","N4038C0",182224,197935,207849,208644,202306
"44","37","      Nondurable goods","N4039C0",108818,116010,120734,125431,131118
"45","38","    Retail trade","N4040C0",342302,368225,396611,410526,422335
"46","39","      Motor vehicle and parts dealers","N4041C0",66927,73062,77655,81821,85239
"47","40","      Food and beverage stores","N4042C0",57458,60232,63207,65444,67577
"48","41","      General merchandise stores","N4043C0",47376,50274,55088,57618,61009
"49","42","      Other retail \2\","N4044C0",170541,184657,200661,205644,208510
"50","43","    Transportation and warehousing","N4045C0",174859,186120,199338,203486,204141
"51","44","      Air transportation","N4046C0",31824,34109,37339,40116,38659
"52","45","      Rail transportation","N4047C0",17043,17115,16941,16664,16711
"53","46","      Water transportation","N4048C0",3077,3359,3455,3571,3757
"54","47","      Truck transportation","N4049C0",53663,56780,60281,60867,61051
"55","48","      Transit and ground passenger transportation","N4050C0",9033,9688,10019,10458,10829
"56","49","      Pipeline transportation","N4051C0",3887,4224,5140,5029,3983
"57","50","      Other transportation and support activities \3\","N4052C0",40088,43398,46927,47235,48781
"58","51","      Warehousing and storage","N4053C0",16245,17448,19234,19546,20370
"59","52","    Information","N4054C0",185591,217519,248037,244368,227913
"60","53","      Publishing industries (includes software)","N4055C0",59537,69536,78090,75996,71108
"61","54","      Motion picture and sound recording industries","N4056C0",17937,18289,20007,20205,21278
"62","55","      Broadcasting and telecommunications","N4057C0",84503,98755,109581,109191,102975
"63","56","      Information and data processing services","N4058C0",23613,30940,40359,38976,32552
"64","57","    Finance and insurance","N4059C0",344499,370657,409270,436988,447980
"65","58","      Federal Reserve banks, credit intermediation, and related activities","N4060C0",122190,128437,130959,145933,162669
"66","59","      Securities, commodity contracts, and investments","N4061C0",98399,112031,140232,144847,131957
"67","60","      Insurance carriers and related activities","N4062C0",116959,122153,128877,137003,143648
"68","61","      Funds, trusts, and other financial vehicles","N4063C0",6951,8036,9201,9204,9706
"69","62","    Real estate and rental and leasing","N4064C0",66230,70705,77401,81264,84098
"70","63","      Real estate","N4065C0",45782,49103,53475,56707,59699
"71","64","      Rental and leasing services and lessors of intangible assets \4\","N4066C0",20448,21601,23926,24557,24399
"72","65","    Professional, scientific, and technical services","N4067C0",378347,421972,486853,499604,489146
"73","66","      Legal services","N4068C0",72491,77968,85396,91445,92332
"74","67","      Computer systems design and related services","N4069C0",73316,90745,114860,111787,104168
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",232540,253259,286596,296373,292646
"76","69","    Management of companies and enterprises \6\","N4071C0",127482,136054,147400,139885,139463
"77","70","    Administrative and waste management services","N4072C0",193921,213076,211741,217033,222922
"78","71","      Administrative and support services","N4073C0",181541,199175,197720,202179,207396
"79","72","      Waste management and remediation services","N4074C0",12380,13901,14021,14854,15526
"80","73","    Educational services","N4075C0",61248,65903,71987,78103,85509
"81","74","    Health care and social assistance","N4076C0",425881,447132,478784,516242,553840
"82","75","      Ambulatory health care services","N4077C0",194581,202869,217827,234879,249008
"83","76","      Hospitals","N4078C0",142938,149098,156646,168613,182962
"84","77","      Nursing and residential care facilities","N4079C0",52495,55381,59947,64893,69996
"85","78","      Social assistance","N4080C0",35867,39784,44364,47857,51875
"86","79","    Arts, entertainment, and recreation","N4081C0",44475,48364,53596,56948,59856
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",20966,23221,25606,27304,28839
"88","81","      Amusements, gambling, and recreation industries","N4083C0",23509,25143,27990,29644,31017
"89","82","    Accommodation and food services","N4084C0",143720,152818,164689,170604,177810
"90","83","      Accommodation","N4085C0",39821,43363,47228,47556,47437
"91","84","      Food services and drinking places","N4086C0",103898,109455,117462,123048,130374
"92","85","    Other services, except government","N4087C0",141510,148531,157150,165563,176713
"93","86","  Government","A4076C0",916240,955307,1010811,1064825,1139032
"94","87","    Federal","B4077C0",270047,277379,293875,302949,330074
"95","88","      General government","B568RC0",215079,221292,233761,242905,269383
"96","89","        Civilian","B4079C0",129739,134187,142298,145369,158261
"97","90","        Military \7\","W4080C0",85341,87105,91463,97537,111122
"98","91","      Government enterprises","A4081C0",54968,56087,60114,60043,60691
"99","92","    State and local","B4082C0",646194,677927,716937,761876,808958
"100","93","      General government","B251RC0",603303,633051,669441,710834,754175
"101","94","        Education","B4084C0",322869,339494,360115,381149,404051
"102","95","        Other \8\","B4085C0",280434,293557,309326,329685,350124
"103","96","      Government enterprises \8\","B4086C0",42891,44876,47496,51042,54783
"104","97","Rest of the world","A4187C0",-4563,-5213,-4592,-5163,-5441
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2933,2931,2943
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8384
"107",NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA
