"","Table 6#22D# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8"
"42","35","  Nondurable goods","N7755C0",14632,16081,17962,19883,22197
"43","36","Retail trade","N7756C0",37379,39267,42332,45897,52470
"44","37","Transportation and warehousing","N7757C0",34575,38094,39630,43912,46130
"45","38","  Air transportation","N7758C0",12114,13743,14288,17836,18460
"46","39","  Rail transportation","N7759C0",4869,5435,5525,5933,5687
"47","40","  Water transportation","N7760C0",1411,1414,1512,1459,1621
"48","41","  Truck transportation","N7761C0",8804,9544,10008,9902,10811
"49","42","  Transit and ground passenger transportation","N7762C0",1392,1614,1628,1861,1814
"50","43","  Pipeline transportation","N7763C0",649,797,726,158,187
"51","44","  Other transportation and support activities \2\","N7764C0",4875,4947,5266,6056,6691
"52","45","  Warehousing and storage","N7765C0",461,600,677,707,859
"53","46","Information","N7766C0",62743,75321,83526,101870,108167
"54","47","  Publishing industries (includes software)","N7767C0",4192,4743,5300,5372,5743
"55","48","  Motion picture and sound recording industries","N7768C0",2536,3823,2890,2697,2627
"56","49","  Broadcasting and telecommunications","N7769C0",52831,62642,69092,84245,90612
"57","50","  Information and data processing services","N7770C0",3184,4113,6244,9556,9185
"58","51","Finance and insurance","N7771C0",40962,46254,51154,57721,60956
"59","52","  Federal Reserve banks","N7772C0",249,258,271,292,303
"60","53","  Credit intermediation and related activities","N7773C0",12807,14901,18438,18403,21678
"61","54","  Securities, commodity contracts, and investments","N7774C0",4859,7096,6331,10493,7258
"62","55","  Insurance carriers and related activities","N7775C0",20081,20214,22187,24149,26831
"63","56","  Funds, trusts, and other financial vehicles","N7776C0",2966,3785,3927,4384,4886
"64","57","Real estate and rental and leasing","N7777C0",30922,34395,35184,35329,33060
"65","58","  Real estate","N7778C0",7270,7610,8838,11211,8799
"66","59","  Rental and leasing services and lessors of intangible assets \3\","N7779C0",23652,26785,26346,24118,24261
"67","60","Professional, scientific, and technical services","N7780C0",13258,14832,17421,19366,20665
"68","61","  Legal services","N7781C0",828,908,1055,1129,1350
"69","62","  Computer systems design and related services","N7782C0",3703,4122,5425,6142,5877
"70","63","  Miscellaneous professional, scientific, and technical services \4\","N7783C0",8727,9802,10941,12095,13438
"71","64","Management of companies and enterprises \5\","N7784C0",43791,51130,55555,60860,62347
"72","65","Administrative and waste management services","N7787C0",8743,9791,10145,10690,11991
"73","66","  Administrative and support services","N7788C0",5867,6417,6725,7014,8037
"74","67","  Waste management and remediation services","N7789C0",2876,3374,3420,3676,3954
"75","68","Educational services","N7790C0",996,1136,1313,845,735
"76","69","Health care and social assistance","N7791C0",6878,7003,7515,7869,9161
"77","70","  Ambulatory health care services","N7792C0",3553,3595,3806,4108,5095
"78","71","  Hospitals and nursing and residential care facilities","N7793C0",1985,1952,2385,2328,2112
"79","72","  Social assistance","N7794C0",1340,1456,1324,1433,1954
"80","73","Arts, entertainment, and recreation","N7795C0",1676,2220,1323,1973,2156
"81","74","  Performing arts, spectator sports, museums, and related activities","N7796C0",797,804,892,1080,1266
"82","75","  Amusements, gambling, and recreation industries","N7797C0",879,1416,431,893,890
"83","76","Accommodation and food services","N7798C0",12020,13270,14374,15509,17227
"84","77","  Accommodation","N7799C0",4903,5322,5815,6636,6612
"85","78","  Food services and drinking places","N7700C0",7117,7948,8559,8873,10615
"86","79","Other services, except government","N7701C0",4437,4694,4909,4851,5341
"87",NA,NA,NA,NA,NA,NA,NA,NA
"88","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA
"89","2. Consists of scenic and sightseeing transportation; transportation support activities;",NA,NA,NA,NA,NA,NA,NA
"90","and couriers and messengers.",NA,NA,NA,NA,NA,NA,NA
"91","3. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA
"92","4. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA
"93","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA
"94","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA
"95","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA
"96","5. Consists of bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA
"97","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA
"98","System (NAICS).",NA,NA,NA,NA,NA,NA,NA
