"","Table 5#7#6B# Real Private Inventories and Real Domestic Final S","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"19","11","  Motor vehicle and parts dealers","N864RX1",NA,NA,NA,101.5,100.5,101.7,103.5,106.6,110.4,110.3,109.4,108.9,114.2,114.3,116.2,121.9,123,129.1,133.1,134.2,129,131.3,133.1,125.4,130.9,135.9,136.9,143.8,148.6,152.5,154.6,156.5,160.6,164.8,164,164,165.2,159.7,156.4,161.3,162.7,161.6
"20","12","  Food and beverage stores","N239RX1",NA,NA,NA,28.5,28.5,28.5,29,28.8,29.4,29.9,29.9,30.1,30.5,30.7,31.4,31.9,32,31.5,31.7,31.8,32.1,32.3,32.2,32.5,32.2,32.3,32.6,32.6,32.7,32.2,32.6,31.7,31.7,32,32.2,32.1,32,32.1,31.7,32.1,32.3,33
"21","13","  General merchandise stores","N240RX1",NA,NA,NA,58.9,58.2,59,58.6,59,59.5,59.7,60.3,59.9,60.4,60.7,61.3,62.6,62.8,63.3,63,63.7,65.2,65.3,64.9,63.6,62.7,62.8,63.8,64.8,64.6,64.5,65.1,65.6,66.7,67.5,67.9,69.8,71.1,71.5,72.2,72.5,71.3,71.5
"22","14","  Other retail stores","N865RX1",NA,NA,NA,137.2,138.3,141.7,144.5,146.1,151.1,153.3,156.1,159,161.2,163.8,164.7,169,169.8,172.7,174.6,177.5,176.5,175.3,175.5,174.8,175.8,177.8,180.1,179.5,180.9,180,181.9,183.3,184.7,187.2,189.1,193.2,194.6,196.4,196.8,198.1,200.8,202.8
"23","15","Other industries","N385RX1",NA,NA,NA,82.7,84.9,86,86.8,88.1,88.9,90.2,91.6,94,96,98.3,100.1,101.3,104.6,108.1,112.5,113.7,114.3,114.2,114.1,113.9,113.1,113.5,113.1,112.5,112.2,113.2,113.5,113.9,115.7,117.2,119.3,121.2,121.3,121.3,120.9,121.1,122.4,124.2
"24","16","Residual","N968RX1",NA,NA,NA,-1,-1.1,-0.9,-1,-0.9,-0.9,-0.9,-0.9,-0.8,-0.5,-0.4,-0.1,0.3,-0.2,0,0.1,-0.1,0.3,0.7,0.7,0.5,0.8,0.7,0.6,0.6,0.4,0.6,0.7,0,-0.6,-0.5,-0.6,-0.8,-1.1,-0.5,-0.6,-1.7,-1.6,-1.6
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","17","  Private inventories","A371RX1",NA,NA,NA,1251.6,1260.2,1283.8,1301.9,1322.7,1351.9,1364.5,1380.6,1395.3,1415.2,1425.6,1438.3,1464.2,1470.9,1495.7,1509.8,1520.7,1518.7,1518.1,1510.6,1488.9,1486.4,1487,1494,1501.4,1507.5,1506.8,1509.5,1515.7,1524.7,1543.4,1556,1569.1,1582.8,1581,1577.8,1588.7,1599,1612.1
"27","18","    Durable goods industries","N241RX1",NA,NA,NA,572,578.1,591.3,599.7,610.5,629.2,636.2,644.7,652.9,665,668.7,676.7,693.3,697.8,714.6,721.9,729.3,723.4,717.2,707.3,686.9,685.7,687.4,691.5,702.4,707.5,706.5,705,713.6,720.7,731.1,737.9,744.3,752.9,751.1,751,760.8,764.1,769.7
"28","19","    Nondurable goods industries","N242RX1",NA,NA,NA,680.5,683,693.2,702.9,712.9,723.2,728.8,736.3,742.8,750.3,757.2,761.7,770.9,773.1,781.1,787.9,791.3,795.3,800.6,803,801.7,800.2,799.2,802.2,798.9,799.9,800.2,804.1,802.2,804.3,812.8,818.7,825.3,830.6,830.5,827.6,829.2,836,843.4
"29","20","  Nonfarm industries","A373RX1",NA,NA,NA,1125.2,1136.4,1158.3,1174.3,1193.7,1221.6,1234.8,1250.3,1264.9,1284.6,1294.7,1310.1,1336.4,1346.8,1370.1,1384.8,1394.3,1390.9,1390.6,1382.8,1362.4,1359.6,1362.7,1370.1,1377.6,1382.4,1381.6,1384.5,1391.6,1399.6,1413.2,1424.4,1438.6,1452.3,1452,1448.5,1458.2,1467.4,1479.4
"30","21","  Wholesale trade","N379RX1",NA,NA,NA,273.3,278.8,287,291,298.3,305.5,308.1,315.6,320.9,325.9,328.1,334.1,340.6,345.4,351.6,355.3,358.2,358.4,359.1,354.6,347.5,343.6,343.6,346.7,348.8,348.3,346.7,347.2,349.6,351.6,355.4,362.9,367.8,373.3,377.7,380.2,383.5,387.3,392.6
"31","22","    Merchant wholesale trade","N802RX1",NA,NA,NA,231.8,236.5,243.6,247.5,254.1,260.5,263.1,270.2,274.4,278.9,280.4,285.8,292,296.5,302,304.8,307,307.2,308,304.9,298.6,295.5,295.9,298.5,300.5,301,299.2,299.7,301.8,303.8,306.8,314,319.4,323.7,328,331,334.7,337.9,343.7
"32","23","      Durable goods industries","N803RX1",NA,NA,NA,141.5,144.6,150.7,152.5,156,161.4,162.7,167.3,170.8,173.7,175.4,178.2,182.8,185.8,191.1,191.9,192.8,192.8,188.6,184.5,178.5,175,174.6,177.3,178.6,180,178.7,177.2,180.1,183,186.9,192.9,196.1,199.2,202.6,204.4,209.1,210.8,215.9
"33","24","      Nondurable goods industries","N804RX1",NA,NA,NA,90.5,92.1,93.1,95.1,98.2,99.2,100.5,103,103.6,105.3,104.9,107.6,109.2,110.7,110.9,113,114.2,114.4,119.3,120.3,119.9,120.3,121.1,120.9,121.7,120.8,120.3,122.2,121.5,120.7,120,121.4,123.4,124.7,125.7,126.8,126.1,127.5,128.4
"34","25","    Nonmerchant wholesale trade","N805RX1",NA,NA,NA,41.6,42.5,43.5,43.6,44.3,45.1,45.1,45.5,46.5,47,47.8,48.4,48.6,48.9,49.6,50.5,51.1,51.2,51.1,49.6,48.8,48.1,47.6,48.2,48.3,47.3,47.5,47.5,47.8,47.8,48.5,48.9,48.5,49.6,49.6,49.3,48.9,49.5,49.2
"35","26","    Final sales of domestic business \2\","A809RX1",NA,NA,NA,488.3,492.7,496.3,506.2,509.2,513.5,521.7,527.5,538,541.5,549.9,556,563.4,571.2,575,577.5,581,581.8,581.5,578.8,583.6,581.1,582.6,584.1,582.5,585.7,592.6,606.7,609.7,614.5,618.7,625.6,631.3,637.4,649.6,657.2,656.6,667.5,671.6
"36","27","    Final sales of goods and structures of domestic business \2\","A810RX1",NA,NA,NA,301.2,304.6,306.2,314.1,315.5,318.2,323.7,328.6,337.5,337.8,343.5,346.8,352.3,357.8,359.3,360.3,361.6,362.5,362.5,359.8,364.3,360.8,360.3,361.1,357.9,360.7,366,378.4,379.4,381.4,383.3,389,391.5,396.8,407.4,413,411.1,421.4,422.8
"37",NA,"Ratios of private inventories to final sales of domestic business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","28","Private inventories to final sales","A811RX2",NA,NA,NA,2.56,2.56,2.59,2.57,2.6,2.63,2.62,2.62,2.59,2.61,2.59,2.59,2.6,2.58,2.6,2.61,2.62,2.61,2.61,2.61,2.55,2.56,2.55,2.56,2.58,2.57,2.54,2.49,2.49,2.48,2.49,2.49,2.49,2.48,2.43,2.4,2.42,2.4,2.4
"39","29","Nonfarm inventories to final sales","A812RX2",NA,NA,NA,2.3,2.31,2.33,2.32,2.34,2.38,2.37,2.37,2.35,2.37,2.35,2.36,2.37,2.36,2.38,2.4,2.4,2.39,2.39,2.39,2.33,2.34,2.34,2.35,2.37,2.36,2.33,2.28,2.28,2.28,2.28,2.28,2.28,2.28,2.24,2.2,2.22,2.2,2.2
"40","30","Nonfarm inventories to final sales of goods and structures","A813RX2",NA,NA,NA,3.74,3.73,3.78,3.74,3.78,3.84,3.82,3.81,3.75,3.8,3.77,3.78,3.79,3.76,3.81,3.84,3.86,3.84,3.84,3.84,3.74,3.77,3.78,3.79,3.85,3.83,3.78,3.66,3.67,3.67,3.69,3.66,3.67,3.66,3.56,3.51,3.55,3.48,3.5
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Inventories are as of the end of the quarter.  The quarter-to-quarter changes calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","from this table are at quarterly rates, whereas the change in private inventories",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","component of GDP is stated at annual rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Quarterly totals at monthly rates.  Final sales of domestic business equals final sales of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","domestic product less gross output of general government, gross value added of nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","institutions, compensation paid to domestic workers, and space rent for owner-occupied housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","It includes a small amount of final sales by farm and by government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Chained (2000) dollar inventory series are calculated to ensure that the chained (2000) dollar change in inventories for 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","equals the current-dollar change in inventories for 2000 and that the average of the 1999 and 2000 end-of-year chain-weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and fixed-weighted inventories are equal.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
