"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"24","16","      Durable goods","N406RC1",11.6,-4,-39,-76.3,-25.7,-8.4,1.4,1.8,-3.4,-9.4,-12,7.4,31.1,40.3,43.2,48.1,86.4,93.6,96.5,105.6,125.3,94.9,134.1,121.2,108.5,95.6,79.5,100.7,84.8,46.6,71.9,24,-3.2,9.4,28.1,50.2,95.6,99.8,110.2,106.7,82.1,87.1,98.6,133.2,174.9,NA
"25","17","        Fabricated metal products","N408RC1",12.2,11,9.1,6.8,8.4,9.1,8.8,9.9,6.5,8.1,6.5,10.9,10.9,12.8,11.1,13.7,17,18,19.8,17.5,19.6,16.7,18.1,20.4,18.7,19.8,20.6,22.8,17.5,12.3,13.7,19.6,15.5,11.9,9.9,8.1,13.4,12.6,16.5,17.7,14.9,15.3,16.1,19.4,23.6,NA
"26","18","        Machinery","N409RC1",9.4,4.2,-7,1.2,1.9,1.7,1.4,0.5,0,1.8,0.6,1.7,3.8,7.2,9.2,8.3,11.5,12.5,14.3,19.9,18.8,18.7,20.1,19.3,22.5,23.9,21.8,20.1,18.5,15.2,15.2,17.4,9.4,6,5.6,8.1,14.2,16.3,19.6,19.9,18.7,19.4,22.1,25.6,30.2,NA
"27","19","        Computer and electronic products","N501RC1",-23,-36.2,-57.3,-77.8,-48.2,-37.6,-27.8,-23.7,-17.2,-16,-16.8,-8.9,-6.2,-5.8,-3.9,-1.4,6.5,8.6,10,11,10.1,19.1,22.6,17.7,16.4,8.8,11,7.6,16.7,8.2,12.1,11.8,10.4,20.6,21.9,23.6,37.6,31.2,34.3,37.8,22.1,25.3,26.4,36.4,42.2,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",3.9,1.8,1.4,0.6,0.4,-1.3,0.2,0.7,1.7,2,2.4,2.7,2.5,2.5,-0.1,-2.3,-4.3,-4.1,-0.4,2.9,12.6,8.8,12.3,12.1,2.8,-2.9,-4.8,0.2,1,4.9,8.3,4.3,8.6,8.6,8.9,10.2,7.6,8.7,8,6.5,6.2,4.4,4.5,5.4,10.2,NA
"29","21","        Motor vehicles, bodies and trailers, and parts","N411RC1",-7.5,-9.4,-5.9,-12.6,-9.7,-0.8,-2.3,-5.3,-5.2,-12.9,-14.8,-13.9,-1.6,-8.2,-9.6,-7.8,3.9,3.9,-0.2,-3,1.2,-13.9,-5.6,-8.8,-13.5,-9.3,-27.9,-15.1,-18.3,-37.5,-24.9,-51.6,-67.5,-60.1,-39.9,-31.4,-19.6,-9.2,-4.3,-13.8,-15.1,-14.5,-16.4,-4.8,3.3,NA
"30","22","        Other durable goods \3\","N412RC1",16.5,24.6,20.7,5.5,21.5,20.6,21.1,19.7,10.7,7.6,10.1,14.8,21.6,31.9,36.5,37.6,51.8,54.7,53,57.4,63,45.5,66.7,60.6,61.6,55.4,58.6,65.2,49.3,43.5,47.6,22.4,20.5,22.3,21.7,31.6,42.4,40.2,36,38.7,35.3,37.2,45.9,51.2,65.4,NA
"31","23","      Nondurable goods","N401RC1",70,85.5,87.1,64.1,58.4,54.7,50.5,57.9,63.7,58.5,78.8,94.1,100.6,107.8,118.1,127.2,156.3,141.2,150,159.3,169.1,207.4,202.3,163.8,181,207.6,150.3,161.9,120.9,127.7,148.7,157.3,114.7,105.2,108.3,111.3,114.9,135.4,141.9,129.5,133.4,142.1,150.3,152.7,188.6,NA
"32","24","        Food and beverage and tobacco products","N402RC1",21.9,31.3,30.2,29.5,25.9,26.4,25.6,23,21.9,23.6,22.6,27.7,24.6,22.3,27.5,22.9,28.2,25.5,26.9,28.5,30.3,32.7,33.7,33.1,30.1,33.7,29.6,29.6,22.3,29,35,33.1,39.5,45.5,46.7,41.7,42,41.9,46.3,34.7,36,34.8,29.4,38.3,47.5,NA
"33","25","        Petroleum and coal products","N404RC1",34.6,33.3,32.4,18.5,5.8,1.4,-0.8,-1.1,17.7,16,27.1,33.1,41.3,46.7,40.6,67.8,71.9,75.7,80.7,89.5,73.4,89.1,84.1,59.9,68.2,110.1,60.4,55.3,70.8,49.9,88.1,102.5,33.1,1.2,4.4,8.9,19.6,34.1,17.1,23.4,30.4,48.8,51.8,32.2,45.4,NA
"34","26","        Chemical products","N403RC1",6,13.1,14.7,12.7,15.1,16.3,17.5,22.3,17.5,15.3,21.6,21.1,19.3,24.8,32.3,22.6,38.9,20.1,21.8,22.1,46.3,59.9,61.5,42.3,57.2,42.6,37.8,55.4,16.4,41.8,23.7,13.8,32.5,41.8,38.9,40.7,35,40.4,56.6,51.6,46.8,42.7,51.7,59.1,63.3,NA
"35","27","        Other nondurable goods \4\","N405RC1",7.5,7.7,9.8,3.3,11.6,10.6,8.2,13.6,6.6,3.5,7.5,12.1,15.4,13.9,17.8,14,17.4,19.9,20.5,19.2,19,25.6,23,28.5,25.5,21.2,22.5,21.6,11.4,7.1,1.9,7.9,9.7,16.7,18.4,20,18.3,19.1,21.9,19.8,20.2,15.8,17.3,23,32.4,NA
"36","28","    Wholesale trade","N414RC1",38.9,42.1,52.9,71.2,56.9,54.6,41,44,44,51,61.6,62.6,71.3,80,84.3,66.9,90.5,105.7,83.5,89.2,104.4,100.7,107.4,102.2,105.1,108.9,104.7,80.9,57.9,64.2,89.2,133.8,103.7,76.4,77.8,88.3,99.5,114.3,103.9,75.1,79.1,94.7,105.3,106,134.6,NA
"37","29","    Retail trade","N415RC1",67.3,68.8,74.4,80.1,80.9,78.6,80.1,86.7,86.4,94.8,88.9,85.6,102.3,95,88.6,87.6,101,128.1,117.9,143.3,132.3,123.3,136.4,140.7,121,131.1,114.1,105,75.3,80.9,85,85.1,101.7,106.6,111.4,112.5,125.7,124.2,121,119.5,109.1,101.9,103.8,120.9,138.6,NA
"38","30","    Transportation and warehousing","N417RC1",2.6,3.8,3.2,-4.7,-0.5,-2.8,-1.1,3.8,4,8.4,7.9,9.4,14.2,20.5,13.1,9.8,25.7,28.5,28.2,33.7,43.4,45.3,40.3,39.6,28.1,29.7,28.9,24.1,26.9,35.3,32.2,33.2,29.5,18.3,20.3,31.3,39.6,51.3,57.5,44.2,41.1,45.8,45.6,49.5,56.7,NA
"39","31","    Information","N502RC1",-20.7,-20.3,-24.3,-32.4,-13.3,-6.5,-2.5,7.1,-2.4,3.2,12.6,6.2,14.8,47.6,66.3,53.8,76.2,85.7,78.5,84.8,84.1,92.6,100.8,92.1,95.3,87.8,89.3,102,91.1,107.1,79.1,23,54.4,64.9,75,96.8,87.3,84.9,91.5,80.4,78.7,90.2,87.5,85.4,109.8,NA
"40","32","    Other nonfinancial \5\","N420RC1",153.1,157.2,152.4,126.7,131.1,144.9,158,178,185.1,173.3,171.6,176.8,210.6,212.5,234,244,296.6,313.6,316.7,370.4,364.8,331,354.9,347.8,342.6,344.9,321.7,327.4,280.2,312.3,292,258.2,269.8,243.6,265.1,300.4,347.4,338.7,336.7,318.8,308.9,364.5,368.9,340.6,375.3,NA
"41","33","Rest of the world","B394RC1",160.1,171,146.6,201.2,158.7,145.9,156.6,170.3,149.1,158.9,163.1,191.8,213.2,197.3,215.2,194.4,234.2,233.3,252.9,237.4,246.9,255.3,251,274.1,288,312.5,373.9,429.1,418.1,418.7,439.4,350.1,348.3,321.5,363.1,378.3,388.8,408.3,404.4,404.8,420.6,436.3,447.8,450.9,402.9,422.1
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
