"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"22","4","    Corporate business","A438RC1","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","973,364.0","1,028,488.0","1,030,352.0","1,026,456.0","1,061,912.0","1,107,467.0"
"23","5","      Financial","B580RC1","2,204.0","2,524.0","2,876.0","3,236.0","3,796.0","4,656.0","5,792.0","6,756.0","7,872.0","9,080.0","10,856.0","13,168.0","15,720.0","18,548.0","21,140.0","24,064.0","27,724.0","31,808.0","36,424.0","41,548.0","46,912.0","52,020.0","55,952.0","57,924.0","61,016.0","64,784.0","68,552.0","70,924.0","74,000.0","78,452.0","86,548.0","94,996.0","98,296.0","101,372.0","106,536.0","113,564.0","119,908.0","124,912.0","133,300.0","164,184.0","167,864.0","166,352.0","168,228.0","173,931.0"
"24","6","      Nonfinancial","B456RC1","42,916.0","47,480.0","51,956.0","56,464.0","63,128.0","74,164.0","88,624.0","97,776.0","110,116.0","125,148.0","144,264.0","166,668.0","192,420.0","212,840.0","219,296.0","228,840.0","244,004.0","258,004.0","270,048.0","287,268.0","303,928.0","321,020.0","336,112.0","344,084.0","359,036.0","380,068.0","408,252.0","435,060.0","466,856.0","499,860.0","539,264.0","590,068.0","631,956.0","654,520.0","668,992.0","695,596.0","742,960.0","800,944.0","840,064.0","864,304.0","862,488.0","860,104.0","893,684.0","933,536.0"
"25","7","    Noncorporate business","W277RC1","16,817.0","18,151.0","19,769.0","21,468.0","23,687.0","27,276.0","31,334.0","33,922.0","37,467.0","42,188.0","48,391.0","55,554.0","63,051.0","69,291.0","70,957.0","73,047.0","76,250.0","80,072.0","83,866.0","88,794.0","93,556.0","96,777.0","98,529.0","98,919.0","101,113.0","104,568.0","109,150.0","113,174.0","117,614.0","123,770.0","131,029.0","139,249.0","146,289.0","152,614.0","159,906.0","169,554.0","182,857.0","197,428.0","217,354.0","219,807.0","219,684.0","218,572.0","223,778.0","231,532.0"
"26","8","      Sole proprietorships and partnerships","A1615C1","13,747.0","14,895.0","16,234.0","17,593.0","19,363.0","22,344.0","25,776.0","27,916.0","30,798.0","34,628.0","39,823.0","45,814.0","52,303.0","57,851.0","59,226.0","60,890.0","63,556.0","66,580.0","69,575.0","73,746.0","77,793.0","80,370.0","81,719.0","81,822.0","83,387.0","86,229.0","90,090.0","93,540.0","97,285.0","102,739.0","109,049.0","116,019.0","121,850.0","127,313.0","133,325.0","141,028.0","152,160.0","164,524.0","183,832.0","186,090.0","186,767.0","185,796.0","190,737.0","198,120.0"
"27","9","        Farm","B1616C1","4,490.0","4,761.0","5,111.0","5,484.0","5,951.0","6,993.0","8,312.0","9,252.0","10,342.0","11,522.0","13,143.0","15,042.0","16,505.0","17,477.0","17,364.0","17,066.0","16,635.0","16,262.0","15,901.0","15,747.0","16,020.0","16,293.0","16,503.0","16,402.0","16,377.0","16,703.0","17,171.0","17,665.0","18,020.0","18,749.0","19,274.0","19,585.0","20,061.0","20,650.0","21,508.0","22,720.0","24,488.0","26,181.0","24,104.0","23,316.0","23,866.0","24,130.0","25,232.0","26,456.0"
"28","10","        Nonfarm","B1617C1","9,257.0","10,134.0","11,123.0","12,109.0","13,412.0","15,351.0","17,464.0","18,664.0","20,456.0","23,106.0","26,680.0","30,772.0","35,798.0","40,374.0","41,862.0","43,824.0","46,921.0","50,318.0","53,674.0","57,999.0","61,773.0","64,077.0","65,216.0","65,420.0","67,010.0","69,526.0","72,919.0","75,875.0","79,265.0","83,990.0","89,775.0","96,434.0","101,789.0","106,663.0","111,817.0","118,308.0","127,672.0","138,343.0","159,728.0","162,774.0","162,901.0","161,666.0","165,505.0","171,665.0"
"29","11","      Other private business","A1618C1","3,070.0","3,256.0","3,535.0","3,875.0","4,324.0","4,932.0","5,558.0","6,006.0","6,669.0","7,560.0","8,568.0","9,740.0","10,748.0","11,440.0","11,731.0","12,157.0","12,694.0","13,492.0","14,291.0","15,048.0","15,763.0","16,407.0","16,810.0","17,097.0","17,726.0","18,339.0","19,060.0","19,634.0","20,329.0","21,031.0","21,980.0","23,230.0","24,439.0","25,301.0","26,581.0","28,526.0","30,697.0","32,904.0","33,522.0","33,717.0","32,917.0","32,776.0","33,041.0","33,412.0"
"30","12","        Rental income of persons","B1620C1","2,676.0","2,833.0","3,077.0","3,389.0","3,800.0","4,331.0","4,839.0","5,195.0","5,748.0","6,536.0","7,422.0","8,428.0","9,309.0","9,928.0","10,219.0","10,670.0","11,137.0","11,816.0","12,553.0","13,247.0","13,891.0","14,470.0","14,845.0","15,108.0","15,675.0","16,233.0","16,922.0","17,487.0","18,163.0","18,850.0","19,753.0","20,869.0","21,965.0","22,762.0","24,042.0","26,013.0","28,100.0","30,149.0","31,242.0","31,273.0","30,492.0","30,355.0","30,565.0","30,880.0"
"31","13","          Nonfarm tenant-occupied housing","B2608C1","2,441.0","2,577.0","2,798.0","3,088.0","3,477.0","3,978.0","4,456.0","4,800.0","5,334.0","6,092.0","6,933.0","7,878.0","8,709.0","9,276.0","9,538.0","9,950.0","10,351.0","10,951.0","11,616.0","12,238.0","12,805.0","13,314.0","13,647.0","13,906.0","14,458.0","14,977.0","15,620.0","16,152.0","16,782.0","17,392.0","18,191.0","19,209.0","20,229.0","20,925.0","22,091.0","23,941.0","25,865.0","27,757.0","28,565.0","28,673.0","27,906.0","27,849.0","28,042.0","....."
"32","14","          Farm tenant-occupied housing","W278RC1","46.0","47.0","50.0","53.0","58.0","65.0","71.0","75.0","83.0","94.0","105.0","116.0","125.0","129.0","129.0","132.0","135.0","140.0","145.0","151.0","157.0","161.0","163.0","165.0","171.0","182.0","194.0","203.0","213.0","222.0","236.0","248.0","259.0","265.0","277.0","299.0","321.0","337.0","338.0","331.0","319.0","314.0","314.0","....."
"33","15","          Farms owned by nonoperator landlords","B2609C1","54.0","55.0","58.0","62.0","67.0","73.0","80.0","84.0","92.0","104.0","115.0","127.0","136.0","140.0","139.0","142.0","143.0","148.0","152.0","157.0","161.0","164.0","164.0","165.0","170.0","177.0","183.0","185.0","189.0","193.0","200.0","209.0","217.0","222.0","232.0","250.0","267.0","282.0","282.0","272.0","259.0","252.0","252.0","....."
"34","16","          Nonfarm nonresidential properties","B2610C1","135.0","154.0","171.0","186.0","198.0","215.0","232.0","236.0","239.0","246.0","269.0","307.0","339.0","383.0","413.0","446.0","508.0","577.0","640.0","701.0","768.0","831.0","871.0","872.0","876.0","897.0","925.0","947.0","979.0","1,043.0","1,126.0","1,203.0","1,260.0","1,350.0","1,442.0","1,523.0","1,647.0","1,773.0","2,057.0","1,997.0","2,008.0","1,940.0","1,957.0","....."
"35","17","        Proprietors' income","B1619C1","394.0","423.0","458.0","486.0","524.0","601.0","719.0","811.0","921.0","1,024.0","1,146.0","1,312.0","1,439.0","1,512.0","1,512.0","1,487.0","1,557.0","1,676.0","1,738.0","1,801.0","1,872.0","1,937.0","1,965.0","1,989.0","2,051.0","2,106.0","2,138.0","2,147.0","2,166.0","2,181.0","2,227.0","2,361.0","2,474.0","2,539.0","2,539.0","2,513.0","2,597.0","2,755.0","2,280.0","2,444.0","2,425.0","2,421.0","2,476.0","2,532.0"
"36","18","  Households and institutions","W279RC1","12,553.0","13,547.0","14,927.0","16,545.0","18,848.0","21,739.0","24,699.0","27,090.0","30,693.0","35,546.0","40,951.0","46,900.0","52,058.0","55,759.0","58,126.0","61,515.0","64,796.0","69,179.0","74,147.0","79,504.0","85,208.0","90,599.0","94,840.0","98,973.0","105,218.0","111,533.0","118,665.0","124,194.0","131,240.0","139,485.0","150,396.0","162,515.0","175,052.0","185,527.0","200,499.0","222,160.0","245,085.0","268,104.0","285,477.0","294,620.0","292,737.0","294,891.0","301,695.0","308,783.0"
"37","19","    Owner-occupied housing","B2607C1","9,460.0","10,134.0","11,133.0","12,274.0","13,948.0","15,950.0","17,922.0","19,677.0","22,516.0","26,320.0","30,510.0","35,025.0","38,828.0","41,412.0","42,998.0","45,478.0","47,888.0","51,214.0","54,923.0","58,866.0","62,867.0","66,381.0","68,851.0","71,307.0","75,820.0","80,855.0","86,622.0","91,192.0","96,644.0","102,267.0","110,038.0","118,546.0","127,688.0","134,972.0","146,222.0","163,454.0","181,416.0","199,185.0","208,017.0","209,467.0","204,514.0","205,518.0","209,474.0","213,212.0"
"38","20","    Nonprofit institutions serving households","B1621C1","3,093.0","3,413.0","3,794.0","4,271.0","4,900.0","5,789.0","6,777.0","7,413.0","8,177.0","9,226.0","10,441.0","11,875.0","13,230.0","14,347.0","15,128.0","16,037.0","16,908.0","17,965.0","19,224.0","20,638.0","22,341.0","24,218.0","25,989.0","27,666.0","29,398.0","30,678.0","32,043.0","33,002.0","34,596.0","37,218.0","40,358.0","43,969.0","47,364.0","50,555.0","54,277.0","58,706.0","63,669.0","68,919.0","77,460.0","85,153.0","88,223.0","89,373.0","92,221.0","95,571.0"
"39","21","Government","A264RC1","24,701.0","26,611.0","28,245.0","29,438.0","31,323.0","35,851.0","39,930.0","42,626.0","45,628.0","49,452.0","54,439.0","61,795.0","70,093.0","77,104.0","81,586.0","86,881.0","92,669.0","99,412.0","106,609.0","113,900.0","121,848.0","130,786.0","138,927.0","144,451.0","151,632.0","158,214.0","164,841.0","169,165.0","174,095.0","178,980.0","187,153.0","197,496.0","204,628.0","210,946.0","218,119.0","231,891.0","250,565.0","269,289.0","291,316.0","311,162.0","323,546.0","333,522.0","349,393.0","363,934.0"
"40","22","  General government","A265RC1","22,501.0","24,140.0","25,459.0","26,323.0","27,818.0","31,590.0","34,861.0","37,103.0","39,621.0","42,795.0","46,860.0","53,009.0","60,116.0","66,236.0","70,083.0","74,713.0","79,739.0","85,642.0","91,990.0","98,278.0","105,124.0","112,917.0","120,094.0","124,665.0","130,512.0","135,827.0","141,223.0","144,524.0","148,140.0","151,884.0","158,506.0","166,819.0","172,497.0","177,294.0","182,756.0","193,420.0","208,690.0","224,679.0","243,219.0","259,620.0","270,398.0","278,199.0","290,963.0","302,290.0"
"41","23","    Federal","B995RC1","15,078.0","15,703.0","16,055.0","16,149.0","16,492.0","17,529.0","18,925.0","20,497.0","22,090.0","23,933.0","25,786.0","28,670.0","32,291.0","35,906.0","38,930.0","42,708.0","46,061.0","49,488.0","53,012.0","56,777.0","60,743.0","64,932.0","68,974.0","71,298.0","74,246.0","76,311.0","77,786.0","77,862.0","77,935.0","77,994.0","79,802.0","82,139.0","82,840.0","83,459.0","85,153.0","89,001.0","94,295.0","100,500.0","106,319.0","113,444.0","118,157.0","123,484.0","129,986.0","134,198.0"
"42","24","    State and local","B986RC1","7,423.0","8,437.0","9,404.0","10,174.0","11,326.0","14,061.0","15,936.0","16,606.0","17,531.0","18,862.0","21,074.0","24,339.0","27,825.0","30,330.0","31,153.0","32,005.0","33,678.0","36,154.0","38,978.0","41,501.0","44,381.0","47,985.0","51,120.0","53,367.0","56,266.0","59,516.0","63,437.0","66,662.0","70,205.0","73,890.0","78,704.0","84,680.0","89,657.0","93,835.0","97,603.0","104,419.0","114,395.0","124,179.0","136,900.0","146,176.0","152,241.0","154,715.0","160,977.0","168,092.0"
"43","25","  Government enterprises","A266RC1","2,200.0","2,471.0","2,786.0","3,115.0","3,505.0","4,261.0","5,069.0","5,523.0","6,007.0","6,657.0","7,579.0","8,786.0","9,977.0","10,868.0","11,503.0","12,168.0","12,930.0","13,770.0","14,619.0","15,622.0","16,724.0","17,869.0","18,833.0","19,786.0","21,120.0","22,387.0","23,618.0","24,641.0","25,955.0","27,096.0","28,647.0","30,677.0","32,131.0","33,652.0","35,363.0","38,471.0","41,875.0","44,610.0","48,097.0","51,542.0","53,148.0","55,323.0","58,430.0","61,644.0"
"44","26","    Federal","B833RC1","308.0","351.0","401.0","461.0","537.0","651.0","789.0","879.0","959.0","1,043.0","1,167.0","1,328.0","1,508.0","1,670.0","1,754.0","1,841.0","1,972.0","2,075.0","2,163.0","2,317.0","2,567.0","2,815.0","3,073.0","3,297.0","3,589.0","3,776.0","3,916.0","4,072.0","4,593.0","4,833.0","5,242.0","5,634.0","5,756.0","5,693.0","5,686.0","5,817.0","6,141.0","6,061.0","6,329.0","6,509.0","6,626.0","6,762.0","7,042.0","7,324.0"
"45","27","    State and local","B846RC1","1,892.0","2,120.0","2,385.0","2,654.0","2,968.0","3,610.0","4,280.0","4,644.0","5,048.0","5,614.0","6,412.0","7,458.0","8,469.0","9,198.0","9,749.0","10,327.0","10,958.0","11,695.0","12,456.0","13,305.0","14,157.0","15,054.0","15,760.0","16,489.0","17,531.0","18,611.0","19,702.0","20,569.0","21,362.0","22,263.0","23,405.0","25,043.0","26,375.0","27,959.0","29,677.0","32,654.0","35,734.0","38,549.0","41,768.0","45,033.0","46,522.0","48,561.0","51,388.0","54,320.0"
"46",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","28","  Nonfarm business","B1667C1","59,378.0","65,570.0","71,952.0","78,445.0","87,773.0","102,885.0","121,903.0","134,018.0","150,300.0","170,611.0","196,849.0","227,841.0","263,204.0","292,502.0","303,953.0","319,491.0","342,745.0","365,862.0","387,540.0","415,958.0","443,527.0","469,754.0","491,202.0","502,546.0","524,079.0","553,100.0","590,140.0","623,574.0","663,441.0","707,165.0","762,703.0","831,731.0","884,782.0","917,504.0","945,043.0","989,818.0","1,058,105.0","1,136,622.0","1,205,875.0","1,267,317.0","1,269,402.0","1,265,748.0","1,307,531.0","1,361,902.0"
