"","Table 5#8#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"69","51","      Ships","B876RC1","6,109.0","6,429.0","6,751.0","6,583.0","7,206.0","8,668.0","9,507.0","10,017.0","9,812.0","10,531.0","10,293.0","11,029.0","11,142.0","11,776.0","11,672.0"
"70","52","      Vehicles","B877RC1","1,383.0","1,518.0","1,705.0","1,862.0","1,959.0","2,645.0","3,156.0","2,807.0","3,869.0","4,897.0","6,207.0","9,283.0","9,202.0","9,523.0","7,101.0"
"71","53","      Electronics and software","B878RC1","9,029.0","9,121.0","9,740.0","10,065.0","9,699.0","9,948.0","10,489.0","11,487.0","12,643.0","14,257.0","16,375.0","20,332.0","20,450.0","20,272.0","18,411.0"
"72","54","      Other equipment","B879RC1","14,037.0","13,814.0","14,757.0","14,880.0","14,943.0","17,316.0","19,591.0","23,011.0","22,903.0","25,122.0","26,745.0","32,089.0","33,908.0","34,019.0","32,384.0"
"73","55","    Nondefense","B880RC1","18,190.0","19,905.0","22,722.0","22,583.0","22,453.0","23,158.0","23,144.0","24,622.0","27,985.0","30,210.0","29,403.0","32,444.0","32,944.0","35,423.0","35,726.0"
"74","56","  State and local","B881RC1","39,405.0","42,872.0","46,058.0","48,283.0","48,179.0","47,480.0","47,814.0","48,868.0","50,795.0","54,455.0","60,678.0","63,846.0","62,595.0","62,229.0","63,327.0"
"75",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","57","  Government enterprise gross fixed investment","A882RC1","49,020.0","51,098.0","56,870.0","58,670.0","64,146.0","71,197.0","78,622.0","78,157.0","80,322.0","86,602.0","93,599.0","102,187.0","105,898.0","111,112.0","100,511.0"
"77","58","    Federal","A883RC1","6,156.0","7,768.0","8,466.0","5,923.0","5,639.0","5,727.0","6,725.0","5,734.0","7,446.0","7,382.0","7,041.0","8,094.0","7,764.0","10,366.0","8,469.0"
"78","59","      Structures","B884RC1","2,548.0","3,127.0","3,582.0","1,528.0","2,235.0","2,071.0","2,526.0","1,502.0","2,366.0","2,413.0","2,275.0","3,796.0","3,099.0","5,377.0","3,334.0"
"79","60","      Equipment and software","B885RC1","3,608.0","4,641.0","4,884.0","4,395.0","3,404.0","3,656.0","4,199.0","4,232.0","5,080.0","4,969.0","4,766.0","4,298.0","4,665.0","4,989.0","5,135.0"
"80","61","    State and local","A886RC1","42,864.0","43,330.0","48,404.0","52,747.0","58,507.0","65,470.0","71,897.0","72,423.0","72,876.0","79,220.0","86,558.0","94,093.0","98,134.0","100,746.0","92,042.0"
"81","62","      Structures","B887RC1","37,453.0","36,860.0","40,954.0","45,500.0","50,773.0","56,011.0","60,811.0","61,448.0","62,245.0","68,463.0","75,133.0","80,775.0","83,294.0","85,754.0","76,870.0"
"82","63","      Equipment and software","B888RC1","5,411.0","6,470.0","7,450.0","7,247.0","7,734.0","9,459.0","11,086.0","10,975.0","10,631.0","10,757.0","11,425.0","13,318.0","14,840.0","14,992.0","15,172.0"
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","2. Structures and software include compensation of government employees engaged in new",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","own-account investment and related expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Consists of lodging, religious, communication, sewage and waste disposal, water supply",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","structures, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","5. Consists of lodging, communication, and manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
