"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"60","42","              Nondefense","B906RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","824.0","1,954.0","2,208.0","3,316.0","4,674.0","3,018.0","2,210.0","2,642.0","2,476.0","3,588.0","6,073.0","6,958.0","5,130.0","7,075.0","6,403.0","7,695.0","6,486.0"
"61","43","            State and local","B907RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,426.0","3,860.0","5,400.0","7,858.0","9,429.0","9,355.0","8,029.0","6,440.0","5,789.0","4,628.0","5,121.0","7,558.0","11,687.0","12,784.0","9,448.0","7,729.0","7,164.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","44","  Gross domestic fixed investment","W172RX1","659,587.0","638,413.0","660,428.0","715,210.0","772,670.0","739,228.0","677,660.0","732,559.0","813,436.0","906,059.0","957,977.0","909,899.0","922,008.0","866,226.0","929,997.0","1,079,559.0","1,152,027.0","1,182,065.0","1,200,025.0","1,230,572.0","1,269,799.0","1,263,924.0","1,199,798.0","1,257,875.0","1,333,526.0","1,430,027.0","1,511,927.0","1,633,890.0","1,766,842.0","1,937,569.0","2,112,176.0","2,254,813.0","2,233,284.0","2,173,482.0","2,245,926.0","2,387,435.0","2,514,345.0","2,577,564.0","2,542,473.0","2,411,768.0","2,043,694.0","2,037,566.0","2,106,755.0"
"64","45","  Less: Consumption of fixed capital","A262RX1","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,881.0","1,710,045.0","1,736,637.0","1,749,541.0","1,776,340.0"
"65","46","  Equals: Net domestic fixed investment","W173RX1","329,334.0","293,541.0","301,756.0","341,727.0","379,639.0","329,093.0","253,861.0","294,957.0","357,380.0","429,169.0","457,225.0","387,759.0","378,223.0","300,956.0","345,988.0","470,785.0","510,848.0","511,089.0","498,663.0","498,408.0","506,836.0","472,814.0","385,362.0","419,450.0","464,008.0","524,314.0","565,496.0","639,345.0","715,166.0","816,180.0","912,015.0","971,562.0","882,249.0","774,111.0","805,073.0","899,287.0","972,969.0","979,106.0","881,223.0","698,992.0","299,044.0","280,674.0","328,632.0"
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","1. Gross government investment consists of general government and government enterprise expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","for fixed assets; change in inventories is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Most chained (2005) dollar series are calculated as the product of the chain-type quantity index and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","2005 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","usually not additive.  Chained (2005) dollar estimates of net investment are calculated by subtracting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","consumption of fixed capital from gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
