"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"56","38","          Consumption of general government fixed capital \2\","B546RC1","1,924.0","2,100.0","2,274.0","2,384.0","2,539.0","2,829.0","3,222.0","3,447.0","3,683.0","4,002.0","4,502.0","5,218.0","6,030.0","6,727.0","7,256.0","7,941.0","8,653.0","9,333.0","10,049.0","10,908.0","11,754.0","12,682.0","13,641.0","14,156.0","14,846.0","15,341.0","16,046.0","16,633.0","17,569.0","18,334.0","19,824.0","21,457.0","22,368.0","22,970.0","23,473.0","24,237.0","25,608.0","27,350.0","28,912.0","30,369.0","31,623.0","32,595.0","34,186.0","35,667.0"
"57","39","        Intermediate goods and services purchased \3\","W131RC1","9,236.0","9,337.0","10,397.0","12,589.0","12,591.0","14,447.0","16,754.0","17,105.0","19,489.0","21,999.0","25,082.0","29,403.0","33,224.0","31,790.0","35,361.0","32,226.0","37,539.0","41,497.0","39,070.0","32,697.0","40,322.0","46,059.0","48,908.0","54,359.0","52,337.0","56,409.0","58,032.0","56,439.0","60,834.0","59,377.0","58,092.0","64,550.0","74,042.0","85,547.0","91,321.0","98,310.0","105,025.0","112,298.0","109,915.0","126,443.0","138,490.0","156,323.0","151,175.0","150,118.0"
"58","40","          Durable goods","A543RC1","318.0","264.0","263.0","281.0","226.0","208.0","242.0","280.0","329.0","423.0","537.0","667.0","633.0","576.0","866.0","939.0","960.0","968.0","1,084.0","1,153.0","1,305.0","1,514.0","1,560.0","1,679.0","1,669.0","1,580.0","1,533.0","1,687.0","1,715.0","1,651.0","1,752.0","1,836.0","1,926.0","2,265.0","2,182.0","2,426.0","2,780.0","2,930.0","2,869.0","3,193.0","3,419.0","3,795.0","3,619.0","3,607.0"
"59","41","          Nondurable goods","A729RC1","2,979.0","2,016.0","2,077.0","2,425.0","1,943.0","2,582.0","2,776.0","3,491.0","4,433.0","4,873.0","5,187.0","7,446.0","11,225.0","9,111.0","10,557.0","6,394.0","9,473.0","12,417.0","6,893.0","-97.0","5,721.0","5,657.0","6,332.0","6,889.0","8,297.0","6,882.0","8,564.0","7,879.0","9,744.0","10,799.0","7,884.0","9,706.0","12,716.0","13,010.0","14,886.0","16,747.0","19,726.0","19,691.0","19,129.0","22,768.0","25,852.0","27,965.0","27,301.0","28,095.0"
"60","42","            Commodity Credit Corporation inventory change","B826RC1","710.0","-406.0","-346.0","-376.0","-664.0","-544.0","273.0","170.0","442.0","36.0","-15.0","1,473.0","892.0","1,661.0","2,507.0","-1,846.0","2,245.0","6,390.0","-202.0","-7,069.0","-809.0","-1,500.0","205.0","-632.0","-208.0","-460.0","-195.0","-282.0","-54.0","158.0","125.0","806.0","827.0","140.0","-131.0","-994.0","-533.0","-58.0","-59.0","-256.0","128.0","-175.0","7.0","97.0"
"61","43","            Other nondurable goods","B828RC1","2,269.0","2,422.0","2,423.0","2,801.0","2,607.0","3,126.0","2,503.0","3,321.0","3,991.0","4,837.0","5,202.0","5,973.0","10,333.0","7,450.0","8,050.0","8,240.0","7,228.0","6,027.0","7,095.0","6,972.0","6,530.0","7,157.0","6,127.0","7,521.0","8,505.0","7,342.0","8,759.0","8,161.0","9,798.0","10,641.0","7,759.0","8,900.0","11,889.0","12,870.0","15,017.0","17,741.0","20,259.0","19,749.0","19,188.0","23,024.0","25,724.0","28,140.0","27,294.0","27,998.0"
"62","44","          Services","A544RC1","5,939.0","7,057.0","8,057.0","9,883.0","10,422.0","11,657.0","13,736.0","13,334.0","14,727.0","16,703.0","19,358.0","21,290.0","21,366.0","22,103.0","23,938.0","24,893.0","27,106.0","28,112.0","31,093.0","31,641.0","33,296.0","38,888.0","41,016.0","45,791.0","42,371.0","47,947.0","47,935.0","46,873.0","49,375.0","46,927.0","48,456.0","53,008.0","59,400.0","70,272.0","74,253.0","79,137.0","82,519.0","89,677.0","87,917.0","100,482.0","109,219.0","124,563.0","120,255.0","118,416.0"
"63","45","      Less: Own-account investment \4\","W136RC1","360.0","400.0","460.0","483.0","459.0","447.0","460.0","461.0","436.0","524.0","626.0","762.0","806.0","903.0","1,009.0","1,140.0","1,308.0","1,354.0","1,538.0","1,704.0","1,961.0","2,238.0","2,375.0","2,493.0","2,562.0","2,494.0","2,589.0","2,547.0","2,513.0","2,664.0","2,479.0","2,099.0","2,608.0","2,362.0","2,291.0","2,405.0","2,588.0","2,641.0","2,642.0","2,970.0","3,131.0","3,319.0","3,275.0","2,959.0"
"64","46","            Sales to other sectors","W137RC1","769.0","698.0","776.0","1,172.0","1,271.0","1,365.0","1,321.0","1,791.0","2,500.0","3,102.0","3,966.0","4,072.0","3,779.0","3,350.0","3,755.0","3,789.0","3,830.0","3,663.0","4,197.0","4,692.0","5,033.0","4,827.0","5,602.0","4,788.0","4,179.0","4,564.0","4,384.0","4,554.0","3,098.0","4,273.0","2,989.0","4,613.0","2,993.0","2,680.0","3,057.0","3,574.0","5,786.0","4,418.0","4,080.0","5,013.0","5,733.0","7,051.0","9,076.0","5,404.0"
"65","47","State and local consumption expenditures \1\","A991RC1","79,849.0","91,535.0","102,719.0","113,150.0","125,989.0","143,737.0","165,095.0","179,458.0","195,871.0","213,171.0","233,339.0","258,433.0","282,343.0","304,855.0","324,080.0","347,670.0","381,756.0","418,080.0","441,406.0","471,023.0","504,453.0","546,985.0","577,477.0","606,211.0","634,151.0","668,167.0","701,285.0","730,192.0","764,540.0","808,598.0","870,608.0","930,616.0","994,230.0","1,049,382.0","1,096,506.0","1,139,068.0","1,212,029.0","1,282,338.0","1,368,869.0","1,449,229.0","1,473,319.0","1,496,224.0","1,518,000.0","1,530,808.0"
"66","48","      Gross output of general government","W138RC1","91,869.0","104,902.0","117,873.0","130,019.0","144,734.0","164,467.0","187,868.0","204,848.0","223,709.0","244,704.0","269,626.0","299,330.0","329,548.0","358,297.0","383,723.0","412,091.0","452,367.0","495,279.0","524,444.0","561,811.0","606,014.0","659,024.0","702,190.0","744,847.0","786,578.0","831,587.0","876,943.0","914,309.0","959,907.0","1,013,087.0","1,085,981.0","1,163,720.0","1,247,170.0","1,313,727.0","1,373,814.0","1,432,580.0","1,519,861.0","1,607,508.0","1,715,388.0","1,811,470.0","1,849,192.0","1,884,655.0","1,920,471.0","1,949,391.0"
"67","49","        Value added","W139RC1","70,022.0","79,495.0","88,640.0","97,867.0","109,310.0","121,756.0","137,150.0","149,652.0","162,596.0","177,776.0","195,370.0","217,305.0","237,920.0","257,741.0","274,116.0","293,071.0","318,415.0","343,704.0","368,235.0","395,847.0","425,781.0","463,856.0","492,770.0","519,931.0","545,976.0","574,739.0","601,163.0","623,725.0","650,286.0","680,301.0","721,167.0","763,677.0","814,699.0","859,593.0","909,258.0","947,332.0","997,733.0","1,051,307.0","1,118,552.0","1,180,292.0","1,208,639.0","1,222,461.0","1,235,425.0","1,256,187.0"
"68","50","          Compensation of general government employees","B251RC1","62,599.0","71,058.0","79,236.0","87,693.0","97,984.0","107,695.0","121,214.0","133,046.0","145,065.0","158,914.0","174,296.0","192,966.0","210,095.0","227,411.0","242,963.0","261,066.0","284,737.0","307,550.0","329,257.0","354,346.0","381,400.0","415,871.0","441,650.0","466,564.0","489,710.0","515,223.0","537,726.0","557,063.0","580,081.0","606,411.0","642,463.0","678,997.0","725,042.0","765,758.0","811,655.0","842,913.0","883,338.0","927,128.0","981,652.0","1,034,116.0","1,056,398.0","1,067,746.0","1,074,448.0","1,088,095.0"
"69","51","          Consumption of general government fixed capital \2\","B986RC1","7,423.0","8,437.0","9,404.0","10,174.0","11,326.0","14,061.0","15,936.0","16,606.0","17,531.0","18,862.0","21,074.0","24,339.0","27,825.0","30,330.0","31,153.0","32,005.0","33,678.0","36,154.0","38,978.0","41,501.0","44,381.0","47,985.0","51,120.0","53,367.0","56,266.0","59,516.0","63,437.0","66,662.0","70,205.0","73,890.0","78,704.0","84,680.0","89,657.0","93,835.0","97,603.0","104,419.0","114,395.0","124,179.0","136,900.0","146,176.0","152,241.0","154,715.0","160,977.0","168,092.0"
"70","52","        Intermediate goods and services purchased \3\","W140RC1","21,847.0","25,407.0","29,232.0","32,152.0","35,424.0","42,711.0","50,718.0","55,196.0","61,113.0","66,928.0","74,255.0","82,025.0","91,628.0","100,556.0","109,607.0","119,020.0","133,952.0","151,576.0","156,209.0","165,964.0","180,233.0","195,168.0","209,419.0","224,916.0","240,602.0","256,848.0","275,780.0","290,584.0","309,621.0","332,786.0","364,814.0","400,043.0","432,471.0","454,134.0","464,556.0","485,248.0","522,128.0","556,201.0","596,836.0","631,178.0","640,552.0","662,194.0","685,045.0","693,204.0"
"71","53","          Durable goods","B989RC1","1,288.0","1,556.0","1,879.0","2,187.0","2,467.0","2,892.0","3,308.0","3,645.0","4,017.0","4,397.0","4,879.0","5,330.0","6,077.0","6,672.0","7,182.0","7,799.0","8,391.0","9,249.0","9,824.0","10,452.0","11,362.0","11,992.0","12,732.0","13,288.0","13,741.0","14,452.0","15,583.0","15,999.0","16,960.0","18,535.0","19,873.0","21,055.0","22,231.0","22,254.0","21,659.0","21,899.0","22,269.0","22,950.0","23,920.0","24,241.0","25,809.0","25,326.0","24,810.0","24,834.0"
"72","54","          Nondurable goods","B337RC1","7,846.0","8,997.0","10,210.0","10,950.0","12,401.0","15,499.0","18,873.0","21,306.0","24,195.0","26,292.0","30,041.0","33,765.0","37,184.0","38,404.0","39,962.0","42,762.0","45,627.0","45,640.0","49,264.0","51,826.0","57,726.0","63,824.0","66,034.0","69,085.0","72,723.0","77,446.0","84,508.0","90,577.0","94,323.0","96,617.0","107,181.0","124,775.0","132,405.0","135,172.0","142,919.0","155,402.0","176,944.0","191,942.0","209,956.0","235,339.0","211,528.0","230,885.0","256,824.0","260,468.0"
"73","55","          Services","A988RC1","12,713.0","14,854.0","17,143.0","19,015.0","20,556.0","24,320.0","28,537.0","30,244.0","32,900.0","36,238.0","39,335.0","42,930.0","48,367.0","55,480.0","62,463.0","68,459.0","79,933.0","96,687.0","97,121.0","103,686.0","111,145.0","119,351.0","130,654.0","142,544.0","154,138.0","164,950.0","175,689.0","184,008.0","198,337.0","217,634.0","237,759.0","254,213.0","277,835.0","296,708.0","299,977.0","307,947.0","322,915.0","341,309.0","362,960.0","371,599.0","403,216.0","405,983.0","403,411.0","407,903.0"
"74","56","      Less: Own-account investment \4\","W144RC1","1,424.0","1,536.0","1,636.0","1,680.0","1,741.0","2,064.0","2,149.0","2,044.0","2,005.0","2,326.0","2,909.0","3,341.0","3,494.0","3,745.0","3,955.0","4,620.0","5,208.0","5,744.0","6,097.0","6,678.0","7,812.0","8,588.0","9,323.0","9,526.0","9,732.0","10,128.0","10,629.0","10,967.0","12,197.0","12,619.0","13,527.0","14,864.0","16,663.0","17,026.0","17,198.0","18,118.0","19,140.0","20,507.0","21,640.0","22,908.0","23,117.0","21,845.0","20,792.0","20,962.0"
"75","57","            Sales to other sectors","W145RC1","10,597.0","11,831.0","13,517.0","15,189.0","17,004.0","18,666.0","20,624.0","23,346.0","25,834.0","29,207.0","33,378.0","37,556.0","43,712.0","49,697.0","55,688.0","59,802.0","65,403.0","71,455.0","76,941.0","84,111.0","93,750.0","103,451.0","115,390.0","129,111.0","142,695.0","153,292.0","165,029.0","173,150.0","183,170.0","191,870.0","201,846.0","218,240.0","236,277.0","247,320.0","260,110.0","275,394.0","288,691.0","304,663.0","324,878.0","339,334.0","352,755.0","366,586.0","381,678.0","397,621.0"
"76","58","              Tuition and related educational charges","B1065C1","1,925.0","2,400.0","2,872.0","3,217.0","3,656.0","3,960.0","4,259.0","4,701.0","5,216.0","5,769.0","6,394.0","7,224.0","8,281.0","9,367.0","10,660.0","11,716.0","12,755.0","13,881.0","14,998.0","16,601.0","18,423.0","20,314.0","22,700.0","25,532.0","27,468.0","29,354.0","31,215.0","33,046.0","35,479.0","37,964.0","40,619.0","43,745.0","46,218.0","49,414.0","53,561.0","56,851.0","61,165.0","65,847.0","70,855.0","75,921.0","80,708.0","84,845.0","89,255.0","94,158.0"
"77","59","              Health and hospital charges","B1066C1","3,488.0","3,838.0","4,649.0","5,593.0","6,567.0","7,423.0","8,478.0","9,885.0","10,912.0","12,695.0","15,192.0","17,349.0","20,985.0","24,497.0","27,824.0","29,380.0","32,000.0","34,771.0","37,036.0","40,320.0","44,971.0","50,015.0","57,005.0","65,302.0","73,145.0","78,824.0","85,015.0","86,604.0","89,892.0","93,460.0","96,731.0","104,030.0","116,189.0","120,773.0","124,845.0","130,895.0","132,304.0","137,776.0","145,884.0","153,317.0","162,178.0","169,268.0","176,620.0","184,059.0"
"78","60","              Other sales","W146RC1","5,184.0","5,594.0","5,996.0","6,379.0","6,782.0","7,283.0","7,888.0","8,760.0","9,706.0","10,744.0","11,793.0","12,983.0","14,446.0","15,833.0","17,203.0","18,706.0","20,648.0","22,803.0","24,907.0","27,190.0","30,357.0","33,122.0","35,686.0","38,277.0","42,082.0","45,114.0","48,799.0","53,500.0","57,800.0","60,445.0","64,496.0","70,464.0","73,870.0","77,133.0","81,704.0","87,648.0","95,223.0","101,040.0","108,139.0","110,096.0","109,869.0","112,473.0","115,803.0","119,404.0"
"79",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
