"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"36","29","        Small electric household appliances","DSEARX0",3184,3377,3557,3790,4151,4590,4902,5090,5176,5306,4976,5480,5836,6221,6617
"37","30","      Glassware, tableware, and household utensils (34)","DUTERX0",27167,30394,32882,36748,39562,41369,43005,45491,45470,43793,41071,43856,47092,51843,55967
"38","31","        Dishes and flatware","DCHNRX0",11503,13306,14875,17113,18087,18664,19231,20510,20753,20276,19153,20926,23340,26781,29188
"39","32","        Nonelectric cookware and tableware","DNECRX0",15930,17235,18021,19517,21436,22729,23842,25022,24731,23518,21918,22941,23830,25305,27095
"40","33","      Tools and equipment for house and garden (35)","DTOORX0",16481,17190,17817,18522,19661,20902,21186,21211,19974,19414,17480,18099,18734,19641,19776
"41","34","        Tools, hardware, and supplies","DHDWRX0",13938,14537,15149,15871,16762,17677,17747,17662,16532,15963,14302,14758,15204,15902,15901
"42","35","        Outdoor equipment and supplies","DLWNRX0",2549,2660,2681,2674,2916,3233,3440,3549,3441,3450,3177,3342,3530,3741,3882
"43","36","    Recreational goods and vehicles","DREQRX0",113096,132046,144203,160652,181585,209327,237637,268788,298972,308742,303775,336804,370503,410850,452936
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRX0",38950,47361,54200,63562,75053,91538,110648,133075,157594,173287,184935,217102,244754,279230,315477
"45","38","        Video and audio equipment","DVAARX0",29124,33971,37398,41505,45211,52486,61371,71430,81839,91949,99519,115178,131496,152025,172891
"46","39","          Televisions","DTVSRX0",2709,3323,3923,4691,6249,8562,11444,16292,23015,28594,36562,47386,58388,72566,88228
"47","40","          Other video equipment","DOVARX0",3116,4198,5288,6314,7693,9365,10911,12638,14437,17641,18297,21150,24579,29236,32892
"48","41","          Audio equipment","DAUDRX0",9757,10839,11376,12392,12819,14495,17804,19130,19079,19373,18179,19218,20683,22864,24667
"49","42","          Recording media","DRECRX0",23488,25680,26306,27405,25796,26385,26829,27103,26850,26947,26481,27971,29654,31467,34225
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRX0",18068,18500,17882,17795,15763,15218,14438,13771,13067,13254,13362,14577,15839,17105,18276
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",6844,8332,9304,10320,10484,11453,12515,13363,13773,13688,13120,13392,13806,14344,15963
"52","45","        Photographic equipment","DCAMRX0",1303,1405,1454,1557,1791,2188,2600,3134,4087,4466,4232,4686,5129,5537,5889
"53","46","        Information processing equipment","DIPERX0",9259,12258,15217,20015,27457,36334,46288,58408,71876,76934,81184,97172,108185,121952,137186
"54","47","          Personal computers and peripheral equipment","DCPPRX0",4127,5687,7514,10384,13674,17084,21683,27122,32004,36940,41605,48519,58077,67182,77939
"55","48","          Computer software and accessories","DCPSRX0",5462,6434,6796,7948,12271,18165,23477,30177,39128,38757,38209,47203,48587,53190,57734
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",511,666,742,861,940,1079,1185,1294,1382,1402,1369,1455,1584,1746,1917
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",31929,36707,39591,42447,44786,48322,51742,55944,57743,56334,50894,52853,58505,62698,67472
"58","51","      Sports and recreational vehicles (79)","DWHLRX0",34398,37048,37009,38417,43502,48492,51021,52020,53448,47548,36950,35465,36053,37646,39768
"59","52","        Motorcycles","DMCYRX0",6701,8061,9365,9697,11231,12559,12666,12748,13068,12495,9269,8530,8983,9450,9573
"60","53","        Bicycles and accessories","DBCYRX0",3329,3280,3196,3143,3348,3545,3730,3900,4101,4205,4153,4239,4276,4481,4523
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",24417,25733,24429,25557,28887,32345,34611,35363,36270,30852,23528,22693,22805,23731,25649
"62","55","          Pleasure boats","DBOARX0",10632,11581,11268,11593,12775,14200,15346,16347,16499,15008,11767,10774,10846,11082,12333
"63","56","          Pleasure aircraft","DAIRRX0",1116,1183,1064,1018,1176,1402,1626,1787,2060,1843,1430,1441,1449,1614,2126
"64","57","          Other recreational vehicles","DREVRX0",12670,12970,12097,12947,14937,16744,17640,17230,17711,14001,10331,10478,10510,11035,11190
"65","58","      Recreational books (part of 90)","DRBKRX0",24034,25901,25946,26379,27218,27526,27746,28120,27796,27424,26424,27400,27970,29369,30703
"66","59","      Musical instruments (part of 80)","DMSCRX0",3847,4660,4795,5039,4970,5295,5294,5503,5514,5188,4572,4571,4761,5231,5179
"67","60","    Other durable goods","DODGRX0",105980,115397,112918,119881,131131,142773,153326,164427,172196,166497,158174,164876,173672,183637,197432
"68","61","      Jewelry and watches (part of 119)","DJRYRX0",49385,53599,51908,55065,60298,65339,70039,73484,73189,66517,60257,61215,62500,65798,70938
"69","62","        Jewelry","DJLYRX0",44500,48335,46670,49198,53900,58484,62866,65821,65162,58766,53210,53867,54441,57345,61924
"70","63","        Watches","DWTCRX0",4970,5360,5312,5910,6447,6918,7267,7740,8057,7751,7047,7351,8108,8500,9054
"71","64","      Therapeutic appliances and equipment (42)","DTAERX0",33992,36053,34994,37338,39893,42766,45739,48566,52654,53036,52671,55966,58768,61407,63778
"72","65","        Therapeutic medical equipment","DTMERX0",11514,12950,13758,14606,16248,18365,20230,22576,24937,25325,24609,26464,27751,29209,30564
"73","66","        Corrective eyeglasses and contact lenses","DEYERX0",22785,23339,21356,22864,23744,24453,25539,25995,27719,27713,28062,29506,31020,32208,33230
"74","67","      Educational books (96)","DEBKRX0",15772,15571,15031,14729,14159,13562,12886,11986,10804,10124,9192,8988,8550,8282,8165
"75","68","      Luggage and similar personal items (part of 119)","DLUGRX0",11156,13091,12648,13456,15269,17492,19654,22021,23885,24061,23343,25516,29790,33584,39192
"76","69","      Telephone and facsimile equipment (67)","DTCERX0",2018,2564,3025,3548,4817,6139,7098,9540,12010,12803,12712,13234,14381,15083,16148
"77","70","  Nondurable goods","DNDGRX0",1805974,1863598,1896024,1931107,1998542,2063650,2132331,2202167,2239326,2214659,2175126,2223535,2265971,2296795,2344155
"78","71","    Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,798831,809381,820457
"79","72","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRX0",580868,591339,597417,598825,615173,629887,655296,673595,682409,673718,663426,673999,682506,689401,697099
"80","73","        Food purchased for off-premises consumption","DFOFRX0",511405,521796,526654,527679,540511,551653,573760,589054,597449,589646,582988,591883,599529,606106,612338
"81","74","          Cereals and bakery products","DCBPRX0",103244,108168,111970,114027,115574,116999,121239,124594,125184,121377,117932,120408,123998,123557,123757
"82","75","            Cereals","DGRARX0",33620,33948,33925,33023,34461,36206,38602,41198,42300,40889,39874,40634,40403,40513,41288
"83","76","            Bakery products","DBAKRX0",69462,74189,78120,81192,81239,80851,82659,83397,82884,80487,78058,79773,83576,83029,82469
"84","77","          Meats and poultry","DMAPRX0",121506,120048,117971,117202,118960,120131,124835,127528,128979,130244,130411,131351,134404,134538,134775
"85","78","            Beef and veal","DBEERX0",38356,37264,35535,35821,34275,32948,33724,33758,33513,33660,34172,34008,33665,32903,33036
"86","79","            Pork","DPORRX0",22636,21378,20857,20687,21428,22135,23134,23759,24519,25163,25799,25214,25347,26279,26660
"87","80","            Other meats","DMEARX0",21202,21401,21555,21065,22165,23673,25185,25873,27177,27668,27177,27826,28525,29157,29879
"88","81","            Poultry","DPOURX0",39751,40416,40327,39984,41253,41451,42865,44215,43805,43773,43263,44326,47000,46337,45329
"89","82","          Fish and seafood","DFISRX0",10671,10816,11221,11593,11809,12277,12381,11792,11548,11441,11088,11222,11433,11611,11606
"90","83","          Milk, dairy products, and eggs","DMDERX0",53151,54717,54780,55376,58245,59710,63421,66987,67040,65613,68197,68575,68172,67901,68678
"91","84","            Fresh milk","DMILRX0",15904,16451,16320,16853,17916,17809,18433,19767,19701,19929,21701,21326,21105,21190,21319
"92","85","            Processed dairy products","DDAIRX0",29722,30752,31017,31150,32991,33869,35139,36895,38172,37027,36798,37527,37467,37260,38070
"93","86","            Eggs","DGGSRX0",7602,7551,7473,7368,7291,8027,10028,10472,9304,8746,9698,9731,9616,9463,9327
"94","87","          Fats and oils","DFATRX0",13077,13250,12637,12436,13285,13402,14596,15890,16781,15716,15487,15534,14762,14295,14763
"95","88","          Fresh fruits and vegetables","DFAVRX0",54347,57720,59793,60123,60143,60328,62178,61042,61542,61794,65136,66880,66467,73422,72197
"96","89","            Fruit (fresh)","DFRURX0",19463,21384,22194,22627,23008,23816,25192,25113,25728,25945,27792,28983,29145,31073,31018
"97","90","            Vegetables (fresh)","DVEGRX0",35039,36408,37671,37556,37187,36547,37015,35951,35823,35854,37344,37903,37341,42351,41182
"98","91","          Processed fruits and vegetables","DPFVRX0",23439,23254,22561,21233,22358,23447,24526,25529,26433,25667,24253,24805,25022,25097,25473
"99","92","          Sugar and sweets","DSWERX0",38651,39168,39671,38892,38991,39621,40151,39922,39693,38236,35329,35723,36094,37048,39628
"100","93","          Food products, not elsewhere classified","DOFDRX0",93904,95294,96702,97367,101654,106267,110888,116375,120969,120026,115154,117401,119247,118870,121705
"101","94","        Nonalcoholic beverages purchased for off-premises consumption","DNBVRX0",69513,69681,70867,71240,74701,78251,81554,84556,84980,84094,80438,82119,82975,83269,84775
"102","95","          Coffee, tea, and other beverage materials","DCTMRX0",8289,8292,8476,8432,8737,9067,9085,9412,9491,9687,9740,9680,9353,9520,10006
"103","96","          Mineral waters, soft drinks, and vegetable juices","DJNBRX0",61229,61394,62396,62812,65969,69190,72481,75157,75501,74412,70698,72442,73647,73763,74763
"104","97","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRX0",87062,92879,96181,97737,97780,99563,102005,106768,108520,107773,106138,112123,116105,119695,123326
"105","98","        Spirits","DLIQRX0",16562,17484,17948,18158,18861,20042,21121,22849,24200,24337,24078,25399,26302,27490,28578
"106","99","        Wine","DWINRX0",18839,21234,23796,25855,26226,27534,28634,30096,30846,30806,30637,32817,34604,36049,37402
"107","100","        Beer","DMLTRX0",52255,54672,54808,53989,52884,52111,52342,53879,53487,52634,51423,53914,55233,56229,57455
"108","101","      Food produced and consumed on farms (6)","DFFDRX0",433,372,314,346,296,327,367,450,356,378,394,350,277,403,295
"109","102","    Clothing and footwear","DCLORX0",243190,254958,257369,265228,278318,291162,306770,317445,323901,322312,306499,322664,334950,338872,344140
"110","103","      Garments","DGARRX0",193812,203219,205428,212383,222747,232830,245574,252655,256617,256081,244349,258093,267020,269316,274314
"111","104","        Women's and girls' clothing (10)","DWGCRX0",110947,118048,119770,124422,130769,137524,146003,150041,152667,152958,145820,154196,159464,162128,165925
"112","105","        Men's and boys' clothing (11)","DMBCRX0",73354,75212,75199,76931,79765,81740,84453,86262,86245,85150,81471,86141,88899,88847,89345
"113","106","        Children's and infants' clothing (12)","DCICRX0",9553,10025,10528,11095,12262,13599,15147,16378,17715,17974,17058,17757,18660,18342,19076
"114","107","      Other clothing materials and footwear (13 and 17)","DOCCRX0",49416,51775,51935,52756,55489,58267,61106,64768,67313,66237,62149,64580,67926,69551,69821
"115","108","        Clothing materials","DCSMRX0",3517,3815,3989,4366,4356,4325,4208,4055,3881,3770,3625,3653,3621,3718,4116
"116","109","        Standard clothing issued to military personnel","DMICRX0",296,327,349,391,485,343,362,404,436,429,451,402,354,334,371
"117","110","        Shoes and other footwear","DSHURX0",45572,47591,47540,47911,50577,53553,56513,60303,62996,62038,58074,60526,63960,65507,65328
"118","111","    Gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,275221,271468,272590
"119","112","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRX0",270280,265791,265666,267088,267168,270871,273001,273979,273161,262410,260229,259852,255423,253728,255337
"120","113","        Gasoline and other motor fuel","DGASRX0",263278,258492,258817,260381,259851,263275,264444,265365,264590,254740,254244,252815,247216,245615,247232
"121","114","        Lubricants and fluids","DLUBRX0",7109,7497,6916,6745,7465,7805,9202,9276,9220,8006,5984,7108,8564,8456,8430
"122","115","      Fuel oil and other fuels (29)","DFULRX0",33472,29394,29213,30207,30482,29068,25214,23553,23803,21107,24271,22359,19780,17705,17203
"123","116","        Fuel oil","DOILRX0",29711,25766,26013,26989,27081,25657,21952,20564,20932,18031,21635,19706,17029,14908,14702
"124","117","        Other fuels","DLPFRX0",3805,3641,3225,3253,3422,3419,3282,3000,2864,3173,2636,2661,2831,2984,2586
"125","118","    Other nondurable goods","DONGRX0",605825,636117,656047,675748,709548,740594,765910,803343,825151,828317,814169,832974,861569,885073,917255
"126","119","      Pharmaceutical and other medical products (40 and 41)","DPHMRX0",192569,210711,229041,242646,259517,270842,276699,295762,309714,315001,320866,322427,329500,334501,351348
"127","120","        Pharmaceutical products","DPNPRX0",190762,208686,226920,240408,257031,268004,273577,292291,305883,311106,317090,318364,325246,330016,346648
"128","121","          Prescription drugs","DRXDRX0",165701,183241,201308,212859,227523,236175,238689,255188,266582,270533,277308,276615,280841,284105,298965
"129","122","          Nonprescription drugs","DNRDRX0",24577,25347,25889,27781,29750,31979,34893,37114,39303,40564,39782,41790,44578,46189,47902
"130","123","        Other medical products","DOMPRX0",1848,2060,2173,2295,2536,2867,3135,3477,3829,3893,3777,4071,4270,4518,4734
"131","124","      Recreational items (parts of 80, 92, and 93)","DREIRX0",78047,84277,87654,93126,98421,103828,113618,120665,127022,127747,123833,131994,139292,150651,158136
"132","125","        Games, toys, and hobbies","DDOLRX0",21089,23724,25508,28333,30945,33467,37491,40580,44137,48109,50247,56111,61664,68978,76318
"133","126","        Pets and related products","DPRPRX0",32789,34859,36286,37987,40249,42357,45410,47587,50412,49280,46317,48210,50141,52701,54590
"134","127","        Flowers, seeds, and potted plants","DFLORX0",25378,26107,25903,26128,26148,26645,29274,31070,31226,28697,25669,26129,26135,28101,27186
"135","128","        Film and photographic supplies","DFLMRX0",2665,2791,2684,2694,2701,2705,2493,2265,1907,1814,1600,1617,1625,1502,1434
"136","129","      Household supplies (parts of 32 and 36)","DHOURX0",87800,88591,89128,91210,97589,102187,106075,109234,110985,110150,105169,109494,114093,118208,124834
"137","130","        Household cleaning products","DCLERX0",34481,34364,34245,34469,35482,36311,36823,36446,35713,35294,33269,34147,34958,35409,36687
"138","131","        Household paper products","DPAPRX0",34543,33968,34656,35905,37103,36822,37129,36654,36164,34946,32788,33001,33509,33098,33201
"139","132","        Household linens","DLINRX0",14671,15493,15684,16380,19077,21499,23504,26368,28833,29677,29225,31940,34711,38363,42813
"140","133","        Sewing items","DSEWRX0",1129,1193,1216,1297,1340,1364,1377,1368,1363,1335,1279,1287,1280,1324,1452
"141","134","        Miscellaneous household products","DMHPRX0",7688,7578,7360,7132,7731,8423,8897,9184,9147,8948,8608,9159,9785,10500,11659
"142","135","      Personal care products (part of 118)","DOPCRX0",68657,72030,73976,76309,81642,87090,92379,97640,101432,103198,100088,105751,111770,115358,118840
"143","136","        Hair, dental, shaving, and miscellaneous personal care products except electrical products","DOPHRX0",36964,38817,40444,41750,44763,47802,50583,53276,55506,56736,55547,58486,62183,64157,65930
"144","137","        Cosmetic/perfumes/bath/nail preparations and implements","DCOSRX0",29070,30262,30229,30890,32834,34882,37023,39332,40724,41263,39587,42022,43959,45336,46751
"145","138","        Electric appliances for personal care","DEAPRX0",2738,3056,3348,3692,4055,4409,4777,5042,5209,5204,4954,5243,5636,5874,6168
"146","139","      Tobacco (127)","DTOBRX0",121383,118491,116334,110693,109366,112189,111021,113426,110689,106849,99520,95836,94417,92828,88757
"147","140","      Magazines, newspapers, and stationery (part of 90)","DNEWRX0",62752,65066,62541,61518,61603,63123,63368,63602,61326,60724,58174,62283,67068,69616,72874
"148","141","        Newspapers and periodicals","DMAGRX0",42115,43111,42126,41590,40880,40928,40464,39962,37574,37342,35429,38664,42287,43742,45417
"149","142","        Stationery and miscellaneous printed materials","DSTYRX0",20974,22184,20769,20304,20979,22348,23011,23707,23754,23392,22745,23616,24769,25868,27504
"150","143","      Net expenditures abroad by U.S. residents (131)","DNFRRX0",6252,7233,7726,8330,7519,6653,5964,5631,5247,5124,6519,5743,6837,6714,6389
"151","144","        Expenditures abroad by U.S. residents","DABDRX0",7803,8786,9440,10049,9480,8745,8256,8251,8163,8382,9495,10334,9894,9486,9621
"152","145","          Government employees' expenditures abroad","DARTRX0",7494,8439,9067,9653,9067,8325,7819,7774,7648,7852,8895,9681,9269,8886,9013
"153","146","          Private employees' expenditures abroad","DARSRX0",308,347,373,396,413,421,437,477,515,529,600,653,625,599,608
"154","147","        Less: Personal remittances in kind to nonresidents","DREMRX0",1550,1553,1714,1719,1962,2093,2292,2620,2916,3257,2976,4591,3057,2772,3233
"155","148","Services","DSERRX0",5344758,5611558,5736252,5839992,5965617,6154108,6349438,6519763,6650409,6700632,6644495,6727177,6871126,6982672,7063593
"156","149","  Household consumption expenditures (for services)","DHCERX0",5205822,5459377,5568165,5649906,5761719,5946686,6143369,6284954,6409210,6427132,6368478,6448877,6592033,6689389,6775566
"157","150","    Housing and utilities","DHUTRX0",1550457,1600525,1643038,1653822,1675982,1717906,1788366,1823187,1840778,1860103,1880993,1904255,1928407,1943596,1959956
"158","151","      Housing","DHSGRX0",1278014,1320482,1364684,1369915,1387685,1428441,1493593,1533637,1547242,1571134,1591571,1608746,1637006,1658413,1665630
"159","152","        Rental of tenant-occupied nonfarm housing (20)","DTENRX0",303605,306394,312150,309860,300298,301553,306832,316593,334643,343922,359679,372122,395181,411744,419086
"160","153","          Tenant-occupied mobile homes","DTMHRX0",8149,8620,9688,10178,10281,10250,10021,9025,8071,7053,6658,7661,7601,7614,7549
"161","154","          Tenant-occupied stationary homes","DTSPRX0",289963,291897,296237,293245,283249,284144,289325,299753,318698,328941,345186,356706,379766,396451,403914
"162","155","          Tenant landlord durables","DTLDRX0",5752,6058,6359,6527,6788,7153,7471,7794,7867,7924,7834,7747,7778,7612,7542
"163","156","        Imputed rental of owner-occupied nonfarm housing (21)","DOWNRX0",956125,993032,1031359,1038855,1065493,1104749,1164320,1194594,1190394,1205093,1209860,1214643,1219840,1224550,1224286
"164","157","          Owner-occupied mobile homes","DOMHRX0",34769,36302,41674,41256,40014,39015,37620,33480,29631,27328,26645,25506,25672,25768,25415
"165","158","          Owner-occupied stationary homes","DOSTRX0",921361,956734,989689,997604,1025483,1065738,1126704,1161116,1160763,1177765,1183214,1189138,1194169,1198782,1198871
"166","159","        Rental value of farm dwellings (22)","DFARRX0",17936,20962,20821,20809,20963,20861,20877,20869,20845,20792,20713,20638,20515,20397,20387
"167","160","        Group housing (23)","DGRHRX0",1265,1256,1204,1094,1138,1141,1143,1191,1280,1296,1319,1341,1430,1613,1685
"168","161","      Household utilities","DUTLRX0",274311,281783,279025,285101,289597,290059,294878,289380,293372,288923,289422,295494,291503,285333,294501
"169","162","        Water supply and sanitation (25)","DWRSRX0",75937,76702,77418,78187,78179,76563,75882,77307,76407,76260,74289,73361,73445,72842,72019
"170","163","          Water supply and sewage maintenance","DWSMRX0",61015,61500,62428,63663,63022,60789,59893,60249,59554,59178,58276,57017,56883,56460,56276
"171","164","          Garbage and trash collection","DREFRX0",15015,15283,15107,14699,15277,15823,16019,17056,16851,17071,16014,16358,16589,16404,15705
"172","165","        Electricity and gas","DELGRX0",198479,205185,201789,207059,211532,213550,218958,212281,216994,212784,215133,222216,218043,212327,222954
"173","166","          Electricity (27)","DELCRX0",142644,147544,144794,151501,154041,157036,164161,160257,162590,160175,157008,166504,163375,160133,161833
"174","167","          Natural gas (28)","DGHERX0",55171,56952,56291,55024,56888,56184,55258,52760,54899,53255,58125,55666,54623,52018,62123
"175","168","    Health care","DHLCRX0",1178313,1218812,1279578,1355577,1392522,1442266,1490444,1525245,1563233,1598825,1627380,1649189,1693290,1738367,1775762
"176","169","      Outpatient services","DOUTRX0",516506,540882,571505,609847,638902,668251,691311,708073,721317,742214,744742,751418,769200,788861,804832
"177","170","        Physician services (44)","DPHYRX0",254139,269993,285491,308785,329038,347750,363008,375442,378474,392989,392838,393180,402207,412261,425079
"178","171","        Dental services (45)","DDENRX0",91796,95422,1e+05,104353,103233,105288,105256,104181,105020,105006,102080,101693,101556,101735,96456
"179","172","        Paramedical services (46)","DPMSRX0",173145,177824,188352,198687,207725,215972,223435,228581,237921,244243,249824,256565,265508,275023,283801
"180","173","          Home health care","DHHCRX0",51603,49311,50996,51633,55031,57530,60322,62409,66534,70036,73546,76138,79603,82847,88413
"181","174","          Medical laboratories","DMLBRX0",17289,19689,22175,23226,25053,26774,27738,29005,29142,31159,32242,32638,33748,33577,33041
"182","175","          Other professional medical services","DOMDRX0",104193,108969,115332,124254,127909,131865,135520,137238,142320,143055,144036,147786,152168,158571,162330
"183","176","            Specialty outpatient care facilities and health and allied services","DOMSRX0",68324,70193,73914,77878,80368,83326,85822,89110,93802,95714,97030,99912,102018,107929,110209
"184","177","            All other professional medical services","DOMORX0",35870,38777,41419,46376,47542,48539,49698,48128,48518,47341,47007,47874,50150,50641,52121
"185","178","      Hospital and nursing home services","DHPNRX0",664975,680253,710010,747243,754019,774010,799093,817113,841930,856569,882638,897762,924059,949459,970836
"186","179","        Hospitals (51)","DHSPRX0",539707,554870,584340,619857,621823,639792,661363,677462,698216,711025,736583,748414,771603,799195,819940
"187","180","          Nonprofit hospitals' services to households","DNPHRX0",364767,373031,388022,413115,413365,429940,449424,458072,474055,476952,492269,501510,512558,528316,541876
"188","181","          Proprietary hospitals","DFPHRX0",60794,61571,66076,74075,77469,77244,80936,83489,85423,91341,97074,96621,103726,113115,118745
"189","182","          Government hospitals","DGVHRX0",114149,120269,130243,132668,130990,132609,131004,135901,138739,142731,147240,150283,155320,157763,159318
"190","183","        Nursing homes (52)","DNRSRX0",125307,125350,125654,127468,132247,134260,137764,139665,143725,145551,146055,149353,152449,150178,150728
"191","184","          Nonprofit nursing homes' services to households","DNPNRX0",44186,44287,45045,45809,47515,47945,49816,50183,51055,50252,50871,51075,50918,50747,50721
"192","185","          Proprietary and government nursing homes","DFPNRX0",81121,81063,80610,81659,84732,86315,87948,89482,92671,95299,95184,98277,101530,99431,100007
"193","186","    Transportation services","DTRSRX0",317464,332782,330532,320820,322948,331523,334702,335529,339008,321283,289695,287109,294311,297989,300187
"194","187","      Motor vehicle services","DMVSRX0",240544,249329,248381,238213,238040,242377,247594,249174,251243,238550,210421,210581,218719,223370,221760
"195","188","        Motor vehicle maintenance and repair (60)","DVMRRX0",169713,174815,177456,175021,178457,180482,182370,177528,177204,165401,149221,149497,155643,157179,150352
