"","Table 2BUI# Implicit Price Deflators for Manufacturing and Trade","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"56","48","    Petroleum and petroleum products wholesalers","PK42273",48.783,42.065,40.557,41.174,35.327,32.021,29.381,28.553,28.34,35.634,41.616,46.538,55.674,55.422,58.093,61.432,58.636,57.611,53.107,45.72,45.006,50.632,52.924,57.86,69.889,57.426,60.291,62.563,69.979,71.683,76.108,86.484,88.287,90.762,105.345,115.856,113.242,121.997,119.318,111.695,114.101,124.714,128.722,156.072,171.178,188.095,193.776,114.826,86.465,96.325,111.728,134.313,152.928,134.702,128.199,160.976,194.763
"57","49","    Beer, wine, and distilled alcoholic beverages wholesalers","PK42283",85.462,85.672,85.307,84.665,85.208,85.145,85.059,85.944,86.217,85.902,86.424,86.426,86.995,88.315,89.482,89.982,91.153,91.644,91.729,92.383,92.442,92.591,92.675,93.333,93.328,94.043,93.752,94.628,97.595,96.046,95.739,96.249,99.658,99.827,100.058,100.457,101.38,101.93,100.373,100.436,100.504,100.649,101.215,102.035,103.751,104.559,104.791,105.885,107.998,108.47,108.008,109.734,109.629,109.628,109.862,112.933,113.333
"58","50","    Miscellaneous nondurable goods wholesalers","PK42293",80.012,80.32,79.942,79.805,78.857,78.748,79.028,80.217,82.13,82.323,83.056,84.417,85.087,85.434,85.931,87.25,90.265,90.142,89.742,89.501,89.394,90.764,91.982,91.655,91.779,92.774,92.046,93.544,95.268,96.158,95.822,95.985,97.909,99.659,100.676,101.858,103.04,103.169,103.054,104.547,107.984,111.051,112.778,115.641,122.803,131.993,142.239,136.05,124.739,123.967,120.434,121.883,124.002,125.509,126.109,130.478,135.998
"59","51","Retail trade industries","PK443",94.454,94.082,93.92,93.831,93.146,92.748,92.869,92.72,92.664,93.575,94.407,94.73,95.654,96.114,96.304,96.605,96.714,97.014,96.487,95.319,94.915,95.734,95.808,95.872,96.531,95.188,95.752,95.768,96.818,97.654,97.742,98.746,98.858,99.252,100.72,101.151,101.222,101.732,102.087,100.798,101.618,102.734,102.961,104.331,105.571,106.97,108.715,103.428,101.432,102.195,103.539,104.312,105.187,104.366,104.401,105.135,106.965
"60","52","  Motor vehicle and parts dealers","PK4413",97.88,97.559,97.476,97.53,97.188,96.755,97.229,97.576,97.628,97.71,98.461,98.602,98.607,99.141,98.908,99.449,99.957,99.941,99.827,100.102,99.783,99.801,100.057,99.997,98.928,98.493,97.884,96.865,97.493,98.208,97.827,98.681,99.345,99.948,99.967,100.771,101.086,101.185,101.395,101.151,101.034,101.104,101.323,101.76,101.566,101.335,101.293,100.138,99.716,100.803,101.593,103.452,104.255,104.573,104.998,105.005,105.804
"61","53","  Furniture, furnishings, electronics, and appliance stores","PK44233",145.758,144.595,143.092,141.899,140.657,139.902,138.215,136.08,134.633,133.224,131.494,129.488,128.798,128.115,127.203,125.939,124.132,122.202,120.36,118.725,117.053,116.079,114.552,112.879,111.17,109.317,107.562,106.427,105.728,104.84,103.402,102.39,101.478,100.881,99.395,98.392,97.545,96.203,95.036,93.825,92.603,91.393,89.844,88.371,87.556,85.982,85.373,83.96,82.58,81.613,79.303,77.685,76.132,74.727,73.394,72.266,71.161
"62","54","  Building material and garden equipment and supplies dealers","PK4443",97.016,97.688,97.21,95.97,95.673,94.506,93.78,92.361,93.009,94.019,95.303,93.777,94.496,93.921,92.862,92.766,92.753,93.651,93.387,91.652,91.941,92.398,92.298,91.62,91.852,91.948,93.334,94.754,96.742,99.547,99.539,98.112,99.484,100.076,100.104,100.313,101.177,101.082,99.863,99.407,101.018,101.439,101.372,100.964,101.684,103.395,104.665,103.137,100.457,100.116,99.496,99.14,100.682,102.325,100.667,100.743,102.59
"63","55","  Food and beverage stores","PK4453",82.955,83.067,83.275,83.585,83.925,84.288,84.752,85.334,86.063,86.384,86.914,87.48,87.998,88.785,89.648,90.066,90.872,91.628,92.354,92.576,93.077,93.413,93.452,93.574,94.185,94.493,95.388,96.345,96.897,97.864,98.33,99.171,98.981,99.862,100.258,100.891,101.399,101.583,102.313,102.656,103.927,105.215,106.154,107.362,108.803,110.959,113.345,114.066,114.012,113.797,113.443,113.581,114.198,114.568,114.733,115.243,116.927
"64","56","  Clothing and clothing accessories stores","PK4483",113.691,114.639,113.448,112.812,111.736,111.189,111.526,110.928,109.459,110.089,109.776,109.664,109.081,108.322,107.774,108.014,108.51,107.053,106.171,105.298,104.767,104.527,103.849,103.181,101.949,101.051,101.522,101.078,100.841,101.403,100.903,100.81,100.655,100.124,99.751,99.501,99.215,100.282,100.292,100.301,101.029,100.136,99.463,100.388,100.509,100.138,101.22,100.657,100.631,101.109,101.978,101.782,101.352,100.614,101.371,100.711,101.127
"65","57","  General merchandise stores","PK4523",102.482,102.886,102.371,102.184,102.035,102.063,102.204,102.107,101.941,102.146,102.234,102.279,102.209,102.352,102.482,102.491,102.818,102.502,102.437,102.185,101.954,101.824,101.388,100.908,100.404,100.017,100.164,100.07,100.108,100.362,100.038,100.185,100.009,100.189,99.902,99.905,99.94,100.043,100.004,99.816,99.903,99.751,99.375,99.707,100.034,100.249,100.876,100.673,100.636,100.744,100.286,99.462,99.145,98.436,97.981,97.355,97.543
"66","58","    Department stores","PK45213",108.79,109.315,108.549,108.21,107.873,107.772,107.861,107.54,106.959,107.223,107.194,107.149,106.859,106.737,106.619,106.513,106.75,105.984,105.594,105.163,104.706,104.42,103.81,103.184,102.256,101.637,101.675,101.257,101.074,101.171,100.581,100.545,100.404,100.319,99.756,99.522,99.386,99.601,99.354,99.024,98.946,98.439,97.812,98.032,98.045,97.767,98.127,97.605,97.506,97.545,97.119,96.093,95.609,94.759,94.283,93.361,93.24
"67","59","    Other general merchandise stores","PK45293",95.524,95.729,95.63,95.697,95.857,96.092,96.314,96.552,97.001,97.121,97.378,97.549,97.771,98.263,98.706,98.857,99.294,99.48,99.765,99.697,99.689,99.709,99.435,99.087,98.956,98.77,99.01,99.18,99.393,99.766,99.644,99.928,99.727,100.095,100,100.163,100.313,100.341,100.436,100.339,100.528,100.598,100.379,100.781,101.298,101.806,102.59,102.57,102.565,102.709,102.232,101.514,101.285,100.646,100.199,99.717,100.056
"68","60","  Other retail stores","PK44X3",81.26,79.829,79.97,80.099,78.269,77.527,77.558,77.23,76.918,79.566,81.425,82.821,85.824,86.842,87.71,88.23,87.756,88.874,87.274,83.777,82.795,85.643,86.305,87.383,91.066,87.149,89.004,89.389,91.876,92.812,93.781,96.858,96.639,97.049,102.768,103.525,103.184,104.92,106.362,102.231,104.279,108.103,109.039,113.205,116.954,120.954,125.192,107.761,102.123,104.283,109.503,111.983,114.578,111.674,112.365,115.678,120.574
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
