"","Table 8#30# Contributions to Percent Change in the Gross Domesti","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"11","2","  Personal consumption expenditures","A002RS",-3.28,-8.49,-9.57,-2.91,3.71,1.83,0.71,2.68,-1.7,-0.71,0.58,4.21,7.18,4.71,2.78,2.03,4.38,7.03,3.9,-0.5,0.84,4.3,1.26,0.85,0.59,0.26,1.25,1.9,1.58,1.01,1.06,0.68,0.73,0.73,0.86,0.93,1.58,1.54,2.39,2.78,2.95,2.68,2.16,3.35,6.35,5.16,3.45,4.14,4.42,5.46,6.7,5.49,3.55,2.7,2.31,2.14,1.53,2.41,2.49,2.81,2.98,2.51,2.01,1.58,1.34,1.52,1.42,1.28,0.7,1.08,1.67,1.34,0.92
"12","3","    Durable goods","A003RS",-0.5,-0.79,-0.76,-0.18,0.34,-0.04,0.05,0.31,0.02,-0.07,0.07,0.56,0.96,0.33,0.36,0.17,0.23,0.73,0.44,0.11,0.06,0.65,0.08,-0.07,-0.19,-0.04,0.22,0.34,0.16,0.14,-0.04,0.02,0.04,0.03,0.04,-0.08,-0.04,0.14,0.29,0.24,0.19,0.31,0.1,0.13,0.55,0.75,0.47,0.39,0.5,0.57,0.68,0.5,0.28,0.15,0.11,0.1,0.11,0.24,0.12,0.15,0.08,0.11,0.07,0.06,0.12,0.04,-0.08,-0.18,-0.19,-0.2,-0.14,-0.16,-0.23
"13","4","      Motor vehicles and parts","A165RS",-0.1,-0.15,-0.11,-0.12,0.1,-0.04,0.01,0.07,0.09,-0.05,0,0.24,0.35,0.02,0.03,0.01,0.22,0.27,0.22,0.12,0.01,0.21,0.14,-0.07,-0.12,0.04,0.18,0.23,0.13,0.17,-0.07,0.02,0.06,0.03,0.03,-0.03,-0.03,0.05,0.13,0.08,0.1,0.19,0.02,0.03,0.24,0.33,0.27,0.24,0.28,0.29,0.26,0.23,0.14,0.1,0.1,0.09,0.12,0.18,0.06,0.12,0.02,0.1,0.08,0.11,0.12,0.12,0.05,-0.01,-0.03,0.01,0.01,0.01,-0.05
"14","5","      Furniture and household equipment","A166RS",-0.39,-0.61,-0.58,-0.04,0.25,0.01,0.02,0.23,-0.06,-0.03,0.03,0.25,0.49,0.29,0.25,0.14,0,0.35,0.2,-0.03,0.06,0.36,-0.07,-0.01,-0.05,-0.06,0.03,0.08,0.01,-0.03,0.02,-0.01,-0.03,-0.01,-0.01,-0.04,-0.01,0.05,0.11,0.1,0.07,0.06,0.04,0.06,0.22,0.28,0.12,0.09,0.14,0.18,0.21,0.19,0.11,0.01,-0.01,-0.02,-0.04,0,0,-0.02,-0.02,-0.03,-0.04,-0.06,-0.02,-0.09,-0.13,-0.15,-0.15,-0.18,-0.14,-0.17,-0.17
"15","6","      Other","A167RS",-0.01,-0.03,-0.07,-0.03,-0.01,-0.02,0.01,0,-0.01,0.01,0.03,0.06,0.12,0.02,0.09,0.03,0,0.11,0.02,0.02,-0.02,0.07,0.01,0.01,-0.02,-0.01,0.02,0.02,0.02,-0.01,0.01,0.01,0.01,0.01,0.02,-0.01,0,0.03,0.05,0.06,0.02,0.06,0.03,0.04,0.08,0.13,0.08,0.06,0.08,0.11,0.21,0.08,0.04,0.04,0.02,0.02,0.02,0.06,0.07,0.05,0.07,0.05,0.03,0.01,0.02,0.01,0,-0.02,-0.01,-0.03,-0.01,0.01,-0.01
"16","7","    Nondurable goods","A004RS",-1.96,-5.59,-5.62,-0.24,4.08,1.46,0.11,1.36,-1.96,-0.65,0.34,2.99,5.14,3.44,1.61,1.29,3.22,4.95,2.24,-1.21,0.14,2.73,0.35,-0.15,0.1,-0.19,0.42,0.89,0.73,0.18,0.41,0.17,0.23,0.32,0.35,0.49,0.88,0.63,1,1.2,1.28,0.81,0.84,1.93,3.55,2.03,0.99,1.47,1.61,2.5,2.83,1.9,0.68,0.51,0.54,0.48,-0.08,0.72,0.7,0.99,1.14,0.65,0.32,0.21,0.15,0.23,0.42,0.26,0,0.45,0.72,0.29,0.08
"17","8","      Food","A168RS",-1.26,-3.77,-3.56,-0.01,2.4,1.67,0.03,0.69,-1.6,-0.26,0.14,1.94,3.2,2.31,0.49,0.54,2.26,3.2,1.05,-0.79,0.15,1.73,0.41,-0.31,0.04,-0.25,0.13,0.51,0.62,0,0.21,0.14,0.18,0.2,0.28,0.28,0.58,0.22,0.49,0.65,0.82,0.43,0.59,1.39,1.84,1.08,0.45,0.82,1.14,1.24,1.11,0.95,0.44,0.26,0.38,0.22,0.31,0.35,0.36,0.53,0.51,0.37,0.13,0.16,0.17,0.22,0.28,0.22,0.17,0.19,0.22,0.28,0.19
"18","9","      Clothing and shoes","A169RS",-0.4,-1.14,-1.64,0.17,1.28,-0.15,0,0.4,-0.19,-0.18,0.09,0.7,1.28,0.76,0.82,0.59,0.64,0.65,0.48,-0.32,-0.06,0.56,-0.11,-0.02,0.01,-0.02,0.11,0.08,0.02,0.05,0.07,0.03,0.02,0.05,0.04,0.05,0.13,0.2,0.26,0.27,0.19,0.15,0.1,0.16,0.32,0.17,0.14,0.17,0.08,0.08,0.14,0.11,0.05,0.04,0.01,0.07,-0.03,0.11,0.12,0.05,0.12,0.07,0.03,-0.02,-0.06,-0.08,-0.05,0,-0.06,-0.05,-0.04,-0.06,-0.08
"19","10","      Gasoline, fuel oil, and other energy goods","A173RS",-0.11,-0.41,-0.09,-0.1,0.25,-0.04,0.11,0.08,-0.07,-0.14,0,0.17,0.17,0.07,0.03,0,0.09,0.35,0.41,0.05,0.03,0.08,0.05,0.11,0.05,0.03,0.09,0.14,-0.04,0.04,0.06,0,0.02,0.01,-0.02,0.09,0.06,0.09,0.05,0.08,0.04,0.04,0.03,0.25,0.94,0.21,0.14,0.2,0.12,0.88,1.17,0.45,-0.17,-0.12,-0.03,0.01,-0.55,0.07,0.02,0.16,0.27,-0.03,-0.01,-0.02,0,0.02,0.11,0,-0.21,0.11,0.42,-0.06,-0.12
"20","11","      Other","A172RS",-0.19,-0.26,-0.34,-0.3,0.16,-0.02,-0.03,0.19,-0.1,-0.07,0.11,0.18,0.48,0.3,0.27,0.16,0.23,0.74,0.3,-0.15,0.02,0.35,0,0.07,0.01,0.05,0.09,0.16,0.12,0.08,0.08,0.01,0.01,0.06,0.06,0.07,0.1,0.12,0.19,0.19,0.23,0.18,0.12,0.13,0.46,0.56,0.26,0.27,0.26,0.3,0.41,0.39,0.37,0.33,0.17,0.18,0.18,0.18,0.21,0.25,0.24,0.24,0.18,0.08,0.03,0.07,0.07,0.04,0.1,0.2,0.12,0.12,0.09
"21","12","    Services","A005RS",-0.81,-2.11,-3.19,-2.48,-0.72,0.41,0.55,1,0.24,0.01,0.16,0.66,1.08,0.94,0.8,0.57,0.92,1.35,1.21,0.59,0.64,0.93,0.83,1.07,0.68,0.49,0.61,0.68,0.69,0.7,0.68,0.49,0.47,0.38,0.48,0.52,0.75,0.78,1.11,1.34,1.47,1.57,1.23,1.29,2.25,2.38,1.98,2.29,2.31,2.39,3.19,3.09,2.58,2.05,1.66,1.57,1.5,1.45,1.67,1.67,1.76,1.75,1.62,1.31,1.08,1.25,1.08,1.19,0.9,0.83,1.08,1.21,1.07
"22","13","      Housing","A174RS",-0.33,-0.72,-1.5,-1.58,-1.21,0.06,0.23,0.45,0.3,-0.01,0.02,0.16,0.21,0.05,0.06,0.08,0.16,0.25,0.41,0.22,0.24,0.32,0.3,0.38,0.24,0.12,0.15,0.16,0.18,0.16,0.15,0.13,0.12,0.12,0.1,0.1,0.14,0.18,0.23,0.31,0.37,0.43,0.34,0.39,0.36,0.6,0.59,0.74,0.62,0.7,0.84,0.93,0.78,0.56,0.49,0.55,0.55,0.45,0.43,0.41,0.46,0.32,0.28,0.27,0.27,0.31,0.3,0.28,0.31,0.27,0.3,0.37,0.38
"23","14","      Household operation","A186RS",-0.17,-0.27,-0.29,-0.18,0.01,0.03,0.02,0.11,-0.08,0.02,0.04,0.09,0.2,0.27,0.21,0.14,0.06,0.09,0.1,0.06,0.07,0.09,0.13,0.1,0.04,0.05,0.05,0.08,0.12,0.11,0.12,0.04,0.03,0.04,0.04,0.03,0.04,0.06,0.11,0.12,0.15,0.25,0.18,0.17,0.38,0.36,0.35,0.29,0.23,0.26,0.42,0.5,0.47,0.29,0.22,0.13,0.07,-0.02,0.06,0.1,0.07,0.14,0.09,0.1,0.07,0.05,0.08,0.07,-0.04,-0.01,0.07,0.15,-0.03
"24","15","        Electricity and gas","A175RS",-0.03,-0.04,-0.05,-0.03,-0.04,-0.03,-0.03,-0.03,0,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.03,0,0.02,0.02,0,0,0.01,0.02,0.01,0.03,0.01,0.01,0.04,0.03,0.05,0.01,0,0,0,0,0,0.01,0.01,0.03,0.06,0.1,0.07,0.09,0.24,0.25,0.17,0.19,0.13,0.19,0.32,0.29,0.27,0.18,0.1,0.05,-0.01,-0.03,0.02,0.05,0.03,0.05,0.03,0.05,0.01,0,0.04,0.03,-0.06,0,0.08,0.15,-0.08
"25","16","        Other household operation","A176RS",-0.13,-0.22,-0.24,-0.15,0.04,0.06,0.05,0.14,-0.08,0.03,0.05,0.1,0.21,0.27,0.22,0.15,0.09,0.1,0.08,0.04,0.07,0.09,0.11,0.08,0.02,0.02,0.04,0.07,0.07,0.08,0.07,0.02,0.03,0.05,0.04,0.04,0.04,0.06,0.1,0.09,0.09,0.15,0.11,0.09,0.14,0.12,0.17,0.1,0.1,0.08,0.1,0.21,0.2,0.12,0.12,0.09,0.08,0.01,0.04,0.05,0.04,0.09,0.06,0.05,0.06,0.04,0.04,0.03,0.01,0,-0.01,0,0.05
"26","17","      Transportation","A177RS",-0.04,-0.12,-0.17,-0.15,0.06,0.06,-0.01,-0.02,0.01,0.02,-0.04,0.03,0.11,0.05,-0.01,0.02,0.07,0.19,0.18,0.15,0.12,0.11,0.11,0.14,0.08,0,0.01,0.06,0.11,0.09,0.06,0.07,0.02,-0.01,0,0.06,0.06,0.05,0.06,0.11,0.21,0.24,0.08,0.05,0.15,0.12,0.24,0.25,0.13,0.16,0.34,0.21,0.1,0.11,0.07,0.04,0.08,0.14,0.11,0.1,0.11,0.14,0.11,0.09,0.04,0.07,0.04,0.1,0.04,0.01,0.01,0.05,0.05
"27","18","      Medical care","A494RS",0.01,-0.2,-0.34,-0.03,0.12,0.14,0.06,0.07,0.05,-0.01,0.07,0.05,0.12,0.12,0.1,0.08,0.16,0.21,0.11,-0.02,0.02,0.04,0.13,0.15,0.11,0.06,0.05,0.12,0.11,0.09,0.13,0.1,0.09,0.08,0.12,0.13,0.19,0.25,0.3,0.27,0.3,0.27,0.26,0.23,0.43,0.56,0.51,0.57,0.57,0.52,0.67,0.78,0.75,0.55,0.5,0.39,0.26,0.36,0.6,0.69,0.67,0.55,0.59,0.61,0.43,0.41,0.23,0.23,0.25,0.21,0.29,0.37,0.28
"28","19","      Recreation","A490RS",-0.03,-0.09,-0.1,-0.11,0.02,0.03,0.04,0.07,0.03,-0.01,0.01,0.06,0.07,0.09,0.14,0.06,0.11,0.14,0.06,0.02,0.02,0.05,0.04,0.05,0.05,0.04,0.04,0.05,0.05,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.08,0.07,0.07,0.07,0.04,0.05,0.1,0.11,0.07,0.07,0.08,0.1,0.11,0.1,0.08,0.07,0.07,0.07,0.07,0.06,0.07,0.09,0.11,0.1,0.06,0.07,0.04,0.05,0.08,0.07,0.06,0.07,0.09,0.08,0.08
"29","20","      Other","A178RS",-0.24,-0.71,-0.79,-0.44,0.28,0.09,0.21,0.33,-0.06,0.01,0.07,0.27,0.37,0.35,0.31,0.19,0.37,0.47,0.35,0.15,0.17,0.32,0.12,0.25,0.16,0.21,0.31,0.21,0.14,0.21,0.18,0.12,0.17,0.11,0.17,0.16,0.27,0.19,0.33,0.47,0.36,0.31,0.33,0.41,0.83,0.63,0.23,0.37,0.67,0.65,0.81,0.56,0.4,0.47,0.31,0.39,0.49,0.46,0.39,0.28,0.34,0.49,0.5,0.17,0.22,0.36,0.35,0.44,0.28,0.28,0.32,0.19,0.32
"30","21","  Gross private domestic investment","A006RS",-0.58,-0.8,-0.83,-0.28,-0.02,-0.06,0.1,0.85,-0.34,-0.07,0.3,1,1.07,0.22,0.1,0.11,1.08,2.63,1.35,0.19,0.33,1.51,0.31,0.03,0.1,0.22,0.94,0.54,0.05,0.11,0.08,-0.04,0.01,-0.04,0.09,0.26,0.34,0.43,0.58,0.75,0.65,0.76,0.68,0.93,1.7,1.88,0.84,1.26,1.48,1.71,1.71,1.63,0.88,-0.04,0.14,0.19,0.37,0.31,0.38,0.39,0.31,0.21,-0.02,0.2,0.21,0.18,-0.05,-0.03,-0.18,-0.04,0.18,0.19,-0.08
"31","22","    Fixed investment","A007RS",-0.54,-0.79,-0.9,-0.1,0.3,0.03,0.08,0.81,0.13,-0.05,0.26,0.82,0.81,0.19,0.12,0.15,1.03,2.26,1.32,0.31,0.35,1.35,0.35,0.12,0.1,0.24,0.9,0.54,0.06,0.13,0.08,-0.04,0.01,-0.04,0.09,0.26,0.32,0.41,0.58,0.73,0.64,0.75,0.67,0.9,1.59,1.87,0.86,1.23,1.44,1.63,1.68,1.61,0.93,-0.02,0.11,0.22,0.4,0.3,0.41,0.39,0.31,0.21,-0.01,0.2,0.21,0.18,-0.02,-0.01,-0.15,-0.03,0.19,0.19,-0.06
"32","23","      Nonresidential","A008RS",-0.47,-0.56,-0.55,-0.08,0.17,0.06,-0.01,0.61,0.06,-0.07,0.16,0.51,0.64,0.11,0.06,0.1,0.82,1.43,0.86,0.23,0.19,0.9,0.2,0.09,0.08,0.12,0.75,0.52,0.07,0.12,0.04,-0.05,0,0,0.05,0.12,0.16,0.28,0.37,0.44,0.5,0.49,0.35,0.42,1.09,1.48,0.59,0.74,0.78,1.02,1.15,1.27,0.74,-0.11,-0.02,0.1,0.21,0.1,0.26,0.25,0.22,0.17,-0.05,0.05,0.08,0.04,-0.11,-0.12,-0.26,-0.18,0.01,0.02,-0.15
"33","24","        Structures","A009RS",-0.27,-0.35,-0.39,0.02,0.01,0.09,0,0.34,-0.05,-0.03,0.04,0.18,0.23,0.1,0.02,0.06,0.3,0.7,0.39,-0.01,0.04,0.4,0.09,0.07,-0.04,0.07,0.33,0.18,-0.04,0.02,0,-0.02,0.03,0.03,0.05,0.11,0.14,0.12,0.19,0.25,0.25,0.29,0.27,0.3,0.54,0.46,0.18,0.31,0.36,0.48,0.43,0.68,0.42,-0.13,0.04,0.1,0.08,0.06,0.15,0.14,0.11,0.06,0,0.09,0.1,0.11,0.07,0.12,0.1,0.06,0.12,0.15,-0.02
"34","25","        Equipment and software","A010RS",-0.2,-0.2,-0.16,-0.1,0.16,-0.03,-0.01,0.27,0.11,-0.05,0.12,0.33,0.41,0.01,0.04,0.05,0.52,0.72,0.47,0.24,0.15,0.5,0.11,0.02,0.13,0.05,0.42,0.35,0.11,0.1,0.05,-0.03,-0.03,-0.03,0,0.01,0.02,0.15,0.18,0.19,0.25,0.2,0.08,0.12,0.54,1.02,0.41,0.43,0.42,0.54,0.72,0.59,0.32,0.02,-0.05,0,0.13,0.05,0.11,0.11,0.11,0.11,-0.05,-0.04,-0.02,-0.07,-0.18,-0.24,-0.36,-0.24,-0.11,-0.14,-0.13
"35","26","          Information processing equipment and software","A679RS",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.15,0.09,0.02,0.01,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,-0.01,-0.02,-0.04,-0.02,-0.03,-0.07,-0.01,-0.01,0.01,0.02,-0.03,-0.03,0.01,0.04,0.11,0.02,-0.02,-0.08,-0.02,0.02,0.07,0.03,-0.07,-0.12,-0.11,-0.08,-0.08,-0.03,-0.05,-0.06,-0.05,-0.15,-0.1,-0.12,-0.16,-0.28,-0.28,-0.38,-0.28,-0.14,-0.16,-0.14
"36","27","            Computers and peripheral equipment","B935RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01,-0.01,-0.02,-0.04,-0.02,-0.03,-0.08,-0.05,-0.04,-0.02,-0.03,-0.07,-0.06,-0.01,-0.06,-0.02,-0.04,-0.04,-0.14,-0.07,-0.11,-0.07,-0.06,-0.12,-0.16,-0.13,-0.11,-0.12,-0.05,-0.05,-0.07,-0.07,-0.11,-0.11,-0.09,-0.15,-0.25,-0.24,-0.3,-0.26,-0.13,-0.17,-0.11
"37","28","            Software \1\","B985RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.02,0.02,0.01,0.01,0,0.02,0.02,0.02,0.02,0.01,0,0,-0.01,0,0.01,-0.02,-0.01,0.01,-0.06,0,-0.02,0,-0.02,-0.03,-0.04,0.01,0.02,0.03,-0.01
"38","29","            Other","A937RS",-0.05,-0.04,-0.01,-0.02,0.03,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0.15,0.09,0.02,0.01,0.01,0.04,-0.01,0,0.01,0.01,0.02,0.04,0.01,0.01,0,0,0,0.01,0.01,0,0.01,0.03,0.03,0.03,0.04,0.04,0.03,0.02,0.08,0.11,0.06,0.01,0.06,0.04,0.12,0.11,0.08,0.04,0.04,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0,-0.02,-0.01,-0.01,-0.04,-0.03,-0.03,-0.03,-0.02
"39","30","          Industrial equipment","A680RS",-0.07,-0.06,-0.05,0,0.09,0.01,0,0.12,0.01,0,0.05,0.07,0.03,0,0.01,0.01,0.21,0.13,0.15,0.07,0.06,0.2,0.01,0.05,0.03,0.06,0.19,0.15,0.04,0.04,0.03,-0.01,0,0.01,0.01,0.03,0.05,0.09,0.08,0.06,0.1,0.08,0.04,0.05,0.18,0.39,0.16,0.17,0.17,0.21,0.28,0.2,0.1,0.04,0.02,0.03,0.07,0.07,0.07,0.06,0.08,0.05,0.03,0.02,0.03,0.06,0.04,0.01,0.01,0.01,0.01,0.01,0
"40","31","          Transportation equipment","A681RS",-0.09,-0.06,-0.05,-0.08,0.04,-0.02,0.01,0.06,0.08,-0.01,0.04,0.17,0.29,0.01,0.03,0.03,0.05,0.27,0.15,0.1,0.04,0.13,0.1,-0.06,0.07,-0.03,0.17,0.08,0.02,0.03,0,0,-0.02,-0.01,-0.01,0,0,0.03,0.05,0.06,0.08,0.08,0.04,0.02,0.17,0.18,0.11,0.14,0.18,0.18,0.2,0.13,0.07,0.02,0.02,0.05,0.09,0.03,0.02,0.05,0.04,0.06,0.04,0.02,0.05,0.01,0.03,0.01,-0.01,0.02,0.02,-0.01,0
"41","32","          Other equipment","A862RS",0,-0.04,-0.05,0,0.01,-0.02,-0.02,0.08,0.01,-0.03,0.02,0.06,0.07,0.01,0.01,0.01,0.11,0.23,0.16,0.07,0.04,0.14,0.01,0.04,0.02,0.01,0.05,0.08,0.04,0.02,0.02,0,0.01,0.01,0.01,0.01,0.04,0.05,0.06,0.05,0.05,0.07,0.04,0.03,0.15,0.34,0.12,0.15,0.15,0.17,0.22,0.2,0.12,0.04,0.03,0.03,0.05,0.04,0.04,0.06,0.06,0.04,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.02,0.01
"42","33","      Residential","A011RS",-0.07,-0.23,-0.35,-0.02,0.13,-0.02,0.09,0.2,0.07,0.02,0.1,0.31,0.17,0.08,0.06,0.05,0.21,0.83,0.46,0.08,0.15,0.45,0.15,0.04,0.02,0.12,0.15,0.01,-0.01,0.01,0.04,0.01,0.01,-0.04,0.04,0.14,0.16,0.14,0.21,0.29,0.14,0.26,0.32,0.48,0.51,0.38,0.27,0.49,0.66,0.62,0.53,0.34,0.19,0.09,0.13,0.11,0.19,0.19,0.16,0.14,0.09,0.04,0.04,0.15,0.14,0.14,0.08,0.1,0.11,0.16,0.18,0.17,0.09
"43","34","    Change in private inventories","A014RS",-0.04,-0.02,0.06,-0.18,-0.32,-0.09,0.02,0.04,-0.47,-0.02,0.03,0.18,0.26,0.02,-0.02,-0.04,0.05,0.37,0.03,-0.12,-0.01,0.17,-0.04,-0.1,-0.01,-0.02,0.04,0,-0.01,-0.02,0,0,0,-0.01,0,0,0.02,0.02,0,0.02,0.01,0.02,0.01,0.03,0.11,0.01,-0.02,0.02,0.04,0.08,0.03,0.02,-0.05,-0.02,0.03,-0.03,-0.03,0.02,-0.04,0.01,-0.01,-0.01,-0.01,0,0,0,-0.02,-0.02,-0.03,-0.01,-0.01,0,-0.02
"44","35","      Farm","B018RS",0.01,-0.12,-0.17,-0.05,-0.24,-0.1,-0.01,-0.01,-0.46,-0.02,0,0.05,0.14,0.04,-0.02,-0.01,-0.05,-0.09,-0.03,-0.1,-0.02,0.03,-0.05,-0.1,-0.01,-0.02,0.01,-0.02,-0.01,-0.01,0,0,0,-0.01,0,-0.01,0.01,0,-0.01,0,-0.01,0,0,0,-0.07,-0.02,-0.02,-0.02,-0.02,-0.01,-0.01,0,-0.04,-0.02,0,-0.03,-0.02,0,-0.06,-0.01,-0.01,0,-0.01,0,0,0,-0.01,-0.01,0,0,0,0,0
"45","36","      Nonfarm","A015RS",-0.05,0.1,0.23,-0.13,-0.08,0.01,0.03,0.05,0,0,0.03,0.13,0.12,-0.01,0,-0.02,0.1,0.46,0.06,-0.02,0.01,0.13,0.01,0,0,0,0.04,0.01,0,-0.01,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.18,0.03,0,0.04,0.06,0.08,0.04,0.02,0,0.01,0.03,0.01,-0.01,0.01,0.03,0.01,0,-0.01,0,0,0,0,-0.01,-0.01,-0.03,-0.01,-0.01,0,-0.02
