"","Table 3#17# Selected Government Expenditures by Function","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53"
"11","2","General public service","G17002",3.5,3.2,3.4,3.7,3.8,4,4.3,4.8,5.2,5.7,6,6.3,6.7,7.6,8.3,8.6,9.6,11.1,13.2,15.4,17.5,19.9,23.8,26.8,29,32.7,34.9,38.8,43.5,46,49.3,51.9,55.6,61.2,66.2,70.9,73.9,78.8,85.9,91.3,95.9,98.2,103.6,108.3,107.3,119.8,124.6,134.4,145.4,157
"12","3","National defense","A997RC",38.9,41.3,37.1,36.9,38.8,43.2,44.2,42.2,42.8,44.3,48.3,50.1,50.3,52.4,61.4,71.5,79,80.1,78.7,79.3,82.3,82.6,87.5,93.4,97.9,105.8,114.2,125.3,145.3,168.9,193.6,210.6,234.9,254.9,269.3,284.8,294.6,300.5,308.9,321.1,316.9,309.2,301.1,297.5,302.4,304.2,299.7,312,321.4,344.5
"13","4","Public order and safety","G17004",2.4,2.6,2.8,3,3.2,3.5,3.8,4.1,4.5,4.8,5,5.3,5.7,6.1,6.7,7.6,8.7,9.7,11.1,12.6,14.1,15.9,18.1,20.8,22.9,25.2,28.6,31.8,35.5,39.8,44.5,48.7,52.9,58.6,63.9,69.9,76.5,84.5,93.4,101,109.5,115.4,123.7,131.9,141.8,150.5,160.4,173.5,189.2,203.6
"14","5","Economic affairs","G17005",6,8,8,8.6,7.5,8.2,8.8,11.9,10.8,10.8,12.8,14,15.9,17.1,17.6,19.1,21.2,23.2,24.4,26.7,28.5,29.9,34.1,39.8,41.5,45.6,51.1,55.9,64.4,74.1,76.9,82.1,80.3,87.7,94.4,93.6,90.8,100.4,110.2,114.3,121.4,125.2,129.3,133.4,137.5,144.6,145.5,154,167.9,174.7
"15","6","Housing and community services","G17006",0.4,0.4,0.3,0.1,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1.1,1.1,1.1,1.4,1.8,1.8,2,2.1,1.8,1.9,2,2.1,2,2.4,2.9,2.7,2.6,2.9,3.5,4,3.9,3.9,4.4,4.5,5.2,5.8,6.8,6,6.5,7,7.3,7.4,8.4,8.3,8.2
"16","7","Health","G17007",2.6,2.8,2.7,2.9,3.1,3.4,3.5,3.8,4.1,4.5,4.7,5.1,5.4,5.7,6.3,6.9,7.7,8.7,10.2,11.1,12.7,14.3,16.3,18.6,19.4,21.4,23.7,25,28.9,30.9,31.8,33.2,35.8,38.1,39.7,42.9,46.6,49.6,54.2,57.1,58.2,58.7,61.8,60.7,61.8,60.6,61.2,65.5,75.4,81.1
"17","8","Recreation and culture","G17008",0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1,1.1,1.4,1.6,1.7,1.9,2.2,2.4,2.9,3.3,3.6,3.9,4.4,4.8,5.1,5.6,6,6.3,6.8,7.6,8.1,8.4,9.1,9.9,10.8,11.7,12.4,12.7,13.6,14.2,14.6,15.3,16.2,17,18.8,19.5
"18","9","Education","G17009",6.9,7.9,8.7,9.7,10.7,11.5,13.3,14.1,15.8,17.4,19,20.8,23.1,25.5,29.3,33,36.6,41.4,47.8,53.7,59,64.9,72.1,83.1,91.6,99.3,106.8,117.4,128.7,139.7,149.9,158.6,171.7,186,201,215.1,229.6,246.3,266.4,279.3,289,304.5,319.7,336.9,353.6,372.1,393.2,415.2,443.3,468.5
"19","10","Income security","G17010",0.5,0.5,0.6,0.5,0.9,1,1,1.1,1,1.3,1.6,1.6,1.6,2.1,2.4,2.8,2.8,3.3,4,4.6,5.7,6.5,8.2,9,10.3,11.9,12.8,14,15.6,16.6,17.4,19.1,20.5,21.8,22.7,24.2,25.7,28.2,31.4,34.3,38.3,41.4,43.5,44.5,45.8,48.9,53.1,56.2,61.6,65
"20","11","      Federal","A957RC",44.2,48.3,44,43.9,45.1,49.5,50.9,52,51.5,53.2,59.5,62.4,64.2,67.4,77.2,88.3,97,100,100.4,103.7,109.9,111.6,120.4,131.2,138,151.3,164.3,180,209,239.9,265.3,288,312,339,358.3,374.6,382.8,399.6,419.9,439.1,445.8,442.6,439.7,439.2,445.3,456.9,453.1,471.6,493.3,528.4
"21","12","General public service","G17012",1.8,1.6,1.4,1.6,1.6,1.4,1.5,1.7,1.9,2,2.2,2.3,2.3,2.7,2.7,2.4,2.4,3,3.8,4.8,5.3,5.8,7.1,7.4,7.6,8.5,8.9,10.4,11.8,11.9,13,12.5,12.9,14.2,14.7,16.6,16.9,17.5,20.7,22.3,23.4,22.7,23.7,25.7,22.8,26,25.5,26.9,26.4,31.6
"22","13","National defense","A997RC",38.9,41.3,37.1,36.9,38.8,43.2,44.2,42.2,42.8,44.3,48.3,50.1,50.3,52.4,61.4,71.5,79,80.1,78.7,79.3,82.3,82.6,87.5,93.4,97.9,105.8,114.2,125.3,145.3,168.9,193.6,210.6,234.9,254.9,269.3,284.8,294.6,300.5,308.9,321.1,316.9,309.2,301.1,297.5,302.4,304.2,299.7,312,321.4,344.5
"23","14","Public order and safety","G17014",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.9,1.2,1.3,1.5,1.8,2.1,2.3,2.5,2.8,3.1,3.3,3.5,4.1,4.5,4.9,5.2,5.9,7.3,8.3,8.9,9.7,11,11.2,12.3,13.1,14.6,15.7,16.5,18.9,20.6,21.9
"24","15","Economic affairs","G17015",2,4,4,4.2,2.7,2.8,3.2,5.8,4.4,4.1,5.7,6.5,7.9,8.4,8.2,8.9,10.1,11,10.9,11.8,12.6,12.3,13.2,16.3,17,19.8,22.8,24.8,29.1,34.7,34.1,37.9,34.4,38.5,41.8,38.6,33.6,40.5,46.4,47.2,51.2,52.3,53.4,53.8,54.6,57.6,55.6,57.8,63.5,64.8
"25","16","Housing and community services","G17016",0,0,0,-0.3,0,0,0.1,0,0.1,0.2,0.2,0.3,0.2,0.2,0.3,0.4,0.2,0.2,0.4,0.7,0.6,0.7,0.6,0.2,0.2,0.2,0.1,-0.1,0,0.3,0.1,0,0.3,0.7,1,0.7,0.3,0.4,-0.1,0.2,0.7,1.8,0.8,1.3,1.5,1.5,1.4,2.1,1.3,1.2
"26","17","Health","G17017",1,1,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.6,1.7,1.9,1.9,2.3,2.6,2.9,3.1,3.7,3.9,5.1,6,6.6,7.8,8.5,9.1,10.2,10.8,12.8,13.9,14.2,16.2,17.7,18.5,19.3,20.6,22.6,24.3,26.4,29.1,31.2,33.3,36.5,36.5,37.3,38.4,39.8,39.9,44.6,48.2
"27","18","Recreation and culture","G17018",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.8,1,1,1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.3,1.3,1.4,1.6,1.7,1.8,1.9,2,1.9,2.4,2.3,2.3,2.7,2.6
"28","19","Education","G17019",0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.7,0.8,0.8,0.7,0.8,0.9,0.9,0.9,0.8,1,1,1.1,1.1,1.2,1.3,1.5,1.5,1.7,1.9,1.9,2,2.1,2.1,2.3,2.5,2.8,2.9,3,3.6,3.9,4.6,4.5,5.1,4.8,5.2,5.9
"29","20","Income security","G17020",0.1,0.2,0.2,0.2,0.5,0.5,0.5,0.4,0.3,0.6,0.8,0.7,0.6,0.9,1,1.1,0.8,0.9,1,1,1.4,1.5,2.4,2.4,2.8,3.5,3.5,3.8,4.5,4.3,4.3,4.1,4.4,4.2,3.8,4.1,4,4.4,4.7,5.2,6.6,7.2,6.4,5.5,5.6,6.6,7.4,6.9,7.7,7.8
"30","21","      State and local","A991RC",17.4,18.5,20,21.9,23.8,26.2,29,31.1,34,37,39.4,42.4,46.3,50.8,56.8,63.2,71.1,80.2,92,103.4,113.8,126.9,144.5,165.4,180.1,196.5,214.3,235,260.5,284.6,306.8,325.1,349.5,380.5,410.8,439,467.9,503,545.8,576.1,601.6,629.5,662.6,694.7,726.5,766.4,808.3,864.7,937.9,993.7
"31","22","General public service","G17022",1.7,1.7,1.9,2.1,2.2,2.6,2.9,3.1,3.3,3.7,3.9,4,4.4,4.9,5.6,6.1,7.2,8.1,9.4,10.6,12.2,14.2,16.6,19.4,21.3,24.1,26,28.4,31.7,34.1,36.3,39.4,42.8,47,51.4,54.3,57,61.2,65.2,68.9,72.5,75.6,79.9,82.6,84.5,93.8,99.2,107.5,119,125.5
"32","23","Public order and safety","G17023",2.2,2.4,2.6,2.8,3,3.3,3.6,3.8,4.2,4.5,4.7,5,5.4,5.8,6.3,7.1,8.2,9,10.3,11.7,13,14.6,16.6,18.9,20.9,22.9,26.1,29,32.4,36.6,41.1,44.7,48.4,53.7,58.6,63.9,69.2,76.2,84.5,91.4,98.5,104.2,111.4,118.8,127.2,134.8,144,154.6,168.6,181.7
"33","24","Economic affairs","G17024",4,4,4.1,4.4,4.7,5.4,5.7,6,6.4,6.7,7.1,7.5,8,8.6,9.4,10.2,11,12.2,13.5,14.8,15.9,17.6,20.8,23.5,24.5,25.8,28.3,31.1,35.3,39.4,42.8,44.2,46,49.2,52.6,54.9,57.2,59.9,63.8,67.1,70.1,72.8,75.9,79.6,82.9,87,89.9,96.2,104.3,109.9
"34","25","Housing and community services","G17025",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.9,0.9,1,1.1,1.2,1.3,1.4,1.6,1.7,1.8,2,2.1,2.4,2.6,2.6,2.6,2.6,2.8,3,3.1,3.6,4,4.5,5,5.1,5,5.2,5.3,5.5,5.8,6,6.4,7,7
"35","26","Health","G17026",1.6,1.8,1.9,2,2.2,2.4,2.5,2.6,2.8,3.1,3.1,3.3,3.5,3.8,4,4.3,4.8,5.5,6.5,7.3,7.6,8.3,9.7,10.8,11,12.3,13.5,14.2,16.1,17.1,17.6,17,18.1,19.6,20.4,22.3,24,25.3,27.8,28,26.9,25.4,25.3,24.3,24.4,22.2,21.5,25.6,30.8,33
"36","27","Recreation and culture","G17027",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.3,1.4,1.5,1.7,1.9,2.2,2.6,2.7,3,3.4,3.7,4.1,4.5,4.9,5.3,5.7,6.5,7,7.3,7.8,8.6,9.4,10.1,10.7,10.9,11.7,12.2,12.7,13,13.9,14.7,16.1,16.8
"37","28","Education","G17028",6.8,7.7,8.5,9.6,10.6,11.4,13.1,13.9,15.6,17.2,18.7,20.5,22.7,25.1,28.6,32.1,35.8,40.7,46.9,52.7,58.1,63.9,71.3,82.1,90.5,98.2,105.7,116.3,127.4,138.2,148.4,156.9,169.7,184.2,199,213.1,227.4,244,263.9,276.4,286.1,301.4,316.1,332.9,349,367.5,388.2,410.5,438.1,462.6
"38","29","Income security","G17029",0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.9,1,1.2,1.4,1.7,2,2.4,3,3.6,4.2,5,5.8,6.6,7.5,8.4,9.3,10.2,11.2,12.3,13.1,15,16.2,17.6,18.8,20.1,21.7,23.8,26.7,29.1,31.7,34.1,37,39,40.2,42.3,45.7,49.4,53.9,57.3
"39",NA,"Transfer payments  (net):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","30","      Government","A084RC",13.1,13.7,15.6,16.8,17.5,20,24.1,24.7,26.3,30.2,30.9,32.4,33.4,36,39.7,47.5,54.9,60.6,73.5,87.5,97,110.5,131.5,166.4,180.4,192,206.1,230.2,275,311.8,348.5,376.4,387.4,414.2,440.4,458,486.5,529.6,583.1,620.1,745.4,793.2,825.4,869.9,916,945,965.9,998.5,1050.8,1146.6
"41","31","General public service","G17031",2.6,2.4,2.1,2.4,2,1.9,2,1.8,1.8,2.1,2,1.9,2,1.9,2,1.9,1.7,1.6,1.8,2.3,2.4,2.2,3,3.4,3.6,3.1,3.1,3.2,4.2,3.9,5.3,6.3,8.3,10.3,11.2,9.4,9.7,9.5,9.1,-29.4,16.5,16.5,14.6,9,13,9.9,10.1,10.6,13,8.7
"42","32","Public order and safety","G17032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2
"43","33","Economic affairs","G17033",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.6,0.7,1.1,1.2,2.4,2.3,2.5,2.1,1.6,1.5,1.3,1.4,1.5,1.4,1.5,1.5,1.5,1.5,1.8,1.7,1.7,1.8,1.6,1.7,1.7,1.7,1.7,2.1
"44","34","Housing and community services","G17034",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.5,0.2,0.2,0,0,0,0
"45","35","Health","G17035",1,1,1,0.9,0.9,1,1.2,1.3,1.4,1.8,1.9,2.2,2.2,2.5,4.1,8.4,11,12.6,14.3,16.4,18.7,21.5,26.1,31.9,36.4,41.4,46.6,53.7,63.5,75.7,86.2,96.6,105.1,116.6,126.9,138,148.5,168.3,192.2,226.7,260.7,288.1,311.8,341.1,365.1,383.1,389.5,403.7,427.5,480.8
"46","36","Recreation and culture","G17036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5
"47","37","Education","G17037",0.8,0.6,0.6,0.7,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.7,1.2,1.6,1.9,2.7,3.5,4.3,4.9,5.8,8.3,8.1,7.6,7.8,8.2,9.3,10.3,9.7,10.5,10.5,11,10.9,11.2,11.8,14.1,14.4,15.1,16.7,19.1,19.8,21.8,21.8,25,25.5,26.5,26.9,30.7
"48","38","Income security","G17038",8.7,9.8,11.9,12.7,13.7,16.2,20.2,21,22.6,25.8,26.7,27.9,28.8,31,32.6,35.7,40.3,44,54.2,64.7,71.1,81.4,95.8,121.9,130.9,138.4,145.7,162.4,195.1,219.2,245.3,261.2,261.5,274.4,289.1,297.2,314.2,335.6,365.1,405.5,449,467.3,476.9,495.3,513.8,524.6,538.6,555.5,581.1,623.7
"49","39","      Federal","A086RC",10.2,10.7,12.5,13.6,14.2,16.4,20,20.4,21.7,25.2,25.6,26.7,27.2,29.3,32,38.3,43.5,47.4,57.4,68.2,75.1,86.4,106.2,135.6,146.3,155,165.3,185.9,223.8,254.7,287.3,309.5,316.2,336.9,356,367.2,387.9,420.1,455.3,463.4,565.2,597.9,618.6,652.1,691.6,717.5,730.6,745.8,779.5,842.2
"50","40","General public service","G17040",2.5,2.3,2.1,2.3,2,1.8,1.9,1.8,1.8,2,2,1.9,1.9,1.9,1.9,1.8,1.6,1.5,1.7,2.2,2.3,2,2.7,3.3,3.5,3,3.1,3.2,4.1,3.9,5,5.9,8.1,10,10.8,8.9,9.1,8.9,8.4,-30.1,15.8,15.7,13.8,8.2,12.1,8.9,9,9.4,11.6,7.4
"51","41","Public order and safety","G17041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","42","Economic affairs","G17042",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.5,0.5,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6
"53","43","Housing and community services","G17043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0,0,0.1,0.3,0.4,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.5,0.2,0.2,0,0,0,0
"54","44","Health","G17044",0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.9,1.1,0.9,1.1,1,1,2.1,5.6,6.9,8,8.7,9.5,10.4,11.7,14.5,17.5,20.4,23.9,27.1,31.7,38.3,46.2,53.9,60.5,66,73.9,79.8,86.4,91.5,103.1,113.7,124.3,138.6,152.6,166.6,185.7,201.2,214.5,214.2,213.6,221.7,245.8
"55","45","Recreation and culture","G17045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.2,0.8,0.3,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.4,0.5
"56","46","Education","G17046",0.8,0.5,0.5,0.7,0.8,0.7,0.7,0.5,0.4,0.3,0.2,0.2,0.1,0.2,0.4,0.8,1,1.3,2,2.5,3.2,3.7,4.5,6.7,6.4,5.7,5.7,6,6.9,7.7,7,7.6,7.3,7.4,7.1,7.1,7.6,9.4,9.1,9.4,10.6,12.4,12.2,13,12.8,15.9,15.6,15.9,15.6,18.5
"57","47","Income security","G17047",6.1,7.1,9.1,9.9,10.7,13,16.7,17.3,18.7,21.8,22.5,23.5,24.1,26.1,27.4,29.7,33.6,36.2,44.6,53.3,58.6,68.4,83.8,107.7,115.4,121.7,128.5,144,173.2,195.6,220.6,234.7,233.5,244.6,257.1,263.5,278.3,297.7,322.8,358.6,398.9,415.9,424.8,443.5,464.4,477,490.8,505.7,529.5,569.4
"58","48","      State and local","B109RC",2.9,3,3.1,3.3,3.3,3.6,4,4.3,4.6,5,5.3,5.7,6.2,6.7,7.6,9.2,11.4,13.2,16.1,19.3,22,24.1,25.3,30.8,34.1,37,40.8,44.3,51.2,57.1,61.2,66.9,71.2,77.3,84.4,90.8,98.6,109.5,127.8,156.6,180.1,195.4,206.9,217.8,224.3,227.5,235.3,252.7,271.3,304.4
"59","49","General public service","G17049",0.1,0.1,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0,0,0,0,0,0,0.4,0.4,0.2,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1,1.1,1.3,1.4,1.3
"60","50","Public order and safety","G17050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"61","51","Economic affairs","G17051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.9,0.9,1.9,1.7,1.7,1.4,1.1,1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.1,1.1,0.9,1,1.1,1,1.2,1.4
"62","52","Health","G17052",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.7,1,1.1,1.3,1.5,2,2.8,4.1,4.7,5.6,6.9,8.4,9.8,11.6,14.4,16,17.5,19.5,22,25.1,29.4,32.3,36.2,39,42.7,47.1,51.6,57,65.2,78.5,102.4,122.1,135.5,145.2,155.3,164,168.6,175.3,190,205.7,235
"63","53","Education","G17053",0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1,1.1,1.2,1.3,1.6,1.7,1.9,2.1,2.2,2.4,2.6,2.7,2.9,3.1,3.5,3.9,4,4.2,4.6,5.3,5.7,6,6.6,7.6,8.7,9.1,9.1,9.8,10.5,11.3,12.2
"64","54","Income security","G17054",2.6,2.7,2.8,2.9,3,3.2,3.5,3.7,3.8,4,4.2,4.4,4.7,4.9,5.3,6,6.8,7.9,9.7,11.4,12.4,13,12,14.1,15.5,16.7,17.2,18.4,21.9,23.6,24.7,26.5,28,29.8,32,33.7,35.9,38,42.4,46.9,50.1,51.4,52.1,51.8,49.4,47.7,47.9,49.7,51.6,54.3
"65",NA,"Grants-in-aid to State and local governments:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","55","      Federal \2\","B089RC",2.2,2.3,2.3,2.4,2.5,2.9,3.3,3.8,4,4.5,5,5.6,6.5,7.2,10.1,11.7,12.7,14.6,19.3,23.2,31.7,34.8,36.3,45.1,50.7,56.6,65.5,66.3,72.3,72.5,69.5,71.6,76.7,80.9,87.6,83.9,91.6,98.3,111.4,131.6,149.1,162.6,174.5,184.5,190.4,196.8,210.3,231,247.5,277.4
"67","56","General public service","G17056",0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,2.9,7.4,6.5,6.5,7.6,8.6,8.3,7.2,7.2,4.9,5.2,5.3,5,5.1,6.5,0.8,1,0.6,0.7,0.9,0.8,0.9,1,0.9,1.9,2.1,1.8,1.3,0.7,0.8
"68","57","National defense","G17057",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.8,1,1.1,1.2,1.2,1.5,1.7,1.9,1.9,1.9,2.1,2.6,2.9,2.8,3,2.8,2.7,2.8,2.9,3.1,3.2,3.2,3.2
"69","58","Public order and safety","G17058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.4,0.5,0.6,0.7,0.7,0.6,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.3,0.4,0.5,0.4,0.4,0.4,0.7,1.1,1.1,1.2,1.2,1.2,2.2,2.8,4.6,5.7,6.6
"70","59","Economic affairs","G17059",0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.7,0.8,1,1.4,1.6,1.8,2.4,3.5,3.8,3.7,6.4,7.6,9.3,15.1,12.8,11.6,9.9,6.9,7,7,7.1,7.3,7.2,7.5,7.7,8.2,8.3,8.1,8.1,8.8,8.9,8.5,8.7,8.5,8.6,9.4,10.1
