"","Table 6#17A# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"41","34","      Rubber products","B3034C0A",23,-45,-20,-24,8,-1,16,40,26,17,59,64,155,179,287,292,242,308,209,234
"42","35","      Leather and leather products","B3035C0A",52,-12,-19,-23,47,28,51,50,26,11,48,44,102,140,157,143,139,236,222,139
"43","36","  Transportation and public utilities","E567RC0A",1840,1108,489,177,201,419,465,726,846,535,1017,1352,2087,3491,4457,3903,2789,2090,2556,3263
"44","37","    Transportation","C512RC0A",1014,429,-92,-304,-213,-152,-86,90,67,-178,163,336,912,2112,2905,2361,1326,565,1182,1665
"45","38","      Railroad transportation","B3038C0A",773,278,-159,-333,-280,-259,-190,-50,-68,-256,-17,77,513,1595,2298,1791,876,103,709,1155
"46","39","      Local and interurban passenger transit","B3039C0A",51,42,1,-12,-1,-5,-28,3,-21,-52,-33,6,27,182,285,252,201,159,69,80
"47","40","      Trucking and warehousing","B3040C0A",43,29,19,12,19,21,24,24,22,31,51,35,59,80,71,65,50,109,138,179
"48","41","      Water transportation","B3041C0A",54,21,6,-6,15,22,34,41,49,18,52,90,155,107,99,89,79,122,172,135
"49","42","      Transportation by air","B3042C0A",-6,-19,-9,-2,-2,-6,-3,0,-2,-1,8,12,20,34,34,41,34,-20,-37,2
"50","43","      Pipelines, except natural gas","B3043C0A",86,68,41,30,24,68,69,66,80,72,86,84,93,58,60,63,45,42,56,64
"51","44","      Transportation services","B3044C0A",13,10,9,7,12,7,8,6,7,10,16,32,45,56,58,60,41,50,75,50
"52","45","    Communication","C513RC0A",308,253,236,165,137,161,186,209,226,217,273,290,320,451,533,581,530,394,282,439
"53","46","      Telephone and telegraph","B3046C0A",286,256,238,164,139,152,173,189,204,201,252,261,285,419,481,511,466,334,227,393
"54","47","      Radio and television broadcasting","B3047C0A",22,-3,-2,1,-2,9,13,20,22,16,21,29,35,32,52,70,64,60,55,46
"55","48","    Electric, gas, and sanitary services","C514RC0A",518,426,345,316,277,410,365,427,553,496,581,726,855,928,1019,961,933,1131,1092,1159
"56","49","      Utilities: electric and gas","B3078C0A",483,397,327,291,241,379,334,403,527,478,557,699,824,900,970,921,901,1104,1030,NA
"57","50","      Local utilities and public services, n.e.c.","B3079C0A",35,29,18,25,36,31,31,24,26,18,24,27,31,28,49,40,32,27,62,NA
"58","51","  Wholesale trade","C510RC0A",405,52,-87,-148,163,321,344,526,448,236,435,568,1105,1166,1283,1304,1315,2489,2740,2477
"59","52","  Retail trade and automobile services","C511RC0A",647,207,-42,-273,155,424,487,677,618,393,618,770,1313,1650,1962,2034,2164,3255,3574,3498
"60","53","  Finance, insurance, and real estate","A3051C0A",1760,771,473,361,463,236,318,779,804,966,990,1161,1363,1501,1716,2057,2122,2756,2592,3394
"61","54","    Banking","A3052C0A",1003,796,675,576,536,422,466,529,570,549,569,630,703,689,869,1066,1208,1387,1346,1593
"62","55","    Security and commodity brokers, and services","B3056C0A",223,-178,-212,-43,-93,7,-11,32,-49,-9,14,4,2,-3,15,21,39,26,5,6
"63","56","    Credit agencies (other than banks) and holding and other investment companies","B3055C0A",154,-31,-48,-55,-79,-127,-86,-51,-15,-15,2,101,178,213,156,142,148,207,278,376
"64","57","    Insurance carriers","B3057C0A",237,137,140,181,426,237,189,362,341,423,372,355,312,428,417,490,353,525,246,702
"65","58","    Insurance agents, brokers, and service","B3058C0A",34,26,27,28,22,26,23,23,22,22,24,27,36,31,26,27,24,48,65,69
"66","59","    Real estate","B3059C0A",109,21,-109,-326,-349,-329,-263,-116,-65,-4,9,44,132,143,233,311,350,563,652,648
"67","60","  Services","A3061C0A",184,135,4,-127,-64,42,56,88,93,64,95,126,207,353,565,573,587,784,701,633
"68","61","    Hotels and other lodging places","B3062C0A",12,-3,-23,-33,-30,-22,-22,-23,-21,-28,-20,-7,1,35,95,101,109,133,121,124
"69","62","    Personal services","B3063C0A",34,28,16,4,13,23,24,27,25,13,18,21,30,45,56,62,56,74,82,73
"70","63","    Business services","B3064C0A",56,49,20,8,8,30,31,35,36,31,41,41,56,56,70,79,88,115,130,135
"71","64","    Miscellaneous repair services","B3066C0A",6,5,2,2,2,5,3,5,4,2,2,3,8,12,13,13,7,8,14,36
"72","65","    Motion pictures","B3067C0A",59,51,2,-83,-40,2,13,29,33,39,41,53,82,157,256,247,239,306,225,140
"73","66","    Amusement and recreation services","B3068C0A",7,-3,-13,-21,-14,1,4,10,11,5,9,10,19,19,35,43,71,94,65,62
"74","67","    Other services","A3069C0A",10,8,0,-4,-3,3,3,5,5,2,4,5,11,29,40,28,17,54,64,63
"75","68","      Health services","B3070C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","69","      Legal services","B3071C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","70","      Educational services, n.e.c.","B3072C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","71","      Social services and membership organizations","B3073C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","72","Rest of the world \1\","B394RC0A",232,137,-4,-34,-2,60,159,104,272,301,324,266,391,378,372,423,342,691,986,1261
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," n.e.c Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82"," 1. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","corporations and persons, of dividends from their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","foreign affiliates, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","foreign affiliates, net of corresponding payments.  Receipts by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","U.S. residents of their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","incorporated foreign affiliates are not included from 1930 to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","1936; corresponding payments are not included from 1930 to 1939.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90"," 2. Included in anthracite mining (line 8).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91"," 3. Included in lumber and basic timber products (line 15).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92"," 4. Included with iron and steel and their products, including ordnance (line 18).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
