"","Table 2#2# Personal Consumption Expenditures by Major Type of Pr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"17","10","    Gasoline and oil","C170RC",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,87.7,97,107.3,102.5,104.9,106.6,109,113.3,124.2,128.1,114.8,129.3,164.4,162.1,158.5
"18","11","    Fuel oil and coal","A171RC",1.6,1.5,1.3,1.1,1.2,1.3,1.3,1.4,1.4,1.3,1.4,1.5,1.7,1.9,2,2,2.2,2.5,3,3.4,3.1,3.4,3.5,3.5,3.4,3.5,3.8,3.9,4.1,4.2,4,3.8,3.8,3.8,4,4.1,4.4,4.7,4.8,4.7,4.6,4.4,4.6,5.1,6.3,7.8,8.4,10.1,11.1,11.5,14.4,15.4,15.8,14.5,13.6,13.9,13.6,11.3,11.2,11.7,11.9,12.9,12.4,12.2,12.9,13.5,14.1,15.6,15.1,13.1,13.6,18.1,16.5,15
"19","12","  Other","A172RC",5.4,4.7,4.4,3.7,3.5,3.9,4.1,4.5,4.9,4.9,5.3,5.6,6.4,7.5,8.7,9.6,10.8,11.3,12.8,14.1,14.7,15.8,17.6,18.4,19.4,19.3,20.4,21.7,23.2,24.2,26.1,27.7,29.2,31.4,33.1,35,37.6,41.4,43.5,47,50.2,54.1,56.4,60.8,66.6,72.7,78.5,86,92.4,104.7,118,130.6,144.5,155.2,169.8,186.3,198.2,211.9,229.1,244.5,265.7,285,297.8,314.7,326.8,346.6,366.4,389.8,414.5,443.3,487.4,521.8,555,587.8
"20","13","Services","B005RC",30.5,29,26.3,22.4,20.2,20.5,21.5,23,24.7,24.6,25.4,26.4,28.5,31.3,34.6,37.4,40,45.8,51,55.9,58.9,63.7,69.6,75.6,82.9,88.9,95.4,102.9,109.9,117.4,127,136.1,144.3,154.1,163.4,176.4,189.5,204.7,221.2,242.3,266.4,292,320,352.3,385.9,425.5,476.1,532.6,600,678.4,757.4,852.7,954,1051.5,1174,1286.9,1420.6,1535.4,1670.3,1823.5,1963.5,2117.8,2249.4,2415.9,2566.1,2717.6,2882,3047,3245.2,3454.3,3660.5,3906.9,4109.9,4316.8
"21","14","  Housing","A174RC",11.7,11.2,10.5,9.2,8.1,7.8,7.9,8.2,8.8,9.2,9.4,9.7,10.4,11.2,11.8,12.3,12.8,14.2,16,17.9,19.6,21.7,24.3,27,29.9,32.3,34.4,36.7,39.3,42,45,48.2,51.2,54.7,58,61.4,65.4,69.5,74.1,79.7,86.8,94,102.7,112.1,122.7,134.1,147,161.5,179.5,201.7,226.5,255.1,287.7,313,338.7,370.3,406.8,442,476.4,511.9,546.4,585.6,616,641.3,666.5,704.7,740.8,772.5,810.5,859.7,912.6,960,1014.5,1071.5
"22","15","  Household operation","A186RC",4,3.9,3.5,3.1,2.8,3,3.2,3.4,3.7,3.6,3.8,4,4.3,4.8,5.2,5.9,6.4,6.8,7.5,8.1,8.6,9.5,10.4,11.2,12.1,12.7,14.2,15.4,16.4,17.5,18.7,20.3,21.2,22.4,23.6,25,26.5,28.2,30.2,32.4,35.2,37.9,41.3,45.7,50.2,56,64.3,73.1,82.7,92.1,101,114.2,127.3,143,157.6,169.8,182.2,188.9,196.9,208.4,221.3,227.6,238.6,248.3,268.9,284,298.1,317.3,333,345.6,360.4,386.2,406.3,405.2
"23","16","    Electricity and gas","A175RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,2.3,2.6,2.9,3.3,3.7,4.1,4.5,5,5.5,6.1,6.5,7.1,7.6,8.3,8.8,9.4,9.9,10.4,10.9,11.5,12.2,13,14.1,15.3,16.9,18.8,20.4,24,29.2,33.2,38.5,43,47.8,57.5,64.8,74.2,82.4,86.5,90.8,89.2,90.9,96.3,101,101,107.4,108.9,118.6,119.8,122.5,128.7,130.4,128.9,129.9,142.4,154.5,148.2
"24","17","    Other household operation","A176RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5.1,5.5,5.6,6.2,6.7,7.1,7.6,7.7,8.6,9.3,9.9,10.4,11.1,12,12.4,13,13.8,14.6,15.7,16.7,18,19.4,21.1,22.6,24.4,26.9,29.8,32,35.2,40,44.3,49.1,53.2,56.7,62.5,68.8,75.2,83.3,91.4,99.7,106,112.2,120.2,126.5,131.2,139.4,150.4,164.2,175.6,188.5,202.7,216.7,230.4,243.9,251.8,257
"25","18","  Transportation","A177RC",2.6,2.2,1.9,1.6,1.5,1.6,1.7,1.9,2,1.9,2,2.1,2.4,2.7,3.4,3.7,4,5,5.3,5.8,5.9,6.2,6.8,7.3,8,8.2,8.5,8.9,9.4,9.7,10.5,11.2,11.7,12.2,12.7,13.4,14.5,15.9,17.3,18.9,20.9,23.7,27.1,29.8,31.2,33.3,35.7,41.3,49.2,53.5,59.1,64.7,68.7,70.9,79.4,90,100,107.3,118.2,129.9,136.6,141.8,142.8,155,166.2,180.9,197.7,214.2,234.4,246.3,259.4,267.8,271.4,275.8
"26","19","  Medical care","A494RC",2.4,2.3,2.1,1.7,1.6,1.7,1.8,2,2.1,2.1,2.2,2.3,2.5,2.8,3,3.5,3.7,4.7,5.7,6.6,6.7,7.2,7.7,8.6,9.6,10.6,11.3,12.2,13.4,14.8,16.4,17.6,18.7,20.8,22.6,25.8,27.9,30.7,33.9,39.2,44.8,50.4,56.9,63.9,71.5,80.4,93.4,106.5,122.6,140,158.1,181.2,213,239.3,267.9,294.6,322.5,346.8,381.8,429.9,479.2,540.6,591,652.6,700.6,737.3,780.7,814.4,854.6,899,937.2,991.8,1072.2,1148.5
"27","20","  Recreation","A490RC",1.7,1.7,1.6,1.2,1.1,1.2,1.3,1.4,1.6,1.5,1.6,1.7,1.9,2.1,2.4,2.7,3,3.7,3.8,3.8,3.8,3.9,4,4.3,4.5,4.8,5.2,5.6,5.6,5.8,6.4,6.9,7.5,8,8.5,9.1,9.6,10.4,11.1,12.5,13.8,15.1,16.3,17.6,19.7,22.5,25.4,28.4,31.4,34.5,38.3,42.8,49.3,54.9,61.7,67.9,75.6,81.5,87.7,99,110.1,120.8,126.4,139.1,151.2,160,176,191.1,206.2,221,237.6,255.5,271.9,285.1
"28","21","  Other","A178RC",8.2,7.7,6.7,5.6,5.2,5.2,5.6,6.1,6.6,6.4,6.4,6.5,7.1,7.6,8.7,9.4,10,11.4,12.7,13.8,14.2,15.2,16.3,17.3,18.8,20.3,22,24.1,25.8,27.6,29.9,32,34,35.9,37.9,41.6,45.5,50,54.7,59.6,64.9,70.9,75.7,83.3,90.5,99.1,110.3,121.7,134.6,156.7,174.5,194.6,208,230.4,268.9,294.4,333.6,368.9,409.3,444.4,469.9,501.5,534.5,579.5,612.6,650.7,688.7,737.5,806.5,882.6,953.4,1045.5,1073.6,1130.7
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","22","  Energy goods and services \1\","BA02RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,9.3,10.9,11.3,12.2,13.4,14.3,15.4,16.4,17.9,19.4,20.8,21.8,23,24.2,24.6,25.8,26.8,28.1,30.1,32.2,34.1,36.3,39.1,41.7,44.6,48.2,54.8,68,77.3,86.4,96.4,104.6,128.4,159.6,178.5,182.8,189.1,194.9,201.5,180.6,187.5,195.6,209.9,221.2,222.2,225.9,238,242.3,249.9,268.5,273.6,256.8,272.8,324.8,333,321.6
"31","23","  Personal consumption expenditures less food and energy","BA03RC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9,100.6,110.3,115.1,126.6,134.6,141.2,152.7,157.3,172.5,181.1,191.1,196.9,214.5,225.8,234.1,251.9,268,290.1,313.5,340.2,362.1,400.2,434.9,463.5,508.1,561.1,618.1,662.6,729.8,820.9,919.3,1036.2,1143.2,1247.3,1382.2,1493.2,1673.6,1856.1,2043.4,2222.5,2402.6,2607.4,2794.8,2973.4,3091.4,3314.4,3518.8,3746,3963.3,4183.1,4443.5,4746.7,5074.8,5403.9,5661.6,5952.7
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33"," 1. Consists of gasoline, fuel oil, and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
