"","Table 9#1U# Reconciliation of Percent Change in the CPI with Per","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56"
"11","3","    Gasoline and other motor fuel","W903RV2",0.02,-0.08,-0.02,-0.04,-0.14,0.13,-0.09,-0.02,-0.04,-0.01,-0.02,-0.09,0.01,-0.01,-0.33,0.04,0.02,-0.07,-0.07,0.15,-0.05,-0.13,-0.02,-0.12,-0.05,-0.09,-0.12,0.4,0.07,-0.06,-0.1,-0.06,0,0.02,-0.01,-0.05,-0.07,-0.09,0,0.02,-0.03,0.03,-0.02,-0.03,0.04,0.06,-0.04,0.02,0,-0.01,0.01,0.06,0.09
"12","4","    Personal computers and peripheral equipment","W904RV2",-0.06,-0.03,-0.04,-0.07,-0.04,-0.06,-0.08,-0.03,-0.01,-0.01,-0.03,-0.05,-0.04,-0.03,-0.04,-0.04,-0.03,-0.03,-0.01,-0.01,-0.02,-0.02,-0.03,-0.04,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.04,-0.01,0,-0.01,0,-0.01,-0.02,-0.02,-0.03,-0.02,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,-0.01,-0.01,-0.01,0,-0.01,-0.02,-0.02
"13","5","    Video and audio equipment","W905RV2",-0.01,-0.02,-0.03,-0.02,-0.03,-0.03,-0.04,-0.02,-0.02,-0.03,-0.03,-0.02,-0.04,-0.03,-0.04,-0.06,-0.02,-0.04,-0.06,-0.09,-0.07,-0.07,-0.07,-0.03,-0.04,-0.04,-0.04,-0.06,-0.07,-0.06,-0.08,-0.1,-0.05,-0.03,-0.03,-0.04,-0.04,-0.04,-0.04,-0.05,-0.03,-0.04,-0.03,-0.03,-0.03,-0.03,-0.03,-0.03,-0.01,-0.01,-0.03,-0.03,-0.02
"14","6","    Tobacco","W906RV2",0,-0.03,-0.03,0.01,0,0.01,-0.01,0,0,0,-0.01,0,-0.01,0,-0.01,0,0,0,0,0,-0.01,0,0,-0.01,-0.01,0,-0.01,0,-0.01,-0.08,-0.02,-0.01,0,-0.01,-0.02,0,-0.01,0,-0.01,-0.01,0,0,-0.01,0,0,0,-0.01,0,0,0,0,-0.01,0
"15","7","    Health care","W907RV2",0,0.01,0.02,0.03,0.01,0.03,0.02,0.01,-0.01,-0.01,-0.01,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,0,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,-0.01,0,0,0,0,0,0,-0.01
"16","8","    Electricity, gas, fuel oil, and other household fuels","W908RV2",0.02,-0.01,0,-0.01,-0.06,0.02,0,0.01,0,-0.01,-0.02,-0.03,-0.01,-0.02,-0.08,-0.12,0.02,0.04,0,0.02,-0.02,-0.03,0,-0.07,-0.03,-0.09,-0.02,0.08,0,-0.01,0,-0.01,0.01,0,0,0,-0.01,-0.01,0.01,0,0,0.02,0.01,-0.02,-0.01,0.03,0,-0.01,0.01,0.01,0,0.01,0.01
"17","9","    Housing","W909RV2",-0.01,-0.01,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,0,0,0,0,-0.01,-0.01,-0.01,-0.01,0,0,0,0.02,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01
"18","10","    Food and beverages purchased for off-premises consumption","W910RV2",0,0,0.01,0,-0.01,-0.02,-0.02,-0.06,0,-0.01,-0.01,-0.03,0.02,-0.02,0.01,-0.01,-0.01,0.01,-0.01,0.01,0,0,0,-0.01,-0.01,-0.01,-0.02,0.01,-0.01,0,0,0,0.01,0,0,0,-0.01,-0.01,-0.01,-0.02,-0.01,0,0,-0.01,0,0,0,0,-0.01,-0.02,-0.02,-0.01,0
"19","11","    Other","W911RV2",0,-0.06,-0.09,-0.04,-0.05,-0.11,-0.06,-0.03,-0.02,-0.01,-0.06,-0.04,-0.07,-0.1,-0.09,-0.06,-0.07,-0.04,-0.04,-0.07,-0.06,-0.11,-0.13,-0.05,-0.04,-0.04,-0.07,0.02,-0.12,-0.08,-0.12,-0.1,0.03,0,-0.04,-0.07,-0.14,-0.17,-0.05,-0.07,-0.02,-0.06,-0.07,-0.03,-0.02,-0.07,-0.11,-0.09,-0.04,-0.03,-0.02,-0.05,-0.03
"20","12","Equals: PCE fixed-weight price index (percent change)","W912RV2",0.76,3.34,2.22,2.02,3.2,0.37,2.76,1.79,3.22,2.96,2.53,3.47,2.25,2.92,5.06,3.43,1.96,3.27,3.09,-0.69,4.02,3.59,2.55,4.42,3.66,4.55,4.42,-6.08,-2.1,2.1,2.87,3.02,1.37,0.46,1.28,2.3,3.3,4.42,2.25,1.52,2.23,1.39,1.43,1.93,1.08,0.5,1.89,1.13,1.44,2.41,1.32,-0.37,-2
"21","13","  Less: Weight effect (percentage points)","W913RV2",-0.24,-0.62,-0.51,-0.5,-1.03,0.06,-0.58,-0.27,-0.52,-0.76,-0.66,-1.04,-0.45,-0.53,-1.34,-1.25,-0.62,-0.72,-0.96,0.39,-0.97,-1.18,-0.61,-0.93,-0.74,-0.99,-1.3,2.93,1.17,0.02,-0.82,-0.76,-0.36,0.27,-0.24,-0.78,-1.14,-1.18,-0.58,-0.15,-0.17,-0.61,-0.43,-0.51,-0.17,-0.45,-0.49,-0.42,-0.7,-0.89,-0.3,0.42,1.02
"22","14","    Rent of shelter","W914RV2",-0.54,-0.46,-0.41,-0.4,-0.37,-0.19,-0.27,-0.34,-0.31,-0.42,-0.36,-0.27,-0.39,-0.33,-0.35,-0.37,-0.49,-0.68,-0.69,-0.58,-0.53,-0.37,-0.39,-0.51,-0.41,-0.35,-0.36,-0.33,-0.32,-0.26,-0.04,0.08,0.08,-0.01,-0.07,-0.14,-0.23,-0.22,-0.36,-0.33,-0.31,-0.31,-0.32,-0.35,-0.3,-0.34,-0.37,-0.4,-0.42,-0.44,-0.44,-0.42,-0.43
"23","15","      Imputed rental of owner-occupied nonfarm housing","W915RV2",-0.42,-0.37,-0.32,-0.31,-0.27,-0.11,-0.2,-0.28,-0.24,-0.33,-0.27,-0.21,-0.3,-0.24,-0.26,-0.28,-0.4,-0.56,-0.56,-0.46,-0.4,-0.26,-0.3,-0.4,-0.32,-0.26,-0.25,-0.24,-0.25,-0.21,-0.03,0.06,0.08,0.01,-0.06,-0.11,-0.17,-0.18,-0.29,-0.25,-0.24,-0.24,-0.25,-0.26,-0.23,-0.26,-0.28,-0.33,-0.33,-0.32,-0.33,-0.32,-0.33
"24","16","      Rental of tenant-occupied nonfarm housing","W916RV2",-0.12,-0.09,-0.08,-0.09,-0.1,-0.08,-0.08,-0.06,-0.07,-0.09,-0.09,-0.07,-0.09,-0.08,-0.09,-0.08,-0.08,-0.11,-0.13,-0.12,-0.13,-0.11,-0.09,-0.12,-0.1,-0.09,-0.11,-0.09,-0.07,-0.05,-0.01,0.02,0,-0.02,-0.02,-0.03,-0.06,-0.05,-0.07,-0.08,-0.07,-0.07,-0.07,-0.09,-0.07,-0.08,-0.09,-0.08,-0.09,-0.12,-0.12,-0.1,-0.1
"25","17","    Hotels and motels","W917RV2",-0.1,0.02,0.02,-0.01,0.06,-0.01,-0.12,-0.11,0.01,-0.3,-0.06,-0.11,-0.12,-0.03,0.17,-0.21,-0.14,-0.09,0.01,-0.09,-0.11,-0.16,-0.11,0.02,-0.1,0.15,0.03,0.1,0.15,0.21,0.14,-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.01,0,0,0,0
"26","18","    Gasoline and other motor fuel","W918RV2",0.11,-0.36,-0.08,-0.15,-0.51,0.51,-0.31,-0.04,-0.31,-0.1,-0.12,-0.42,0.08,-0.07,-1,0.08,0.07,-0.36,-0.29,0.82,-0.24,-0.55,-0.09,-0.45,-0.4,-0.54,-0.74,2.71,1.03,-0.41,-0.89,-0.37,-0.1,0.3,-0.16,-0.68,-0.65,-0.69,0.01,0.1,-0.15,0.13,-0.14,-0.16,0.19,0.31,-0.2,0.11,0.08,-0.15,0.07,0.77,1.4
"27","19","    Electricity, gas, fuel oil, and other household fuels","W919RV2",0.05,0.02,0.02,-0.07,-0.18,-0.24,-0.03,0.04,-0.07,-0.05,-0.15,-0.09,-0.05,-0.19,-0.27,-0.71,-0.1,0.24,-0.03,0.03,-0.16,-0.09,0.05,-0.04,-0.08,-0.42,-0.32,0.21,0.11,0.29,0.11,-0.07,-0.06,-0.01,0.01,0.07,0,-0.08,-0.04,0.03,0.16,0.07,0.04,-0.08,-0.04,-0.17,0.03,-0.04,-0.29,-0.02,0.04,0.01,0.03
"28","20","    Other","W920RV2",0.23,0.17,-0.06,0.13,-0.03,0,0.15,0.17,0.16,0.11,0.03,-0.16,0.02,0.08,0.11,-0.04,0.03,0.16,0.03,0.21,0.08,-0.01,-0.06,0.06,0.24,0.17,0.09,0.24,0.2,0.2,-0.13,-0.3,-0.29,-0.01,-0.01,-0.03,-0.26,-0.2,-0.2,0.05,0.12,-0.5,-0.01,0.08,-0.02,-0.24,0.05,-0.08,-0.09,-0.28,0.03,0.07,0.02
"29","21","  Less: Scope effect - PCE price index items out-of-scope of the CPI (percentage points)","W921RV2",0.18,0.93,0.86,0.41,0.25,0.99,0.56,0.65,0.85,0.87,0.77,0.48,0.86,0.86,0.74,0.92,0.44,0.62,0.61,0.62,1.41,0.51,0.88,0.72,0.33,0.46,-0.05,-0.52,-0.67,0.26,0.51,1.05,0.63,0.57,0.43,0.48,0.35,0.67,0.36,0.27,0.44,0.54,0.37,0.55,0.37,0.28,0.35,0.65,0.31,0.52,0.39,0.37,0.14
"30","22","    Physician services","W922RV2",-0.12,0,0.05,0.03,-0.03,0.16,0.1,0.05,0.1,0.03,0.03,0.05,0.1,0.07,0.06,0.05,-0.06,0.07,0.1,0.03,0.46,0.02,0.07,0.01,0.03,0.03,0.08,0.08,0.11,0.1,0.09,0.09,0.08,0.1,0.12,0.07,-0.01,0.08,0.07,0.08,0.03,0.03,0.03,0,0.01,-0.01,0.01,0.02,0.01,0.05,0.02,0.02,-0.26
"31","23","    Hospital and nursing home services","W923RV2",0.21,0.27,0.45,0.37,0.44,0.43,0.32,0.38,0.46,0.35,0.26,0.27,0.33,0.28,0.3,0.44,0.28,0.35,0.36,0.24,0.31,0.25,0.25,0.49,0.16,0.21,0.19,0.17,0.3,0.25,0.28,0.37,0.22,0.18,0.11,0.15,0.2,0.29,0.19,0.12,0.17,0.29,0.26,0.12,0.28,-0.01,0.18,0.24,0.05,0.19,0.15,-0.06,0.13
"32","24","    Financial services furnished without payment","W924RV2",-0.07,0.32,0.19,0.17,0.04,0.06,0.06,-0.06,0.1,0.11,0.21,0.07,0.03,0.06,0.12,0.12,0.15,0.08,0,0,0.08,0.04,0.22,0.06,0.07,0,-0.27,-0.34,-0.7,-0.07,-0.13,0.32,0.14,0.21,0,0.01,-0.04,0.01,0.17,0.07,0.19,0.13,0.14,0.19,-0.05,0.08,0.09,0.18,0.04,0.18,0.14,0.15,0.12
"33","25","    Foreign travel by U.S. residents","W925RV2",-0.01,0.08,0.14,-0.06,0.07,0.19,0.01,-0.01,0.05,0.08,0.08,0.08,0.06,0.15,0.03,-0.06,0.09,0.09,0.04,0.05,0.07,0.11,0.08,0.08,0.11,0.21,0.04,-0.22,-0.21,-0.1,0.04,0.15,0.06,0.05,0.01,0.08,0.04,0.09,0.03,-0.02,0.06,0.02,-0.03,0.04,0.03,-0.01,-0.02,0.08,0.02,0.02,-0.01,0.02,-0.08
"34","26","    Final consumption expenditures of nonprofit institutions serving households","W937RV2",0.08,0.05,-0.11,-0.09,-0.07,-0.14,-0.04,-0.05,-0.17,0.06,0.03,-0.06,0.09,0.05,0.09,0.03,0.01,0.01,-0.05,0,0.13,-0.01,0.06,-0.11,0.06,0.06,0.02,-0.14,-0.2,-0.07,-0.01,-0.11,-0.03,-0.04,0.06,0.05,0.03,0.02,-0.01,0.01,-0.01,-0.01,-0.09,0.13,-0.03,0.23,-0.01,0,0.15,0.06,0.05,0.22,0.12
"35","27","    Other","W926RV2",0.09,0.21,0.14,-0.02,-0.21,0.29,0.11,0.34,0.3,0.24,0.17,0.07,0.24,0.27,0.15,0.34,-0.02,0.03,0.16,0.29,0.37,0.09,0.19,0.18,-0.1,-0.05,-0.11,-0.08,0.03,0.15,0.25,0.23,0.16,0.07,0.14,0.11,0.14,0.18,-0.1,0.01,-0.01,0.08,0.05,0.07,0.15,0.02,0.09,0.13,0.04,0.01,0.03,0.03,0.11
"36","28","  Plus: Scope effect - CPI items out-of-scope of the PCE price index (percentage points)","W927RV2",0.22,0.21,0.26,0.26,0.16,0.12,0.24,0.31,0.35,0.23,0.23,0.23,0.25,0.21,0.18,0.21,0.1,0.22,0.2,0.18,0.31,0.25,0.28,0.25,0.19,0.16,0.18,0.16,0.2,0.16,0.19,0.22,0.25,0.12,0.09,0.16,0.16,0.16,0.15,0.23,0.21,0.22,0.22,0.15,0.17,0.06,0.19,0.09,0.14,0.18,0.06,0.13,0.11
"37","29","    Physician services","W928RV2",0.03,0.01,0.08,0.06,0.02,0.03,0.03,0.05,0.09,0.08,0.05,0.05,0.05,0.06,0.04,0.03,-0.02,0.03,0.03,0.05,0.12,0.04,0.05,0.05,0.01,0.04,0.04,0.05,0.03,0.05,0.03,0.03,0.08,0.03,0.05,0.03,0.06,0.03,0.02,0.04,0.01,0.04,0.07,0.02,0.02,0.04,0.01,0.03,0.01,0.03,0.01,0.04,0.02
"38","30","    Hospital and nursing home services","W929RV2",0.13,0.14,0.11,0.14,0.09,0.06,0.13,0.09,0.08,0.07,0.08,0.07,0.09,0.07,0.06,0.1,0.11,0.13,0.1,0.07,0.08,0.12,0.14,0.16,0.1,0.07,0.08,0.07,0.1,0.11,0.1,0.1,0.14,0.11,0.07,0.13,0.07,0.1,0.08,0.1,0.05,0.1,0.07,0.07,0.09,0.02,0.13,0.06,0.11,0.11,0.05,0.07,0.06
"39","31","    Other","W930RV2",0.07,0.05,0.07,0.06,0.05,0.03,0.07,0.17,0.18,0.07,0.1,0.11,0.1,0.08,0.08,0.08,0,0.06,0.07,0.06,0.11,0.09,0.09,0.03,0.08,0.05,0.05,0.04,0.06,0,0.05,0.09,0.03,-0.02,-0.03,0,0.03,0.03,0.05,0.09,0.15,0.09,0.07,0.05,0.06,0,0.04,0,0.01,0.03,0,0.02,0.04
"40","32","  Less: Other effects (percentage points)","W931RV2",-0.29,0.02,-0.02,0.01,-0.02,0.08,0.06,0.13,-0.23,-0.06,0.1,-0.19,0.12,0,-0.33,0.18,0.15,-0.14,-0.13,0.12,-0.07,-0.1,0,-0.12,-0.14,-0.06,-0.36,0.52,0.32,-0.17,-0.12,-0.22,0.71,-0.12,0.01,-0.52,-0.08,0.41,-0.02,-0.11,-0.08,0.7,-0.06,-0.6,-0.34,0.88,-0.05,-0.42,-0.12,0.52,0.11,-0.18,0
"41","33","    Seasonal adjustment","W932RV2",-0.13,-0.02,0.01,-0.06,-0.03,0.1,0.03,0.07,-0.21,0,-0.01,-0.22,0.04,0.11,-0.29,0.03,0.09,-0.07,-0.06,0.05,-0.04,-0.08,-0.02,-0.16,-0.08,0.03,-0.16,0.32,0.33,-0.07,-0.1,-0.23,0.75,0.01,0.14,-0.49,-0.09,0.25,0.04,-0.31,-0.17,0.73,0.04,-0.52,-0.19,0.87,-0.05,-0.42,-0.08,0.66,0,-0.12,0.18
"42","34","    Price effects","W933RV2",-0.17,0.04,-0.03,0.06,0.01,-0.02,0.03,0.06,-0.02,-0.05,0.1,0.02,0.08,-0.12,-0.04,0.15,0.06,-0.07,-0.07,0.07,-0.03,-0.02,0.02,0.04,-0.06,-0.09,-0.2,0.2,-0.02,-0.1,-0.03,0.01,-0.04,-0.12,-0.13,-0.03,0.01,0.15,-0.05,0.2,0.09,-0.02,-0.1,-0.09,-0.15,0,0.01,0,-0.04,-0.14,0.11,-0.06,-0.18
"43","35","      Gasoline and other motor fuel","W934RV2",0,-0.02,-0.01,0.03,0,-0.02,-0.01,0.04,0,-0.03,-0.01,0.04,0,-0.03,-0.02,0.05,0,-0.04,-0.02,0.05,0,-0.04,-0.01,0.08,0,-0.05,-0.02,0.06,0,-0.03,-0.02,0.05,0,-0.03,-0.01,0.05,0,-0.05,-0.01,0.06,0,-0.04,-0.02,0.06,0,-0.04,-0.02,0.06,0,-0.04,-0.01,0.05,0
"44","36","      Air transportation","W935RV2",-0.17,0.07,-0.02,0.03,0.01,0.01,0.04,0.03,-0.02,-0.02,0.11,-0.02,0.08,-0.08,-0.02,0.1,0.06,-0.03,-0.05,0.02,-0.03,0.02,0.03,-0.03,-0.03,-0.02,-0.12,0.2,-0.01,-0.04,-0.02,-0.05,0.09,0.01,-0.07,-0.08,-0.02,0.11,-0.06,0.09,0.07,0.05,-0.04,-0.04,-0.1,0.02,0.11,-0.01,0.02,-0.08,0.21,0,0
"45","37","      Other","W901RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.02,-0.06,-0.05,-0.01,-0.03,0,0.01,-0.13,-0.1,-0.05,0,0.04,0.09,0.03,0.05,0.02,-0.03,-0.05,-0.1,-0.05,0.02,-0.08,-0.05,-0.05,-0.02,-0.09,-0.1,-0.18
"46","38","    Other differences","W936RV2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","39","Equals: CPI (percent change)","SRSA0V1",1.3,3.2,2.2,2.4,4.2,-0.6,3,1.6,3.5,3.1,2.6,4.5,2,2.8,6.2,3.8,2.1,3.7,3.8,-1.6,4,4.6,2.6,5,4.4,5.3,6.3,-8.9,-2.7,2.1,3.5,3.2,0.6,-0.1,1.2,3.3,4.3,4.7,2.6,1.7,2.2,1,1.8,2.6,1.4,-0.1,2.3,1.4,2.1,2.4,1.2,-0.9,-3.1
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CPI Consumer price index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","PCE Personal consumption expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
