"","Table 2#3#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"34","25","  PCE excluding food and energy \4\","DPCCRG3",17.762,18.079,18.306,18.556,18.796,19.084,19.325,19.762,20.367,21.24,22.238,23.281,24.377,25.165,26.126,28.196,30.558,32.415,34.495,36.802,39.479,43.093,46.857,49.881,52.466,54.645,56.898,58.85,60.719,63.29,65.869,68.492,70.886,73.021,75.008,76.68,78.324,79.801,81.196,82.2,83.291,84.747,86.281,87.75,89.047,90.751,92.711,94.786,96.832,98.827,100,101.286,102.8,104.678,106.084,107.575
"35","26","  Energy goods and services \5\","DNRGRG3",11.25,11.51,11.553,11.591,11.599,11.532,11.77,11.956,12.224,12.405,12.736,13.039,13.501,13.851,15.045,19.616,21.55,22.996,24.939,26.343,32.849,42.917,48.688,49.539,50.002,50.632,51.166,44.833,45.329,45.676,48.375,52.465,52.696,52.942,53.424,53.632,54.054,56.585,57.179,52.352,54.473,64.425,66.035,62.195,70.045,77.994,91.453,101.824,107.968,123.442,100,110.072,127.701,129.493,128.419,127.574
"36","27","  Market-based PCE \6\","DPCMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.131,61.442,64.286,67.422,70.016,72.011,73.729,75.161,76.701,78.192,79.361,79.848,80.978,82.91,84.491,85.441,87.097,89.145,91.611,94.084,96.39,99.63,100,101.497,104.034,105.918,107.043,108.3
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.24,62.827,65.617,68.636,71.528,73.894,75.829,77.41,79.051,80.342,81.53,82.446,83.471,84.734,86.231,87.525,88.712,90.254,92.017,94.038,95.957,98.129,100,101.047,102.462,104.3,105.557,106.858
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.4):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERG3",17.262,17.546,17.73,17.939,18.148,18.414,18.681,19.155,19.637,20.402,21.326,22.325,23.274,24.07,25.368,28.009,30.348,32.013,34.091,36.479,39.714,43.978,47.908,50.553,52.729,54.724,56.661,57.887,59.65,61.974,64.641,67.44,69.652,71.494,73.279,74.803,76.356,77.981,79.327,79.936,81.11,83.131,84.736,85.873,87.572,89.703,92.261,94.729,97.102,100.065,100,101.653,104.149,106.062,107.333,108.764
"40","30","Household consumption expenditures \7\","DPHCRG3",16.864,17.164,17.344,17.548,17.752,18.015,18.272,18.732,19.202,19.95,20.848,21.825,22.748,23.524,24.788,27.352,29.632,31.26,33.288,35.622,38.775,42.948,46.817,49.497,51.742,53.779,55.74,57.003,58.793,61.14,63.906,66.842,69.19,71.199,73.097,74.653,76.237,77.866,79.171,79.684,80.818,82.777,84.319,85.471,87.269,89.485,92.054,94.557,96.955,99.978,100,101.73,104.269,106.242,107.499,108.881
"41","31","  Food and beverages purchased for off-premises consumption","DFXARG3",17.507,17.654,17.743,17.877,18.065,18.43,18.802,19.595,19.62,20.215,21.121,22.299,22.807,23.894,26.919,31.012,33.343,33.963,35.964,39.405,43.275,46.913,50.256,51.578,52.17,53.738,54.323,55.601,57.356,59.066,62.181,65.219,67.266,67.783,68.731,69.881,71.396,73.574,74.976,75.918,77.161,78.969,81.271,82.5,84.062,86.686,88.2,89.683,93.182,98.851,100,100.309,104.276,106.645,107.752,109.763
"42","32","  Clothing, footwear, and related services","DCAFRG3",48.948,49.749,50.064,50.282,50.779,51.28,51.796,53.3,55.525,58.56,61.682,64.036,66.301,67.494,69.783,75.144,78.729,81.449,85.046,87.065,89.269,93.007,96.458,98.149,99.669,100.41,102.684,102.466,105.489,108.938,110.743,114.427,116.739,117.706,117.277,115.564,113.093,111.907,112.092,110.254,109.018,107.935,106.149,103.678,101.373,101.196,100.494,100.282,99.553,99.015,100,99.496,101.256,104.852,105.897,106.397
"43","33","  Housing, utilities, and fuels","DHUFRG3",13.259,13.479,13.678,13.817,13.971,14.074,14.204,14.41,14.668,15.01,15.484,16.155,16.989,17.613,18.471,19.851,21.417,22.968,25.049,26.802,29.302,32.747,36.517,39.719,42.087,44.192,46.404,48.287,50.014,51.956,54.067,56.561,58.355,59.918,61.616,63.166,64.841,66.85,68.648,70.146,71.81,74.548,77.945,80.079,82.758,85.214,88.539,92.376,95.659,99.436,100,100.452,102.186,104.073,106.636,109.774
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRG3",32.631,33.189,33.317,33.413,33.557,33.736,33.857,34.409,35.294,36.824,38.201,39.498,40.627,41.417,42.61,47.032,52.722,55.756,58.596,61.834,66.064,71.665,77.23,81.608,83.904,85.37,87.002,88.242,89.944,91.656,93.014,94.518,96.014,97.191,97.838,99.002,99.841,100.71,100.977,101.455,101.352,102.143,102.182,101.255,99.027,98.396,99.101,99.454,99.064,99.593,100,97.197,96.407,96.641,95.305,93.231
"45","35","  Health","DHLTRG3",7.403,7.794,7.902,8.018,8.173,8.391,8.602,8.923,9.389,9.885,10.492,11.197,11.716,12.147,12.645,13.736,15.216,16.608,17.949,19.429,21.246,23.73,26.574,29.517,32.176,34.553,36.663,38.834,41.292,44.386,48.133,52.136,56.105,59.928,62.949,65.362,67.539,69.115,70.458,71.834,73.579,75.733,78.396,80.574,83.443,86.371,89.05,91.864,94.869,97.321,100,102.61,104.736,106.837,108.187,109.777
"46","36","  Transportation","DTRNRG3",19.901,19.984,20.113,20.405,20.49,20.599,20.791,20.926,21.436,22.11,22.841,23.656,24.661,25.006,25.924,29.67,32.386,34.507,36.61,38.857,44.73,53.575,59.015,59.662,60.269,61.324,62.429,59.784,62.367,63.778,66.803,69.769,70.97,72.093,73.951,75.898,78.09,80.154,80.872,78.779,80.527,85.514,85.339,84.238,86.236,89.502,95.732,100.315,103.301,109.532,100,108.248,119.474,122.231,121.79,120.538
"47","37","  Communication","DCMCRG3",48.577,49.46,49.667,49.721,50.673,50.959,50.397,49.496,50.243,51.11,51.902,52.48,55.841,59.025,60.449,63.792,65.841,69.712,70.546,71.897,72.154,73.336,80.99,89.454,94.559,100.71,104.428,107.715,105.67,105.835,106.235,106.202,108.509,108.857,109.419,111.456,112.026,112.488,113.263,112.299,109.703,106.173,104.632,104.949,104.281,102.173,100.863,100.264,97.206,98.438,100,99.72,98.388,98.407,98.319,98.007
"48","38","  Recreation","DRRLRG3",44.739,45.643,46.226,46.695,47.459,48.3,48.62,49.136,50.24,52.21,54.062,55.665,58.031,59.201,60.632,64.758,69.626,72.414,75.161,78.506,82.931,89.16,94.868,99.133,101.222,102.858,104.442,105.166,106.913,109.121,112.118,115.001,118.03,119.186,119.658,120.382,120.408,119.655,117.756,115.221,112.517,111.352,109.913,108.242,106.546,105.648,104.372,103.352,101.776,101.543,100,97.462,95.641,94.748,93.678,92.766
"49","39","  Education","DEDURG3",4.568,4.665,4.751,4.852,4.96,5.071,5.25,5.488,5.712,5.975,6.338,6.762,7.129,7.504,8.054,9.063,9.846,10.561,11.248,11.859,12.878,14.287,15.967,17.787,19.329,20.99,22.59,24.172,25.886,27.805,29.768,31.859,34.431,37.272,39.929,42.268,44.58,46.954,49.221,51.468,54.004,56.721,59.77,63.654,68.507,74.2,79.528,84.575,89.469,94.706,100,104.699,109.643,114.659,119.158,123.096
"50","40","  Food services and accommodations","DFSARG3",11.45,11.759,11.996,12.294,12.559,12.754,13.006,13.508,14.257,15.001,15.899,17.074,17.985,18.65,19.925,22.23,24.232,25.836,27.707,30.129,33.382,36.615,39.885,42.166,43.987,45.971,47.948,49.913,51.929,54.162,56.615,59.206,61.57,62.877,64.111,65.236,66.775,68.575,70.609,72.502,74.376,76.458,78.64,80.542,82.247,84.974,87.695,90.649,94.158,97.821,100,101.33,103.877,106.836,109.05,111.925
"51","41","  Financial services and insurance","DIFSRG3",15.079,15.739,16.271,16.941,16.96,17.67,18.12,19.212,19.653,21.108,22.995,24.176,25.625,27.195,27.838,30.068,32.293,33.597,36.178,40.952,43.183,46.524,50.04,52.928,58.03,61.699,66.88,67.884,64.651,67.743,69.707,70.707,70.303,72.645,76.497,77.946,79.641,82.364,85.64,85.681,85.043,85.9,85.579,87.674,91.508,95.008,97.947,100.576,103.496,104.619,100,103.993,106.511,110.465,113.48,116.777
"52","42","  Other goods and services","DOISRG3",12.104,12.365,12.447,12.565,12.815,13.129,13.429,13.777,14.243,14.859,15.693,16.547,17.233,18.002,18.809,20.463,22.173,23.351,24.626,26.121,28.231,31.906,34.705,37.106,40.19,42.083,43.571,45.346,47.752,50.379,53.357,56.543,59.544,61.931,63.518,64.444,65.989,67.228,68.6,70.506,74.028,76.407,78.649,80.58,81.915,83.696,85.98,88.538,91.87,95.363,100,102.992,105.599,107.418,109.189,110.712
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRG3",55.154,51.448,51.982,52.718,53.562,53.771,55.275,57.306,59.156,61.401,65.295,68.143,71.952,74.925,79.755,91.299,99.685,104.855,112.035,119.387,131.067,143.257,150.362,142.523,131.821,126.093,123.315,119.263,116.968,115.616,108.061,98.986,91.535,83.178,78.736,78.58,78.503,79.864,83.25,88.899,92.092,97.17,101.711,102.151,99.609,98.123,100.153,101.089,102.417,103.124,100,98.946,99.934,99.723,101.465,104.551
"55","45","  Gross output of nonprofit institutions \2\","DNPERG3",9.841,10.09,10.28,10.474,10.727,10.987,11.307,11.7,12.237,12.883,13.728,14.629,15.334,16.061,17.09,19.139,21.063,22.701,24.398,26.253,28.886,32.335,35.866,38.668,40.758,42.731,44.452,46.007,48.025,50.856,53.658,56.202,58.814,60.95,62.83,64.641,66.467,68.289,70.035,72.131,74.102,77.007,79.972,82.258,84.714,87.278,90.308,93.309,96.179,98.645,100,101.83,103.875,105.735,107.945,110.156
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRG3",5.658,6.095,6.236,6.368,6.546,6.768,6.968,7.204,7.578,8.025,8.558,9.193,9.61,10.087,10.732,11.925,13.159,14.299,15.397,16.619,18.298,20.637,23.284,26.097,28.591,30.803,32.642,34.473,36.656,39.61,43.303,47.151,51.123,54.974,58.033,60.215,62.429,64.324,65.669,66.952,68.607,70.942,73.47,76.229,80.082,83.806,87.105,90.699,94.042,97.086,100,102.826,105.231,107.794,110.166,112.061
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
