"","Table 2#3#5U# Personal Consumption Expenditures by Major Type of","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"11","3","  Durable goods","DDURRC0",44887,45626,44206,49464,54228,59557,66391,71745,73981,84827,90482,89988,102447,116444,130527,130177,142165,168624,191963,213349,226340,226390,243940,253032,295029,342156,380363,421440,442021,475052,494328,497080,477185,508082,551532,607171,635738,676297,715530,779295,855570,912571,941515,985367,1017526,1079823,1127231,1156115,1184633,1102283,1023319,1070692,1125327,1192054,1249276,1302479
"12","4","    Motor vehicles and parts","DMOTRC0",18789,19582,17722,21386,24246,25802,29645,29927,29601,35414,37448,34538,43233,49365,54358,48166,52643,68172,79796,89173,90175,84430,93017,100014,122945,147192,170065,187519,188181,202213,207771,205119,185748,204798,224715,249843,255709,273486,293083,320205,350730,363227,383289,401347,401518,409312,409954,394950,400573,339630,317058,341955,363458,395089,417673,447839
"13","5","    Furnishings and durable household equipment","DFDHRC0",15517,15424,15572,16423,17510,19517,20661,22643,23679,26089,27588,28152,29944,33522,37961,40891,42612,47172,53355,59004,65254,67843,71461,71811,79770,88832,94619,103455,109536,115154,121387,120941,118786,124288,131367,140510,146742,153535,160491,173579,191185,208106,214940,225868,235161,254311,271273,283597,283458,268714,244311,250417,260672,271058,280921,287541
"14","6","    Recreational goods and vehicles","DREQRC0",6369,6365,6581,6943,7565,8772,10086,12278,13578,15333,16732,17924,19197,22591,25346,26585,30363,34172,37730,41702,45835,46490,49879,51287,58655,67844,74074,83016,91802,99877,103905,105558,107716,110995,123473,140340,153723,164929,174632,191360,210922,230858,234934,244772,259193,284088,305023,324101,335780,329331,303775,312735,320981,334789,348696,361622
"15","7","    Other durable goods","DODGRC0",4212,4255,4331,4712,4907,5466,5999,6897,7123,7991,8714,9374,10073,10966,12862,14535,16547,19108,21082,23470,25076,27627,29583,29920,33659,38288,41605,47450,52502,57808,61265,65462,64935,68001,71977,76478,79564,84347,87324,94151,102733,110380,108352,113380,121654,132112,140981,153467,164822,164608,158175,165585,180216,191118,201986,205477
"16","8","  Nondurable goods","DNDGRC0",127720,131389,134603,139505,143926,152697,163285,177875,185010,199788,214195,228806,239669,257371,286109,321362,349169,377681,408420,450218,511598,573402,625433,646260,678751,721544,757243,774189,814275,862256,929475,994222,1020250,1055187,1090815,1139383,1179794,1241376,1291234,1329424,1431199,1540283,1583722,1613214,1704030,1820432,1953050,2079682,2176940,2273419,2175125,2292119,2471134,2549829,2601892,2666183
"17","9","    Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,854909,872159,888648
"18","10","    Clothing and footwear","DCLORC0",25367,25939,26571,27859,28618,31085,32659,35812,37547,41260,44331,45450,49046,53491,59243,62423,66867,72191,79305,89317,96371,103002,113178,116745,126445,137621,146845,157201,167726,178213,190397,195245,199098,211234,219054,227435,231245,239542,247496,257805,271097,280832,277868,278836,285347,297485,310659,320213,323692,319506,306498,320558,338946,353736,360723,365422
"19","11","    Gasoline and other energy goods","DGOERC0",15290,15809,15723,16316,16922,17659,19132,20656,21876,23217,24968,26286,27647,29393,34325,43849,48020,53013,57817,61453,80388,101898,113443,108350,106456,108200,110532,91191,96369,99850,110439,124199,121129,125007,126882,129231,133405,144745,147662,132355,146545,184516,177985,167900,196412,232733,283770,319650,345546,389148,284500,333415,409558,415481,408311,398255
"20","12","    Other nondurable goods","DONGRC0",25466,27085,28562,30674,32516,34462,37052,40797,43028,46480,49525,53564,55851,60015,65826,72052,77716,85180,91528,103336,116469,129335,143473,154024,168814,184621,196913,209382,225868,241386,263251,283602,297070,314481,331407,350608,371397,395210,421300,451827,498027,534356,563866,591426,622690,657610,690404,739559,770371,791881,814169,849247,893484,925703,960699,1013858
"21","13","Services","DSERRC0",144901,154563,163157,174139,184328,198939,213906,230977,248421,272834,299809,328894,358874,395616,434507,480460,541421,603867,676290,762606,851558,954824,1068139,1174621,1312739,1434455,1585068,1702782,1835754,2009581,2169011,2334328,2462716,2652385,2828655,2994464,3168646,3350398,3553956,3794314,4020253,4339542,4577867,4785472,5043973,5359763,5713831,6068195,6388932,6637946,6648524,6839380,7092838,7341263,7633176,7961687
"22","14","  Household consumption expenditures (for services)","DHCERC0",140037,149504,157911,168660,178559,192506,206944,223522,240372,264041,290366,318420,347170,382802,420752,464963,524408,584885,655655,739588,825438,924791,1033999,1136657,1271983,1389072,1537161,1650172,1780057,1946288,2100974,2258467,2382589,2564451,2738590,2896702,3066318,3240354,3448368,3670507,3882024,4181501,4398785,4587130,4838461,5153391,5503563,5829010,6140152,6355802,6372507,6564030,6817839,7052812,7327534,7633684
"23","15","    Housing and utilities","DHUTRC0",52849,56720,60301,64476,68208,72148,76618,81226,86344,92748,100982,109421,119981,131185,143486,158579,176527,194663,217806,244279,273403,312453,352071,387499,421227,457510,500609,536976,571559,614437,655168,696539,735247,771112,814940,863343,913679,962439,1009822,1065472,1123133,1198556,1287492,1333584,1394121,1469083,1583621,1682374,1758184,1839073,1880993,1908992,1959856,2008997,2086341,2165979
"24","16","    Health care","DHLCRC0",14831,16030,17120,19135,20978,24150,26038,28678,31929,36576,42059,47663,53725,59842,67175,76083,89000,101849,115691,131202,148840,171661,201914,225182,253125,276478,302195,330160,366011,410051,451209,506202,555759,612785,648809,680461,719886,752067,790949,832046,863590,918425,996564,1082873,1154646,1240115,1322285,1394226,1481787,1556486,1627380,1690701,1764711,1854686,1920324,1997182
"25","17","    Transportation services","DTRSRC0",8696,9180,9562,10133,10621,11350,12133,13067,14275,15872,17977,20043,22359,24544,26078,28472,32045,36155,41395,45200,50705,55366,59790,61729,68899,80016,90145,95009,103098,114150,121848,126372,123674,133622,146099,161896,177946,194955,214308,227631,244091,263548,264704,258159,265464,276562,289385,302056,312216,311715,289694,292922,308124,319890,332622,344892
"26","18","    Recreation services","DRCARC0",5921,6480,6945,7455,7926,8480,8976,9768,10452,11703,12925,14001,15118,16329,18348,20948,23653,26535,29562,32850,36725,40837,47125,52473,59430,66117,73958,80369,87276,99233,110665,121766,127181,139799,153375,164661,181092,195583,208318,220205,238056,254392,262290,271404,289178,312103,328899,351945,375845,384491,375999,385051,400558,418443,435975,444601
"27","19","    Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298407,308298,316137,326558,343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,684967,714677,755481
"28","20","    Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19395,21273,22843,25797,28502,31073,34139,38339,41501,45906,54018,59262,67792,80634,87631,95609,102006,116335,145888,156571,188094,199804,205301,219809,238375,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,788443,826722,885140
"29","21","    Other services","DOTSRC0",25518,27058,28254,29853,31611,33760,36603,39875,43572,46751,50460,54595,58051,63677,69332,74361,80344,88620,97744,108319,117213,127144,137178,150931,169864,187464,207860,221167,242433,262761,281112,297463,300546,325730,344374,371168,391199,416403,452299,496040,523700,571514,615250,642215,684683,723757,759098,807949,847995,880088,879151,905415,939287,977386,1010873,1040409
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4864,5059,5246,5479,5769,6433,6962,7455,8049,8793,9443,10474,11704,12814,13755,15497,17013,18982,20635,23018,26120,30033,34140,37964,40756,45383,47907,52610,55697,63293,68037,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,288451,305642,328003
"31","23","    Gross output of nonprofit institutions \2\","DNPERC0",13908,14834,15783,16932,18339,20250,22079,24339,26978,30348,34009,38091,42770,47353,51832,58803,67193,76310,85160,96659,109356,126100,145650,163805,179216,194432,209278,227298,246863,275519,301238,334437,362892,396390,418746,440076,458544,483135,502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1196091,1242886,1302527
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342314,356216,373091,397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,907640,937244,974524
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRC0",232940,244844,253628,272656,289772,313588,339079,367777,390724,432385,470130,502677,549521,607122,670045,721498,799522,897238,1001302,1126355,1243770,1357047,1505084,1625591,1822135,2013963,2220181,2403426,2582385,2810006,3018116,3211486,3331136,3579821,3815591,4062528,4288756,4536504,4811714,5158150,5519133,5929672,6211512,6495462,6809168,7226581,7652257,8083371,8457448,8628101,8577377,8858521,9231790,9604957,9984201,10412816
"35","26","  Energy goods and services \5\","DNRGRC0",22971,24178,24591,25796,26840,28114,30061,32210,34129,36233,38985,41505,44344,47837,54383,67463,76667,85637,95601,103706,127356,158402,177089,181181,187348,193090,199540,178570,185353,194076,209310,222968,226062,231368,241939,246381,251675,269688,274230,257446,272359,322145,327589,313539,356780,400833,473638,520361,555726,612663,499633,554771,628363,623280,627984,628874
"36","27","  Market-based PCE \6\","DPCMRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2783238,3012242,3237584,3453841,3572086,3793960,4004335,4233716,4449832,4697714,4951672,5234606,5594970,6003347,6276582,6518598,6853181,7281961,7747822,8181197,8576655,8815402,8705503,9012969,9463699,9839380,10182061,10543961
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRC0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274315,2476091,2663558,2840337,2943678,3158702,3349467,3555737,3754888,3966593,4203080,4490106,4807431,5140943,5385274,5630289,5897096,6248865,6606353,6961042,7284000,7430276,7436306,7669693,8006562,8361582,8682333,9026833
"38",NA,"Personal consumption expenditures by major function (From NIPA table 2.5.5):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","29","      Personal consumption expenditures","DPCERC0",317508,331578,341966,363108,382482,411193,443582,480597,507412,557449,604486,647688,700990,769431,851143,931999,1032755,1150172,1276673,1426173,1589496,1754616,1937512,2073913,2286519,2498155,2722674,2898411,3092050,3346889,3592814,3825630,3960151,4215654,4471002,4741018,4984178,5268071,5560720,5903033,6307022,6792396,7103104,7384053,7765529,8260018,8794112,9303992,9750505,10013648,9846968,10202191,10689299,11083146,11484344,11930349
"40","30","Household consumption expenditures \7\","DPHCRC0",312644,326520,336720,357629,376714,404759,436621,473141,499360,548656,595043,637213,689284,756617,837390,916502,1015741,1131192,1256038,1403157,1563371,1724582,1903368,2035948,2245764,2452771,2674768,2845800,3036353,3283598,3524777,3749767,3880026,4127720,4380937,4643255,4881853,5158024,5455131,5779224,6168793,6634354,6924025,7185713,7560019,8053649,8583844,9064812,9501722,9731501,9570953,9926845,10414302,10794693,11178704,11602345
"41","31","  Food and beverages purchased for off-premises consumption","DFXARC0",61597,62556,63747,64656,65870,69491,74442,80610,82559,88831,95371,103506,107125,114472,126715,143038,156566,167297,179770,196112,218370,239167,255339,267141,277036,291102,302953,316415,324312,342807,365388,391176,402953,404465,413472,432109,443747,461879,474776,487437,515530,540579,564003,575052,599581,632604,668217,700260,737331,772884,769958,788899,829146,854909,872159,888648
"42","32","  Clothing, footwear, and related services","DCAFRC0",28608,29263,29914,31271,32086,34724,36483,39802,41677,45583,48810,49945,53386,57972,63666,66876,71433,76913,84296,94638,101940,108834,119142,122670,132910,144696,154309,165110,176370,188078,201187,206534,210116,223024,231122,240071,244705,253501,262012,273082,287190,297541,294642,295168,301463,313499,326573,336346,339727,335351,321609,335798,354577,369629,377012,381872
"43","33","  Housing, utilities, and fuels","DHUFRC0",56857,60525,64016,68195,72178,76236,80999,85849,91120,97405,105490,113786,124478,136172,149679,166298,184843,204630,228688,255630,287548,327662,367595,401723,434602,471142,513937,548115,582573,625893,666891,709299,747525,783255,827304,876082,926675,976690,1023056,1077040,1135488,1214463,1302994,1347872,1411554,1488439,1605961,1706098,1783810,1869894,1905264,1935142,1989006,2035840,2112898,2193229
"44","34","  Furnishings, household equipment, and routine household maintenance","DFHHRC0",25641,26179,26791,28318,29829,32703,34706,37838,39692,43191,45381,46617,48763,53519,59944,64605,67805,75041,84019,93595,104325,110737,118284,121039,132337,147103,155993,168658,176892,186560,197477,200559,199109,209398,221891,238616,251692,263723,277270,297117,320243,343425,352401,365295,380368,407131,431153,449921,453747,442035,409812,417317,435204,451838,468241,480270
"45","35","  Health","DHLTRC0",18836,20363,21827,24320,26405,29801,31977,34966,38408,43786,50018,56849,63384,70422,78680,88652,102717,116759,131577,149369,169876,195473,228859,254922,287133,315153,345323,378377,419877,470722,518983,583724,638374,700443,741681,779896,826007,868312,919880,979651,1033334,1109593,1209403,1317080,1411308,1516184,1614016,1717339,1826826,1914173,2000918,2080439,2176927,2285727,2372144,2490073
"46","36","  Transportation","DTRNRC0",38766,40765,39294,44117,47819,50724,56529,59026,60977,69846,75885,76503,88742,98315,108567,112767,124390,147373,168125,184475,207123,226486,250724,255868,284926,321776,357415,362580,376633,404758,428334,442931,418274,451285,485332,528231,554064,598935,641818,668623,729012,795384,810479,813118,845959,899248,960770,992931,1032709,1009672,866981,942141,1051989,1103616,1132049,1163734
"47","37","  Communication","DCMCRC0",4834,5206,5557,5907,6429,6938,7535,8121,8873,9679,10729,11606,12764,14353,16131,17688,19955,22425,24304,27014,29425,31796,35963,41056,44838,48422,53104,56856,59985,63139,67276,70093,73870,81142,85767,93263,98942,108317,120106,129493,142299,158255,164926,168929,174388,181116,186989,201197,216417,230693,230566,239591,253713,267434,283138,288073
"48","38","  Recreation","DRRLRC0",18762,19711,20468,22085,23853,26295,28891,33364,35822,39932,43699,47017,50114,56199,63016,68939,77053,86193,94917,106279,118863,127440,141635,151438,169326,189972,207163,225398,247013,273378,295743,314746,326272,346841,378423,413996,449768,481538,509502,544345,589943,633684,646979,669335,704293,758713,804574,854114,893841,899644,861781,888288,922797,964226,1005984,1036631
"49","39","  Education","DEDURC0",3108,3360,3608,3951,4347,4827,5465,6212,6877,7720,8651,9914,10853,11749,13003,14202,15886,17433,18809,20877,22869,25443,28258,30968,34349,37699,41172,44486,48789,54436,60571,65958,70561,76442,81086,86364,92304,99626,107120,115244,123931,134291,143615,149527,159516,168997,180507,193072,205998,218374,229051,244931,256286,265239,277449,291527
"50","40","  Food services and accommodations","DFSARC0",19738,20485,20964,22257,23306,24878,27181,29635,30957,34594,37461,41624,43797,48886,54832,60614,68821,77801,85665,97104,110921,121721,133915,142508,153550,164916,174300,186687,204379,225847,242597,262735,273394,286313,298407,308298,316137,326558,343428,361836,380330,408782,419663,436311,461897,496424,530642,566252,595634,612466,600334,617711,649504,684967,714677,755481
"51","41","  Financial services and insurance","DIFSRC0",12484,13551,14765,15351,15909,17740,19395,21273,22843,25797,28502,31073,34139,38339,41501,45906,54018,59262,67792,80634,87631,95609,102006,116335,145888,156571,188094,199804,205301,219809,238375,247390,266788,295090,332586,346875,366379,392349,429244,467277,509124,566284,552822,562584,588472,635347,689633,724208,768491,771483,718956,763238,795799,788443,826722,885140
"52","42","  Other goods and services","DOISRC0",21394,22433,23722,24858,26166,27833,30157,33314,35768,38609,41001,44263,46962,50984,56930,62205,67808,76273,83766,93178,100409,110675,121230,127772,143433,157655,173267,190016,208165,225390,245652,262297,268009,290055,304538,316871,332720,350833,368398,393721,429352,458494,477902,496803,526520,559063,589540,624534,657603,672973,672713,700646,733078,755249,776856,797014
"53","43","  Net foreign travel and expenditures abroad by U.S. residents","DNFTRC0",2019,2121,2047,2342,2517,2568,2858,3132,3788,3684,4044,4514,4778,5237,4721,4708,4445,3790,4311,4250,4075,3540,416,2509,5434,6564,7742,3296,6063,2781,-3696,-7673,-15219,-20033,-20674,-17417,-21291,-24235,-21481,-15646,-26984,-26424,-15804,-11366,-5303,-3120,-4730,-1464,-10411,-18139,-16989,-27298,-33725,-32426,-40625,-49358
"54","44","Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC0",4864,5059,5246,5479,5769,6433,6962,7455,8049,8793,9443,10474,11704,12814,13755,15497,17013,18982,20635,23018,26120,30033,34140,37964,40756,45383,47907,52610,55697,63293,68037,75861,80127,87934,90065,97762,102328,110044,105588,123807,138229,158041,179082,198342,205512,206372,210268,239185,248780,282144,276017,275350,274999,288451,305642,328003
"55","45","  Gross output of nonprofit institutions \2\","DNPERC0",13908,14834,15783,16932,18339,20250,22079,24339,26978,30348,34009,38091,42770,47353,51832,58803,67193,76310,85160,96659,109356,126100,145650,163805,179216,194432,209278,227298,246863,275519,301238,334437,362892,396390,418746,440076,458544,483135,502624,542521,576319,621641,676441,737060,774643,818994,868456,932226,983141,1040912,1072564,1105893,1139563,1196091,1242886,1302527
"56","46","  Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC0",9044,9775,10537,11453,12570,13817,15117,16884,18929,21555,24566,27617,31066,34539,38077,43306,50180,57328,64525,73641,83236,96067,111510,125841,138460,149049,161371,174688,191166,212226,233201,258576,282765,308456,328681,342314,356216,373091,397036,418714,438090,463600,497359,538718,569131,612622,658188,693041,734361,758768,796547,830543,864564,907640,937244,974524
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
