"","Table 2#4#3U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58"
"17","10","      Net purchases of used motor vehicles (56)","DNPVRA3",22.764,22.337,21.496,21.012,21.781,21.596,23.384,23.392,25.027,25.046,26.25,24.821,25.079,26.497,26.969,25.69,24.944,28.309,28.628,29.215,29.081,28.307,27.714,26.587,27.368,34.172,39.636,41.825,43.314,45.371,47.139,50.696,53.56,58.211,58.955,63.189,65.01,71.651,79.108,89.372,95.439,95.19,94.872,97.417,95.646,100.912,98.064,96.558,100.4,97.244,100,91.346,86.934,87.779,96.171
"18","11","        Used autos","DNPURA3",57.655,56.416,54.58,52.884,54.575,53.998,58.247,57.833,61.823,62.054,65.043,61.222,61.483,64.786,65.236,62.125,60.527,68.066,67.868,68.566,67.31,64.267,63.15,60.303,60.788,75.716,86.172,84.326,85.931,86.88,86.671,87.701,92.692,98.896,100.034,110.602,109.216,113.344,118.678,126.879,127.653,125.404,121.292,120.239,118.264,125.37,120.061,113.548,109.688,107.104,100,92.338,97.985,96.36,100.375
"19","12","          Net transactions in used autos","DNETRA3",15.859,16.421,19.112,18.386,20.021,20.456,23.737,25.686,29.82,29.701,33.24,32.058,29.048,30.891,33.842,38.023,35.175,39.012,40.588,43.874,47.956,48.862,43.368,40.17,37.843,56.056,67.213,62.492,67.563,70.071,70.768,73.225,81.297,87.65,87.404,99.701,96.279,101.927,110.895,124.236,125.263,119.828,109.571,118.682,115.449,126.772,116.037,105.595,100.468,99.383,100,88.912,90.927,83.173,93.309
"20","13","          Used auto margin","DMARRA3",190.797,181.768,157.785,155.985,155.772,151.714,155.595,146.743,146.209,147.456,145.08,133.838,144.807,150.35,142.232,119.329,121.181,136.309,131.359,126.338,112.318,99.973,112.153,111.89,120.084,118.79,122.351,128.74,120.991,119.705,118.535,117.364,116.202,122.314,125.557,130.797,133.274,133.927,132.132,130.707,130.75,133.805,141.147,123.08,123.258,124.177,126.183,124.94,122.683,117.994,100,97.779,107.857,114.865,110.032
"21","14","          Employee reimbursement","DREERA3",69.237,72.151,78.257,87.657,93.704,98.314,106.27,117.23,121.086,119.674,116.54,110.822,105.412,101.099,96.244,98.075,92.15,90.513,91.454,103.266,109.966,113.785,117.201,120.04,114.182,109.336,105.211,97.25,91.136,105.642,116.121,126.241,139.607,152.188,144.651,139.429,135.986,134.147,129.632,124.988,121.858,118.339,123.178,116.738,118.015,121.357,119.582,115.536,112.225,108.398,100,102.988,102.864,103.153,101.342
"22","15","        Used light trucks","DUTRRA3",0.474,0.513,0.403,0.547,0.652,0.688,0.828,1.001,1.091,1.015,1.061,1.125,1.304,1.459,1.842,1.763,1.598,2.186,2.814,3.299,3.84,4.457,4.235,4.215,5.043,6.397,8.321,12.463,13.76,16.4,19.346,24.358,25.712,29.168,29.626,29.426,33.433,41.715,50.564,62.144,71.801,72.938,75.228,80.216,78.612,82.514,81.487,83.724,93.453,89.855,100,90.598,78.613,81.303,92.987
"23","16","          Net transactions in used trucks","DUTNRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.375,3.349,4.626,8.277,9.015,11.345,12.728,18.198,20.602,26.003,25.017,22.809,25.636,33.667,42.564,55.293,65.601,66.087,67.749,75.124,70.429,74.369,73.287,76.042,87.567,86.208,100,87.104,74.06,75.099,89.781
"24","17","          Used truck margin","DUTMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.022,17.764,22.065,27.874,31.249,34.934,43.725,46.709,43.959,38.399,45.805,54.77,63.451,71.96,80.356,87.624,94.9,98.437,103.069,99.933,108.511,112.458,111.552,112.132,116.004,104.036,100,103.261,95.154,104.005,104.316
"25","18","      Motor vehicle parts and accessories (58)","DMVPRA3",12.204,13.137,13.979,15.338,16.092,17.283,17.747,18.973,19.68,21.887,24.831,26.7,30.19,33.638,38.39,38.422,38.121,39.333,41.743,44.656,46.102,45.52,47.305,48.197,53.701,57.56,59.333,59.664,60.182,65.13,65.362,68.245,66.558,68.323,74.46,82.033,85.696,91.374,95.493,97.146,101.558,102.972,99.232,98.477,103.231,109.715,115.13,116.812,118.866,110.032,100,105.097,109.013,110.276,111.874
"26","19","        Tires","DTATRA3",15.87,17.547,18.932,19.585,19.832,20.932,22.049,23.998,24.682,27.184,30.691,33.841,39.116,45.153,50.437,48.301,46.691,46.69,48.624,52.079,54.19,53.339,53.561,53.851,60.241,67.298,69.306,71.396,72.136,77.979,77.098,81.819,79.328,79.214,82.758,87.551,87.192,89.876,90.756,90.718,91.766,91.594,90.406,90.525,95.542,102.095,108.487,109.855,112.608,107.826,100,105.157,106.691,107.29,110.769
"27","20","        Accessories and parts","DPAARA3",9.181,9.435,9.808,11.858,13.173,14.542,14.345,14.891,15.672,17.725,20.282,20.854,22.648,23.56,28.004,30.185,31.139,33.503,36.37,38.857,39.771,39.403,42.51,43.921,48.734,50.059,51.65,50.644,50.995,55.251,56.313,57.817,56.732,59.865,67.896,77.52,84.227,92.173,98.73,101.645,108.535,111.109,105.504,104.108,108.663,115.094,119.805,121.712,123.267,111.576,100,105.055,110.668,112.416,112.678
"28","21","    Furnishings and durable household equipment","DFDHRA3",13.597,13.397,13.479,14.234,15.168,16.888,17.993,19.558,20.003,21.206,21.651,21.623,22.59,24.936,27.587,27.477,26.045,27.642,30.154,31.74,33.041,31.771,31.162,29.78,32.328,35.569,37.475,40.547,42.263,43.806,46.041,45.411,44.349,45.86,48.217,50.788,53.124,55.426,58.022,62.807,70.089,76.848,80.755,86.651,92.83,101.644,108.402,113.912,114.79,109.561,100,107.037,112.959,119.833,127.098
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRA3",13.761,13.544,13.548,14.484,15.681,17.655,18.785,19.955,20.125,21.174,21.253,20.841,21.564,23.85,26.391,26.226,24.987,26.687,29.329,30.815,32.077,30.149,29.219,27.468,30.652,34.327,36.158,39.793,42.447,43.455,45.311,43.718,42.137,42.718,44.89,47.666,49.797,52.421,55.753,60.154,66.614,73.281,76.39,81.535,87.398,96.79,105.361,112.246,115.696,109.872,100,107.787,113.829,122.313,129.973
"30","23","        Furniture","DFNRRA3",15.855,15.734,15.611,16.634,17.819,19.895,20.972,22.123,22.052,22.801,22.969,22.332,23.157,25.763,28.153,27.509,26.041,27.559,30.769,32.295,33.965,32.035,31.489,29.219,32.417,36.486,38.515,41.886,43.835,44.724,49.334,47.693,46.851,47.323,50.047,52.876,55.452,58.757,63.505,68.868,75.746,83.76,87.433,93.446,97.504,106.212,114.388,118.282,120.022,111.613,100,107.521,112.28,117.186,120.382
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRA3",4.466,4.536,4.782,5.176,5.703,6.339,6.975,7.688,7.691,8.445,8.928,9.481,10.194,11.182,12.31,12.671,12.726,13.911,15.109,16.248,16.943,16.293,16.197,16.376,16.655,17.173,17.044,18.2,19.228,20.211,21.098,21.455,21.163,22.388,23.931,26.588,28.664,30.89,32.805,34.522,38.558,43.174,45.26,48.836,56.168,63.822,71.905,86.239,97.87,101.598,100,110.988,122.597,138.369,157.504
"32","25","        Carpets and other floor coverings","DFLRRA3",29.372,28.582,28.587,30.901,35.206,41.085,43.54,45.438,47.123,50.388,48.433,45.018,44.951,50.909,58.966,61.712,55.9,59.611,65.529,67.5,68.661,61.467,54.783,48.519,59.493,69.694,73.443,81.964,91.514,95.814,89.451,84.225,76.914,77.142,77.091,77.942,75.72,73.535,72.357,77.879,87.877,94.286,94.908,98.41,107.241,121.346,129.209,133.489,130.253,118.111,100,101.87,104.165,119.2,131.787
"33","26","        Window coverings","DWCTRA3",15.854,14.523,14.037,14.653,14.603,16.205,17.415,18.893,19.437,20.167,19.754,19.507,19.671,20.138,22.263,20.184,19.924,21.479,21.662,22.603,22.844,21.989,21.378,20.354,25.138,30.015,34.947,42.19,46.615,44.822,41.589,37.609,33.78,32.541,34.701,37.751,40.567,44.055,47.035,52.07,57.844,60.869,65.841,71.269,78.192,89.509,101.768,108.984,110.764,106.598,100,110.96,118.269,124.119,129.755
"34","27","      Household appliances (part of 33)","DAPPRA3",16.718,16.454,16.77,17.322,18.424,20.128,20.726,22.989,23.8,26.204,28.042,29.171,31.29,35.254,38.734,38.483,35.478,36.551,39.005,39.676,40.948,39.788,38.638,35.605,38.286,41.806,46.107,49.662,50.539,52.547,55.244,55.145,54.797,57.589,59.584,60.305,62.547,63.182,62.855,68.716,77.584,84.478,89.22,94.883,101.371,113.485,118.293,120.21,115.849,110.759,100,106.157,110.678,108.265,114.665
"35","28","        Major household appliances","DMHARA3",18.687,18.329,18.555,18.984,20.052,21.619,21.669,23.991,25.276,27.54,29.308,30.529,32.954,36.904,39.906,39.725,36.35,36.436,38.743,39.617,41.404,40.498,39.544,36.667,40.329,44.953,50.598,55.43,57.105,58.296,60.062,58.664,57.198,59.302,61.075,61.341,63.358,63.739,63.51,70.045,79.461,86.845,91.755,97.554,103.891,116.491,121.057,122.695,117.466,111.322,100,105.611,109.769,106.01,112.235
"36","29","        Small electric household appliances","DSEARA3",6.371,6.561,7.261,8.333,9.503,11.691,14.742,16.553,15.136,17.986,19.996,20.615,21.164,24.87,30.249,29.699,28.627,34.117,37.046,36.737,35.552,33.32,31.372,27.871,25.853,24.053,21.867,19.305,16.482,22.044,28.92,35.109,40.208,46.157,49.124,52.101,55.424,57.427,56.567,58.504,63.99,67.873,71.486,76.174,83.424,92.242,98.525,102.301,104.034,106.632,100,110.136,117.298,125.019,132.716
"37","30","      Glassware, tableware, and household utensils (34)","DUTERA3",14.101,13.669,13.65,14.096,13.962,15.33,17.105,19.326,20.207,20.705,20.88,20.565,20.95,21.93,23.96,23.45,22.033,23.53,25.393,27.684,28.504,28.561,29.074,30.254,30.953,32.587,33.173,33.973,33.119,35.364,37.475,38.553,38.044,40.347,42.784,45.46,48.362,51.054,53.273,57.495,66.146,74.003,80.062,89.475,96.325,100.725,104.709,110.762,110.711,106.627,100,106.781,114.66,126.228,135.937
"38","31","        Dishes and flatware","DCHNRA3",10.519,10.212,10.216,10.559,10.482,11.507,12.83,14.481,15.135,15.909,16.778,17.261,18.329,19.609,21.48,21.126,19.945,21.403,23.159,24.637,24.25,23.176,22.432,22.686,23.946,26.642,28.561,30.753,30.813,33.142,35.6,37.115,37.113,39.633,41.495,42.979,44.512,45.67,46.9,51.135,60.06,69.475,77.666,89.347,94.435,97.449,100.407,107.084,108.354,105.866,100,109.257,121.863,139.829,152.05
"39","32","        Nonelectric cookware and tableware","DNECRA3",18.173,17.6,17.554,18.117,17.917,19.676,21.962,24.834,25.971,26.144,25.505,24.26,23.844,24.465,26.664,25.977,24.295,25.827,27.799,31.023,33.245,34.622,36.599,38.852,38.89,39.268,38.292,37.459,35.545,37.672,39.36,39.918,38.823,40.852,43.943,47.989,52.468,56.929,60.287,64.451,72.679,78.633,82.22,89.048,97.8,103.702,108.776,114.16,112.836,107.3,100,104.665,108.722,115.453,123.303
"40","33","      Tools and equipment for house and garden (35)","DTOORA3",6.784,7.121,7.263,7.919,8.383,9.297,10.694,12.551,13.455,14.217,14.507,14.956,16.102,17.772,20.836,22.26,22.95,25.486,28.907,32.26,35.275,35.727,36.27,35.482,37.365,40.642,40.664,43.688,46.104,49.423,54.31,56.493,56.88,61.631,66.325,71.119,73.961,76.082,79.637,86.933,94.288,98.345,101.933,105.961,112.478,119.58,121.203,121.347,114.268,111.065,100,103.545,107.176,112.367,113.296
"41","34","        Tools, hardware, and supplies","DHDWRA3",7.522,8.002,8.179,8.91,9.379,10.408,12.009,14.032,15.023,15.646,15.796,16.237,17.195,18.994,22.265,23.363,24.276,27.117,31.034,34.764,38.231,38.881,39.588,38.896,40.952,44.384,44.194,47.22,49.439,52.72,57.682,59.847,59.83,64.175,69.138,73.861,76.409,77.836,81,89.083,97.453,101.64,105.922,110.967,117.2,123.595,124.083,123.492,115.591,111.61,100,103.182,106.307,111.184,111.398
"42","35","        Outdoor equipment and supplies","DLWNRA3",3.625,3.357,3.353,3.687,4.125,4.548,5.075,6.217,6.747,8.085,8.96,9.44,11.36,12.468,14.635,17.415,17.158,18.392,19.699,21.439,22.529,22.151,21.997,20.815,21.955,24.549,25.457,28.444,31.661,35.104,39.624,41.863,43.939,50.343,53.862,58.905,62.947,67.953,73.112,77.084,80.242,83.721,84.386,84.157,91.775,101.758,108.287,111.693,108.302,108.602,100,105.177,111.114,117.762,122.056
"43","36","    Recreational goods and vehicles","DREQRA3",0.967,0.96,0.998,1.064,1.162,1.364,1.59,1.957,2.151,2.383,2.542,2.719,2.812,3.262,3.605,3.621,3.878,4.22,4.503,4.804,5.055,4.858,4.988,5.013,5.803,6.808,7.567,8.758,9.809,10.74,11.203,11.475,11.86,12.608,14.547,16.886,19.308,22.296,25.764,30.835,37.23,43.468,47.47,52.885,59.776,68.908,78.228,88.483,98.419,101.635,100,110.873,121.966,135.248,148.668
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRA3",0.162,0.16,0.168,0.183,0.205,0.239,0.291,0.37,0.42,0.457,0.48,0.508,0.529,0.605,0.688,0.724,0.779,0.851,0.9,0.969,1.054,1.09,1.146,1.203,1.559,1.849,2.194,2.728,3.12,3.559,3.764,3.962,4.31,4.754,5.708,6.929,8.338,10.3,12.692,16.432,21.062,25.61,29.307,34.37,40.583,49.497,59.831,71.958,85.216,93.702,100,117.394,132.346,150.988,170.085
"45","38","        Video and audio equipment","DVAARA3",0.572,0.568,0.608,0.665,0.739,0.874,1.073,1.384,1.578,1.713,1.805,1.93,2.006,2.257,2.544,2.688,2.919,3.185,3.356,3.635,3.99,4.144,4.359,4.369,5.351,6.401,7.83,9.197,10.414,11.594,12.305,12.61,12.703,13.45,14.846,16.979,18.682,20.056,21.007,24.533,29.265,34.135,37.579,41.706,45.429,52.739,61.667,71.775,82.234,92.393,100,115.734,132.131,152.759,173.223
"46","39","          Televisions","DTVSRA3",0.34,0.333,0.357,0.394,0.437,0.535,0.679,0.905,1.061,1.103,1.104,1.12,1.104,1.192,1.305,1.332,1.387,1.442,1.443,1.535,1.709,1.773,1.882,1.899,2.32,2.744,3.323,3.819,4.214,4.431,4.542,4.379,4.137,4.147,4.471,4.866,5.173,5.38,5.411,6.131,7.41,9.09,10.73,12.829,17.091,23.418,31.299,44.56,62.948,78.208,100,129.605,159.695,198.473,240.831
"47","40","          Other video equipment","DOVARA3",0.183,0.181,0.189,0.198,0.216,0.244,0.282,0.337,0.368,0.419,0.458,0.509,0.55,0.646,0.748,0.828,0.951,1.077,1.2,1.315,1.432,1.479,1.554,1.561,1.904,2.283,2.828,3.389,4.038,4.683,5.072,5.296,5.472,5.947,6.665,8.057,9.026,9.794,10.242,12.756,17.031,22.946,28.899,34.511,42.047,51.185,59.633,69.072,78.905,96.416,100,115.589,134.335,159.782,179.408
"48","41","          Audio equipment","DAUDRA3",1.428,1.432,1.524,1.654,1.825,2.112,2.568,3.29,3.647,4.169,4.591,5.107,5.539,6.48,7.463,8.057,9.068,10.158,10.899,11.317,11.665,11.491,11.273,10.497,12.34,14.425,17.125,19.712,21.275,23.769,25.139,25.602,24.814,26.868,29.693,34.333,37.732,40.072,41.73,46.696,53.675,59.623,62.576,68.165,70.516,79.735,97.937,105.233,104.954,106.572,100,105.717,113.777,125.773,135.136
"49","42","          Recording media","DRECRA3",0.507,0.552,0.627,0.72,0.845,0.924,1.046,1.229,1.31,1.596,1.971,2.412,2.759,3.188,3.685,3.939,4.221,4.783,5.163,6.077,7.101,7.889,8.779,9.285,11.833,14.595,18.314,22.089,25.718,29.47,31.995,34.326,36.722,39.325,43.709,49.809,55.522,60.807,65.385,77.156,88.698,96.973,99.339,103.489,97.411,99.636,101.311,102.346,101.392,101.758,100,105.627,111.98,118.827,128.743
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRA3",1.576,1.714,1.949,2.236,2.625,2.87,3.25,3.819,4.07,4.96,6.123,7.493,8.573,9.904,11.448,12.237,13.114,14.86,16.039,17.718,19.345,20.12,20.768,20.289,24.106,27.659,32.117,36.168,38.66,46.001,51.791,58.327,65.004,71.811,79.942,90.315,100.954,110.951,120.015,129.552,135.224,138.456,133.832,133.18,117.976,113.898,108.054,103.061,97.797,99.196,100,109.094,118.539,128.016,136.426
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.345,0.718,1.213,1.731,2.385,3.01,4.354,6.001,8.343,10.898,13.877,15.271,15.854,15.866,15.817,15.898,17.609,20.464,22.663,24.607,26.055,37.817,52.162,63.508,70.913,78.657,79.913,87.297,95.387,101.856,104.98,104.332,100,102.071,105.231,109.327,121
"52","45","        Photographic equipment","DCAMRA3",4.735,4.402,3.936,3.924,4.894,5.075,6.04,6.856,7.78,8.632,8.38,7.477,8.044,11.893,15.667,16.114,16.596,19.191,21.25,22.717,23.584,22.839,22.767,23.204,25.466,28.108,28.725,29.589,30.094,28.133,26.111,23.694,21.341,19.415,20.499,22.226,23.447,24.799,26.186,28.026,30.783,33.204,34.368,36.783,42.321,51.701,61.436,74.057,96.582,105.52,100,110.724,121.183,130.841,138.941
"53","46","        Information processing equipment","DIPERA3",0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.006,0.015,0.037,0.044,0.045,0.097,0.125,0.176,0.192,0.24,0.37,0.488,0.785,1.143,1.736,2.926,4.922,7.738,11.405,15.099,18.744,24.654,33.821,44.755,57.016,71.946,88.535,94.766,100,119.695,133.26,150.218,168.463
"54","47","          Personal computers and peripheral equipment","DCPPRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.001,0.002,0.007,0.022,0.026,0.027,0.065,0.086,0.122,0.132,0.166,0.26,0.343,0.57,0.851,1.321,2.267,3.867,6.349,9.919,13.669,18.06,24.959,32.867,41.061,52.116,65.19,76.923,88.787,100,116.616,139.591,161.474,186.691
"55","48","          Computer software and accessories","DCPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.001,0.003,0.014,0.039,0.046,0.048,0.115,0.151,0.231,0.267,0.358,0.597,0.836,1.339,1.923,2.894,4.927,8.376,11.581,14.296,16.839,17.787,20.802,32.115,47.541,61.444,78.979,102.404,101.432,100,123.539,127.161,139.206,150.691
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRA3",20.738,21.982,24.139,27.153,29.469,33.249,34.73,38.336,39.595,43.577,48.553,53.205,55.97,59.196,61.172,61.765,60.568,58.699,58.907,53.634,45.476,37.445,29.107,22.756,22.918,24.022,23.843,23.424,24.045,24.043,24.077,22.794,21.635,21.555,21.801,21.836,21.236,20.247,19.928,26.766,37.303,48.649,54.21,62.891,68.664,78.79,86.572,94.532,100.968,102.407,100,106.293,115.713,127.533,139.763
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRA3",3.778,3.943,4.19,4.204,4.184,4.776,5.397,6.613,7.092,7.569,7.665,7.66,7.907,9.808,10.291,11.1,12.371,14.599,15.678,17.055,17.516,18.014,18.133,17.718,18.359,21.067,22.729,24.803,28.582,30.776,33.027,33.848,33.416,35.305,38.711,41.858,44.171,46.863,48.898,54.177,62.736,72.126,77.791,83.403,87.999,94.947,101.667,109.923,113.457,110.689,100,103.851,114.955,123.194,132.193
